ПОСЛАНИЕ ЧЮДОТВОРЦА КИРИЛА	ПОСЛАНИЕ ЧУДОТВОРЦА КИРИЛЛА
Господину благовѣрному и боголюбивому великому князю Василию Дмитреевичу[1] — Кирило, чернечище многогрѣшный, съ всею братицею.	Господину благоверному и боголюбивому великому князю Василию Дмитриевичу — Кирило, чернечище многогрешный, со всей братиицей.
На твоей, господине, доволной еже к нам милостыне много челомъ бием и радуемся, господине, о тебѣ, что имѣеши сицеву вѣру ко Пречистой Богородицы и нашей нищете, и о велицем твоемъ смирении.	За твою, господин, щедрую к нам милостыню многократно челом бьем и радуемся, господин, за тебя, что имеешь ты такую веру в Пречистую Богородицу и в нашу нищету, и твоему великому смирению.
О сем же, господине, радуемся и скорбимъ, что паче слова и смысла безмѣрное твое смирение: посылаеши ко мнѣ грѣшному и нищему и всякого дѣла блага удалившагося. Ты, господине, — князь великий всея земля Руския, и, смиряяся, ко мнѣ посылаеши грѣшному и страстному и недостойному небеси и земля и того самого иноческаго жытия. И яз, господине, грѣшный истинно о семъ скорблю недостоиньства ради своего; радуем же ся, господине, благаго ради твоего произволения и смиреномудраго нрава, яко сим сподобишися, господине, преблагому нашему Владыцѣ и Господу, от толикия неизреченныя славы и с высоты сшедшему нас ради грѣшных и смирившуся даже и до рабия образа. Сице, господине, и ты от толикия славы мира сего преклонися смирениемъ к нашей нищете; и от сего, господине, познаваемъ великую твою любовь к Богу и ко Пречистей Его Матери.	Тому, господин, радуемся, но и скорбим, что выше слова и смысла безмерное твое смирение: посылаешь ко мне, грешному и нищему, от всякого дела доброго удалившемуся. Ты, господин, — князь великий всей Русской земли и, смиряясь, посылаешь ко мне, грешному, подвластному страстям и недостойному неба и земли и самой этой иноческой жизни. И я, господин, грешный, воистину об этом скорблю из-за своего недостоинства; радуемся же мы, господин, твоему благому желанию и смиренномудрому нраву, ибо этим уподобляешься ты, господин, преблагому нашему Владыке и Господу, от такой неизреченной славы с высоты сшедшему нас ради, грешных, и смирившемуся даже до восприятия рабского образа. Так, господин, и ты от столь великой славы мира сего преклонился смиренно к нашей нищете; и из этого, господин, мы познаем великую твою любовь к Богу и Пречистой Его Матери.
Елико бо приближаются святии к Богу любовию, толико видят себе грѣшна. Ты бо, господине, смирениемъ велико себѣ приобрѣтаешь спасение и ползу душевную. Тѣмъ, господине, аз грѣшный паче печалую душею, что мене недостойнаго и покоршагося всякому грѣху сице ублажаете, не притяжавша не единоя добродѣтели, но всякой страсти повиннаго, и таково, господине, моление посылаеши ко мнѣ, не могущему и о своих грѣсѣхъ Бога умолити. И какъ о тебѣ, господине, Бога умолю, самому ми сушу исполнену всякаго грѣха и дѣла зла?	Насколько ведь приближаются святые любовью к Богу, настолько видят себя грешными. Ты ведь, господин, смирением великое себе приобретаешь спасение и пользу душевную. Оттого, господин, я, грешный, больше печалюсь душой, что меня, недостойного и покорившегося всякому греху, так вы ублажаете, не приобретшего ни одной добродетели, но всякой страсти повинного, и такое, господин, моление посылаешь ты ко мне, не способному и о своих грехах Бога умолить. И как же о тебе, господин, Бога я умолю, сам будучи исполнен всякого греха и злого дела?
Но, господине, писано, что не велит отрицатися и грѣшным молити Бога о велящих за ся, вѣры ради их. Тѣм же, господине, ради вѣры твоея великия не оставит тебѣ Богъ, но помилуетъ, и Пречистая госпожа Богородица и Царица наша поможет ти по вся дни живота твоего и подастъ ти изцѣление души жъ и тѣлу, — что нас, нищих ея, господине, не забываеши, в пустом сем мѣсте събравшихся во обители ея, но часто призираеши доволными милостынями.	Но, господин, написано, что не велит Бог и грешным отказываться молить Бога за просящих молиться о них, ради их веры. Потому, господин, ради веры твоей великой не оставит тебя Бог, но помилует, и Пречистая госпожа Богородица и Царица наша поможет тебе во все дни жизни твоей и подаст тебе исцеление души и тела, — за то, что нас, нищих ее, господин, не забываешь, в пустынном этом месте собравшихся во обители ее, но часто жалуешь обильными милостынями.
Мы же, господине, не можемъ о семъ тебѣ воздати ничтоже, но Пречистая Госпожа Богородица, надежа и упование наше, испросить на тя милость у Сына своего в сий вѣкъ и въ будущий. А яз грѣшный с своею братиицею, господине, елика сила, ради Бога молити о тебѣ, нашемъ господине, и о твоей княгине, и о твоих дѣтках, и о всѣх християнех, Богомъ порученных тебѣ.	Мы же, господин, не можем за это в ответ дать тебе ничего, но Пречистая госпожа Богородица, надежда и упование наше, выпросит для тебя милость у Сына своего в этом веке и в будущем. А я, грешный, со своей братиицей, господин, по мере сил рад молиться о тебе, нашем господине, и о твоей княгине, и о твоих детках, и о всех христианах, Богом порученных тебе.
Ты же, господине, самъ Бога ради внемли себѣ и всему княжению твоему, в немже тя постави Духъ Святый пасти люди Господня, еже стяжа честною си кровию.[2] Якоже бо великия власти сподобился еси от Бога, толикимъ болшим воздаяниемъ долженъ еси. Воздай же убо Благодателю долгъ, святыа Его храня заповѣди, всякаго укланяясь пути, ведущаго в пагубу.	Ты же, господин, сам Бога ради будь внимателен к себе и ко всему княжению твоему, в коем Святой Дух поставил тебя пасти людей Господних, которых приобрел Он честною Своею кровию. Ведь раз сподобился ты получить от Бога великую власть, то столь же большое воздаяние ты должен воздать Ему за это. Воздай же Благодателю долг, храня Его святые заповеди, уклоняясь от всякого пути, ведущего в пагубу.
Якоже бо о караблехъ есть: егда убо наемникъ, еже есть гребец, соблазнится, мал вред творит плавающимъ съ нимъ; егда же кормчий, тогда всему кораблю творит пагубу. Такоже, господине, и о князех: аще кто от бояр согрѣшит, не творитъ всѣм людем пакости, но токмо себѣ единому; аще ли же сам князь согрѣшит, всѣм людем иже под ним сотворяет вред.	Это как на кораблях: когда наемник, каковым является гребец, ошибается, малый вред причиняет он плавающим с ним; а когда — кормчий, тогда всему кораблю причиняет он пагубу. То же, господин, можно сказать и о князьях: если кто-то из бояр согрешает, то не причиняет всем людям пакости, но только себе одному; если же сам князь согрешает, то всем людям, ему подвластным, причиняет он вред.
Ты же, господине, со многою твердостию храни себе в добрых дѣлех. Рече бо святый апостолъ: «Миръ имѣйте и святыню, без нея же никтоже узритъ Господа». Возненавиди, господине, всяку власть, влекущую тя на грѣх, непреложенъ имѣй благочестия помыслъ и не возвышайся, господине, временною славою к суетному шатанию: мал же убо и кратокъ сущий здѣ живот, и с плотию сопряжена смерть. И сия убо помышляй, — не впадеши в ров гордостный. Но бойся, господине, Бога, истиннаго Царя, и блажен будеши. «Блаженны бо, — рече, — боящиися Господа».[3]	Ты же, господин, со многой твердостью храни себя в добрых делах. Ибо сказал святой апостол: «Старайтесь иметь мир со всеми и святость, без которой никто не увидит Господа». Возненавидь, господин, всякую власть, влекущую тебя ко греху, непреложным имей благочестивый помысел и не величайся, господин, временной славой в суетном высокомерии: мала ведь и кратка здешняя жизнь, и с плотью сопряжена смерть. И ты думай об этом, и не упадешь в ров гордости. Но бойся, господин, Бога, истинного Царя, и блажен будешь. Ибо «блаженны, — сказано — боящиеся Господа».
Воспоминаимъ, господине, надежду будущаго вѣка и царство небесное, радость святых и веселие съ аггелы, надо всѣми же зрѣние пресладкаго лица Божиа: То бо воистинну доброта неизреченная, весь сладость и желание и любовь несытая всѣмъ любящим Его и творящим пречистую волю Его.	Вспоминай, господин, надежду на будущий век и царство небесное, радость святых и веселие с ангелами; надо всем же этим — лицезрение пресладкого лица Божия: Он ведь воистину красота неизреченная, весь Он сладость и желание и любовь ненасытная ко всем любящим его и творящим пречистую волю Его.
