СЛОВО О ЗНАМЕНИИ СВЯТЫЯ БОГОРОДИЦА В ЛѢТО 6677-е	СЛОВО О ЗНАМЕНИИ СВЯТОЙ БОГОРОДИЦЫ В ГОД 6677 (1169)
Сътворися знамение великое и преславное чюдо от иконы святыя Богородица в Новѣгородѣ.	Свершилось это знамение великое и преславное чудо от иконы святой Богородицы в Новгороде.
Сице бо живущимъ новгородцемь: владѣяху областми по своей волѣ, яже имъ Богъ поручилъ, а князя держаху по своей волѣ. Бѣ же у нихъ тогда князь Романъ Мьстиславличь, внукъ Изяславль.[1]	Так ведь жили новгородцы: землями, которые им Бог даровал, владели по своей воле, и князя у себя держали по своему выбору. Был же у них тогда князь Роман Мстиславич, внук Изяслава.
В то же время двиняни[2] не хотяху дани давати Новугороду, но вдашася князю Андрѣю Сусьдаскому.[3] Новгородьци же послаша на Двину даньникомъ Даньслава Лазутинича,[4] а сь нимъ ис концовъ по сту мужь.[5] И то слышавъ, князь Аньдрѣй посла противу имъ своихъ мужѣй — тысщю и пятьсотъ рати. Онѣ же начаша переимати ихъ на Бѣлѣозерѣ, и начаша ся бити. И пособи Богъ мужемь новгородьцемь и убиша от полку Аньдрѣева осмисотъ мужь, а прочѣи избѣгоша. А новгородьцевъ паде пятьнадесятъ мужь.	И вот в это время не захотели двиняне давать дань Новгороду, а перешли под власть князя Андрея Суздальского. Новгородцы же послали на Двину сборщиком дани Даньслава Лазутинича, а с ним от каждого конца по сто мужей. И, услышав об этом, князь Андрей послал против них своих мужей — рать в тысячу пятьсот человек. И перехватила эта рать новгородцев на Белоозере, и началась битва. И помог Бог мужам новгородским, и убили они из полка Андреева восемьсот воинов, а остальные разбежались. А у новгородцев пало пятнадцать мужей.
И оттолѣ князь Андрѣй разгнѣвася на Новгородъ и нача рать копити. А самъ тогда разболѣся и посла сына своего Романа к Новугороду съ всею силою сузьдальскою. А с нимъ князь Мьстиславль съ смолняны, с торопчяны, с муромци, и с рязанци, и с переяславци, и с всими князьми всея земля Руская. И бысть всихъ князѣй 70 и 2.	И из-за этого князь Андрей разгневался на Новгород и начал рать готовить. Сам же он тогда разболелся и послал сына своего Романа на Новгород со всем войском суздальским, а с ним пошли князь Мстислав со смолянами, а со своими князьями торопчане, муромцы, рязанцы, переяславцы, и со всеми князьями вся земля Русская. И было всех князей семьдесят два.
Новгородци же слышаху ту силу великую грядущюю на ся, и печалны быша въ скорбѣ велици и сѣтовании мнозѣ; моляшеся милостивому Богу и пречистѣй его матери, святѣй госпожѣ Богородици. И поставиша острогъ около всего Новагорода, а самѣ сташа за острогомъ. И придоша к Новугороду сусьдальци съ всими князьми земля Руския, стояху же подъ городомъ три дни.	Когда новгородцы услыхали об этой силе великой, идущей на них, то охватила их печаль и скорбь великая и сетование многое; молились они милостивому Богу и пречистой его матери, святой госпоже Богородице. И соорудили они острог вокруг всего Новгорода, а сами укрылись за острогом. И пришли к Новгороду суздальцы со всеми князьями земли Русской, и стояли под городом три дня.
Въ вторую же нощь святому архиепископу Ивану[6] стоящю и молящюся святому образу Господа нашего Исуса Христа о спасении града сего, и бысть въ ужасѣ и слыша глас, глаголющь сице: «Иди в церковь святаго Спаса на Ильину улицю[7] и возми икону святую Богородицю и вынеси на острогъ противу супостатъ». И святейший архиепископъ Иоан, то слышавъ, пребы безъ сна всю нощь, моляся святѣй Богородици, матери Божии.	Во вторую же ночь осады, когда святой архиепископ Иоанн стоял на молитве пред образом Господа нашего Иисуса Христа, молясь о спасении города этого, в ужасе услышал он голос, говоривший так: «Иди в церковь святого Спаса на Ильину улицу, и возьми икону святой Богородицы, и вынеси ее на острог, воздвигнутый против супостатов». И святейший архиепископ Иоанн, услышав это, пребывал без сна всю ночь, молясь святой Богородице, матери Божьей.
Утру же бывшю, повелѣ быти сбору святому, исповѣда видѣние то предъ всими. Они же, тогда слышавше, прослвиша Бога. Архиепископъ же посла дьякона своего с крилосомъ принести икону на сборъ. И шедъ же дъяконъ въ церковъ святаго Спаса, и поклонися святѣй Богородици образъ, хотя ю взяти. И не подвижеся икона с мѣста своего. Дьякон же възвратися и повѣда архиепископу бывшее.	Когда же наступило утро, повелел Иоанн быть собору духовенства и поведал всем о том видении. Они же, услышавши об этом, прославили Бога. И послал архиепископ дьякона своего со всем клиром, чтобы принесли икону на собор. И пошел дьякон в церковь святого Спаса, и поклонился иконе святой Богородицы, хотя ее взять; и не стронулась икона с места своего. Тогда дьякон возвратился и поведал архиепископу о случившемся.
Блажений же архиепископъ Иванъ, слышавъ се от дъякона своего, въста въскоре от мѣста своего и поиде съ всимъ святымъ сборомъ, и с нимъ народи мнози. Внидоша въ церковъ Господа нашаго Спаса Исуса Христа, и, прешедъ пред икону госпожа нашея, прѣчистыя Богородица, и поклонивъ колѣнѣ, молитву творяще, сице глаголаше: «О премилостивая дѣво, госпоже Богородице, владычице, пресвятая девице прѣчистая! Ты еси упование наше и надежа наша, заступнице граду нашему, стѣна и покровъ и прибѣжище всимъ крестьяномъ. На тебе бо надѣемся мы, грѣшнии. Молися, госпоже, сыну своему, Богу нашему за град нашь, не прѣдай же насъ врагомъ нашимъ грехъ ради нашихъ, но услыши, госпоже, плачь людий своихъ приими молитву рабъ своихъ, избави, госпоже, град нашь от всякого зла и от супостатъ нашихъ».	Блаженный же архиепископ Иоанн, слышав это от дьякона своего, поспешно встал с места своего и пошел со всем святым собором, и с ним множество народа. Вошел он в церковь Господа нашего, спасителя Иисуса Христа, и, подойдя к иконе госпожи нашей, пречистой Богородицы, и преклонив колени, начал молиться, так говоря: «О премилостивая дева, госпожа Богородица, владычица, пресвятая дева пречистая! Ты — упование наше, и надежда наша, и заступница града нашего, стена, и покров, и прибежище всем христианам. На тебя ведь надеемся мы, грешные. Молись, госпожа, сыну своему, Богу нашему, за город наш, не предай нас врагам нашим ради грехов наших, но услышь, госпожа, плач людей своих и прими молитву рабов своих, избавь, госпожа, город наш от всякого зла и от супостатов наших».
Се же ему изрекшю, начаша пѣти канун[8] молебонъ, и по 6-й пѣсни начанаху кондакъ[9] сице пѣти «Заступнице крестьяномъ непостыдная». И в то же время подвижеся икона сама. Народи же, видевше, съ слезами зваху: «Господи, помилуй!» Архиепископъ же приимъ своима рукама и дасть двѣма дьяконома и повелѣ нести пред собою, а самъ поиде въследъ съ всимъ святымъ сборомъ, свѣршающе канунъ. Народи же угнѣтахуся, въследъ идуще. И несоша икону на острогъ, идѣже нынѣ манастырь святыя Богородица на Десатинѣ.[10]	И когда сказал он это, начали петь канон молебный, а после шестой песни канона начали кондак петь «Заступница христиан безупречная». И в это время икона сама сдвинулась с места своего. Люди же, увидев это, со слезами воскликнули: «Господи, помилуй!» Архиепископ же взял ее своими руками и передал двум дьяконам, и повелел нести ее перед собой, а сам пошел вослед со всем святым собором, свершая канон. Люди же толпились, идуще вослед. И понесли икону на острог, туда, где ныне монастырь святой Богородицы на Десятине.
А новгородци вси бяху за острогомъ, не можаху противу стати, но токмо плакахуся кождо себе свою погыбель видяще, понеже бо суздалци и улици раздѣлиша на свои городы.	А все новгородцы были внутри острога, не осмеливаясь выступить против врагов; лишь скорбел каждый о судьбе своей, видя погибель свою, ибо ведь суздальцы и улицы поделили — каждая какому городу достанется.
