ФИЛОСОФСКИЕ СТАТЬИ	ФИЛОСОФСКИЕ СТАТЬИ
Немесия епискупа емесьскааго отъ того, еже «О естьствѣ человѣчьстѣ»	Немесия епископа емесского из сочинения «О естестве человеческом»
Человѣка вѣмь испрьва ни съмрьтьна, исповѣдаемъ,[1] ни бесъмрьтна бывъша, на прѣдѣлѣ же обоего естьства: да аще убо въслѣдуеть плътьныихъ врѣдовъ, то въпадеть и въ плътьныя съвраты; аште ли душьныя паче почьтеть, доброты бесъмрьтья съподобиться. Аште бо бы испрьва съмрьтна и Богъ сътворилъ, то не бы съгрѣшивъша съмрьтью осудилъ. Съмрьтнаго бо съмрьтью никтоже не осуждяеть. Аште ли пакы бесъмрьтьна, не бы кръмля плъныя трѣбовалъ, ни бы тако удобьно покаялъся и бывъшааго несъмрьтьна съмрьтьна абие сътворилъ. Не бо и о съгрѣшивъшиихъ ангелѣхъ се являеться, съгрѣшивъ, нъ по прьвому естьству бесъмрьтьни прѣбыли быша, иного о съгрѣшениихъ чяюште суда, а не съмрьти. Да уне убо есть или симь образъмь разумѣти прѣдълежяштее, или яко съмрьтьнъ убо сътворенъ бы<сть>, могый же отъ прѣспѣяния съврьшаемъ бесъмрьтьнъ быти, рекъше, силою бесъмрьтьнъ. Ельма же не бѣаше ему на пользу прѣжде съврьшения разумѣти естьство свое, отърече и не въкусити дрѣва разумьнааго. Бѣаху бо, паче же суть и еште нынѣ, силы въ овошти великы; тъгда же, акы въ начяло, явленѣиша сушта, твьрьждьше имѣяху дѣйство. Бѣаше же убо и въкусьнѣ кый плодъ разумь въдая своего е<сть>ства. Не хотяше же его Богъ, да прѣжде съврьшения разумѣеть свое естьство, да не, разумѣвъ ся скудьнъ о мънозѣ сы, о плътьнѣй прилежять потребѣ, оставивъ д<у>шьный промыслъ: да и тоя вины дѣля възбрани ему прияти плодъ разумѣния. Прѣслушавъ же и разумѣвъ ся, съврьшения отъпаде. При плътьнѣй же потрѣбѣ оскудѣ, одеждя бо абие възиска. Рече бо Писание: «Разумѣ, яко нагъ есть».[2] Прѣжде же въ ужасти и сътвори и въ невѣдѣнии себе. Отъпадъ убо съврьшения, отъпаде и бесъмрьтья, и еже послѣ же прииметь благодѣтию Сътворьшаго и.	О человеке знаю: изначально мы полагаем, он не был ни смертным, ни бессмертным, но находился на границе той и другой природы: чтобы, если последует плотским несовершенствам, подвергся бы и плотским соблазнам; если же предпочтет то, что связано с душой, удостоился бы блага бессмертия. Ведь если бы Бог изначально сотворил его смертным, то не осудил бы его, согрешившего, на смерть. Ибо смертного смертью никто не наказывает. Если бы, опять же, — бессмертным, то он не нуждался бы в телесной пище, да и <Бог> так быстро не раскаялся бы и бывшего бессмертным не сделал бы тут же смертным. Это видно ведь и по согрешившим ангелам: согрешив, они остались, в соответствии с первоначальной природой, бессмертными, ожидая иного суда за согрешения, а не смерти. Потому дело следует понимать или таким образом, или же, что сотворен он был смертным, но, постепенно совершенствуясь, мог стать бессмертным, то есть был бессмертным в потенции. Поскольку же не было ему на пользу прежде достижения совершенства знать свою природу, <Бог> запретил ему вкушать от древа познания. Были ведь, да и теперь еще есть, великие силы в плодах; а тогда, как <всегда> в начале, они проявлялись наилучшим образом и имели более эффективное действие. Да ведь и вкусен он был, тот плод, который давал знание своей природы. Не хотел же Бог его дать, чтобы человек не узнал своей природы до того, как стал совершенным, и, осознав, что ему многого недостает, не стал бы заботиться о телесных нуждах, оставив заботу о душе; по этой причине и возбранил Он ему вкушать от плода познания. Ослушавшись же и осознав себя, тот отпал от совершенства. Он стал думать о плотской потребности, ибо тут же начал искать себе одежду. Писание ведь говорит: «Уразумел, что он наг». Прежде же он был в состоянии вдохновения, каким его сотворил Бог, и в неведении о себе. Отпав же от совершенства, он отпал и от бессмертия, каковое впоследствии вновь получает благодатью сотворившего его.
По отъпадении же и мясьная пишта попуштена бы<сть>. Прьвѣе бо земльныими тъчью повелѣ ему довъльну быти. То бо бѣаше и въ породѣ. Отъчаяну же бывъшу съврьшену же, попуштениемь уже проштено бысть ядение мясьное.[3] Трѣбѣ бо есть человѣку брашьно и питье, проходъ дѣля и исходъ. Истъштаеть бо ся животъ и явленыими проходы и неявленыими, да нуждя есть убо или въ истъштаемыхъ мѣсто въносити равьная, или разорится животъ скудьства ради въходяштиихъ. Сухомъ же сущемъ, и мокромъ, и духу истъштаемыимъ, нуждя есть сухыя и мокрыя пишта трѣбовати животу и духа. Есть же намъ кръмля и питие отъ вещий, отъ нихъже съставлени есмы. Коежьдо бо своимъ подобьныимь кръмиться, супротивьнымь же ся врачюеть.[4]	После отпадения человеку позволена была мясная пища. Раньше ведь <Бог> велел ему довольствоваться только плодами земли. Они ведь были и в раю. А когда он лишен был совершенства, ему было попущено и прощено есть мясо. Требуются ведь человеку снедь и питие, потому что они проходят и выходят. Ибо истощается живое существо через видимые и невидимые отверстия, так что необходимо или привносить на место истощаемого равное, или живому существу быть уничтоженным из-за недостатка входящего. Поскольку истощаются сухое и влажное <вещество> и дыхание, жизнь нуждается в сухой и влажной пище и в дыхании. Еда же наша и питие состоят из тех же элементов, из каких мы составлены. Каждый ведь питается тем, что ему подобно, а противоположным лечится.
Нъ ельма же не тъчью лѣпотъ дѣльма, нъ и доброчютия ради еже по посязанию, имьже паче утягнеть всего живота человѣкъ, не положи на насъ ни кожя дебелы, ни власъ, акы животъмь,[5] да тѣмь нуждьнѣ ризы трѣбьны быша,[6] — и въздуховъ ради нестроиньства, и звѣрьскыихъ дѣля врѣдовъ. Зълаго же раствора ради и прѣмѣнъ качювьствьныихъ и чювьства ради, данааго тѣлеси, врачеве и былия трѣбѣны быша. Аште ли не быхомъ имѣли чювьства, то ни болѣли быхомъ; ни цѣления трѣбовали, не боляште, и погъбли быхомъ убо въ невѣсти, злаго врѣда не цѣляште.[7] А съпрьва ничьсоже отъ сего не трѣбовахомъ, ни бесловесьнии бо животи съмѣяху врѣждяти человѣка, нъ бѣаху ему вся поражати и покорена, — доньдеже въздьрьжяше своя страсти. Дрьжимъ же оть нихъ, удрьжанъ бысть н отъ вънѣшьнихъ въ подобу звѣрий. Вълѣзе бо съ грѣхъмь и суштии отъ тѣхъ врѣдъ. А якоже то есть истина, учять ны доброе житье прѣпроводивъшии и отъ такыхъ никогоже не врѣдивъшеся, акы Данилъ отъ львовъ и Павьлъ отъ ехидьнъ.[8]	И ведь не только красоты ради, но и для того, чтобы человек превосходил все живые существа более тонким чувством осязания, не возложены на нас ни толстая кожа, ни волосы, как у животных, и потому нам нужны подходящие одежды — и на случай плохой погоды, и из-за причиняемого зверями вреда. А из-за дурного соотношения <органических соков>, качественных изменений и данного телу чувства потребовались врачи и лекарства. Если бы мы не имели чувства, то не испытывали бы боли; не страдая, не старались бы лечиться и погибали бы в неведении, не исцеляя опасного повреждения. А сперва нам ничего этого не требовалось, ибо бессловесные животные не смели вредить человеку, а он мог всех их поражать, и все было ему покорно — пока он удерживал свои страсти. Побежденный же ими, он был побежден и внешними подобными им зверями. Вместе с грехом пришел ведь и происходящий от них вред. А что это истина, показывают нам проводившие добрую жизнь люди, не претерпевшие вреда ни от кого из таковых, — как Даниил от львов и Павел от змей.
Да кто убо достоиньнѣ почюдиться доброродьству живота сего, иже съвязаеть въ себѣ съмрьтьная къ бесъмрьтьныимъ, и словесьная к бесловесьныимъ, носящю уму въ своемь естьствѣ въсея твари образъ, тѣмь же и «малый миръ» наречеся? Толикы же чьсти отъ Бога и Промысла съподобися, яко того ради — и сушта нынѣ, и будуштая, и Богъ человѣкъ бысть, и Божие чядо есть, на небесьхъ царствуеть, по образу Божию и по подобию бывъ, съ Христосъмь прѣбываеть, выше всякого начала и всякоя власти сѣдить. Кто ли ему можеть исповѣдати? Обилия пучины бо минуеть, небеса проходить мыслью, звѣздьная пошьствия и растояния и мѣры размышляеть, землю дѣлаеть и море, звѣрьское и китовьское прѣобиди, вьсяко художьство и хытрость управляеть, чрѣсъ прѣдѣлъ кънигами къ немуже хоште бесѣдуе, никакоже от тѣлесе не ставляемъ, проричеть же будуштая, вьсего есть старѣе, вьсѣмъ владе, вьсѣмь питаеться, отъ всего дары приемлеть, отъ ангелъ хранимъ есть, къ Богу бесѣдуеть, бѣсомъ запрѣштаеть, суштиихъ естьство испытаеть, Бога распытаеть, домы и храмъ бываеть Божии и причастьникъ Того царьства.[9]	И кто достойным образом не подивится благородству этого живого существа, которое связывает в себе смертное с бессмертным, словесное с бессловесным, нося умом в своем естестве образ всего сотворенного, и потому называется «малым миром»? Такой чести сподобился он от Бога и Промысла, что ради него — и настоящее, и будущее, и Бог стал человеком, и он — Божие чадо, на небесах царствует, по образу и подобию Божию созданный, с Христом пребывает, выше всякого начала и всякой власти восседает. Кто может словами выразить то, что ему свойственно? Ведь он переплывает громадные пучины, проходит мыслью сквозь небеса, постигает движение, отстояния и величины звезд, работает на земле и в море, не боится ни зверей, ни китов, владеет всякими наукой и искусством, на расстоянии в письмах беседует с кем хочет, нисколько не ограничиваемый телом, предсказывает будущее, над всем начальствует, всем владеет, всем питается, от всего дары приемлет, ангелами храним, с Богом беседует, бесам запрещает, природу сущего исследует, Бога постигает, бывает домом и храмом Божиим и причастником Его царства.
Максимово[10] о различии суштия[11] и естьства по вънѣшьнимъ	Максимово о различии сущего и природы, согласно внешним <мудрецам>
«Суштьное» убо имя назнаменание есть бытья просто суштиихъ, рекъше того самого сушта суштааго: наричють бо ся суште и аггели, и камыкъ, и прокая вся. Сему убо просто суштууму, егоже обьште вся приемлють, знаменьно есть «суштьное» има. Естьствьньное же имя обавление есть просто суштиихъ пошьстья; въся бо въ пошьствии видома суть, и ничьтоже нѣсть бес пошьстья бывъшиихъ. Суштие убо наричеть бытие просто суштиихъ, естьство же пошьстье просто суштиихъ.	Наименование «сущее» есть обозначение бытия просто сущих, т. е. самого существования существующего: сущими называются ведь и ангел, и камень, и все прочее. На это просто существование, которому все причаствуют, и указывает наименование «сущее». Наименование же по природе разъясняет вид движения просто сущего; все ведь видится в движении, и нет среди бытующего ничего неподвижного. Сущим называют, таким образом, бытие просто сущих, природой же — движение просто сущих.
Пятеро же образьно есть се: или бо разумьно есть, или словесьно, или чувьствьно, или растуштее, или бездушньное. Разумьна же — якоже се о аггелѣхъ, отъ самѣхъ тѣхъ разумъ другъ къ другу съближяюштеся; словесьно же — якоже се о человѣцѣхъ имены и словесы невидимая душьная пошьстья къ дальниимъ обличая. Чувьствьно же — еже въ бесловесьныихъ разумѣваеться, къ кръмяштий бо и растяштий, къ ращуштии силѣ и чувьствьную имать. Растуштее же — еже въ садѣхъ: движять бо ся и та по кръмяштий и растяштий и раждаюштийся силѣ, Бездушьно же — акы о каменехъ, по немуже и ти движяться по качьству и по къде: по качьству же убо — якоже грѣтися и устыдати, а по мѣсту же — имьже отъ мѣста на мѣсто инамолетяштее прѣложение.	Оно бывает пяти видов: умственное, словесное, чувственное, растительное и бездушное. Умственное — это как у ангелов, сообщающихся друг с другом своими мыслями; словесное — как у людей, посредством названий и высказываний обнаруживающих обращенные вовне невидимые движения души. Чувственное же — у бессловесных, ибо наряду со способностью питаться, расти и рожать они обладают способностью чувствовать. Растительное же — у растений, ибо и они движутся в соответствии со способностью к питанию, росту и рождению. Бездушное же — как у камней, поскольку и те движутся относительно качества и места: относительно качества — нагреваясь и охлаждаясь, а относительно места — будучи извне перемещаемы с места на место.
Да си убо есть вънѣшьниихъ о именехъ сихъ вѣра. Црькъвьнии же учителе без различья имены сими бесѣдоваша, и то же суштее и естьство нарекоша, якоже и собьство — лице.	Таково представление об зтих терминах внешних <мудрецов>. Церковные же учителя пользовались этими терминами безразлично и то же сущее называли природой, как и ипостась — лицом.
Феодора, презвутера Раифуисьскааго,[12] о тѣхъжде	Феодора, пресвитера Раифского, о том же
