СМИРЕННАГО ИНОКА ФОМЫ СЛОВО ПОХВАЛНОЕ[1] О БЛАГОВѢРНОМ ВЕЛИКОМЪ КНЯЗИ БОРИСѢ АЛЕКСАНДРОВИЧЕ	СМИРЕННОГО ИНОКА ФОМЫ СЛОВО ПОХВАЛЬНОЕ О БЛАГОВЕРНОМ ВЕЛИКОМ КНЯЗЕ БОРИСЕ АЛЕКСАНДРОВИЧЕ
Елма преподобному и похваляему възвеселяться людие,[2] и якоже рече Соломан, паче же и нами видимый и иже посреди нас не невидомо свѣтило великое — великий князь Борис Александровичь, и иже хвалимый и прославляемый от востока да и же и до запада; и како же мы и не возвеселимься, и иже толику радость даровалъ Богъ Тверской земли. И иже по благодати Божии и даннаго Богомъ на утвержение Тверской земли и на крѣпость человѣческому роду да въсхвалимъ и почтем благороднаго и благовѣрнаго и иже от чрева матерня Богомъ обѣтованнаго, и иже быти ему земному оку, и иже всѣм вкупѣ радость и веселие и безс печали житие. И якоже рече Иван Дамаскын,[3] идѣже нѣсть печали, и ту радость и веселие.	Если, как сказал Соломон, когда прославляют праведника, приходят в радость люди, то как же нам не возрадоваться, когда среди нас (находится) нами видимый и нам не безвестный, светило великое, великий князь Борис Александрович, хвалимый и прославляемый от востока и до запада; и как же нам не возвеселиться, когда даровал Бог таковую радость Тверской земле. Восхвалим же и почтим того благородного и благоверного, кто Божией благодатью дан на утверждение Тверской земле и на укрепление человеческого рода, — того, кому от материнской утробы было Богом предназначено стать земным властителем на всеобщую радость, и веселие, и на беспечальное житие. Как сказал Иоанн Дамаскин, где нет печали, там радость и веселие.
И егда же хто х кому любовъ имѣя, и другому же тому похваляющи, и слышащему же о друзѣ и его добрая похвалениа, то и велика радость бываетъ слышащему. Или како же мы не възвеселимься и от всѣх земль славимому и похваляемому государю нашему и защитнику Тверской земли, великому князю Борису Александровичю, въ всѣх странахъ и языцех. И понеже бо самодобродительна и такова государя являет Богъ и иже от Владимера, добрѣ да ублажим[4] Богомъ преблагословеннаго.	Когда кто-либо питает к кому-нибудь любовь, а (в это время) другой (человек) любимого им хвалит, то тому, кто слышит о друге его добрые слова, бывает великая радость. Неужто же мы не возрадуемся, в то время как государь наш и защитник Тверской земли, великий князь Борис Александрович, прославляется и восхваляется во всех концах земли и народах. И так как столь добродетельного государя от рода Владимирова являет нам Бог, то достойно прославим (его), прославленного Богом.
И княжение его в мирѣ сем велелѣпотно от чюдес Божиих. И како сбыстся Писание пророком Давыдом, глаголющимъ: «И иже въ отець твоихъ быша сынове твои»,[5] и сий бо великий князь Борисъ Александрович, на отчии престолѣ Богом утвержаемъ, и преспѣваем въ всяку благодать добродители, и всим добропреступенъ, и руцѣ имѣя по многу щедры, и богочтець, и священнолюбець, и всим вкупѣ сладокъ и вжелиненъ, и далечих сущих близ себе сотворяет, и всих душа и сердце теплою любовию к себе привлачитъ.	И княжение его в сем мире приукрашено чудесами Божиими. И как сбылись слова пророка Давыда в Писании (о том, что) «вместо отцов твоих стали сыновья твои», так и сей великий князь Борис Александрович на отеческом престоле Богом утверждается и преуспевает во всяческих благих добродетелях, доступен всем и щедр на руку, почитатель Бога и ревнитель всего священного, и всем вокруг дорог и желанен, сотворяет дальних ближними себе и теплою любовью привлекает к себе души всех и сердца.
И всим о всем по Бозѣ на него упование имущим, и радовашеся вся земля Тверская, и яко дарова имъ Богъ такова государя, и пастыря, и истиннаго христолюбца, и богоутвержаема на отчимъ престолѣ. И овии же Моисея того именуют, и роководством Божиимъ новаго Израиля, Богомъ спасенный град Тверь, добрѣ правящи,[6] и инии же втораго Констянтина[7] за великое его человѣколюбие. И хто убо хощет изглаголати всея вселенныя похвалы о великом томъ самодрьжци? Но яже въ пророцѣхъ слышанная но здѣ убо дѣлом съвершаеться. И, якоже рече, юноша, и девы, и старци со юнотами,[8] вси вкупѣ единодушно и радостно въпиаху и глаголющи: «Велий еси, Господи, и чюдна дѣла твоя».[9] И кто възглаголеть силы твоя, Господи, яко даровалъ еси нам новаго Ярослава,[10] сего самодержавнаго великаго князя Бориса Александровичя.	И когда все обо всем после Бога на него возымели упование, возрадовалась вся земля Тверская, что даровал им Бог такого государя, и пастыря, и истинного христолюбца, утвержденного Богом на отеческом престоле. И одни Моисеем его именуют, с Божией помощью мудро правящим новым Израилем — Богом спасаемым городом Тверью, другие же — вторым Константином, за великое его человеколюбие. И кто вознесет похвалы всей вселенной великому тому самодержцу? Ведь то, о чем мы слышали от пророков, теперь здесь на деле совершается. Ведь, как сказано, юноши, и девы, и старцы с младенцами, — все вкупе единодушно и радостно возглашают и говорят: «Велик ты, Господи, и чудны дела твои». И кто опишет силу твою, Господи, ибо даровал ты нам нового Ярослава — сего самодержавного великого князя Бориса Александровича.
И понеже увеличися власть его и възвысися слава имени его въ страны далечиа, и о сем бо государѣ слышавше мнози людие в далних землях и въ царствиих, и абне радостно прихожаху, видити его хотяще, многорадостное то и свѣтловидное лице, ркуще в себѣ: «Благословенъ Господь, устроивый бес печали житие въ славней земли, глаголемей Твери, и въ крѣпкой державнѣй власти великаго князя Бориса Александровича». И пакы: «О сем рече Иевъ, иже око бѣ слепым и вож хромымъ».[11] Въ истинну рку: око и вожь. И нѣсть бо такова въ человѣцѣхъ, и иже бы видивь лице его, а не възвеселился, великого князя Бориса Александровича. И о сем бо рече Иаковъ целомудрому Иосифу: «Наипаче царскыя славы обьятъ мя лице твое».[12] Азъ же мня: лице великого князя Бориса Александровича, свѣтящеся паче камени сапфира и тѣмпазиа. И кождо нас на него зряще и всякого веселиа исполнитися. И инии же мнозии человеци прихожаху с великимъ тщаниемъ, токмо желая слышати и многосладъкую гласну и мудростную его рѣчь. Но о сем же ми мниться рече пророкъ Даввыдъ: «Сладка есть словеса твоя паче меда устом моимъ».[13] И азъ же мню, тако есть уста великаго князя Бориса Александровича, сладъше меду и сота всѣм человѣкомъ. И того бо ради славимо имя его от востока и до запада, и до самого царствующаго града, рку же и до Рима.	И поскольку расширилась власть его и возвысилась слава имени его далеко по странам, то многие люди в дальних землях и царствах, услыхав об этом государе, с радостью спешили прийти, желая увидеть его многорадостное и исполненное светом лицо, говоря про себя: «Благословен Господь, устроивший беспечальную жизнь в славной земле, называемой Тверью, в крепкой державе великого князя Бориса Александровича». И еще: «О таком сказал Иов, что он око был слепым и опора хромым». Воистину скажу: око и опора. И нет никого среди людей, кто бы не возрадовался, увидав лицо великого князя Бориса Александровича. О таком сказал Иаков целомудренному Иосифу: «Сильнее царской славы покорило меня лицо твое». Я же подразумеваю лицо великого князя Бориса Александровича, светящееся ярче каменьев сапфира и топаза. Всякий из нас, кто посмотрит на него, исполняется многого веселья. И другие многие люди приходили с великим рвением, желая единственно слышать его сладкогласную и исполненную мудрости речь. Мне даже мнится, что это о нем сказал пророк Давыд: «Слаще меда устам моим слова твои». Я знаю: таковы уста великого князя Бориса Александровича, слаще меда они и сота всем людям. И потому прославляется имя его от востока и до запада, и до самого царствующего града, то есть и до Рима.
И в которая бо бяше времена бывшу стязанию о православной вѣре христианомъ с римляне,[14] царю же цариградскому Иоанну възвѣстившу в послании: «И здравьствуй, възлюбленный брате о Христе». И приимъ же царская посланиа великий князь Борис Александрович,[15] и сихъ прочетъ предъ всим народомъ, и многыя радости душею и тѣлом исполнися, из глубины сердца въздыхая, и велми благодаря Бога, и глаголя: «Боже великий, сподоби мя приобѣщнику быти святому сему и Вселеньскому собору и еще же и по отеческой вирѣ поборнику быти».	В некие же времена, когда препирались о православной вере христиане с римлянами, царь цареградский Иоанн возвестил в послании: «Здравствуй, возлюбленный брат во Христе». И принял царские послания великий князь Борис Александрович, и прочитал их пред всем народом, и многой радости, душевной и телесной, исполнился, из глубины сердца воздыхая, и крепко благодаря Бога, и говоря: «Боже великий, сподоби меня быть причастным сему святому и Вселенскому собору, еще же и поборником стать за отеческую веру».
И того ради сътворяет праздникъ свѣтел и призываетъ на трапѣзу своего отца, боголюбиваго и епископа Илию,[16] и все священное славословие, и вси свои помѣстнии, и князи, и велможии. И такоже многочествовавъ посланныхъ царскыхъ и многы дары давъ имъ, и отпусти ихъ ко своему царю. И скоро своего посла устрояетъ ко Вселеньскому собору, именем Фому,[17] и повели ему прилѣжно смотрити, и аще ли что от Седмаго собора приимутъ или приложат, «того слышати и не хотим». Сицевое же имущи с Фомою писание, еже къ царю:	И по причине этой устраивает праздник светел и зовет на трапезу своего отца, боголюбивого епископа Илию, и все славное духовное сословие, и всех своих подданных, князей и вельмож. И, чествовав много посланников царских и одарив их многими дарами, отпустил он их к своему царю. И вскоре снаряжает на Вселенский собор своего посла именем Фому, и повелевает ему прилежно следить, чтобы если что отнимут или прибавят к Седьмому собору, то «того и слышать не желаем». И такое с Фомою отправляет послание к царю:
«Кало Иоанну царю! Преславнейшему, и свѣтлийшему, и Богом вѣнчанному самодрьжцу Греческиа земли, царю Иоанну — князь великий, Борисъ Александровичь, всея державы Тверьскиа земля. О Христѣ радоватися намъ со честною державою царьствиа твоего!	«Благому царю Иоанну! Преславнейшему, и светлейшему, и Богом венчанному самодержцу Греческой земли, царю Иоанну — князь великий, Борис Александрович, всей державы Тверской земли. Во Христе радоваться нам с честной державой царствия твоего!
Писаниа же твоя, еже ми еси прислал к намъ, и азъ сиа любовно приахъ, и в немъ же добрѣ вимы, что же писано о соединении святыя Божиа Христовы церкви, но яко да будетъ святый Вселеньский соборъ по первому преданию святыих правилъ и по чину святыхъ седми соборъ. Мы же о сем добрѣ радуемься, и колика сила, потолику чтнмься поборати по христианьской вирѣ. И того ради послахомъ, яко свое лице, ко святому Вселеньскому собору и къ честнѣй державѣ твоей. И прочее все и извѣститися от наших посланныхъ и о всемъ. Да здравьствуетъ святое ти царствие».	Что до послания твоего, которое ты прислал к нам, то я его принял с любовью, и в нем одобряю, что писано о соединении святой Божией Христовой церкви, и что будет святой Вселенский собор по первому преданию святых правил и по чину семи святых (Вселенских) соборов. Мы крепко радуемся этому и стремимся, сколько есть силы, ратовать за христианскую веру. И для того мы послали представителями своими (своих послов) на святой Вселенский собор и к честной твоей державе. Обо всем прочем получишь известие от наших посланных. Пусть здравствует твое святое царствие».
Фома же, посолъ великаго князя Бориса Алексанъдровича, приимъ таковая писаниа и поиде от Твери на Новгородцкую землю, и оттоле на Пьсковьскую землю, а оттоле на Немецкую земълю,[18] и оттоле на Курвскую землю,[19] а оттоле на Жмотьскую земьлю,[20] и оттоле на Прускую землю,[21] а оттоле на Словенъскую землю,[22] и оттоле на Любутскую землю,[23] а оттолѣ на Морьскую землю,[24] и оттоле на Жуньскую землю,[25] а оттоле на Свѣйскую земьлю,[26] и оттоле на Флореньзу.	И Фома, посол великого князя Бориса Александровича, взял это послание и отправился из Твери в Новгородскую землю, и оттуда в Псковскую землю, а оттуда в Немецкую землю, и оттуда в Курляндскую землю, а оттуда в Жмудскую землю, и оттуда в Прусскую землю, а оттуда в Словенскую землю, и оттуда в Любекскую землю, а оттуда в Морьскую землю, и оттуда в Жуньскую землю, а оттуда в Шведскую землю, и оттуда во Флоренцию.
