Прихожение Михайлово. Чюдо 1-е, иже уродиваго Христа ради, еже есть на Клопско на Веряжи.	Явление Михаилы. Чудо первое юродивого Христа ради из Клопска, что на реке Веряже.
Прихожение Михайла, уродивого Христа ради, къ святѣй Троицѣ[1] на Клопско при Феодосии, нареченнѣмъ на владычество.[2]	Приход Михаилы, юродивого Христа ради, в монастырь святой Троицы на Клопске при Феодосии, избранном на владычество.
Чюдо 1. А пришолъ канунъ дни честнаго Рожества Иоанна[3] в нощъ. И попъ Макарий, покадивъ церковь на 9-й пѣсни, да пошелъ в келью, ажь келья отомчена. Войде в келью, ажь старець сѣдитъ на стулѣ, а пред ним свѣща горитъ, а пише сѣдя Дѣаниа, святаго апостола Павла и плавание.[4] И попъ, уполошився, да пошолъ въ церковь да сказалъ Феодосию игумену и чернцамъ.	Чудо первое. А пришел ночью, в канун Иванова дня. Поп Макарий, покадив церковь на девятой песне, пошел в келью, а она открыта. Вошел поп в келью, а там сидит на стуле старец, а перед ним свеча горит, и переписывает он Деяния, святого апостола Павла плавание. И поп, переполошившись, вернулся в церковь да рассказал об этом Феодосию-игумену и чернецам.
И игуменъ, вземъ кресть и кадило, и прииде х кельи и с чернцы, ажь сѣнцы заперты. И онъ посмотрѣлъ в окно в кѣлью, ажь старець сѣдя пише. И игуменъ сътвори молитву: «Господи Исусе Христе, сыне Божий, помилуй нас, грѣшных!» И онъ противъ сътворилъ молитву. И игуменъ трижды сътворилъ молитву, и он противъ игумена тако же 3-жды сътворилъ молитву.	И игумен, взяв крест и кадило, пришел с чернецами к келье, а сенцы в келью уже заперты. И посмотрел игумен в окно в келию, а там сидит старец и пишет. Тогда игумен сотворил молитву: «Господи Иисусе Христе, сыне Божий, помилуй нас, грешных!» И старец в ответ тоже сотворил молитву. И игумен трижды творил эту молитву, и он в ответ игумену тоже трижды творил эту молитву.
И Феодосий молви ему: «Кто еси ты, человекъ ли еси или бѣсъ? Что тебѣ имя?» И онъ ему отвѣщаетъ тѣ же рѣчи: «Человекъ ли еси или бѣс? Что тебѣ имя?» И Феодосий спросить его второе и третьее. А онъ противъ 3-жды тѣ же рѣчи отвѣщаетъ.	И Феодосии говорит ему: «Кто ты есть — человек ли или бес? Как твое имя?» А он ему отвечает теми же словами: «Человек ли ты или бес? Как твое имя?» И Феодосии спросил его во второй и третий раз. А он в ответ трижды повторил те же слова.
И повелѣ Феодосий игуменъ у сѣнець верхъ содрати, а у кѣльи двери выломити. И вшед в кѣлью игуменъ да почалъ по кѣльи темьаном кадить да и старца кадить учялъ. И онъ от темьяна закрывается, а крестомъ знаменается. И игуменъ еще въспроси его Феодосий: «Какъ къ нам пришелъ? Откуду еси? Что еси за человекъ? что ти имя твое?» И старець ему отвѣща тѣ же рѣчи: «Какъ еси к нам пришолъ? Откуду еси? Что твое имя?» И не могли ся у него допытати ту имени.	И повелел игумен Феодосии в сенцах крышу содрать, а в келье дверь выломать. И, войдя в келью, начал игумен келью фимиамом кадить и старца стал кадить. И тот от фимиама прикрывается, а сам осеняет себя крестным знамением. И еще спросил его игумен Феодосии: «Как ты пришел к нам? Откуда ты? Что ты за человек? Как имя твое?» И старец отвечал ему теми же словами: «Как ты к нам пришел? Откуда ты? Как имя твое?» И не могли допытаться у него о его имени.
И Феодосий млъви старцам таково слово: «Не бойтеся, старци, Богъ намъ послалъ сего старца».	И Феодосии молвил старцам такие слова: «Не бойтесь, старцы, Бог нам послал этого старца».
И потомъ позвонили обѣднюю и попъ Макариа къ церкви. И начали обѣднюю пѣть. И гдѣ пришло пѣть «Единородный»,[5] ажь старець иде въ церковь и онъ почал пѣть «Единородный», и «Блажено», и Апостолъ, и все обеденное пѣтье пѣл и до конца. И попъ, отпѣвъ обѣднюю, да Феодосию далъ проскуру,[6] и Феодосий далъ старцу, да молвитъ: «Пойди к намъ въ трапезу хлѣба ясть!» И онъ с нимъ в трапезу. И отъѣдши хлѣба, да Феодосий рече ему: «Буди у насъ, старче, живи с нами». Да самъ Феодосий ввелъ его в келию.	И потом позвонили к обедне, и поп Макарий пошел в церковь. И начали служить обедню. И когда пришло время петь «Единородный», то старец вошел в церковь и тоже начал петь «Единородный», пропел и «Блаженны», и Апостол, и всю обеденную службу пропел до конца. И поп, отслужив обедню, дал Феодосию просвиру, а Феодосии дал ее старцу и молвил: «Иди к нам в трапезную хлеб есть!» И он со всеми пошел в трапезную. И когда поели, то Феодосии, говорит ему: «Оставайся у нас, старец, живи с нами». И сам Феодосии ввел его в келью.
Чюдо 2-е, о разбойникѣх.[7] По малѣ по томъ времени вышелъ Феодосий игуменъ и старци из церкви от обѣдней, отпѣвъ обѣднюю, ажь явилися три мужи у церкви. И Феодосий игуменъ подастъ им проскуру, ино два взяли проскуру, а одинъ не взялъ. И рече старець Феодосию: «Зови их хлѣба ясть, занеже издалеча пришли».	Чудо второе, о разбойниках. Спустя немного времени как-то Феодосий-игумен и старец, после того как окончилась обедня, вышли с обедни из церкви, а у церкви стоят трое неизвестных. И Феодосий-игумен дал им просвиру, и двое из них взяли просвиру, а один не взял. И старец говорит Феодосию: «Зови их хлеб есть, ведь они издалека пришли».
Да сѣли за трапезою, да не ядять. И спроси их старець: «О чомъ, дѣтки, не ядите?» И оны ркуть: «Есть, господине, у нас товарищи». И онъ одного послалъ: «Позови товарищовъ». И онъ шед да позвалъ их. Ажь идутъ 12 человѣкъ со оружьемъ к тѣмъ трема. И понуди их старець хлѣба ясть, — ани не хотятъ хлѣба ясть. Инии хлеба вкусиша, а одинъ, старѣйшина от них, ни хлѣба не вкушал и нача сердцемъ стонати. И котории хлѣбъ яша, тии пошли прочь, а два от них разболѣлися. И единому прерѣкоша: «Постригися — здравъ будеши!», а другому рече: «Иди, молви своимъ другомъ: по ся мѣста не украдите, не разбиете, останите грѣховъ своих». А товарища ихъ постригоша и даша имя ему Дорофѣй.	Сели в трапезной за стол, да не едят. Тогда спрашивает их старец: «Почему, детки, не едите?» А они говорят: «Есть, господин, у нас еще товарищи». И он одного послал: «Позови товарищей». И тот пошел и позвал их. А их идет, к тем троим, еще двенадцать человек с оружием. И стал старец понуждать их поесть хлеба — не хотели есть. И некоторые из них поели, а один, старший среди них, и хлеба не захотел попробовать, и охватил его сердечный недуг. И те, которые поели, пошли прочь, а двое из них разболелись. И одному из них старец сказал: «Постригись — тогда выздоровеешь!», — а другому сказал: «Иди, скажи своим друзьям: с этих пор больше не крадите, не разбойничайте, отступитесь от своих грехов». А товарища их постригли и дали ему имя Дорофей.
Чюдо 3-е о Михайлѣ. Како позналъ князь Костянтинъ его.[8] По томъ времени приѣхал князь Костянтинъ Дмитреевичь съ княгинею своею причаститися и манастыря кормити на Преображение Господне.[9] И заставили его Книгу честь Иева праведнаго[10] за обедом. И князь, услышавъ голосъ его, да посмотрѣ въ очи и позна его. Да молви ему: «А се Михайло, Максимовъ сынъ». И онъ противъ молви князю: «Богъ знаетъ!» И Феодосий игуменъ ему молвит: «Чему, сынко, имени своего намъ не скажешъ?» И онъ противъ молвит: «Бог знаетъ!» И с тѣх мѣстъ сказалъ свое имя — Михайло. И почали его звать Михайломъ.	Чудо третье о Михаиле. Как узнал его князь Константин. Вскоре после этого, на Преображение Господне, приехал князь Константин Дмитриевич со своей княгиней, чтобы причаститься и монастырь накормить. И за обедом заставили старца читать Книгу Иова праведного. И князь, услышав голос его, посмотрел ему в лицо и узнал его. И говорит ему: «А ведь это Михаила, Максимов сын». И он в ответ молвил князю: «Бог знает!» И Феодосий-игумен ему сказал: «Почему, сынок, имени своего нам не назовешь?» И он молвил в ответ: «Бог знает!» И с тех пор назвал свое имя — Михаила. И начали его звать Михаилом.
