МЕСЯЦА НОЕВРИА 5 ДЕНЬ.	МЕСЯЦА НОЯБРЯ В ПЯТЫЙ ДЕНЬ.
ВЪСПОМИНАНИЕ О ЖИТИИ ЧЮДОДѣИСТВИ И О ПРЕСТАВЛЕНИИ О БЛАЖЕНЕМЪ ИОНѢ АРХИЕПИСКОПѢ ВЕЛИКАГО НОВАГРАДА, ИЖЕ БЫСТЬ ПО ВТОРЕМЪ АРХИЕПИСКОПѢ ЕУФИМИИ ЧЮДОТВОРЦИ, ИЖЕ НА ВЕЖИЩАХЪ,[1] В ЛѢТО 6976-Е ДО ЛѢТА 9-ГО	ВОСПОМИНАНИЕ О ЖИТИИ И ЧУДЕСАХ И О ПРЕСТАВЛЕНИИ БЛАЖЕННОГО ИОНЫ, АРХИЕПИСКОПА ВЕЛИКОГО НОВГОРОДА, КОТОРЫЙ БЫЛ ПОСЛЕ ВТОРОГО АРХИЕПИСКОПА ЕВФИМИЯ-ЧУДОТВОРЦА, ЧТО В ВЯЖИЩАХ, ОТ ГОДА 6976 (1468) ДО ГОДА 6979 (1471)
Вспомянути и блаженнаго нашего пастыря Иону добро по немалымъ словом. В чин же и зде приложися въспомянути его по преподобнемъ архиепископѣ нашемъ Еуфимии, иже въсиавшу пред очима нашима, и добродѣтелей его, и благодѣяний всѣ мы приимателе и свидѣтеле суще. Толико бо трудися за люди своя, паству свою добрѣ пасый, яко добрый пастырь — въистину Еуфимие![2] Въ время изнеможениа благодушьствуяй и предстоя стаду своему по Гоподню словеси: «Не оставляа стада и бѣгая наемническы, но душу свою полагая за пасомыа своя».[3]	Теперь хорошо вспомнить и блаженного нашего пастыря Иону, хотя бы в кратком слове. Кстати вспомнить его здесь после преподобного архиепископа нашего Евфимия, что воссиял пред очами нашими и чью добродетель и благодеяния все мы испытали и были свидетелями им. Ведь так много потрудился он за людей своих, хорошо пася паству свою, как добрый пастырь — воистину Евфимий! Во время бедствий спокойно вел стадо свое, по Господнему слову: «Не оставляй стадо, бегая как наемник, но душу свою положи за подопечных своих».
Преже бо зѣло малѣх дней епископьства его въздвижеся Витовтъ, князь виленьский,[4] аки волкъ гладенъ человеком нападая плоти их, оружиемъ хапая иже полнъ и своеродных кровей. И со всѣм литовским множествомъ ходя на Великий Новъград оборити и попленити хотя. И Порховъ градъ уже аки в неводѣ обиатъ войска множествомъ, и борити той начинаше, и вся злая творити не умолчеваше. И от сего всему Великому Новуграду в подвизѣ велицѣ сущу и мнозѣ трудѣ, не многом бо преже с Нѣмци боришася, таже и гладом дручени быша, таже и от своего князя насиловани; тѣм же суровый волкъ яко время гладству своему обрѣте, на уставшая люди уже и много трудившаяся преже прииде пожрети мысля. Преступивъ мирныя клятвы безаконно и пагубно, обаче послѣди въздасть ему Господь ординьскими цари! Цари бо одриньстии с своими татары многое его литовьское воиньство излѣзшее на ня в поле, аки худы нѣкиа животны, иже от пещеръ изскачющая погубиша, и силныа коня его и комони отъяша, самому Витовту в малѣ полцѣ утекшу, и полскыя грады и великая села без заставы оставивъ, свое спасение токмо ища. Их же татарьстии руцѣ пусты ему вся положиша мнозѣмъ гнѣвом царя ихъ.	Совсем незадолго до епископства его поднялся на новгородцев Витовт, князь виленский, подобно голодному волку нападая на людей, оружием поражая даже тех, в ком текла родная ему кровь. И со всей многочисленной литовской силой пошел он на Великий Новгород, покорить и пленить стремясь его. И город Порхов уже, словно неводом, объял множеством войск, и осаду его начал, не переставая совершать зло. И оттого весь Великий Новгород был в сильном изнеможении и военных заботах, так как незадолго до этого с немцами воевал, а также голодом был истощен и насилиями собственного князя; и вот этот свирепый волк, словно одолеваемый голодом, напал на уставших и давно измученных людей, задумав пожрать их. Беззаконно и преступно нарушил он мирный договор, за что после воздаст ему Господь через ордынских царей! Ведь ордынские цари с татарским своим войском его многочисленное литовское войско, напавшее на них в поле, словно какие-то дикие звери, выскочившие из пещер, погубили и могучего коня его, и остальных коней захватили, а сам Витовт с небольшим полком бежал, оставив польские города и большие села без застав, думая лишь о своем спасении. И опустошили их татарские руки из-за сильного гнева их царя.
Егда же борющу сему Витовту град Порховъ и Великому Новуграду злѣ прѣтящу, тогда блаженному Еуфимию с послы Великаго Новаграда от архиепископа Емелиана, иже Еуфимиемъ преименованнаго,[5] к ратнику сему о смирении ходившу. И много к нему трудися, всяко к лукавьству его тайная бо лсти Витовтова сердца прилѣжными къ Богу молитвами претворити на благо и преложити на истину мняшеся, видимую же его злобу множеством сребра укрощаваше. И толико трудися в молитвах к Богови и в дарох к ратнику, донелѣже того въ своя възвратитися сотвори преподобный, и, граду своему многу радость исходатаивъ, прииде.	В то время, когда этот Витовт наступал на город Порхов и угрожал Великому Новгороду, блаженный Евфимий с послами Великого Новгорода от архиепископа Емелиана, который потом был Евфимием назван, ходил к воителю этому говорить о мире. И много потрудился он, стараясь лукавство и затаенное в сердце коварство Витовта усердными к Богу молитвами переменить на добро и справедливость, а явную его злобу множеством серебра укрощая. И до тех пор усердствовал преподобный в молитвах к Господу и в дарах к завоевателю, покуда тот не возвратился восвояси, а он, добившись большой радости для города своего, вернулся.
Не по мнозѣ же Емелиану честному почившу, сий възведенъ бысть въ архиепископьство. В немже колико трудися, и въгнѣвѣх своего князя иже на град его, и ратною рукою въздвизающася на своя нелѣпотно двоицею. Ходатаиствуя посреди и тружаяся зело и ового дарми укротя и тяжестию сребра утоляа, овыя же благыми словесы утѣшая, мировати къ князю своему увѣщавая. Изрядндѣе же доброту показа на плененыа и блаженныи, якоже и въ споминаниих о нем сказася и блаженным Ионою, в повелѣном списании в лѣта яже архиепископьства его.[6]	Когда вскоре после этого умер честной Емелиан, Евфимий был поставлен архиепископом. Много потрудился он, когда разгневался князь на город его и дважды поднимал неприязненно оружие на свой город. Усиленно посредничал Евфимий между горожанами и князем, одного укрощая дарами и утоляя тяжестью серебра, других же утешая добрым словом, уговаривая помириться с князем своим. Еще большую доброту проявил он к плененным и блаженным, как это видно по воспоминаниям о нем и в сказании, написанном по повелению блаженного Ионы в годы его архиепископства.
Сего же самого приснопаметнаго преподобника и святителя Иону въспомянути приложися нынѣ к памети Еуфимиевы, по нем бо архиерѣиский престолъ Великаго Новаграда церкве украшаше и пастырьская исправляше достойно и праведно. Аще и в мало лѣт прилучися ему настояти, тридесяте бо лѣт точию пасе[7] Христово стадо, но многу и велику свѣтлость показавъ изряднаго благопребываниа и добродѣяниа.	Самого же приснопамятного праведника и святителя Иону следует вспомнить, вспоминая о Евфимий, ибо после Евфимия архиерейский престол церкви Великого Новгорода украшал Иона и долг пастырский исполнял достойно и праведно. Хотя и недолго пришлось ему настоятельствовать — только тридцать лет пас он стадо Христово, — но успел проявить светлость многой доброты и благих дел.
Съвершену бо ему сущу старостию помазание архиерѣйства приатъ, юностию же крѣпостию поощряемъ на благодѣиствиа. Прежде же архиерѣиства в пустыни рекомѣи Отни архимандрита Харитона[8] добродѣтелей подвигы прохожаше честный сей муж. В той бо пустыни Отни своих власовъ отъятие и мира отречение сътвори, ту и обѣты Господеви въздаде; тогда тои потребами велми скуднѣи еще. И понеже ту от многъ лѣтъ постяся бѣ и благожизнию дѣтелии и благодѣтию, и игуменьства тоя обители достоинъ бывъ, прозвитерства даръ имый.[9] Мнози же от гражанъ и честных немало пустыни тоя уединению чюдящеся и живущая в ней чтяху, наипаче же игумена ихъ, сего Иону, зело любяще, добрыми дѣлы яко свѣтящася мужа видяху и смирениемъ украшена, многым разсудителна же и незлобива, в простотѣ ходяща, по апостолу. Тѣм же и спомогаху ему от имѣний своих, той же приходящая ему имѣниа не собѣ сокровищьствует, но въ общину всѣм живущимъ ему полагает, имиже и обители помощь умышляет; потребная той пристраяет, и приходы искуповая, якоже и иныя обители стяжаша.	Уже в старости пришлось ему принять помазание архиерейское, но с силой юношеской вдохновлялся он на благие дела. До архиерейства же прошел этот честной муж добродетельный путь подвижничества в Отенской пустыни архимандрита Харитона. В той Отенской пустыни постригся он и отрекся от мира, там дал и обеты Господу; тогда монастырь этот был еще очень беден. И многие годы посвятил он тут постнической и добродетельной жизни и удостоился стать игуменом этой обители, имея дар пресвитерства. Многие же горожане и честные люди немало дивились уединению той пустыни и почитали ее обитателей, а особенно сильно любили игумена их, этого Иону, ибо видели, что сияет он добрыми делами и смирением украшен, во всем рассудителен и незлобив, и живет просто, по заповедям апостольским. Поэтому они помогали ему от имения своего, а он получаемое богатство не для себя копил, но отдавал в общественное имущество всех живущих с ним, принося этим помощь обители; устраивал, что нужно для нее, и приходы выкупал, так же как и другие обители.
Сей блаженный Иона еще дѣтску ему сущу, произбранъ от Бога въ благое, пронареченъ бывъ въ святительство Великому Новуграду. Отрочищу еще ему сущу, осиротѣвшу ему от родителю своею, вдовица нѣкая, матерьски поболѣвьши о немъ, въспита й, приемъ того аки истовая родителница. Еюже вдану ему бывшу нѣкоему диакону наказатися священным книгам. Еще же и нищетѣ к сиротству присовокупившися ему, нездрава тѣлом творяшеть его, и чястое болѣзнемъ приложение худость ему придаяше. Кротостное обычая и тихое нрава по многу снабдѣвати обыче добрыи сей, радованию же и игранию дѣтей николи же приближатися изволи. И аще когда от учителя отхожаше съ множеством съученическим ему и улица граду кдому приходити бываше, всѣмъ яко дѣтемъ игранию радующимся, той подале стояти отъ нихъ обычно имяше, егда и случашеся когда яко дѣтску позоровати.	Когда этот блаженный Иона был еще ребенком, Бог избрал его для благого пути и предназначил ему быть святителем в Великом Новгороде. Будучи еще отроком, потерял он родителей своих, и вдова некая, по-матерински пожалев его, взяла к себе и воспитала его как родная мать. Она же и отдала его одному дьякону для изучения священных книг. К тому же к сиротству его прибавилась и бедность, поэтому телесные болезни одолевали его, а частые хвори сделали его хилым. Привык добрый отрок этот к кроткому поведению и тихому нраву, и к весело играющим детям никогда не приближался он. А когда возвращался от учителя со многими учениками по городским улицам домой, и все по-детски весело играли, то он обычно стоял в стороне, иногда только, как ребенок, взирая на них.
Единою же честному Михаилу, уродивому мирови,[10] Богови же премудрому, въ градѣ первое шествие творящу, дѣтищу же сему стоящу на мѣстѣ укромнѣ, и мнозѣмъ съученикомъ его играющим. И блаженнаго Михаила узрѣвше, уродствено грядуща по улицы, вси дѣтие игры своя оставльше, аки на чюдо к Михаилови притекоша, смѣющеся о нем и рукающеся ему, измѣтаемая из домовъ сметиа на главу безумнѣ възметаху и камение по ногах метаху ему, не знаему ему сущу тогда. Ибо преже вселениа его на Клопско и первое въ градѣ явившуся и ходящу в первый день пришествиа его в Великый Новъград, въ епископьство блаженнаго Иоанна, иже позлати верхъ Святѣи Софии.	Однажды, когда честной Михаил, юродивый в миру, но мудрый в Боге, шел в первый раз по городу, мальчик этот стоял в укромном уголке, а множество соучеников его в это время резвились. И, увидев блаженного Михаила, который, юродствуя, проходил по улице, все дети бросили игры свои и подбежали к Михаилу, словно к некоему чуду, и, насмехаясь и издеваясь над ним, стали, по глупости своей, кидать выбрасываемый из домов мусор ему на голову и бросать камни под ноги, ибо тогда еще никто не знал его. Ведь это было до того, как Михаил поселился в Клопском монастыре, и тогда он впервые появился в городе и ходил по нему в первый день своего прихода в Великий Новгород, во время епископства блаженного Иоанна, который покрыл золотом купол Святой Софии.
И блаженный Михайло, ни единоже радение о безумии дѣтей творяше грядый, но устремися въ уголъ улицы, идѣже честное дѣтище се стояше в тихости своей. Дневному свѣту уже оскудѣвающу и вечеру бывающу, но обаче внутрениа пресвѣтлы очеса Михаилови бываху. Притекъ бо взятъ отрочища сего за власы, и подъемъ его вышши себе, въпиаше ему: «Иване, — тако бо от святаго крещениа имя дѣтищу — учи книгы прилѣжно, имаши бо великому граду сему архиепископъ быти». И, обиемъ его, отиде. Яко нѣкогда Господь нашь Исус Христос отрочя едино пречистыма си рукама обьемъ, учаше апостолы: «Иже, рече, не смирится, яко отроча се, не прииметь Царства Божиа.[11] И приемляй таково отрочя во имя мое, глаголаше Господь, мене приемлет». Тако и блаженный Михайло Иону сего дѣтска обьем, пророческимъ духомъ глаголаше ему внимати учению святых книгъ, именемъ нарицая, егоже николи не знааше, Иваномъ, тому приглашая. Духовныма бо очима яко настоящая смотря, по мнозѣх лѣтех хотящаа ему быти, увидѣвъ божественым откровением пронареченное ему от Бога святительство (якоже древле и къ Иеремию пророку реченое[12] от Бога): «Зрю, яко преже реченое зачятся свѣм тя, и преже даже не родися, святих тя». И на семъ Ионѣ, помыслить кто, Божие благословение тако же бываемо.	И блаженный Михаил проходил по улице, не обращая никакого внимания на безумие детей, но вдруг он устремился в конец улицы, где тихо стоял этот честной отрок. И хотя уже угасал дневной свет и наступал вечер, однако Михаил все видел светлым внутренним взором. Он подошел и, взяв отрока сего за волосы и приподняв его над собой, воскликнул: «Иван! — так назвали при крещении отрока, — изучай книги прилежно, так как быть тебе архиепископом сего великого города». И, обняв его, отошел. И некогда Господь наш Иисус Христос одного отрока обнял пречистыми своими руками, поучая апостолов: «Если, — сказал, — не смиритесь, как отрок сей, не обрящете Царства Божия. А кто примет этого отрока во имя мое, — говорил Господь, — тот меня приимет». Так блаженный Михаил обнял отрока Иону, пророческим духом наказывая ему внимать учению Священного писания, и, никогда не зная прежде, назвал по имени — Иваном. Ведь духовными очами увидел как свершившееся то, что должно было произойти с Ионой через много лет, прозрев божественным откровением предназначенное тому от Бога святительство (так же и в древности Иеремии-пророку предсказано было Богом): «Знаю тебя до твоего зачатия и прежде твоего рождения святил тебя». И на том Ионе, если размыслить, было такое же Божие благословение.
