О Господи, спаси же! О Господи, поспѣши же!	О Господи, спаси! О Господи, помоги!
Молитва: Владыко мой, Господи Вседръжителю, благымъ подателю, отче Господа нашего Иисуса Христа! Прииде на помощь мнѣ и просвети сердце мое на разумѣние заповѣдий твоих и отверзи устнѣ мои на исповѣдание чюдес твоихъ и на похваление угодника твоего. Да прославится имя твое святое, яко ты еси помощник всѣм, уповающимъ на тя. В вѣкы аминь.	Молитва: Владыка мой, Господь Вседержитель, благо дарующий, отец Господа нашего Иисуса Христа! Приди на помощь мне и просвети сердце мое, дабы уразумел я заповеди твои, и отверзи уста мои, чтобы поведать мне о чудесах твоих и восхвалить угодника твоего. Да прославится имя твое святое, ибо ты помощник всем, уповающим на тебя. Вовеки аминь.
Възмагающу мя Господу Иисусу Христу и того свѣту, всенепорочнѣй Матери и угодника ея, о нем же мнѣ нынѣ слово. Аз же, окаанный, что имам рещи? Невѣжда сый и грубъ, паче грѣховъ исполненъ.	Да помогут мне Господь Иисус Христос и духовный свет его, всенепорочная Матерь Божия и угодник ее, о котором ныне мое слово. Я же, окаянный, что смогу сказать? Невежда и груб я, сверх меры грехами преисполнен.
Исповѣдати хощу о тацѣм свѣтилѣ, святѣмъ и велицѣмъ отци нашемъ Пафнутии,[1] аще и не достоинъ есмь отъ начала житиа его сповѣдати, ниже пакы онъ требуаше сия отъ мене, понеже Божий человекъ выше нашея похвалы; но души своей на въспоминание, паче же — на обличение, да не реку — на осужение. Не вѣмъ, како получивши сожительство такова мужа, и многым лѣтом единокровенъ быти, и толика учения его насладитися, и любви его со мъногымъ изообильством восприяти, аще и дерзостно ми есть рещи, якоже ин никтоже.	Поведать хочу о таком светиле, святом и великом отце нашем Пафнутии, хотя и недостоин я описывать все житие его, тем более что и не требовал он этого от меня — ведь Божий человек выше нашей похвалы; но делаю это на спасение души своей, более того — на обвинение, чтобы не сказать — на осуждение. Не разумею, как удостоился я жить вместе много лет под одной кровлей с таким мужем, и наслаждаться поучениями его, и любовь его безмерную восприять, как никто иной, хотя и дерзко говорить мне так.
Въ лѣто 6985, и индикта 10,[2] по святом же и честнѣмъ праздницѣ Пасхы, въ четверг 3 недели, назавтрее Георгеева дни,[3] в 3 час дни,[4] позва мя старець походити за манастырь. Егда же изыдохом, тогда начатъ шествовати кь пруду, егоже създа многым трудомъ своимъ. Егда же приидохом на заплот, узрѣ поток водный, явльшийся под мостъ, и начат мя учити, како заградити путь водѣ. Мнѣ же о сем рекшу: «Азъ иду съ братьями, а ты нам указывай», — ему же рекшу: «Нѣсть ми на се упражнения, понеже ино дѣло имамъ неотложно, по обѣде имам нужнѣе дѣло». Пакы старець възвъратися в монастырь, у же время литургии. Егда же свершися божественая служба, тогда с братьями в трапезу по обычаю шествоваше и пищи причастися.	В 6985 (1477) году, индикта десятого, после святого и честного праздника Пасхи, в четверг третьей недели, на другой день после Георгиева дня, в третьем часу дня, позвал меня старец с ним походить за монастырем. Когда же вышли из монастыря, то пошел он к пруду, который создал многими трудами своими. И вот, когда пришли мы на место за плотиной, увидели ручей, просочившийся под мостом, и стал он меня наставлять, как преградить путь воде. Когда я на это сказал ему: «Я приду с братьями, а ты нам указывай», — он ответил: «Не могу я этим заниматься, потому что есть у меня другое, неотложное дело, после обеда ждет меня более важное дело». Потом старец возвратился в монастырь, а уже настало время литургии. Когда же закончилась церковная служба, тогда, как обычно, пошел с братьями в трапезную и пищи отведал.
Егда же 6-му часу скончавшюся, тогда прииде ко мнѣ ученикъ старцев юнный Варсануфье и рече ми: «Старець Пафнотей посла къ тебѣ, поиди, идѣже ти сам повелѣхъ».	Когда же прошел шестой час, тогда пришел ко мне ученик старца, юный Варсонофий, и сказал мне: «Старец Пафнутий послал меня к тебе, иди туда, куда тебе повелел».
Мнѣ же смутившуся о семъ, скоро вьстах и идох къ старцу, и отворивъ дверь, и видѣхъ старца сѣдяща въ сѣнехъ у дверей на одрѣ въ велицѣ устроении, ничтоже глаголюща ко мнѣ. Аз же рѣх ему: «Что ради не изыдеши самъ? Нужи не имаши?» Блаженый же рече ми: «Нужу имам, ты не вѣси, понеже съуз хощеть раздрѣшитися». Мнѣ же недоумѣющуся и понеже страхом обьят бых о необычных его глаголѣхъ, не смѣях ничтоже рещи, и изыдох на неже мя дѣло посла.	Я же, недоумевая, быстро поднялся и пошел к старцу, и отворил дверь, и увидел старца сидящим в сенях у дверей на постели во всем облачении, и он ничего мне не говорил. Тогда я сказал ему: «Почему не пойдешь сам? Или не видишь в том нужды?» Блаженный же ответил мне: «Меня другое заботит, только ты не знаешь что — ведь узы должны разрешиться». Я же, не понимая, о чем он говорит, охваченный страхом из-за необычных его речей, не посмев ничего сказать, пошел туда, куда посылал меня старец.
Поях с собою братию, их же ми повелѣ, и преже со старцемъ бывшая ученика его Варсанофья, Зосиму и Малха. И мало тружьшиемся възвратихомся в монастырь, ничтоже усьпѣвше, понеже мног мятежь в душах имѣюще. И обрѣтох старца в кѣльи сѣдяща. Тогда глагола ми: «Скоро пошли ко князю Михаилу,[5] чтобы ко мнѣ сам не ѣхал, ни присылал никого ни о чем, понеже ино ми дѣло прииде».	Взял я с собой братьев, которых он повелел, — Варсонофия, ученика старца, Зосиму и Малха. И, немного потрудившись, возвратились мы в монастырь, ничего не сделав, потому что большое смятение царило в душах наших. И застали старца сидящим в келии. Тогда он сказал мне: «Поскорее пошли к князю Михаилу, чтобы и он сам ко мне не ездил, и не присылал бы никого ко мне ни с какими просьбами, потому что приспели мне иные заботы».
Егда же приспѣ вечерни время, тогда не возможе нти с братиями на вечернее правило.[6] По отпущении же вечерни братиа приидоша къ кѣлии старца увѣдѣти, что ради не приде в собор. Старець ни единому не повелѣ внити к себѣ, рекъ: «Въутрений день да сберутся вся братия». Такоже и на павечернее правило не возможе изыти. Мнѣ же не отступающу его, рече бо ми: «В сий же день четверток имам премѣнитися немощи моея».	Когда же наступило время вечерни, то не смог он пойти с братиею на вечернее богослужение. По окончании же вечерни братия пришла к келье старца, чтобы узнать, почему он не пришел в церковь. Старец же никому не разрешил войти к себе, сказав: «Наутро пусть соберется вся братия». Также и на повечерие не смог пойти. Я же не отходил от него, потому что сказал он мне: «В сей день недели, в четверг, избавлюсь от немощи моей».
Мнѣ же дивяшуся о необычных глаголѣхъ. Таже повелѣ ми павечерницу проглаголати,[7] таже отпусти мя ити в кѣлию мою. Мнѣ же не хотящу, едва изыдох. Тогда не обрѣтох покоя всю нощь, но без сна пребывах, множицею и к кѣлии старца прихождахъ в нощи и не смѣях внити, понеже слышах его не спяща, но молящася. Ученику же его, юну сущу, ничтоже от сих вѣдящу, точию сну прилежащу.	Я же подивился необычным словам его. Потом велел он мне читать повечерие, а потом отпустил меня в келью мою. Мне же с большой неохотой пришлось уйти. И не обрел я покоя во всю ночь, но без сна пребывал, много раз ночью к келье старца приходил и не смел войти, потому что слышал — не спит он, а молится. Ученик же его, совсем еще юный, ничего не ведал и крепко спал.
Егда же бысть час утрени, тогда вжегъ свѣщу, поидох, понеже заповѣдь имам от старца преже многых лѣтъ во время пѣниа приходити и часом времена являти. Повелѣ братии поити на утренее славословие, мнѣ же повелѣ у себе полунощницу и завтреню проговорити,[8] сам же въставъ сѣдѣше, дондеже скончах.	Когда же наступило время утрени, тогда зажег я свечу и пошел, потому что за много лет еще до этого велел мне старец ко времени пения приходить к нему и тем возвещать о времени. И повелел братии идти на утреню, мне же велел у него в келии полунощницу и заутреню прочитать, а сам поднялся и прослушал всю службу, пока я не закончил.
