МЕСЯЦА СЕПТЕВРИЯ ВЪ 28 ДЕНЬ УБЬЕНИЕ СВЯТАГО ВЯЧЕСЛАВА, КНЯЗЯ ЧЕСЬСКА	МЕСЯЦА СЕНТЯБРЯ В 28 ДЕНЬ УБИЕНИЕ СВЯТОГО ВЯЧЕСЛАВА, КНЯЗЯ ЧЕШСКОГО
Господи, благослови, отче.	Господи, благослови, отче.
Се нынѣ сбысться пророческое слово, еже глаголаше Господь нашь Исусъ Христос. «Будет бо, — рече, — в послѣдняя дни, якоже мнимъ суща, въстанеть бо братъ на брата своего, и сын на отець свои, и врази домашнии. Человѣци бо себѣ немили будуть, да въздасть имъ Богъ по дѣломъ ихъ».[1]	Исполнились ныне пророческие слова, которые говорил Господь наш Иисус Христос. «Ибо будет, — говорил он, — в последние дни, — как думаем, наступившие, — восстанет брат на брата своего, и сын на отца своего, и враги <человеку> — домашние <его>. И люди будут безжалостны друг к другу, и за это воздаст им Бог по делам их».
Бѣ же князь великъ славою, в Чехах живый, именем Воротиславъ,[2] и жена его Дорогомиръ.[3] Родиста же сына перьвенца, и яко крестиста и, нарекоша имя ему Вячеслав.[4] И възрасте отрок, яко бы уяти ему волос,[5] и призва Воротиславъ князь епископа Нотария[6] съ всѣмъ клиросомъ. И пѣвшимъ литургию[7] въ церкви святыя Мария,[8] и вземъ отрока, постави на степени пред олтаремъ, и благослови, и се рек: «Господь Исусъ Христосъ, благослови отроча се благословениемъ, имже благословилъ еси праведники твоя». И постригоша князь. Ино темже мнимъ, яко убо благословениемъ епископа того, но молитвами благоверными нача отрокъ рости, благодатью Божиею хранимъ. И въда и баба своя Людмила[9] оучити книгамъ словеньскимъ по слѣдоу попову и навыче разумъ добрѣ. Отсади же Воротиславъ в Будучь,[10] и нача отрокъ учитися книгамъ латыньскимъ, и научися добрѣ.	Был же князь, великий славою, живший в Чехии, по имени Вратислав, и жена его Драгомирь. И родили сына первенца и, когда крестили его, нарекли имя ему Вячеслав. И пришел отрок в тот возраст, чтобы срезать ему волосы, и призвал Вратислав князь епископа Нотария со всем клиром. И когда пропели литургию в церкви святой Марии, и взяв <епископ> отрока, поставил на ступени перед алтарем, и благословил, и сказал так: «Господи Иисусе Христе, благослови этого отрока благословением, которым благословил ты праведников своих». И постригли князя. И потому думаем, что по благословению епископа того и по молитвам благоверным начал отрок расти, хранимый божиею благодатью. И отдала его бабка его Людмила учить славянским книгам, как подобает священнику, и <он> хорошо усвоил <их> смысл. И отсадил его Вратислав в Будеч, и начал отрок учиться латинским книгам, и выучил хорошо.
В то же время умре Воротиславъ князь, и поставиша Вячеслава на столѣ дѣдьни,[11] и оттоле Болеславъ[12] нача подъ нимъ ходити. Бяшета бо оба мала, мати же ею Дорогомирь утверди землю и люди своя устрои. Яко въспитѣ сыны своя, яко нача Вячеславъ строити люди своя.[13] Имяше же сестры 4, и вдаста я в росна княженья,[14] и устроиста я. И възложи Богъ благодать таку на Вячеслава князя: и нача же умѣти книги латыньския, якоже добры епископъ или попъ да аще и възмяше я, грѣческия книги или словеньския, прочиташе явънѣ безъ блазна. Не токмо же книги умѣяше, но вѣру свершая всѣмъ убогимъ добро творяше: бѣдныя напиташе и одѣваше по еуагльскому учению, божия рабы[15] питаше, вдовиць не дадяше обидѣти, люди вся убогыя и богатыя миловаше,[16] церкви вся златомъ украси, вѣроваше въ Бога всѣмъ сердцемъ, все благое творяше в животѣ своемъ.	И в то время умер князь Вратислав, и возвели Вячеслава на престол предков, и с тех пор Болеслав стал подчиняться ему. Оба они были еще малы, мать же их Драгомирь укрепила страну и обустроила людей своих. И когда взрастила она сыновей своих, тогда начал Вячеслав сам управлять своими людьми. Было у него четыре сестры, и выдали их в разные княжества и обеспечили приданым. И возложил Бог такую благодать на Вячеслава князя: начал он разуметь латинские книги как хороший епископ или священник, если же брал греческие или славянские книги, то читал их ясно без ошибок. Но не только Писание знал он, но исполняя завет веры, творил всем убогим добро: бедных кормил и одевал по евангельскому учению, священников питал, вдов не давал обидеть, людей всех, богатых и убогих, миловал, церкви все украсил золотом, веруя в Бога всем сердцем, творя все благое в жизни своей.
Разгордѣша же мужи чесъскыи, въсташа на ся. Унъ бо имъ бяше князь, лѣтъ бо ему бяше 13,[17] егда умре отець ему. Да егда възрасте и смысла добы и братъ его, тогда дьяволъ вниде въ сердце злыхъ съвѣтникъ его, якоже иногда въ Июду предателя. Писано бо есть: «Всякъ, въстаяи на господинъ свои, Июде подобенъ есть».[18] Ти же намолвиша Вячеславу, рѣша: «Хощеть тя Болеславъ убити, съ матерью съвѣщавъ и съ мужи своими». Пси злии, иже бѣша Вячеслава научили выдати матерь свою без вины. Вячеславъ же, разумѣвъ страхъ Божий, помяну слово апостола, глаголюща: «Чти отца и матерь свою яко и сам ся, и възлюбиши ближняго своего яко и сам ся».[19] Хотя исполнити всю правду Божию, и приведе паки матерь свою, плакашеся и окаяшеся, глаголя: «Господи Боже, не постави ми грѣха сего».[20] Помяну же слова пророка Давида: «Грѣхъ уности моея и невидѣния моего не помяни убо, Господи».[21] Тѣмже чтяше матерь свою, она же радовашеся вѣрѣ сына своего, и о благодати, юже творяше убогимъ: аще и маламощна, питаше; аще ли сирота гдѣ, то обидѣти не дадяше его; аще ли странным, да добро творяше, якоже убо и речено есть: «Странен бѣх, въведосте мене».[22] Аще божия рабы, и домашняя, и аще странники вся, и аще гдѣ ино зимои стражуть, то вся одѣваше и кормяше. Аще ли же который попинъ проданъ приде к нему, онъ искупаше всѣмъ. Церкви же бѣ устроилъ по всѣмъ градомъ добрѣ велми, божия рабы собравъ ото всѣхъ языкъ воину. Служба идяше по вся дни къ Богу, яко и въ велицѣхъ языцѣхъ, устроениемъ добраго и праведнаго владыкы Вячеслава. И вложи Богъ въ сердце: созда храмъ святаго Вита,[23] не злѣ мысля, неже убо всѣя Болеславу дьяволъ въ сердце, наустиша и на брата своего, и да не бы спасена душа его была в вѣки. Приде же день святаго Емъраама, к немуже обѣщанъ святый Вячеславъ,[24] веселяшеся о Бозѣ. Онии же убо тогда злии дьяволи възваша Болеслава, съвѣтъ творяше неприязненъ о Вячеславе, якоже жидове о Христѣ въ первая лѣта.	Но возгордились вельможи чешские, поднялись сами на себя. Ибо молод был для них князь, было ему 13 лет, когда умер его отец. А тогда вырос и набрался разума и брат его, тогда проник дьявол в сердца злых советников его <Вячеслава>, как некогда в Иуду предателя. Ведь сказано: «Всякий, восстающий на господина своего, подобен Иуде». И они наговорили Вячеславу, сказали: «Хочет Болеслав убить тебя, сговорившись с матерью и с вельможами своими». Злые псы, подговорили Вячеслава изгнать мать свою без вины. Но Вячеслав, ведая страх Божий, вспомнил слова апостола, сказавшего: «Почитай отца своего и мать свою как самого себя, и возлюби ближнего своего как самого себя». И желая исполнить всю правду Божию, вернул назад мать свою, плакал и каялся, говоря: «Господи Боже, не вмени мне это прегрешение <в вину>». И припомнил слова пророка Давида: «Грех юности моей и неведения моего не вспомяни, Господи». И так почитал он мать свою, она же радовалась вере сына своего и благодеяниям, которые он творил убогим: если маломощные, то кормил их; если сирота где-нибудь, то не давал его в обиду; если же странники, то творил им добро, как сказано об этом: «Странствовал, и ввели меня». Если же священники и челядь, и если все странники, и если <они> где-нибудь страдают от холода, то всех одевал и кормил. Если же какой-нибудь священник, проданный <в неволю>, приходил к нему, то выкупал его всем <что было>. И церкви по всем городам обустроил весьма хорошо, собрав священников изо всех стран всюду. Служба шла каждый день к Богу, как и у великих народов, попечением доброго и праведного владыки Вячеслава. И вложил Бог <мысль> в сердце <ему>: создал храм святого Вита, не помышляя о зле, которое посеял дьявол в сердце Болеслава, натравил его на брата своего, чтобы не была спасена душа его во веки. И настал день святого Эммерама, которому был посвящен святой Вячеслав, радуясь о Боге. И тогда те злые дьяволы призвали Болеслава, устроив сатанинский заговор против Вячеслава, как иудеи в древние времена против Христа.
Бяху же священие церквамъ въ всѣхъ градѣхъ.[25] Вячеславъ же яздяше по градомъ, еха ко Болеславлю граду.[26] В недѣлю же бѣ литургия Козмы и Дамьяна,[27] и слышавъ литургию, Вячеславъ хотѣ ехати домовъ къ Празѣ. Болеславъ не да ему, моляся плачевным смыслом, моля и глаголя: «Како хощеши отъехати, пиво цѣло имѣю!» Он же не оторчеся брату, не еха домовъ, и въсѣдъ на конь, нача играти и веселитися съ други своими на дворѣ Болеславле, тѣмже мнимъ, яко повѣдаша ему на дворѣ и рекоша: «Хощет тя убити Болеславъ». И не я вѣры тому, на Бога възложи.	<В то время> были праздники в церквах по всем городам, и Вячеслав, объезжая города, поехал и в город Болеслава. В воскресение же была служба Козме и Дамиану, и, отстояв литургию, Вячеслав хотел ехать домой, в Прагу. Болеслав же не отпустил его, упрашивая с плачем, умоляя и говоря: «Как же ты хочешь уехать, у меня непочатое пиво!» Он же не отказал брату, не поехал домой, и сев на коня, начал играть и веселиться со своими друзьями на дворе Болеслава, и думаем, что поведали ему на дворе и сказали: «Хочет тебя убить Болеслав». И он не поверил этому, положившись на Бога.
В ту же нощь снидошася ратници въ Гнѣвысынъ[28] двор, и възваша собѣ Болеслава, и сотвориша злыи тои съвѣтъ неприязненъ. Якоже и къ Пилату събрася на Христа мысляще, такоже и онии злии пси, тѣм ся подобяще, съвѣща, како быша убити господина своего. Рѣша же: «Поидеть на заутреннюю, тогда половимъ его». Утру же бывшю, възвониша заутреню. Вячеславъ же услышавъ звонъ,[29] и рече: «Слава тобѣ, Господи, яко далъ еси мне добыти утра сего». И вставъ поиде на заутренюю. Състиже же Болеславъ во воротѣхъ, Вячеславъ же озрѣвся и рече: «Добръ бѣ намъ господинъ вечеръ». Къ Болеславу же приниче дьяволъ ко уху и разврати сердце его. Да извлекъ мечь отвѣща сице: «Тебе хощу унеи быти», и удари мечемъ по главѣ. Вячеславъ же обратився и рече: «Что еси умыслил?» И охапивъ и повръже и паде над нимъ и рече: «То ти Богъ, брате». Тужа притекъ, удари в руку, Вячеславъ же пусти брата и къ церкви побѣже. Дьявола же два, Чьста и Тира убиста въ церковных вратѣх, Гнѣвыса же притекъ, прободе ему ребра мечемъ, и испусти духъ свои, глаголя: «В руци твои, Господи, предаю духъ мои».[30] Убиша же в томъ градѣ с нимъ Мьстину[31] единого, а иныя мужи идоша к Празѣ: овии же избиша, а друзии разбѣгошася по землямъ. А младенци[32] избиша его, а божия рабы разграбиша и изгнаша я из града, а жены ихъ за иныя мужи вдаша. И всю неприязнену сотвориша похоть — убиша князь свой.	В ту же ночь собрались ратники на Гневысином дворе, и позвали к себе Болеслава, и устроили тот злой дьявольский совет. И как у Пилата собрались, замышляя против Христа, так и эти злые псы, уподобившись тем, совещались, как убить своего господина. И сказали: «Пойдет к заутрене, тогда и захватим его». И когда настало утро, позвонили к заутрене. Вячеслав же, услышал колокол и сказал: «Слава тебе, Господи, что дал мне дожить до этого утра». И встав, пошел к заутрене. И догнал его Болеслав в воротах. Вячеслав же оглянулся и сказал: «Хороший был нам хозяин вечером». Болеславу же приник к уху дьявол и развратил сердце его. И вынув меч, ответил так: «Сейчас хочу <угостить> тебя <еще> лучше», и ударил мечом по голове. Вячеслав же обернулся и сказал: «Что ты задумал?» И, обхватив его и повалив, упал на него и сказал: «То тебе Бог, брат». Тужа подбежал и ударил <мечом> в руку, Вячеслав же отпустил брата и побежал к церкви. И двое злодеев, Честа и Тира, поразили его в церковных дверях, а Гневыса, подбежав, пронзил ему грудь мечом, и <князь> испустил дух свой, сказав: «В руки твои, Господи, предаю душу мою». И убили в том городе с ним одного только Мстину, другие же мужи ушли в Прагу: одних убили, а другие разбежались по разным странам. А слуг его перебили, а священников ограбили и изгнали из города, а жен их выдали замуж за других. И исполнили все дьявольское желание — убили князя своего.
Тира же рече: «Идемъ на госпожю, да одинова ожалѣеши брата своего и матерь свою». Болеславъ же рече: «Никаны ся дежеть, даже инѣми доспѣем».	И Тира сказал <Болеславу>: «Пойдем на госпожу, чтобы заодно оплакал ты и брата своего и мать свою». Болеслав же ответил: «Никуда она не денется, пока займемся другими».
Вячеслава же разсѣкше отидоша, и не съхранивше его. Крастѣи же попъ вземъ, и пред цѣрковью положи и, и покры тонкою плащаницею. Услышавши же мати убьение сына своего, и притекши искаше его. Узрѣвши же и припаде къ сердцу его, и плачющися събираше уды телеси сына своего. Собравши же, и не смѣ нести его въ домъ свои, нъ поповѣ избѣ омывше и оболокше и, положиша и посреди церкви. Убоявши же ся мати его смерти бѣжа въ Хорваты:[33] страшно бо есть, от чюжею руку да ея не претерпить. Пославъ же не застиже я Болеславъ. Призвав же попа Паула,[34] да молитву сътворит над нимъ. Погребоша честное его тѣло — Вячеслава, добраго и праведнаго владыку и богочетца и христолюбца, служи бо ему говѣниемъ и съ страхомъ. Крови же его не хотящи по три дни в землю ити, въ третии же вечеръ, всем видящимъ, церкви в зиде над нимъ,[35] и дивишася ту вси. И еще надѣемся Бозѣ молитвами и благовѣриемъ добраго Вячеслава и больши чюдо явити ся.[36] Въ истину бо Христовѣ муци приложися мука его. Съвѣтъ бо сотвориша о немъ, якоже июдѣи о Христѣ, рассѣкоша же его, якоже и Павла,[37] и младенци его ради избиша, якоже и Христа ради[38] Въ истинну весь родъ человеческъ велми ся каяше и плакашеся о немъ.	И рассекши Вячеслава, ушли, не схоронив его. Крастей же священник взял его и положил его перед церковью, накрыв тонким полотном. И услышала мать о убийстве сына своего, и прибежав искала его. И увидев, припала к сердцу его, и плача собирала члены тела сына своего. Собрав же, не посмела нести в дом свой, но в избе священника омыв и обрядив его, положила посреди церкви. И убоявшись смерти, мать его бежала в землю хорватов: ибо страшна смерть от чужой руки. И послав за нею, не настиг ее Болеслав. И призвал священника Павла, чтобы сотворил молитву над <Вячеславом>. И погребли честное его тело, Вячеслава — доброго и праведного владыку, и почитателя Бога и христолюбца: ведь служил он Ему благоговейно и со страхом. А кровь его три дня не хотела уходить в землю, на третий же вечер все видели — она сочилась из <церковной> стены над ним, и дивились все здесь. И еще надеемся на Бога, <что> по молитвам и за благоверие доброго Вячеслава будет явлено и большее чудо. Ведь воистину мукам Христа уподобилосъ мучение его. Заговор составили против него, как иудеи против Христа, и рассекли его, как и Павла, и младенцев избили из-за него, как из-за Христа. Воистину весь род человеческий весьма скорбел и плакал о нем.
Убьенъ же бысть Вячеславъ князь в лѣто 6000 и 300 и 30 въ 7,[39] индикта 2, кругъ солнцу 3, лунѣ 8, в 28 день месяца семтября. И Богъ покои его душю в вѣчнемъ покоищи съ всѣми избиенными Его ради без вины, идѣже вси праведнии почивають въ свѣте животнемъ твоемъ, Господи.[40]	Убит же был Вячеслав князь в лето 6000 и 300 и 30-е в 7, индикта 2, круг солнца 3, а луны 8, в 28 день месяца сентября. И Бог упокоил его душу в обители вечного покоя со всеми, убиенными Его ради безвинно, где почивают все праведники в свете жизни твоей, Господи.
