Душа самовластна,[1] заграда ей вѣра[2]	Душа самовластна, ограда ее — вера.
Вѣра — наказание, ставится пророкомъ.[3]	Вера — наставление, устанавливается пророком.
Пророкъ — старѣйшина, исправляется чюдотворением.[4]	Пророк — старейшина, направляется чудотворением.
Чюдотворения даръ мудростию усилѣетъ.[5]	Чудотворения дар поддерживается мудростью.
Мудрости — сила, фарисѣйство — жительство.[6]	Мудрость — сила, фарисейство — образ жизни.
Пророкъ ему наука, наука преблаженая.	Пророк ему наука, наука преблаженная.
Сею приходимъ въ страх Божий.[7]	Ею приходим к страху Божьему.
Страх Божий — начало добродѣтели.[8]	Страх Божий — начало добродетели.
Симъ вооружается душа <...>[9]	Им вооружается душа (...)
Иже аще кто хощетъ увѣдати имя приведшаго Лаодикийское послание:[10] дващи четыре со единымъ; и дващи два со единымъ; седмьдесятия по десяти и десятия по десяти, царь; и дващи два; и шестиа по десяти со единою десятию; десятиа по пяти и пятия по десяти, еръ скончеваетъ. В сем же имени словъ седмерица, царь и три плоти и три души.	Если кто-нибудь хочет узнать имя человека, доставившего Лаодикийское послание, то пусть сосчитает: дважды четыре с одним; и дважды два с одним; семьдесят раз по десяти и десять раз по десяти, царь; дважды два; и шесть раз по десяти и один десяток; десять раз по пяти и пять раз по десяти, заканчивается ером. В этом имени семь букв, царь, три плоти и три души.
От роду же прозывается:[11] десять и дващи по пяти; тридцатья по десяти и дващи по пятидесят; девятьа по десяти и дващи по пяти; и дващи три з двѣма; осмьдесятьа по десяти и девятьа по девяти и дващи девять со единым; три дващи со двѣма; четыре по пяти и пятиа по четыре со единою десятию, совершается ером. Четыре столпы, и четыре приклады.	От роду же прозывается: десять и дважды пять; тридцать раз по десяти и дважды пятьдесят; девять раз по десяти и дважды пять; и дважды три с двумя; восемьдесят раз по десяти и девять раз по девяти и дважды девять с одним; дважды три и два; четырежды пять и пять раз по четырем с одним десятком, завершается ером. Четыре столпа и четыре приклада.
От дѣйства же:[12] трищи со единым; и дващи четыре; и единъ; трищы пять и дващи два со единым, навершает ером. Двѣ плоти, и двѣ души и самодержец, во ино время и оживление творит.	Занятие же: три и один; и дважды четыре; и один; трижды пять и дважды два с единицей, завершается ером. Две плоти и две души, и самодержец, в иное время и оживление творит.
