СКАЗАНИЕ О ДРАКУЛѢ ВОЕВОДѢ	СКАЗАНИЕ О ДРАКУЛЕ-ВОЕВОДЕ
Бысть в Мунтьянской земли[1] греческыя вѣры христианинъ воевода именем Дракула влашеским языком, а нашим — диаволъ.[2] Толико зломудръ, якоже по имени его, тако и житие его.	Был в Мунтьянской земле воевода, христианин греческой веры, имя его по-валашски Дракула, а по-нашему — дьявол. Так жесток и мудр был, что каково имя, такова была и жизнь его.
Приидоша к нему нѣкогда от турьскаго поклисарие[3] и, егда внидоша к нему и поклонишась по своему обычаю, а капъ своих з главъ не сняша. Он же вопроси их: «Что ради тако учинисте, ко государю велику приидосте и такову срамоту ми учинисте?» Они же отвѣщаша: «Таковъ обычай нашь, государь, и земля наша имѣет». Он же глагола имъ: «И азъ хощу вашего закона потвердити, да крѣпко стоите». И повелѣ имъ гвоздиемъ малым желѣзным ко главам прибити капы и отпусти ихъ, рекъ имъ: «Шедше, скажите государю вашему: онъ навыкъ от вас ту срамоту терпѣти, мы же не навыкохом, да не посылает своего обычая ко иным государемъ, кои не хотят его имѣти, но у себе его да держит».	Однажды пришли к нему послы от турецкого царя и, войдя, поклонились по своему обычаю, а колпаков своих с голов не сняли. Он же спросил их: «Почему так поступили: пришли к великому государю и такое бесчестие мне нанесли?» Они же отвечали: «Таков обычай, государь, наш и в земле нашей». А он сказал им: «И я хочу закон ваш подтвердить, чтобы крепко его держались». И приказал прибить колпаки к их головам железными гвоздиками, и отпустил их со словами: «Идите и скажите государю вашему: он привык терпеть от вас такое бесчестие, а мы не привыкли, и пусть не посылает свой обычай являть другим государям, которым обычай такой чужд, а у себя его блюдет».
Царь же велми разсердити себе о том, и поиде воинством на него, и прииде на него со многими силами. Он же, собравъ елико имѣаше у себе войска, и удари на турковъ нощию, и множьство изби их. И не возможе противу великого войска малыми людьми и възратися. И кои с нимъ з бою того приидоша, и начат ихъ сам смотрити; кой раненъ спереди, тому честь велию подаваше и витязем его учиняше, коих же сзади, того на колъ повелѣ всажати проходом, глаголя: «Ты еси не муж, но жена». А тогда, коли поиде на туркы, тако глагола всему войску своему: «Кто хощет смерть помышляти, той не ходи со мною, остани зде». Царь же, слышавъ то, поиде прочь с великою срамотою, безчислено изгуби войска, не смѣ на него поити.	Царь же весьма разгневался, и пошел на Дракулу войной, и напал на него с великими силами. Тот же, собрав все войско свое, ударил на турок ночью и перебил их множество. Но не смог со своей небольшой ратью одолеть огромного войска и отступил. И стал сам осматривать всех, кто вернулся с ним с поля битвы: кто был ранен в грудь, тому воздавал почести и в витязи того производил, а кто в спину, — того велел сажать на кол, говоря: «Не мужчина ты, а женщина!» А когда снова пошел войной против турок, то так сказал своим воинам: «Кто о смерти думает, пусть не идет со мной, а здесь остается». Царь же, услышав об этом, повернул назад с великим позором, потеряв без числа воинов, и не посмел выступить против Дракулы.
Царь же поклисаря посла к нему, да ему дасть дань. Дракула же велми почести поклисаря оного, и показа ему все свое имѣние, и рече ему: «Азъ не токмо хощу дань давати царю, но со всѣмъ своимъ воинством и со всею казною хощу к нему ити на службу, да како ми повелитъ, тако ему служу. И ты возвѣсти царю, какъ поиду к нему, да не велить царь по своей земли никоего зла учинити мнѣ и моимъ людем, а язъ скоро хощу по тебѣ ко царю ити, и дань принесу, и самъ к нему прииду». Царь же, услышав то от посла своего, что Дракула хощет приити к нему на службу, и посла его почести и одари много. И велми рад бысть, бѣ бо тогда ратуяся со восточными.[4] И посла скоро по всѣм градом и по земли, да когда Дракула поидет, никоегож зла никто дабы Дракулѣ не учинилъ, но еще и честь ему воздавали. Дракула же поиде, събрався съ всѣм воиньством,[5] и приставове царстии с нимъ, и велию честь ему воздаваху. Он же преиде по земли его яко 5 дни, и внезапу вернуся, и начат плѣнити градове и села, и множьство много поплѣни и изсѣче, овых на колие сажаху турков, а иных на полы пресѣкая и жжигая, и до ссущих младенець. Ничтоже остави, всю землю ту пусту учини, прочих же, иже суть християне, на свою землю прегна и насели. И множьство много користи взем, возвратись, приставовъ тѣх почтив, отпусти, рек: «Шедше, повѣсте царю вашему, якоже видѣсте: сколко могох, толико есмь ему послужил. И будет ему угодна моя служба, и азъ еще хощу ему тако служити, какова ми есть сила». Царь же ничтоже ему не може учинити, но срамом побѣженъ бысть.	И отправил царь к Дракуле посла, требуя от него дани. Дракула же воздал послу тому пышные почести, и показал ему свое богатство, и сказал ему: «Я не только готов платить дань царю, но со всем воинством своим и со всем богатством хочу пойти к нему на службу, и как повелит мне, так ему служить буду. И ты передай царю, что, когда пойду к нему, пусть объявит он по своей земле, чтобы не чинили зла мне и людям моим, а вскоре вслед за тобою пойду к царю, и дань принесу, и сам к нему прибуду». Царь же, услышав от посла своего, что хочет Дракула прийти к нему на службу, и послу его почести воздал и одарил его богато. И рад был царь, ибо в то время вел войну на востоке. И тотчас послал объявить по всем городам и по всей земле, чтобы, когда пойдет Дракула, никто никакого зла бы ему не причинял, а, напротив, встречали бы его с почетом. Дракула же, собрав все войско, двинулся в путь, и сопровождали его царские приставы, и воздавали ему великие почести. Он же, углубившись в Турецкую землю на пять дневных переходов, внезапно повернул назад и начал разорять города и села, и людей множество пленил и перебил, одних турок на колья сажал, других рассекал надвое и сжигал, не щадя и грудных младенцев. Ничего не оставил на пути своем, всю землю в пустыню превратил, а бывших там христиан увел и поселил в своей земле. И возвратился восвояси, захватив несметные богатства, а приставов царских отпустил с почестями, напутствуя: «Идите и поведайте царю вашему обо всем,' что видели: сколько смог, послужил ему. И если люба ему моя служба, готов и еще ему так же служить, сколько сил моих станет». Царь же ничего не смог с ним сделать, только себя опозорил.
И толико ненавидя во своей земли зла, яко хто учинит кое зло, татбу или разбой, или кую лжу, или неправду, той никако не будет живъ. Аще ль велики боляринъ, иль священник, иль инок, или просты, аще и велико богатьство имѣл бы кто, не может искупитись от смерти, и толико грозенъ бысть.	И так ненавидел Дракула зло в своей земле, что, если кто совершит какое-либо преступление, украдет, или ограбит, или обманет, или обидит, не избегнуть тому смерти. Будь он знатным вельможей, или священником, или монахом, или простым человеком, пусть бы он владел несметными богатствами, все равно не мог откупиться он от смерти, так грозен был Дракула.
Источникъ его и кладязь на едином мѣстѣ, и к тому кладязу и источнику пришли путие мнози от многых странъ, и прихождаху людие мнози и пияху от кладязя и источника воду, студена бо бѣ и сладка. Он же у того кладязя на пустом мѣстѣ постави чару велию и дивну злату, и хто хотяще воду пити, да тою чарою пиетъ, на том мѣстѣ да поставит, и, елико оно время пребысть, никтоже смѣаше ту чару взяти.	Был в земле его источник и колодец, и сходились к тому колодцу и источнику со всех сторон дороги, и множество людей приходило пить воду из того колодца и родника, ибо была она холодна и приятна на вкус. Дракула же возле того колодца, хотя был он в безлюдном месте, поставил большую золотую чару дивной красоты, чтобы всякий, кто захочет пить, пил из той чары и ставил ее на место, и сколько времени прошло — никто не посмел украсть ту чару.
Единою ж пусти по всей земли свое велѣние, да кто старъ, иль немощенъ, иль чимъ вреденъ, или нищъ, вси да приидут к нему. И собрашась бесчисленое множество нищих и странных к нему, чающе от него великиа милости. Он же повелѣ собрати всѣх во едину храмину велику, на то устроену, и повелѣ дати имъ ясти и пити доволно; они ж ядше и возвеселишась. Он же сам приде к нимъ и глагола имъ: «Что еще требуете?» Они же вси отвѣщаша: «Вѣдает, государю, Богъ и твое величество, как тя Богъ вразумит». Он же глагола к ним: «Хощете ли, да сотворю вас беспечалны на сем свѣтѣ, и ничим не нужни будете?» Они же, чающе от него велико нѣчто, и глаголаша вси: «Хощемъ, государю». Он же повелѣ заперети храм и зажещи огнем, и вси ту изгорѣша. И глаголаше к боляром своимъ: «Да вѣсте, что учиних тако: первое, да не стужают людем и никтоже да не будеть нищь в моей земли, но вси богатии; второе, свободих ихъ, да не стражут никтоже от них на семъ свѣтѣ от нищеты иль от недуга».	Однажды объявил Дракула по всей земле своей: пусть придут к нему все, кто стар, или немощен, или болен чем, или беден. И собралось к нему бесчисленное множество нищих и бродяг, ожидая от него щедрой милостыни. Он же велел собрать их всех в построенном для того хороме и велел принести им вдоволь еды и вина; они же пировали и веселились. Дракула же сам к ним пришел и спросил: «Чего еще хотите?» Они же все отвечали: «Это ведомо Богу, государь, и тебе: на что тебя Бог наставит». Он же спросил их: «Хотите ли, чтобы сделал я вас счастливыми на этом свете, и ни в чем не будете нуждаться?» Они же, ожидая от него великих благодеяний, закричали разом: «Хотим, государь!» А Дракула приказал запереть хором и зажечь его, и сгорели все те люди. И сказал Дракула боярам своим: «Знайте, почему я сделал так: во-первых, пусть не докучают людям, и не будет нищих в моей земле, а будут все богаты; во-вторых, я и их самих освободил: пусть не страдает никто из них на этом свете от нищеты или болезней».
Единою ж приидоша к нему от Угорскыя земли два латинска мниха милостыни ради. Он же повелѣ их развести разно, и призва к себѣ единого от них, и показа ему округ двора множьство бесчисленое людей на колѣхъ и на колесѣх, и вопроси его: «Добро ли тако сътворих, и како ти суть, иже на колии?» Он же глагола: «Ни, государю, зло чиниши, без милости казниши; подобает государю милостиву быти. А ти же на кольи мученици суть». Призвав же и другаго и вопроси его тако же. Он же отвѣща: «Ты, государь, от Бога поставленъ еси лихо творящих казнити, а добро творящих жаловати. А ти лихо творили, по своимъ дѣломъ въсприали». Он же призвавъ перваго и глагола к нему: «Да почто ты из монастыря и ис келии своея ходиши по великым государемъ, не зная ничтоже? А нынѣ самъ еси глаголалъ, яко ти мученици суть, азъ и тебе хощу мученика учинити, да и ты с ними будеши мученикъ». И повелѣ его на колъ посадити проходомъ, а другому повелѣ дати 50 дукатъ злата, глаголя: «Ты еси разуменъ муж». И повелѣ его на возѣ с почестиемъ отвести и до Угорскыя земли.	Пришли как-то к Дракуле два католических монаха из Венгерской земли собирать подаяние. Он же велел развести их порознь, позвал к себе одного из них и, указав на двор, где было бесчисленное множество людей, посаженных на кол или колесованных, спросил: «Хорошо ли я поступил и кто эти люди, посаженные на колья?» Монах же ответил: «Нет, государь, зло ты творишь, казня без милосердия; должен государь быть милостивым. А те на кольях — мученики!» Призвал Дракула другого и спросил его о том же. Отвечал тот: «Ты, государь, Богом поставлен казнить злодеев и награждать добродетельных. А люди эти творили зло, по делам своим и наказаны». Дракула же, призвав первого монаха, сказал ему: «Зачем же ты вышел из монастыря и из кельи своей и ходишь по великим государям, раз ничего не смыслишь? Сам же сказал, что люди эти — мученики, вот я и хочу тебя тоже мучеником сделать, будешь и ты с ними в мучениках». И приказал посадить его на кол, а другому велел дать пятьдесят золотых дукатов, говоря: «Ты мудрый человек». И велел его в колеснице довезти до рубежа Венгерской земли.
Нѣкогда ж прииде купець гость нѣкы от Угорскыя земли въ его град. И по его заповѣди остави возъ свой на улици града пред полатою и товаръ свой на возѣ, а самъ спаше в полатѣ. И пришед нѣкто, украде с воза 160 дукатъ злата. Купец же иде къ Дракулѣ, повѣда ему изгубление злата. Дракула же глагола ему: «Поиди, в сию нощь обрящеши злато». И повелѣ по всему граду искати татя, глаголя: «Аще не обрящется тать, то весь град погублю». И повелѣ свое злато, несъ, положити на возѣ в нощи и приложи единъ златой. Купец же въставъ, и обрѣте злато, и прочет единою и дващи, обрѣташесь единъ лишний златой; и шед къ Дракулѣ, глагола: «Государю, обрѣтох злато, и се есть единъ златой не мой, лишний». Тогда же приведоша и татя оного и съ златом. И глагола купцю: «Иди с миром; аще бы ми еси не повѣдалъ злато, готовъ бых и тебе с симъ татемъ на колъ посадити».	Однажды прибыл из Венгерской земли купец в город Дракулы. И, как принято было у Дракулы, оставил воз свой на городской улице перед домом, а товар свой — на возу, а сам лег спать в доме. И кто-то украл с воза 160 золотых дукатов. Купец, придя к Дракуле, поведал ему о пропаже золота. Дракула же отвечал: «Иди, этой же ночью найдешь свое золото». И приказал по всему городу искать вора, пригрозив: «Если не найдете преступника, весь город погублю». И велел той же ночью положить на воз свое золото и добавить один лишний дукат. Купец же наутро, встав, обнаружил золото, и пересчитал его и раз, и другой, и увидел, что один дукат лишний, и, придя к Дракуле, сказал: «Государь, нашел золото, но вот один дукат не мой — лишний». В это время привели и вора с похищенным золотом. И сказал Дракула купцу: «Иди с миром! Если бы не сказал мне о лишнем дукате, то посадил бы и тебя на кол вместе с этим вором».
Аще жена кая от мужа прелюбы сътворит, он же веляше срамъ ей вырѣзати, и кожю содрати, и привязати ея нагу, и кожу ту на столпѣ среди града и торга повѣсити. И девицамъ, кои девьства не сохранят, и вдовам також, а иным сосца отрѣзаху, овым же кожу содравше со срама ея, и роженъ желѣзенъ разжегши, вонзаху въ срам ей, и усты исхожаше. И тако привязана стояше у столпа нага, дондеже плоть и кости ей распадутся иль птицам в снѣдь будет.	Если какая-либо женщина изменит своему мужу, то приказывал Дракула вырезать ей срамное место, и кожу содрать, и привязать ее нагую, а кожу ту повесить на столбе, на базарной площади посреди города. Так же поступали и с девицами, не сохранившими девственности, и с вдовами, а иным груди отрезали, а другим сдирали кожу со срамных мест, и, раскалив железный прут, вонзали его в срамное место, так что выходил он через рот. И в таком виде, нагая, стояла, привязанная к столбу, пока не истлеет плоть и не распадутся кости или не расклюют ее птицы.
