СКАЗАНИЕ О ТРЕХ ЦАРЕЙ — ОРКАДИ, О ЦАРѢ НЕСМЕЯНЕ ГОРДОМЪ И О ЦАРЕ БОРЗОСМЫСЛЕ ДМИТРЕВИЧЕ[1]	СКАЗАНИЕ О ТРЕХ ЦАРЯХ — АРКАДИИ, ЦАРЕ НЕСМЕЯНЕ ГОРДОМ И О ЦАРЕ БОРЗОСМЫСЛЕ ДМИТРИЕВИЧЕ
В некоемъ великомъ граде, во Антиохи,[2] царствовал на царстве царь, именемъ Аркадию. Царствующи во Антиохи 16 лѣт, жиль и преставися, и погребѣнъ бысть во Антиохи Анфилогиемъ, потриярхомъ антиохискимъ. По преставлению же Аркадию, к царю собрашеся множества народа гречен и сотвориша советъ промежъ собою с потриярхоми, и послаша посланиковъ своих в Римъ, и призваша къ себѣ властелина от римъских велможъ. И ведоша посланики в Римъ, изобраше к себѣ единаго от упатъ, именемъ Несмеянъ Горды, молиша его, добы шел в Антиохию и царствовал над греки. Он же прият моления ихъ и шедши царьствова над ними. По дьяволскому новожъдению нача Несмеянъ Горды царь с пришедшими своими с рымълены града того прелшати своимъ деяниямъ и златомъ и сребромъ, иных привлекоша неволею, во свою латынъскою веру приводитъ.[3]	В одном великом городе, в Антиохии, царствовал в своем царстве царь по имени Аркадий. Царствовав в Антиохии шестнадцать лет, жил да и преставился, и погребен был в Антиохии Амфилохием, патриархом антиохийским. По кончине же Аркадия собралось во дворце его множество людей греческих, и устроили они совет с патриархом, и послали послов своих в Рим, чтобы призвать к себе властелина из числа римских вельмож. И отправились посланные в Рим, избрали себе одного из правителей, по имени Несмеян Гордый, и умолили его, чтобы пошел в Антиохию царствовать над греками. И тот внял их мольбам и, прийдя, воцарился над ними. Но по дьявольскому наущению начал царь Несмеян Гордый с пришедшими с ним римлянами город тот весь соблазнять, и своими деяниями, и золотом, и серебром, а кого, побуждая к тому и против воли, в свою латинскую веру приводить.
Минушеся многия лѣта, окояньны понужъдаетъ к своей лотынъской верѣ неволею не тъкмо во своемъ царьстве, — из ыных царьствъ купцы прихожъдху купли ради, онъ же дияволскимъ научениемъ привлекоша ихъ к своей латынской вере. А кто не хочетъ християнския веры отстать, — и онъ, окоянны, по дьяволскому научению техъ купцовъ в темъницы вметаетъ, гладомъ томитъ, имена ихъ на себѣ взымаетъ.	По прошествии многих лет окаянный понуждает перейти в свою латинскую веру насильно не только людей в своем государстве: из иных государств купцы приходили торговать, так он по дьявольскому наущению и их завлекал в свою латинскую веру. А если кто не желал от христианской веры отречься, так он, окаянный, по дьявольскому наущению таких купцов в темницы бросает, голодом морит, имущество их себе забирает.
В то же время неки купецъ, зело богатъ, именем Дмитрей,[4] йсхожъдаху ему ис Царяграда[5] с нимъ же быстъ рабовъ множества, и с нимъ быстъ сынъ его единочадны, младъ возростамъ. Плавалъ же по морю 8 месяцавъ, внезапу воста ветрь великъ и носяше корабль волною, и узреша изьдолѣче видивъ гратъ великъ, и возрадовашеся радостию великою, и обратися, и присташа во присьтаниша короблиное. И виде множества короблей, помыслиша в себѣ, яко великъ сей гратъ и богата земля, купцовъ многа. Сниде купець Дмитрей с коробля своего, иде во гратъ, и стретоша его граждене и рекоша ему: «Откуды, господине, и коея веры еси?» И рече купецъ Дмитрей: «Азь есмь християнин греческия веры от преслоушаго града купець греческия веры!» — «Купче, единыя еси греческия веры с нами, толка за наша прегрешения имеемъ у себе царя законоотступника латынския веры, томитъ нась, хотя привлеши во свою латынъску веру! Видеши, господине, — приходетъ купцы со всехъ странъ, хотяше торговать!» — «Вемъ!» — «Царь же повелѣ имъ три загатки отгадать, приводя ихъ к своей латыньской верѣ: не можетъ имъ техъ три загатки отгадатъ, — и за то всажены быстъ в темъницы! Мы же имели у себѣ учителя, потриярха Анфилофия, царь же откоянны, не вемы камо, сослалъ его въ заточения!»	В то же время один купец, очень богатый, по имени Дмитрий, отправлялся из Царьграда, и было с ним много рабов, и был с ним сын его единственный, малый возрастом. Уж плавал он по морю восемь месяцев, как внезапно поднялся сильный ветер и носил корабль по волнам, и увидели вдруг вдалеке город большой, и возрадовались радостию великою, и повернули к нему, и пристали в гавани корабельной. И увидел купец множество кораблей, подумал про себя, что велик этот город, и богата земля, и купцов много. Сошел купец Дмитрий с корабля своего, пошел в город, и встретили его горожане и спросили: «Откуда ты, господин, и какой веры?» И ответил купец Дмитрий: «Я христианин греческой веры, из преславного града купец греческой веры!» — «О купец, одной ты греческой веры с нами, но только имеем мы за наши прегрешения у себя царем вероотступника, латинской веры, мучает нас, желая склонить к своей латинской вере! Видишь, господин, — приходят купцы со всех сторон, желая тут торговать?» — «Вижу!» — «А царь повелел им всем три загадки отгадать, приводя их в свою латинскую веру: кто не может тех загадок отгадать — бросает их в темницы! Был же у нас и учитель, патриарх Амфилохий, но царь окаянный, не ведаем куда, и его сослал в заточение!»
Купецъ же Дмитрей, слышавъ токовыя глаголы от гражденъ, возвратися на корабль свой и хотя отплытъ от града того, и приди на корабль свой, а ужъ на корабле его стоятъ сторожи царевы, понеже закон токовъ царевъ: егда приде ко граду корабль, коковъ и от которава царства, повелитъ царь сторожамъ своимъ стеречъ, чтобы не ушель купецъ прочъ.	И купец Дмитрий, услышав такие слова от горожан, возвратился на свой корабль и решил отплыть от того города, но пришел на корабль свой — а уж на корабле его стоит царская стража, ибо правило было таково у царя: как придет к пристани корабль, какого бы ни было царства, повелевает царь страже своей стеречь, чтоб не ушел купец прочь.
Дмитърей же купецъ, воздевъ упование на Бога и въземъ дары великия, и поиде к царю, имя же царю — Несмеянъ Горды. И приде к нѣму купецъ Дмитрей, и ста пред царемъ, и рече: «Государь царь Несмеянъ Горды! Купчишка есми, пришель из греческия земли от преслаушаго Царяграда, чтобы, господинъ, дары принель, а мне, купчишку, во своемъ царьстве велель торьговать всякими товары!» И рече царь: «Завътре буди ко мне отобедать!»	Дмитрий же купец, возложив все надежды на Бога и взяв с собою большие дары, пошел к царю, а имя царя — Несмеян Гордый. И пришел к нему купец Дмитрий, и стал пред царем, и сказал: «Государь царь Несмеян Гордый! Купчишка я, прибыл из Греческой земли из преславного Царьграда, чтобы ты, господин, дары мои принял, а мне, купчишке, в своем царстве разрешил торговать всякими товарами!» И сказал царь: «Завтра приходи ко мне отобедать!»
Наутре же приде к царю обѣдать. Пообѣдовъши же, и рече царь купцу: «Купче, коея еси веры?» Купецъ же рече царю: «Я есми, государь, веры християньския, греческаго языка!» И рече царь: «Аз чаел, еси единыя веры со мъною! И аз хотель тебѣ датъ во своемъ царьстве торговатъ всякими товары и хотель тебѣ отпуститъ з дары и с проводники — ин ты со мъною не единыя веры! Купче, ведома тебѣ буди: отгодай мне три загатки. Аще ли отгадаешъ, — азь тебѣ повелю во своем царьстве торговатъ всякими товары, аще ли не отгадаешъ — и ты пребуди со мною в моей вере, аще ли не хочещъ со мною бытъ в моей вере, — и то тебѣ велю главу твою отсечи мечемъ своимъ, а товар твой взятъ в козьну!» Дмитре же купецъ ста на долги чась, пониче главу свою. И Несмеян царь рече: «Что царю не отвешаеш?» И, склонися, купецъ рече царю: «Государь царь Несмеянъ Горды! Дай же мне сроку на три дни!»	И наутро пришел он к царю обедать. После обеда сказал царь купцу: «Купец, какой ты веры?» Купец же ответил царю: «Я, государь, веры христианской, греческой веры!» И сказал царь: «А я думал, что ты одной веры со мною! И хотел тебе дать в моем царстве торговать всякими товарами, и хотел тебя отпустить с дарами и с проводниками — ан ты со мной не одной веры! Так знай же, купец: должен отгадать мне три загадки. Если отгадаешь — разрешу тебе в моем царстве торговать всяким товаром, но если не отгадаешь — перейдешь в мою веру, а если не пожелаешь со мною быть в моей вере — повелю отсечь твою голову мечом моим, а товар твой забрать в казну!» И задумался Дмитрий-купец надолго, поникнув головой. А Несмеян-царь сказал: «Почто царю не ответствуешь?» И, поклонясь, сказал купец царю: «Царь-государь Несмеян Гордый! Дай же мне сроку три дня!»
Приде Дмитърей на корапль, плаче и рыдаетъ, чая на себе смерти от царя. А сынъ его игъраетъ на корабли на дьревце: единою рукою древца держитъ, а другою рукою по древцу бияше и седя, яко на кони, и скокаша по кораблю, якоже токовъ извычай детишенъ игру творяше. И видевъ отрок отца своево, плаче велми печаленъ, и абия отрокъ, отложивъ игру свою прочъ, и скоро притече ко отцу своему и рече: «Вижу тя, отче, вельми печаленъ! Что тебѣ прилучилося в граде семъ от царя?» И рече Дмитре сыну своему: «Чадо мое милое! Еще еси ты млатъ, семи лѣтъ, и ты играешъ по-децъки, таво не ведоешъ отцовай печали! И не веселися, чадо милое, что мнѣ царь смертъ скозал! И тебѣ, чадо мое, не пособитъ!» И рече отрокъ отцу своему: «Отча, скажи мнѣ, кокую тебѣ царь смертъ скозалъ? И аз тебѣ пособлю» . И воздохнувъ из глубины серца своего, и рече купецъ сыну своему: «Как, чада милое, пособити, толику младу сущу? Мне, отцу своему, пособитъ не смыслишъ! Аз, чадо, отец твой — муж совершен, смыслю много, болши тебъ, — аше не знаю, что царю отвещати, — а ты, млат, хочешъ пособитъ!» И рече детища отцу своему: «Ведома тебѣ, отча, буди: удаль конъ познаваетца на рати, а веренъ друхъ у дела познаваеца! Токмо поведой мнѣ, отча, слова царево! Аще не поведаешъ, — самъ от царя смертъ наведешъ и меня погубишъ!» Слышевъ же отецъ от сына своего мудрыя речи, подивися и рыдание свое утали, печаль свою на радостъ преложи, и рече отецъ сыну своему: «То мя печаль и рыданье — сказаль мне царь, велель пред собою 3 загатьки отгодатъ. И сихъ ради трехъ загадакъ кораблей множества купцевъ сидятъ въ темъницах и терпетъ великую муку и скорбь имене ради Христова! И заповедал царь, не велитъ хлѣба на торгь печъ, дабы гладомъ мерли, аще ли кто не хочетъ, да обратились ево латынской вере! Азь, чадо, страха царева убояся, взялъ сроку на три дни, а в четверты денъ хочетъ главу отсечи мечемъ, а товар мой хочетъ взятъ в козьну!» И рече сынъ отцу своему: «Прости мя, Господи, и ты, отча, — скорби, и рыдания, и печаль — безумъных людей, а се ты, отча, тому жъ уподобися: хочешъ единъ печаль свою в себѣ удержатъ, а мне ты, сыну своему, не поведоешъ! И аз тебѣ, отча, пособлю и загатъки царевы отгадаю!» И взятъ отрок игру свою и начатъ игратъ.	Пришел Дмитрий на корабль, плачет и рыдает, ожидая себе смерти от царя. А сын его играет на корабле с прутиком: одной рукою прутик держит, а другою рукою по прутику бьет и, сев как на коня, скачет по кораблю, как обычно дети играют. Как увидел мальчик отца своего, плачущего и опечаленного, тотчас он, отбросив свою игру, быстро прибежал к отцу своему и сказал: «Вижу, отец, что очень печален ты! Что с тобою случилось в городе этом у царя?» И ответил Дмитрий сыну своему: «Чадо мое милое! Молод еще ты, семи лет, и играешь по-детски, так что не поймешь отцовской печали! И не веселись, чадо милое, ибо осудил меня царь на смерть! И тебе, мое чадо, не помочь!» И ответил мальчик отцу своему: «Отец, скажи мне, на какую тебя смерть обрек царь? И я тебе помогу!» И, вздохнув от всего сердца своего, сказал купец сыну своему: «Как, чадо милое, можешь ты помочь, будучи столь малым? Мне, отцу своему, помочь не сообразишь! Вот я, чадо, отец твой, — муж зрелый, понимаю много и больше тебя, — но не знаю, что царю отвечать, — а ты, маленький, хочешь помочь!» И ответил ребенок отцу своему: «Пусть известно тебе, отец, будет: удалой конь познается в бою, а верный друг в деле познается! Лишь поведай мне, отец, слово царское! А коли не поведаешь — сам от царя смерть примешь и меня погубишь!» Услышав от сына своего столь мудрые речи, подивился отец и рыдать перестал, печаль свою в радость превратил, и сказал отец сыну своему: «Оттого у меня печаль и плач, что сказал мне царь, чтобы я перед ним три загадки отгадал. А из-за этих трех загадок множество купцов, чьи здесь корабли, сидит в темницах и терпит великое мучение и скорбь имени ради Христова! И повелел царь даже хлеб на продажу не печь, чтобы голодом мерли, так чтобы тот, кто и не хочет, но обратился в его латинскую веру! А я, чадо, гнева царского испугался, попросил сроку три дня, а на четвертый день хочет мне голову он отсечь мечом, товар же мой забрать в свою казну!» И сказал сын отцу своему: «Прости меня, Господи, и ты, отец: скорби, и рыдания, и печаль — удел слабоумных людей, вот и ты, отец, им уподобился: хочешь сам в себе печаль свою держать и мне, сыну твоему, ее не поведаешь! Я же тебе, отец, помогу и загадки царские отгадаю!» И вернулся мальчик к игре своей и продолжал играть.
И пришедше той четверьты денъ, приде купецъ к сыну своему и рече ему: «Сынъ мой! Четверты денъ, коего я у царя просил, пришель! Что велишъ глаголати пред царем?» И рече отрокъ: «Придемъ, отча, пред царя, и возми себѣ единаго раба да меня, да буди воля Господня! Якоже годна Господеви, тако и совершимъ!» Купецъ же Дмитрей подивися разуму ево и мудрому ево ответу, сына своего, и помыслиша в себе: «Что ся хощетъ быты!» И ста купецъ сыномъ своимъ и с рабомъ пред царемъ.	И как наступил тот четвертый день, пришел купец к сыну своему и сказал ему: «Сын мой! Четвертый день, о котором царя я просил, наступил. Что скажешь говорить пред царем?» И ответил мальчик: «Пойдем, отец, к царю, возьми с собою одного раба да меня, а в остальном пусть будет воля Господня! Как Богу угодно, так и поступим!» И подивился купец Дмитрий разуму его и мудрости его, сына своего, ответу, и подумал про себя: «Что-то будет!» И предстал купец с сыном своим и с рабом перед царем.
И рече царь купцу: «Купецъ! День твой пришель, коего ты просиль, — отгадывай загатки мои!» И рече сынь купцевъ: «Дай мне, царю, меду пить, — я тѣбе загатки твои отгадаю!» И рече царь детишу: «Не тебе аз загатки загадываю, но сему купцу!» И рече детиша: «Царь! Аз — купцевъ сынъ есми, — загатки твои за отца своего отгадаю!» Царь же, наливъ чашу меду, и дастъ детишу. Детише же дастъ отцу своему. Отець же, испивъ меду, хотя отдатъ чашу, и рече детише отцу своему: «Отча! Не довай царева даяния чашу, но скры в нѣдры своя,[6] понеже царева дояния не отходитъ въспятъ!» Отецъ же скры чашу вь недры своя. Царь же, наливъ вторую чашу меду, и дастъ детишу, детише же дастъ рабу своему, повелиша питъ, скрыти в недры. Рабъ же тако сотвориша повеления. Царь же, наливъ третью чашу меду, и дастъ отроку. Отрокъ, выпивъ, и скры чашу в нѣдры своя. И рече детиша: «Царева даяния не отходит вьспятъ!» И рече царь отъроку: «Отроча! Тебѣ глаголю, отгадывай загатъку мою: много ли от востока до запода?» Отрокъ рече: «От востока до запода 12 часовъ, от запода до востока 12 часовъ, и всего тово во дни и в ночи от востока до запода 24 чеса!» И удивися царь младому ево разуму и мудрому ево ответу. И паки наливъ чашу меду, и дастъ купцу, и сыну ево, и рабу ихъ. Они же, выпивъ чаши, и скрыша в нѣдры своя и рекоша: «Царево дояние не отходитъ вьспятъ!» И рече царь отроку: «Отроча! вторая загатка: от чего десятая частъ в мире пребываетъ и десятая часть убывает?» И рече царю отрокъ: «Аз твою загатьку отгадаю завътра, ась ты, царю, постави престоль свой среди двора своего и сиди на немъ!»	И сказал царь купцу: «Купец! День тот настал, о котором просил ты — отгадывай загадки мои!» И ответил сын купца: «Дай мне, царь, медку испить — я тебе загадки твои разгадаю!» И сказал царь ребенку: «Не тебе я загадки загадываю, а этому купцу!» И ответил ребенок: «Царь! Я — сын купца, загадки твои вместо отца своего разгадаю!» И царь, налив чашу меду, подает ее ребенку, а ребенок передает отцу своему. Отец же, выпив мед, хотел вернуть чашу, но сказал ребенок отцу своему: «Отец! Не возвращай царского дарения чашу, но спрячь ее поглубже, ибо царевы дарения не отдаются назад!» И отец спрятал чашу за пазуху. Царь же, налив вторую чашу меду, дал ребенку, и ребенок передал ее рабу своему, приказав выпить и спрятать поглубже. И раб совершил повеленное. Тогда царь, налив третью чашу меду, дал ее ребенку. Ребенок же, выпив, спрятал чашу поглубже. И сказал мальчик: «Царевы дарения не отдаются назад!» И сказал царь мальчику: «Мальчик! Тебе говорю, отгадай загадку мою: далеко ли от востока до запада?» Мальчик ответил: «От востока до запада двенадцать часов, от запада до востока двенадцать часов, и всего так, со днем и с ночью, от восхода солнца и до его заката, — двадцать четыре часа!» И поразился царь юному его разуму и мудрому его ответу. И, снова налив чашу меда, дал купцу, и сыну его, и рабу их. Те же, выпив чаши, спрятали их за пазухи свои и произнесли: «Царевы дарения не отдаются назад!» И сказал царь отроку: «Мальчик! Вторая загадка: чего десятая часть в мире прибывает, а десятая часть убывает?» И ответил мальчик царю: «Я твою загадку отгадаю завтра, но ты, царь, поставь престол свой посреди двора своего и сядь на него!»
Наутре же приде онъ купецъ с сыномъ своимъ и с рабомъ и ста пред царемъ и поклонишеся ему, и рече царь: «Млады отрокъ! Отгодывой мою вторую загатку: чесо днемъ десятоя частъ в миру убываетъ, а десятоя частъ в миру пребываетъ?» И рече отрокъ царю: «Государь царь, Несмеянъ Горды! То ли твоя мудроя загатка? У нась ети твои загатки младыя отроки, мнѣ сверстники, промежъ собою загадываютъ и отъгадывают! То ли твоя, царю, загатъка? — Сонъце зноемъ высушаетъ десятою частъ воды в мори, и в реках, и в озерах. Понеже нощъ имеетъ в себе мокроту и росу впушаетъ в мори, и в реки, и в озеры, — и то десятая часть в мире прибываетъ ношъшию, — то тебе, царю, вторая загатка!» И удивися царь таковому ево разуму и многоразумному ево мудрому отъвету, — борзо токово смышленъ. И рече царь: «Отроча! Отгадывай третью загатьку: чтобы естъ окаяныя не смеялись поганы вамъ, провославным християном?» И рече отрокъ к царю: «Дай мнѣ сроку на петь дней, а въ те 5 дней повели проповедникомъ своимъ по въсемъ торгамъ и по всему граду, чтобъ все шли к лобному месту, и ты повели себѣ сотворитъ на лобномъ месте выше всех людей место, чтобы глась твой быль слышитъ во все люди!» И дастъ ему царь сроку на пет дней, а в те пятъ днѣй, по велению его и по приказу, все устроили.	И наутро пришел тот купец с сыном своим и с рабом, и предстал пред царем, и поклонился ему, и сказал царь: «Отрок младой! Отгадывай мою вторую загадку: чего десятая часть днем в мире убывает, а десятая часть в мире прибывает?» И ответил мальчик царю: «Царь-государь Несмеян Гордый! Это ли твоя мудрая загадка? У нас такие твои загадки маленькие мальчики, мои сверстники, друг другу загадывают и отгадывают! Это ли, о царь, твоя загадка? — Солнце зноем осушает десятую часть воды в море, в реках и в озерах. Но так как ночь приносит с собою сырость и влагу, вносит их в моря, и в реки, и в озера, — то десятая часть в мир возвращается ночью, — вот тебе, царь, вторая загадка!» И удивился царь таковому его разуму и многосмысленному его мудрому ответу, что так он смышлен. И сказал царь: «Мальчик! Отгадывай третью загадку: что нужно сделать, чтобы, проклятые, не смеялись язычники над вами, православными христианами?» И ответил мальчик царю: «Дай мне сроку пять дней, а за эти пять дней прикажи вестникам твоим по всем площадям и по всему городу объявлять, чтобы шли все к лобному месту; и ты повели тебе построить на лобном месте выше всех прочих место, так чтобы голос твой был слышен всем!» И дал ему царь сроку пять дней, а в эти пять дней по велению его и по приказу все устроили.
