А СѢ О ЗЛЫХ ЖЕНАХ[1]	А ЭТО О ЗЛЫХ ЖЕНАХ
Что есть зла жена? Око дияволе, торгъ адовъ, сквѣрнамъ царь, воевода неправдамъ, стрела сотонина, и уязвляющи многымъ сердце.	Что такое злая жена? Око дьявола, адское торжище, царица сквернам, воевода неправдам, стрела сатанинская, поражающая сердца многих.
Что есть жена? Сѣть утворена, прелщающи человекы въ сластех: свѣтлымъ убо лицем и высокыма очима намизающи, ланитома склабящися, языкомъ поющи, словесы чарюющи, ризы повлачащи, ногама играющи, дѣлы убивающи. Темъ глаголеть: «Въ добротѣ женьстѣй мнози погыбоша, и от того любы яко огнь възгараеться».	Что такое (злая) жена? Сеть расставленная, прельщающая людей сладострастием: со светлым лицом и большими глазами подмигивающая, улыбками ослабляющаяся, устами поющая, словами чарующая, одеждами завлекающая, ногами играющая, делами убивающая. Потому и сказано: «От красоты женской многие погибли, и от нее любовь, словно огонь, возгорается».
Что есть жена зла? Кладязь смрадѣнь, стрѣла съ чемеремь, вѣтръ сѣвѣръ, день невѣдрѣнъ, пустота дому, бѣшена сука, неистова коза.	Что такое злая жена? Колодец смрадный, стрела с отравой, ветер холодный, день непогожий, пустота в доме, бешеная сука, неистовая коза.
Нѣкто вънидѣ въ богатъ домъ къ вдовѣ и оженися ею, но бяше зла. И людие хваляху ему, он же рече: «Не нынѣ хвалитѣ ми, но егда избуду ея».	Некто вошел в богатый дом ко вдове и женился на ней, но была она злой. И люди хвалили его, он же говорил: «Не сейчас хвалите меня, но когда избавлюсь от нее».
Нѣкому досажаше жена, кленущи смертию и всеми злобами по вся дни, мужеви же недоумѣющу, чего домыслитися о семь. И присуну к собѣ немощь злу и възлегъ ниць, завъпи. Она же нача плакатися по нем. Мужь же въсклонився рече ей: «Почто, оканная, плачеши мене, а по вся дни смертию клѣнущи?» И, въставъ, имъ ю за власы, нача бити ю дрѣвом и пусти едва живу. Она же оттолѣ нача не кляти мужа своего.	Некоему человеку досаждала жена, каждый день, бранясь, призывала она на него смерть и всякое зло, муж же не знал, что ему придумать. И притворился, что тяжело заболел, лег навзничь и стал кричать. А она начала по нему причитать. Муж же, приподнявшись, сказал ей: «Почему, окаянная, оплакиваешь меня, а каждый день, бранясь, смерть на меня призываешь?» И, встав, схватил ее за волосы и начал бить ее палкой, и отпустил чуть живую. И она с тех пор перестала бранить мужа своего.
Нѣкому умре жена зла. Он же по малѣх днехъ нача запродавати дѣти ея. Людие же клѣняху его, он же рече: «Боюся, еда како и сии въ матерь будут, да некако възрастъсше, мене продадуть».	У некоего человека умерла злая жена. Он же через некоторое время начал продавать ее детей. И люди ругали его, а он сказал: «Боюсь, что если они уродились в свою мать, то, когда вырастут, меня продадут».
Сей рече, плачася по зле жене: «Не сего плачюся, зане умре ми жена, но сего плачюся, аще такова будеть и другая!»	Он же сказал, оплакивая злую жену: «Не потому плачу, что умерла у меня жена, но потому плачу, что такая же будет и другая!»
Нѣкто посече жену, зане зла бѣ. Просящу же ему иныя за ся, и рекоша ему: «Како имамъ за тя дати, а ты пѣрвую посече!» Онъ же рече: «Аще такова будет другая, то и третию посещи имамъ».	Некий человек засек жену, ибо была она злой. Когда же он стал просить за себя другую, ему было сказано: «Как я могу отдать за тебя, ты же засек первую!» А он сказал: «Если такой же будет другая, то я и третью засеку!»
Жены борзее себѣ не поимай, не аки господинъ ей будеши, но она аки госпожа ти будеть.	Жены ретивее себя не бери, а то не ты господином ей будешь, но она госпожой тебе будет.
Видѣвъ стару жену, мажущеся румянцемь и приникающу въ зерчало, и рече: «Не въ зерчало зри, но въ коръсту!»[2]	Некто увидел старуху, которая мазалась румянами и приникала к зеркалу, и сказал: «Не в зеркало смотри, но в гроб!»
