СЛОВО О ХМЕЛЕ
КИРИЛА, ФИЛОСОФА СЛОВѢНЬСКАГО	СЛОВО О ХМЕЛЕ
КИРИЛЛА, ФИЛОСОФА СЛОВЕНСКОГО
Тако глаголеть Хмель ко всякому человѣку, и ко священническому чину, и ко князем и боляромь, и ко слугам и купцемь, и богатымь и убогым, и к женамь такоже глаголеть: «Не осваивайте мене, добро вы будеть. Аз же ти есмь силенъ боле всѣх плодовъ земных, от керени силна, от племени есмь велика и многородна, мати же моя Богом сътворена. Имѣю у себе нозѣ тонцѣ, а утробу необьядчиву, руцѣ же мои держат всю землю, а главу имѣю высоковумну, а умомь есмь не равенъ ни х кому.	Так говорит Хмель всякому человеку, и священническому чину, и князьям, и боярам, и слугам, и купцам, и богатым, и бедным, и женам также говорит: «Не водитесь со мной, хорошо вам будет. И силен же я более всех плодов земных, от корня сильного, от племени великого и плодовитого, мать же моя Богом сотворена. У меня ноги тонки, а утроба не прожорлива, руки же мои держат всю землю, а глава моя высокомерна, а умом со мной не сравнится никто.
А хто дружить ся со мною, а имет мя осваивати, первое доспѣю его блудна, а к Богу не молебника, а в нощи не сонлива, а на молитву не встанлива. А изоспався ему стенание и печаль ему наложу на сердце, вставшу ему с похмелиа глава ему болить, а очемь его свѣта не видѣти, и ни на что ему на добро умь не идеть, а ясти не жадаеть, жадаеть и горить душа его, пакы пити хощеть. Да изопьеть с похмелиа чашу, и другую, и потомь многыя пиеть, тако . напиваяся по вся дни. И въздвижю в нем похоти телесныя, и потом ввергу его в болшую погибель — град его или село доспѣю пусто, а самого во злыхъ[1], а дѣти его в работѣ».	А кто подружится со мной и полюбит меня, сначала сделаю его блудником, а Богу не молящимся, а в ночи не спящим, а на молитву не встающим. А как проспится он, стон и печаль ему наложу на сердце, а как встанет он, с похмелья голова его болит, а очи его света не видят, и ничто доброе на ум ему не идет, а есть не желает, жаждет и горит душа его, снова пить хочет. Да изопьет с похмелья чашу, и другую, а там и многие пьет, так напиваясь все дни. И разбужу в нем похоти телесные, а потом ввергну его в большую погибель — град его или село опустошу, а самого по миру пущу, дети его в рабстве будут».
Тѣм же, братия, не уподобляйтеся симь, не долго спите, не много лежите, вставайте рано, а ложитеся поздо, молитеся Богу, да не внидете в напасть.[2] Лежати долго — не добыти добра, а горя не избыти.	Потому, братья, не уподобляйтесь им, долго не спите, много не лежите, вставайте рано, а ложитесь поздно, молитесь Богу, чтобы не впасть в искушение. Лежать долго — не добыть добра, а горя не избыть.
Лежа не мощно Бога умолити,
чти и славы не получити,
а сладка куса не снѣсти,
медовыя чаши не пити,
а у князя в нелюбви быти,
а волости или града от него не видати.	Лежа нельзя Бога умолить,
чести и славы не получить,
а сладкого куска не съесть,
медовой чаши не пить,
а у князя в любви не быть,
а волости или града от него не видать.
Недостаткы у него дома сѣдять, а раны у него по плечемь лежать, туга и скорбь по бедрамь гладомь позваниваеть,[3] убожие у него в калитѣ гнѣздо свило, привязалася к нему злая лѣность, какъ милая жена, а сонъ — какъ отець, а охание — какъ любая чяда. А злыдни на него смотрят, уловляють его, какъ свинию. Свиния бо аще где не внидет, да рылом тычеть. Тако и пианый человѣкъ, аще в кый дворъ не пустять, у тына стоить послушывая: «Пиют ли в дворѣ семь, братие?» — спрашиваеть у коегождо человѣка.	Нужда-скудость у него дома сидят, а болезни у него на плечах лежат, печаль и скорбь по бедрам голодом позванивают, нищета у него в кошельке гнездо свила, привязалась к нему злая лень, как милая жена, а сон — как отец, а оханье — как любимые дети. А козни на него смотрят, ловят его, как свинью. Свинья, если куда влезть не может, так рылом роет. Так и пьяница, если его в какой двор не пустят, у тына стоит, подслушивая. «Пьют ли во дворе этом, братья?» — спрашивает у каждого человека.
Пианьство князь и боляромь землю пусту створяет, а людей добрых и равныхъ, и мастеровъ в работѣ счиняеть. От пианьства охъ и убожие злое привязуется. Пианьство брата с братом сваживаеть, а мужа отлучает от своея жены. Пианство ногамь болесть сътворяет, а рукы ему дрожат, зракъ от очию погибаеть. Пияньство къ церкви молитися не пускаеть и во огнь вѣчны посылаеть. Пианьство красоту лица измѣняеть. О комь молва в людех? О пианици. Кому сини очи? Пианици. Кому охание велико? Пианици. Кому горе на горе? Пианици. Кому проспати заутреня? Пьянчиву человѣку.	Пьянство князьям и боярам землю опустошает, а людей добрых и равных, и мастеров в рабство ввергает. От пьянства охи и убожество злое привязывается. Пьянство брата с братом ссорит, а мужа отлучает от своей жены. От пьянства ноги у него болят, а руки дрожат, зрение очей меркнет. Пьянство к церкви молиться не пускает и в огонь адский посылает. Пьянство красоту лица уничтожает. О ком молва в людях? О пьянице. У кого под глазами синяки? У пьяницы. Кому оханье великое? Пьянице. Кому горе горькое? Пьянице. Кто просыпает заутреню? Упившийся человек.
Пьяница Богу молитися не хощеть, книгъ не чтеть и не слушаеть, свѣтъ ему от очию заступаеть. Аще ли кто пиянъ умреть, той самъ себѣ врагъ и убийца, а приношение его — ненависть Богу.	Пьяница Богу молиться не хочет, книг не читает и не слушает, свет от глаз его заслонен. Если же кто пьян умрет, тот сам себе враг и убийца, а жертва его ненавистна Богу.
Тако глаголет Хмель: «Аще познается со мною жена, какова бы ни была, а иметь упиватися, учиню ея безумницею, и будет ей всѣхъ людей горѣе. И въздвижю в ней похоти телесныя, и будет от людей в посмѣсѣ, а от Бога отлучена и от церкви Божия, то лучши ся бы ей не родити».	Так говорит Хмель: «Если спознается со мною жена, какова бы ни была, а станет упиваться, учиню ее безумной, и будет ей всех людей горше. И воздвигну в ней похоти телесные, и будет посмешищем меж людьми, а от Бога отлучена и от церкви Божьей, так что лучше бы ей и не родиться».
