СЛОВО 35. ТОГОЖДЕ О ДУХОВНЫХ НАШИХ БРАТЯХЪ ГЛАГОЛЕМЫХ ЦАТЬ	СЛОВО 35. ТОГО ЖЕ О ДУХОВНЫХ НАШИХ БРАТЬЯХ, НАЗЫВАЕМЫХ ДАТАМИ.
РАВНОЕ ПАТРИАРЬШЫСКАГО ПОСЛАНЬЯ, ПОСЛАНАГО КЪ КИРЪ ЕУФИМЬЮ ОТ ЕРУСАЛИМА И ЕЩЕ ЖЕ И РАВНОЕ ПОСЛАНЬЯ ИГУМЕНА СВЯТОГО СИМЕОНА ЧЮДОТВОРЦА[1]	КОПИЯ ПАТРИАРШЕСКОГО ПОСЛАНИЯ, ОТПРАВЛЕННОГО КИР ЕВФИМИЮ, ПАТРИАРХУ ИЕРУСАЛИМА, А ТАКЖЕ КОПИЯ ПОСЛАНИЯ ИГУМЕНА МОНАСТЫРЯ СВ. СИМЕОНА ЧУДОТВОРЦА
Надписанье. Боговиднѣйшему и святому нашему владыцѣ богопочтеному патриарху иерусалимскому пришедшеи въ Антиохию архиерѣи[2] и причта приизящьнии, чада и раби твои. Господи, благослови.	Заголовок. Боговиднейшему и святому владыке нашему, богопочтенному патриарху иерусалимскому пребывающие в Антиохии архиереи и избранные от клира, чада и рабы твои. Господи, благослови.
Подобаше убо намъ, богопочтеный нашь владыко святый, писаниемъ присно и нарѣковати тебѣ, и лобзовати, и долъжное еже по Бозѣ твоему свершению въздати поклонение, яко святыя твоя въсприимати молитвы и от тебе благословлятися. Но прилучьшаяся нам напасти и бывшее вещем пременение от подобаюшаго нас прѣсѣцаютъ и полезнаго, понеже и бес пастыря пребываемъ[3] и нѣсть иже нас сберег, разъсѣяныя суща, и зверем удобь емлемый бьшающа ловъ. Нънѣ же нову в уши наши въпадшюю слышанию настоящее писание къ святынѣ твоей послахом, ово убо долъжное то и въздаюше поклонение и еже от нею благословление просяще, ово же и о слышанемъ сказающе; еда бо се въ твою не вънесено бысть слухы. Слышахом бо яко цятом арменом нѣкым рекше отшелником арменьскыя службы ту сътворше жилище и безмольствовати ту произволивше, нѣции всяко от доброненавистнаго бѣса нападают на них и яко неправославны облыгуют и всячьскыми образы оскорьбляютъ их. Но убо таковии приятнѣ бяху от прежде бывших патриархъ наших, и нѣкая от них братья суть въ честнѣй обители святаго Чюдтворца Симеона учиненѣ и въ иных монастырих, в нихже и служат и Причистымъ Таинам съ православными причящаются, и ниже от древних лѣт дажде донынѣ възниче съмнинье нѣкое о славѣ их. Сия убо мы яко вѣдуще възвѣстихом; твоего же хотѣнья есть или нраву прѣдварших патриархъ послѣдовати, или инако нѣкако помянувшемуся и угодному Богови створити. Честныя убо и святыя молитвы твоя да дарованѣ будут нам въ всемъ житии.	Нам подобало, богопочтенный наш и святой владыка, всегда обращаться к тебе с письмами и приветствовать, и должное по Богу твоему совершенству воздавать поклонение, так чтобы воспринимать твои святые молитвы и у тебя благословляться. Но случившиеся у нас обстоятельства и произошедшая перемена вещей отстраняют нас от должного и полезного, поскольку и пребываем без пастыря, и нет никого, кто бы нас, рассеянных, сохранил, представляющих собой легкую добычу для зверей. Теперь же, поскольку до наших ушей дошел {новый} слух, мы отправили к святыне твоей настоящее письмо, воздавая в нем должное поклонение и тем самым прося благословления, в нем же выясняя то, что касается слуха; ибо это, вероятно, не было донесено до твоих ушей. Потому что мы слышали, что некоторые из армян цатов, то есть отшельников, служащих по-армянски, здесь устроили себе жилище и предпочли здесь безмолвствовать, а некоторые всяко от доброненавистника-врага нападают на таковых и клевещут на них как на неправославных и любым способом досаждают им. Ибо таковые считались приемлемыми у предшествовавших святейших патриархов наших и некоторые братья из них устроены в честной обители Св. Симеона Чудотворца и в других монастырях, в которых и служат, и причащаются Пречистых Тайн с православными, и с давних пор и доныне не возникло сомнения об их вере. Это мы выяснили как сведущие; от тебя зависит либо последовать мнению предшествующих блаженнейших патриархов, либо как-то иначе решить насчет этого и сотворить угодно Богу. Итак, пусть честные и святые твои молитвы будут нам дарованы в течение всей жизни.
РАВНОЕ ПОСЛАНЬЕ ПОСЛАНАГО ОТ СВЯТАГО ЧЮДОТВОРЦА СИМЕОНА К КИРЪ ЕУФИМЬЮ ПАТРИАРХУ ИЕРУСАЛИМЬСКОМУ С ПАТРИАРХОВѢМ ПОСЛАНЬЕМ.	КОПИЯ ПОСЛАНИЯ, ОТПРАВЛЕННОГО ОТ МОНАСТЫРЯ СВ. ЧУДОТВОРЦА СИМЕОНА КИР ЕВФИМИЮ, ПАТРИАРХУ ИЕРУСАЛИМСКОМУ С ПАТРИАРШЕСКИМ ПОСЛАНИЕМ
Надписанье. Блаженѣйшему и святому владыцѣ моему треблаженому патриарху Иерусалимьскому Петръ послѣднии мних прозвитеръ и игуменъ и архимандритъ честныя обители иже на Дивнѣи горѣ святаго и чюдотворца Семеона, рабъ молитвы твоея.	Заголовок. Блаженнейшему и святому владыке моему триждыблаженному патриарху Иерусалима Петр, последний монах, пресвитер и игумен и архимандрит честной обители на Дивной Горе Чудотворца и Святого Симеона, раб молитвы твоей.
Блаженийший и владыко и святѣиший, слышание нѣкое приде въ наша слухы о ту сущих и ошелникох цятох, ту нѣгдѣ жилище створшим и безмольствовати произволившим. Нѣции всяко наваждением добруненавистника врага нападают на них и яко неправославны облыгаютъ и всяцѣм образом опечялѣют их. Тии же, владыко святый, приятни бяху от предварших святыхъ старець и святийших патриархъ, и нѣцѣи от них съчтани суть въ братья нашея обители и служити и съпричящатися с нами и въ всем от святыхъ старець онѣх и съвъдворятися повелѣни быша яко православнии. И аще не быша опасно испыталѣ и правѣ мудрествующе въ православний вѣрѣ обрѣтошася, и не быша тѣх приялѣ. И мы убо, вѣдуще яже о них, възвѣстихом твоему блаженству, и твое же есть хотѣние по волѣ угодному Богови сътворити. Нас же, недостойныя рабы твоя, молим яко да всегда к Богу службы твориши, в молитвах твоих не забываеши, яко рабѣ бо недостоинии дерьзнувше написахом.	Блаженнейший владыко и святейший, некая молва дошла до нашего слуха о здесь живущих отшельниках цатах, которые здесь где-то устроили себе жилище и выбрали безмолвие. Некоторые всяко из-за наваждения доброненавистника врага нападают на них и клевещут как на неправославных и всяческим образом им досаждают. И они, святой владыка, были приемлемы у предшествовавших святых старцев и святейших патриархов, и некоторые из них устроены в братии нашего монастыря и служат, и причащаются вместе с нами, и во всем теми святыми старцами было определено, чтобы они общались с нами как православные. И если бы они усердно не исследовали, что те правильно думают в отношении православной веры, не приняли бы таковых. И мы, зная о них, уведомили твое блаженство, а от твоего желания зависит рассудить насчет этого и угодное Богу сотворить. Молим тебя, чтобы, когда ты творишь службы к Богу, не забывал нас, недостойных рабов твоих, в своих молитвах, поскольку как недостойные рабы мы дерзнули тебе написать.
СЛОВО 36. ТОГОЖДЕ КЪ ОТЦЮ ГЕРАСИМУ[4] О ТѢХ ЖЕ. И РАВНОЕ ПОСЛАНЯ ИЖЕ ВЪ ЕРУСАЛИМѢХЪ ПОСЛАНАГО КЪ ОТЦЮ ГЕРАСИМУ ЯКО ДА ПРОЧТЕНО БУДЕТ ПОСРЕД С ДВѢМА ПОСЛАНИЦЕМА, ПАТРИАРХОВѢМЬ ЖЕ И ОБИТЕЛИ СВЯТАГО СЕМЕОНА ЧЮДОТВОРЦА.	СЛОВО 36. ТОГО ЖЕ К АВВЕ ГЕРАСИМУ О ТЕХ ЖЕ. И КОПИЯ ПОСЛАНИЯ, ОТПРАВЛЕННОГО В ИЕРУСАЛИМ К АВВЕ ГЕРАСИМУ, ЧТОБЫ БЫЛО ПРОЧИТАНО СРЕДИ ДВУХ ПОСЛАНИЙ — ПАТРИАРХА И МОНАСТЫРЯ СВЯТОГО СИМЕОНА ЧУДОТВОРЦА
Възлюбленое и духовное мое чядо. Якоже слышахом от некых, яко нѣции от сущих ту в невѣдѣнии и подвижениемъ сотонинымъ движемии, словесы оскорьбляют ту сущую братью нашю, глаголемыя цаты, обаче не явѣ и пространнѣ, но отай и завистию сотониною и ины нѣкы полотныя вины прилагающе, яко да не от вѣдѣния слышащих невѣждьи. И паки от ищющих и вины погыбели лукавых, глаголю, бѣсовъ, нѣции вѣрующии блазнятся, корень таковаго лукавого сотониньскаго сада и подобных сим кождо устава ради любовнаго, елико по силѣ, Христу съпоспѣшьствующу, искоренити да подвигнется. Азъ же зде, Господу Богу и Спасу нашему и Прѣчистѣй Матери его Богородици и всим святымъ Его съпоспѣшьствовавшим, еже по силѣ моей, не обленихся, но и в сборний церкви патриархии и в святемъ Симеонѣ господини моем Чюдотворци. И посреде испотано бысть от всихъ опасно и явѣ очищена быша вся благодатью Христовою. И се послахом послания и написаная свидительства же и извѣщения. Обаче убо, ты добрѣ мя знаеши, чадо мое любимое, яко и з дѣтьства съвъзраслъ ми еси, и знаеши, яко зде во монастирѣ съ братия сия у Богородица глаголю наречаемыя Роидиевы, не просто и без разума сѣдох. Но, якоже знаеши, егда прѣдана бысть Антиохия,[5] и приидох сам в обитель Богородица Роидиевы и обретох первие убо мѣсто непроходимо от языкъ и отвсуду безмольвно и моему разуму поспѣшьствующе, якоже люблях и хотѣх, якоже мя знаеши. Потом же паки обрѣтох иноязычникы сия грубыя и невѣжда и единовѣрны, якоже египтяны оны иноязычни же и невѣжда преднии они отци наши и греци. И обаче азъ аще и недостоины сый, но рабъ тѣх судих быти образа ради иночьскаго, и якоже не пшую елико по силѣ мало что тщася тѣх подражати. Не безъ расмотриния же зде сѣдох, но первие испытах у святого Симеона Чюдотворца вѣдущих и разумных, такожде и инуду вѣдущих Божественая Писания. И паки писах въ сборную церковь патриархия,[6] и посла ми владыка сакелий писание,[7] имущее тожде свѣдительство и тѣх свершеныя вѣры извещение, сказующе сице и глаголя, яко «Цаты вы паче свѣсте, въ вашей бо пребывают обители. Аще же тѣх прежде бывшеи святии отци тужда от правыя вѣры вѣдѣли быша, како сих съжительствовати и съпрѣбывати им и съпитатися и прияша или како блажении патриарсѣ въ то всеосвященное мѣсто въходити тѣмъ, и молитвы сътваряти, и службы попустиша, аще правѣ мудрествующих не быша вѣдѣли».	Возлюбленное и духовное мое чадо. Поскольку я услышал от неких, что некоторые из здесь живущих в незнании и движимые сатанинским побуждением досаждают здесь находящимся братьям нашим, называемым цатами, но не открыто и пространно, а тайно и с сатанинской завистью, выдвигая некоторые другие плотские предлоги. И чтобы не смущались некоторые из верующих знанием невежд, слышащих (что-то об этом) от лукавых, ищущих повода для гибели, я говорю о злых демонах, пусть каждый подвигнется по силе искоренить с Христовой помощью посредством заповеди любви корень такового дурного и сатанинского растения и подобных ему. Я же здесь, с помощью Господа Бога и Спасителя нашего и Пречистой Матери его Богородицы и всех его святых, то, что в моих силах не поленился сделать и в соборную церковь в патриархию и в монастырь Св. Симеона, господина нашего, Чудотворца (обратился). И на месте было всеми исследовано в точности, и явственно все очистилось благодатью Христовой. И вот я отправил послания и письменные свидетельства и извещения. Однако ты хорошо меня знаешь, возлюбленное мое чадо, поскольку с детства вырос со мной, ты знаешь, что здесь, в монастыре, с этой братией, у Богородицы, я говорю, называемой Роидиевой, я не просто так и без разбора поселился. Но, как ты знаешь, когда сдалась Антиохия, я пришел сам в обитель Богородицы Роидиевой и сперва нашел это место необработанным местным населением и во всех отношениях тихим и способствовавшим моим намерениям, как я любил и желал, как ты меня знаешь. Затем я нашел этих иноплеменных дикими и невеждами и единоверными, как и египтян тех, иноплеменных невежд, нашли прежние те отцы наши греки. Однако я, пусть и недостойный, но решил, что ради иноческого образа стану их рабом, и, как надеюсь, по силам, помалу старался им подражать. Не бездумно я здесь поселился, но сперва расспросил в монастыре Святого Симеона Чудотворца сведущих и разумных, а также в других местах знающих Божественные Писания. И снова написал в соборную церковь в патриархию, и прислал мне владыка сакеллий послание, содержащее такое же свидетельство о них и извещение о совершенной вере их, в котором толкуется таким образом и говорится так: «Вы цатов знаете больше, потому что они пребывают в вашем монастыре. Если бы предшествующие святые отцы знали их как чуждых правой веры, как же с такими было принято жить вместе и питаться или как блаженнейшие патриархи в это пресвятое место попустили им входить и молитвы творить, и службы, если бы они не знали, что те думают правильно».
Сия вся приимше сакеллие во писание и посла ми то у святого Симеона, в немъже и храню е от вѣры. И ина писания ми посла, имуща свершеное извѣщение о архиерѣох и Сборныя Церкви и повеление о тѣх съжительстви и съпрѣбывании съприобѣщании Святыхъ Таинъ, глаголющее сице яко право держащим в непорочнѣй христианьстий вѣрѣ нѣсть блазнено съприобщатися Божественымъ Таинам и подати тѣм, и от нѣх приимати. Ни бо о языцѣ есть разнество и зазорное, но о самой правослѣвнѣй вѣрѣ.	Таково было содержание послания сакеллия, и он отправил мне его в монастырь Святого Симеона, в котором я и храню его из веры. И другие письма отправил он мне, содержащие совершенное извещение от архиереев Соборной Церкви и повеление по поводу жизни, пребывания и приобщения Святых Тайн с ними, говорящие, что имеющим правую и непорочную христианскую веру нет соблазна причащаться Божественных Тайн, и подавать им, и от них принимать. Ибо зазорна разница не в языке, но в самой православной вере.
И сия убо сице имяху, и ина же множайша, имуща извѣщение свершено. И обаче иже Божественая Писания испытующеи вѣдят таковая изтязовати, яже о вѣрѣ глаголя. Сам же и великый Василие въ своем первом правилѣ и явѣ о таковых разнествох глаголет,[8] что есть ересь, и что распрѣ, и что сънмица. И тако убо святый глаголет о сих разньствѣх, ихъ же поискавъ обрящет. Сия же братью нашю, глаголемыя цаты, идеже аще суть и в коемлюбо живут мѣстѣ, отвсюду испытавше, обрѣтохом благодатью Христовою бес порока в таковых, в яже о вѣрѣ, такожде и в распрях и о сонмищах. Ибо митрополит прѣдѣла их и страны Междорѣция, в нейже живут от первых лѣт, иже и ради нашествия язычьскых расточенѣ быша ниции от них въ различныя страны, но обаче, якоже рѣх, митрополитъ ихъ от иже въ Антиохии патриаршьствующаго поставляется,[9] яко престолу сущу всего Въстока. И законно, и правилно есть священничьство ихъ, и все съставление их, и кромѣ всякого зазора благодатью Христовою.	Таким образом, я получил и это, и другие письма, содержащие совершенное извещение. Однако те, кто изучает Божественные Писания, знают, как это исследовать, я имею ввиду веру. Сам Василий Великий в первом правиле ясно говорит о таких различиях, что есть ересь, и что раскол, и что (тайные) собрания. Святой таким образом говорит об этих различиях, кто это поищет, тот найдет. Братьев же наших, называемых цатами, исследовав всесторонне, где бы они ни были и в каком бы месте ни жили, мы нашли по благодати Христовой беспорочными в этих вещах, то есть в отношении веры, а также раскола и тайных собраний. Потому что и митрополит их предела, и страны Месопотамии, в которой и живут они с первых лет, хотя из-за нашествий иноплеменников некоторые из них рассеялись в различные страны, но, однако, как я сказал, их митрополит рукополагается антиохийским патриархом, поскольку это трон всего Востока. И законно, и канонично есть их священство и весь их порядок и вне всякого, по благодати Христовой, подозрения.
