ТРЕТЬЯГО СЛОВА СУТЬ СТИХОВЕ ВСИ 1654	ВСЕГО В ТРЕТЬЕМ СЛОВЕ 1654 СТИХА
СЛОВО 3	СЛОВО 3
1. Яко ничтоже творит душа или дѣйствует кромѣ тѣла, но его всѣми уды дѣйствует и познаваеться, какова есть и колика.	1. Что душа ничего не совершает и не делает помимо тела, но действует только с помощью всех его членов, а через это и познается, какова она и какая.
2. Яко аще не въ свершенъ възрастъ приидут уди и части телесныя, дѣйства душевная неявлена суть.	2. Что если не полностью разовьются члены и части тела, действия душевные останутся непроявленными.
3. Яко аще что от удовъ телесных погибнет или инако вредиться, бездѣльствуеть душа к служенью его.	3. Что если какой-нибудь из членов тела погибнет или иначе повредится, душа окажется не в состоянии действовать присущим этому члену образом.
4. Убо в коей части тѣла пребыванье уму мнѣти достоить.	4. В какой части тела следует считать пребывающим ум.
5. Яко сраслена есть душа телеси и вкупѣ душа и вкупѣ и тѣло, не бо прежнѣйшее единъ другаго.	5. Что сращена душа с телом и одновременно появились душа и тело, а не одно прежде другого.
6. Яко, тѣлу разрушаему, не сраздрушаеться с ним и душа, и како бесмертное и славное с мертвым и неславным создано бысть, и которое котораго первозданно бысть.	6. Что с разрушением тела не разрушается с ним и душа; и о том, как бессмертное и славное было создано со смертным и бесславным, и что чего первозданней.
7. Убо кто согрѣшивы въо Адамѣ изначала — душа или тѣло, и яко смерть не мука есть, но врачеванье и смотренье добрѣйшее, и яко душа, дондеже привязана есть сей плоти, мысленая видѣти не может.	7. Кто согрешил в Адаме сначала — душа или тело, и — что смерть не мука, но врачевание и прекрасное предусмотрение, и что душа, пока привязана к этой плоти, мысленного видеть не способна.
8. Иже по образу и по подобью кое есть, и кто от обою имат то — душа или тѣло.	8. Что у человека по образу и что по подобию, и кто из обеих обладает этим — душа или тело.
9. Убо тлѣнна ли Адамова плоть или нетлѣнна создана бысть.	9. Тленной или нетленной была создана Адамова плоть.
10. И гдѣ хощем глаголати преже отшедшие сущиа душа; яко в последний день хощем вси от вѣка усопшеи вскреснути и какови.	10. Где следует считать пребывающими души прежде отошедших, и — что в последний день все от начала веков умершие воскреснем и какими.
11. Христосъ, сшед въ адъ, вся ли иже от вѣка тамо сущая душа свободи, по Писанию, или ни, и како и ким образом познают душа каяждо свое тѣло в въскресении.	11. Христос, сойдя в ад, все ли от века там находящиеся души освободил, по Писанию, или нет, и как и каким образом каждая душа опознает свое тело при воскресении.
12. Яко обещно тогда быти и познанье на всѣх, дондеже ови от десныя, ови же ошююю разлучаються, и тако будет паки праведным познание, грѣшным же ни.	12. Что все тогда будут узнавать всех, пока не разделятся на стоящих справа и слева, после чего одни только праведные будут узнавать друг друга, а грешные нет.
