О ИКОНѢ ПРѢЧИСТЫЯ БОГОРОДИЦЫ, ИЖЕ ОТ МОЖАЙСКУ НА КОЛОЧЕ	О ИКОНЕ ПРЕЧИСТОЙ БОГОРОДИЦЫ, ЧТО В МОЖАЙСКЕ НА КОЛОЧЕ
Того же лѣта[1] от Можайска за пятнадцать верстъ в отчине князя Ондрѣя Дмитрѣевича,[2] внука Иванова, правнука Иванова же, праправнука Данила Московскаго, явися знамѣние в Колочи.[3]	В том же году в пятнадцати верстах от Можайска, в вотчине князя Андрея Дмитриевича, внука Иванова, правнука Иванова и праправнука Даниила Московского, свершилось знамение на Колоче.
Некий человѣкъ имѣнемъ Лука, простых людей, ратаев убогих, в последней нисщетѣ си, на некоемъ древе в нѣкоемъ мѣсте обрете икону Пречистыя Богородицы,[4] держашу на руце Младенец Господа Бога нашего Исуса Христа. Со единыя страны иконы тоя на затворце образ Николы чюдотворца, а з другую — Илии пророка. И вземъ ю и целова с верою многою, и постави ея у нивы своея на мѣстѣ простѣ, на дрѣве. И приде инъ нѣкий человѣкъ и взять ю у него. Лука же моливъ его, дав ему хлѣб овсанъ, и взят к себе паки икону, и поиде с нѣю в дом свой.	Некий человек, по имени Лука, из простых людей, бедных земледельцев, на одном дереве в некоем месте нашел икону Пречистой Богородицы, на которой изображена она держащей на руках Младенца Господа Бога нашего Иисуса Христа. С одной стороны на створке той иконы написан образ Николы-чудотворца, а на другой — Ильи-пророка. Взял ее Лука, с верою поцеловал и поставил ее у поля своего на неприметном месте, на дереве. Но пришел другой человек и забрал ее у него. Лука же умолил его, дав ему хлеб овсяный, и снова вернул себе икону, и с нею возвратился в дом свой.
И бысть в дому его разслаблен человѣкъ лѣжаша многа леть. Лука же показа ему икону и, како наидѣ ея, и повѣда ему вса. Человѣкъ же инъ разслабленый удивися и моляшѣ Луку, да принѣсеть к нѣму икону тую; Лука же принѣсе к нѣму. Разслаблѣный же приложи чело и очи и уснѣ ко святей иконѣ Божия Матери и в той час воста весь здравъ, якоже никогдаже болев.	А в доме его много лет лежал расслабленный больной. Лука показал ему икону и рассказал, как нашел ее. Человек больной удивился и просил Луку, чтобы он принес к нему ту икону, Лука же принес ее к нему. Больной приложился челом, глазами и устами к святой иконе Божьей Матери и тут же стал здравым, как будто никогда и не болел.
И сие слышано бысть от всех, тамо живущих, и стекошаса мнозии, и приносоша болящия и недужныя, и вси здравии быша. И начаша приходити оттовсюду людей множество, приношаху нѣдужныя и разслабленныя изсцелѣвахуся. И многа чюдеса безсчислѣна бываху, и начаша чтити Луку вси людиѣ, якоже пророка Ильи, апостола его имѣяху в вѣликой чти и славѣ. Лука же поиде со иконою из с Колочи к Можайску. И якоже приближашася ко граду, изыде во стрѣтение князь Ондрей Дмитреевичь з боляры своими и весь град от вѣликих и до малых да иже и до сущих млѣко. И быша знамѣния и чюдеса многа от ыконы Божия Матери.	И услышали эту весть от всех, там живущих, и стекались многие люди, приносили больных и недужных, и все выздоравливали. И начало приходить множество людей отовсюду, приносили недужных, и больные исцелялись. И бесчисленное множество чудес было, и начали все люди почитать Луку, как пророка Илью, за апостола его принимали в великой чести и славе. И Лука пошел с иконой из Колочи к Можайску. И когда приблизился он к городу, навстречу вышел князь Андрей Дмитриевич с боярами своими и весь город от мала до велика, и даже до младенцев. И были знамения и чудеса многие от иконы Божьей Матери.
Таже оттуду поиде Лука со иконою к Москвѣ, и стрѣтоша ея со крѣсты митрополит со епископы и со всем священнымъ соборомъ. Такоже и князи и княгини з детми своими, и боляре, и воеводы и вси велможии и все православное крѣстьянство множество. И быша чюдеса безсчисла многа: слѣпии прозираху, хромии хожаху, разслаблены востаху, нѣмии глаголаху, глусии слышаху, во всаком нѣдузе сущии здравии бываху. И что много глаголати, елико нѣ может умъ человечь зрещи безпрѣстани тогда бываемых тмы тмами безсчислѣных неизреченных чюдес.	Затем пошел Лука оттуда с иконой к Москве, и встретили ее с крестами митрополит с епископами и со всем священным собором. Также князья и княгини со своими детьми, и бояре, и воеводы, и все вельможи, и множество православных христиан. И было чудес бесчисленное множество: слепые прозревали, хромые начинали ходить, расслабленные вставали, немые говорили, глухие слышали, и все, бывшие больными, здоровыми становились. И что много говорить, если не может человеческий разум постичь тьмы-тьмущей бывших тогда непостижимых чудес.
И хожашѣ Лука от града во град со иконою Божия Матери, и везде чюдеса безсчисленная и нѣизреченна бываху от то иконы Божия Матѣри. И вси даяху Луке: князи, и боярѣ, и вси православные крѣстьянѣ, — имѣния многа в милостиню, и в честь, и в дары, и чествоваху Луку, яко апостола.	И ходил Лука из города в город с иконой Божьей Матери, и везде бесчисленные и непостижимые чудеса были от той иконы Божьей Матери. И все — князья, и бояре, и все православные христиане — давали Луке большие богатства в милостыню, в честь и в дар, и чествовали Луку как апостола.
Лука же бысть отнюд простъ человекъ, яко от последних поселян, но и добродетель законную имѣющѣ в себе. И возвратися паки в первое мѣсто своею иконою с чюдотворною на Колочю и со всем своим богатством, а богатства много безсчислено собра. И постави двор себе, яко нѣкий князь, храмы светлии и вѣлици, и слуг много собра, престоящих и предтекущих ему отроков много имѣяшѣ, во утварех украшени. И трапеза его много брашна имѣеши, тучных и драгих, и пити благовонных много, и ядяшѣ и упивашѣся со и сущими его служатѣли. И на ловы ездяшѣ с ястрѣбы, и соколы, и с крѣчаты, и псов множество имѣяшѣ, и мѣдвѣди имашѣ, и сими тешашѣся.	Лука же, хотя и простой был человек, из бедных крестьян, но добродетель настоящую в себе имел. И возвратился на прежнее место свое на Колочу с чудотворной иконой и со всем своим богатством, — а богатства очень много собрал. И устроил себе усадьбу, как некий князь, со светлыми и большими хоромами, слуг много набрал, и юношей завел, украшенных в нарядные одежды, прислуживающих и шествующих перед ним. И трапеза его была богата кушаньями и дорогими благовонными винами, и много ел и пил он со своими приспешниками. И на охоту ездил он с ястребами, с соколами и с кречетами, и псов много имел, и медведей, и с ними тешился.
От то иконы же пречистыя Богородицы чюдеса многи бывашѣ, еяже Лука во церкви постави, создании от нѣго, идеже нынѣ манастырь стоит Колочцкий. И приходящии отовсюду одержими всакими нѣдуги, изсцелѣние приимаху.	От той иконы же Пречистой Богородицы много чудес было, Лука же ее в церкви поставил, которую он сам построил, где ныне стоит монастырь Колочский. И больные, мучимые всякими недугами, приходили и исцелялись.
Сотвори же ся Лука напрасен и безстуден. Егда убо ловцы князя Ондрѣя Дмитрѣевича съ ястребы и соколы повѣлѣниемъ князя своего на лов выезждяху, он же соколников бияшѣ и грабяшѣ и ястрѣбы и соколы себе взимашѣ, и се ни единою, ни дважды, но многажды и всегда бывашѣ.	Лука же возгордился и потерял стыд. Когда охотники князя Андрея Дмитриевича по его повелению с ястребами и соколами на охоту выезжали, он сокольников бил и грабил, а ястребов и соколов себе забирал. И это не один, не два, но много раз и постоянно бывало.
Князь же Ондрей Дмитрѣевич тѣрпяшѣ вса сия, иногда же посылашѣ к нему, он же к нѣму жестоко и сурово отвѣщевашѣ. Князь Ондрей же Дмитрѣевичь смирѣнием и тѣрпѣнием смолчевашѣ. Та же нача ловчих княже Ондрѣевых бити и грабити, и мѣдведи и с ларми взимашѣ к себе, и с ними вѣселяшѣся и утѣшашѣся.	Князь же Андрей Дмитриевич терпел все это, но иногда посылал к нему, он же отвечал сурово и жестоко. Князь же Андрей Дмитриевич со смирением и терпением молчал. Тот же начал ловчих князя Андрея бить и грабить, медведей вместе с клетками себе забирал, с ними веселился и тешился.
