I	I
ЗАЧАЛО. ДЕНЬ ПЕРВЫЙ	НАЧАЛО. ДЕНЬ ПЕРВЫЙ
Божие всесовершенное и мирожиждителное Слово небо безвездное приведе в началѣ, безчисленою добротою сияющи лучами божественными, и землю всепитателницу, и с ними свѣтъ. Земля же неукрашена и невидима бѣ, и тма належаще на тою плещу глубока. Свѣту же восиявшу и повсюду пролиявшусе, и свѣтлостию исполненому и свѣтозарну дню бывшу, явишася преже невидимая, и мрачная тьма прогна бысть сияниемъ свѣтлых луч. В сѣхъ убо претече первый днем.	Всесовершенное и мир созидающее божественное Слово сотворило вначале небо беззвездное, неизмеримой красотой сияющее лучами божественными, и землю, всех питающую, и с ними свет. Земля же была неукрашена и невидима, и тьма глубокая лежала на плечах ее. Когда же воссиял свет и разлился повсюду и настал день, полный света и светозарный, явилось прежде невидимое, и мрачная темнота была прогнана сиянием светлых лучей. Вот так прошел первый день.
ДЕНЬ ВТОРОЙ	ДЕНЬ ВТОРОЙ
Оку же восиявшу дне втораго, небо второе утверди премудре, егоже земный всекровен содѣлав покров, нарече твердь Богъ доброхудожный, паче первыя безвездныя, вторую, другу твердь. Тогда и вселѣтное естество водное и бездны разделив, ово убо горѣ к высоте недовидимый легцы вознесъ, ово же на земли оставль, постави по средѣ сихъ небо яко преграду и яко тверду стѣну. Зеница же убо захождаше дню второму, а третий паки восияваше.	Когда же засветилось око дня второго, второе небо создал Бог премудро, сделав его всей земли покровом, и нарек его твердью Бог преискусный: создал он вторую, другую твердь совершеннее первой, беззвездной. Тогда же и разлившуюся повсюду стихию водную и бездну разделив, часть ее вверх легко вознес, в высоту необозримую, а часть на земле оставил, воздвиг между ними небо, словно преграду и словно твердую стену. Зеница скрылась дня второго, а третий за ним воссиял.
ДЕНЬ ТРЕТИЙ	ДЕНЬ ТРЕТИЙ
И паки художникъ всезиждитель премудрый и другимъ внимаше дѣломъ. И понеже убо проливашеся по земли всей елико от небесных вод остала бѣ вода и все лице ея покрываше езерьствие, все пролитие воедино совокупи внезапу, якоже нѣкто млека бела влагу сладкопролитну, яко да усырить и сырный кругъ сотворитъ. Отделившу же ся убо первие належащему, явися лице земленое, и красота восия каменю, и горамъ, и брегомъ глубокодолнимъ. От сего убо состав водный и моря нарече; сушное же естество, елико каменемъ составлено и елико толстобраздно, земли хитрецъ нарече Богъ вседѣтель. Премногую же свою силу являя, не восиявши еще зари исполина солнца, многоразличному повелѣ былию прозябнути, ово убо на сладость токмо красоту очима, ово же и живопытно и сущимъ на земли потребно. Тогда первие красотами земля украсися, паче отроковица младе внове уневещаемее, златоносящую и сияющую пестротами бисерными. Сияще яко благоуханный шипокъ. Якоже шар[1] многоразличный всюду смияшеся, белозрачная и всебагрена, червлена же инюду. Ово убо багрено паче шипокъ зрима бяху, ово же беляхуся сладце сияху. Бяше кринъ снѣгообразне, бяху агалиды. Иакинфъ восхождаше, бяше наркису доброта и все первоносие пролѣтных даров. Возращаху класы отягчени пшеницею. Бяше просо мудролиствино стеблиемъ колиблемъ. Добра вся и росна и доброты лучами богатящися и землю облагоухающи ростворенными благоуханми. Распростерта бѣ трава мякка, зеленящися и говедо кормящии, коня питающия и воловы росная пажить. Таковую красоту преиспещрена земля ношаше, таковою одеждою доброцветущее и добротканною одияна. Бяху и множество садовиямъ, прозебаху и древеса добролиственная и доброцветуща и овощноносная веия. Бяху и яблони доброрастныя, и свѣтлоплоднии стебле, маслены тукоточныя, и услажающия смокви, тополие толтостебленое, елие, дубие, брестие. Приложися никий тополеву вѣтръ листвие и сладокъ шепет творяше листвиемъ. Тако бѣ и чрешна добрая, и финикъ медовный, гроздная мати виноград, и состави лознии, гроздъ, месть точащии, растиша на лозахъ. Все совершенаплодна и пресовершена вся; ничтоже бо неодарованно и несовершено приведено бысть. В сих же убо заиде и свѣтъ дне третяго.	И снова искусный и премудрый созидатель всего к другим обратился делам. И так как разлилась по всей земле вода, оставшаяся после отделения небесных вод, и весь лик земной испещрен был озерами, все разлившееся собрал мгновенно вместе, словно бы некто — сладкую влагу молока белую, чтобы в сыр превратить ее и сделать сырный круг. Когда же отделилось то, что прежде покрывало землю, явился лик земной, и засверкали красотой своей камни, и горы, и склоны крутые долин. И с той поры собрание вод морем нарек, а сушу, все, что из камня сложено и что почвой покрыто, нарек землею премудрый Бог-всесоздатель. Великую же свою силу являя, еще когда не воссиял свет исполина солнца, разнообразнейшим травам повелел прорасти, одним лишь для услаждения очей красотою своей, другим же на пропитание живого и на нужды сущим на земле. Тогда впервые земля красотою украсилась, словно отроковица юная, вступившая в возраст невесты, вся в золоте и сверкающая переливающимся жемчугом. Сияла она, словно благоуханная роза. Словно разнообразие красок отовсюду смеялось белозрачное, и багровейшее, а там — червленое. Одно казалось алее розы, другое сияло чудесной белизной. Были лилии снегу подобны, виднелись ирисы. Гиацинт взошел, был прекрасен нарцисс и все первые дары весны. Поднимались колосья, отягченные зернами пшеницы. Колыхало стеблями просо темнолистое. Прекрасно было все, омытое росой и залитое благостными лучами и землю наполняющее разлитым повсюду благоуханием. Расстилалась трава, мягкая и зеленеющая и тельцов кормящая; коней и волов питали росистые луга. Такую многоцветную красоту земля на себе носила, в такую одежду яркоцветную и добротканную была она облечена. Повсюду в рощах произрастали деревья с пышной листвой и цветами, с ветвями, отягощенными плодами. Были и яблони густолистые со светлоплодными ветвями, маслины, источающие масло, и сладкие смоквы, тополя толстоствольные, ели, дубы и березы. Пробегал ветер по листве тополей и нежный шепот будил в листьях. Росли там и черешня прекрасная, и финик медовый, виноград, рождающий грозди: сила лоз растила на них грозди, истекающие соком. Все плоды были совершенством и все совершеннейшим было, ничего не осталось неодаренным и несовершенным. Тогда померк и свет дня третьего.
ДЕНЬ ЧЕТВЕРТЫЙ	ДЕНЬ ЧЕТВЕРТЫЙ
Восияваше же лице четвертаго дне, и паки дѣломъ начатокъ, и повелѣние зиждителево небу добровенчану звездами быти. Тогда звѣздное небо добротою просветися, яко одежда, бисериемъ обнизана, и златотканная риза, и яко тканица, украшенная сияющимъ камениемъ. Тогда первие восия зѣница дневная, великий исполин Солнце, иже живопитателный свѣтилникъ, источникъ свѣту неиздаемый, дом огня бездровнаго. Тогда первие начат свѣтити нощъ лунный белосвѣтлый и светоносный кругъ, скорообходный, и всесвѣтлый, и многоразличный, и совершенный. Тогда первие небо звѣзды великие доброокруглы виде предъспевающе другъ друга и украшающе его, яко цвѣтия юдолия.	Засиял лик четвертого дня, и снова делам начало, и повелено созидателем — небу быть звездами увенчану. Тогда звездное небо засияло красотой, словно одежда, жемчугом расшитая, и златотканая риза и словно ткань, украшенная сияющими камнями. Тогда впервые засияло око дневное, великий исполин Солнце, живопитательное светило, неисчерпаемый источник света, вместилище огня бездровного. Тогда впервые начал светить в ночи лунный белосветный и светоносный круг, быстро бегущий по небу, и пресветлый, разноликий, и совершенный по форме. Тогда впервые увидело небо звезды, огромные и круглые, соперничающие друг с другом и украшающие его, словно цветы долину.
ИМЕНА ЗВЕЗДЪ ВЕЛИКИХЪ	ИМЕНА ЗВЕЗД ВЕЛИКИХ
Крон бяше мудръ и оловен образомъ; блещашеся Завсе, яко сребро; Ар же пламенем зряшеся. Сияше Солнце, яко доброкоренно злато. Светяше же ся, яко касытер, кругъ Афродитин; яко мѣдь чермнозрачная, Ермие сияше;[2] свѣтло, яко иел, сиааше Луна. Сице одежда небесная преиспещрена зрима бѣ. Крон мудряшеся, яко акинфов зракъ; яко кринъ бѣлияшеся Завсе. Ар же яко огнь, яко щипокъ червленый Солнце сияше; яко бѣлоцвѣтная агалидо сияшеся Денница.[3] Яко свѣт чермнозрачнь, Ермие блещашеся. Наркис добролиственный являшеся Луна. Таковая нѣкая цвѣтная пестрота небо украшаше, таковая нѣкая належаше небесному лицу многоразлична и радостна и доброзрачная красота. И вертоград новосажден небо творяше, емуже вертоградарь Богъ, яко садовия же и отрасли, и яко цвѣтия многоразличная звѣздные светлости. Тогда первие Солнцу восиявшу и просветившуся, явльши же ся красотѣ небесней и добротѣ дневной, послужиша повелѣнию сотворшаго и преклонив свершеный день четвертый. Сице убо свершися яже о звездахъ и учинено бысть Солнце, звезда день здержащия, лунное же бревно просвещаше нощь.	Кронос был темен, видом подобен олову, сверкал Зевс, как серебро, Арей же виделся пламенным. Сияло Солнце, подобно чистому золоту. Светился оловянным блеском диск Афродиты, словно темная медь Гермес сиял, ярко, как кристалл, сияла Луна. Таким разноцветным виделось одеяние небесное. Кронос синевой напоминал гиацинт, подобно лилии белел Зевс, Арей же был словно огонь, как алая роза сияло Солнце, как белоцветный ирис сияла Денница. Словно огонек красный Гермес блестел. Нарциссом с прекрасными лепестками казалась Луна. Такая разноцветная пестрота украшала небо, таковой была лика небесного многообразная, и радостная, и доброзрачная красота. И саду новонасажденному уподобилось небо, в нем же садовник — Бог, словно сады и рощи, и цветы различные были светлые звезды. Тогда впервые Солнце засияло и засветило, явилась же красота небесная и красота дня, послужив повелению создателя, и склонился к концу день четвертый. Таковое свершено было со звездами и создано было Солнце — звезда, днем сияющая, лунное же око освещало ночь.
