МѢСЯЦА ДЕКЯМБРЯ ВЪ 6 ДЬНЬ.	МЕСЯЦА ДЕКАБРЯ В 6-Й ДЕНЬ.
ЧЮДЕСА СВЯТАГО АРХИИЕРѢЯ ХРИСТОВЫ НИКОЛЫ	ЧУДЕСА СВЯТОГО АРХИЕРЕЯ ХРИСТОВА НИКОЛЫ
Господи, благослови!	Господи, благослови!
Бысть въ врѣмена Костянтина Великааго[1] цѣсаря мятежь въ Фригии[2] от даифалъ.[3] И възвѣщено бысть Костянтину цѣсарю о нихъ. И посла 3 воеводы съ своими вои: Непотияна, и Урса, и Еронлиона, тако нарицаеме. Си отвезъшеся от славьнааго града Костянтиня,[4] присташа въ Ликийстѣй[5] епархи,[6] въ мѣстѣ, нарицаемѣмь Андриакии;[7] сущю пристанищю Мирьсцѣй,[8] митрополии, от трии поприщь.[9]	Был во времена цесаря Константина Великого мятеж даифал<ов> во Фригии. И возвещено было о них цесарю Константину. И послал он трех воевод с воинами своими: Непотиана, и Урса, и Еронлиона, — так их звали. И они, отплыв от славного града Константина, пристали в Ликийской епархии, в месте, называемом Андриакия, — гавани, находившейся в трех поприщах от столичного города Миры.
И изидоша поглумитъся, не сущю имъ подобъну плаванию. Изидоша же от воинъ етери, хотяще трѣбования брашьну обрѣсти. Обидяху же воини; и тяжа бысть въ нарицаемѣмь Плакомата, яко и мълвѣ быти бещисльнѣй.	И сошли они <на берег> прогуляться, ибо плавание не было для них благоприятным. Некоторые же из воинов пошли, чтобы раздобыть необходимую провизию. И обидели воины <кого-то>, и столкновение было в Плакомате, и шум был большой <из-за этого>.
Слышавъ же си святый Божий Никола, епископъ и пастырь цьркъви Божии, сущая ту люди убо умоль укроти, да ничьтоже зъла, ни обидъ створять. Абие же приде въ Андриаки. И поклонишася ему вьси. И увѣдѣвъше воеводы пришьствие святаго, и ти поклонишася ему. Въпрошении же бывъше от него, рѣша: «Мирьници есмъ и яко на брань грядемъ». И умоли я прити въ градъ и прияти от него благословление. И повелѣша воеводы вьсѣмъ мирьнымъ быти и ниединого обидѣти.	Услышав об этом, Божий святой Никола, епископ и пастырь церкви Божией, умолив, успокоил находившихся там людей, дабы не сотворили они никакого зла и обиды. Вскоре же пришел он в Андриакию, и поклонились ему все. И узнали воеводы о пришествии святого и тоже поклонились ему. А когда он спросил их, сказали: «Мы миролюбивые люди, хотя и на войну идем». И умолил он их прийти в город и принять от него благословение. И приказали воеводы всем мирными быть и ни единого не обидеть.
Придоша же етери от града и поклонишася, рѣша святому: «Господи, аще бы въ градѣ былъ, не быша такъ: три съмьрти без вины былы. Князь бо, мьзду възьмъ, тремь мужемъ повелѣ мечьмь умрети. И весь градъ немало плакася, имьже не бѣ ту». И абие умоли святый воеводы и съ ними иде въ градъ.	Между тем пришли некие <люди> из города и, поклонившись, сказали святому: «Господин, если бы ты был в городе, не случилось бы такого: три смертных приговора вынесены невинным. Ведь князь, взяв мзду, приказал убить мечом трех мужей. И весь город немало горевал, что тебя там не было». И тотчас святой умолил воевод и вместе с ними вошел в город.
И бывъшю ему въ нарицаемѣмь Леонтѣ, въпраша сущихъ ту о приимъшиихъ осужение. И рѣша, яко ведоша я путьмь, нарицаемѣмь Диоскоръ. Въшьдъ же въ цьркъвь Крискентия и Диоскорида, пакы въпроси, и увѣдѣвъ, яко враты хотять изити. И бывъшю ему въ вратѣхъ, въпроси о нихъ. И рѣша ему, яко идуть въ нарицаемый Виранъ, бѣ бо мѣсто то мучимыимъ.[10] И пришьдъ, обрѣтъ народъ многъ и дьржаща спекулатора мечь и жидуща пришьствия святому. И пришьдъ на мѣсто, обрѣте три мужа; лица имъ убросъмь завязана, и поклоньша колѣна, и простьрша выя, и жидуща своея съмьрти. Святый же Никола, приимъ мечь от спекулатора, повьрже и´ на земли. Онѣхъ же, раздрѣшь от узъ, приведе въ градъ. И пришьдъ въ княжь дворъ, разби врата.	И когда был в Леонте, спросил он находившихся там о принявших осуждение. И сказали они, что вели их дорогой, называемой Диоскор. Войдя же в церковь Крискентия и Диоскорида, снова спросил он и узнал, что будут выходить через городские ворота. И когда был у ворот, <вновь> спросил о них. И ответили ему, что идут в Виран, ибо это было место казни. И, придя, обнаружил он много народа и палача, держащего меч и ждущего пришествия святого. И придя на место <казни>, обнаружил он трех мужей; лица их были завязаны платками, они преклонили колени, и вытянули шеи, и ждали своей смерти. Святой же Никола, взяв меч у палача, бросил его на землю. А тех <мужей>, освободив от уз, привел в город. И придя во двор князя, разбил ворота.
Абие же слышавъ от спекулатора, Еустафий князь, текъ, изиде поклонитъся ему. Тоже святый Никола отврати лице свое, глаголя: «Прѣступьниче Божий и кръвопииче! Како дьрзнулъ еси на мое лице прити, таково и толико створь! Не имамъ тебе пощадѣти. Се бо възвѣщю цѣсарю Костянтину о нихъже, еси створилъ и како строиши епархию». Князь же Еустафий, поклонь колѣнѣ свои, и рече: «Никакоже не прогнѣвайся на мя, господи, нъ увѣжь истину, яко азъ нѣсмь повиньнъ, нъ старѣишинѣ града Евдокий и Симонидъ». Увѣдѣвъ же, яко дъвѣ сътѣ литръ[11] злата възятъ да я’ погубить, и умоленъ бывъ святый от воеводъ отдасть ему грѣхъ, невѣрьно сътворь еже о нихъ лъжею съдѣяния.	Тотчас же услышав <об этом> от палача, князь Евстафий поспешно вышел поклониться ему. Тогда святой Никола отвернулся от него, говоря: «Преступник перед Богом и кровопийца! Как дерзнул ты показаться мне на глаза, столько и такого натворив! Не пощажу тебя. Возвещу цесарю Константину о том, что ты совершил и как управляешь епархией». Князь же Евстафий, преклонив колени свои, сказал: «Ничуть не прогневайся на меня, господин, но узнай правду, ибо не я виновен, а старейшины града, Евдокий и Симонид». Узнав же, что взял он двести литр злата, дабы их погубить, и умолен будучи воеводами, святой простил ему вину, объявив несправедливыми решения о них, которые <были вынесены> ложно.
Воеводы же, съ святыимь обѣдовавше, молиша и´ да имъ молитву створить. И приимъше благословление, отвезошася отътуду.	Воеводы же, трапезничая со святым, молили его, да сотворит о них молитву. И, приняв благословение, отплыли оттуда.
И присташа въ Фругии, и умириша вся мѣста противьная. И миръ многъ створьше, придоша въ славьный Костянтинь градъ. И велие сърѣтение бысть имъ от живущиихъ ту воеводъ, от цѣсаря и от князь, яко побѣду створьшемъ. И бѣша въ полатѣ цѣсаревѣ вельми похвалени.	И пристали во Фригии, и усмирили они все мятежные поселения. И, установив прочный мир, пришли в славный Константин-град. И торжественная встреча была им <устроена> живущими тут воеводами, цесарем и князьями, как одержавшим победу. И были они в палате цесаревой весьма прославлены.
Завида же имъ бысть от живущиихъ ту воеводъ. И намълвиша епарха Авлавия яко да убиють, давъше ему тысящю и боле седмь сътъ литръ злата да я’ погубить.	Но возникла зависть к ним у живущих тут воевод. И подговорили они старшего городского судью Авлавия <устроить так>, чтобы их убили, дав ему более 1700 литр злата, чтобы их погубить.
Сии тако обѣщавъ имъ, Авлавий епархъ въниде къ цѣсареви и глагола ему: «Владыко самодьржьче! Ковъ бываеть твоей дьржавѣ от хождьшиихъ въ Фругию. Увѣдѣхъ бо въ истину, яко ти убо съвѣщаша въстати на дьржаву твою, обѣщавъше посъланыимъ съ ними къняжия, и дары, и большая чьсти. Азъ же увидѣхъ и не могохъ молчати,[12] яко есть таковая неправьда. Тѣмьже, еже воля дьржавѣ твоей, то сътвори». Цѣсарь же прогнѣвавъся, яко о животѣ своемь увѣдѣвъ; абие, не истязавъ ихъ, повелѣ вести я’ въ тьмьницю.	Пообещав им это, судья Авлавий вошел к цесарю и сказал ему: «Владыка самодержец! Злой умысел есть против Величества твоего от ходивших во Фригию. Узнал я доподлинно, что они сговорились выступить против Величества твоего, обещав посланным с ними княжеские владения, и дары, и большей чести. Я же узнал и не смог молчать, что есть такой обман. Так что, какова воля Величества твоего, то сотвори». Цесарь же разгневался, когда узнал об <угрозе> жизни своей, и тотчас, не допросив, повелел вести их в темницу.
Лѣту же минувъшю, вражьдующе и намълвиша епарха Авлавия, глаголюще ему: «Почьто я’ въвьрже въ тьмьницю и остави имъ чивотъ? Вънутрь бо суще, имуть възмощи и себѣ помощь створити». Слышавъ же епархъ, яко и вънутрь сущь себѣ помагають, абие възвѣсти цѣсарю си. Цѣсарь же услышавъ, яко и вънутрь сущь на нь ковъ творять, повелѣ въ нощи мечьмь усѣкнути я. Епархъ же слышавъ, посла къ приставьнику тьмници Илариану, глаголя яко: «Три мужа воеводы, яже имаши въ тьмьници, уготови умьрети въ нощь сию».	По прошествии некоторого времени недруги <воевод> упрекнули судью Авлавия, сказав ему: «Почему ты бросил их в темницу и сохранил им жизнь? Ведь будучи заточенными, смогут они помочь себе». Судья, услышав, что и заточенными будучи, себе помогают, тотчас возвестил об этом цесарю. Цесарь же, узнав, что они и заточенными будучи, против него заговор замышляют, повелел отсечь им ночью головы мечом. Судья же, выслушав, послал к начальнику темницы Илариону, говоря: «Трех мужей, воевод, которых содержишь в темнице, приготовь этой ночью умереть».
Капикларини же Иларионъ, слышавъ си, съ сльзами рече трьмъ мужемъ: «Страхъ мя одьржить велии, и боюся, и трепещю, яко благо бы ми да быхъ васъ не видѣлъ. Ныне же глаголю и слышю съ вами, утрѣе же от себе разлучимъся, понеже повелѣно бысть умрети вамъ. Нъ еже вы есть въ имѣнии ли злато, ли срѣбро, ли ино чьто, — емуже что хощете оставити,[13] яко въ сию нощь повелѣно вы умрети бысть».	Начальник же темницы Иларион, услышав это, со слезами сказал трем мужам: «Страх великий меня охватывает, и боюсь, и трепещу, так что лучше бы я вас не видел. Ведь ныне говорю с вами и слушаю вас, а утром мы разлучимся, потому что назначено вам умереть. А то, что есть у вас в собственности: золото ли, или серебро, или что другое — кому что хотите оставить — <оставляйте>, потому что этой ночью назначено вам умереть».
Слышавъше же се, мужи абие растьрзаша ризы своя и власы своя обръваша, и пьрстию посыпавъше, възъпиша, плачюще и жалостьно рыдающе, глаголаху: «Чьто бо не оправьдахомъ, да тако погыбнемъ?» Непотиянъ же въ память пришьдъ, яже створи святый Никола трьмъ мужемъ, иже въ Ликии, рече плачася: «Господи Боже святаго Николы, помилуй ны! Якоже створилъ еси трьмъ мужемъ, иже въ Ликии, неправьдою осуженомъ, и съпаслъ я’ еси от съмьрти, и ныне ны съпаси, святый Николае, Христовъ рабе; аще и далече еси, нъ близъ да будеть ти молитва наша, и къ Богу възъпи о насъ да съпасени бывъше подобьни будемъ поклонитися твоей святыни». И си рекъшю Непотияну, тожде и трие мужи, яко единѣми усты, тако възъпиша.	Услышав это, мужи тут же растерзали свои одежды, и рвали на себе волосы и, посыпав их земным прахом, возопили, плача и жалостно рыдая, и говорили: «В чем мы не оправдались, чтобы так погибнуть?» Непотиан же, вспомнив, что сделал святой Никола для трех мужей в Ликии, сказал, плача: «Господи Боже святого Николы, помилуй нас! Как помог ты трем мужам, которые в Ликии, неправедно осужденным, и спас их от смерти, так и нас ныне спаси, святой Никола, Христов раб; хоть и далеко ты, но близка да будет тебе молитва наша, и к Богу возопи о нас; да спасены будучи, сподобимся мы поклониться твоей святости». И когда сказал это Непотиан, также и трое мужей словно едиными устами так возопили.
Святый же Николае видимо явися цѣсарю Костянтину и рече ему: «Въстани и отпусти три мужа воеводы, яже имаши въ тьмьници, яко оклеветани быша. Аще ли ослушаешися мене, брань створю ти въ Дьрачи, и плъть твою птицамъ прѣдамь, и молитву сътворю на тя къ великому цѣсарю Исусу Христу». И рече цѣсарь: «Кто убо ты еси и како въ мою полату въниде?» И рече святый: «Азъ есмь Николае грѣшьный, сый въ Ликии и въ Мурѣхъ митрополить». И се рекъ, отиде.	Святой же Никола явился зримо цесарю Константину и сказал ему: «Встань и отпусти трех мужей воевод, которых содержишь в темнице, ибо оклеветаны они были. Если же ослушаешься меня, устрою тебе войну в Драчи, и тело твое птицам отдам, и обращусь с молитвой против тебя к великому цесарю Иисусу Христу». И спросил цесарь: «Кто ты есть и как в мою палату вошел?» И сказал святой: «Я Никола грешный, в Ликии и в Мирах митрополит». И сказав так, ушел.
И то же глаголя, явися Авлавию епарху: «Авлавие, враже несмысленый[14] умъмь, въстани и пусти три мужа, яже имаши въ тьмьници. Аще ли ослушаешися мене, молитву сътворю на тя къ великому цѣсарю Исусу Христу, и въ недугъ въпадеши, и чьрвьмъ будеши въ сънѣдение, и вьсь домъ твой погыбнеть зълѣ». И рече ему Авлавие епархъ: «Ты убо кто еси, таковая глаголеши?» То же святый рече: «Азъ есмь Николае, грѣшьный рабъ Божий, сый въ Ликии и въ Мирѣхъ митрополитъ». И си рекъ, отиде.	И то же <самое> сказал, явившись судье Авлавию: «Авлавий, злодей, недалекий умом, встань и отпусти трех мужей, которых содержишь в темнице. Если же ослушаешься меня, обращусь я с молитвой против тебя к великому цесарю Иисусу Христу, и впадешь в недуг, и станешь пищей червей, и весь род твой погибнет зло». И сказал ему судья Авлавий: «Ты кто есть, что такое говоришь?» То же <самое> святой сказал: «Я Никола, грешный раб Божий, в Ликии и в Мирах митрополит». И сказав это, ушел.
Въспрянувъ же, цѣсарь възъва протокурисара своего и рече ему: «Възвѣсти епарху, яже видѣхъ». Такоже и епархъ посла курсора своего, тако же съказавъ. И повелѣ цѣсарь прѣдъстати воеводамъ от тьмьнице прѣдъ лицьмь его.	Очнувшись, цесарь призвал своего управляющего и сказал ему: «Возвести судье, что я видел». Так же и судья послал управляющего своего, то же <самое> сказав. И повелел цесарь предстать перед ним воеводам из темницы.
И шьдъшемъ же мужемъ от тьмьнице, рече имъ: «Кыми кореньми творяще, таковы съны намъ посласте?» Они же мълчааху. Въторицею же въпрошени бывъше, Непотияномь отвѣщану бывъшю: «Владыко самодьржьче! Мы корения не вѣмъ, ни таковыихъ сътворихомъ на твою дьржаву. Аще ли есмъ таци, въ горьшая мукы да прѣдани будемъ».	И когда пришли воеводы из темницы, сказал он им: «Какими кореньями действуя, послали вы нам такие сны?» Они же молчали. А когда второй раз их спросил, Непотиан ответил: «Владыка самодержец! Мы корения не знаем и ничего такого не совершили против твоего Величества. Если же мы такие, на горшие муки да преданы будем».
Цѣсарь же рече имъ: «Вѣсте ли етера Николу, тако нарицаема?» Они же, слышавъше имя святаго Николы, яко единѣми усты, тако възъпиша, съ сльзами глаголюще: «Господи Боже святаго Николы, послушай насъ! И якоже съпаслъ еси три мужа, иже въ Ликии осуженыя бес правьды, и ны съпаси, умирающа бес правьды, святый Николае!» Цѣсарь же рече имъ: «Рьцѣте ми, къто сь есть Николае». Нипотиянъ же рече ему вся, елико сътвори святый Николае, и тако съпасе хотящая умрети бес правьды.	Тогда цесарь сказал им: «Знаете ли вы некоего Николу?» Они же, услышав имя святого Николы, словно едиными устами так воскликнули, говоря со слезами: «Господи Боже святого Николы, послушай нас! И как спас ты трех мужей, которые в Ликии осуждены были неправедно, так и нас спаси, осужденных несправедливо, святой Никола!» Цесарь же сказал им: «Поведайте мне, кто этот Никола». И Непотиан рассказал ему обо всем, что сотворил святой Никола и так спас готовившихся умереть безвинно.
Тоже цѣсарь рече имъ: «Не азъ даю вамъ животъ, нъ егоже вы призывасте святаго Николы. У негоже, шьдъше, постризѣте главы своя». И дасть имъ съсуды цьркъвьныя и Евангелие злато съ камениемь драгыимь украшено, и посла я въ Ликию.	И тогда цесарь сказал им: «Не я сохраняю вам жизнь, а святой Никола, которого вы призывали. Идите и постригитесь у него». И дал он им сосуды церковные, и Евангелие, украшенное золотом и драгоценными камнями, и послал их в Ликию.
И постригоша главы своя, дающе нищиимъ злато много въ нарочита врѣмена. По многа же лѣта се творяху, славяще Бога, творящааго велия и дивьная чюдеса, якоже есть писано, яко «Дивьнъ Богъ въ святыихъ своихъ».[15] Тому слава и дьржава съ иночадыимь Сынъмь его и Прѣсвятыимь и Животворящимь Духъмь ныне и присно и въ бесконьчьныя вѣкы вѣкомъ. Аминь.	И постриглись они там, и давали нищим много золота в памятные дни. И совершали они это многие годы, славя Бога, творящего великие и дивные чудеса, как и писано: «Дивен Бог во святых своих». Слава ему и власть с единородным его Сыном и Пресвятым и Животворящим Духом ныне и всегда и в бесконечные веки веков. Аминь.
