ПОСЛАНИЕ ВАССИАНУ ПАТРИКЕЕВУ	ПОСЛАНИЕ ВАССИАНУ ПАТРИКЕЕВУ
ПОСЛАНИЕ ВЕЛИКА СТАРЦА БРАТУ, ВЪПРОСИВШЕМУ ЕГО О ПОМЫСЛѢХ	ПОСЛАНИЕ ВЕЛИКОГО СТАРЦА БРАТУ, СПРОСИВШЕМУ ЕГО О ПОМЫСЛАХ
Похвално желание подвигнулъ еси, о възлюбленне, еже слышати слово Божие ищеши на утверждение себѣ, на съхранение от злых и поучение к благым. Но подобно было тебѣ, господине, сиа от добрѣ разумѣющих навыцати. Ты же требуеши сие от мене неразумнаго и грѣшника. Азъ убо и въ учимых чину непотребен есмь, того ради отрицахся и отлогах намнозѣ: не яко не хотя послужениа принести благому твоему произволению, но ради неразумиа и грѣх моих. Что бо азъ реку, не сътворивь сам ничтоже благо! Кый есть разум грѣшнику? Точию грехы. Но понеже множицею понудил мя еси на се — еже написати ми тебѣ слово къ съзиданию добродѣтели, и азъ дерзнух написати тебѣ сиа, еже выше мѣры моея, не могы презрѣти прошение твое, да не множее оскорбишися.	Похвальное желание подвигло тебя, о возлюбленный, — ты стараешься услышать слово Божие для утверждения себя, для сохранения от зол и поучения в благом. Но надо бы тебе, господин, это узнавать от хорошо разумеющих. Ты же требуешь этого от меня, неразумного и грешника. А я и как ученик непригоден, оттого и отказывался и откладывал так долго: не потому что не хотел оказать услугу хорошему твоему пожеланию, но из-за неразумия и грехов моих. Что же скажу я, сам не сделав ничего хорошего! Какой разум у грешника? Только грехи. Но поскольку ты меня многократно к этому понуждал, — чтобы я написал тебе слово о созидании добродетели, то я и дерзнул написать тебе то, что выше меры моей, не смогши пренебречь твоей просьбой, — чтобы более ты не обиделся.
Въпрошение же твое — о находящих помыслъ предних мирскаго житиа. И сие и сам от искуса разумѣеши, коликы скорби и развращения имат миръ сей мимоходящий и колика злолюства сътворяет любящимь его и како посмѣавается, отходя от работавших ему, сладокь являася им, егда ласкает вещми, горекь бываа последи. Поелику убо мнят благая его множащася, егда удръжаваются имь, потолику растут скорби им. И мнящаася бо его благая по-видимому суть блага, внутрь же исполнена многа зла. Того ради имущим разум истинною благый явленѣ показует себе — да не възлюбленъ будеть ими.	Вопрос же твой — о приходящих прежних мыслях, из мирской жизни. И это ты и сам по опыту знаешь, — сколько скорбей и разврата содержит этот мир мимоходящий, и сколько лютых зол причиняет он любящим его, и как посмеивается, отходя от рабствовавших ему, сладким являясь им, когда ласкает их чувства, горьким оказываясь впоследствии. Ведь поскольку они считают блага его умножающимися, когда удерживаются им, постольку растут у них скорби. Ибо мнимые его блага по видимости суть блага, внутри же они наполнены многим злом. Поэтому тем, кто имеет разум поистине благой, он ясно показывает себя, — да не будет ими возлюблен.
По прешествии же от житиа сего что бываеть? Положи мысль твердѣ въ глаголемое. Чимь ползова мир дръжащихся его? Аще кои и славы, и чьсти, и богатьство имѣшя, не вся ли сиа ни въ что же бышя и яко сѣнь мимоидошя и яко дым исчезошя? И мнози от сих, съобращающеся в вещех мира сего и любяще пошествие его, въ время юности, благоденьства своего смертию пожати быша, яко цвѣтци сельнии, процветше, отпадоша и, нехотяще, отведени быша отсюду. А егда пребываху в мирѣ семь, не поразумѣша злосмрадиа его, но тщахуся въ украшение и покой тѣлесный, изъобретающе разумы прикладныя въ прибыткы мира сего, и въ учениих прохождааху яже вѣнчевають тѣло въ вѣце сем преходящем. И аще сиа вся получиша, а о будущем и некончаемом блаженьствѣ не попекошася, что непщевати о таковыхь? Точию сих миръ безумнѣйши не имать, якоже рече нѣкый премудрый святый.	По переходе из этой жизни что бывает? Сосредоточься на том, о чем речь. Какую пользу принес мир держащимся за него? Хотя и славу, и честь, и богатство некоторые имели, не все ли это ни во что обратилось и, как тень, прошло мимо и, как дым, исчезло? И многие из них, вращаясь среди дел мира сего и любя движение его, во время юности и благоденствия своего смертью пожаты были: как цветы полевые, процветше, опали и против желания отведены были отсюда. А пребывая в мире сем, не уразумели они зловония его и заботились об украшении и покое телес, изобретая способы, пригодные для получения прибылей в мире сем, и проходили обучение тому, что венчает тело в сем преходящем веке. И если это все они получили, а о будущем и нескончаемом блаженстве не позаботились, то что надо думать о таковых? Только, что безумнее их в мире нет, как сказал некий премудрый святой.
Неции же от сих благоговѣйнѣйша быша и съобращаху умъ свой в помышлениих желаниа спасениа души, и имяху борениа къ страстем, и образы добродѣтелей по възможьному творяху, хотяще разрѣшитися и отступити мира сего, но не могоша оттръгнутися от сѣтей его и избежати коварствъ его.	Некие же из них были благоговейнейшими людьми, и занимали ум свой мыслями о желанном спасении души, и вели борьбу со страстями, и приличествующее добродетелям по возможности совершали, желая оторваться и отступить от мира сего, но не смогли выпутаться из его сетей и избежать его коварств.
Тебе же възлюбивь Богъ, и изят от мира сего, и поставилъ в чину службы своея милостию и строением своимь. Того ради длъжен, еси попремногу благодарити милость Его и творити вся, елико по силѣ, къ благоугождению Его и к спасению душа своея, задняа мирская забываа, яко непотребна, къ предним же добродѣтелем простираася яко животу вѣчному ходатайствена. Радуйся, гряди на почесть вышняго званиа, иже въ небеснѣм отечьствѣ подвизавшихся щадимаа.	Тебя же Бог, возлюбив, изъял из мира сего и поставил в чин службы Своей по милости и по замыслу Своему. За это ты должен много благодарить Его милость и делать все, что в силах, для благого угождения Ему и для спасения своей души, прошлое мирское забывая как ненужное, вперед к добродетелям устремляясь как к ходатаям о вечной жизни. Радуйся, иди к почести высшего звания, в небесном отечестве для подвизавшихся приуготовленной.
А еже рекл ми еси о помыслѣхь нечистых, иже от врага душь нашихь приносимых, о сихъ не зѣло поглощайся скорбию, ни ужасайся, понеже не точию намь немощным и страстным от сихь стужение бываеть, глаголють отцы, но и сущимь въ предспѣании и въ житии достохвалнѣмь пребывающимь и благодати духовнѣй отчасти сподобльшимся. И симь ратование бываеть много от таковыхь помыслъ, и в подвизѣ велицѣ от сихь обрѣтаются и благодатию Божиею едва отгоняють сих, тщащеся всегда на отсѣчение сих.	А что ты мне сказал о нечистых помыслах, врагом душ наших приносимых, — из-за них не очень поддавайся скорби, не пугайся, потому что не только у нас, немощных и подверженных страстям, бывает от них досада, говорят отцы, но и у достигших преуспеяния, в достохвальном житии пребывающих и отчасти сподобившихся духовной благодати. И у них бывает много борьбы с такими помыслами, и в великом подвиге из-за них они оказываются, и с трудом отгоняют их благодатью Божией, всегда стараясь их отсекать.
И ты, симь утешаася, потщателно отсѣцай лукавыя помыслы. Имѣй же на сих всегдашнюю побѣду — молитву, Господа Исуса призываа. Сим бо призываниемь отгоними бѣжаще отидут. Якоже рече Иоанъ Лѣствичный[1]: «Исусовымь именемь бий ратникы, крѣпчайши бо сего оружиа нѣсть». Аще ли зѣлне укрѣпятся на тя ратующеи тя, тогда, въставь и на небо очи и руцѣ възвед, рци усерднѣ съ смирениемь: «”Помилуй мя, Господи, яко немощенъ есмь”[2] «ты, Господи, силенъ еси”,[3] и твой есть подвиг. Ты ратуй о нас и побѣди, Господи». И аще сице творя будеши нелѣностно, всяко искусомь научишися, яко Вышняго силою сиа побѣждаются.	И ты, утешаясь этим, старательно отсекай лукавые помыслы. Используй против них всегда доставляющую победу молитву, — Господа Иисуса призывая. Этим ведь призыванием отгоняемые, бегом они отойдут. Как сказал Иоанн Лествичник: «Иисусовым именем бей нападающих, ибо крепче этого оружия нет». Если же сильно ополчатся на тебя воюющие с тобой, тогда, встав и очи и руки к небу возведя, говори усердно со смирением: «Помилуй меня, Господи, так как я немощен. Ты, Господи, силен, и Твой это подвиг. Ты воюй за нас и победи, Господи». И если будешь так делать, не ленясь, обязательно на опыте узнаешь, что силой Вышнего они побеждаются.
Твори же что-либо и рукодѣлие, и сим бо лукавыя помыслы отгоняются. И се есть предание аггельско нѣкому от великых святыхь. И изъучай что от Писаниа изъ усть, в томь ум полагаа: и сиа възбраняют к намь вход нашествиа бесовскаго. И то есть изъобрѣтение святыхь отець.	Занимайся также и каким-либо рукоделием, ибо и этим лукавые помыслы отгоняются. И это было передано ангелом одному из великих святых. И учи что-нибудь из Писания наизусть, на том ум сосредоточивая: и это возбраняет доступу к нам нашествия бесовского. И это — изобретение святых отцов.
Съхраняй же ся от бесѣдъ, и слышаниа, и зрѣний неподобных, иже въздвижут страсти и укрѣпляють нечистыя помыслы, и Богъ поможет ти.	И сохраняй себя от бесед, чтобы не слышать и не видеть неподобающего, что возбуждает страсти и укрепляет нечистые помыслы, и Бог поможет тебе.
