ПОСЛАНИЕ К НѢКОЕЙ КНЯГИНѢ ВДОВѢ,[1] ДАВШЕЙ ПО СВОИХ ДѢТЕХ СОРОКОУСТЪ[2] И ПОРОПТАВШЕЙ	ПОСЛАНИЕ К НЕКОЕЙ КНЯГИНЕ-ВДОВЕ, ДАВШЕЙ НА СОРОКОУСТ В ПАМЯТЬ ПО СВОИМ ДЕТЯМ И ВОЗРОПТАВШЕЙ
Госпожѣ моей княгинѣ Марии, княж Ондрѣеве Федоровичя грѣшный чернец...[3] челом бью.	Госпоже моей княгине Марии, супруге князя Андрея Федоровича, я, грешный чернец... челом бью.
Писала еси к нам: «Коли у меня было, и яз милостиню давала». Ино, госпоже, коли у тебе не будет, и Богь на тебѣ не истяжет, а только у тебе будет, а не даеш по своих дѣтех участиа и наслѣдья их, ино писал о том великий Афонасие сице: «Отрочата вѣрных множицею убо к целомудрию родителей их умирают божественым промыслом, яко да се видѣвше родители их абие устрашаться и сего ради умилившеся уцеломудрятся». Глаголетъ бо Богь пророком Иеремѣем:[4] «Якож преже времене убо наведох смерть на чада ваша, вы ж таковаго наказаниа не приясте; яко левъ всегубитель обыдоша вас злаа, вы ж видѣвше се не покаастеся, ни отвратитесь от злых своих дѣлъ». И паки тойже пророкъ глаголеть: «Уязвил еси сих ранами, Господи Боже, и не поболѣша; скончал еси их, и не въсхотѣша прияти наказаниа, ожесточиша лица своя, якож камень». Тѣмже убо, братья, от сего увѣмы, яко Богъ милосердъ и человеколюбив сый, неизреченными и различными судбами своими ищет како приводити насъ к себѣ и како спасти душа наша. Тѣмже и о смерти юнных сице есть. Аще убо младенци суще умроша, яко чисти и непорочни отшедша, животу вѣчному сподобятся. Аще ли ж съвершени возрастом, юни же суще, сего ради прежде времени умираютъ, понеже вѣдущу Богу яко хотяху житием злым и лукавым жити и сосуди лукаваго быти. Тѣмже Богъ прежде сего вземлеть их к себѣ, да и сих родители уцеломудрятся, и яже хотяху имъ стежания и имѣния уготовляти, сия к нищим и убогим и божественым церквамъ, еже о них да раздають, тако с чады своими царствия вѣчнаго получать. Аще ли же лихоимьствомъ и любостежаниемъ поработившесь, лишат чад своих наслѣдия и участия, еже хотяху имѣти в житии семъ, яко жестоци и немилосердии осужденнии бывають от Бога, а въ страшьный день пришествия Христова от своих чад осужденни будуть по рекшему словеси: «Немилованый не помилованъ будеть».	Писала ты к нам: «Пока у меня были деньги, я давала милостыню». Но ведь, госпожа, когда у тебя не будет, то Бог у тебя и не потребует, а только если у тебя будет, а ты не дашь в память детей их долю и наследие, то писал об этом великий Афанасий так: «Смерть детей верующих часто совершается ради вразумления их родителей по Божьему промыслу, чтобы родители, увидев это, устрашились и, опечалившись, вразумились». Ибо сказал Бог устами пророка Иеремии: «Я прежде времени послал смерть вашим детям, вы же этого наставления не уразумели; как лев-всегубитель навел на вас несчастья, вы же, и увидев это, не покаялись, не отказались от злых своих дел». И еще говорит тот же пророк: «Нанес ты им раны, Господи Боже, а они не почувствовали боли, истребил их, а они не захотели принять наказание, ожесточили свои лица, словно каменные». Итак, братья, мы узнаем, что Бог милосерден и человеколюбив, непостижимыми и разнообразными путями своими он стремится привести нас к себе и спасти наши души. А смерть юных объясняется так. Если они умирают во младенчестве, то, отойдя чистыми и непорочными, обретают вечную жизнь. Если же умирают совершеннолетними, но молодыми, то потому, что Бог предвидит их склонность жить злой и лукавой жизнью и быть созданиями дьявольскими. В этих случаях Бог призывает их к себе прежде времени, чтобы их родители вразумились и те богатства и имения, которые хотели приготовить для них, раздали нищим и убогим и Божьим церквам, которые раздадут эти богатства для их спасения, и они вместе со своими детьми обретут царствие небесное. Если же, отдавшись лихоимству и корыстолюбию, родители лишат детей, принадлежащих им, наследия и имущества, которое должны они были получить при жизни, то как жестокие и немилосердные, примут осуждение от Бога, а в страшный день пришествия Христова будут осуждены своими детьми, ибо сказано: «Немилостивый не будет помилован».
А что еси писала: по твоих дѣтех не бывала ни одна понафида[5] у нас, ино, госпоже, у нас на всякой недѣли по три понафиды, да по девяти литѣй[6] заупокойных, да повсядневная обѣдня, а поминают на обѣднѣ по трижда, а на понафиде по трижда же, а на литѣах по однова. Да опрочѣ того, в синанику[7] поминаютъ тѣх же, а на болшихъ понафидах по четырьжда, ино имется всего того по десятья на день, коли болшаа понажифа, а во всякую пятницу болшая понафида. А коли меншая понафида, ино по девятья на день. А коли нѣт понафиды в которыи дни, ино по шестья на день, а над проскурами[8] ино поминание годовое чтуть и на Господскии праздьники[9] и Великъ день. А твой князь да и ваши дѣти писаны в том годовом поминании. А будеть то у тебя мысль, чтобы твои понафиды пѣти опрочѣ соборныхъ понафид, ино уже надобе и обѣдни пѣти твои опришнии. И ты, госпоже, пошли посмотрити, гдѣ митропалитъ служитъ да и всѣ владыки, ино тамо писаны всѣ великии князи, и удѣлныя, а поютъ обѣдню и понафиду одну соборную по всѣх, да такъ, госпоже, поминають во всѣх соборных церквахъ и въ монастырех. А толко пѣти за всякого по понафидѣ да по обѣднѣ по опришней всегда, ино тому быти не мочно.	А что ты писала, будто по твоим детям у нас не было ни одной панихиды, то, госпожа, у нас всякую неделю служат три панихиды, да по девять заупокойных литий, да ежедневно обедню, а поминают на обедне трижды, и на панихиде трижды же, а на литиях по одному разу. Да кроме того, в синодике поминают тех же, а в больших панихидах четырежды, а выходит всего десять раз в день, если большая панихида, а во всякую пятницу бывает большая панихида. А если малая панихида, то по девять раз в день. А если в какие-либо дни нет панихиды, то по шесть раз в день, и над просфорами также годовое поминание читают, и в Господские праздники, и на Пасху. А твой князь и ваши дети записаны в том же годовом поминании. А если помышляешь, чтобы твои панихиды служили сверх соборных панихид, тогда уже и обедни для тебя надо служить особые. И ты, госпожа, пошли посмотреть службу, которую служат митрополит и все владыки: а ведь там писаны все великие князья и удельные, а служат панихиду одну соборную для всех и так же, госпожа, поминают во всех соборных церквах и монастырях. А служить за всякого всегда по панихиде и по соборной обедне невозможно.
А что ести писала: «И четверть от того возмуть, что в синаник написати», — ино, госпоже, у нас строевъ, которых в монастыри погрѣбают,[10] ина тѣхъ и даромъ пишють в синаникъ да и в годовое поминание на год, и на нищих Богъ не истязуеть, а богатий кождо по своей силѣ истязанъ будеть. Хотя хто и в черньцы пострижется богатой, а не дасть по своей силѣ, ино его не велѣно поминати в том монастыри.	А что ты писала: «И в четыре раза меньше берут, чтобы записать в синодик», — так ведь, госпожа, у нас монастырских строителей, которых в монастыре погребают, тех и даром пишут в синодик и в годовое поминание на год, а с нищих Бог не берет, а с каждого богатого будет взято по его средствам. А если богатый даже пострижется в чернецы, а по средствам не дает, то его не велено поминать в том монастыре.
А что еси писала о том, что «дати 20 рублевъ на семь лѣт, ино то грабежь, а не милостыня», — то не грабеж, то мы с тобою чиним совѣт произволения, а на воле на твоей и на нашей, и будеть то любо тебѣ, и нам ино будеть, а не любо — ино не будеть. А такъ есмя чинили совѣт и съ прежними, которые писалися в годовое поминание. А грабежем того нихто не нарече, занеж вѣдомо всѣм, да и тобѣ вѣдомо: даром священик ни одное обѣдни, ни понафиды не служитъ. Да и своими бы проскурами, и вином, и темияном, и свечами, и кутьею, и кануном,[11] а то в вѣчныи, доколе монастырь Пречистые стоить, надобе на всякь час попечение имѣти о том священником и крылашаном и всей братии, да еще х тому надобеть. Аще по одной дензе давати на обѣдню, ино на год мало, не толко поидеть, о чем есмя писали. Да опрочѣ того еще понафиды, да литѣи заупокойные, надобе еще мед, да воскъ, да просвиры, да фимианъ, — и толко считати, ино не имется и по полудензе на обѣдню, а у нас иде священиком на всякой съборъ по четыре денги одному, а в простыи дни по двѣ деньги.	А что ты писала: «Дать двадцать рублей за семь лет — то грабеж, а не милостыня», — так это не грабеж, это мы с тобою заключаем добровольное соглашение, по воле твоей и по нашей, а если тебе угодно, то мы так и сделаем, а не угодно — не сделаем. Так мы заключали соглашения и прежде с теми, кто писались в годовое поминание. А грабежом этого никто не называл, ибо ведомо всем, и тебе ведомо: даром священник ни одной обедни, ни панихиды не служит. Да чтобы служить со своими просфорами, и вином, и тимьяном, и свечами, и кутьею, и кануном, и притом вечно, пока монастырь Пречистой стоит, — для этого священникам, клирошанам и всей братии нужно ежечасно иметь попечение, как и обо всем, что для этого понадобится. Даже если давать по одной деньги за обедню, на год выйдет мало, не хватит даже на то, о чем мы писали. А сверх того, еще панихиды, да заупокойные литии, нужен еще мед, да воск, да просфоры, да фимиам — если их считать, то не хватит и по полуденьге на обедню, а у нас идет священникам за всякое богослужение по четыре деньги каждому, а в простые дни по две деньги.
А по всѣм монастырем и по соборным церквам в годовое поминание пишуть в вѣк учинивше ряду. Того дѣля в манастырѣхъ и в соборных церковах и князи и бояре давали села на то, ино того ради въ всѣх монастырѣх земли много. А и в нашемъ манастыри хто написалься в прок в годовое поминание, ино по тому ж писали. По князе Борисе,[12] да по княгинѣ Улиянѣ,[13] да по князи по Иванѣ[14] дали село Успенское да село Спаское, а село Покровское дал при себе князь Борис Васильевич, а велѣл молити о своем здравии и спасении, а после своего живота велѣл себе вписати в тож поминания в годовое в вѣк. А князь Иванъ Васильевич Хованьской[15] далъ грамоту, велѣл давати по одном себѣ дѣтем своим по сту четвертей хлѣба на год. А владыка новгородской Генадей[16] дал монастырю селцо Мечевьское, да двѣ деревни, да селцо Чемесово в Рузе, да колокол во сто рублев. А Григорей Собакинъ[17] купил у Михаила у Коровы семь деревень, да у Никиты у Коньстентинова[18] селцо да двѣ деревни, а дал двѣсте рублей. А князь Семен Ивановичь Бѣлской[19] прислал двѣсте рублей, а велѣл пытати, гдѣ бы земля купити монастырю, а велѣл писати в годовое поминание отца, да матерь, да себя третиего. Да которые писалися в годове поминание в вѣк, всѣ тѣ написаны в сенанику оприч тѣх, какъ их поминати и какъ по них кормѣмъ быти, и что хто дал по себѣ от того поминания, чтоб было незабвенно в вѣкь.	А по всем монастырям и по соборным церквам вписывают в годовое поминание, заключив для этого договор. В монастырях и в соборных церквах и князья, и бояре давали на это села — потому-то у всех монастырей земли много. И в нашем монастыре если кто вписывается навсегда в годовое поминание, то на тех же условиях. Для поминовения князя Бориса, да княгини Ульяны, да князя Ивана дали село Успенское да село Спасское, а село Покровское дал при жизни князь Борис Васильевич, а велел молиться о своем здоровье и спасении, а после смерти вписать себя в то же годовое поминание навеки. А князь Иван Васильевич Хованский дал грамоту, велел своим детям давать на свое поминовение по сто четвертей хлеба в год. А владыка новгородский Геннадий дал монастырю сельцо Мечевское, да две деревни, да сельцо Чемесово в Рузе, да колокол за сто рублей. А Григорий Собакин купил у Михаила Коровы семь деревень да у Никиты Константинова село и две деревни и дал двести рублей, и велел узнать, где монастырю можно купить землю, а велел писать в годовое поминание, отца, мать, да себя третьим. Да и все, кто писались в годовое поминание, навеки записаны в синодике — как их поминать, и какая за них плата, и кто что дал на свое поминовение, — чтобы это никогда не было забыто.
А так не пишут в годовое поминание, как ты велѣла нынѣ, ни в соборных церквахъ, ни в манастырѣхъ. Князь Борис Васильевич, да княгини Улиана, да князь Иванъ Борисович, вѣдомо тебѣ, как жаловали и милостыню давали, и на молебен, и на понафиды, и по родителех, и по дѣтех кормили, и милостыню давали, и монастырь и что есть монастырей — всѣ Божии да их, да того не считали, коли себя велѣли писати в годовое поминание, занеже вѣдомо имъ, что в нашем манастырѣ обычей: сколько Бог пошлетъ, столко и разаидется. Надобе церковные вещи строити, святыя иконы, и святыя сосуды, и книги, и ризы, и братство кормити, и поити, и одѣвати, и обувати, и иные всякии нужи исполняти, и нищимъ, и странным, и мимоходящим давати и кормити. А росходится на всякой год по полутораста рублей денгями, а иногда болѣ, да хлѣба по три тысечи четвертей на год росходится, занеж на всякь день в трапезѣ едять иногда шестьсотъ, а иногда семьсот душь: ино коли его Бог пошлет, тогды ся и разойдеть. Ино того ради государи наши и иные, которые хотѣли писатись в годовое поминание на вѣкь, и давали по себе села. Ино как в годове поминание, хто себя пишеть на вѣкь, так и села у манастыря на вѣк. Князь Иван Хаваньской давал намъ и хлѣба, и денегъ, а владыка Новагородской также давал, исчести не мощно его жалования. А Григорей Собакинъ рублев сорок дал дотоле, а князь Семенъ Ивановичь Бѣлской рублев с тритцать дал. Да как ся захотѣли писати в годовое поминание на вѣк, и они того в ряду не положили, а редились изнова о том.	А так, как ты велела ныне, в годовое поминание не записывают — ни в соборных церквах, ни в монастырях. Известно и тебе, как жаловали нас князь Борис Васильевич, да княгиня Ульяна, да князь Иван Борисович: и милостыню давали, и на молебен, и на панихиды, давали корм и милостыню и по родителям, и по детям; и наш монастырь, и сколько ни есть монастырей — все Божьи да их, но они этого не считали, когда просили вписать себя в годовое поминание, ибо им ведомо, что в нашем монастыре обычай: сколько Бог пошлет, столько и разойдется. Надобно приготовлять церковные вещи, святые иконы, и святые сосуды, и книги, и ризы, братию кормить, и поить, и одевать, и обувать, и удовлетворять иные всякие нужды, опекать и кормить нищих, и странников, и путешествующих. А расходуется каждый год по полтораста рублей деньгами, а иногда и больше, да хлеба по три тысячи четвертей расходуется, потому что каждый день в трапезной едят иногда шестьсот, а иногда семьсот душ: сколько Бог пошлет, столько и расходуется. Потому-то государи наши и иные, которые хотели писаться в годовое поминание навеки, и давали по себе села. Ибо кто в годовое поминание вписывается навеки, тот и села дает монастырю навеки. Князь Иван Хованский давал нам и хлеба, и денег, и владыка новгородский также давал — невозможно и исчислить его дары. А Григорий Собакин уже прежде дал рублей сорок, а князь Семен Иванович Бельский рублей с тридцать дал. А как захотели быть вписанными в годовое поминание навеки, они этого в договор не включили, а договаривались об этом заново.
А что еси писала: дала еси по своем князѣ и по своихъ дѣтех болѣ семидесят рублев, ино еси как уставила цѣну платию и конем, а мы на том с половину того взяли. А как взял Бог твоего сына князя Ивана, тому уже лѣт с пятнатцать и болши того, и ты оттолѣ и до сѣх мѣстъ сочла, что коли еси давала в пятнатцать лѣт или на обѣдню, или на понафиду, или на молебен, или на кормъ, или на погребение своих детей, да велиш нынѣ за то писати своего князя да и детей в годовое поминание в вѣк. А о том еси не писала ни однова во всю пятнатцать лѣт, что было твоего князя да и детей писати за то в годовое поминание в вѣкь. А чтоб еси писала о том, и мы б у тебя и того не имали.	А что ты писала: дала за поминовение своего князя и своих детей более семидесяти рублей — то как ты оценила платье и коней, а мы за них выручили только половину этих денег. А как прибрал Бог твоего сына, князя Ивана, прошло уже пятнадцать или более того, а ты с того времени и до сих пор сосчитала, что давала за пятнадцать лет на обедню, или на панихиду, или на молебен, или на корм, или на погребение своих детей, да велишь за это вписать своего князя и детей в годовое поминание навеки. А за все эти пятнадцать лет ты ни разу не писала, чтобы за эти даяния вписать твоего князя и детей в поминание навеки. А если бы писала о том, то мы бы у тебя этого не брали.
А что еси писала: «Толко выпишете моего князя и моих детей из годовова поминания, ино судия вам Богъ», — ино, госпоже, сама еси себя обличила. Писала еси в своей грамоте нынѣ: коли бог взял твоего сына князя Ивана, и ты дала одиннацать рублев да мерин, а велѣла еси писати в сенаник князя Афонасиа да отца своего Ивана, да сына своего Ивана. И ты писала о сенаникѣ, а не о годовом поминании в прок, ино тѣх тогда ж написали в сенаник, да и поминают в вѣкы. Да писала еси, как взял бог сына твоего князя Семена, и ты по нем дала шубу да два мерина, а велѣла еси писати его в сенаник и поминати его в вѣкы, а о том слово не было, что его поминают в годовом поминании в вѣк; и сама еси так написала в своей грамоте нынѣ, что еси ни оброчивалася, ни рядилась. А в то поминание не пишют без ряды. А кому в поминание писатися, и онѣ рядятся или на всякой год давати уроком денги, или хлѣб, или село по ком дадуть, ино его в вѣкы напишють, в годовое поминание.	А что ты написала: «Если вы выпишете моего князя и детей из годового поминания, то судья вам Бог», — то этим, госпожа, ты сама себя обличила. Писала ты в своей грамоте ныне: когда Бог взял твоего сына, князя Ивана, ты дала нам одиннадцать рублей и мерина и велела вписать в синодик князя Афанасия, да отца своего Ивана, да сына своего Ивана. И ты писала о синодике, а не о годовом поминании на будущее, — вот мы и вписали тогда их в синодик, и там они и поминаются вечно. Писала ты еще, что когда Бог взял сына твоего, князя Семена, ты по нем дала шубу и двух меринов и велела вписать его в синодик, и поминать вечно, — а о том не было ни слова, чтобы его навеки поминали в годовом поминании; и сама ты как написала теперь в своей грамоте, что ты не договаривалась, не рядилась. А в то поминание не вписывают без договора. А если кого вписывают в поминание, то договариваются — или каждый год давать по уговору деньги, или хлеб, или село по ком-нибудь дадут, тогда его навек и вписывают в годовое поминание.
Да чтобы еси, госпоже, на меня о том не бранилася, что есми написал к тебѣ подлинникомъ и о манастырьском обычаи, и как пишются в годовое поминание навѣкъ, занеже, госпоже, то вам не все вѣдомо.	А ты бы, госпожа, меня не бранила за то, что я написал тебе по правилам о монастырском обычае и о том, как пишутся в годовое поминание навеки, ибо, госпожа, не всем вам это ведомо.
