ИЗ ГЛАВЫ 197	ИЗ ГЛАВЫ 197
ПРЕ СЕМ ЖЕ ЦАРСТВИИ ГРЕЧЕСТЕМ АНДРОНИКА ПАЛЕОЛОГА,[1] В ЛѢТО 6790, БЫСТЬ ЦАРЬ ВЪ СЕРБЕХ МИЛУТИНЪ.[2] ЦАРСТВО СЕРБЬСКОЕ	ПРИ ТОМ ЖЕ ЦАРЕ ГРЕЧЕСКОМ АНДРОНИКЕ ПАЛЕОЛОГЕ, В ГОДУ 6790 (1282), БЫЛ У СЕРБОВ ЦАРЬ МИЛУТИН. ЦАРСТВО СЕРБСКОЕ
Святый Симионъ роди Стефана краля, и Стефанъ роди Стефана же, иже нареченъ бысть Урошь во имя прадѣда своего, сей есть храпавы краль.[3] Сей роди Милутина краля, иже четвертый от святаго Симиона. Сему обладающу сербы, ражаеть убо сей Стефана,[4] великаго, благочестиа столпа, и царьствиа вѣнець, и добродѣтели сокровище. И бѣ всѣм благъ, и приступенъ, и милостивъ. И по умертвии матери Стефановы Милутинъ краль приобщаеться второму браку,[5] у греческаго царя Андроника Палеолога дщерь поят, и роди от нея сына Коньстянтина. Царица же, видящи Стефана от всѣх любима, ненавидяше его, нъ приходит ко отцу его, слезы испущая и дряхлым лицемъ, яко спасение его промышляа, и оклеветаеть праведнаго, яко к ней рачителнѣ прилежаща и на отца недобрая мыслитъ. Князи же совѣтоваху Стефану, собравъ вои, уклонитися во ину страну и избыти съшиваемыя льсти. Он же не восхотѣ, но на Бога всю надежю положи. Что же по сих? О безмѣстиа! Преможе женьская лесть и угаси родительную любовь: ят бываеть праведный и очию лишаеться. Бѣ же ту церкви святаго Николы,[6] лѣжащу убо праведному и зѣло болѣзнующу, и мало воздремався, явися ему святый Николае и рече ему: «Не скорби, Стефане, се очи твои на моею дланию!» И показаваше ему.	У святого Симеона родился Стефан краль, у Стефана — Стефан же, нареченный Урошем по имени прадеда своего, это был рябой краль. Он был отцом Милутину кралю, четвертому от святого Симеона. Когда правил он сербами, родился у него Стефан, великий столп благочестия, и венец царства, и средоточие добродетелей. И был ко всем благожелателен, и доступен, и милостив. И после смерти матери Стефановой краль Милутин вступил во второй брак, взяв за себя дочь греческого царя Андроника Палеолога, и родился у нее сын Константин. Царица же, видя, что всеми любим Стефан, возненавидела его, приходит к его отцу, обливаясь слезами и со скорбным лицом, словно бы о спасении его думая, и клевещет на праведного, будто он к ней льнет и против отца замышляет злое. Князья же советовали Стефану, собрав воинов, уйти в другую землю и так избежать зла от возводимой на него клеветы. Он же не захотел и возложил всю надежду на Бога. Что же далее? О беззаконие! Превозмогло женское коварство и угасило родительскую любовь: схвачен был праведный и очей лишен. Когда же лежал праведный, тяжко страдая, близ церкви святого Николы, и немного вздремнул он, и явился ему святой Никола и сказал ему: «Не печалься, Стефан, вот очи твои на моих ладонях!» И показал <их> ему.
Потом же посылается в заточение в Коньстянтинъ град и съ двоими его дѣтми, единъ убо Душмана нарицаемъ, другий же Душана Стефанъ.[7] Андроникъ же Палеологъ, тесть Милутиновъ, повелѣ ему пребывати неисходну во обители Вседръжителевѣ.[8]	Потом же был сослан Стефан в заточение в Константинов град с двумя своими сыновьями — одного звали Душман, другого же Стефан Душан. Андроник же Палеолог, тесть Милутинов, повелел Стефану пребывать безотлучно в монастыре Вседержителя.
Доблий же терпяше съ благодарениемъ, паче добродѣтели прилѣжа и всѣмъ образ пользы бывая, и словом и дѣломъ, иже и самому царю въ слух прииде и патриарху, иже и к себѣ призываху праведнаго, и дивляхуся словесемъ его и разуму. Въ то же время патриархъ Афанасие дивный соборъ състави на нѣкоего Варлама, акиндиньскыя ереси началника, иже Ариава мысляща и Македониева[9] и Владычнее преображение глаголаше привидѣние быти и многи улови во свою ересь. Патриархъ же со всѣмъ соборомъ Варлама еретика от церкви отлучи и съ его единомысленики, и проклятию предаша. Он же не преста, пиша и возмущаа церковъ, и многи прельсти. Призванъ же бывъ Стефанъ къ царю по обычаю и по многих бесѣдах рече: «О боговѣнчанне царю, многих преже тебе бывших превзыде всякими нравы добродѣтелными и смирениемъ, но о едином не вѣмъ, како погрѣшаеши, еже есть глава всему и вѣнець царствию, о немже апостоли подвизашася и мученици плоти не пощадѣша, еже есть благочестие». Царь же рече к нему: «Како убо о благочестии насъ мниши погрѣшати, глаголи убо, о друговъ изряднѣйши!» И Стефанъ отвѣща: «Явлено есть, о царю, презирающему пастырю волчий въ стадо вход и не отгонящу их, такову же быти и тому звѣрю, аще и пастыря носить имя, и аще злославныя не отгонить, и той зълославенъ судится ото иже умъ имущих. Нѣсть праведно, о царю, царствиа саномъ почтену тебѣ и толику стаду от Христа пастырю поставлену, того враги во своемъ стаде дръжати, но яко волкы душетлѣнныя отгонити далече и съ Давидом пѣти: “Ненавидящаа тя, Господи, възненавидѣх и о вразѣх твоих истаях, совершенною ненавистию возненавидѣх их, и въ врагы быша ми”,[10] — и ото всѣго своего царствиа да повелиши их изгнати. Сице аще сотвориши, церковныа уставиши раздоры и миръ глубокъ даруеши православным, и царствиа скипетры возвеличиши, истиненъ царь истинным христианом будеши, истиненъ пастырь, и ото общаго Владыкы мьзду приимеши — небесъное царствие». Сиа слышавъ самодръжець, премудрости и словесному разуму мужа удивляшеся, много того благодаривъ и похваливъ, рече къ сущимъ въ полате: «Вельми сей мужь в разумѣ великъ и умныма паче очима многозрительнийши, аще и телесныя сему затвориша». И абие царь повелѣ Варлама связана к себѣ привести. Возвѣсти же ему нѣкто от полаты еговы ереси, он же въскорѣ въ Рим отбѣже. Царь же повелѣ его единомысленики изгнати из града, и изо всѣх градовъ и весей съ безщестиемъ изгоняти, изо всего своего царства.	Благой же терпел со смирением, больше прежнего стремясь к добродеяниям и всем в словах и делах служа образцом, так что и до самого царя, и до патриарха дошел слух <о нем>, и они призывали к себе праведного и дивились речам его и мудрости. В то же время патриарх Афанасий дивный собор созвал против некоего Варлаама, главы акиндинской ереси, мыслящего, подобно Арию и Македонию, и утверждавшего, будто бы преображение Господне было лишь видением: и многих увлек он в свою ересь. Патриарх же со всем собором отлучил еретика Варлаама и единомышленников его от церкви и предал проклятию. Тот же не успокоился, продолжал писать и смущать церковь и многих прельстил. Был как-то, по обычаю, призван Стефан к царю и после долгой беседы сказал: «О боговенчанный царь, многих до тебя бывших превзошел ты своими добродетелями и смирением, но не пойму, почему ты именно тем пренебрегаешь, что является всему вершиной и венцом царства, во имя чего апостолы совершили подвиг свой и мученики плоти своего не пощадили — говорю я о благочестии». Царь же возразил ему: «Почему ты думаешь, что мы пренебрегаем благочестием, скажи, о достойнейший из друзей!» И Стефан отвечал: «Известно, о царь, — если пастух не оберегает стадо от набега волков и не отгоняет их, то и он такой же зверь, хотя и именуется пастухом, и тот, кто не отгонит известного злом своим, тот и сам будет осужден как злой всеми, способными размышлять. Недостойно, о царь, тебе, пребывающему в чтимом царском сане и пастырем от Христа поставленному таковому стаду, врагов его в своем стаде терпеть, но следует отогнать их подальше как волков-душегубцев и с Давидом воспеть: “Ненавидящих тебя, Господи, возненавидел и гнушаюсь врагов твоих, искренней ненавистью возненавидел их, и стали они врагами моими”, — и прикажи изгнать их из всего своего царства. Если так поступишь, то прекратишь церковные распри, и прочный мир даруешь православным, и царский скипетр возвеличишь, явишься истинным царем истинным христианам и истинным пастырем и от Владыки всех дар получишь — царство небесное». Услышав это, поразился самодержец мудрости и разумным словам того мужа, горячо поблагодарил его и похвалил, и обратился к находившимся в палате: «Превелик разумом сей муж, а еще более — внутренним зрением, все видящим, хотя телесные очи ему закрыли». И тотчас же царь приказал Варлаама связать и привести к себе. Но предупредил того кто-то из окружавших его еретиков, и он поспешно бежал в Рим. Царь же приказал единомышленников его изгнать из столицы, и изо всех городов и селений с бесчестием изгонять, из всего своего царства.
Что же по сих? Пятое лѣто Стефану въ заточении совершашеся, и на праздникъ чюдотворца Николы бдѣнию всенощному совершаему, и запалению свѣщамъ много, и кажению, и чтению положену житие и чюдеса святаго, Стефанъ из глубины душевныа моление принося и ото многаго труда мало въздрѣмася, зрит очима сердца великаго Николу и к ногама его припад, милости прося. Милостивый же онъ рече: «Рѣх ти преже не скорбѣти и показах ти въ своей руцѣ твои зѣници, и нынѣ посланъ есмь исполнити». И воздвигь его и крестное знамение на лици его сотвори, очию же его краи перъстными коснувся, рече: «Господь Исус Христос, иже слепаго от рожениа воочивый, той и твоима очима первый даруеть зракъ». И овъ убо невидимь бысть, Стефанъ же, възбнувъ, трепетенъ бысть — о, неизреченнаго ти милосердиа, Христе! — зряше якоже и преже.[11] И много со слезами благодаривъ и никомуже объяви до времени, но, по обычаю, убрусом закрывъ очи, хожаше съ жезлом. И по мале меньший сынъ его прѣиде от сеа жизни.	Что же после этого? Когда уже шел пятый год Стефанова заточения, как-то свершалась служба всенощная на праздник чудотворца Николы, и горело множество свечей, и кадили, и читали, как положено, житие и о чудесах святого, Стефан от всей души молился и, сильно утомленный, немного задремал и увидел очами сердечными великого Николу, и, припав в ногам его, попросил о милости. Тот же, милосердный, сказал: «Поведал тебе еще ранее, чтобы не печалился, и показал тебе очи твои в своей руке, и ныне послан я все исполнить». И поднял его, и крестным знамением осенил лицо его, концами пальцев коснулся глаз его и сказал: «Господь Иисус Христос, даровавший зрение слепому от рождения и твоим глазам дарует способность видеть, как прежде». И стал невидим тот, Стефан же, проснувшись, вострепетал — о, неизреченное милосердие твое, Христос! — ибо стал видеть, как прежде. И долго со слезами благодарил и никому о том не сказал до времени, но, как обычно платом закрыв глаза, ходил с жезлом. И в скором времени младший сын его оставил этот свет.
Образ же возвращениа его во свое отечество сице бысть. Посылаше самодръжець греком къ зятю своему серпьскому кралю, да послеть ему воиньстьво на помощь. И болгарене тогда южьная вся подъ собою сътворивше и со множествомъ вои на востокъ грядяху. Посла же с ними и настоятеля обители Вседръжителявы, идѣже Стефанъ заточенъ. Его же призвавъ наединѣ краль Милутинъ о сынѣ вопрошаше. Чюдный же онъ: «О многострадалномъ ли и вторѣмъ Иовѣ[12] вопрошаеши мя, о владыко? Недостойна твоа держава вся, аще и тмами житиа твоего будутъ лѣта, противу Стефановыя нищеты; якоже многоцѣньное сокровище стяжа того обителъ и весь царствующи град!» И вся сказавъ ему и еже на еретики подвигъ его. Слышав же краль и отеческим милосердиемъ подвигъся, нача плакати, и посла къ царю греческому въскоре к нему послати Стефана. Царь же с радостию, и многы дары давъ, отпусти его, ихже дастъ во обитель Вседръжителя. Пришед же ко отцу, он же со слезами лобзавъ его с радостию и проситъ у него прощениа о съгрѣшении, еже к нему. Христовъ же подражатель себе повинна сътвори, и рыдание отца утѣшивъ, и прозрѣниа своего не объяви ему, ни иному кому, такоже ни въ Царѣградѣ, но по обычаю, убрусом очи закрывъ, хожаше, яко да не паки завистию угасять ему богоданныа очи. Потом же повелѣ ему отець въ Диоклитийстемъ мѣсте пребывати. Он же паче добродѣтели прилежаше.	Возвращение же его в свое отечество было таково. Послал как-то самодержец греческий к зятю своему, сербскому кралю, чтобы тот направил ему воинов в помощь. Болгары южные тогда все себе покорили и со множеством воинов двинулись на восток. С послами отправил и игумена монастыря Вседержителева, в котором был заточен Стефан. Его же призвал к себе краль Милутин и наедине стал расспрашивать о сыне. Чудный же тот: «О многострадальном втором Иове спрашиваешь меня, о владыка? Не достойна вся держава твоя, если даже будут долгими годы жизни твоей, Стефановой нищеты; обитель и сам царствующий град обрели его, словно многоценное сокровище!» И рассказал ему обо всем и о выступлении его против еретиков. Услышав же это, краль исполнился милосердием отцовским, заплакал и послал к царю греческому, чтобы скорее вернули ему Стефана. Царь же с радостию отпустил его, почтив дарами многими, которые тот передал в обитель Вседержителя. Когда пришел он к отцу, тот расцеловал его со слезами и с радостью и попросил прощения за грехи свои перед ним. Христу же подражающий себя виновным нарекал, и слезы отца своего утешил, и прозрения своего не открыл ни ему, ни кому-либо другому, ни в Царьграде, но, как обычно, ходил, прикрыв глаза платом, чтобы снова, позавидовав, не угасили бы ему Богом данные очи. Потом же повелел ему отец пребывать в Диоклитийском граде. Он же более, чем прежде, стал предаваться добродеяниям.
ГЛАВА 198	ГЛАВА 198
ЦАРСТВО СЕРПЬСКОЕ СТЕФАНОВО	ЦАРСТВО СЕРБСКОЕ СТЕФАНОВО
По сих же, отцу его скончавшуся, и погребенъ бысть во обители, иже от него създаннѣй — Баньско убо мѣсто именуемо,[13] ради текущих теплых вод — въ церкви первомученика Стефана. По преставлении убо отца Стефанъ убрусъ ото очию отвергъ, свѣтелъ лицем, свѣтлѣйши же очима собравшимся является и на достойное тому Серпьское царство препоясуется. И вси сущии въ власти к нему притицаху.	Некоторое время спустя скончался его отец и погребен был в обители, им созданной, — место то именовалось Банским из-за протекавших здесь теплых вод — в церкви первомученика Стефана. После смерти отца Стефан сбросил повязку с глаз, и явился перед собравшимися светел лицом и светел взором, и на достойное его царство Сербское препоясается. И все власть предержащие к нему поспешили.
Коньстянтинъ же, иже того брат ото иныя матери,[14] доволно воиньство собравъ и пославъ скоро, уступити царствиа веля: «Нѣсть, — рече, — слышано от вѣка, слѣпу быти царю». Сиа рече, укаряа его. Стефанъ же къ соборной церкви преже иде поклонитися, и тамо архиепископъ Никодимъ венцемъ царствиа украшает главу его и всѣмъ илирическым языком поставляеть царя. И оттуду въставъ, къ брани идяше. Да якоже близъ быша обои полци, и, милосердуя о брате, милостивая она душа посылаеть к нему таковая писаниа: «Стефанъ, милостию Божиею царь сербом и отеческому наслѣдию, еже страхом Божиимъ правити того люди, брату превожделѣнному Коньстянтину, радоватися! Престани, еже начинаеши ратовати со иноязычники своя люди, но усердно прииди, да узримъ другъ друга, и санъ вторый, яко сынъ царствиа, приимеши. Довлѣеть мнѣ и тебѣ в толицѣ ширинѣ земля жительствовати, не бо азъ есмь Каинъ-братоубица, но Иосифу другъ-братолюбець,[15] его же слово к тебѣ глаголю: “Не бойся, Божий бо есмь азъ! Вы совѣщаете о мнѣ злая, Богъ же совѣща о мнѣ благая, якоже нынѣ видиши”». Он же ни мало слышати восхотѣвъ, но на брань устремися.	Константин же, брат его от другой матери, собрав большое войско, в скором времени посылает к нему и требует уступить престол: «Неслыханно, — говорит, — от начала мира, чтобы слепец был царем». Сказал это, насмехаясь над ним. Стефан же прежде всего отправился помолиться в соборную церковь, и там архиепископ Никодим возлагает на голову его царский венец и провозглашает царем над всем иллирийским народом. И оттуда направляется Стефан на брань. И когда сошлись оба войска, Стефан, это доброе сердце, жалея брата, направляет к нему такое послание: «Стефан, милостью Божьей царь сербам и отеческому наследию, в страхе Божьем повелевающий его людьми, брату, желаннейшему Константину, радоваться! Прекрати ратоборствовать с иноязычниками против своих людей, но поспеши прийти, и увидим друг друга, и второй сан, как сын царский, получишь. Следует нам с тобой на столь обширной земле нашей жительствовать, ибо я не Каин-братоубийца, а Иосифу друг-братолюбец, его же слово тебе повторю: “Не бойся, ибо я с Богом! Вы замыслили против меня зло, Бог же пожелал мне добра, как ныне видишь”». Тот же и слышать не захотел, но двинулся в бой.
