ВИДЕНИЕ ХУТЫНСКОГО ПОНОМАРЯ[1] ТАРАСИЯ	ВИДЕНИЕ ХУТЫНСКОГО ПОНОМАРЯ ТАРАСИЯ
МОЛЕНИЕ ПРѢПОДОБНАГО ОТЦА ВАРЛААМА[2] О ГРАДѢ И О ЛЮДЕХЪ	МОЛЕНИЕ ПРЕПОДОБНОГО ОТЦА ВАРЛААМА О ГОРОДЕ И О ЛЮДЯХ
В лѣто 7013 бысть чюдо прѣславно и видѣние ужаса исполнено въ прѣчестней обители боголѣпнаго Преображения Господа Бога и Спаса нашего Исуса Христа и прѣподобнаго и богоноснаго отца нашего Варлаама.	В год 7013 (1505) было чудо удивительное и видение, полное ужаса, в пречестной обители божественного Преображения Господа Бога и Спасителя нашего Иисуса Христа и преподобного и богоносного отца нашего Варлаама.
Бывшу пономарю в церкви святаго Спаса в полунощи нѣкия ради потребы церковныя, Тарасию именемъ. Видитъ на паникадилех[3] и въ свѣтилницѣхъ свѣща вся вжегшася, и кадила[4] возгорѣшася, и от благоухания благовоннаго фимиана и ливана церковь исполнену. И зритъ пономарь очима, — не во снѣ, но явѣ, — из гроба своего исходяща прѣподобнаго чюдотворца Варлаама и бывша в церкви святаго Спаса. И нача прѣподобный Варлаамъ молитися Господу Богу нашему Исусу Христу и Прѣчистѣй его матере, Прѣсвятѣй Богородицы, и всѣмъ святымъ со слезами и с великимъ умилениемъ, яко на три часы. Понамар же бысть во ужасѣ велицѣ.	Случилось однажды, по церковной надобности некоей, пономарю, по имени Тарасий, быть в церкви в полночь. И вот видит он — в паникадилах и в светильниках все свечи зажглись, а кадила сами разгорелись, и наполнилась церковь неописуемым благоуханием фимиама и ладана. И увидел пономарь собственными глазами, наяву, а не во сне, как вышел из гробницы своей и встал в церкви святого Спаса преподобный чудотворец Варлаам. И начал преподобный Варлаам молиться Господу Богу нашему Иисусу Христу, и Пречистой его матери, Пресвятой Богородице, и всем святым, и так молился со слезами и с глубокой скорбью целых три часа. Пономарь же пребывал в страхе великом.
И прииде к пономарю Тарасию самъ Варлаамъ чюдотворецъ и глагола ему: «Брате Тарасие, хощетъ Господь Богь погубити Великий Новъград. Взыди, брате, на самый верхъ церковный и узриши пагубу Великому Нову-граду, что хощет ему Господь Богъ сотворити».	И подошел к пономарю Тарасию сам Варлаам-чудотворец и говорит ему: «Брат Тарасий, хочет Господь Бог уничтожить Великий Новгород. Поднимись, брат, на самый верх церкви и увидишь, какую пагубу хочет Господь Бог наслать на Великий Новгород».
Понамар же Тарасие по глаголу преподобнаго Варлаама чюдотворца взыде на самый верхъ церковный и видит чюдо страшно и грозы исполнено: над самымъ Великимъ Новымъ-градомъ езеро Ильмерь воздвигшеся на высоту, хотя потопити Великий Новъградъ. Понамар же Тарасий, видѣвъ страшно видѣние, вельми ужасеся и бѣжа с церкви святаго Спаса, страхомъ велиимъ одержимъ, вниде в церковь. Прииде к нему святый Варлаамъ и вопроси его, что видѣ над градомъ. Пономар же повѣда святому Варлааму чюдотворцу езеро Ильмерь воздвигнувшеся над Великимъ Новымъ-градомъ.	И пономарь Тарасий, вняв словам преподобного Варлаама-чудотворца, поднялся на самый верх церкви и увидел чудо странное и ужаса преисполненное: высоко над самым Великим Новгородом нависло озеро Ильмень, готовое потопить Великий Новгород. Пономарь же Тарасий, увидев это страшное видение, ужаснулся, и побежал вниз с верха церкви святого Спаса, и, охваченный великим страхом, вошел в церковь. Тогда подошел к нему святой Варлаам и спросил его, что видел он над городом. И пономарь поведал святому Варлааму-чудотворцу, что нависло над Великим Новгородом озеро Ильмень.
И рече понамарю святый Варлаамъ: «Господь Богь хощет Ильмеремъ езеромъ потопити Новъградъ за умножение грѣховъ людскихъ всенароднаго множества и за беззаконие и неправды ихъ». По семъ паки начат со умилениемъ и слезами молитися Господу Богу и Пречистѣй Богородицы на три часы. И посла понамаря Тарасия ити на церковь святаго Спаса видѣти, что ся творит над Великимъ Новымъ-градомъ.	И сказал пономарю святой Варлаам: «Господь Бог хочет потопить Новгород озером Ильмень за то, что умножились грехи всего народа новгородского, за беззаконие и ложь новгородцев». После этого снова начал он с глубокой скорбью и со слезами молиться Господу Богу и Пречистой Богородице и молился три часа. И велел пономарю Тарасию опять подняться на церковь святого Спаса и смотреть, что происходит над Великим Новгородом.
По глаголу же чюдотворца Варлаама взыде второе пономарь Тарасий на церковь святаго Спаса вверхъ. И видит множество аггелъ стрѣляющих огнеными стрѣлами, яко дождь силный ис тучи на множества народа людскаго, на мужи, и жены, и на дѣти их. И колико бяше людий, мужей и женъ и дѣтей, пред всякимъ мужемъ или женою, или отрочатемъ, или пред дѣвою, пред всякимъ человѣкомъ стояща аггела хранителя, держаща книги и зряща в них повелѣния Божия. И кий человѣкъ обрѣташеся написанъ в живых, того аггелъ хранитель помазоваше кистию из сосуда, азъ же мню небеснаго мира,[5] и абие той человѣкъ исцѣление приимаше и здравъ бываше от смертоносныя азя аггелъ немилостивых язвы. Егда же видяше аггелъ человѣка, емуже умрети написано в книзѣ судебъ Божиихъ повелѣниемъ Владыки Христа Бога, абие, не помазавъ его миромъ, аггелъ хранитель унылъ отхожаше от человѣка, бояся преслушания своего Владыки повелѣния. Аггели же хранители предстоящих пред всякимъ человѣкомъ, озрящих в книги, овѣх мазаху ис сосудовъ кистьми, а иныхъ не мажуще отхожаху. Он же, ужасеся страхомъ великимъ одержимъ, бѣжа с верху церковнаго святаго Спаса и вниде в церковь.	И во второй раз, по повелению чудотворца Варлаама, поднялся пономарь Тарасий на верх церкви святого Спаса. И видит он, как множество ангелов стреляют огненными стрелами, и летят эти стрелы, словно сильный дождь из тучи, поражая всех жителей Новгорода — и мужчин, и женщин, и детей их. И сколько было людей — мужчин, и женщин, и детей — перед каждым человеком — мужчиной ли, или женщиной, перед отроком или перед отроковицей, стоял ангел-хранитель, держа в руках книгу и читая в ней повеление Божие. И если человек оказывался в книге этой записан в живых, то такого человека ангел-хранитель кропил кистью из сосуда, думаю я, наполненного миром небесным, и тотчас этот человек исцелялся от смертоносной язвы, нанесенной стрелами ангелов грозных, и становился здоровым. Если же видел ангел, что в книге судеб Божиим повелением Владыки Христа-Бога предначертана человеку смерть, то тотчас, не окропив его миром, отходил ангел-хранитель в печали от такого человека, боясь ослушаться повеления своего Владыки. И так ангелы-хранители, стоящие перед каждым человеком, глядели в книги и одних кропили кистями из сосудов своих, а от других отходили, не окропив их. И Тарасий, охваченный ужасом и страхом великим, побежал вниз с верха церкви святого Спаса и вошел в церковь.
И вопроси его святый Варлаамъ чюдотворецъ, како видѣлъ видѣние над Великимъ Новымъ-градомъ. Пономарь же начат повѣдати святому Варлааму, еже видѣ множество безчисленое аггелъ Божиих, с небесе стрѣлы огнены испущающихъ на множества людей.	И спросил его святой Варлаам-чудотворец, какое он видел видение над Великим Новгородом. Пономарь же начал рассказывать святому Варлааму, что видел он бесчисленное множество ангелов Божиих, стреляющих с небес огненными стрелами во всех новгородцев.
Начатъ же прѣподобный Варлаамъ молитися Господу Богу и Пречистѣй Богородицы и всѣмъ святымъ со слезами и с великим умилениемъ. И глагола чюдотворецъ Варлаамъ к пономарю Тарасию: «Брате, за молитвы Пречистыя Богородицы и всѣхъ святыхъ ради молитвъ пощадилъ Господь Богь людей своих, еже не погубилъ потопомъ града, но посылаетъ Господь Богь на люди моръ — казнь, но с милостию, рекше с покаяниемъ. Самъ рече Господь во святѣм Евангелие: “В чемъ тя застану, в том тя и сужу”. И будетъ моръ три лѣта». Еже и бысть в тѣ три лѣта Божие посѣщение — моръ.	Тогда начал преподобный Варлаам молиться Господу Богу, и Пречистой Богородице, и всем святым со слезами и с великой скорбью. И сказал чудотворец Варлаам пономарю Тарасию: «Брат, за молитвы Пречистой Богородицы и ради молитв всех святых пощадил Господь Бог людей своих, поэтому не погубил потопом города, но насылает Господь Бог на людей мор — казнь за их грехи, но милостивую: простит раскаявшихся. Ведь сам говорит Господь в Евангелии: “По делам твоим буду тебя судить”. И будет мор в течение трех лет». Так и было Божие посещение в те три года — мор.
И паки помолися святый прѣподобный Варлаамъ на многъ часъ, и посла третие пономаря на церковь: «Что увидиши над градомъ?» По словеси же чюдотворца Варлаама взыде на церковь пономарь и видѣ тучю огнену надъ градомъ, и паки бысть в велицѣ ужасѣ. И сниде съ церкви пономарь, и вшед в церковь святаго Спаса и видитъ пономарь чюдотворца Варлаама молящася Богу.	И снова долго молился святой преподобный Варлаам, и в третий раз послал пономаря на верх церкви: «Посмотри, что делается над городом?» По повелению чудотворца Варлаама поднялся на церковь пономарь и увидел над городом тучу огненную, и снова охватил его великий ужас. И сошел с церкви пономарь и вошел в церковь святого Спаса и видит — молится чудотворец Варлаам Богу.
