СКАЗАНИЕ О ВЕЛИКИХ КНЯЗЕХ ВЛАДИМЕРСКИХ ВЕЛИКИА РУСИА	СКАЗАНИЕ О ВЕЛИКИХ КНЯЗЬЯХ ВЛАДИМИРСКИХ ВЕЛИКОЙ РУСИ
От история Ханаонава и предѣла рекома Арфаксадова, перваго сына Ноева рожьшагося по потопѣ. По отца своего Ноя благословению раздѣлися вся вселенная на три чясти[1] тремъ сыномъ его: Симу, Хаму и Афету. Извержеся от нерадениа Хамъ от благословениа отца своего Ноя,[2] зане не покры наготы отца своего Ноа, упившася виномъ. Егда истрезвися Ной от вина и вразумѣ, елико сътвори ему сынъ его меньший, и рече: «Проклят буди Хамъ, да будет рабъ братома своима». И благослови дву сыновъ своих Сима н Афета, иже покрыша наготу отца своего опаки зрящи, наготы же не видѣша. И благослови Симова сына Арфаксада, яко да вселится в предѣлех Ханаоновых. И родишася ему двѣ близняте: первому имя Мерсемъ, второму Хусъ,[3] — сии начялницы Египту. И умножившимся от них родомъ по колѣномъ. Отлучися Хусъ во глубочайшая страны Иньдѣя и разпространися тамо на востоцѣ; Мерсу же умножишася племена даже до сей страны. Афету же излишая племена от северных стран даже и до полунощиа. И воста нѣкий началникъ того же рода именемъ Фарисъ в Калаврийских странах и созда град во имя свое именемъ Арфакса.[4] Правнукъ же его именемъ Гайдуварий, сей первый написа астрологию въ Асирии в предѣлех Симовех, и по семъ Сеостръ.[5] Сей же Сеостръ первѣе всѣхъ на земли въцарися въ Египтѣ, и по колѣну его многая лѣта преминушя. И от его роду нача царствовати Филиксъ,[6] и тъй пооблада вселеньною. По Филиксѣ же, многимъ лѣтомъ минувшимъ, воста нѣкий царь въ Египте от того же рода именемъ Нактанавъ влъхвъ, сей роди Александра Макидоньскаго от Алимъпияды, жены Филиповы.[7] Сей вторый пооблада вселенною лѣт 12, и всѣх лѣтъ живота его 32,[8] скончася и предаде Египетъ ряднику своему Птоломѣю.[9] Мати же Александрова по смерти сына своего возвратися къ отцу своему Фолу, царю ефиопьскому. Фолъ же вдастъ ю ко второму браку за Виза,[10] сродника Нектонавова. Виз же роди от нея дщерь и нарече ю Аньтия; и созда град в Сосвенех и нарече имя граду в свое имя и в дщери своея Визаньтия,[11] иже нынѣ именуемъ Царьград. От Александра Макидоньскаго до Птоломѣа Прокаженаго премину Птоломѣевъ 22.	Из истории Ханаанской и Арфаксада, первого потомка Ноя, родившегося после потопа. По благословению отца Ноя вся вселенная была разделена на три части между тремя сыновьями его — Симом, Хамом и Иафетом. За нерадивость был Хам лишен отцовского благословения, потому что не покрыл наготы отца своего Ноя, упившегося вином. Когда отрезвел Ной от вина и узнал, что сделал над ним меньший сын его, то сказал: «Да будет проклят Хам, да будет он рабом у братьев своих». И благословил он двух сыновей своих, Сима и Иафета, которые прикрыли отца своего, не глядя на него, чтобы не видеть наготы его. И благословил он Симова сына Арфаксада, чтобы поселился он в земле Ханаанской. И родились у Арфаксада два сына-близнеца: имя одного — Мерсем, другого — Хус, они были основателями Египта. И пошли от них многочисленные потомки по родам их. Хус ушел в дальние пределы Индийской страны, и его потомки оттуда распространились на восток; потомки же Мерса распространились вплоть до нас. Потомки Иафета населили северные страны до дальнего севера. И воцарился некто из того же рода, по имени Фарис, в Калаврийских странах и основал город во имя свое по названию Арфакс. Правнук же его, по имени Гайдуварий, был первым создателем астрологии в Ассирии, во владениях потомков Сима, а после него был Сеостр. Сей же Сеостр самым первым на земле воцарился в Египте, и по потомках его прошло много лет. Из его рода происходил и Феликс, который обладал всей вселенной. После же Феликса, по прошествии многих лет, воцарился некий царь в Египте, происходивший из того же рода, по имени Нектанав, был он волхв, от него у Олимпиады, жены Филиппа, родился Александр Македонский. Александр был вторым властителем вселенной и обладал ею двенадцать лет, а всего он жил тридцать два года; перед кончиной он передал Египет своему полководцу Птолемею. Мать же Александрова после смерти сына своего возвратилась к отцу своему Фолу, царю ефиопскому. Фол же отдал ее во второй раз замуж за Виза, родственника Нектанава. Виз же родил от нее дочь и назвал ее Антией; он основал город в Сосвенах и назвал город этот, который теперь именуется Царьградом, в честь имени своего и своей дочери, Византия. От Александра Македонского до Птолемея Прокаженного насчитывается двадцать два Птолемея.
Птоломѣй же Прокаженый имѣ дщерь премудру именемъ Клеопатру,[12] и та правяше Египетьское царство под отцемъ своимъ Птоломѣемъ. И в то врѣмя Иулие, кесарь римъский,[13] посла зятя своего Антонина, стратига римъскаго,[14] на Египетъ воиньством. Антонину же пришедшу со многими вои по суху и по морю на брань Египту. Посла же Клеопатра ко Антонину, стратигу римскому, послы своя со многими дарми, глаголющи: «Вѣси ли, о стратиже, египетьское богатьство? Лутше ми есть с покоем царствовати, нежели с малоумьемъ излияти крови человеческиа». Умили же ся Антонинъ и прият Египетъ без крови, и посяже за нь царица Клеопатра премудраа; и въцарися Антонинъ въ Египтѣ. И услышавъ Иулие, кесарь римъский, Антониново презорство, и постави брата своего Августа стратигом[15] над ипаты, и посла его с четыре браты своими и со всѣю областью римскою на Антонина. И пришед Августъ, взят Египетъ, и уби зятя своего Антонина, самъ седѣ вь Египте. Взят же и Клеопатру царицу, дщерь Птоломѣа Прокаженаго, и посла ю в Римъ в кораблехъ со многимъ богатством египетским и Клеопатру. Она же глаголющи: «Лутши ми есть царици египетьской смерть прияти, нежели пленьницею приведеной быти в Римъ», — и умори себѣ ядомъ аспидовым.	У Птолемея Прокаженного была дочь премудрая, по имени Клеопатра, она правила Египетским царством вместе с отцом своим Птолемеем. И в это время Юлий, кесарь римский, послал зятя своего Антония, стратига римского, воевать в Египет. Когда Антоний пришел с огромным войском посуху и по морю, чтобы захватить Египет, то Клеопатра послала к Антонию, стратигу римскому, своих послов с богатыми дарами, говоря: «Ведаешь ли, о стратиг, о египетском богатстве? Лучше с миром царствовать, чем в безумье проливать кровь человеческую». Умилосердился Антоний и взял Египет без кровопролития, и вышла за него замуж премудрая царица Клеопатра; и воцарился Антоний в Египте. И Юлий, кесарь римский, услышав о своеволии Антония, поставил брата своего Августа стратигом над воеводами и послал его с четырьмя другими братьями своими и со всей силой римской на Антония. И, придя, Август покорил Египет, и убил зятя своего Антония, и сам воцарился в Египте. Взял он и Клеопатру-царицу, дочь Птолемея Прокаженного, и отправил ее в Рим на кораблях вместе с захваченными великими богатствами египетскими. Она же сказала: «Лучше мне царицей египетской умереть, чем быть приведенной пленницей в Рим», — и уморила себя змеиным ядом.
Восташа же на Улия ипаты: Врутосъ, и Помъплий, и Крас,[16] и убиста его в Римѣ. И скоро прииде вѣсть къ Августу вь Египет о Улиеве смерти; и опечалися зѣло о братнѣ смерти. И скоро созва вся воеводы, и чиноначялники, и нумеры, и препоситы,[17] и возвѣщает имъ смерть Иулия, кесаря римъскаго. Они же единогласно рѣша, римляне и египтяне: «О преславный стратиже, Улия кесаря брата твоего от смерти въставити не можем, а твое величество вѣньчаяемъ венцемъ римъскаго царства». И облекоста его во одежду Сеострову, начялнаго царя Египту, в порфиру и висонъ,[18] и припоясаста его поясомъ дерьмлидом,[19] и возложиста на главу его митру Поря,[20] царя иньдейскаго, юже принеслъ Александръ Макидоньский от Иньдиа, и приодѣша его по плещема окроиницею царя Филикса, владущаго вселенною; и рядостнѣ въскликнушя велиимъ гласомъ: «Радуйся, Августѣ, царю римъский и всеа вселенныа!»	На Юлия же восстали воеводы Брут, Помпеи и Красе и убили его в Риме. И вскоре к Августу в Египет пришла весть о гибели Юлия, и сильно опечалился он при известии о смерти брата. И, не медля, созвал всех воевод, и военачальников, и нумеров, и препоситов и известил их о смерти Юлия, цезаря римского. Они же все, римляне и египтяне, единогласно воскликнули: «О преславный стратиг, Юлия-кесаря, брата твоего, воскресить не можем, а твое величество венчаем венцом римского царства». И облекли его в одеяния Сеостра, первого царя Египта: в порфиру и виссон, и препоясали его поясом дермлидовым, и возложили на голову его митру Пора, царя индийского, которую принес Александр Македонский из Индии, и накинули ему на плечи мантию царя Феликса, обладавшего всей вселенной, и дружно воскликнули громким голосом: «Радуйся, Август, царь римский и всей вселенной!»
В лето 5457 Августу, кесарю римъскому, грядущу въ Египетъ с своими ипаты, яже бѣ власть египетьская рода суща Потоломѣева. И срѣте его Иродъ Антипатров,[21] творя ему велие послужение вои, и пищею, а дарми. Предаде же Богь Египетъ и Клеопатру в руцѣ Августу. Августъ же начятъ дань подкладати на вселенней. Постави брата своего Патрикиа[22] царя Египту; Августалиа, другаго брата своего,[23] постави Александрии властодержца; Ирода же Антипатрова асколонитянина за многия ради его почести постави царя надъ июдеи въ Иерусалимѣ; Асию же поручи Евлагерду,[24] сроднику своему; Алирика же, брата своего, постави в поверъшии Истра;[25] и Пиона постави во Отоцѣх Златых, иже нынѣ наричются Угрове;[26] а Пруса,[27] сродника своего, в брезѣ Вислы рѣце во градѣ Марборок, и Турнъ, и Хвоини, и пресловый Гданескъ, и ины многи грады по рѣку, глаголемую Немонъ, впадшую в море. И житъ Прусъ многа врѣмена лѣтъ и до четвертаго роду; и оттолѣ и до сего врѣмяни зоветься Прусьская земля.	В год 5457 (51 до н. э.) Август, кесарь римский, пошел в Египет, где царствовали правители из египетского рода Птолемеев, со своими воеводами. И встретил его Ирод, сын Антипатра, помогая ему с великой охотой и воинами, и пищей, и дарами. И Бог вручил Египет и Клеопатру в руки Августу. Август же начал собирать дань со всей вселенной. Брата своего Патрикия поставил царем Египта; Августалия, другого брата своего, поставил властелином Александрии, Ирода же, сына Антипатра, аскалонитянина, за то, что тот почтил его, поставил царем над иудеями в Иерусалиме; Азию же вручил Евлагерду, родичу своему; Илирика же, брата своего, поставил правителем в верховьях Истра; а Пиона учредил правителем в Золотых землях, которые ныне называются Угорской землей; а Пруса, родича своего, послал на берега Вислы-реки в город Мальборк, и Торунь, и Хвоини, и преславный Гданьск, и во многие другие города по реке, называемой Неманом и впадающей в море. И жил Прус очень много лет, до четвертого поколения; и с тех пор до нынешних времен зовется это место Прусской землей.
И в то врѣмя некий воевода новгородьцкий именемъ Гостомыслъ[28] скончеваетъ свое житье и созва вся владелца Новагорода и рече имъ: «О мужие новгородьстии, совѣтъ даю вамъ азъ, яко да пошлете в Прусьскую землю мужа мудры и призовите от тамо сущих родов к себѣ владелца». Они же шедше в Прусьскую землю и обрѣтоша тамо нѣкоего князя именемъ Рюрика,[29] суща от рода римъскаго Августа царя. И молиша князя Рюрика посланьницы от всехъ новгородцовъ, дабы шелъ к нимъ княжити. Князь же Рюрикъ прииде в Новъгород, имѣя с собою два брата: единому имя Труворъ, а второму Синеусъ, а третий племенникъ его именемъ Олегъ.[30] И оттолѣ нареченъ бысть Великий Новградъ; и начя княз великий Рюрикъ первый княжити в немъ.	И вот в то время некий воевода новгородский по имени Гостомысл перед кончиной своей созвал всех правителей Новгорода и сказал им: «О мужи новгородские, советую я вам, чтобы послали вы в Прусскую землю мудрых мужей и призвали бы к себе из тамошних родов правителя». Они пошли в Прусскую землю и нашли там некоего князя по имени Рюрик, который был из римского рода Августа-царя. И умолили князя Рюрика посланцы от всех новгородцев, чтобы шел он к ним княжить. И князь Рюрик пришел в Новгород вместе с двумя братьями; один из них был именем Трувор, а второй — Синеус, а третий — племянник его по имени Олег. С тех пор стал называться Новгород Великим; и начал первым княжить в нем великий князь Рюрик.
А великого князя Рюрика четвертое колѣно великий княз Володимеръ,[31] иже просвѣтилъ Русьскую землю святымъ крещеньемъ в лѣто 6496. А от великого князя Владимира четвертое колѣно княз великий Владимир Всеволодич Манамах,[32] правнукъ. Егда седѣ в Киеве на великомъ княжении, совѣтъ начятъ творити съ князми своими и съ боляры и велможи, тако рекъ: «Егда азъ малъ есмь преже мене царствовавшихъ и хоругви правящих скипетра великиа Русиа, якоже князь великий Олегъ ходил и взял съ Цариграда великую дань на вся воа своа и здравъ въсвояси возвратися; и потомъ Всеславъ Игоревич, княз великий, ходил и взял на Коньстянтине градѣ тяжьчайшую дань.[33] А мы есмя Божиею милостью настолницы своих прародителей и отца моего великого князя Всеволода Ярославичя[34] и наслѣдницы тоя же чести от Бога. Нынѣ съвѣта ищу от васъ, моея полаты князей, и боляр, и воеводъ, и всего христолюбиваго воиньства; да превознесется имя святыа живоначалныа Троици вашея храбрости могутьством Божьею волею с нашимъ повелѣниемъ; и кий ми совѣтъ противъ воздаете?» Отвѣщаста же великому князю Владимиру Всеволодичю его князи, и боляре, и воеводы: «Сердце царево в руцѣ Божьи, и мы вси есмо в твоей волѣ». Княз же великий Владимир събирает воеводы благоискусны и благоразумны и поставляет чиноначалники над различными воиньствы — тысущники, сотники, пятдесятники над различными чинми боренья; и съвокупи многия тысяща воиньства, и отпусти их на Фракию, Цариграда области; и плениша я доволно и возвратишася съ многимъ богатеством.	А четвертое колено от великого князя Рюрика — великий князь Владимир, который просветил Русскую землю святым крещением в год 6496 (988). А от великого князя Владимира четвертое колено — правнук его Владимир Всеволодович Мономах. Когда сел он на великое княжение в Киеве, то начал советоваться с князьями своими, и с боярами, и с вельможами, так говоря: «Неужели я ничтожнее прежде меня царствовавших и управлявших знаменами царства великой Руси, таких как князь великий Олег, который ходил и взял с Царьграда большую дань для всех воинов своих и благополучно домой возвратился, или как Всеслав Игоревич, князь великий, который тоже ходил на Константин-град и еще более тяжелой данью его обложил. А мы, Божьей милостью, наследовали престол своих прародителей и отца своего великого князя Всеволода Ярославича, и наследники той же чести от Бога. Ныне жду совета от Вас, моего двора князей, бояр, и воевод, и от всего христолюбивого воинства; да прославится имя святой живоначальной Троицы силой вашей храбрости с Божьей помощью и нашим повелением; какой же вы мне совет дадите?» Так отвечали великому князю Владимиру Всеволодовичу его князья, и бояре, и воеводы: «Сердце царево в руке Божьей, а мы все в твоей власти». Тогда великий князь Владимир собирает воевод умелых и мудрых и ставит начальников над воинскими отрядами — тысячников, сотников, пятидесятников; и, собрав многие тысячи воинов, отправляет их во Фракию, область Царьграда; и завоевали большую часть ее, и возвратились с богатой добычей.
Тогда бѣ въ Цариградѣ благочестивый царь Константинъ Манамах,[35] и в то врѣмя брань имѣя с персы и с латыною. И съставляетъ совѣтъ мудрѣ и царьски, отряжает послы к великому князю Владимиру Всеволодичю: Неофита митрополита ефесьскаго[36] и с нимъ два епископа, милитиньска и митилиньска, и стратига Антипа антиохийскаго, игемона иерусалимъскаго Еустафия, и иных своих благородных. От своея же выя снемлет животворящий крестъ от самого животворящаго древа, на немъже распятся владыка Христос. Снемлет же от своея главы венець царьский и поставляет его на блюдѣ злате. Повелеваетъ же принести крабьицу сердоликову, из неяже Августия, царь римъский, веселяшеся, и ожерелье, иже на плещу своею ношаше, и чепь от злата аравьска исковану, и ины многи дары царьскиа. И предаде их митрополиту Неофиту сь епископы и своимъ благороднымъ посланникомъ, и посла их к великому князю Владимиру Вселодичю, моля его и глаголя: «Прийми от насъ, о боголюбивый благоверный княже, сиа честныа дарове, иже от начатка вѣчных лѣтъ твоего родьства и поколѣнья царьский жребий, на славу и честь и на венчание твоего волнаго и самодержавнаго царствиа. И о немже начнут тя молити наши посланницы, что мы от твоего благородиа просим мира и любвѣ, яко церкви Божьа безмятежна будет, и все православие в покои пребудет под сущею властью нашего царства и твоего волнаго самодержавъства великиа Русиа, яко да нарицаешися отселе боговенчаньный царь, вѣнчанъ симъ царьскимъ венцѣмъ рукою святейшаго митрополита киръ Неофита съ епископы». И от того врѣмени княз великий Владимир Всеволодичь наречеся Манамах, царь великиа Русия. И пребысть потомъ прочаа врѣмена съ царемъ с Констянтином в смирении и любве. И оттоле и донынѣ тѣмъ вѣнцемъ венчаются царскимъ велиции князи володимерьстии, егоже прислал греческий царь Коньстянтинъ Манамах, егда ставятся на великое княжение русьское.	В то время правил в Царьграде благочестивый царь Константин Мономах и воевал он тогда с персами и латинянами. И принял он мудрое царское решение — отправил послов к великому князю Владимиру Всеволодовичу: Неофита, митрополита эфесского, и с ним двух епископов, милитинского и митилинского, и антиохийского стратига Антипа, иерусалимского наместника Евстафия и других своих знатных вельмож. С шеи своей снял он животворящий крест, сделанный из животворящего древа, на котором был распят сам владыка Христос. С головы же своей снял он венец царский и положил его на блюдо золотое. Повелел он принести сердоликовую чашу, из которой Август, царь римский, пил вино, и ожерелье, которое он на плечах своих носил, и цепь, скованную из аравийского золота, и много других даров царских. И передал он их митрополиту Неофиту с епископами и своим знатным посланником, и послал их к великому князю Владимиру Всеволодовичу, так говоря с мольбой: «Прими от нас, о боголюбивый и благоверный князь, во славу твою и честь эти честные дары, которые с самого начала твоего рода и твоих предков являются царским жребием, чтобы венчаться ими на престол твоего свободного и самодержавного царства. Прими и то, о чем будут тебя молить наши посланцы — мы от твоего величия просим мира и любви: тогда церковь Божия утвердится, и все православие в покое пребудет под властью нашего царства и твоего свободного самодержавства великой Руси, так что теперь будешь ты называться боговенчанным царем, увенчанный этим царским венцом рукою святейшего митрополита кир Неофита с епископами». И с тех пор великий князь Владимир Всеволодович стал именоваться Мономахом, царем великой Руси. И пребывал после того во все время с царем Константином в мире и любви. С тех пор и доныне тем венцом царским, который прислал греческий царь Константин Мономах, венчаются великие князья владимирские, когда ставятся на великое княжение русское.
В царство же Констянтина Манамаха отлучися от Цариграда церкви, и от правыа вѣры отпаде римъский папа Формос[37] и уклонися в латыньство. Царь же Коньстянтинъ и святѣйший патриархъ киръ Иларие[38] повелѣ събратися собору в царствующий градъ — святѣйшии патриарси александръский, и антиохийский, иерусалимъский. И с ихъ совѣтомъ благочестивый царь Коньстянтин Манамах съ святымъ вселеньскимъ соборомъ четырми патриархы, митрополиты и епископы, иерѣи извергоша папино имя ис поминаней церковных и отлучишя его от четырех патриархъ. И от православныа вѣры отпадша, и от того врѣмене и донынѣ лытають, нарекошася латына. Мы же, православнии христиане, исповѣдаемъ Святую Троицу безначялнаго Отца съ единородным Сыномъ и с пресвятымъ единосущнымъ и животворящимъ Духом въ единомъ Божествѣ вѣруемъ, и славимъ, и покланяемся.	Во времена же царствования Константина Мономаха отлучился от Царьградской церкви и от истинной веры отошел римский папа Формоз и уклонился в латинство. Тогда царь Константин и святейший патриарх кир Иларий повелели собраться на собор в царствующем граде святейшим патриархам — александрийскому, антиохийскому и иерусалимскому. И по их совету благочестивый царь Константин Мономах со святым Вселенским собором из четырех патриархов, митрополитов, епископов и священников исключили имя папы из церковных поминаний и отлучили его от четырех патриархов. И от православной веры отпали и с тех времен и доныне лытают, потому и называются латинянами. Мы же, православные христиане, исповедуем Святую Троицу — безначального Отца с единородным Сыном и с пресвятым единосущным и животворящим Духом в едином Божестве, и веруем в нее, и славим, и поклоняемся.
Родство великих князей литовъских. В лѣто 6830 по пленении безбожнаго Батыа[39] избѣжал от плѣна его нѣкий князец именемъ Витянецъ,[40] рода смоленьскихъ князей, и вселися в Жомоть[41] у нѣкоего бортника. И поятъ у него дщерь в жену себе и пребысть с нею лѣтъ 30 бездѣтен. И убьенъ бысть громомъ. И послѣди князя Витенца поятъ жену его раб его конюшецъ именемъ Гигименикъ.[42] И роди от нея седмь сыновъ:[43] 1. Нароминтикъ, 2. Евнутикъ, 3. Олгердикъ, 4. Кестутик, 5. Скиригайликъ, 6. Кориядикъ, 7. Мантоникъ.	Родословие великих князей литовских. В год 6830 (1322) некий князек, по имени Витянец, из рода смоленских князей, плененный безбожным Батыем, бежал из плена и поселился в Жмудской земле у бортника. И взял у него дочь в жены себе, и прожил с нею тридцать лет, и были они бездетны. И убило его громом. И после князя Витянца взял жену его за себя раб его, конюх, по имени Гегименик. И родил от нее семь сыновей: первый — Наримантик, второй — Евнутик, третий — Ольгердик, четвертый — Кейстутик, пятый — Скиригайлик, шестой — Кориадик, седьмой — Мантоник.
Лета 6825 князь Юрьи Данилович[44] московский и князь Михаилъ Ярославич[45] тверьский поидоша во Орду о великомъ княженьи володимерском в спорѣ. И князь Михаил Ярославич Тверьский убьенъ бысть в Ордѣ. Князь Юрьи Данилович прииде из Орды на великое княжение. И видѣ многи грады запустѣвшая и людей мало събирающася, печалию одержимъ бѣ. По убьении бо князя Михаила Черниговъскаго[46] разсыпашася измаилтянѣ по всей земли Русьской, яко птици полѣташа. И христианьский род овехъ мечемъ закалающе, других же в плѣнъ отвожаху, а оставшая смерть и глад погубляше. Сия случишася намъ грѣх ради наших.	В году 6825 (1317) князь московский Юрий Данилович и князь тверской Михаил Ярославич пошли в Орду разбираться в споре о великом княжении владимирском. И князь тверской Михаил Ярославич был убит в Орде. Князь Юрий Данилович пришел из Орды, получив великое княжение. И, видя многие города запустевшими и малочисленность людей, был он охвачен печалью. Ведь после убиения князя Михаила Черниговского рассыпались измаильтяне по всей Русской земле, словно стая птиц налетели. И христиан — одних мечами губили, других в плен уводили, а те, кто уцелел, от нужды и голода умирали. Разразилась над нами такая беда грехов ради наших.
