ПОСЛАНИЕ О ЗЛЫХЪ ДНЕХЪ И ЧАСѢХЪ	ПОСЛАНИЕ О НЕБЛАГОПРИЯТНЫХ ДНЯХ И ЧАСАХ
Государя великого князя дьяку, господину Михаилу Григорьевичу твой нищей богомолец старец Филофей Бога молит и челом бьет.	Государя великого князя дьяку, господину Михаилу Григорьевичу, твой нищий богомолец старец Филофей Бога молит и челом бьет.
Прислал ты, государь мой, ко мнѣ свою грамоту, а в ней писано, чтобы мнѣ внутрь в неи твои список истолковати. И тебѣ, моему государю, вѣдомо, что яз селской человѣкъ, учился буквам, а еллинскых борзостей не текох, а риторских астроном не читах, ни с мудрыми философы в бесѣдѣ не бывал; учюся книгам благодатнаго Закона, аще бы мощно моя грѣшная душа очистити от грѣх, о сем молю милостиваго Бога, господа нашего Иисуса Христа и пречистую Богоматерь и всѣхъ святых, Богу угодивших, избавити мя вѣчнаго мучения. А еже писал ты о числах лѣтных, еже в Бытейскых книгах, Моисеом написаных, о «Шестодневникѣ», о миротворении, гронографы же, пять дней мимотекшеи, начаша от перваго Адама и до нынѣ; латина же нынѣ, вся мимотекше преже бывшая лѣта, начинают от Рожества Христова, чтут лѣта; да в том нѣсть разньстваа никоегоже. Глаголет бо апостолъ: «Бысть первый человѣкъ от земля перстен, вторый человѣкъ — Господь с небесе».[1] И пакы рече: «Бысть первый человѣкъ Адамъ в душю живу, вторый же Адам — в духъ животворящ».[2]	Прислал ты, государь мой, мне свою грамоту, а в ней писано, чтобы я включенное в нее сочинение истолковал. Так тебе, моему государю, известно, что я деревенщина, учился лишь грамоте, а языческих хитростей не проходил, витийственных звездочетов не читывал, да и с мудрыми философами в беседе не бывал; учусь лишь книгам благодатного Писания, и если бы можно было грешную мою душу очистить от грехов, о том молю милостивого Бога, господа нашего Иисуса Христа, и пречистую Богоматерь, и всех святых, угодивших Богу, чтобы избавил меня от вечных мук. А то, что писал ты о годовых числах, что в книгах Бытия, Моисеем написанных, о «Шестодневе», о сотворении мира, то хронограф, исключив пять первых дней, — начал с первого Адама и до ныне; католики же, пропуская все эти прошлые годы, счет годам начинают от рождества Христова; но между счетом тем или этим нет никакого различия. Ибо говорит апостол: «Был первый человек из земли тленен, второй человек — Господь небесный». И дальше сказал: «Был первый человек Адам с душою живою, второй же Адам — животворящего духа».
И о сем тщатся философи, год есть сугуб — солнечный и лунный; солнечный содержит 365 дней, лунный же 354; от сего является, яко год солнечный болши луннаго 11 дний, по тому в то лѣто солнцу и лунѣ потемнение не узрится. И кто прилѣжнѣйше подщится, по «Шестокрылу»[3] считают дробныа часы, то обрящет, в который час быти потемнѣнию лунѣ и солнцу; но о сем подщание и подвиг великъ, а приобрѣтения мало.	И вот над чем мудрят философы: год бывает двояким — солнечным и лунным; солнечный содержит триста шестьдесят пять дней, а лунный триста пятьдесят четыре; из этого ясно, что солнечный год больше лунного на одиннадцать дней, но в какое время солнечное или лунное затмение — не видно. Кто же прилежней займется этим и по «Шестокрылу» сосчитает части часов, то найдет, в какой час будет затмение луны и солнца; однако в этом труды и старание велики, а результат мал.
А што писал о преходных звѣздах, знамение водное наслѣдят, тогда всеа вселенныа градовом и царством и странам вкупѣ всѣм земнородным пременение; божественое же Писание о сем ясно глаголетъ: «Святым Духом всяка твар обновляется»,[4] обращающеся на первое, равномощен бо есть Отцу и Слову, а не от звѣздъ сие бывает.	А что писал о движущихся звездах, что они предзнаменуют потоп, когда всей вселенной городам, и царствам, и странам, всем вместе на земле рожденным, настанет конец, то божественное Писание об этом ясно говорит: «Святым Духом всякая тварь обновляется», возвращаясь к прежнему, ибо равен он Отцу и Слову, но не от звезд так бывает.
А звѣзды зодѣйные 12 и планит 7, не чювствены, ни животны сут, но точию невещественаго огня существо. В первый день Богом сътворен есть, иже рече Богь: «Да будет свѣт»,[5] — и ничтоже ино свѣт, токмо огнь. И егда въсхотѣ разлучити свѣт от тмы, тогда повелѣ спрятание тому огню быти, и бысть тма. И разлучи Богъ межу свѣтом и межу тмою, и нарече Богъ свѣт день, а тму нарече нощь,[6] и ничтоже ино нощъ, токмо свѣта отъятие. Въ вторый день твердь, въ третий день сушу, моря, садовиа, траву, сѣмена, пол водъ возводит на твердь. Того ради, еже хотяше сътворити свѣтилникы, в четвертый же день от того огня, иже свѣт нарече, сътвори двѣ свѣтиле велицѣ: свѣтило великое въ освѣщение дни, еже есть солнце, свѣтило меншее въ просвѣщение нощи, еже есть луна, таже звѣзды, яко мудрый златарь ово на сосуды, ово же на златици разсыпа.	Знаков же зодиака двенадцать, а планет семь, не чувствительны, не живые они, а просто нематериальный огонь. В первый день он создан Богом, когда сказал Бог: «Да будет свет», — и ни что иное свет, как огонь. И когда пожелал отделить свет от тьмы, повелел тому огню исчезнуть, и настала тьма. И разделил Бог свет и тьму, и нарек Бог свет днем, а тьму нарек ночью, и ни что иное ночь, как только изъятие света. На второй день сотворил он небо, на третий день сушу, моря, деревья, траву, семена, и половину вод помещает на небе. И потому, когда пожелал сотворить светила, на четвертый день из того огня, что назвал он светом, сотворил два больших светила: светило большое, для освещения дня, и это есть солнце, светило поменьше, для освещения ночи, и это есть луна, а также и звезды, как мудрый мастер дел золотых золота часть на сосуды, а часть на монеты выделил.
И нарече 12 звѣздъ, иже глаголются от нас зодѣи, иже суть пути солнцу и лунѣ. Солнце же шествие имѣя воединои зодѣи днии 30 и часовъ 5 и пакы в другую зодѣю исходит, и тако в двунадесяти зодѣях сѣмо и овамо преходя, сътворяет годъ. Луну же полну сътвори, яко 15 дний, аще бо лунѣ единаго дни сътворенѣ, то пакость бы велика была свѣтилником между собою, частаа отемнениа. Луна же обходит 12 зодѣи в двадесят и девять дней и в пол дни и пол часа и пятую часть часа.	И назначил двенадцать звезд, что называем мы знаками зодиака, которые суть дороги солнцу и луне. И солнце движется по одной части зодиака тридцать дней и пять часов и затем переходит в другую часть зодиака, и так в двенадцати созвездиях зодиака из одного в другое переходя, образует год. Луна же полной становится за пятнадцать дней, ибо если б она становилась полной за день, было бы плохо для обоих светил и частые затмения. Луна же проходит каждый из двенадцати знаков зодиака за двадцать девять дней, и полдня, полчаса и пятую часть часа.
А о седми планитах и о двунадесят зодѣях, и о прочих звѣздах, и о злых часех, и о нарожении человѣчьстем въ которую звѣзду, или часъ золъ или добръ, и получаа с частком, и богатству и нищетѣ, и в нарожении добродѣтелем и злобам, и долголѣтству жития, и скращениа смертию, — сиа вся кощуны суть и басни. Первие от халдѣй[7] сие написася, иже к суетѣ ума своего столпъ зиждуще и на высотѣ бывше, и о звѣздах съблазнишася. Богъ же, видя безумие ихъ съвѣт их разсыпа и дѣло раздруши, и писание их отверже. От них же еллини писание приаша, и тыа планиты и прочаа звѣзды богы нарекоша, и отступиша от сътворшаго вся и твари поклонишася; о них же пророкъ Давидъ глаголаше: «Рече безумен в сердци своем: нѣсть Бога. Растлѣша и омрачишася в начинаниих своих».[8] По еллинѣхъ же еретицы прияша а насѣяша горкыа плевелы по срѣде пшеницы в православной христианской вѣре, на прелщение малоумных человѣкъ, вѣрующе в злыа дни и часы, да о сем и покаания не приемлют, мнящеся, яко истина сутъ, и в день судный страшен отвѣт приимутъ и съ еретикы осужени будут, пременивше свѣт на тму и истину на лжу. Аще бы злыа дни и часы сътворил Богъ, почто грѣшных мучити ему? Богъ имат винен быти, яко злая человѣки народил.	А что касается семи планет и двенадцати звезд зодиака, и прочих звезд, и плохих часов, и рождения человека под какой-то звездой, в час злой или добрый, определяющий участь, богатство или нищету, порождающий добродетели или пороки, многолетнюю жизнь или быструю смерть, — все то кощунство и басни. Первыми халдеи это написали, которые в суете ума своего построили башню и, на высоту попав, соблазнились звездами. Бог же, видя безумие их, замысел их рассеял, и дело разрушил, и писания их отверг. От них же и греки писания эти восприняли, и те планеты и прочие звезды богами назвали, и отошли от Творца, и поклонились сотворенному им; о таких пророк Давид говорил: «Сказал безумный в сердце своем: нет Бога. Погибли и помрачились в начинаниях своих». После греков еретики то приняли и насеяли горьких плевел посреди пшеницы православной христианской веры на прельщение малоумным людям, верящим в злые дни и часы, да в том и не каются, полагая, что это правда, но в день Страшного суда расплату получат и с еретиками будут осуждены за то, что обратили свет во тьму и истину в ложь. Если бы злые дни и часы сотворил Бог, зачем ему мучить грешных? Ведь Бог бы и был повинен в том, что породил злого человека.
А сие, честный человѣче, разумѣй, яко от царя царевич родится, а от князя князь, и аще и не достижет малым чим отчаа славы и чести, но землѣделец не бывает, ни за земледѣлцев царие дщерей не дают, ни у них за своа сынове дщерей взимают, но все то состоится по невѣдомым судбам вся строящаго бога.	Да и то, добрый человек, разумей, что от царя царевич родится, а от князя князь, и даже если не достигнет немного в чем-то отцовской славы и чести, но земледельцем не будет, и за земледельцев цари дочерей не дают, и у них за своих сыновей дочерей не берут, и все это правится по неведомым предначертаниям всесозидающего Бога.
А о звѣздном течении и о солнци, и о лунѣ да вѣсть твоя честность, яко не самы тыа звѣзды двизаемы суть, ниже чювствены или животны и зрят ни на чтоже (но огнь невеществен ничтоже вѣсть, ниже знает), но преносимы суть от аггельских невидимых силъ. Самовидец сему богоизбранный съсуд апостолъ Павел, иже третины тверди не дошед,[9] посрѣдѣ самѣх звѣздъ быв, и тамо видѣ самыа тыа аггельскиа силы, како непрестанно служение имѣют человѣка ради: ови солнце носят, друзии луну, иныя звѣзды, овы въздуха правят вѣтры, облакы, громы, от послѣдних земля воды возносят облаком, и лице земли напаяют на ращение плодом, на весну и жатву аггели, на есен и зиму. Сего ради показа Господь апостолу, како непрестанно служение имут аггели человѣка ради, да научит его непрестанно тещи на проповѣдь спасения ради человѣчскаго и не лениву быти; он же видѣв тамо неизреченнаа видѣниа, въ своих посланиих глаголет: «Не вси ли суть служебнии дуси, на службу посылаеми за хотящих наслѣдовати спасение?»[10] — и пакы глаголет, яко: «Сама тварь свободитца от работы тлѣниа въ свободу славы чад Божиих».[11] Видиши ли, любимиче, како тварию зовет аггелы, чада же Божиа — человѣкы, свобожение аггелское глаголет, еже от службы своеа престанут в послѣднии день?	А о звездном движении, и о солнце, и о луне пусть знает твое величество, что не сами те звезды движутся, что бесчувственны, и мертвы, и ничего не видят (ибо огонь невещественный ничего не видит, ничего не знает), но ангельскими неведомыми силами. Очевидец тому богоизбранный сосуд апостол Павел, который, лишь до трети неба не дойдя, посреди самых звезд бывши, там и видел самые эти ангельские силы, как непрестанно они трудятся для человека: те солнце носят, другие луну, иные звезды, те направляют по воздуху ветры, облака, гром, кто от земли воды возносит облаком, и землю поят ангелы на произрастание плодов, на весну и на лето, на осень и зиму. Потому и показал Господь апостолу, какую неустанную службу несут ангелы ради человека, чтобы научить его непрестанно идти на проповедь ради спасения человека без лености; апостол же, увидев там невыразимые видения, в своих посланиях говорит: «Не все ли это служебные духи, служить посылаемые за тех, кто хочет получить спасение?» — и опять говорит, что «само творение освободится от рабства тлена ради свободы во славу Божьих чад». Понимаешь ли, милый, что творением называет ангелов, чадами Божьими — людей, освобождение ангелов понимает как прекращение службы их в день последний?
О царствах же и о странах пременение — не от звѣздъ сие приходит, но от все дающаго Бога; о сем пророкъ Исаия глаголет: «Аще послушаете мене — блага земли снѣсте, аще ли не послушаете — оружие вы поястъ! — уста бо господня глаголаша сиа».[12] И пакы въпросиша апостоли: «Господи, аще в лѣто се устраяеши царство Израилево?» Иисус же рече: «Нѣсть ваше разумѣти врѣмен и лѣт, яже Отецъ положи своею областию».[13] Да внемли, Господа ради, в которую звѣзду стали христианскаа царства, еже нынѣ вси попрани от невѣрных, якоже пророкъ глаголет: «Кто дастъ на расхыщение Израиля — не Богъ ли, емуже съгрѣшиша?»[14] Девятдесят лѣт, како греческое царство разорися[15] и не созижется: сия вся случися грѣхъ ради наших, понеже они предаша православную гречскую вѣру в латынство. И не дивися, избранниче Божий, яко латыни глаголют: наше царство ромейское недвижимо пребываетъ, аще быхом не правѣ вѣровали, не бы Господь снабдѣл нас. Не подобает нам внимати прелестем их, воистину суть еретици, своею волею отпадше от православныа христианскиа вѣры, паче же опрѣсночнаго ради служениа. Бѣша с нами в соединении семсотъ лѣт и 70, а егда отпадоша правыа вѣры семсот и 35 лѣт,[16] во аполинариеву ересь впадше, прелщени Карулом царем и папою Формосом. Глаголют о опрѣсноцѣ, яко за чистоту и безстрастие, но сие лжут, съкрывающе внутрь себе диавола. Аполинарий[17] же своимъ учением повелѣ опрѣсночнаа служити за сию вину, глаголетъ бо сице, яко не прият плоти человѣчскиа от пречистыа дѣвы господь наш Иисус Христос, но з готовою небесною плотию, яко трубою, дѣвичьскою утробою прошед, ниже душа человѣчьскиа приат, но вмѣсто душа Духъ святый в нем пребывает, до тѣм лстят незлобивых душа и неутверженых. Увы горкиа прелести и отпадения от Бога жива! Аще плоти человѣчскиа не приат Спасъ, то и падшаго Адама и всѣх от него рожденных человѣкъ плоть не обожися, и, аще ли душа человѣчскиа не приал Господь, то и нынѣ душа человѣчскиа не изведены от адскых.	Что касается разрушения царств и стран — не от звезд оно происходит, но от все дающего Бога; об этом пророк Исайя говорит: «Если послушаете меня — благами земными насытитесь, если же не послушаете — оружие вас поглотит! — ибо уста Господни так говорили». И вновь вопросили апостолы: «Господи, не в этот ли год ты готовишь царство Израилево?» Иисус же сказал: «Не ваше дело разуметь времена и годы, которые Бог Отец положил своей властью». Так пойми, Господа ради, с какою звездой связаны христианские царства, ныне попранные неверными, как говорит пророк: «Кто отдал на разграбление Израиль — не Бог ли, перед которым согрешили?» Девяносто лет, как греческое царство разорено и не возобновится: и все это случилось грехов ради наших, потому что они предали православную греческую веру в католичество. И не удивляйся, избранник Божий, когда католики говорят: наше царство романское нерушимо пребывает, и если бы неправильно веровали, не позаботился бы о нас Господь. Не следует нам внимать прельщениям их, воистину они еретики, по своему желанию отпавшие от православной христианской веры особенно из-за службы с опресноками. Были с нами воедино семьсот лет и семьдесят, а отпали от правой веры семьсот и тридцать пять лет тому назад, в ересь Аполлинария впали, прельщенные Карлом-царем и папой Формозом. Говорят об опресноке, якобы ради чистоты и отсутствия страстей, но лгут, скрывая в себе дьявола. Аполлинарий же своим лжеучением повелел службу служить с опресноками потому, что, как говорят, не принял плоти человеческой от пречистой Девы Господь наш Иисус Христос, но с готовой небесною плотью, точно трубою, девственной утробой пройдя, душу человеческую не принял, но вместо души Дух святой в нем пребывает, вот чем прельщают незлобивых душ и неустойчивых. Увы, это горестное прельщение и отпадение от Бога живого! Ибо если плоти человеческой не принял Спаситель, то и падшего Адама и всех от него рожденных людей плоть не приобрела божественность, и если душу человеческую не принял Господь, то и теперь души людские не изведены из адских глубин.
