ПОСЛАНИЕ О ФОРТУНЕ	ПОСЛАНИЕ О ФОРТУНЕ
ТОГО ЖЕ ИНОКА МАКСИМА ГРЕКА ПОСЛАНИЕ К НѢКОЕМУ ИНОКУ, БЫВШЕМУ В ИГУМЕНѢХ, О НЕМЕЦКОЙ ПРЕЛЕСТИ, ГЛАГОЛЕМѢЙ ФОРТУНѢ, И О КОЛЕСѢ ЕЯ	ТОГО ЖЕ ИНОКА МАКСИМА ГРЕКА ПОСЛАНИЕ К НЕКОЕМУ ИНОКУ В САНЕ ИГУМЕНА О НЕМЕЦКОЙ ЛЖИ, ИМЕНУЕМОЙ ФОРТУНОЙ, И О КОЛЕСЕ ЕЕ
Многымъ сущимъ считаемымъ от божественаго апостола свойством и дѣйствомъ неложныя и съвръшеныя любви,[1] яже по Бозѣ — еже не радоватися о неправдѣ, сърадовати же ся истинѣ показателнѣе азъ мню знамение ея. Съй бо въистину вѣренъ и истиннѣйши другъ,[2] иже радуется убо от всея души о исправлениих и благопоспѣшениихъ друга своего, акы о своих си; скръбитъ же пакы, егда узритъ его или о спасителных заблужающа благочестиа апостольскых догматъ и отечьскыхъ преданий, или в нѣкых житейскых бѣдахъ падша; иже и боля за друга своего, тщится всякымъ образом пособити ему и въ пръвое познание истины привести его. Сею убо и аз любовию связанъ къ твоему преподобъству, възлюблене ми брате, неправдуя явлюся въистину въ законы святыя любви, аще умлъчю, о них же слышу тя вслѣд идуща еллинскаго, и халдѣйскаго, и латынскаго, бѣсы обрѣтенаго учительства.[3]	Многие называет божественный апостол свойства и проявления истинной и совершенной любви в Боге — из них не радоваться неправде, а вместе радоваться истине я считаю наиболее показательным признаком. Тот воистину верный и истиннейший друг, кто от всей души радуется исправлению и преуспеянию друга своего, как своему собственному; и, напротив, скорбит, когда увидит, что он или уклоняется от спасительных апостольских догматов благочестия и отеческих преданий, или впал в какие-нибудь житейские беды; кто, соболезнуя другу своему, старается всяким способом помочь ему и к первоначальному пониманию истины вернуть его. Такою любовью и я, будучи привязан к твоему преподобию, возлюбленный мой брат, оказался бы воистину преступающим законы святой любви, если бы умолчал, слыша, что ты следуешь эллинскому, и халдейскому, и латинскому, бесами изобретенному учению.
Глаголю же, о немже мудръствуеши самъ и иныхъ увѣщаваешь, — колесомъ счастия глаголемыя по-латинскы фортуны Христа Бога и Спаса нашего правити же и строити человечьскыя вещи и овѣх убо тѣм на высоту властей възводити, овѣх же оттуду въ послѣднее низлагати безчестие и безславие. Дивлюся убо, како ты, таковъ сый и въ разумѣ Богодухновеных писаний искуснѣйши болѣе иныхъ сверстникъ твоих, сице скоро въсхищенъ еси такымъ богомръзкым учительством прелестника Николаа Германа,[4] ни въ едином божественом Писании дотолѣ ниже слышавъ е, ниже видѣвъ. Аще убо хощеши сложитися истинѣ, супротивно же паче обрящеши — не токмо отнудь отметаемо е от всѣх богодухновеныхъ отецъ и учителехъ, но и анафематѣ предаемо то самое и проходящихъ, и проповѣдующих е. Вѣмы бо, яко сицевая прелесть от Зороастра и Тана[5] — древнихъ влъхвовъ, бывших у персянѣхъ, начяло имѣ, иже научишя небеснымъ и звѣздным движениемъ строятися человеческымъ всѣмъ вещемъ — аще исправления, аще бѣды житейскы; ея же прелесть прияшя убо вседушно египтяне, а от них же еллини, иже и промыслишя и ина многа злочестива и хулна на самого Съдѣтеля всѣх. Ими же мудръствуютъ и учатъ треокаянии, звѣздонужными силами и планитовъ къ зодиомъ снитии являюще его съвръшающа злыхъ и благыхъ, славных же и неславных, ражаемых под тѣмъ или под тѣм планитом и звѣздѣ. Сии же умыслишя, от земля и чрева своего вѣщающе, баснословное имя счастиа или фортуны, ея же и слѣпу именуеть нѣкый мудрець еллинскый именемъ Кевисъ.[6] И на камени сѣдящу оболом и слѣпу убо наричет ея по своихъ прелестѣх, акы бесчинно, и безсловесно, и неравнѣ подающу человекомъ имѣния же и саны властелныя; на оболом же камени сѣдящу ея являеть, за еже дарованиемъ ея не бывати твръдымъ, но удобь препадающим и къ инымъ преходящимъ.	Я говорю о том, о чем ты мудрствуешь сам и в чем убеждаешь других, — будто бы колесом счастья называемой по-латински фортуны Христос-Бог и Спаситель наш управляет человеческими делами и одних этим колесом на высоту власти возводит, других же оттуда низлагает в крайнее бесчестие и бесславие. Удивляюсь я, как ты, такой человек, в знании Боговдохновенных писаний более искушенный, чем другие сверстники твои, так скоро увлекся таким богомерзким учением обманщика Николая Германца, ни в одном божественном Писании до сих пор не услышав об этом учении и не увидев его. Если хочешь последовать истине, то скорее найдешь противное — не только вполне отвержено это учение всеми боговдохновенными отцами и учителями, но и анафеме предано как самое это учение, так и последующие ему и проповедующие его. Мы знаем, что это ложное учение от Зороастра и Остана — древних волхвов, бывших в Персии, получило начало, которые учили, что движением неба и звезд определяются все человеческие дела — будут ли то добродетели или беды житейские; эту прелесть приняли всей душой египтяне, а от них — эллины, которые придумали и другое многое нечестивое про самого Создателя всех и хулящие его. Об этом они, трижды окаянные, мудрствуют и учат этому, считая, что он насильственным влиянием звезд и приближением планет к знакам зодиака делает злыми и добрыми, славными и неславными людей, рождающихся под той или другой планетой и звездой. Они же выдумали, возвещая об этом от земли и чрева своего, баснословное название счастья или фортуны, которую некий мудрец эллинский, по имени Кебес, называет слепой. И сидящей на круглом камне, и слепой он назвал ее в своем заблуждении, так как она беспорядочно, и бессмысленно, и неравномерно распределяет между людьми богатства и власть; на круглом же камне сидящей он ее изображает, потому что дары ее не устойчивы, но легко исчезают и к другим переходят.
Таковыми убо еллини же и египтяне баснями играюще, играеми от бѣсовъ, и писашя и уставишя, акы непричястни бывше божественаго свѣта неблазненаго богопреданнаго разума пророчьскых Богодухновеных писаний. Ими же зря злоначалный и злокозненый диаволъ просвѣщаемых благовѣрныхъ и сего ради не прилагающихся таковому его богомръзкому учительству, но паче ненавидящих и отвращающихся его, и инымъ путемъ тщася весквръный удобь приятно сътворити то благочестивым: увѣщалъ латынях и германъ, погруженыхъ уже въ то сущих и всю душегубителную прелесть поглотивших, мало повыше богомръзкаго подобия лъжеименнаго разума, глаголю же басненыя фортуны, пречистый и покланяемый образ писати Господа и Спаса нашего Исуса Христа, чепию тонкою, от рукы святыя его висящею, правяща ея и писанное пред нею коло, — да тѣмъ образом благочестивии прелщаеми бываютъ богомръзкою прелестию звѣздочетскою, сматряюще фортуну правляему от пречистыя рукы Спасовы. Попущаеть нечестивый диаволъ мало что показание благочестиа приписати къ лукавому нечестия его умышлению, да сице тѣмъ въдрузить въ мыслех благочестивых прелесть лъжесловцовъ астрологь. И ничто же дивно! Идѣ же многажды явися нечестивый не точию аггела свѣта и священника, святая носящаго, образъ подшедъ, да пустынника свята прелстить, но есть, егда и самого Спаса страшнымъ образомъ дѣйствовавъ, всесквръный.	Забавляясь такими баснями, сами служа забавой для бесов, эллины и египтяне писали и утверждали свое учение, будучи чуждыми божественному просвещению неложного Богом преданного разума пророческих Боговдохновенных писаний. Злоначальный же и злокозненный дьявол, видя, что ими просвещаются благоверные и потому не следуют такому его богомерзкому учению, но, напротив, ненавидят и чуждаются его, иным способом постарался, наисквернейший, удобоприемлемым сделать то учение для благочестивых: он убедил латинян и германцев, погруженных уже в это учение и поглотивших эту душепагубную ложь, изобразить немного выше богомерзкого подобия ложного разума, то есть баснословной фортуны, пречистый и достойный поклонения образ Господа и Спасителя нашего Иисуса Христа, который цепочкой тонкой, от руки святой его спускающейся, управляет фортуной с изображенным перед ней колесом, — чтобы благочестивые склонились к богомерзкой лжи звездочетской, видя, что фортуна управляется пречистой рукой Спасителя. Допускает нечестивый дьявол приписать малую долю показного благочестия к своему лукавому умышлению нечестия, чтобы таким образом утвердить в мыслях благочестивых обман лживых астрологов. И что в этом удивительного! Ведь многократно случалось, что нечестивый не только ангела светлого или священника, святыню носящего, принимал вид, чтобы пустынника святого прельстить, но случалось, что он, наисквернейший, в великом обличий самого Спасителя действовал.
А яко убо еллиномъ есть умышление лукавое таковое мудрование — слыши внятно и уразумѣй прилѣжнѣ, что глаголеть о фортунѣ басненѣй премудръ нѣкый христианскый философъ.[7] «Счастие у еллинехъ, — рече, — есть же и мнима есть беспромысленое миру строение или движение от безвѣстных на безвѣстное и собою бываемое; мы же, благовѣрнии христиане, Христа Бога исповѣдуем страяюща и правяща вся». И пакы тъй же: «Не человечьскыми помыслы и съвѣты, но Божиимъ промысломъ и неиспытанными его судьбами устроятися вся человечьская, е же убо человеци несмыслени тихинь и имарменинь[8] обыкошя нарицати, не разумѣюще, откуду и чесо ради кому бываютъ случаема». Мы же, благовѣрнии христиане, вѣруемъ въ Христа, правяща вся. Примѣти прилѣжнѣ уставъ, иже по еллинех, фортунинъ: глаголютъ бо они счастию быти беспромыслену строению мира, сирѣчь не по премудрому и праведну промыслу Божию бываему. Разумѣеши ли отселѣ, яко велми латыне и германе хулять на единого преблагаго, и преправеднаго, и премудраго Творца и правителя всячьскых, приписующе къ пречистому образу Спасову богомръзкое подобие счастия, акы нѣкую съпоспѣшницу и състроителницу ему исповѣдующе ея, ниже от Божественых писаней научившеся сему — ниже бо обрящеши нигдѣ же въ Богодухновеных писаниих носимо сицево душегубително мудрование, — ниже убо от внѣшных всѣхъ философъ[9] хваляемо слышавше е — понеже и нѣции от них слѣпу наричютъ ея и беспромысленое миру строение, сирѣчь не по Божию промыслу и учению бываему? Тии же, осуждающе Епикура философа о них же злѣ мудръствова и училъ есть, и симъ не хвалят и безбожника его наричютъ, сие глаголюще: «Епикурово злѣйше учение и сие есть,[10] яко и вся тварь сия счастиемъ нѣкым, а не хотѣниемъ и судом Божиимъ правится». Слышиши ли, чие сие учение безбожное и како от самѣх еллинех злѣ хулимо есть?	А чтобы убедиться, что такое мудрствование есть лукавое изобретение эллинов, — слушай внимательно и вникни прилежно, что говорит о фортуне баснословной премудрый некий христианский философ. «Счастье у эллинов, — говорит он, — это есть и называется чуждое промыслу управление миром или передвижение от неизвестного к неизвестному и случайному; мы же, благоверные христиане, исповедуем, что Христос-Бог устраивает и управляет всем». И опять он же: «Не человеческими помыслами и рассуждениями, но Божьим промыслом и недоступными его судьбами устраиваются все человеческие дела, люди же неразумные привыкли называть это случаем и судьбой, не понимая, откуда и по какой причине с кем-либо бывают известные случаи». Мы же, благоверные христиане, веруем во Христа, управляющего всем. Обрати должное внимание на определение эллинами фортуны: они говорят, что счастье есть чуждое промыслу управление миром, то есть происходящее не по премудрому и праведному промыслу Божьему. Понятно ли тебе теперь, как латиняне и германцы весьма хулят единого преблагого, и праведнейшего, и премудрого Творца и правителя всего, подрисовывая к пречистому образу Спасителя богомерзкое изображение счастья, некоей помощницей и споспешницей Спасителя считая его, не научившись этому из Божественных писаний, — ибо нигде не найдешь включенным в Боговдохновенные писания такого душепагубного мудрования, — и не услышав восхваляемым его всеми внешними философами — ведь некоторые и из них слепым называют его и говорят о чуждом промыслу управлении миром, то есть происходящем не по Божьему промыслу и учению? Другие же, осуждая Эпикура-философа за то, что он неправильно мудрствовал и учил, за это его не хвалят и безбожником называют, говоря так: «Эпикурово злостное учение и в том заключается, что вся эта тварь счастьем каким-то, а не волей и судом Божьим управляется». Слышишь ли, чье это учение безбожное и как самими эллинами оно резко порицается?
Како убо сице удобь и несмысленѣ сицевый ты въсхищаешися сицевыми безумными блядми немецкыми, и преслушаешь божественаго тайноглагольника, глаголющаго намъ епистолиемъ, еже къ коласаемъ: «Блюдитеся, да никто же вас будет прелщая философиею и суетною прелестию, по преданию человеческому, по стихиамъ мира сего, а не по Христѣ».[11] И пакы тъй же въ послании, еже къ еврѣомъ: «Учении различными и чюжыми не скытайтеся».[12] Како же не устрашился оном того же богопроповѣдника, в нихже глаголеть къ несмысленым галатом: «Аще кто благовѣствуетъ вамъ паче, еже приясте — сирѣчь от нас, апостол Христовыхъ, — анафема да есть»;[13] аще и «аггелъ съ небеси»[14] будет сицевый, «анафема да есть», рекше проклят буди. Разумѣеши ли от сихъ, яко и нѣмци, и латыне под той же апостольстѣй анафемѣ суть акы чюжая учения влагающе въ мыслехъ благочестивых.	Как же ты, такой человек, так легко и безрассудно увлекаешься такими безумными обманами немецкими и не повинуешься божественному тайноучителю, говорящему нам в Послании к колоссянам: «Смотрите, чтобы кто не увлек вас философией и пустым обольщением, по преданию человеческому, по стихиям мира сего, а не по Христу». И опять он же в Послании к евреям: «Учениями различными и чуждыми не увлекайтесь». Как же не устрашился ты тех слов того же богопроповедника, в которых он говорит неразумным галатам: «Если кто благовествует вам не то, что вы приняли (то есть от нас, апостолов Христовых), анафема да будет»; если и «ангелом с неба» будет он, «анафема да будет», то есть да будет проклят. Понимаешь ли из этого, что и немцы, и латиняне подлежат той же апостольской анафеме как чуждые учения вкладывающие в мысли благочестивых.
Потщися убо, Бога ради потщися, отскочи таковыя немецкыя прелести и исповѣдуй прямѣ и чистѣ съ богодухновеными Давыдомъ и пророчицею Анною,[15] глаголющими сице, явѣ и без хитрословия всякого: «Господь убожитъ и богатит, смиряеть и высить, възставляеть от земля нища и от гноищ въздвизаеть убога». Чесо ради, рци намъ, о священная пророчице? «Да посадитъ его, — рече, — съ силными людий и престолом славным наслѣдника сътворить его».[16] Не фортуною басненою и вертѣнием колесненымъ, но пророкомъ святым преже убо Саула, послѣ же Давида помазавъ ихъ на царехъ,[17] ового убо приемъ от паствы овець «и доилиць», якоже есть писано, ового же ищуща погыбшыя ослята отца своего. Такожде смыслено разсуждай и оно, како Иосиф блаженый прославися въ Египтѣ,[18] яко и второму по фараонѣ познаватися властелю всего Египта; такожде како же и Моисей въ толику высоту възнесенъ бысть[19] — строением и маниемъ Божиимъ, а не слѣпымъ счастиемъ и вертѣниемъ колесненым. Чюжо сие, чюжо есть отнудь и невѣдомо Святым писаниомъ учение еже о фортунѣ латынстѣй, любезнѣйши ми брате и господине! Сего ради и далече мечеть православных събора прилагающихся сему богопротивному учению. Обрѣтають бо ся сицевии не съ Христомъ събирающе пшеницю чистую,[20] сирѣчь вѣру пречисту и непорочну въ небесных его житницах, яже суть сердца и мысли православнѣ вѣрующихъ в него, но паче высыпають от себе и послушающих ихъ вложенное свыше въ мыслех своихъ божественое съкровище, еже о православных догматъ праведнѣйшаго промысла Божиа. Яже не писана бышя богодухновеными пророкы и апостолы, ниже мудръствовати подобаеть нам, завѣщаваеть крѣпцѣ великый всея вселеныя свѣтилникъ Иоаннъ Златоглаголивый.[21]	Постарайся же, Бога ради постарайся, отрекись от такого немецкого обмана и исповедуй прямо и чисто с боговдохновенным Давидом и пророчицей Анной, которые говорят так, открыто и без хитрости всякой: «Господь делает нищим и обогащает, унижает и возвышает, из праха подъемлет он нищего и из брения возвышает убогого». Для чего, скажи нам, о священная пророчица? «Чтобы посадить его, — говорит она, — с сильными среди людей и престол славы в наследие дать ему». Не фортуной баснословной и вращением колеса, но пророком святым прежде Саула, а потом Давида помазал Господь в цари, этого взяв от паствы овец, «от доилиц», как написано, а того, когда он искал пропавших ослят отца своего. Также разумно обдумай и то, как Иосиф блаженный прославился в Египте, так что признавался вторым после фараона властителем всего Египта; также о том, как Моисей на такую высоту был вознесен — по предначертанию и мановению Божьему, а не слепым счастьем и вращением колеса. Чуждо это, вполне чуждо и неизвестно Святым писаниям учение о фортуне латинской, возлюбленный мой брат и господин! По этой причине оно далеко отгоняет от собрания православных, придерживающихся этого богопротивного учения. Таковые оказываются не с Христом собирающими пшеницу чистую, то есть веру пречистую и непорочную в небесные его житницы, которые суть сердца и мысли православно верующих в него, а напротив, высыпают они из себя и слушающих их вложенное свыше в мысли их божественное сокровище, то есть православные догматы о праведнейшем промысле Божьем. О том, что не было написано боговдохновенными пророками и апостолами, не подобает нам мудрствовать, строго заповедует великий всей вселенной светильник Иоанн Златоуст.
Пребудемъ убо внутрь предѣлъ неблазненаго благоразумиа. Пиимь беззлобиемь «словесное и нелестное млеко»,[22] акы неискусозлобнии младенци, да явимся прямѣ исправивше Спасово повелѣние, глаголющее: «Аще не обратитеся и будите якоже дѣти, не имати внити въ царствие небесное».[23] И пакы: «Аще кто не прииметь царствие Божие, акы дѣтищъ, не можеть внити в не».[24] «Царство Божие» нарицая Владыка здѣ евангельскую проповѣдь, сирѣчь елика, самъ услышавъ у отца своего, открылъ своимъ учеником. Якова же суть: заповѣди, таиньственыя притчи, яже о неблазненом богоразумии догматы, елико о присносущьствѣ Отца, и Сына, и святаго Духа — единого Божества, и господьства, и царства, елика о безсмертии душевнѣм и о будущемъ напослѣдокъ общемъ въскресении, и о въздаянии живших благочестиво и богоугодно, и о бесконечном мучении не покоршихся апосольстѣй проповѣди, нечестиво живших.	Будем же пребывать в пределах неложного благоразумия. Будем пить незлобиво «словесное и чистое молоко», как не знающие злобы младенцы, чтобы точно исполнить нам повеление Спасителя, сказавшего: «Если не обратитесь и не будете как дети, не войдете в царство небесное». И еще: «Кто не примет царство Божие как дитя, не может войти в него». «Царством Божиим» называет Владыка здесь евангельскую проповедь, то есть то, что, сам услышав от отца своего, открыл своим ученикам. Это суть: заповеди, таинственные притчи, догматы о неложном богопознании, то есть о вечном бытии Отца, и Сына, и святого Духа — единого Божества, и господства, и царства, о бессмертии души и о грядущем в конце света общем воскресении, и о воздаянии жившим благочестиво и богоугодно, и о бесконечном мучении не покорившихся апостольской проповеди, нечестиво живших.
Сия вся и подобная симъ апостольскыя и пророчьскыя догмы же и предания единымъ словомъ Спасъ «царствие Божие» нарече, яже и хощеть нас просто и съ всякою вѣрою и благоговѣиньством приимати и твердѣ въ себѣ въдрузити, имже образомь и незлобивии дѣти без испытания приимають наказания своихъ учителехъ, иже и вѣрою, и благопокорьствомъ еже къ наказателемъ достизаютъ съвръшенное познание Священных писаний и словесных наказаний. Такожде подобаеть и намъ прилѣжати къ преданымъ намъ от самого Спаса нашего, и святыхъ его ученикъ, и апостолъ, и вселенскых съборъ догматом же и завѣщаниомъ, ниже приложити что к нимъ отнудь, ниже пакы уложити по правому уставу богоносных отецъ наших, ихже святыми молитвами да сподобимся получити часть спасаемыхъ, аминь.	Все эти и подобные им апостольские и пророческие догматы и предания Спаситель наименовал одним словом «царство Божие» и желает, чтобы мы это просто и с полной верой и благоговением приняли и твердо себе усвоили, как незлобивые дети без рассуждения принимают наставления своих учителей, благодаря вере и покорности наставникам достигая совершенного знания Священных писаний и словесных наук. Так следует и нам прилежно держаться данных нам самим Спасителем нашим, и святыми его учениками, и апостолами, и вселенскими соборами догматов и завещаний и отнюдь ничего к ним не прибавлять и не убавлять по правильному установлению богоносных отцов наших, святыми молитвами которых да сподобимся получить удел спасаемых, аминь.
ПОВЕСТЬ О САВОНАРОЛЕ	ПОВЕСТЬ О САВОНАРОЛЕ
