ПОСЛАНИЕ МАКСИМА ГРЕКА К ФЕДОРУ КАРПОВУ	ПОСЛАНИЕ МАКСИМА ГРЕКА К ФЕДОРУ КАРПОВУ
ТОГО ЖЕ К ФЕОДОРУ ИВАНОВИЧЮ КАРПОВУ	ТОГО ЖЕ ФЕДОРУ ИВАНОВИЧУ КАРПОВУ
Слышах от нѣких, яко и твоя свѣтлость съотведеся Николаевым и Власиевым навѣдениемъ,[1] и дивишися, о нихьже писах к Николаю о безначалном и невиновном Отци, яко безначаленъ и безвиновенъ есть, рекши ниже от инаго, ниже от себе бытие имѣя, и яко укаряеши мнѣ о сем, аки безмѣстна мудръствующу и странна церковнаго преданиа. О нем же не мнѣе вас чюжуся и азъ, яко в сицевом възрастѣ и в толиком искусствѣ Писаней сицеваго догма избѣже вас и яко «в нощи до сего обходите, стѣну осѣзающе» по притчи.[2] Како убо о прочих съгнутаго и непостижимаго богословиа глаголати или слышати възможете, аще сицевыа догмы, всѣми священными богословци проповѣдуемыа и исповѣдуемыа, неразумнѣ ся имѣете? Да же убо уразумѣите, яко не Максимова догма есть, но истинныи отецъ, слышите разумнѣ великаго и небомудренаго въистину учителя Григориа Богослова,[3] како явьственѣ сие исповѣдует в нѣкоем «Словѣ» своем, в нем же показует, яковому быти подобает правѣ богословьствовати хотящему и яко не всякому сие есть, ниже всегда, ниже ко всѣм, ниже о всѣх, но токмо достигшаго въ крайнюю чистоту и добродѣтелное совершение заповѣдей дѣланиемъ. Имѣет же ся сице священный оного глас: «Безначаленъ убо Отецъ, не отинуди бо ему, ниже от себе самого еже быти». Что видится вам о семъ священном гласѣ? Видѣсте ли, како отецъ сей разумѣет безначалное Отчее, зане рече «ниже от себе самого, ниже от инаго имать еже быти»? Аще бо речем «от себе имѣти еже быти», уже исповѣдахом самого себе виновну и началу бывшу. И аще сие речем, како безначален пребудетъ, иже начало не имый? Аще же, любопряся, речеши, како убо бѣ Отецъ, аще ниже от себе бытие имѣ, реку ти, якоже неизреченно есть Сыновнее рожение и Духа происхожение — сице и Отче безначалие и невиновное.[4] Довлѣет вам, аще православнѣ есте, вѣдати со всѣми святыми отци, яко безначаленъ есть, аки ни от себе, ни от инаго еже быти имѣя. А еже како не взыскуй, ниже възможеши николи же сие достигнути, аще и серафим будеши. Престаните убо хуляще на Бога, в них же не вѣсте, и нас укаряюще неправеднѣ, наипаче же и иных научите, да не хулным именем оболгают нас, от вас бо и сие на нас изгласися.	Услышал я от некоторых людей, что и твоя светлость смутилась из-за неосведомленности Николая и Власия, и ты удивляешься тому, что я писал Николаю о безначальном и беспричинном Боге Отце, что он безначален и беспричинен, то есть ни от кого-нибудь другого, ни от себя самого не имеет бытия, и что ты укоряешь меня за это, как будто я неподобающе мудрствую и не согласно с церковным преданием. А я не менее вас удивляюсь тому, что, хотя вы достигли такого возраста и столь искушены в божественных писаниях, такая догма ускользнула от вас и что вы, по притче, «в ночи до сих пор ходите, осязая стену». Как вы о других тонкостях сокровенного и непостижимого богословия говорить или слышать сможете, если такую догму, всеми священными богословами проповедуемую и исповедуемую, не понимаете? А чтобы вы уразумели, что это не Максимова догма, но истинных святых отцов, послушайте внимательно великого и мудрейшего поистине учителя Григория Богослова, как он ясно это исповедует в одном из «Слов» своих, в котором показывает, каким должен быть желающий правильно богословствовать и что не всякому это под силу, и не всегда, и не перед всеми, и не о всех вещах, но это может делать только достигший благодаря следованию заповедям предельной чистоты и совершенства в добродетелях. Священное же его изречение таково: «Безначален Отец, ибо ни от кого другого он, ни от себя самого не имеет бытия». Что вы думаете об этом священном изречении? Увидели ли, как отец этот понимает безначальность Бога Отца, ибо говорит: «Ни от себя самого, ни от кого другого не имеет бытия»? Ведь если мы скажем «от себя он имеет бытие», мы уже исповедали тем самым, что он сам себе был причиной и началом. И если мы это скажем, как безначальным останется он, начала не имеющий? Если же ты, упорствуя, скажешь, как же он был Отцом, если и от себя не имел бытия, я скажу тебе, что, как несказаны рождение Сына и происхождение святого Духа — так и Отца безначальность и беспричинность. Подобает вам, если вы православные, знать вместе со всеми святыми отцами, что Бог Отец безначален, потому что ни от себя, ни от кого другого не происходит. А этого, как ни пытайся, не сможешь никогда понять, даже если будешь серафимом. Перестаньте же хулить Бога в том, чего не знаете, и нас укорять несправедливо, в особенности же других научите, чтобы дурным словом не поминали нас, ведь сказанное про нас от вас распространилось.
ПОСЛАНИЕ ФЕОДОРА КАРПОВА КЪ СТАРЦУ МАКСИМУ СВЯТОГОРСКОМУ	ПОСЛАНИЕ ФЕДОРА КАРПОВА СТАРЦУ МАКСИМУ СВЯТОГОРСКОМУ
Господину Максиму иноку Феодоръ Ивановъ сынъ Карповъ челом бьет.	Господину Максиму иноку Федор Иванов сын Карпов челом бьет.
Не подобаше было тебѣ, о философе, преже суда осудити и преже слышаниа из наших устъ корити нас, поминаа Спаса нашего евангельскаа сказаниа: «Еже слышу, — рече, — сужу, и суд мой праведенъ есть».[5] Не преже сужу, — рече, — донде же слышу, или аще лѣ тъ есть кому на неповинных суд износити судиты? Мене же преже, даже не глаголати ми, «престаните, — глаголешь, — укаряа нас» писал еси. Аз же скажу не обинуася, не мнѣнию послѣдуа, но истиннѣ повинуася — яков же есмь, таковъ и явитися восхощу, не притворю к себѣ лицемѣрнаго образа. Преже малых дней, стоащу ми въ церкви святого Никола на мѣстѣ стоаниа моего, внезапу приде священникъ тоа церкви ко мнѣ и глагола ми: «Вѣси ли, какова послание послал Максим к Николаю?» Азъ же рѣх: «Ни». И подаде ми бумажку, в ней же написано: «Вѣруй просто и неиспытно въ единого Бога, въ трех ипостасех или лицех познаваема, сирѣчь Отца нерожена и безначална, ниже от себе, ниже от инаго бытие имущаго». Азъ же вопросих его: «Что суть сиа, и о чем блазнишися?» Он же отвѣща: «Како пишет: “Ниже от себе, ниже от инаго бытие имущаго”?» Аз же рѣх ему: «Престани, Стефане, — сие бо имя ему, — не можеши ты одолѣти словом ему. Вѣм азъ Максима: не пишет без свѣдѣтельства, от святого Писаниа заимствуа, раздавает нам». И таким словом утолих того надмение. Послѣди бумажку ону в руку имѣа, идох на великого князя дворъ и там по случаю обрѣтох Власиа-толмача и бумажку ону ему явих. Он же рече ми: «Иди, посоветуй с ним самъ, да и бумажку, ю же в руку имѣеши, ему яви. Мнит ми ся, — рече, — о конечном непостиженьствѣ то онъ писал». Аз же рѣх: «Что ради его же тружаю аз давшаго ради бумажку попа. Яко по игрѣ, — при им глаголю, — с тобою рѣх, иже хощет Максимом о богословии стязатися». Боле на глаголах ничто же. И нынѣ Бога поставляю на свою душу, яко ниже преже сего, в мимошедших, ниже нынѣ, в настоящих, глаголах о тебѣ зло или кое невѣрствие бы о тебѣ имѣл. Аще будет тебѣ имовѣрно или ни — сам вѣси. Но филосовское писание нас учитъ, болѣ нас сам вѣси: «Не вся, — глаголютъ, — творим елико можем, ниже всему вѣрим, елико слышим, ниже вся глаголемъ, елико познаем», прочее же сам не невѣси.	Не пристало тебе, философу, до суда осудить нас и до того, как услышишь, что я скажу, укорять нас, помня Спасителя нашего евангельское изречение: «Как слышу, — сказал он, — так и сужу, и суд мой праведен». Не прежде сужу, — сказал он, — чем услышу, или же судить — значит неповинным осуждение произнесть? Мне же еще до того, как я начал говорить, «перестаньте, — ты говоришь, — укорять нас». А я скажу без боязни, не слухам внимая, но истине повинуясь — каков я есть, таким и казаться хочу, не прикроюсь лицемерной маской. Несколько дней назад, когда я стоял в церкви святого Николы на обычном месте, внезапно подошел священник той церкви ко мне и сказал мне: «Знаешь ли, какое послание послал Максим Николаю?» Я же сказал: «Нет». И дал он мне бумажку, а в ней написано: «Веруй просто, и не допытываясь, в единого Бога, в трех ипостасях или лицах известного, то есть Отца нерожденного и безначального, ни от себя, ни от кого другого бытия не имеющего». Я же спросил его: «Что это такое и что тебя смущает?» Он же ответил: «Как это он пишет: “Ни от себя, ни от кого другого бытия не имеющего”?» Я же сказал ему: «Перестань, Стефан, — ведь таково имя его, — тебе не одолеть словом его. Я знаю Максима: он не пишет без оснований, от священного Писания заимствуя, раздает нам». И такими словами я усмирил его высокомерие. Затем, с бумажкой этой в руках, я пошел на двор великого князя и там случайно встретил Власия-толмача и бумажку эту ему показал. Он же сказал мне: «Иди, посоветуйся с ним сам, да и бумажку, которая у тебя в руках, ему покажи. Кажется мне, — сказал он, — о совершенной непознаваемости Бога это он писал». Я же возразил: «Зачем я буду утруждать его из-за попа, давшего бумажку. Забавы ради, — говорю ему, — тебе сказал о попе, который хочет с Максимом о богословии спорить». Больше я не говорил ничего. И сейчас Бога призываю в свидетели моей душе, что ни раньше, в минувшее время, ни сейчас, в настоящее время, я не говорил о тебе зла или какого-то недоверия к тебе не питал. Покажется это тебе убедительным или нет — как знаешь. Но философское сочинение нас учит, ты и сам лучше нас знаешь: «Не все, — говорят, — делаем, что можем, и не всему верим, что слышим, и не все говорим, что узнаем», а остальное тебе небезызвестно.
Здравъ буди въ спасении, аще и нам поздравлениа не писал еси.[6]	Будь здоров для спасения, хотя ты нам здоровья и не пожелал в своем письме.
ПОСЛАНИЕ МАКСИМА ГРЕКА К ФЕДОРУ КАРПОВУ	ПОСЛАНИЕ МАКСИМА ГРЕКА К ФЕДОРУ КАРПОВУ
Господину Феодору Ивановичу Карпову Максим инокъ радоватися о Христѣ.	Господину Федору Ивановичу Карпову Максим-инок желает радоваться ради Христа.
О любви убо твоей яже к нам и благом устроени, яже изначала показал еси и еще являеши, яко же честными твоими грамотами утвержаеши, иже любви источникъ, Отець щедротам и всякого утѣшениа да въздаритъ обилнѣ свѣтлость твою и в настоящем и в будущем и да соблюдаетъ ю вседомно въ всяком здравии душа же и тѣла и во мнимом житиа сего благоденьствии. А о еже к нам писменми дерзовении, яко непостыдно отвѣтъ сотворяеши, азъ и хвалю, и дивлюся тому, и приемлю еже со истинною благосмѣльство, яко и Писателное оно слово, глаголющее: «Праведен якоже левъ дерзает».[7] Самѣми вещьми истиньствующе е показалъ еси. Азъ же не токмо не ухапляюся предносимыми въ образѣ отвѣта твоего премудраго разума обличенми, но и благодать наипаче вѣмъ тебѣ благаго ради совѣта. Его же ни сам не невѣдах преже, обаче достовѣрию възвѣстившаго ми повинувся, побѣжахся и сам аки человекъ забвению, и невѣжеством съживя, побѣжением общим и не необычным человеком. И что дивно, аще и мнѣ, человеку общему, инако сущу и безчислеными страстьми порабощену, случися сицевое, идѣ же слышим и во всякой святыни пожившим от единого слуха случшееся, Иоану, глаголю, Златому языком и дивному Епифанию,[8] ихъ же къ другъ другу писаниа и ты вѣси. Прости убо дружебнѣ человеческое что пострадавша мене и въ прочее съ дерзновениемъ и писуй ко мнѣ и повелѣвай, о них же требуеши. Имѣти бо будеши мене послушающа во всѣх.	За любовь твою к нам и доброе расположение, которое ты с самого начала показал и еще показываешь, как ты в честных твоих посланиях утверждаешь, пусть любви источник, Отец щедрот и всякого утешения воздаст сторицей светлости твоей и в настоящей жизни, и в будущей, и пусть он сохраняет тебя со всей твоей семьей во всяческом здоровье души и тела во мнимом благоденствии этой жизни. А за смелость твоего письма к нам, что ты не стыдясь отвечаешь, я и хвалю тебя, и удивляюсь этому, и принимаю истинную смелость во имя блага, как слово Священного Писания говорит: «Праведник как лев смел». Самими делами ты показал истинность этого слова. Я же не только не оскорбляюсь имеющимися в ответе твоем твоего премудрого разума обличениями, но, напротив, благодарю тебя за добрый совет. Хотя я и сам не был в неведении доселе, но надежности сообщившего мне про тебя доверился, и, как всякий человек, я страдаю забывчивостью и неведением страдаю, недостатком общим и неудивительным среди людей. И что удивительного, если со мной, человеком заурядным, а иногда бесчисленными страстями порабощенным, случилось такое несчастье, когда мы знаем, что случилось из-за доверия слухам с людьми, во всякой святости жившими, Иоанна, я имею в виду Златоуста и дивного Епифания, послания которых друг к другу ты и сам знаешь. Прости же меня по-дружески за то, что я как человек погрешил, и в будущем смело пиши мне и требуй то, что тебе нужно. Я буду тебя слушать во всем.
Здравьствуй о Господѣ и нас поминай бестрастнѣ и без сумнѣниа всякого. А священника того исправити не лѣнися, чтобы, отложивъ всяко прѣние, послѣдовал простѣ, неиспытнѣ глаголемым от святых отецъ, еже бо како и когда о божествѣ не вмѣстится, его же ради и безначаленъ, и непостижим, и неизречененъ глаголется, иже въ Троици прославляемый Богь, тому слава въ вѣки, аминь.	Будь здоров ради Господа и нас вспоминай без горечи и без сомнения всякого. А священника того исправлять не ленись, чтобы он, оставив всякие споры, принимал просто, без обсуждения сказанное святыми отцами о том, что никак и никогда о Божестве нельзя уразуметь, из-за чего он безначальным, и непостижимым, и несказанным называется, в трех лицах прославляемый Бог, которому слава вовеки, аминь.
