ПОСЛАНИЕ МАКСИМУ ГРЕКУ О ТРЕТЬЕЙ КНИГЕ ЕЗДРЫ	ПОСЛАНИЕ МАКСИМУ ГРЕКУ О ТРЕТЬЕЙ КНИГЕ ЕЗДРЫ
ПОСЛАНИЕ ФЕОДОРА КАРПОВА, НА МОСКВѢ БЫЛЪ БОЯРИНЪ[1]	ПОСЛАНИЕ ФЕДОРА КАРПОВА, В МОСКВЕ БЫВШЕГО БОЯРИНОМ
Возлюбленному о Христѣ и пречестнѣйшему господину иноку Максиму, иже от Вадопетя, Феодоръ Ивановъ сынъ Карповъ челомъ.	Возлюбленному во Христе и честнейшему господину Максиму, иноку Ватопедского монастыря, Федор Иванов сын Карпов бьет челом.
Мнит ми ся, отче, подобаетъ недомыслящему не стыдѣтися, о них же не домыслися, но исповѣдати неразумие свое мудрѣйшим. Аз бо ничто же непщую безмѣстно или внѣ разума мудрѣйших вопрашати, да в добръ совѣтъ введуть, и неразумие на разумъ преложатъ, и томящуюся мысль добрѣ упокоятъ. Сице бо и врачеве творятъ о болѣзни неспящаго и многомыслие о смерти имѣюща, нѣкоторымъ зелиемъ успѣваютъ и многомыслие смертное соотъемлютъ. Азъ же нынѣ изнемогаю умом, во глубину впад сомнѣния, прошу и мил ся дѣю, да мнѣ нѣкая целебнаа присыплеши и мысль мою упокоиши. Аще и стужати тебѣ срамляюся, молчати же утѣсневаюся: не премолчитъ бо во мнѣ многопутный мой помыслъ, хощетъ вѣдати, ему же нѣсть господинъ, и тщится найти, его не нѣсть изгубилъ, мыслитъ чести, его же нѣсть училъ, хощетъ победити, ему же нѣсть побѣдимъ. Аще силна тя и богата сотвори Богъ, ими же благодѣтельствуется душа, — давай просящему, «весь день, — рече, — милуя и взаимъ дая»[2] слово, и приемля люботрудне заимство с лихвою. Толковая подаяниа, сладце подаваема просящему, любовь многая глаголется; а идѣ же бо любовь многая — си мати благыхъ и источникъ есть, сия браней отъятие, любопрѣния исчезновение. Тѣм же и пророкъ глаголетъ: «Яко тамо заповѣда Господь и животъ до вѣка».[3] Якоже бо расколъ смерти безвременныя содѣловаетъ, сице и любовь единомыслие благая, живота съ безбоязньствомъ всякимъ и опасениемъ подаетъ, но и небесная благая ти даруетъ. И о семъ убо довлѣетъ нами реченая, и паки довлѣетъ, да не ушеся твоя честная многорѣчиемъ грубымъ поврежу. О той убо главизне нынѣ восприимется, о ней же слово есть, и что нашего настоящего прошениа разумъ предъидый скажетъ. Ездръ[4] убо пишетъ в Третией своей книзе: «В третий день, — рече, — повелѣлъ есть Господь водамъ совокупитися в седьмую часть земли, шесть бо частей осушилъ есть ей». Первое мое вопрошение: божественная бо Писания бесчисленныа воды глаголетъ под землею в безднахъ и на земли, в моряхъ, и езерахъ, и рекахъ, тако и превыспрь на тверди. И сия убо о сихъ аще благо есть тако разумѣти намъ?	Кажется мне, отче, что не следует непонимающему стыдиться того, чего он не понимает, но рассказывать о незнании своем знающим людям. Ибо я не вижу ничего предосудительного или противного разуму в том, чтобы более мудрых спрашивать, чтобы они добрый совет дали, и незнание в знание обратили, и томящуюся мысль вполне успокоили. Ведь так и врачи поступают с болезнью человека, не спящего и много о смерти думающего, определенным снадобьем они усыпляют его и тем мысли о смерти удаляют. Я же теперь изнемогаю умом, в глубину впал сомнения, прошу и умоляю, чтобы ты мне что-нибудь целебное насыпал и мысль мою успокоил. Хотя я и досаждать тебе стесняюсь, но молчать не в силах: ведь не молчит во мне смущенная моя мысль, хочет знать то, над чем она не властна, и пытается найти то, чего не теряла, стремится прочесть то, чего не изучила, хочет победить непобедимое. Если тебя сотворил Бог сильным и богатым в том, что существует на благо души, — давай просящему, «всякий день, — как сказано, — милуй и взаймы давая» слово, и всегда получая отданное с лихвой. Разумное подаяние, с радостью подаваемое просящему, любовью великой называется; а любовь великая — это мать добрых вещей и источник их, это вражды прекращение, раздоров исчезновение. Поэтому и пророк говорит: «Ибо так заповедал Господь жизнь вечную». Ведь как раздор является причиной смерти преждевременной, так любовь доброе единомыслие, жизнь совершенно безбоязненную и спокойную приносит и, кроме того, небесные блага тебе дарует, но об этом достаточно нами сказано и потому еще достаточно, чтобы твои уши честные я многословием грубым не повредил. Итак, теперь к тому предмету обратимся, ради которого я пишу и который объяснит смысл нашей предшествующей просьбы. Пишет Ездра в Третьей своей книге: «В третий день, — говорит он, — повелел Господь водам собраться на седьмой части земли, а шесть частей осушил». Первый мой вопрос: Божественное Писание о бесчисленных водах говорит под землей в безднах и на земле, в морях, и озерах, и реках, также и на тверди небесной. Так ли об этом следует нам понимать?
И паки той же Ездра в той же Третией своей книзе пишет: «В пятый день реклъ еси седмой части, гдѣ бысть вода собрана, да сотворитъ животная, и лѣтящаа, и рыбы, и тако сотворишася. Вода нѣма и бездушна, иже Божиимъ мановениемъ повелѣваема, животная сотворяше, да от сего дивная твоя рожения провещаютъ. И тогда сохранилъ еси двѣ души: имя еднной назвалъ еси Енохъ,[5] и имя второй назвалъ еси Елевиафантъ.[6] И разлучилъ еси ихъ другь от друга, не бо можаше седьмая часть, гдѣ бысть вода собрана, прияти ею. И далъ еси Еноху едину часть, иже осушена есть в третий день, да обитает в ней, гдѣ суть горъ тысяща. Елевиафанту же далъ еси седмую часть мокра, и держалъ еси ея, да будетъ в пожрение которыхъ хощеши и коли хощеши. В шестый день повелѣлъ еси земли, да сотворитъ пред тобою скоты, и звѣри, и гады, и на тѣхъ Адама, котораго поставилъ еси князя на всѣхъ сотворениихъ, иже сотворилъ еси, и от него изведемся мы вси». О томъ, отче, молю твою честность разрѣшити сия: о водѣ, и о земли, и о Еносѣ, и о Елевиафанте, и аще вочтенъ есть Ездра во пророкы — пишетъ бо о Христѣ прямо нѣкако, не образы, ниже гаданиемъ, но прямо изьявляетъ. По сихъ, честный отче, глаголю честности твоей благодарения бесконечная за труд твой; за все мя святыми писанми посѣщаеши и кручину мою облегчеваеши. В настоящихъ сия доволна суть.	И вновь тот же Ездра в той же Третьей своей книге пишет: «В пятый день сказал седьмой части, в которой была собрана вода, чтобы она произвела животных, и летающих и рыб, что и сделалось. Вода немая и бездушная, по Божьему мановению, животных произвела, чтобы все роды возвещали дивные дела твои. Тогда ты сохранил двух животных: одно ты назвал Енохом, а другое ты назвал Левиафаном. И ты отделил их друг от друга, потому что седьмая часть, где была собрана вода, не могла принять их. Еноху ты дал одну часть из земли, осушенной в третий день, да обитает в ней, в которой тысяча гор. Левиафану же дал седьмую часть водяную, и сохранил его, чтобы он был пищею тем, кому ты хочешь и когда хочешь. В шестой день повелел ты земле произвести перед тобой скотов, и зверей, и пресмыкающихся, и над ними Адама, которого поставил властелином над всеми сотворенными, которых ты сотворил, и от него происходим мы все». Относительно этого, отче, умоляю твою честность объяснить вот что: о воде, и о земле, и о Енохе, и о Левиафане, и причислен ли Ездра к пророкам — ведь он пишет о Христе довольно ясно, не образно и не загадками, но прямо сообщает? За сим, честной отче, приношу честности твоей благодарность бесконечную за заботу твою; все время ты меня со святыми писаниями посещаешь и печаль мою утоляешь. На сей раз этого достаточно.
Возмогай о Христѣ и Феодора, друга своего, якоже обычествовалъ еси, люби. И нѣкогда, во благополучно время, о тѣхъ вопросѣх моихъ ко мнѣ отпиши.[7]	Будь здоров, ради Христа, и Федора, друга своего, как и до сих пор, люби. И когда-нибудь, в подходящее время, об этих вопросах моих мне напиши.
ПОСЛАНИЕ МИТРОПОЛИТУ ДАНИИЛУ	ПОСЛАНИЕ МИТРОПОЛИТУ ДАНИИЛУ
Высокиа книжности разуму уроженному святѣйшему господину Даниилу, митрополиту всеа Руси, рабъ святыни твоеа Феодорець Ивановъ сынъ Карповъ челомъ биет.	От рождения наделенному пониманием высокой книжности святейшему господину Даниилу, митрополиту всея Руси, раб святыни твоей Феодорец Иванов сын Карпов челом бьет.
Право убо и достойно есть естеству и Писанию повелѣвающу, такова престола отца и добрѣ прилежаща учительству и сугубей чести и в бесчисленом хвалении имѣти подобаеть, наипаче разумнихъ, ученыхъ и мудрыхъ. Сего ради не оскудѣеть отвнутрь сердца моего любовь, ниже от арганъ гласа хвала, ниже от помысла честь величества твоего, но всегда честь, и имя твое, и хвалы прибыти желаю, донеле вещей естество в сѣмъ вѣцѣ пребудеть, от коих убо всѣхъ, якоже от словесъ епистолии твоей пресвѣтлѣйшей, научяюся. Пространѣе и полнѣе во иное время благополучное слово, изрядно тебѣ и твоимъ добродѣтелемъ, пригодно сотворимъ. Но нынѣ же, в настоящихъ, первая вина, еже запинаеть писати многаа — зане великими скорбьми одрьжимъ есмь.[8] Увы, нынѣ нѣсть мнѣ время епистолей слагати, но время належит рыданию, не бо плачевнаа книга Иеремѣина[9] толикихъ рыданий исполнена быти можеть, елико моа худая епистолиа. Втораа вина есть: аще хощеши, рече, иного да млъчить — первие самъ умлъчи, и яз нынѣ о тѣх, яже умыслихъ, млъчание устом моимъ налагаю.	Ведь это правильно и достойно по природе, и Писание повелевает к отцу такого престола, весьма усердного в поучениях, с особым почтением относиться и бесчисленные хвалы воздавать ему, который больше разумных, ученых и мудрых людей. Поэтому не истощится в сердце моем любовь, и голос мой не устанет от похвалы, и помыслы мои от почитания величия твоего, но всегда честь, и известность твою, и похвалы пополнить хочу, пока природа вещей в этой жизни останется неизменной, так что я добродетелями всеми твоими, как и словами послания твоего светлейшего, поучаюсь. Более пространное и полное, хорошее слово, приличествующее тебе и твоим добродетелям, мы в другое время должным образом составим. Теперь же, в настоящее время, первая причина, которая препятствует мне написать многое, — великая скорбь, в которой я ныне пребываю. Увы, сейчас время, не подходящее для написания посланий, но время для рыдания, ведь печальная книга Иеремии такими рыданиями не может быть наполнена, как мое дурное послание. Вторая причина такова: если хочешь, сказано, чтобы другой молчал — сначала сам замолчи, и я теперь о тех вещах, о которых задумал писать, молчание на уста свои налагаю.
Нынѣ убо что отвѣщаю тебѣ, и како пресвѣтлѣйшей епистолии твоей конець наложити возмогу, како бо возможно есть мнѣ, несвершеному, о свершенных и выших вещех свершенѣйшему тебѣ отвѣщати? Свѣтлѣйшая бо твоа епистолиа пользовати мнѣ тебя[10] пишеть, но како солнце, небесный свѣт, просить блистаниа от мирскиа вещи, море, водамъ мати, желаеть рѣчныа капли? Елико звѣзды отстоятъ от земли, и елико запад от въстока, и свѣтъ от тмы, и сладкое от горкаго, и бѣлость от черности, толико исповѣдую моему несвершению отстоати от твоего съвръшениа. Что убо напишу или что тебѣ подати — не вѣм. Обаче да не безблагодаренъ твоимъ благодѣяниемъ обрящуся, да не глухъ противу честных писаний твоихъ буду, пакы перо на похвалу обращу, добродѣтели зерцало именуа тебя, и поучениа златаго сладчайши арганъ написую тебѣ, славнѣйша свѣта учителю! Не сумнюся убо и звѣздою свѣтлою нарищи тебе, от нея же лучи злаго слуха не исходят. Ты свѣтилникъ горящъ, иже тмы омрачениа не вѣсть; ты благовонный цвѣтъ добродѣтели, иже смрада оклеветателнаго глушается; ты бисер всѣхъ благыхъ, ты свѣт учителемь, ты — уста Христова, ты глас небесный, ты книжник живота, иже о мнѣ, мнѣ и не хотящу, славиши мя честию, ей же убо не достоин есмь; вездѣ о мнѣ проповѣдаеши, и, писании твоими угоднѣйшими мене чествуа, поздравляеши, в нихъ же пакы ты, славны православныа церкви свѣт, солнца яснѣе, мой темный умъ, мракомъ невѣдѣниа омраченъ, къ осианию вѣчнаго свѣта призываеши, она и вышняа лѣпота человѣческие жизни, свѣтомъ премудрости просвѣщеная, путь нравомъ, писаниа таиньствомъ, правила живота, свѣтилникъ блудящимъ ногам моимъ на рѣкахъ Вавилонскихъ.[11] Что въздамъ попечению твоему, имъ же по вся дни о спасении душъ нашихъ печешися, святаго учениа настоанием, и святѣйшаго живота прежнихъ отецъ образомъ, и данною ко мнѣ епистолии твоей изобилиемъ? Ино не имам ничто, токмо благодарение и къ Богу молитвы обильними слезами въздати. Лѣпо есть и на всяко время на всякомъ мѣсте от всего сердца, целым умомъ, всѣми силами моими, свершеннымъ желаниемъ, дѣломъ и словом въ всемъ животѣ моемъ тебе возлюблю. И не язъ токмо, но и вси вѣрнии, правии сердцемъ, възлюбят и восхвалят тя, почтят и прославят тя купно со мною, иже тебя въчтена на святительство и наказана по отечьскаго закона и истиннѣ, аки отца чествують, и тебе всякою премудростию опасному вѣдѣниемъ наученому и учениа исполнену, аки вожу послѣдуютъ, жизнь, в ней же славятся блаженныхъ души неложно, наслѣдятъ. Твое бо учение свѣтлое темнаго Феодора просвѣщает, и по сихъ многая благодарениа воздаю тебе за твоа благодѣаниа, да безблагодарьствиа порокъ убѣжати возъмогу. Безъблагодарство бо врагь есть души, испражнение добродѣтелемъ, силам душевнымъ разсточение, добродѣйством пагуба и вѣтръ жгомы, изсушаа источникъ милости, росу благоутробиа и потокъ благодати смущая. Сеа ради вины прилѣженъ бѣхъ и прилѣжнѣе буду повелѣниемъ твоимъ всегда повиноватися и благодарение от себе благотворящимъ воздати, поне бо и звѣрие порокъ безъблагодарства бежати видимъ и спричастимые пищи хранити память. Азъ бо желаю, дабы писанейцо сие неученное твоимъ ученнымъ ушесем тако бы сладко было, якоже устомъ моимъ сладка твоа рыбица,[12] туне поданная.	Теперь же что я отвечу тебе и как смогу на светлейшее послание твое дать достойный ответ, как можно мне, несовершенному, о совершенных и возвышенных вещах отвечать тебе, совершенному? В светлейшем твоем послании ты просишь меня лечить тебя, но как может солнце, небесный свет, просить яркости у земных вещей, море, мать вод, желать речной капли? Насколько звезды отстоят от земли, и насколько запад от востока, и свет отличен от тьмы, и сладкое от горького, и белый цвет от черного, настолько, я считаю, мое несовершенство далеко отстоит от твоего совершенства. Что напишу и что тебе подам — не знаю. Но чтобы не остаться неблагодарным к твоим благодеяниям, чтобы не быть глухим к твоим истинным посланиям, я вновь перо на похвалу обращу, добродетели зеркалом тебя именуя, и напишу, что ты золотого поучения прекрасный инструмент, учитель, более света славный! Не усомнюсь и звездой светлой назвать тебя, от которой лучи дурные не исходят. Ты светильник горящий, который не омрачается; ты благовонный цветок добродетели, который смрада клеветы гнушается; ты жемчуг среди всех благ, ты свет среди учителей, ты — уста Христовы, ты глас небесный, ты проповедник жизни, даже вопреки моему желанию оказывающий мне честь, которой я не достоин; везде обо мне говоришь, и твоими замечательнейшими посланиями меня чествуешь и поздравляешь, в которых ты опять же, славный свет православной церкви, солнца яснее, мой темный ум, мраком неведения омраченный, к сиянию вечного света призываешь, ты — высшая красота человеческой жизни, светом премудрости просвещенная, путеводитель нравов, описание таинств, правила жизни, светильник для меня, ноги которого заблудились на реках Вавилонских. Как отвечу на заботу твою, с которой ты во все дни о спасении душ наших печешься, в святом учении наставлением, и святейшей жизни прежних отцов примером, и полученного мной послания твоего богатством? Я не могу воздать тебе ничем, кроме благодарности и к Богу молитвами с обильными слезами. Подобает, чтобы во всякое время на всяком месте всем сердцем, всей душой, всеми силами моими, чистосердечным желанием, делом и словом на протяжении всей жизни моей возлюбил тебя. И не я только, но и все правоверные, праведные сердцем, полюбят и восхвалят тебя, почтят и прославят тебя вместе со мной, те, которые любят тебя, поставленного владыкой и наученного в святоотеческом законе и истине, как отца чествуют, и за тобой, искушенным во всякой премудрости основательных знаний и преисполненным учения, как за главой пойдут, жизнь, в которой прославляются блаженных души неложно, унаследуют. Ибо твое учение светлое темного Федора просвещает, и поэтому я великую благодарность воздаю тебе за твои благодеяния, чтобы избежать порока неблагодарности. Ведь неблагодарность — враг души, исчезновение добродетелей, сил душевных истощение, добродетелям конец и ветер жгучий, иссушающий источник милости, росу милосердия и поток благодати смущающий. По этой причине я прилежно повиновался и еще прилежнее буду всегда повиноваться повелениям твоим и благодарность свою делающим благо воздавать, потому что и звери, как мы видим, избегают порока неблагодарности и о данной им пище хранят воспоминание. Ведь я желаю, чтобы сочиненьице это неученое для твоих ученых ушей столь же приятно было бы, как для уст моих была приятна твоя рыбица, даром мне данная.
По предиреченных же веледушна мя твориши к терпѣнию даже до конца, свѣтлѣйшими епистолии твоей совѣщании во скорбѣхъ и противствѣх моихъ. Но зане человѣци в сем мирѣ, скорбемъ подлежащие, въ разнныхъ чинѣхъ плавають, сего ради за провожение долгаго времени в настоящихъ такоже умыслихъ нѣчто тобѣ от малыхъ написати. И за разумъ тѣх спригодно то видяшеся послѣдующи сподвигнути слово: или дѣло народное, или царьство, или владычьство къ своей вѣчности паче приемлет правду или тръпѣние? Аще речемъ, яко тръпѣние паче есть потребно к соблюдению владычества или царства, тогда вотще сложены суть законы. Тогда обычаи святые и благые уставы разърушени и въ царствехъ, в начальствех, во градѣхъ, сожительство человѣкъ живеть безъ чину, или, аще к тому всемогий Богь безвѣстнаа и тайная премудрости своеа открылъ кому, или вселичнѣ мудростию упрѣмудрилъ, или думою укрѣпилъ, или ратнымъ духомъ въружил, вся сиа Духу наплъняти мнимъ о блазѣмъ. Кто можеть противитися Богу — помилованныхъ от Бога нищетою или несмотрениемъ казнити, и гдѣ паки положимъ святого апостола Павла поучениа: «Кто, — рече, — воиньствуеть своими оброки коли?»[13] Сирѣчь да царю въиньствуеть, а своими оброки довлится, а не царскими. И паки святый апостолъ Ияковъ глаголеть: «Се мзда, — рече, — дѣлателей, дѣлавших нивы ваша, лишена от васъ, въпиетъ; и вопиениа жавших въ уши Господа Саваофа внидоша».[14] И аще нивы жавших и дѣлавшихъ тацѣхъ кричание въ уши Господа Саваофа внидоша, мъзды не взявших, колицѣ ми мниши болши быти великы труды подъемлящихъ за царя и за царство, и крови проливающи, и самую душу полагающе, и мъзду малу приемлюще. Аще бо под тръпѣниемъ жити уставиши, тогда нѣсть треба царьству или владычьству правители и князи; престанет убо начальство, владычьство и господьство, и живется без чину; с молвою силный погнѣтет безсилнаго, да тръпѣние имать. Ниже треба будеть судей въ царствѣ имѣти, иже коемуждо правду учинят, зане тръпѣние вся исполънитъ, иде же въ тръпѣнии жити будуть.	Своими словами ты призываешь меня быть до конца стойким в терпении, в печалях и несчастьях моих, яснейшими советами послания твоего. Но поскольку люди, скорбям подверженные, в этом мире плавают, будучи в разном положении, поэтому для времяпрепровождения я сейчас также решил нечто краткое тебе написать. И для понимания этих вещей ты правильно, как мне кажется, поставил следующий вопрос: для устойчивости дела народного, или царства, или власти важнее правда или терпение? Если мы скажем, что терпение важнее для сохранения власти или царства, тогда напрасно составлены законы. Тогда обычаи священные и хорошие установления будут разрушены и в царствах, и в правительстве, и в городах, общество человеческое придет в беспорядок, а если ко всему прочему всемогущий Бог неизвестные и тайные премудрости свои открыл кому-нибудь, или всячески мудростью умудрил его, или в мыслях укрепил, или боевым духом вооружил, окажется, что все это Святой Дух совершил понапрасну. Кто может противиться Богу — помилованных Богом нищетой или невниманием наказывать, и как мы опять-таки поймем святого апостола Павла поучения: «Какой воин, — сказал он, — служит когда-либо на своем содержании?» То есть за царя воюет, а своим содержанием удовлетворяется, а не царским. И опять же святой апостол Иаков говорит: «Вот плата, — сказал он, — работников, работавших на полях ваших, удержанная вами, вопиет; и вопли жнецов дошли до слуха Господа Саваофа». И если крик жавших и обрабатывавших поля, не получивших платы, до слуха Господа Саваофа дошел, насколько, скажи мне, важнее те, кто великие труды совершает для царя и для царства, и кровь проливая, и самую душу отдавая, и плату малую получая. Ведь если ты установишь, чтобы с терпением жили, тогда не нужны для царства или власти правители и князья; итак, упразднить начальство, власть и господство, и будет жизнь беспорядочной; в буйстве сильный будет угнетать бессильного, пусть он терпит. И не нужны будут судьи в царстве, которые правду блюдут, потому что все разрешит терпение там, где в терпении жить будут.
