МАЛАЯ ЧЕЛОБИТНАЯ	МАЛАЯ ЧЕЛОБИТНАЯ
Государю благовѣрному царю и великому князю Ивану Васильевичу всеа Русии бьет челом холоп твой государевъ Ивашко, Семенов сынъ, Пересвѣтов,[1] чтобы еси, государь, пожаловал холопа своего, велѣлъ службишко моего посмотрити.	Государю благоверному царю и великому князю всея Руси Ивану Васильевичу бьет челом государев холоп Ивашка, сын Семена, Пересветов, чтобы ты, государь, пожаловал своего холопа и велел оценить мое уменье.
Коли есми выехал на твое государево имя и вывез есми образецъ тое службы[2] к тебѣ государю, и тот образецъ службы моей пред тобою пред государем клали. И ты, государь, образецъ службы моей смотрил и Михайлу Юрьевичу меня, холопа своего, приказал[3] и образцы службы моей Михайлу же дал. И Михайло Юрьевич образцы посмотрив и тебѣ, государю, службу мою похвалил и обо мнѣ тебѣ, государю, печаловался.	Когда я прибыл в твое распоряжение, я привез образчик этого уменья тебе, государь, и этот образчик моего уменья тебе, государь, представляли. И ты, государь, осмотрел образчик моего уменья и определил меня, твоего холопа, к Михаилу Юрьевичу и Михаилу же передал образчики моего уменья. А Михаил Юрьевич осмотрел образчики и похвалил перед тобой, государь, мое уменье и ходатайствовал за меня перед тобой, государь.
Дѣлати было, государь, мнѣ щиты гусарския[4] добраго мужа косая сажень, с клеем и с кожею сырицею, и с ыскрами, и с рожны желѣзными, — а тѣ, государь, щиты макидонсково оброзца.[5] А дѣлати их в ветляном древе, легко, добрѣ и крѣпко: один человѣкъ с щитом, гдѣ хощет, тут течет и на конѣ мчит. И тѣ щиты в поле заборона: из ближняго мѣста стрела немет, а пищаль из дальные цѣли неймет ручныя. А из-за тѣхъ щитов в поле с недругом добро битися огненною стрельбою из пищалей и из затинных,[6] з города. И приказал был еси государь Михайлу Юрьевичу мнѣ дати плотников к тому дѣлу и иных мастеровъ, которые мнѣ было надобеть к тому дѣлу. Да из-за тѣхъ же государь щитов на Волге[7] не похочет с недруг воинством своим берега дати, ино мочно, государь, у него твоим воинником из-за тѣхъ щитов берег взяти. И Михайлу Юрьевича борзо в животѣ не стало,[8] и вскоре преставися. И та, государь, служба моя задлялося. И тебе, государю, надобе ли службишко мое?	Взялся я, государь, изготавливать гусарские щиты в косую сажень крупного человека, с клеем, сыромятной кожей, каменьями и железными остриями, — это щиты, государь, по македонскому образцу. И если изготавливать их из древесины ветлы, то будет легко, надежно и крепко: с таким щитом и один человек может передвигаться как угодно или скакать на коне. А в поле эти щиты — защита: с близкого расстояния не возьмет стрела, а с дальнего боя не возьмет ручная пищаль. И в поле из-за этих щитов удобно вести огневую перестрелку с неприятелем из пищалей и из затинных пищалей, как из крепости. И ты, государь, приказал было Михаилу Юрьевичу для этого производства дать мне плотников и других мастеров, которые были нужны мне для этого производства. К тому же, государь, с этими щитами на Волге, где неприятель не пожелает подпустить к берегу своими войсками, так твои воины, государь, смогут отбить у него берег. Но скоро не стало в живых Михаила Юрьевича, он внезапно скончался. И уменье это мое, государь, пропадает. Не нужно ли тебе, государь, уменьице мое?
А выезду, государь, моему 11 лѣтъ,[9] а яз тебя, государя благовѣрнаго, доступити не могу. А яз тебѣ, государю, говорю надобя для твоего царскаго воинства мудрого, чтобы моя служба не мерла за мною, а тебѣ, государю, надобеть вскоре на недрузи твои. А велѣл бы еси, государь, дѣлати щиты на триста человѣкъ, да велѣлъ бы еси, государь, на триста коней юнодцких дѣлати щиты же, которые горазди смертною игрою играти противу недруга за християнскую вѣру и за тебя, государя, великого царя.	А с прибытья моего, государь, одиннадцать лет, а я к тебе, благоверный государь, доступа не имею. Я же тебе, государь, о себе говорю ради царского твоего воинственного духа, чтобы уменье мое не пропало втуне у меня, ведь тебе скоро, государь, на твоих неприятелей понадобится. Вот велел бы ты, государь, изготовить щиты для трехсот человек и велел бы ты, государь, на триста коней богатырских изготовить щиты, — для тех, кто горазд вести смертную игру с твоими неприятелями за веру христианскую и за тебя, государь великий царь.
Служил есми, государь, у угорского короля Вьянуша на Гусины граде[10] службу дворянскую на шесть коней, а имал есми, государь, на всякой конь по семи золотыхъ на двенатцать недѣль. А был есми, государь, там три годы в полку с Федриком с Сопѣжничиком,[11] было, государь, насъ дворян триста королевских, короля полскаго, а ездили есми с королевского вѣдомо к угорскому королю. А яз, государь, тѣ щиты видел там гусарския с оброзца с макидонсково.	Служил я, государь, у венгерского короля Яноша в городе Гусине рыцарскую службу с шестью всадниками, а на всякого получал, государь, по семи золотых на двенадцать недель. А пробыл я там, государь, три года в полку Фредерика Сапежича: было нас, государь, триста королевских рацарей польского короля, и с королевского ведома ездили мы к венгерскому королю. Там вот, государь, и видел я эти щиты гусарские по македонскому образцу.
Да служилъ, есми, государю, четцкому королю Фодыналу[12] дворянскую службу на семи коней, а имал есми, государь, на всякой конь по семи золотых на двенатцать недѣль. Было нас, государь, полсково короля пять сот, а был у нас гетман Андрѣй Точинской,[13] староста былъ бѣлской. Служили есми, государь, у чатцково короля три годы с вѣдомо полского короля, коли грамоты его с нами были. И оставя яз там дворянскую службу, и выехал есми на твое государево имя, слышавши от многих мудрецов, что быти тебѣ, государю, великому царю по небесному знамению.[14] И ты было, государь, своим царским жалованьем — помѣстьем пожаловал меня, холопа своего, гораздо. А с собою есми собинки вывез гораздо же.	Служил я также, государь, чешскому королю Фердинанду тоже рыцарскую службу с семью всадниками и получал на всякого по семи золотых на двенадцать недель. Было нас, государь, пять сотен от польского короля, а гетманом у нас был Андрей Точинский, староста бельский. Служили мы, государь, у чешского короля тоже три года с ведома польского короля, ведь были у нас его грамоты. Но, оставив там рыцарскую службу, прибыл я в твое распоряжение, потому что слышал от многих мудрецов, что быть тебе, государь, по небесному знаменью, великим царем. И пожаловал ты было меня, холопа своего, богато царским своим пожалованьем — поместьем. Да и добра с собой привез я порядочно.
И твое государь жалованье — помѣстье от великих людей от обиды нарядили пусто, а яз тебя, государя благовѣрнаго царя, доступити не могу, пожаловатися на них. Да и собинку есми, государь, изтерял, которую с собою вывез из королевствъ: в моих обидах и в волокитах вся пропала. Службу твою государеву служу: с Москвы на службу, а с службы к Москве, а в помѣстье, государь, в твоем жалованье, не дадут жити ни часу недруги. Нас, государь, приезжих людей не любят. И нынѣ, государь, от обидъ и от волокит наг и бос, и пѣшь. Служил есми, государь, трем королем,[15] а такия обиды ни в котором королевстве не видал. Что есми с собою собинки ни вывез, то все здѣ потерял в обидах, в волокитах. С Москвы на службу, а с службы к Москвѣ, а тебя, государя благовѣрнаго царя, доступити не мочно.	Но пожалованное тобой, государь, поместье опустошили притеснениями сильные люди, а я к тебе, государь, благоверному царю, подступиться не могу, пожаловаться на них. Да и добро, государь, я растратил, что с собою привез из королевств: все пропало за притеснениями и судебными волокитами. Служу я твою государеву службу: из Москвы — на службу, а со службы — в Москву, а в пожалованном тобой, государь, поместье враги и часу не дают пожить. Не любят, государь, нас, людей приезжих. И вот, государь, от притеснений и судебных волокит наг я, бос и пеш. Служил я, государь, трем королям, а таких притеснений ни в одном королевстве не видал. Что было с собой привез я добра, все здесь потратил за притеснениями и волокитами. Из Москвы на службу, со службы в Москву, а к тебе, государь, благоверному царю, подступиться невозможно.
Умилосердися, государь благовѣрный царь и великий князь Иван Васильевич всеа Русии, обыщи своим царьским обыском и оборони от насильных людей, чтобы холоп твой государевъ до конца не погиб и службы твоей царские не остал. А яз, холоп государевъ, слышачи про твое мудрое воинство и счасливое, ехал к тѣбе, государю, нароком для твоей мудрости, оставивше королевския службы богатыя.	Государь благоверный царь и великий князь всея Руси, Иван Васильевич, смилуйся, расследуй своим царским следствием и защити от насильников, чтоб не погиб окончательно холоп твой и службу твою не забросил. Ведь я, твой государев холоп, услышав о твоем воинственном духе и счастье, оставил доходную службу у королей и только ради этого твоего духа к тебе, государь, приехал.
БОЛЬШАЯ ЧЕЛОБИТНАЯ	БОЛЬШАЯ ЧЕЛОБИТНАЯ
Мудрость греческих философов и латынских дохтуровъ[16] и Петра, волоского воеводы.[17] А вывез сия рѣчи и дѣла царьския изо многихъ королевствъ ко благовѣрному царю и великому князю Ивану Васильевичу всеа Русии Иван, Семенов сынъ, Пересвѣтов.	Премудрости греческих философов, латинских докторов и Петра, молдавского воеводы. А привез эти изречения и царские бумаги из многих королевств благородному царю и великому князю всея Руси Иван, сын Семена, Пересветов.
