ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ	ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ
ПОВЕСТЬ ОТ ЖИТИЯ СВЯТЫХ НОВЫХ ЧЮДОТВОРЕЦ МУРОМСКИХ, БЛАГОВѢРНАГО, И ПРЕПОДОБНАГО, И ДОСТОХВАЛНАГО КНЯЗЯ ПЕТРА, НАРЕЧЕННАГО ВО ИНОЧЕСКОМ ЧИНУ ДАВИДА, И СУПРУГИ ЕГО, БЛАГОВѢРНЫЯ И ПРЕПОДОБНЫЯ И ДОСТОХВАЛНЫЯ КНЯГИНИ ФЕВРОНИИ, НАРЕЧЕННЫЯ ВО ИНОЧЕСКОМ ЧИНУ ЕУФРОСИНИИ	ПОВЕСТЬ О ЖИТИИ НОВЫХ МУРОМСКИХ СВЯТЫХ ЧУДОТВОРЦЕВ БЛАГОВЕРНОГО, И ПРЕПОДОБНОГО, И ДОСТОЙНОГО ПОХВАЛЫ КНЯЗЯ ПЕТРА, НАЗВАННОГО ВО ИНОЧЕСТВЕ ДАВИДОМ, И СУПРУГИ ЕГО, БЛАГОВЕРНОЙ И ПРЕПОДОБНОЙ И ДОСТОЙНОЙ ПОХВАЛЫ КНЯГИНИ ФЕВРОНИИ, НАЗВАННОЙ ВО ИНОЧЕСТВЕ ЕФРОСИНИЕЙ
Благослови, отче. Богу Отцу и сприсносущному Слову Божию — Сыну, и пресвятому и животворящему Духу, единому Божию естеству безначалному, купно в Троицы воспеваемому, и хвалимому, и славимому, и почитаемому, и превозносимому, и исповѣдуемому, и вѣруемому, и благодаримому, содѣтелю и творцу невидимому и неописанному, искони самосилно обычною си премуд ростию свершающему, и строящему всяческая, и просвѣщающему, и прославляющему, еже хотящу, своим самовластиемъ, якоже бо исперва сотвори на небеси аггелы своя, духы и слуги своя, огнь палящъ, умнии чинове, бестелесная воинества, ихже неисповѣдимо величество есть, тако и вся невидимая сотвори, о нихже недостижно есть уму человеческу, видимая же небесная стихия сотвори: солнце, и луну, и звѣзды, и на земли же древле созда человека по своему образу и от своего трисолнечьнаго Божества подобие тричислено дарова ему: умъ, яко отецъ слову; слово же исходит от него, яко сын посылаемо; на немже почиет духъ, яко у коегождо человека изо устъ слово без духа исходити не может, но духъ с словом исходит, ум же началствует.	Благослови, Отче. Слава Богу Отцу и вечно сущему Слову Божию — Сыну, и пресвятому и животворящему Духу, единому и безначальному Божию естеству, воедино в Троице воспеваемому, и восхваляемому, и прославляемому, и почитаемому, и превозносимому, и исповедуемому, в которого веруем и которого благодарим, создателю и творцу невидимому и неописанному, изначала по своей воле своею премудростию все свершающему, и создающему, и просвещающему, и прославляющему тех, кого изберет по своей воле, ибо прежде сотворил он ангелов своих на небесах, духов и слуг своих, огонь палящий, чины мысленные, бестелесное воинство, силу которого нельзя описать, и все невидимое сотворил, что непостижимо уму человеческому, сотворил и видимые небесные стихии: солнце, и луну, и звезды, а на земле же издревле создал человека по своему образу и подобные своему трехсолнечному Божеству три качества даровал ему: разум, ибо Он отец слова, и слово исходит от него, посылаемое, словно сын, на котором почиет дух, потому что уста каждого человека слов без духа произвести не могут, но слово с духом исходит, а разум руководит.
И да не продолжим слова в твари человечестей, но на предлежащее возвратимся.	Да закончим слово о сути человеческой и возвратимся к тому, о чем начали речь.
Богъ же безначалный, создав человека, почти и, надо всѣм земным существом царем постави и, любя же в человечестем роде вся праведники, грѣшныя же милуя, хотя бо всѣх спасти и в разум истинный привести. Егда же благоволением Отчим и своим хотѣнием и споспѣшеством святаго Духа единый от Троица Сынъ Божий, не ин ни инак, но той же Богь, Слово, Сынъ отчь, благоволи родитися на земли плотию от пречистыя девица Мария, и бысть человекъ, еже не бѣ не преложив божества; еже бѣ на земли ходя, никакоже отчих нѣдръ отлучися. И во страсть его божественое его естество безстрастно пребысть. Безстрастие же его неизреченно есть, и невозможно есть никакою притчею сказати, ни мощно к чесому приложити, занеже все тварь его есть; в твари же его разумѣваем безстрастие, ибо аще какову древу стоящу на земли, солнцу же с небеси сияющу на нь, в ту ж годину древу тому, аще ключится посекаему быти и сим страдати, ифиръ же солнечный от древа того не отступит, ниже спосѣкается з древом, ни стражет.	Бог же, не имеющий начала, создав человека, оказал почет ему — над всем, что существует на земле, поставил царем и, любя в человеческом роде всех праведников, грешников же прощая, захотел всех спасти и привести в истинный разум. И когда с Отчего благословения, по своей воле и с помощью святого Духа один из Троицы — Сын Божий не кто иной, как Бог, слово, Сын отца, соблаговолил родиться во плоти на земле от пречистой девы Марии, то и стал человеком, не изменив Божества своего; и, хотя по земле ходил, от отчих недр вовсе не отлучился. И в мучениях божественная сущность его не подверглась страданиям. И бесстрастие это его несказуемо, и никаким иносказанием не выразишь этого, ни с чем не сравнишь, потому что все создано им самим; и в творениях его есть бесстрастие — ведь вот, если дерево стоит на земле и солнце озаряет его и в это время окажется, что дерево то начнут рубить, и в этом заключается его страдание, то эфир солнечный, заключенный в нем, из него не исчезнет, тем более не погибнет с деревом, не страдает.
Глаголем же убо о солнце и о древѣ, понеже тварь его есть; зижител же и содѣтель неизглаголим есть. Сей бо пострада за ны плотию, грѣхи наша на крестѣ пригвозди, искупив ны миродержителя лестца ценою кровию своею честною. О сем бо рече сосуд избранный Павел: «Не будите раби человеком, куплени бо есте ценою». По распятии же господь наш Исус Христосъ тридневно воскресе, и в четыредесятный день вознесеся на небеса, и сѣде одесную Отца, и в пятидесятный день ото Отца послав Духъ святый на святыя своя ученики и апостолы. Они же всю вселенную просвѣтиша вѣрою, святым крещением.	Говорим же о солнце и о дереве потому, что это им сотворено, создатель же и творец этого словами определен быть не может. Он ведь плотью пострадал за нас, грехи наши к кресту пригвоздив, искупив нас у владыки мира дьявола ценою крови своей честной. Об этом так сказал избранник божий Павел: «Не будете рабами людей, ибо выкуплены дорогой ценой». А после распятия, через три дня, господь наш Иисус Христос воскрес, и на сороковой день вознесся на небо и сел справа от Отца, и на пятидесятый день послал от Отца Духа святого на святых своих учеников и апостолов. Они же всю вселенную просветили верою, святым крещением.
И елицы во Христа крестишася, во Христа облекошася. Аще ли же во Христа облекошася, да не отступают от заповѣдей его, не якоже лестцы и блазнители по крещении оставльше заповѣди Божия и лстяще ся мира его красотами, но якоже святии пророцы и апостоли, такоже и мученицы и вси святии, Христа ради страдавше в скорбех, в бедах, в теснотах, в ранах, в темницах, в нестроениих, трудѣх, во бдѣниих, в пощениих, в чищениих, в разумѣ, в долготерпѣнии, во благости, в Дусѣ святѣ, в любви нелицемѣрне, в словеси истиннѣ, в силѣ Божии, — иже свѣдоми суть Единому, вѣдущему тайны сердечныя, имиже землю просвѣтил есть, якоже небо звѣздами украси, и почтив их чюдотворенми, овых убо молитвъ ради и покаяния и трудов, овых же мужеств ради и смирения, якоже сих святых прослави, о нихже нам слово предлежит.	И те, кто в Христа крестились, во Христа облеклись. А если во Христа облеклись, пусть не отступают от заповедей его, как обманщики и лжецы, после крещения забывшие заповеди Божий и прельстившиеся соблазнами мира сего, но как святые пророки и апостолы, а также мученики и все святые, ради Христа страдавшие, перенося скорби, и беды, и притеснения, и раны, находясь в темницах, неустроенные в жизни, в трудах, в бдениях, в постах, в покаянии, в размышлениях, в долготерпении, в благости, пребывая в Духе святом, в нелицемерной любви, в словах правды, в силе Божьей — все они известны Единому, который знает все тайны сердечные, которыми землю осветил, как небо украсил звездами, почтил их даром чудотворения — одних ради молитв, и покаяния, и трудов, других же — твердости ради и смирения, как и тех святых прославил, о которых будет наша повесть.
I	I
Се убо в Русийстей земли град, нарицаемый Муром,[1] в немже бѣ самодержьствуяй благовѣрный князь, яко повѣдаху, именем Павел. Искони же ненавидяй добра роду человечю дьявол всели неприязненаго летящаго змия к женѣ князя того на блуд. И являшеся ей своими мечты, якоже бяше и естеством; приходящим же людем являшеся, якоже князь сам сѣдяше с женою своею. Тѣми же мечты многа времена преидоша. Жена же сего не таяше, но повѣдаше князю, мужеви своему, вся ключшаяся ей. Змий же неприязнивый осили над нею.	Есть в Русской земле город, называемый Муромом, в котором правил, как рассказывают, благоверный князь по имени Павел. Но дьявол, испокон веку ненавидящий благо человеческого рода, послал жене князя на блудное дело злого крылатого змея. Он являлся ей в видениях таким, каким был по своей природе, а посторонним людям казалось, что это сам князь с женою своею сидит. Долго продолжалось такое наваждение. Жена же этого не скрывала и рассказала о всем, что с ней произошло, князю, мужу своему. А злой змей силой овладел ею.
Князь же мысляше, что змиеви сотворити, но недоумѣяшеся. И рече женѣ си: «Мыслю жено, но недоумѣюся, что сотворити неприязни тому? Смерти убо не вѣм, каку нанесу на нь? Аще убо глаголеть к тебѣ какова словеса, да воспросиши и с лестию и о сем: вѣст ли сей неприязнивым духом своим, от чего ему смерть хощет быти? Аще ли увѣси и нам повѣдаеши, свободишися не токмо в нынешнем вѣце злаго его дыханиа и сипѣния и всего скарядия, еже смрадно есть глаголати, но и в будущий вѣк нелицемѣрнаго судию Христа милостива себѣ сотвориши». Жена же мужа своего глаголъ в сердци си твердо приимши, умысли во умѣ своем: «Добро тако быти».	Князь стал думать, как поступить со змеем, но был в недоумении. И говорит жене: «Раздумываю, жена, но не могу придумать, чем одолеть этого злодея? Не знаю — как убить его? Когда станет он говорить с тобой, спроси, обольщая его, вот о чем: ведает ли этот злодей сам — от чего ему смерть должна приключиться? Если узнаешь об этом и нам поведаешь, то освободишься не только в этой жизнь от злосмрадного дыхания и шипения его и всего этого бесстыдства, о чем даже говорить срамно, но и в будущей жизни нелицемерного судью, Христа, тем умилостивишь». Слова мужа своего жена накрепко запечатлела в сердце своем, и решила она: пусть так и будет.
Во един же от дний неприязнивому тому змию пришедшу к ней, она же, добру память при сердцы имѣя, глаголъ с лестию предлагает к неприязни той, глаголя многи иныя рѣчи, и по сих с почтением воспросив его, хваля, рече бо, яко: «Много вѣси, и вѣси ли кончину си, какова будет и от чего?» Он же, неприязивый прелестник, прелщен добрым прелщением от вѣрныя жены, яко непщева тайну к ней изрещи, глаголя: «Смерть моя есть от Петрова плеча, от Агрикова же меча».[2] Жена же, слышав таковую рѣчь, в сердцы си твердо сохрани и по отшествии неприязниваго того повѣда князю, мужеви своему, якоже реклъ есть змий. Князь же, то слышав, недоумѣяшеся, — что есть смерть от Петрова плеча и от Агрикова меча?	И вот однажды, когда пришел к ней этот злой змей, она, крепко храня в сердце слова мужа, обращается к этому злодею с льстивыми речами, говоря о том и о другом, а под конец с почтением восхваляя его, спрашивает: «Много всего ты знаешь, а знаешь ли про смерть свою — какой она будет и от чего?» Он же, злой обманщик, обманут был простительным обманом верной жены, ибо, пренебрегши тем, что тайну ей открывает, сказал: «Смерть мне суждена от Петрова плеча, от Агрикова меча». Жена же, услыхав эти слова, накрепко запомнила их в сердце своем и, когда этот злодей ушел, поведала князю, мужу своему то, что сказал ей змей. Князь же, услышав это, недоумевал — что значит: смерть от Петрова плеча и от Агрикова меча?
Имѣяше же у себе приснаго брата, именем князя Петра.[3] Во един же от дний призвав его к себѣ и нача ему повѣдати змиевы рѣчи, якоже реклъ есть женѣ его. Князь же Петръ, слышав от брата своего, яко змий нарече тезоиме-нита ему исходатая смерти своей, нача мыслити, не сумняся мужествене, како бы убити змиа. Но и еще бяше в нем мысль, яко не вѣдыи Агрикова меча.	А у князя был родной брат по имени Петр. Как-то Павел позвал его к себе и стал говорить ему о словах змея, которые тот сказал жене его. Князь же Петр, услыхав от брата своего, что змей назвал виновника смерти своей его именем, стал думать, без колебаний и сомнений, как убить змея. Только одно смущало его — не ведал он ничего об Агриковом мече.
Имѣяше же обычай ходити по церквам уединяяся. Бѣ же внѣ града церковь в женстем монастыри Воздвижение честнаго и животворящаго креста.[4] И прииде к ней един помолитися. Яви же ся ему отроча, глаголя: «Княже! Хощеши ли, да покажу ти Агриков мечь?» Он же, хотя желание свое исполнити, рече: «Да вижу, гдѣ есть!» Рече же отроча: «Иди вслѣд мене». И показа ему во олтарной стенѣ межу керемидома скважню, в ней же лежаше мечь. Благовѣрный же князь Петръ, взем меч той, прииде и повѣда брату своему. И от того дни искаше подобна времени, да убиет змия.	Было у Петра в обычае ходить в одиночестве по церквам. А за городом стояла в женском монастыре церковь Воздвижения честного и животворящего креста. Пришел он в нее один помолиться. И вот явился ему отрок, говоря: «Княже! Хочешь, я покажу тебе Агриков меч?» Он же, стремясь исполнить задуманное, ответил: «Да увижу, где он!» Отрок же сказал: «Иди вслед за мной». И показал князю в алтарной стене меж плитами щель, а в ней лежал меч. Тогда благоверный князь Петр взял тот меч, пошел к брату и поведал ему о всем. И с того дня стал искать подходящего случая, чтобы убить змея.
