ХОЖДЕНИЕ НА ВОСТОК ГОСТЯ ВАСИЛИЯ ПОЗНЯКОВА С ТОВАРИЩИ[1]	ХОЖДЕНИЕ НА ВОСТОК ГОСТЯ ВАСИЛИЯ ПОЗНЯКОВА С ТОВАРИЩИ
Лѣта 7067-го[2] государь царь и великий князь Иван Васильевичь всеа Русии при благоверной царицы и великой княгини Анастасии, и при царевичехъ Иванне и Феодоре,[3] и при святейшемъ папе и патриархе Макарии, митрополите[4] всеа Русии, и при архиепископе новгородскомъ Пимине[5] посылал во Царьгородъ,[6] и во Иерусалим, и во Египетъ,[7] и в Синайскую гору[8] новгородцкого архидьякона Генадия,[9] да гостя Василия Познякова, да Дорофея Смольнина, да Кузьму Салтанова, псковитина.[10] И Генадий нѣдошед Иерусалима в Цареграде прѣставися. А Василей Пазняковъ с товарищи во святемъ граде Иерусалимѣ, и во Египте, и в Синайской горе, и в Раифе[11] были, и чьто тамо видели, то сущее и написали. И опять пришли во царствующий градъ Москву.	В 7067 <1559>-м году государь царь и великий князь Иван Васильевич всея Руси при благоверной царице и великой княгине Анастасии, и при царевичах Иване и Феодоре, и при святейшем папе и патриархе Макарии, митрополите всея Руси, и при архиепископе новгородском Пимене послал в Царьград, Иерусалим, Египет и в Синайскую гору новгородского архидиакона Геннадия и купца Василия Познякова, да Дорофея Смолянина, да Кузьму Салтанова, псковитянина. Геннадий, не достигнув Иерусалима, умер в Царь-граде. А Василий Позняков с товарищами побывали в святом граде Иерусалиме, и в Египте, и в Синайской горе, и в Раифе, и что там видели, то бывшее и описали. И вернулись в царствующий град Москву.
А приходъ ихъ — перьвое, пришьли во Египетъ к папе[12] и патриарху Иакиму александрийскому[13] и начаша ему о государи цари и великого князя здравии сказывати: «Благоверный и христолюбивый царь и великий князь Иван Васильевичь всеа Русии здравствуетъ, отче». Такоже и о благоверной царицы и великой княгини Анастасии и о царевичехъ — о Иваньнѣ и о царевиче Феодоре. Воспроси же насъ о митрополите. Мы же о митрополите рѣкохомъ ему: «Макарей, митрополитъ великого града Москвы и всеа Русии, велел тобѣ, святейшему папе и патриарху Иакиму, челом ударити». И поклонихомся до земля. Онъ же рекъ намъ: «Какъ Богъ милуетъ брата нашего Макария, митрополита всеа Русии, и како церьковъ Христову пасетъ и словесное стадо?» — Мы же отвещахомъ ему: «Молитвами вашими здравствуетъ о Христе и церьковъ Христову хранитъ целу и нѣпорочну». И вземъ у насъ пречестный образ и шубу.[14] И благослови насъ своимъ благословением, и вели к собѣ кресло принести и насъ, возле собя велел поставити кресло, понеже в полате его лавокъ нѣтъ, а срѣда наслана ковры шолковыми. Самъ же сяде и намъ велелъ сесьти возлѣ собя. И емъ насъ за руку и велел толмачю говорити[15]: «Подобаѣт де намъ спрашивати васъ про вашу веру православную и о Божиихъ церквах стоячи. И вы де на мѣня нѣ позазрите в томъ, занеже нѣмощен есмъ вельми, 19 дней лежал есьми на одре своемъ, а ныне, мню, Богъ мя от одра воздвиг вашего ради пришестьвия». Мы же ему поклонихомся до земли и рекохом ему: «Вашими святыми молитвами миръ стоитъ». И нача насъ вопрошати о строении нашего царьства. Мы же ему вси истинну поведахомъ, и како нашему государю покоришася многие царьства иноверныхъ,[16] и государь велелъ в техъ царьствах святые церкви устроити и провославие. И онъ возревъ на образъ, прѣкрестися и посмотревъ печати царьские и воспроси нас: «Благоверный, де, царь на сей печати на конѣ?»[17] Мы же рекохомъ ему: «На кони, государь». Он же воставъ с кресла и поклонися до земли Прѣчистые образу, ото очию же его слезы вельми течаху. И глаголюще: «Укрѣпи, Господи, православного царя!». Мы же зряще на Пречестъные ѣго образ, не могохомъ удерьжатися от слез. И глаголюще к намъ: «В нашихъ, де, в греческихъ книгахъ пишетъ, яко востанетъ царь от восточныя страны православной и покоритъ ему Богъ многие царьства.[18] И будетъ имя его славно от востока и до запада, якоже и древняго царя Олександра Макидонского.[19] И сядетъ на престоле града царьствующаго, да и мы же избавлени будемъ его рукою от безбожных турков». И повеле сести и вопрошаше нас: «Како в вашей стране во святыхъ церквахъ соверьшаетца божественное пение?[20] И како крестьянѣ живутъ? И како церкви стоятъ?»	А путешествие их таково: сначала пришли в Египет к папе и патриарху александрийскому Иоакиму и стали ему говорить о здравии государя царя и великого князя: «Благоверный и христолюбивый царь и великий князь Иван Васильевич всея Руси здравствует, отче». Также и о благоверной царице и великой княгине Анастасии, и о царевичах — об Иване и Феодоре. Он же спросил нас о митрополите. И мы о митрополите ему сказали: «Макарий, митрополит великого града Москвы и всея Руси, велел тебе, святейшему папе и патриарху Иоакиму, челом ударить». И мы поклонились до земли. Он же сказал нам: «Как Бог милует брата нашего Макария, митрополита всея Руси, и как он церковь Христову пасет и словесное стадо?» Мы же отвечали ему: «Здравствует вашими молитвами о Христе и церковь Христову хранит целой и непорочной». Он взял у нас Пречестной образ и шубу. И благословил нас своим благословением, и велел принести кресло, и для нас возле себя велел поставить кресло, потому что в палате его лавок нет, а середина застлана шелковыми коврами. Сам же он сел и нам велел сесть возле себя. И взял нас за руку и велел переводчику говорить: «Нам подобает, де, спрашивать вас про вашу веру православную и о Божьих церквах стоя. И вы, де, меня не осудите в том, оттого что я весьма немощен, девятнадцать дней лежал на постели своей, а ныне, думаю, Бог меня поднял с постели ради вашего прибытия». Мы же ему поклонились до земли и сказали ему: «Вашими святыми молитвами мир стоит». И стал он нас расспрашивать о строении нашего царства. Мы же ему поведали всю правду, и как нашему государю покорились многие царства иноверных, а государь велел в тех царствах устроить святые церкви и православие. А он воззрел на образ, перекрестился и, осмотрев печати царские, спросил нас: «Это благоверный, де, царь на сей печати на коне?» Мы же ему сказали: «На коне, государь». Он же встал с кресла и поклонился до земли образу Пречистой, а из глаз его обильно текли слезы. И сказал он: «Укрепи, Господи, православного царя!» Мы тоже, глядя на образ Пречистой, не могли удержаться от слез. И сказал он нам: «В наших, де, греческих книгах написано, что поднимется царь из восточной страны православной и подчинит ему Бог многие царства. И будет имя его славно от востока и до запада, как и древнего царя Александра Македонского. И сядет он на престоле града царствующего, а мы избавлены будем с его помощью от безбожных турок». Он велел нам сесть и стал нас спрашивать: «Как в вашей стране в святых церквах совершается божественная служба? И как живут христиане? И как церкви стоят?»
Мы же ему вся исповедахомъ: «Есть, государь, у нашего государя в Московском царьстве святыхъ церквей безчисленно много, а пение в нихъ божестьвенное по вся дни нѣ во едино врѣмя, но вся часы. Есть, господине, церькви ружьные,[21] что поютъ в нихъ на перьвом часу утреньнюю божественную литурьгию, а в ыныхъ утрѣньную с полунощи, а литурьгию на третьемъ часу дни, а в ыных утрѣньнюю пред зарею, а литурьгию на четвертом часу дни и на пятом, а вечерьню потому же и рано и поздно». Он же отвеща намъ: «Богъ да благословитъ и укрѣпитъ вашего государя царя и царевичей, и их царьства; миром оградитъ давшего вамъ таковую благодать славити собя на земли безпрестанно. Ангелы бо его на небесех славятъ непрестанно, а вы на земли».	Мы же ему обо всем рассказали: «Есть, государь, у нашего государя в Московском царстве святых церквей бесчисленное множество, а служба в них божественная ведется повседневно не одновременно, а в разные часы. Есть, господин, церкви ружные, в которых служат в первом часу утреннюю божественную литургию, а в иных заутреню с полуночи, а литургию в третьем часу дня, а в иных заутреню перед зарей, а литургию на четвертом часу дня и на пятом, а вечернюю так же — и рано и поздно». Он же ответил нам: «Бог да благословит и укрепит вашего государя царя и царевичей и их царства; миром оградит давшего вам такую благодать — славить себя на земле непрестанно. Ангелы его славят непрестанно на небесах, а вы на земле».
И еще нас вопрошаетъ: «Есть ли в вашей земли, в государстве царьстве иноверных — жидове, и бусормане, и ерѣтицы, и ковти, и арьмены,[22] и протчая ихъ проклятая вера — ересь? Живут ли домами своими?» Мы же рекохомъ: «Никако, владыко. У нашего государя в царьстве жилища имъ нетъ. Жидомъ государь и торговать нѣ велитъ[23] впускать во свою землю». Он же воставъ со престола, сотвори молитву и поклонися до земля и рече: «Богъ да проститъ царя, государя и великого князя Ивана Васильевича всеа Русии и его царевичѣвъ Иванна и Феодора, что отогнали прѣбеззаконных жидовъ, аки волковъ, от стада Христова». И рече к намъ: «Мы, братие, нарицаемся крестиянѣ. А от нихъ велие нужды терьпим имени ради Христова». И нача плакати вельми. Мы же зряще на него, пречестный образ, нѣ могохомъ удерьжатися от слезъ и молихомъ его со слезами, дабы намъ на пользу изрекъ свои крестьянскии нужи. Онъ же посѣдевъ мало и нача намъ сказывати толмачом старцомъ Моисеомъ Савина монастыря.[24]	И еще он нас спрашивает: «Есть ли в вашей земле — в государстве-царстве — иноверные: евреи, и бусурманы, и еретики, и копты, и армяне, и прочая их проклятая вера — ересь? Живут ли домами своими?» Мы же говорили ему: «Нет, владыко. У нашего государя в царстве жилья им нет. Не велит евреям государь ни торговать, ни впускать их в свою землю». Он же, встав с престола, сотворил молитву, поклонился до земли и сказал: «Бог да простит царя, государя и великого князя Ивана Васильевича всея Руси и его царевичей Ивана и Феодора, которые отогнали беззаконных евреев, как волков, от стада Христова». И говорил нам: «Мы, братия, называемся христианами. А от них терпим великие трудности ради имени Христова». И начал он сильно плакать. Мы же, глядя на его пречестной лик, не могли удержаться от слез и молили его слезно, чтобы он перечислил свои христианские нужды нам на пользу. Он же, посидев немного, стал нам рассказывать с помощью переводчика Моисея, старца Саввина монастыря.
Был де во Египте царь греческий, имя ему Гаврилъ,[25] а нѣверием турчанинъ; а на крестьянъ золъ добре, злѣе нынешнихъ турковъ. А у него былъ братъ жидовин, хитръ добрѣ. Дивно же исповедати о преславномъ папе олександрийском Иакимѣ и о его терьпении.[26]	Был, де, в Египте царь мамелюкский, имя ему Гаврила, а неверием чистый турок; на христиан был особенно зол, злее нынешних турок. У него был брат иудей, очень умный. Удивительное же рассказывается о преславном папе александрийском Иоакиме и о его терпении.
Той же врачь-жидовин восхоте во Египте всех християнъ погубити. И пришед ко царю египетцкому Гаврилу: «Живутъ, царю, у тебя во Египте крестьяне и не достоитъ им на твоей земли жити, зане погани суть и неправая их вера. Вели имъ свою турскую веру дерьжати или нашу жидовскую». И рече ему царь: «Яз бы ихъ до вечера потуръчил; да есть у них старецъ патриархъ, а называютъ его свята. И яз того боюсь». И рече ему жидовин: «Нѣ бойся ты, царю, того старца, да ими его в мою руку. И язъ ему дам таково зелие — пол-лошки выпить, — и онъ в полчаса живъ нѣ будетъ». Царь же рече ему: «Аще того старца предашь смерти, то всех крестиянъ потурчю». И повеле царь патриарху быти у собя.	Этот врач-иудей захотел погубить всех христиан в Египте. Он пришел к египетскому царю Гавриле: «Живут, царь, у тебя в Египте христиане, а не следует им на твоей земле жить, потому что они язычники, а вера их неправая. Вели им держаться своей турецкой веры или нашей иудейской». И сказал ему царь: «Я бы их до вечера отуречил, да есть у них старец патриарх, и называют его святым. И я его боюсь». И сказал ему иудей: «Не бойся ты, царь, этого старца, отдай его мне в руки. И я ему дам такого зелья — пол-ложки выпьет, и через полчаса он жив не будет». Царь же ему ответил: «Если ты того старца предашь смерти, то я всех христиан отуречу». И приказал царь патриарху быть у себя.
Патриархъ же приде предъ царя, и рече ему врач жидовин: «Старче, остави свою веру и возьми турскую веру или нашу жидовскую прямую веру, а ваша не премая крестьянская вера».	Патриарх же пришел к царю, и сказал ему врач-иудей: «Старче, оставь свою веру и прими турецкую веру или нашу иудейскую правую веру, а ваша христианская вера неправая».
Патриярхъ же отвеща ко царю: «Царю, мы вашие веры турски и жидовские веры не хулим. А наша православная християнская прямая вера, добрая». Жидовин же рече к патриарху: «То правда ли, в вашихъ книгахъ написано, аще кто и смертно что изопиетъ, не вредитъ их?»[27] Патриархъ же рече: «Истинна есть, правда». Речѣ же жидовинъ: «А коли то правда написано, можеш ли у меня смертно зелие испить за свою веру?» Патриархъ же рече: «Готовъ есми за Христа моего умрети и за православную веру. Сесьчасъ давай что хощѣши». Жидовинъ же ко царю рече: «Дай ми, царю, до семова же дни сроку». А прение у нихъ было пред царемъ в воскресение. Царь повеле патриарху в таковъ же день быти пред собою. Патриархъ же, рече, пришед в домъ свой, и созва всехъ християнъ. И сказа имъ вся, что у них прение было пред царемъ со врачем жидовином о верѣ крестьяньстей и что ему пити сьмертное зелие от его рукъ. И рече имъ патриархъ: «Отцы и братия, помолитѣся Господу Богу и пречистые его Матери, да сохраненъ бы был от пребезаконного жида; да аще и смерть вкушу за православную веру и иду преже васъ к Богу, к небесному царю и умолю о васъ небеснаго царя, и все приимете сугубыя венцы от руки Господня. И аще и муки приимете, и будете новые страдальцы в нынешнем роде. А не мозите, братие, отступити от православныя веры и прѣмените скорьбь мою на радость».	Патриарх же отвечал царю: «Царь, мы ваши веры — турецкую и иудейскую — не хулим. А наша православная христианская вера правая, добрая». Иудей же сказал патриарху: «Это правда ли, что в ваших книгах написано, если кто и смертельное зелье выпьет, то не повредит оно им?» Патриарх же ответил: «Истинная правда». Иудей же сказал: «А если это вправду написано, можешь ли мое смертельное зелье выпить за свою веру?» Патриарх ответил: «Я готов умереть за Христа моего и за православную веру. Сразу давай что хочешь». Иудей же сказал царю: «Дай мне, царь, неделю сроку». А спор у них был перед царем в воскресенье. Царь приказал патриарху через неделю быть у него. Патриарх, придя к себе домой, созвал всех христиан. Он сказал им все — что у них был спор перед царем с врачом-иудеем о христианской вере и что ему предстоит выпить смертельное зелье из его рук. И сказал им патриарх: «Отцы и братия, помолитесь Господу Богу и пречистой его Матери, чтобы сохранили меня от беззаконного иудея; если же я умру за православную веру, то предстану раньше вас перед Богом и небесным царем и умолю о вас небесного царя, и вы все сугубые примете венцы из рук Господних. А если и муки примете, то станете новыми страдальцами в нынешнем роде. Но не думайте, братие, отступить от православной веры и смените скорбь мою на радость».
Они же падоша на нозе его, со слезами глаголюще: «Владыко, нѣ остави насъ дабы и мы ту смертную чашу пили, которую ты имешь пити. Не мни, владыко яко бы намъ отврещися истинные веры; аще ты смерьти прѣданъ будеши, то ни единъ от нас не изыдетъ с царьского двора не вкусивъ смерти». И пришед в домы своя, затворишася на всю неделю, нѣ схожьдаху из домовъ своих, молишася Богу со слезами.	Они же пали к ногам его, говоря со слезами: «Владыко, не оставь нас, сделай так, чтобы и мы ту смертную чашу пили, которую тебе дадут пить. Не думай, владыко, что мы отречемся от истинной веры; если ты умрешь, ни один из нас не уйдет с царского двора, не вкусив смерти». И, придя к себе домой, затворились они на всю неделю и не выходили из домов своих, молясь Богу со слезами.
Патриархъ же в посте прѣбываше всю неделю и мало сна вкушаше. И егда прииде день Воскресение Христово и поиде патриархъ к заутрени к чюдотворцу Николы[28] и ста на своемъ на обычном месте и скорьбяше о томъ, како ему пити зелие отравное и вельми смутися. И на девятой песьни[29] стоя о посохе, и воздрѣма мало виде черес сонъ — из олторя исходящу жену в белых ризах и с нею два уноши. Жена же приидѣ к месту к патриаръху и речѣ ему: «Старче, дерзай, не бойся, аз есмь с тобою». В онь же возревъ и виде священника прѣд собою с кандиломъ стояща. Он же прииде ко иконы Пречистыя Богородицы и падъ поклонися до земля со слезами, прослави Бога. И в той часъ отойде от него скорьбь и прииде ему на сердце радость великая. И отпевъ утреньнюю и служаше сам божестьвенную литурьгию и причастися божестьвенных тайнъ. И мнози крестиянѣ, мужи и жены, взяша от святыя руки его святое комкание, готовящесь с патриярхом на смертный часъ. Патриархъ же благослови ихъ своими руками и прослезися пред ними, моля их, дабы не отверьглися истиннаго Бога. Они же со слезами и сь великим воплем целоваху его и обещась ему едину смертную чашу с нимъ пити и кровъ свою за Христа пролити.	Патриарх же в посте пребывал всю неделю и бодрствовал. И когда настал день Воскресения Христова, патриарх пошел к заутрене в храм чудотворца Николая, и встал на своем обычном месте, и скорбел о том, что ему пить зелье отравное, и был в смятении великом. Во время девятой песни он стоял, опершись о посох, и, слегка задремав, увидел во сне, как из алтаря вышла жена в белых ризах и с нею двое юношей. Жена подошла к патриарху и сказала ему: «Старче, дерзай, не бойся, я с тобою». Он же вгляделся и увидел перед собою священника, стоящего с кадилом. Тогда он подошел к иконе Пречистой Богородицы и поклонился до земли со слезами, славя Бога. И сразу оставила его скорбь, и пришла ему на сердце радость великая. И, отстояв заутреню, он отслужил сам божественную литургию и причастился божественных тайн. И многие христиане, мужчины и женщины, причащались из его рук и готовились вместе с патриархом к смертному часу. Патриарх же благословил их своими руками и прослезился перед ними, умоляя их, чтобы они не отрекались от истинного Бога. Они же со слезами и с великим плачем целовали его и обещали вместе с ним испить смертную чашу и кровь свою за Христа пролить.
