Како Отапатъ взятъ бысть	Как была взята Иотапата
Уеспасиянъ[1] же се съ своимъ сыномъ Титомъ[2] и въ Птолѣимадѣ[3] пребываа, искушаше вои и писаше, кождо какъ ихъ есть. И Плакида же, иже бысть посланъ на воевание галилѣйско, хотя славу взяти, и устрѣмися на Иотопатъ,[4] иже есть стлъный градъ галилѣйскый и твержий. Но не улучи упования. Гражане же очютивше пришествие ихъ, сташа прѣдъ градомъ исплъчившеся, и снемшеся съ римскыми плъкы, скоро побѣдиша ихъ, и язвивше много ихъ, и убивше 7 мужь. Зане не обычай имъ есть обратити плещи, когда побѣжени будуть, но тихо отступають, яко не знати бѣгания ихъ.	А Веспасиан со своим сыном Титом, пребывая в Птолемаиде, испытывал воинов и писал, каков каждый из них. Плацид же, который был послан вести войну в Галилее, желая добиться славы, устремился на Иотапату, столичный город Галилеи, укрепленный лучше других. Но не достиг того, на что надеялся. Ибо горожане, узнав об их наступлении, стали перед городом, изготовившись к бою, и, схватившись с римскими полками, скоро победили их, многих ранив и убив семь человек. Ведь не в обычае у них обращать спину, когда они терпят поражение, но отступают понемногу, так что бегство их оказывается незаметным.
И абие Еуспасианъ погна от Птоломаиды и на Галилѣю, и повелѣ воемъ ходити яко обычай есть римляномъ: стрѣлцемъ и легкооружником напереде, да блюдуть внезапнаго приезда противныхъ и испытають, егда когда будуть съкрыти вои по лѣсомъ; и по них ити бронистьцемь, едина чясть конникъ, а другаа пешець; и по нихъ путедѣлци, идеже тѣсно и люто, сѣкуще и равнающе, да не трудятся лютымъ путемъ; и по нихъ игемонъ товаръ и воеводстий и конници на съблюдение его; и потомъ съ избранными сам конникы и пешци; и по немъ осли и мскы, несуще съсуды, имиже грады възимаху; и по тѣхъ начялници спирамъ[5] и воеводы, окрестъ же ихъ избраннии вои; и потомъ хоругви наричемыи орелъ, зане се есть цѣсарь всѣмъ птицамъ и крѣплий всѣхъ, и устрѣтение его побѣды являеть. И тѣмъ въслѣдоваху трубници, и по нихъ плъкъ, расширився на 6 частѣй; и по нихъ сотникъ призирая чины; и по них стражие конници и пешци съ оружиемъ, стрегуще зада.	Веспасиан же сразу двинулся от Птолемаиды на Галилею и приказал воинам выступать, как это заведено у римлян: впереди стрелки и легковооруженные, которые должны вести наблюдение на случай внезапного приближения противника и разведывать, не спрятаны ли отряды по лесам; за ними следуют латники, частью — всадники, частью — пехотинцы; и вслед за ними — путепроходчики, которые рубят лес и разравнивают дорогу в тесных и труднопроходимых местах, чтобы <воины> не уставали от тяжелого пути; за ними — обоз полководца и военачальников и всадники для его охраны; потом сам <полководец> с отборными <частями> конницы и пехоты, и за ним — ослы и мулы, везущие приспособления, при помощи которых они брали города; а за ними — предводители спир и военачальники, и при них — отборные воины; потом — значки, которые называют «орел», потому что это царь над всеми птицами, — он сильнее всех, и встреча с ним предвещает победу. И за ними следовали трубачи, затем — войско, разделяющееся на шесть частей, и далее — сотник, надзирающий за строем, и за ними — сторожевой отряд из всадников и пехотинцев с оружием, охраняющих задние ряды.
И видѣвше их галилѣяне ужасошася вси, и мнози начяша раскаиватися. Иже окрестъ Иосифа, прежде видѣния разбѣгошяся съ Иосифомъ къ Тивириадѣ.[6]	И все галилеяне, увидев их, ужаснулись, и многие начали раскаиваться. Те, что были при Иосифе, еще прежде, чем увидели, бежали с Иосифом к Тибериаде.
Исплънишася страха вси тивириане, разумѣюще, яко не бѣжалъ бы и Иосифъ, аще бы ся не отчаялъ. То смотряше, како конець будеть иудѣомъ, и вѣдяше, яко нѣсть имъ спасениа, аще не покаются, а самъ чаяше прощениа от римлянъ. Но обаче съ людми изволи умрѣти, негли предати отечьство и власть, преданную ему. И написа къ властелемъ иерусалимъскымъ о всемъ съ истинною, да или миръ изволять, или прислють ему помощь.	И преисполнились страха все тибериане, понимая, что не бежал бы Иосиф, если бы не потерял надежду. А он размышлял, каков будет конец иудеянам, и знал, что нет им спасения, если не покаются, а сам надеялся на прощение от римлян. Но однако предпочел умереть вместе с людьми, чем предать отечество и данную ему власть. И он написал иерусалимским властителям правдиво обо всем, чтобы они либо предпочли мир, либо прислали ему помощь.
Еусписиан же взя Гадарю[7] и окръстняя веси, не пощадѣ от стара и до младенець, но вся ножу предасть. И потомъ иде на Етапату. И слыша Иосифъ, пришедъ тамо от Тивириады, и укрѣпи мышци иудѣйскы. И некоему благовѣстовавшу къ Еуспасиану Иосифово пришествие, и абие той тосняся, мня всю Иудѣю взяти, аще Иосифа имуть, посла Плакиду съ тысящею конникъ, да объступять градъ, да бы не выбежалъ Иосифъ. Самъ же по единомъ дни поемъ всю силу, иде на Етапату до полудне, и двѣма плъкома пешець объступи градъ, а конникы за тѣми постави, загражаа имъ вся пути.	Веспасиан же взял Гадару и окрестные села, не пощадил ни стара, ни мала, но всех предал мечу. И потом пошел на Иотапату. И услышал <об этом> Иосиф, придя туда из Тибериады, и укрепил силы иудеян. Кто-то сообщил Веспасиану о прибытии Иосифа, и он сразу, думая, что возьмет всю Иудею, если поймают Иосифа, поспешил послать Плацида с тысячей всадников окружить город, чтобы Иосиф не мог бежать. Сам же днем позже, собрав всю силу, пошел до полудня на Иотапату и с двумя полками пехотинцев окружил город, а всадников поставил за ними, преграждая им все пути.
Июдеи же, вышедъ прѣд врата, сташа. Еуспасианъ пусти на ня стрѣлци, и пристави праща[8] и вся далѣ пущаемаа. Сам же съ пешци на пригорняя мѣста иде, идеже мощно раскопати стѣны. И убоявся Иосифъ выскочи, и с нимъ вси иудѣи, и сняшася с римляны и отгнаша а. И сѣкъшеся весь день, на нощь разидошася. И тогда от римлянъ мнози быша язвени, три убитии, от жидовъ же язвени 600 и 17 и падоша же.	Иудеяне же, выйдя, стали перед воротами. Веспасиан послал на них стрелков и установил пращи и все метательные орудия. Сам же с пехотинцами направился на высокое место, откуда можно было разрушить стены. Испугавшись, Иосиф сделал вылазку и с ним все иудеяне, и схватились с римлянами, и отогнали их. И рубились весь день, а к ночи разошлись. Тогда многие у римлян были ранены, трое убиты, а у евреев ранены шестьсот, а семнадцать пали.
Наутрия вышедъше нападоша на римляны велми крѣпле. Обрѣтоша же ся противнии крѣпльше ихъ. До пятого дне бишася, и бысть видѣти ломъ копийный, и скрежтание мечное, и щити искѣпани, и мужи носими, и землю напоиша кровий. А ни иудѣи римлянъ не устрашивахуся, ни римляне трудяхутся, зряще твердости града.	Наутро, выйдя, напали на римлян с гораздо большей силой. Противник же оказался сильнее их. Пять дней они бились, и можно было видеть, как ломались копья, и скрежетали мечи, и разбивались щиты, и выносили мужей, и землю напоили кровью. Однако ни иудеяне не проникались страхом перед римлянами, ни римляне не падали духом, видя, как твердо укреплен город.
Сей бо градъ весь стоить над пропастию, яко не мощно очима человѣческыма дозрѣти глубины, токмо от севера приступъ малъ, зане къ дебри кончяшася стѣны. Еуспасианъ же, противляяся утвержению града и крѣпости иудѣйской, и призва властелины своя, и повелѣ воемъ носити пръсть, и хворостъ, и камение, и абие расшедъшеся понесоша. И устроивше желѣвы,[9] да быша не пакостили из града, и наплъниша пропасти. Иудѣи же камение велико пущаху на ня, но не успѣша ничтоже.	Ведь этот город весь стоит над пропастью, так что невозможно глазам человеческим измерить глубину; только с северной стороны небольшой приступ, потому что стены кончались, сходя к ущелью. Веспасиан же на преодоление твердыни города и силы иудейской призвал своих военачальников и приказал воинам носить землю, хворост и камни, и они сразу, разойдясь, принялись носить. И, устроив черепаху, чтобы им не причиняли вреда из города, наполнили пропасть. Иудеяне же бросали на них множество камней, но ничего не добились.
Уесписианъ же постави окрестъ града стѣнобиичныя съсуды; бяше ихъ 60, и трекапный[10] камень метаху порочами, и сулици[11] из лукъ пущаемы шумяху, и стрѣлы помрачиша свѣтъ. И тѣмъ не смѣша жидове лѣсти на стѣны, възбраняеми суще от вышняя мьсти. Выристаху же яко разбойници изъ вратъ, внезаапу желевъ отторгаху, и под нею стоящихъ сѣчяху.	Веспасиан поставил вокруг города стенобитные орудия — их было шестьдесят, — и они пращами метали камни весом в три капи; и сулицы, пускаемые из лука, свистели, и стрелы затмили свет. И из-за этого иудеяне не посмели выходить на стены — им мешал верхний защитный обстрел. Они, как разбойники, выбегали из ворот, стремительно оттаскивали черепаху и секли стоящих под ней.
Еуспасианъ же повелѣ покровъ сътворити от конець до конець града и приспу выше града. Иосифъ же, видѣвъ, съвокупи дѣлатели, да быша выше въздѣлали стѣны. Онем же не могущимъ от камениа и стрѣлъ, и сей покровъ имъ устрои новодраными кожами волуями. И тако дѣлающе за нощь и день въздаша 20 лакотъ възвыше стѣны, имже велика бысть печяль Еуспасиану, зане не помысли, что сътворити высотѣ той противу. И отозва воя и сѣде около града думаа, да гладом възмѣть я.	Тогда Веспасиан приказал сделать покрытие от одного конца города до другого и насыпь выше города. Иосиф же, видев это, собрал строителей, чтобы они надстроили стены. А когда они не смогли из-за камней и стрел, он устроил им навес из свежесодранных воловьих шкур. И так работая, за ночь и день они надстроили стены на двадцать локтей в высоту, к великой досаде Веспасиана, поскольку он не мог придумать, что предпринять против такой высоты. И отозвал воинов и осадил город, думая взять их голодом.
