СЛОВО ИОАНА ЗЛАТОУСТАГО,[1] КАКО НЕ ЛѢНИТИСЯ КНИГИ ЧЕСТИ	СЛОВО ИОАННА ЗЛАТОУСТА, КАК, НЕ ЛЕНЯСЬ, ЧИТАТЬ КНИГИ (ГЛАВА 4)
Мнози непочитанием божественых писаний с праваго пути съвратишася и, заблудивше, погибоша. Инии же и книги почитающе, но съвершена не имяху разума, съ праваго пути совратишася, Богу попустившу, величиа ради ихъ, зане разумъ приимше, а правды не творят самохотием.	Многие из-за того, что не читают божественных писаний, с пути истинного совратились и, заблудшие, погибли. Другие же, и читая книги, но не обладая умом совершенным, с пути истинного совратились; допустил это Бог за гордыню их, ибо, разумом обладая, по своеволию своему не творят дел праведных.
Мужъ бо книженъ, а пьянчив не может направитися на истинну спасениа. Аще кто не умѣя книгъ мудруетъ, таковый подобенъ оплоту без подпоръ стоящу: аще будет вѣтръ, то падется. Тако и мудруя, а не книжник, аще не на грѣховный пахнет вѣтръ, падет, не имый подпора словесъ книжных, и мудростей книги. Аще то ся обое мнитъ в человѣцѣ, то яко очи обѣ в тѣлѣ свершено имуще глядят. Птицам бо того ради крилѣ данѣ, да сѣтей человѣческих избѣжатъ, а человѣком книги — яже всю неприязнену лесть обнажают. Мнози бо суть козни лукаваго дьявола, имиже уловляет человѣки: ового бо гнѣвом надымает, а иного завистию устрѣляетъ, иного же на татбу и обидѣти учят, а иных на позоры и на игры, и на плясание потычют, а иного на пьянство и на блуд ласкаютъ, а иныя на гордость острят и скупости учят, а иного на кощуны, и на плескание, и на пѣсни, и на гусли поучаютъ, а иных лѣностию окрадают, да къ церкви быша не приходили.	Если муж книжник, но пьяница, то не может он обрести путь к истинному спасению. А если кто, смысла книг не понимая, мудрствует, то такой подобен стене, без подпор стоящей: если подует ветер, то рухнет. Так и тот, кто мудрствует, а не книжник, — если подует на него ветер греховный, то падет, не имея опоры в словах книжных и в мудрости книжной. Если же и то и другое видится в человеке, то это — словно два глаза в теле, глядящие зорко. Птицам для того даны крылья, чтобы избежать силков, расставляемых людьми, а людям — книги, чтобы обнажить перед ними весь обман дьявольский. Много ведь козней творит коварный дьявол, чтобы совратить человека: одного гневом наполняет, а другого поражает стрелой зависти, иного толкает на воровство и на обиды другим, а иных созывает на зрелища, и на игры, и на пляски, а иных влечет к пьянству и блуду, а в иных спесь обостряет и скупости их учит, а иного — на вздорные россказни и на пение под хлопанье в ладоши толкают и к гуслям влекут, а иных ленью опутывают, чтобы не ходили в церковь.
Многи бо съблажняют, хотя нас Бога отлучити и царства небеснаго чужа сотворити. Богъ человѣкомъ откры святыми книгами вся соблажнениа лукаваго дьявола, да не прелститъ боящихся его. И на дьявола дарова честный крестъ, а на сѣти его — святыя книги, ихже послушающе и сотворяюще реченная получим жизнь вѣчную и со святыми веселие о Христе Исусе Господѣ нашемъ.	Многих соблазняют, стремясь нас от Бога отлучить и отвратить нас от царства небесного. Бог святыми книгами открыл людям все соблазны коварного дьявола, чтобы не прельстил тот боящихся Бога. И против дьявола даровал нам честной крест, а против сетей его — святые книги, слушая которые и творя сказанное в них, обретем мы жизнь вечную и со святыми ликованье во Христе Иисусе, Господе нашем.
СЛОВО СВЯТАГО НИФОНТА[2] О РУСАЛИЯХЪ[3]	СЛОВО СВЯТОГО НИФОНТА О РУСАЛИЯХ (ГЛАВА 33)
Иногда бысть идущу блаженному Нифонту въ церковь святыя Богородица на утренюю, и видѣ мимо церковь идуща дѣмона, иже бѣсом бысть князь, и с нимъ 12 бѣсовъ. И слышавше церковное пѣние и ужасошася, и исполнишася ярости, и поносиша князю своему, глаголюще: «Видиши ли, како ти ся славитъ Исус от рабъ своих! Се убо пѣние слышаще токмо ужасъ прият нас. Горе намъ, оканным, яко сила и крѣпость наша погибе. Доколе царь нашь с нами бѣ, крѣпцѣ побѣжахомъ християны, но егда жиды вооруже на Исуса, и распяша и́, оттоле бысть сокрушенна сила наша. Исус бо, связавъ его, во огненѣ глубинѣ повелѣ утвердити. Оттолѣ сила царя нашего сокрушися и наша надежа попрана бысть». Се бѣси князю своему поносяще. Он же рече к нимъ: «О семъ ли вы печаль имѣете, иже славимъ Исус во церкви Мариинѣ? Худо о семъ скорбите. В мал час минуется, а нас многи славят мирскими пѣсньми и плясании. А нынѣ мало пождите, узрите, иже славити начнуть нас, а о Исусе не брещи».	Однажды шел блаженный Нифонт в церковь святой Богородицы на заутреню и увидел идущего мимо церкви демона, князя бесам, и с ним двенадцать бесов. И они, услышав церковное пение, пришли в ужас и в ярость и стали поносить князя своего, говоря ему: «Видишь ли, как славим Иисус рабами своими! Когда слышим мы пение это, лишь ужас охватывает нас. Горе нам, окаянным, ибо сила и крепость наша погибли. Пока царь наш был с нами, успешно одолевали мы христиан, но когда поднялись евреи против Христа и распяли его, с тех пор сокрушена сила наша. Иисус ведь, связав его, в огненной преисподне повелел его заточить. С той поры сила царя нашего сокрушилась и надежда наша растоптана». Так бесы укоряли князя своего. Он же сказал им: «О том ли вы печалитесь, что славим Иисуса в церкви Марииной? Напрасно об этом скорбите. Очень скоро все переменится, а нас многие станут славить мирскими песнями и плясками. И теперь подождите немного, увидите, что славить начнут нас, а о Иисусе и не вспомнят».
Бысть же по обѣднѣ, поиде человѣкъ, скача съ сопѣлми, и по немъ многъ народ, овии поюще, и плещюще, а инии пляшюще. И се окаяннии бѣси видѣвше возрадовашеся радостию великою и начаша и ти лстити — овии на игры и на плясание, иныя на пѣсни. И се богатъ муж зряше ис полаты, и того наусти бѣсъ, и велѣ пред собою играти и плясати. И возмя сребряницу, дасть ю сопѣлнику. Онъ же во чпагъ вложи ю. Бѣси же, иземше ю, и послаша ко отцу своему сотонѣ в бездну ити. И ркуще посланному бѣсу: «Шед, рци отцю нашему, тамо связанному Исусомъ Назаряниномъ: Се ти даръ послал Алазионъ князь. Буди ти в честь, отче, мы твои раби, и многи соблазнихом крестияны, вороги наша». Сеи рекшу, даша диаволу сребро и мѣдь, иже игры дѣля сопѣлнику даяху. Симъ лукавии бѣси величахуся.	И после обедни случилось так, что пошел человек, приплясывая под звуки сопели, и за ним — множество народа: одни пели и в ладоши били, а другие плясали. И, увидев это, окаянные бесы обрадовались радостью великой и начали прельщать тех — кого на игры и на пляски, а кого — на песни. А некий муж богатый смотрел из палат своих, и подучил его бес — велел перед собой играть и плясать. И, достав серебряную монету, дал ее музыканту. Тот же положил ее в суму. А бесы, вытащив ее, послали к отцу своему сатане в бездну. И сказали посланному бесу: «Иди и скажи отцу нашему, связанному там Иисусом Назарянином: “Этот дар послал тебе Алазион-князь. Будет он тебе в знак чести, отец, мы — рабы твои и многих соблазнили христиан, врагов наших”». И сказав так, вручили бесу серебро и медь, полученные музыкантом за игру. И возгордились этим коварные бесы.
Дошед же посланный бѣсъ, вниде во адово жилище, принесе пагубныя дары сотонѣ. Он же, приимъ, велми обвеселися, рече: «Всегда от кумирослужениа жертву приемлю, но не могут мя такъ обвеселити, якоже сии, от крестиян приносимая». Си изрекъ сотана, паки возврати посланному бѣсу, иже бѣ принеслъ, и рече ему: «Шед, и понужайте крестьян на игры и на плясаниа и на иная, иже ми в любви суть». И скоро вниде бѣсъ к пославшимъ его и повѣда имъ сотонино речение, и паки сребро и мѣдь во чпагъ вложи Оптиолу сопѣлнику. И тако отидоша прелщати инѣх человѣкъ.	Дойдя до адского жилища, вошел туда посланный бес и принес пагубные дары сатане. Тот же, взяв, очень обрадовался и сказал: «Всегда получаю я жертву от поклоняющихся идолам, но не могут они меня так порадовать, как эти <дары> — принесенные от христиан». Так изрек сатана и вернул посланному к нему бесу все, что тот принес ему, и сказал: «Иди, и призывайте христиан к играм, и к пляскам, и к иному, мною любимому». И поспешил бес к пославшим его, и поведал им слова сатаны, и серебро и медь снова вложил в суму Оптиолу-музыканту. Бесы же отправились искушать и других людей.
Сии вся Нифонтъ блаженный душевныма очима видѣ, и плакаше о прелести християнстей, учаше многих игры оставляти, на позоры их не ходити, яко бо труба сбираетъ вои, тако книги чтомы аггелы Божиа сбираютъ, а сопѣли и гусли збирают около себе студныя бѣсы, любяи же сопѣли и гусли сотонѣ честь творитъ, иже чтят и дарятъ — то бѣсу даютъ лукавому. Аще кто не останетъ творения сего проклятаго, с невѣрными осудится и кумирослужебники. Богу нашему слава!	Все это блаженный Нифонт видел очами сердца своего, и сетовал о заблуждениях христиан, и многих наставлял, чтобы сторонились игр и не ходили смотреть на них, ибо как труба собирает воинов, так чтение книг ангелов Божьих собирает, а сопели и гусли собирают вокруг себя бесстыдных бесов, а любящий сопели и гусли сатану славит, а кто чтит и одаривает музыкантов — тот беса коварного одаривает. Если кто не оставит деяний этих проклятых, то осужден будет с иноверцами и с идолопоклонниками. Богу нашему слава!
СЛОВО ОТ ПАТЕРИКА, ЯКО НЕ ДОСТОИТ ОТИТТИ ОТ ЦЕРКВИ, ЕГДА ПОЮТЪ	СЛОВО ИЗ ПАТЕРИКА, КАК НЕ СЛЕДУЕТ ПОКИДАТЬ ЦЕРКОВЬ, КОГДА ТАМ ПОЮТ (ГЛАВА 38)
Иже древле бысть се, повѣдая нам нѣкто от вѣрных. Бѣ муж етеръ богобоязнивъ, и той сына имѣ единого. И бысть во странѣ той гладъ крѣпокъ. Оскудѣ богобоязнивый муж и рече сынови своему: «Чадо, видиши ли, яко осиротѣхомъ: не имам, что ясти. Хощеши ли, да тя продамъ, да и ты будеши живъ, и твоя родителя гладомъ не умревѣ». И глагола ему сынъ: «Твори, отче, еже хощеши». Отецъ же, поимъ, веде ко единому от вельможъ и взят цѣну на сынѣ своемъ. И рече ему: «Чадо мое! Си заповѣдаю ти: егда ти будет служба во святѣй церкви, не мози отити, доколѣ кончаютъ». То рекъ, отиде в домъ свой. Отрокъ же послушливый свершаше отца своего повелѣние.	О том, что случилось в древности, поведал нам некто из благоверных. Был некий муж богобоязненный, и имел он единственного сына. А в стране той был сильный голод. Обнищал богобоязненный муж и сказал сыну своему: «Чадо, видишь, как обеднели: нечего у меня есть. Если хочешь, продам я тебя, и ты будешь жив, и родители твои не умрут от голода». И сказал ему сын: «Делай, отец, как хочешь». Отец же, взяв с собой сына, отвел его к одному из вельмож и получил деньги за сына своего. И сказал ему: «Чадо мое! Вот что завещаю тебе: когда идет служба в святой церкви, не посмей покинуть ее, пока не окончится». Сказав так, возвратился в дом свой. Послушный же отрок следовал завету отца своего.
