ЧАША ГОСУДАРЕВА ЦАРЯ ИВАНА ВАСИЛЬЕВИЧА	ЧАША ГОСУДАРЕВА ЦАРЯ ИВАНА ВАСИЛЬЕВИЧА
ЧАША ГОСУДАРЕВА ЦАРЯ, ВЕЛИКАГО КНЯЗЯ ИВАНА ВАСИЛЬЕВИЧА ВСЕЯ РОССИИ	ЧАША ГОСУДАРЕВА ЦАРЯ, ВЕЛИКОГО КНЯЗЯ ИВАНА ВАСИЛЬЕВИЧА ВСЕЯ РОССИИ
Дай Бог, здрав был царь государь наш князь великий Иван Васильевич, самодержецъ всея Росии, на многа лѣта, и съ его благовѣрною царицею великою княгинѣю Марьею, и своими Богомъ дарованными чады, а с нашими государи, царевичи Иоаном и Феодором,[1] и своими братьею, благовѣрными князи Георгеем и Владимером,[2] и с бояры, и съ христолюбивым воинством, и з доброхоты, и со всѣми православными християны.	Дай Бог, чтобы здрав был царь государь наш князь великий Иван Васильевич, самодержец всея России, на многие лета, и с его благоверною царицею великою княгинею Марьею, и со своими Богом дарованными чадами, а нашими государями, царевичами Иоанном и Федором, и со своими братьями, благоверными князьями Георгием и Владимиром, и с боярами, и с христолюбивым воинством, и с доброжелателями, и со всеми православными христианами.
Подай же ему, Господи, государю, чего у Господа Бога желает благых, иже к ползѣ душевных и тѣлесных, по вся дни царства его на многа лѣта. Чтобы Господь Богь избавил, и Пречистая Богородица, и великие чюдотворцы царя государя великого князя и все православие от латыньства, от бесерменства и от всѣх врагов, видимых и невидимых. А царя государя бы нашего рука высока была над всѣми супостаты, и царство бы его государево исполнилъ Богь всякия благодати.	Подай же, Господи, ему, государю, чего от Господа Бога желает благого, идущего на пользу душе и телу, во все дни царства его на многие лета. Чтобы избавил Господь Бог, и Пречистая Богородица, и великие чудотворцы, царя государя великого князя и все православие от латинства, от мусульманства и от всех врагов, видимых и невидимых. А царя государя бы нашего рука высока была над всеми врагами, и царство бы его государево наполнил Бог всякой благодатью.
А кто ему, государю, добра хочет, тѣ бы все с государем здравы были и спасены на многие лѣта. А недоброхота бы государю и не было, — все бы государю благая и полезная мыслили. А хто про государево здравье чашу изопиетъ, той бы здрав был и спасен, а у кого в дому — и домъ его всякоя благодати.	А кто ему, государю, добра хочет, те бы все с государем здравы были и спасены на многие лета. А недоброжелателя бы у государя и не было, — все бы хотели государю блага и пользы. А кто за государево здравие чашу испьет, тот бы здрав был и спасен, а в чьем дому <испьют> — дом того наполнился бы всякой благодати.
Во многолѣтный живот и здравие, и во благоденьство, благопоспѣшение, и еже на враги побѣда благочестивому и христолюбивому царю, великому князю Ивану Васильевичу, самодержцю всеа Росии, сотвори, Господи, по милости твоей, и даруй многое благоденьство царю нашему.	Долголетнюю жизнь и здравие, и благоденствие, и успех, и победу над врагами сотвори, Господи, по милости твоей, благочестивому и христолюбивому царю, великому князю Ивану Васильевичу, самодержцу всея России, и даруй многое благоденствие царю нашему.
Благодать Божиа буди с тобою, царю святый православный, яко да утвердит тя, и сохранитъ, и воздвигнетъ к добродѣтелемъ дѣйственымъ, купно хранению и исправлению вѣры, и укрѣпит и споспѣшит на сопротивныя наша. Святый царю, царствуй и здравствуй на многа лѣта.	Благодать Божия да будет с тобою, царь святой православный, и да утвердит она тебя, и сохранит, и побудит к добрым делам, одновременно и к хранению и к исправлению веры, и укрепит и поможет в борьбе с противниками нашими. Святой царь, царствуй и здравствуй на многие лета!
И глаголютъ единогласно: «Сотвори, Господи, по милости твоей, и даруй многое благоденьство царю нашему».	И говорят все вместе: «Сотвори, Господи, по милости твоей, и даруй многое благоденствие царю нашему».
ЧАША ГОСУДАРЕВА ЦАРЯ БОРИСА ФЕДОРОВИЧА	ЧАША ГОСУДАРЕВА ЦАРЯ БОРИСА ФЕДОРОВИЧА
Подаючи государеву чашу, говорити:	Подавая государеву чашу, говорить:
Великие и превысочайшие, пресвѣтлые и преславные царские степени величества, благовѣрнаго и христолюбиваго, Богомъ избраннаго и Богомъ почтеннаго, Богомъ преукрашеннаго, Богомъ дарованнаго, Богомъ венчаннаго, Богомъ помазаннаго великого государя и великого князя Бориса Федоровича всеа Русии самодержца и многих государствъ государя и обладателя, и его царского величества благовѣрные и христолюбивые царицы и великие княгини Марьи, нашие великие государыни, и их царских детей, благовѣрнаго великаго государя царевича князя Федора Борисовича всеа Русии и благовѣрные царевны и великие княжны Ксении Борисовны, наших государей, Чаша.	Великой и превысочайшей, пресветлой и преславной царской степени величества, благоверного и христолюбивого, Богом избранного и Богом почтенного, Богом преукрашенного, Богом дарованного, Богом <на царство> венчанного, Богом помазанного великого государя и великого князя Бориса Федоровича, всея Руси самодержца и многих государств государя и обладателя, и его царского величества благоверной и христолюбивой царицы и великой княгини Марьи, нашей великой государыни, и их царских детей, благоверного великого государя царевича князя Федора Борисовича всея Руси и благоверной царевны и великой княжны Ксении Борисовны, наших государей, Чаша.
Дай, Господи, благовѣрный, и христолюбивый, и храбрый, и счасливый, и милостивый великий государь царь и великий князь Борис Федорович, всеа Руси самодержецъ и многих государствъ государь и обладатель, и с ним его царского величества благовѣрная и христолюбивая царица и великая княгини Марья, наша великая государыни, и их царские дѣти, благовѣрный и великий государь царевичь князь Федор Борисович всеа Русии и благовѣрная царевна, великая княжна Ксения Борисовна, наши государи, на своих преславных великих государствахъ превысочайшаго Российскаго царствия здоровы были и счасны.	Дай, Господи, чтобы благоверный, и христолюбивый, и храбрый, и счастливый, и милостивый великий государь царь и великий князь Борис Федорович, всея Руси самодержец и многих государств государь и обладатель, и с ним его царского величества благоверная и христолюбивая царица и великая княгиня Марья, наша великая государыня, и их царские дети, благоверный и великий государь царевич князь Федор Борисович всея Руси и благоверная царевна, великая княжна Ксения Борисовна, наши государи, в своих преславных великих государствах превысочайшего Российского царства здоровы были и счастливы.
И всѣ б великие государи приносили честь и славу государьскому их лицу по их царскому чину и по достоянию. И чтоб всесилный Господь Богь великого государя царя и великого князя Бориса Федоровича, всеа Русии самодержца, и его царского величества сына, великого государя царевича князя Федора Борисовича всеа Русии, царскую их высокую и счасливую руку возвысилъ надо всѣми их недруги, — царского величества имени к чести и к повышению, а преславным ихъ великим государствам Российскаго царствия къ прибавлению, и к разширению, и к вѣчной славе, и к похвалѣ. И всѣ бы окрестные государи их царского величества превысочайшей степени послушны были с рабскимъ послужением, и от потрясания меча их и от храбрьскаго подвига всѣ страны имяни ихъ трепетали. Царское б ихъ имя славно было по всей Вселенней.	И все бы великие государи воздавали честь и славу государственному их лицу по их царскому чину и по достоинству. И чтобы всесильный Господь Бог великого государя царя и великого князя Бориса Федоровича, всея Руси самодержца, и его царского величества сына, великого государя царевича князя Федора Борисовича всея Руси, царскую их высокую и счастливую руку возвысил надо всеми их недругами, царского величества имени к чести и к возвышению, а преславным и великим государствам Российского царства к прибавлению, и к расширению, и к вечной славе, и к похвале. И все бы окрестные государи послушны были превысочайшей степени их царского величества с рабским услужением, и все бы страны перед именем их трепетали, страшась потрясания меча их и храброго подвига. И царское бы их имя славно было по всей Вселенной.
А наипаче б всесилный Господь Богь устроил ихъ царского величества бодроопасным содержателствомъ святую нашу и непорочную христьянскую веру на Вселенней превыше всѣх, якоже под небесемъ сияет пресвѣтлое солнце. И святые б Божии церкви были тихи и немятежны.	А еще бы устроил всесильный Господь Бог неусыпным попечением их царского величества святую нашу и непорочную христианскую веру превыше всех во Вселенной, подобно сияющему в небесах пресветлому солнцу. И святые бы Божии церкви были тихи и немятежны.
И чтоб прекрасноцвѣтущая и младоомлажаемая вѣтвь царского их изращения, благородное сѣмя, в наслѣдие великого Российскаго царствия было во вѣки, и на вѣки, и в некончаемыя вѣки непремѣнно.	И чтобы прекрасноцветущая и омолаживающаяся потомством ветвь царского их происхождения, благородное семя, в наследие великому Российскому царству было вовеки, и навеки, и в нескончаемые веки без перемен.
И царским бы их милостивымъ осмотрениемъ во всѣх ихъ великих государствах Российскаго царствия все православное христьянство было в покое, и в тишинѣ, и въ благоденственомъ житиѣ навѣки неподвижно.	И царским бы их милостивым управлением во всех их великих государствах Российского царства все православное христианство было в покое, и в тишине, и в благоденственном житии навеки покойно.
