ИЗ СКИТСКОГО ПАТЕРИКА	ИЗ СКИТСКОГО ПАТЕРИКА
Слово о расмотрении	Слово о премудрости
<...> Поведаше авва[1] Данил, яко егда бѣ въ Скитѣ[2] авва Арсений,[3] и бѣ единъ мнихъ ту, крады ссуды старчемъ. И авва Арсений поятъ его в хыжю свою, хотяй научити и старча покоити, и глагола ему: «Емуже хощеши, дам ти азъ, токмо и не кради». И дасть ему чату[4] злату, и ризу, и всю потребу. Шед же, пакы крадяше. Отцы же, то видевши, яко не престаяше, изгнаша я, глаголаше, яко: «Аще обрящется братъ, имѣя нравъ золъ, подобаеть терпѣти его. Аще ли крадеть и, учимъ, не останеть того, ижжените и, яко свою душю погубить и вся сущая на мѣстѣ томь възмущаеть».	<...> Рассказал авва Данил, что когда был в Ските авва Арсений, был там один монах, похищавший сосуды у старцев. И авва Арсений привел его в келью свою, желая наставить и успокоить старца, и сказал ему: «Если ты <что-то> хочешь, я тебе дам, только не кради». И дал ему цату золотую, и одежду, и все необходимое. Тот ушел, но снова стал красть. Увидев, что он не перестает, отцы прогнали его, говоря: «Если окажется брат злого нрава, необходимо терпеть его. А если крадет и, наставляемый, не перестает <делать это>, изгоните его, потому что и свою душу погубит и всех находящихся на месте том возмутит».
О творящих знаменья святых старець	О творящих чудеса святых старцах
<...> Взиде иногда тоиже авва Макарий[5] от Скита в Терьнуть[6] и вниде въ гробища спатъ. Бѣ же ту кости елиньски многы сухы. И вземь от нихъ едину, положи ю подъ главою си, яко дохторъ. Видив же дѣмони дерьзновение его,[7] ревновавша и хотѣша пострашити и, вопияху, яко женьско имя глаголаше: «О, она, поиди с нами в баню мытъся». Отъзважеся другыи дѣмонъ от мертвыя кости, глаголя: «Страньна имамъ верху себе и не могу прити». Старечь же не убояся, но дерзая бьяше трупа, глаголя: «Въстани, иди, аще можеши». И се слышавше дѣмони, възпиша велиимъ гласомъ, глаголюще: «Побѣдилъ ны еси». И бѣжаша посрамлени.	<...> Отправился однажды тот же авва Макарий из Скита в Тернуф и заночевал в гробнице. Было там много высохших костей умерших эллинов. И, взяв одну из них, он положил ее под голову как подушку. Демоны, видя такую его дерзость, решили его испугать и закричали, называя как будто женское имя: «Эй, такая-то, пойдем с нами в баню мыться». Отозвался другой демон из сухой кости, говоря: «Странник сверху меня <лежит>, поэтому не могу прийти». Старец же не испугался, а смело стал избивать останки, говоря: «Встань, иди, если можешь». Услышав это, демоны страшно вскричали, говоря: «Ты нас победил». И бежали, посрамленные.
<...> Глаголаше авва Сисой:[8] «Егда ядахомъ въ Скитѣ со отцемь Макариемь, взидохомъ пожати, с нимь 7 мужь; и се едина вдовица, класы събирающи бѣ за нама, и не престаше плачющися. Возва же старѣишину вси тоя и рече ему: “Что имать старица си, яко вьсегда плачеться?” И глагола ему, яко: “Мужь ея взять залогъ у единого и умре напрасно, и не повѣдѣ, кде положи. И хощеть же господинъ за залогъ пояти ю´ и дѣти ея въ рабъ мѣсто”. Глагола ему старець: “Рци еи, да придеть к намъ, идеже почиваемь полудень”. И пришедши еи, рече еи старець: “Что еда плачешися тако?” И рече: “Мужь ми умре, вземъ залогъ отъ единого, и не повѣдѣ, умирая, кде положи и́.˝. Рече старець: “Приди, покажи намъ, кде и еси положила”. И поимъ братью с собою и изиде с нею, и, пришедъшемъ на мѣстѣ, рече старець: “Отъиди въ домъ свои”. И помолившемъся имъ, възва старець мертвеца, глаголя онъ именемъ рекъ: “Кдѣ еси положилъ заимъ чюжь?” Онъ же отъвѣщавъ рече: “В дому моемь есть сокровено под ногу одру”. И рече ему старець: “Спи пакы до дне въскресенья”.	<...> Рассказывал авва Сысой: «Когда после трапезы в Ските мы с отцом Макарием отправились на жатву, с нами были еще 7 человек; и вот одна вдова собирала за нами колосья и не переставая плакала. Он позвал старейшину того села и спросил его: “Что случилось у этой старой женщины, что она всегда плачет?” Тот ответил ему: “Ее муж, взяв залог у одного человека, внезапно умер и не сказал, куда положил. И хозяин хочет вместо залога взять ее и ее детей в рабство”. Сказал ему старец: “Передай ей, чтобы пришла к нам туда, где отдыхаем в полдень”. Когда она пришла, спросил ее старец: “Почему ты так плачешь?” Она ответила: “Мой муж умер, взяв залог у одного человека, и не сказал, умирая, куда положил его”. Сказал старец: “Пойдем, покажешь нам, где ты его похоронила”. Взяв братию с собой, он пошел с ней и, когда они пришли на место, старец сказал: “Иди в свой дом”. После того как они помолились, старец позвал мертвеца и, называя его по имени, спросил: “Куда ты положил чужой заем?” И тот сказал в ответ: “Спрятано в моем доме в подножии моего ложа”. Сказал тогда ему старец: “Спи опять до дня воскрешения”.
Видѣвъше же братья, от страха падоша на ногу его, и рече имъ старець: “Не мене дѣля бысть се, ничтоже бо есмь азъ, но вдовицѣ дѣля и сиротъ ея створи Богъ створи вещь сию. Се же есть велико, яко безгрѣшнѣ хощеть души Богъ, и егоже аще просить и прииметь”. Пришедъ же, възвѣсти вдовицѣ, кде положи залогъ. Она же вземъши, дасть господину его, и свободи чада ея. Слышавъше же, прославиша Бога».	Братья, увидев <это>, от страха упали к его ногам, а старец сказал им: “Не ради меня это было, ибо я ничто, но ради вдовы и сирот ее Бог совершил это дело. Великое в том, что Бог покровительствует безгрешной душе и, о чем бы она ни попросила, то получит”. Пришел он и сообщил вдове, где положил <муж ее> залог. Взявши его, она отдала его хозяину, и тот освободил ее детей. Слышавшие это прославили Бога».
Покаяниема обема	О двух покаяниях
<...> Глаголаше старечь от Тиваидскых старечь,[9] яко: «Азъ бѣхъ сынъ иерея идольскаго. Малъ же сы убо, сѣдѣхъ въ церкви и видивъ отца своего множичею входяща жертву створити идолу. И единою отаи внидохъ въслѣдъ его и видихъ Сотону сѣдяша, и вся воя его престояща ему. И се единъ князь его пришедъ, кланяшеся ему. Отвещавъ же дьяволъ, рече ему: “Откуду ты приде?” Он же отвѣщавъ, рече: “На сей странѣ бѣхъ и въздвигохъ брань и многъ мятежь, и пролитье крови створихъ, и придохъ възвѣстить ти”. И рече ему: “Колицѣмъ лѣтъ се створи?” Он же рече: ”30-ми денъ”. Он же повелѣ бити его толицѣмь денъ се творша. И се инъ, пришедъ, кланяшеся ему. И рече ему: “Откуду ты еси пришелъ?” Отвѣщавъ дѣмонъ, рече: “Въ морѣ бѣхъ и въздвигохъ трусы и потопихъ корабля, и многы мужа убивъ, придохъ възвѣститъ тебѣ”. Он же рече ему: “В колико дний и се створи?” Дѣмонъ же рече: “Есть дни 20”. Повѣлѣ же и того бити почто в толико дний се едино створилъ. И се третий, приступль, кланяшеся ему. И рече ему: “Откуду ты приде” Он же, отвѣщав, рече: “В семь градѣ брачѣ быша, и въздвигохъ брань, и много пролитье крови створихъ, с женихомъ и с невѣстою, и придохъ възвѣстить тѣбѣ”. Он же рече: “В колико дний и се створи?” Он же рече: “В 10 дний”. Повеле яко медлившаго бити и сего. Приде же другый, поклонится ему. Рече тому: “И ты откуду приде?” Он же рече: “В пустыни бѣхъ 40 лѣт, боряся съ единѣмъ мнихомь, и в сию нощь низложихъ и в любодѣяние”. Он же се слышавъ, въставъ, облобыза и́. и вземь вѣнечь, еже ношаше, възложи ему на главу и посади и́. на престолѣ съ собою. Глагола, яко: “Велику вещь сию възьможе побѣдити”».	<...> Рассказал один из Фиваидских старцев: «Я был сыном жреца языческого. Когда был ребенком, сидел <часто> в церкви и видел своего отца, часто приходившего принести жертву идолу. И однажды тайно я пошел за ним и увидел Сатану, сидящего, и все воинство его, стоящее перед ним. И вот подошел один из его князей и поклонился ему. Отвечая, дьявол спросил его: “Откуда ты прибыл?” Тот же, отвечая, сказал: “В этой стране был, и устроил раздор и великую смуту, и кровопролитие сотворил, и пришел известить тебя”. И спросил его <Сатана>: “За какое время ты это сделал?” И тот ответил: “За тридцать дней”. Тогда <Сатана> приказал избить его за то, что столь <много> дней это делал. И вот другой пришел, кланяясь ему. Спросил его <Сатана>: “Откуда ты пришел?” Отвечая, демон сказал: “В море был, и устроил бури, и потопил корабли, и много людей убил, пришел доложить тебе”. Тот же спросил его: “За сколько дней сделал это?” Демон ответил: “За двадцать дней”. Приказал <Сатана> и того бить: почему за столько дней лишь это сделал? И вот третий подошел, кланяясь ему. И он спросил его: “А ты откуда пришел?” Тот, отвечая, сказал: “В этом городе была свадьба, устроил я ссору жениха и невесты и великое кровопролитие устроил, явился тебя известить”. Тот же спросил: “За сколько дней сделал это?” Он ответил: “За десять дней”. Приказал <Сатана> бить и этого непроворного. Пришел и другой, поклонился ему. Спросил <Сатана> у него: “А ты откуда пришел?” Тот ответил: “Сорок лет был я в пустыне, борясь с одним монахом, а в эту ночь поверг его в любодеяние”. Услышав это, <Сатана> встал, поцеловал его и, взяв венец, который сам носил, возложил его ему на голову и посадил на трон рядом с собою. Произнес: “Ты смог одержать великую победу!”»
Рече старче: «Се азъ видивъ, глаголахъ: “Тако есть великъ чинъ мнишьскыи”. Богу благоволившю спасение, изидохъ и быхъ мнихъ».	Сказал старец: «Увидев это, я проговорил: “Так велик чин монашеский”. С Божьего соизволения к спасению, ушел я и стал монахом».
Слово о блаженѣмь послушании	О смиренном послушании
