ПОСЛАНИЕ К СТАРЦУ ВАСЬЯНУ	ПОСЛАНИЕ СТАРЦУ ВАССИАНУ
Писанием сказателю и во мнихѣх честному моему господину радоватися.	Толкователю Писания и благочестивому монаху, моему господину радоваться.
Посланейцо твое, любовию помазанное, дошло до меня. Книгу и Герасимово житие и счет лѣтом привезли же ко мнѣ, и много челом бью на благы твоих. Да паметца обрѣлася в твоей грамотки запечатана, а написано в ней, яко Григорей рече Богослов называет тайным учеником Христовым Никодима.[1] Ино аз вѣм то, что истинна. И индѣ об нищелюбии в слове рече о нем, якоже Никодим исполу Христа любил.[2] И се по прилучею слова написа о нем Богослов, мнит ми ся, а не уничижая мужа. Блаженныя же мужи Иосиф[3] и Никодим безмѣръным похвалам достойны от Бога Отца, и от аггелъ удивленны, и от соборов вѣрных возвеличенны, сподобивыися послужити во[4] время спасенныя страсти живодательному агнецу Божию, заколенному за весь мир. И опрятающе тѣло мертво суще живоноснаго Исуса, ово пеленами обвивающе, ово столитренными араматами мажюще, и затвориша во гробѣ убиеннаго Господа плотию, всѣм сущим во гробѣх живот даровавша. Ихже сего ради многие от святых похвалами ублажиша, овы во словех торжественных, овы в канунех возпѣвша. Паче златы языком и усты похвалу слагающим глаголет: «Блажени, — рече, — руцѣ Иосифа и Никодима, осязающе тѣло неприступнаго Бога, пред нимже стояще, херувими трепещут, и от лица славы его серафимы ужасаются, Иосиф же и Никодим со дерзновением приступают и всѣх живота плотию умершаго со креста снимают», и протчая. И инде той же: «Ученицы, — рече, — разбегошася страха ради июдейска, владыку и учителя единого оставивша, яко от убогих и от незнаменитых суще, паче же во пророцех лежащая и о них исполнися. Распаляют же ся вѣрою потаенныя ученицы, и от благородия, и от свѣтлости ради вину вземше, Иосиф дерзостно к Пилату приступает и вкупѣ с Никодимом пригвожденаго Господа со креста снимает, и погребению Христову служители бывают, не боящеся июдей, величества ради сана»,[5] и прочая.	Получил я твое послание, украшенное любовью. Привезли мне также книгу и житие Иеронима, и расчет лет, и низко кланяюсь за твое добро. В этом послании я нашел замечание о том, что Григорий Богослов называет Никодима тайным учеником Христа. Но и я знаю, что это так. Однажды в своем слове о нищелюбии он сказал, что Никодим любил Христа вполсилы. Но думаю, что эти слова Богослов написал по другому поводу, не желая унизить этого мужа. Блаженные мужи Иосиф и Никодим, послужившие агнцу Божию во время его спасительного мучения, удостоены величайших похвал от Бога-Отца, прославлены ангелами и возвеличены соборами праведников. Именно Иосиф и Никодим, заботясь о мертвом теле животворящего Иисуса, обвили пеленами умерщвленного плотью, но дарующего всем мертвым жизнь, Господа, помазали его драгоценными ароматами и похоронили в гробнице. За это многие святые прославили их: одни в своих торжественных словах, другие воспели в канонах. И лучше всех, слагая им похвалу, сказал Иоанн Златоуст: «Блаженны руки Иосифа и Никодима, осязающие плоть недоступного Бога, перед которым трепещут херувимы и от сияния которого ужасаются серафимы. Иосиф же и Никодим смело подходят к кресту и умершего плотью ради жизни всех людей снимают с креста» и так далее. И немного дальше: «Ученики, словно убогие и худородные, разбежались из страха перед иудеями, и таким образом исполнилось сказанное о них пророками. А тайные ученики, Иосиф и Никодим, смело обращаются к Пилату, снимают с креста распятого Господа и выступают как служители Христова погребения, не боясь иудеев, проявляя величие духа», и прочее.
И аз, не тѣм противяся чюдным мужем, первое посланейцо послал к тебѣ — прочти его со вниманием — но противлюся лжесловесником, преобразующимся во истовыя учители, и пишет повесть сопротив еуаггельским словесем, и имена своя скрывше, да не обличенны будут, и подписуют их на святых имена, да удобно их писание приимется простыми и ненаученными. И о таковых издавна Павел богогласный пишет: «Блюдитеся, — рече, — да не погибнет простота ваша въ их лукавъстве».[6] И инъ, иже почерп премудрость от животворящих персей, от ипостасныя Премудрости Божия: «Не всякому, — рече, — духу вѣруйте, но искушайте духи»,[7] и прочая. А яз и паки вам воспамяну, аще вам и инаково нѣкаково обрѣтется. Хто стерпит таковаго супротивления апостолом? Петръ глаголетъ: «Емше Исуса»; а еуагглисты всѣ вопиют: «Приведоша связанна Господа от Каияфы х Пилату во многих муках и поругании, да грѣхи связанное человечество разрѣшит и поруганныхъ и мучимых от Диявола избавит». А нового Еуаггелия повѣсть: «Корсур, рече, со многою честию и молениемъ пред Пилата приведе Исуса». Не дивно врагомъ нашим, искони бо им обычай межю чистыя пшеницы плевелы сѣяти. Дивно православным, паче же искуснейшим в чинѣх, вмѣсто пшеницы плевелы услажатися, а всегда имѣюще пророческая словеса пред очима лежаща. «Словеса, рече, Господня, словеса чиста, сребро раждежно, искушенно земля, очищенно седморицею».[8] И индѣ: «Сказали мнѣ законопреступницы суесловие, а не яко закон твой, Господи».[9]	И я свое первое послание написал тебе не потому, что я против этих замечательных мужей, — прочти его внимательно, — а потому, что я против ложных писателей, которые, притворяясь истовыми учителями, пишут повести, не согласующиеся со словами Евангелия, и, чтобы не быть обличенными, скрывают свои имена и подписываются именами святых, рассчитывая таким образом, что простые и неграмотные их с легкостью примут. И о таких богогласный Павел давно уже написал: «Остерегайтесь, чтобы не погубили они вашу простоту своей хитростью». И еще сказал тот, который почерпнул свой ум от животворящей груди, от самой Премудрости Божьей: «Не всякому духу верьте, но испытывайте духов» и прочее. И еще я вам напомню, чтобы вы знали и другое. Кто сможет противиться сказанному апостолом? Петр говорит: «Схватив Иисуса»; и все евангелисты восклицают: «Связав, привели от Каиафы к Пилату Господа, претерпевшего различные мучения и надругательства во имя спасения опутанного грехами человечества и избавления его от мучений и надругательств от Дьявола». А вот что говорится в новом Евангелии: «Корсур привел Христа к Пилату с великими почестями и с молитвами». Не удивительно слышать подобное от наших врагов, которые давно уже привыкли сеять плевелы в чистой пшенице. Но удивительно то, что служители православной церкви, и прежде всего наиболее опытные, всегда имеющие перед глазами слова из пророчеств, наслаждаются вместо пшеницы плевелами. «Слова Господни — слова чисты, серебро, очищенное от земли в горниле, семь раз переплавленное». И еще в другом месте: «Сказали мне отступники от закона суесловие, противное закону твоему, Господи».
Али не слышал еси, какову бѣду от таковых в Литовской земле церковь Божия приемлет, и како на апостолская словеса и на святых учение и уставы самыя християньския дѣти от врагов возверенны бысть? И от овчии кротости звѣрие обрѣтошася, и стада вѣрных нещадно расхищают и, апостолская словеса превращающи, развращенне толкуют, и на святых хулу возлагаютъ, паче же на Златауста клеветами ополчаются. И от книг руских емлючи словеса развращенныя, от Еремѣи,[10] попа болгарскаго сложены, и иных таковых, и на Златаустово имя подписано и на иных святыхъ, яко щиты себѣ носят, и из-за них на закон Христовъ ругании и хулами стрѣляют, и вѣрных, тяжющихся с ними по невѣдѣнию, аки за словеса святых удобне одолѣвают, яко безотвѣтных, и от истиннаго пути на прелесть свою возводят.	Или ты не слышал, какая беда от всего этого случилась с Божьей церковью в Литовской земле, где враги сумели восстановить против апостольских заветов, против святоотеческого учения и уставов даже самих детей христианской церкви? Среди кротких овец объявились звери и беспощадно расхищают стада верных, а сказанное апостолами искажают, затем неверно толкуют и возводят хулу на святых, среди которых больше всех подвергается оклеветанию Златоуст. Выбирая из русских книг отступнические сочинения болгарского попа Иеремии и других ему подобных, подписывавшихся именем Златоуста, и других святых, они пользуются ими, словно щитами, и, спрятавшись за них, нападают с ругательствами и хулениями на учение Христа, а тех верных, пытающихся им противостоять, но невежественных и потому безответных, они ловко побеждают и сбивают их с истинного пути на ложный, вводя в заблуждение этими сочинениями, как будто принадлежащими святым.
О, горе нам! Како не зрим прилѣжно мысленным своим оком древняго дракуна, врага нашего бодрово и никогдаже спящаво, и множайшими лѣты искуство злобы имущаго! Он бо древле праотцемъ завистию во едеме смерть сотвори, и роду их на безбожие и чародѣйства разумы преврати, и скотолѣпному и нечистому жительству научи. Он праведному Иеву внезапу все имѣние и дѣти погуби, и тѣло нещадно сокруши. Онъ во Египте против Моисея чародѣйцев воздвиже и чародѣйствовати сотвори. Он противу пророческих ликов пророчествовати научи ложно, не именемъ Господнимъ, якоже при Амосе Азарию,[11] сына Зороавля, и при Еремѣи Ананию,[12] и иных таковых, от ихъже напастей Божий пророкъ и живота своего отрицашеся.[13] Он, лютый, богоборных жидов на самого Господа вооружи, творя их бутто законоревнителей. Он ото апостолскаго лика предателя Христу ученика сотвори. Он апостоломъ в проповѣди многия беды и напасти наведе. Он прелютых царей-гонителей на Христову церковь воздвиже и нестерпимыя и горчайшая муки на вѣрных умысли.	О горе нам! Почему же мы не следим бдительным внутренним взором за этим древним драконом, нашим недремлющим врагом, который никогда не спит и многие годы изощряется в своей вражде против нас! Это он из зависти погубил когда-то в раю наших прародителей, а разум их потомков совратил в безбожие и колдовство, научил их жить, подобно скотам, в нечистоте. Это он погубил внезапно все имущество и детей праведного Иова, а его тело жестоко поразил. Он восстановил в Египте волхвов против Моисея и сотворил чары. Он научил пророчествовать ложно, не от имени Господа и наперекор истинным пророкам, как это произошло с сыном Зароава Азарией при Амосе, с Ананией при Иеремии, а также с другими, и что толкнуло в свое время Божьего пророка просить у Бога смерти. Он ополчил богоборствующих евреев против самого Господа, внушив им, будто они защищают закон. Он сделал предателем одного из апостолов, учеников Христа. Он устраивал различные беды и несчастья апостолам во время проповеди. Он насылал на Христову церковь презлейших царей-гонителей и изобретал жесточайшие, невыносимые мучения, которыми они преследовали верных.
И видѣв церковь Господню ото множайших гонений не одолеваему и кровми апостолъ и мученикъ наипаче свѣтлѣйшу явившая, и царей-гонителей без вѣсти погибших и вмѣсто их православныя возведенны, и боагочестие на лицѣ всея земли повсюду растуще, — и он, злокозненый, иная умышляет: ото учителей християнских мужей востави, глаголющих развращенная, яков же бѣ Арий, и Макидоний, и Несторий,[14] и иныя различныя злославныя еретики, и иже церковь Христову по различным временем и лѣтом неистовне смущаше. Их же Господь седмочисленных полков богособранными святители тогда от стада паствъ своих отогна, и церковь свою догматы благочестия свѣтлѣйши солнъца украси и неприступну, свѣтлости ради, врагом мысленымъ и чувственнымъ содѣла.	Но когда он увидел, что многочисленные преследования не смогли сломить Божию церковь, которая стала только ярче сиять от крови, пролитой апостолами и мучениками, а цари-гонители бесследно исчезли, и вместо них на престолы возведены правоверные государи, и благочестие распространяется по всей земле, — тогда он изобрел другое: из числа учителей церкви он выделил нескольких, которые начали проповедовать ложное учение, и среди них были Арий, Македоний, Несторий и другие еретики, оставившие после себя дурную память тем, что многие годы они в разное время жестоко преследовали церковь. Но все они были отогнаны Господом от его паствы, когда он своим именем собрал полчища святителей на семи вселенских соборах и украсил благочестивыми, сияющими ярче солнца догматами свою церковь, которая, благодаря этому сиянию, стала неприступной для видимых и невидимых врагов.
И недругъ нашъ древний иная умышляет. И начальников наших, и пастырей подходит, и нѣкоих от нихъ гордостем и жительству растлѣнному научает, и соль земли[15] в буйство претваряет. Яко им бѣ должно негиблющими брашны и пребывающими всѣх питати и свѣт миру быти, и грѣхъ ради людских спротивная явися: вмѣсто свѣта — тма и смущение образ показася. И оставя твердыя и священныя словеса, бабскими баснями и растлѣнными словесы, и отнюдь не свѣдѣтельными от священных буков, услажатися увещевая их. Апостольская же и пророческая словеса, и святыхъ преподобных великих учителей, точию кожами красными и златом со драгоцѣннымъ камением и бисеры украсив, и в казнах за твердыми заклепы положи, и тщеславующеся ими, и цѣны слагающе, — «толики и толики», — сказуют приходящим.	Тогда наш давнишний враг замышляет другое. Он наступает на наших начальников и пастырей и некоторых из них делает горделивыми и склоняет в развратное житие, соль земли обращая в безумцев. Им ведь было предназначено насыщать всех неиссякаемой пищей и светить миру, но из-за человеческих грехов все случилось наоборот: вместо света — тьма и замутненные образы. А вместо твердого Священного Писания — бабьи басни и искаженные писания, нисколько не согласные со Священным Писанием, и ими он и призывает наслаждаться. И вот они, украсив слова апостолов, пророков и преподобных великих святых учителей дорогой кожей, золотом, драгоценными камнями и жемчугом, прячут их за крепкими запорами в свои кладовые и, похваляясь ими и назначая им цену, говорят приходящим: «Столько-то и столько-то».
Аще ли лучится от тѣх священных словес прочитаемыи коим быти, и мы, смѣющеся меж собя, — а не глаголю, ругающеся, — глаголем: «Ефремовы, рече, словеса[16] подобны горестию хрѣну обрѣтаются». И противу иных божественных книг извѣты иныя лукавыя умышляем: «Первыя, рече, роды по тѣх жительство имѣли, а нам тако не вмѣщается». И от сего явно не на пользу, но на тщеславие себѣ держим ихъ, якоже и дѣлом показася. И аще бы прочитали их со охотою, и внимали лежащему разуму в них со усердием, не бы никогдаже хотѣли услажатися чюждописанными и несогласными повѣстьми, ниже бы на законопреступление и слабость когда укланялися. И ими же нас Лютор и ученики его потязуют: «Се и се, ваши святые учители ложно и несогласно написали». А учители того и не слыхали. Написал невѣдомо и неслыханная, и покрыв себе, да не слышан будет, а подписал на святыхъ имя, и удобно творя къ прелыцению слышащих Писания своя развращенная. И о подобных таковых Господъ пророком рече: «Не послах ихъ, а они течаху, и никогдаже глаголах имъ, а они именем моим пророчествоваху».[17] Тако и ныне враги наши[18] имяны святыхъ дѣйствуют: иже во святых, рече, слово Иоанна Златоустаго, или иных святых слово[19] о том и о томъ, а Иван и иные святые не слыхали таковых.	Мы же, если и случится нам когда-либо прочесть что-либо из священных книг, рассказываем один другому, шутя (если не сказать, ругаясь): «Ефремовы, мол, слова горьки, словно хрен». А на другие божественные книги измышляем другие хитрые наговоры: «Прежние, дескать, поколения жили сразу же после того, как они были написаны, ну а нам так не под силу». А это свидетельствует о том, что храним мы их не для пользы, а из-за тщеславия, что и видно по нашим делам. И если бы мы внимательно читали эти книги и стремились почерпнуть содержащиеся в них знания, то нам никогда не понадобилось бы наслаждаться чужими, испорченными писаниями, и не были бы мы бессильны, и не нарушали бы закон. Ведь, используя эти писания, Лютер со своими учениками нападают на нас: «Вот, дескать, ваши святые учителя написали ложное и неправильное». А учителя об этом и не слыхали. Сам он написал нечто неведомое и неслыханное и, скрывая свое имя, подписался именем святого, чтобы таким образом ему легче было обманывать тех, кто прислушивается к его неверному учению. О таких сказал Господь устами пророка: «Я не посылал этих пророков, а они сами побежали; я никогда не говорил им, а они пророчествовали моим именем». Так и теперь поступают наши враги и говорят, прикрываясь именами святых: «Святого, — например, — Иоанна Златоуста, или других святых, слово о том-то и о том-то». А Иоанн и эти святые и не слыхали об этом.
Благовременно днесь рещи аггелов глас, къ Громову Сыну реченной: «Горѣ, горе живущим на мори и на земли! Яко разрѣшен бысть Сотона от темницы своея на прелыцение ихъ, имѣя в себѣ ярость велию».[20] Воистину разрѣшен есть по всему уже, и излиял ярость свою на вѣрныя и изливает, и прельстил страны многия и прелыцает, по вселеннѣй отступлению от Бога языки научает. И слыша Павла к солуняном[21] вѣщающа въ 2.	Самое время сегодня вспомнить сказанное ангелами Сыну Грома: «Горе, горе живущим на море и на земле! Выпущен уже Сатана из своей темницы и вышел в сильной ярости обольщать их». Воистину, по всему видно, что он уже выпущен, что уже излил и продолжает изливать свою ярость на верных, что уже обольстил и продолжает обольщать многие страны во вселенной, и учит отступничеству от Бога. Прислушайся к тому, что говорит и Павел во 2-м послании к солунянам.
Возведем мысленное око на восток[22] и посмотрим разумным видѣнием. Гдѣ Индѣя и Ефиопия? Гдѣ Египет и Ливия, и Александрия, страны великия и преславныя, многою вѣрою ко Христу древле[23] усвоенныя? Гдѣ Сирия, древле боголюбивая? Гдѣ Палестина, земля священная, от неяже Христос по плоти и вси пророцы, и апостоли? Гдѣ Евтропия, иже бѣ в премудрости правовѣрия многи? Гдѣ Констянтинъград преславный, онже бысть яко око вселенней благочестиемъ? Гдѣ новопросиявшия во благовѣрии Сербы и Болгары, и ихъ власти высокия, и грады преизобильныя? Не вси ли сия преславныя и преименитыя царства в прежних лѣтах единодушно правую вѣру держаще? И нынѣ, грѣх дѣля многих, безбожными властели обладанны и врагом креста Христова в руцѣ преданны, и от нихже вѣрныя люди беспрестани прелыцаеми, и томими, и на различныя прелести от правовѣрия отводими, овы ласкании, и тщами славами прелестнаго мира сего, овы бѣдами и скорбми многими принуждаеми. И аще гдѣ обрѣтутся народи православныя, крѣпце православие держаще, и от безбожныхъ тех властелей гонения горшаго и на поругания беспрестани претерпѣвают, яко им пригоже, мнит ми ся, живыми мученики ото всѣх православных нареченными быти. Понеже догматы благочестия невредно соблюдают и законом Христовым, яко свѣтила, в мире сияют, живуще посредѣ рода строптива и развращена.	Обратим мысленно свой взгляд на восток и задумаемся. Где Индия и Эфиопия? Где Египет и Ливия, и Александрия, великие и славные страны, когда-то отличавшиеся крепкой верой во Христа? Где прежде боголюбивая Сирия? Где Палестина, священная земля, в которой родился Христос, все пророки и апостолы? Где Евтропия, которая пребывала когда-то в мудрости правоверия? Где славный Константинополь, который был для вселенной примером благочестия? Где недавно просиявшие благоверием Сербия и Болгария с их великими властелинами и богатейшими городами? Не придерживались ли когда-то все эти славные, знаменитые государства истинной веры? А теперь, из-за многочисленных грехов, они покорены безбожными завоевателями, которые бесконечно мучают правоверных людей и толкают их на путь отступничества от истинной веры, обольщая их суетной славой земного мира или обрушивая на них многочисленные беды и страдания. И мне кажется, что оставшиеся в этих странах православные люди, стойко придерживающиеся правой веры и постоянно претерпевающие от этих завоевателей жесточайшие гонения и надругательства, достойны того, чтобы все православные называли их живыми мучениками. Ведь они, живя среди коварных и неверных людей, непоколебимо отстаивают догматы благочестия и подобно светилам просвещают мир законом Христа.
