В ТОЙ ЖЕ ДЕНЬ. СЛОВО О УБИЕНИИ ЗЛОЧЕСТИВАГО ЦАРЯ БАТЫЯ	В ТОТ ЖЕ ДЕНЬ. СЛОВО ОБ УБИЕНИИ ЗЛОЧЕСТИВОГО ЦАРЯ БАТЫЯ
И понеже злочестивый онъ и злоименитый мучитель недоволенъ бываетъ, иже толика злая, тяжкая и бѣдная христианомъ наведе, и толика множества человѣчества погубивъ, но тщашеся, аще бы мощно и по всей вселеннѣй сотворити, ни да поне именуется христианьское именование.	И так как этому злочестивому и коварному мучителю недостаточно было того, что он столько жестокого, тяжкого и горестного причинил христианам и такое множество погубил людей, то он попытался свершить то же самое и во всей вселенной, чтобы даже и не упоминалось имени христианства.
И абие устремляется къ вечернимъ странам, рекше къ Угромъ,[1] многа мѣста и грады пусты сотворивъ. И бяше видѣти втораго Навходоносора, град Божий Иерусалимъ воююща;[2] съй же злѣйши и губителнѣйши оного, грады испровергая, села же и мѣста пожигая, человѣки же закалаа, и инѣх же плѣняху. И бѣ пророческое слово събываемо, зряще: «Боже, приидоша языци в достоание Твое и оскверни церковь святую Твою».[3] И пакы: «Положиша трупиа рабъ Твоих — брашно птицам небеснымъ и плоти преподобных Твоихъ — звѣремъ земнымъ».[4] Тѣмже иже тогда все человѣчество, вси плакаху, вси въздыхааху, и вси «увы!» възывааху. Инии же глаголаху: «Почто не умрохомъ, яко прежде бывшеи человѣки?! Да быхомъ сих золъ не видѣли. И понеже быхомъ грѣшнийши, паче онѣхъ, яко такова злаа постигоша нас?» Нъ никтоже бѣ утѣшаяй, не бо человѣческое бяше бываемое, но отъ Бога попущаемо грѣхъ ради наших.	И тогда устремился он к западным странам, иначе говоря, к Угорской земле, опустошив многие земли и города. И был он подобен второму Навуходоносору, разорившему град Божий Иерусалим; только этот был еще злее и губительнее того, покоряя крепости, а села и города сжигая, одних людей убивая, а других пленяя. И сбывалось тогда пророческое слово: «Боже, пришли племена в достояние Твое и осквернили церковь святую Твою». И еще: «Повергли трупы рабов Твоих на съедение птицам небесным, а тела преподобных Твоих — зверям земным». Потому-то тогда весь род человеческий, все плакали, все вздыхали и все «увы!» взывали. Другие же говорили: «Зачем мы не умерли, как ранее жившие люди?! Тогда бы мы этих бед не видели. Или мы грешнее других, что нас постигла такая беда?» Но не было никого, кто бы утешил их, ибо свершилось это не по воле людей, но ниспослано было Богом за грехи наши.
Сим же тако бывающимъ, достижеть онъ гнѣвъ Божий и до самого Великаго Варадина, града угорьскаго,[5] той бо среди Угорьскиа земля лежить, древесъ простыхъ мало имущи, но много овощиа, изъобилиа же и вина. Град же весь водами обьведенъ, и от сея крѣпости не боящеся никогоже. Среди же града столпъ стоя, зѣло превысокъ, елико удивляти зрящих на нь.	Вот так гнев Божий и дошел до самого угорского города Великого Варадина, что расположен посреди Угорской земли, имеет мало обычных деревьев, но много плодовых и изобилие виноградников. Город же весь был окружен водою и из-за такого укрепления никого не боялся. Посреди же города башня стояла такая высокая, что изумляла видевших ее.
Бѣ же и тогда самодерьжець тоя земля краль Владиславъ,[6] угромъ же, и чехомъ, и нѣмцемъ, и всему Поморию,[7] даждь и до Великаго моря.[8] Бяху же угры первие въ православии, крещение отъ грекъ приимше,[9] но не поспѣвшимъ своимъ языком грамоту изложити; римляном же, яко близъ сущимъ, приложиша их своей ересѣ послѣдовати. И оттолѣ даждь и до днесь бываетъ тако.	Властелином же той земли над уграми, чехами, немцами и над всем Поморием, даже до Великого моря, был тогда король Владислав. Прежде угры были православными, приняв православие от греков, но не споспешествовали тому, чтобы родственным языком изложить письменность; и так как римляне находились неподалеку, они склонили их стать последователями своей ереси. С тех пор и поныне так и осталось.
Предреченный же краль Власловъ, и той такоже пребывааше, римъской церкве повинуяся, доньдеже приде к нему Сава святый сербьский архиепископъ, и сему паки сотворяетъ приступити к непорочнѣй и христианьстей вѣре гречестий, не явленно, но отай, бояше бо ся въстаниа угровъ на ся. Пребысть же святый Сава, поучая его о православии, мѣсяць 5, и тако отходит въ своя си, единаго священника оставивъ у него, и того тако пребывающа, якоже единого от служащих.	Вот так и этот, выше упомянутый король Власлов, пребывал таким же, повинуясь римской церкви до тех пор, пока к нему не является святой Савва, архиепископ сербский. И побуждает его снова обратиться к непорочной христианской греческой вере, не явно, но тайно, ибо боялся он возмущения против себя угров. И преподобный Савва пробыл, поучая его православию, пять месяцев, а потом ушел назад, оставив у него одного священника, да и тот проживал как один из прислужников.
Той же, оканныхъ оканнѣйши царь Батый, пришед въ землю, грады раздрушая и люди Божии погубляа. Самодеръжцу же Власлову, егоже святый Сава именова Владислава, не поспѣ собратися с людьми своими далечаго ради землям растоаниа, тогда же благополучное время Батый обрѣтъ, творяше, елика хотяше. Той же самодержець, видѣвъ гнѣвъ, пришедший на всю землю, плакаше, не имый что сотворити; на многы дни пребысть, ни хлѣба, ни воды вкушаше, но пребывааше на предреченномъ столпѣ,[10] зря бываемая от безбожных.	Тот же окаянный из окаяннейших царь Батый пришел в эту землю, города разрушая и Божьих людей умерщвляя. И так как властелин Власлов, которого преподобный Савва называл Владиславом, не успел собрать своих людей из-за удаленного расстояния между землями, то Батый, улучив благоприятное время, делал что хотел. А властелин тот, видя гнев, постигший всю землю, плакал, не зная, что делать; многие дни так пробыл, ни хлеба, ни воды не вкушал, только пребывал на уже упомянутой башне, обозревая совершаемое безбожными.
Сестра же его бѣжащи бяше ко брату своему въ град,[11] тыя же варвари достигше, плениша ю и къ Батыю отведоша. Кралъ же Владиславль сиа видѣвъ, и тако сугубый плач и рыдание приложивъ, начат Бога молити, глаголя: «Сия ли щедроты твоя, о Владыко, яко за ихже кровь свою пролиалъ еси безгрѣшне, грѣхъ ради наших?! Предалъ еси насъ в руцѣ царю законопреступну и лукавнѣйшу паче всея земля! Не предаждь насъ до конца, имени Твоего ради![12] Что бо речеть мучитель: „Гдѣ есть Богъ ихъ?!" — Помозѣ, Господи Боже мой, и спаси насъ, по милости твоей, и разумѣютъ всѣ, яко Ты единъ — Господь во всей земли». — Сиа же и ина много, плача, глаголаше, и слезам, текущимъ от очию его, рѣчнымъ быстринамъ подобляахуся. Идѣже аще падаху на мраморие, оно прохождаху насквозѣ, еже есть и до сего дне знамение то видѣти на мрамориехъ.	А сестру его, бежавшую, было, к брату своему в город, те варвары настигли, взяли в плен и отвели к Батыю. И король Владислав видел это и, вновь предавшись горькому плачу и рыданию, начал молить Бога, говоря: «Это ли щедрое милосердие твое, о Владыка, за которое ты, безгрешный, пролил свою кровь за наши грехи?! Отдал нас в руки царя, законопреступного и самого злого во всей земле! Во имя Твое, не оставляй нас совсем! Вот ведь что говорит мучитель: «Где же их Бог?!» — Господи Боже мой, помоги и спаси нас по милосердию твоему, и поймут все, что Ты один — Владыка всей земли». — Это и многое другое говорил он плача, и слезы, лившиеся из его очей, были подобны речным стремнинам. И там, где они падали на мрамор, они прожигали его насквозь, и чудо это и по сей день можно видеть на мраморе.
И от сего познаша помощи Божии быти. Рече же нѣкто кралевѣ: «Сего ради твоихъ слезъ даетъ ти Господь побидити царя злочестива». Начаша смотрити глаголющаго лице, и не видѣша его к тому.	И с этого часа познали они Божью помощь. Некто сказал королю: «За слезы твои дает тебе Господь победить царя злочестивого». Хотел он рассмотреть лицо говорившего, но так и не увидел его.
И шедше же от столпа оного, видѣша конь осѣдланъ, никимъ держимъ, и сѣчиво на немъ, рекше — секира, и от того извѣстнѣйше разумѣша: помощи Божией быти. И тако самодержецъ всѣдъ на коня того, изыде на противных изъ града с вои, елико обрѣтошася с нимъ.	А когда он сошел с башни той, увидел он оседланного коня, никем не удерживаемого, а на нем сечиво, иначе сказать — секиру. И после того окончательно уразумел: быть Божьей помощи. И тогда властелин, сев на коня того, вышел на противника из города с теми воинами, сколько оказалось с ним.
Видѣвше же супротивнии, и абие страхъ нападе на нихъ, и на бѣжание устремишася. Они же въ слѣд женуще, толико множество безбожных варваръ погубиша и богатьство взяша их, елико и числа не бѣша. Иныхъ живых яша. Видѣвъшеи же въ гради оставшеи помощь Божию и побѣду на противныхъ, изыдоша из града и с малою чадию, рекше жены и дѣти, мужескую храбрость въсприимше, и такоже нечестивыхъ побивааху, никомуже противящуся, якоже первие рѣхомъ.	А когда враги увидели их, тотчас же напал на них страх, и они обратились в бегство. А те, вослед им погнавшись, такое множество безбожных варваров истребили и богатства у них отобрали, что и не счесть. Иных же они брали живыми. Когда же остававшиеся в городе увидели Божью помощь и победу над врагом, они вышли из города даже с малолетними, иначе говоря, с женами и детьми, которые обрели мужскую храбрость и тоже уничтожали нечестивых, уже никому не сопротивлявшихся, как я только что сказал.
