Слово нѣкоего калугера о чь<тении> книгъ[1]	Слово некоего старца о чтении книг
Добро есть, братие, почетанье книжьное, паче вьсякому хрьстьяну, блаженеи бо, рече: «Испытаюштии съвѣдѣния Его вьсѣмь сьрдцьмь възиштють Его». Чьто бо, рече, «испытаюштеи съвѣдѣния Его»? — Егда чьтеши книгы, не тъштися бързо иштисти до другыя главизны, нъ поразумѣй, чьто глаголють книгы и словеса та, и тришьды обраштяяся о единой главизнѣ. Рече бо: «Въ сьрдьци моемь съкрыхъ словеса твоя, да не съгрѣшу тебѣ». Не рече «усты тъчью изглаголаахъ», нъ «и въ сьрдьци съкрыхъ, да не съгрѣшу тебѣ», и поразумѣвая убо истиньнѣ писания, правимъ есть ими. Реку же: «Узда коневи правитель есть и въздьржяние, правьдьнику же книгы я».	Полезно, братья, чтение книг каждому христианину, ибо сказал блаженный: «Хранящие откровения Его всем сердцем — взыщут Его». Что это — «хранящие откровение Его»? — Читая книги, не старайся быстро читать от главы до главы, но вдумайся, о чем говорят книги и слова их, трижды возвращаясь к каждой главе. Ибо сказано: «В сердце моем сокрыл Я слова твои, чтобы не согрешить пред тобою». Не сказано «устами лишь произнес», но — «в сердце сокрыл, чтобы не согрешить пред тобою», — подразумевая глубины написанного, направляемый ими. Скажу и я: «Узда и правит конем, и сдерживает его, сущность же праведного — в книгах его».
Не съставить бо ся корабль без гвоздий, ни правьдьникъ бес почитания книжьнааго, и якоже плѣньникомъ умъ стоить у родитель своихъ, тако и правьдьнику о почитаньи книжьнѣмь. Красота воину — оружие, и кораблю — вѣтрила, тако и правѣднику — почитание книжьное. «Отъкрый бо, — рече, — очи мои, да разумѣю чудеса отъ закона Твоего» — очи бо глаголеть размыслъ сьрдьчьный и прочее; «Не съкрый отъ мене заповѣдий твоихъ», — разумѣй, яко не отъ очию съкрый, нъ отъ разума и сьрдца. Тѣмьже и похули не поучаюштаяся, глаголя: «Прокляти уклоняюштеися отъ заповѣдий Твоихъ». Тѣмьже и самъ ся похвали, глаголя: «Коль сладъка словеса твоя, паче меда устомъ моимъ, паче тысяштя злата и сребра». И въспѣтъ, глаголя: «Въздрадуюся азъ о словесехъ твоихъ, яко обрѣтая користь мъногу» — користь бо нарече словеса Божия, глаголя, яко: «Обрѣтохъ недостоинъ сы такъ даръ, еже ми ся поучяти словесьмь твоимъ дьнь и ношть», — то мы, братия, поразумѣимъ и послушаимъ разумьными ушима и поразумѣимъ силу и поучение святыхъ книгъ.	Ни корабля без гвоздей не сделать, ни праведника — без чтения книг, и как у пленников на уме родители их, так у праведника — чтение книг. Воину красота — оружие, а кораблю — паруса, так и праведнику — чтение книг. «Открой, — сказал, — очи мои, — и постигну чудо закона твоего», — ибо очами он называет воображение внутреннее, и так далее; «Не сокрой от меня заповедей твоих», — так понимай, что не от глаз скрывай, но от разума и от сердца. Потому и осудил уклоняющихся от ученья, говоря: «Прокляты избегающие заповедей Твоих...» Потому и сам себя похвалил, говоря: «Как сладки слова твои, слаще меда устам моим, дороже тысяч золота и серебра». И восхвалил, говоря: «Возрадуюсь я о словах твоих, обретая великую прибыль», прибылью называя слово Божье и говоря: «Обрел, недостойный, я дар поучаться словам Твоим день и ночь», — так и мы, братия, постигаем ушами разума услышанное и познаем силу и смысл святых книг.
Послушай ты житья святааго Василия и святааго Иоанна Златоустааго, и святааго Кирила Философа, и инѣхъ многъ святыихъ, како ти съпьрва повѣдають о нихъ рекуште: измлада прилежааху святъхъ книгъ, тоже и на добрая дѣла подвигнушася. Вижь, како ти начятъкъ добрыимъ дѣломъ поучение святыихъ книгъ! Да тѣми, братия, и сими подвигнѣмъся на путь жития ихъ и на дѣла ихъ, и поучаимъся въину книжьныимъ словесьмъ, творяще волю ихъ, якоже велять, да и вѣчьныя жизни достоини будемъ въ вѣкы. Аминь.	Послушай же жития святого Василия и святого Иоанна Златоуста, и святого Кирилла Философа, и многих других святых, как о них говорят впервые о них поведавшие: с детства предавались они святым книгам, а после и на добрые дела подвиглись. Смотри же, что начало добрым делам в поучении книг святых! Так вот, примером этих святых и подвигнемся мы на путь жития их и на дела их, и станем всегда научаться их книжным словом, исполняя их волю, как велят они; тогда и будем достойны мы вечной жизни во веки. Аминь.
Слово нѣкоего отьця къ сыну своему, словеса душепользьная[2]	Слово некоего отца к сыну своему, слова душеполезные
Господи, благослови!	Господи, благослови!
Сыну мой и чадо, приклони ухо свое, послушай отьця своего, съвѣтуюштааго ти спасьная.	Сын мой и чадо, приклони ухо твое, внимая отцу своему, изрекающему тебе спасительное.
Чадо, приближи разумы сьрдьця своего и вънуши глаголы родивъшааго тя, не суть бо на врѣдъ души своей, нъ аште разумьнѣя и имеши я, то къ цьсарьству небесьному вождити будуть.	Чадо, приблизь разум сердца своего и внимай словам родившего тебя, ибо не во вред душе твоей, но ради укрепления разума. И к царству небесному поведут тебя.
Простьри сьрдчьныи съсудъ, да накаплють ти словеса слажьше меду, могуштая оживити и бесъмьртьна явити тя.	Отвори сосуд сердца, и пуст.ь стекают туда слова слаще меда, которые смогут и оживить, и бессмертным явить тебя.
Нъ отъ чесо пьрвое начьну казати тя, сыну мой, чьто ти пьрвѣе явлю: мятежь ли или зълобы свѣта сего — житие ли богоугодьно и спасьно?	Но с чего начну поученье мое, сын мой, что прежде всего явлю: метания и пороки света сего — или житие, богоугодное и спасительное?
Паче же бы нама лѣпоты мыслити, о чадо, отъ Адама, праотьца нашего, до сего нашего вѣка: колико множьство бысть чловѣкъ по земли, и вьси бес памяти бышя, едини же памятьни бышя, и прослушя на небеси и на земли, иже по заповѣдьмъ Божиямъ вься дьни своя пожиша и къ единому вышьнему възирааху; иже въ кротости пожиша и въ добрословьи уста своя учиниша; иже малъмь свѣта сего причящааху ся, вьсю же свою мысль, вьсе свое хотѣние въ бесъмрьтьное житие правляаху и о томъ единомь въздыхааху и моляаху бъшью Бога, яко достоиномъ его явити ся.	Лучше всего нам, чадо, продумать жизнь от Адама, праотца нашего, до этого нашего века: как много людей прошло по земле, и все забыты, лишь единицы в памяти, прославившиеся на небесах и на земле, те, которые по заповедям Божьим все дни свои прожили, взирая лишь на Всевышнего; некоторые прожили кротко, только добрым словом уста свои утруждая; некоторые мало света сего касались, всю свою мысль, все желанья направив к бессмертной жизни и о ней единой вздыхая, Бога моля достойньш Его явиться.
