МЕСЯЦЯ ТОГО ЖЕ ВЪ 14	ТОГО ЖЕ МЕСЯЦА В ЧЕТЫРНАДЦАТЫЙ ДЕНЬ
ВЪЗДВИЖЕНИЕ ЧЬСТНААГО КРЬСТА	ВОЗДВИЖЕНИЕ ЧЕСТНОГО КРЕСТА
Тропарь гласа 2. Живящий крестъ твоея благости, егоже дарова намъ недостойныимъ, Господи, тебе приносимъ въ молитву. Спасай князя[1] и люди молящая тя, Богородица ради, едине Человеколюбьче.	Тропарь второго гласа. Животворящий крест твоей благости, который ты даровал нам недостойным, Господи, тебе приносим как молитву. Спасай князя и людей, молящихся тебе, ради Богородицы, о единственный Человеколюбец.
Сѣдаленъ гласа 6. Днесь пророческое събысться слово, се бо покланяемъся на мѣстѣ, идеже стоясте нозѣ твои, Господи. И древо спасения приимъши, грѣховныихъ страсти свободу улучихомъ молитвами Богородица, едине Человеколюбче.	Седален гласа шестого. Сегодня сбылось пророческое слово, ибо вот мы поклоняемся на месте, где стояли твои ноги, Господи. И приняв древо Спасения, получили мы свободу от греховных страстей молитвами Богородицы, о единственный Человеколюбец.
Крестъ твой, Господи, освятися, тѣмь бо бывають цѣления болящиимъ грѣхы, темь припадаемъ ти, помилуй насъ.	Крест твой, Господи, освятился, ибо от него бывают исцеления болеющих грехами, с ним к тебе припадаем, помилуй нас!
Тъкмо въдружися древо крьста твоего, основания подвизашася съмьрти, Господи. Егоже пожьре, любя адъ, отъпусти трепѣща. Показа намъ спасение твое, святый. Славословимъ тя, Сыне Божий, помилуй нас.	Только водружено было древо креста твоего, сдвинулись основания смерти, Господи. Кого ад поглотил с жадностью, того отпустил, трепеща. Ты показал нам спасение твое, Святый. Славословим тебя, Сын Божий, помилуй нас.
Спасение съдѣя посредѣ земля, Христе Боже, на крьстѣ пречистѣи руцѣ свои простьрѣ, събирая вся языки, въпьюща: «Господи, слава тебе!»	Соделав спасение посреди земли, Христе Боже, ты простер на кресте свои пречистые руки, собирая все народы, вопиющие: «Господи, слава тебе!».
Кондак гласа 4, самогласен. Възнесыйся на крьстъ волею, тьзънууму и нынѣ граду твоему[2] щедроты твоя подаждь, Христе Боже. Възвесели силою своею вѣрнаго князя нашего, побѣду дая ему на супостаты, пособье имуща твое оружие — мира непобѣдиму побѣду.	Кондак четвертого гласа, самогласен. Вознесшийся на крест добровольно, тезоименитому ныне граду твоему щедроты твои подай, Христе Боже. Возвесели силою своею верного князя нашего, даруя ему победу на супостатов, ибо помощь твоя ему — оружие мира — непобедимая победа.
Икос, подобен. Иже по третьимь небесе въсхыщенъ бывъ на рай, и глаголы слышавъ неиздреченьныя Божия,[3] ихъже не лѣть языкы глаголати, чьто къ галатомъ пишеть яко рачителемъ? Писание почтьтосте и разумѣстѣ. «Мънѣ, — рече, — хвалитися да не будѣть, тькмо еже о единомъ крьсте Господни»,[4] на немъже страдавъ, уби страсти. Того убо и мы извѣстьно дьржимъ, крьста Господня, похвалу вьсѣхъ, есть бо намъ спасьное се древо.	Икос, подобен. Кто вознесен был до третьего неба, а потом в рай, и слышал неизреченные божественные глаголы, которые нельзя высказать языком, что пишет к возлюбленным галатам? Прочли вы писание и поняли: «Я не буду, — сказал он, — хвалиться ничем, только одним Господним крестом», на котором он, пострадав, убил страдания. Его и мы будем неколебимо держаться, креста Господня, похвалы всех, ибо для нас это древо спасения.
Стихира гласа 6, подобна: Вьсе упование. Моиси прообразуя, руцѣ въздѣвъ на высоту и побѣжая Амалика мучителя крьстъмь чьстьныимь.[5] Тъ бо вѣрьныимъ хвала, мученикомъ крѣпость, апостоломъ украшение, правьдьнимъ възбраньникъ, вьсемъ преподобнымъ спасение. Темьже и´ въздвижемъ видящи, вься тварь веселиться и праздьнуеть, славящи Христа, тѣмь бо растоящая събьравшааго и отъ коньць благодатью.	Стихира шестого гласа, подобна: Все упование. Моисей прообразуя <крест>, воздел руки на высоту и победил Амалика мучителя <образом> честного креста. Ибо крест верным похвала, мученикам крепость, апостолам украшение, праведным защитник, всем преподобньш спасение. Поэтому, видя его воздвигаемым, вся тварь веселится и празднует, славя Христа, благодатью <креста> собравшего рассеянных со <всех> концов <земли>.
Крьстъ, въздвизаемъ на немь възнесенуму, страсть пречистую пѣти повелѣваеть твари всея, на томь бо убивъ нас убившааго, и умьрщвении въставихомъся. И удобри, и на небесьхъ жити сподоби, яко милосьрдъ, премъножьствъмь благости. Тѣмь радующеся, възнесѣмъ имя его и того възвеличимъ великое съшьствие.	Крест, воздвигаемый вознесенному на нем, повелевает всей твари воспеть пречистую страсть, ибо на нем убил он убившего нас, и, умерщвленные, мы восстали. И ублаготворил нас премножеством благости и сподобил жить на небесах, ибо он милосерд. Поэтому вознесем имя его, радуясь, и возвеличим его великое сошествие.
