В
ТОЙ ЖЕ ДЕНЬ. СЛОВО ОТ ПАТЕРИКА О ПЬЯНЬСВѢ	В
ТОТ ЖЕ ДЕНЬ. СЛОВО ИЗ ПАТЕРИКА О ПЬЯНСТВЕ
Молю
же всякого человека, хотящаго дати покаяние Богу, хранити себе от многа вина,
то бо воздвизаетъ вся похоти въ человецѣ, изгонить страхъ Божий от душа. Обаче
всею силою проси от Бога, да подасть ти страх свой, да желаниемъ твоим, еже къ
Богу, погубиши вся похоти, борющая противу окааннѣй души, хотяща разлучити ю от
Бога, да наслѣдують ю, сего ради творять силою своею борющеся со человекомъ.
Внимай себѣ! Аще мысль твоа стрекнеть тя, яко брат твой имать нѣчто на тя, не
замедли, но скоро въставъ, вижь вещь. Аще понудить тя помышление, не брещи о
нихъ, но дажь покаяние брату своему со умиленымъ гласомъ дондеже умириши ся с
ним.[1]
Не буди жестосердъ на брат свой, но трудися с нимъ, да не погубиши мьзды своеа.
Аще творять ти дѣмони молву о пищи и о ядении, и о велицѣ нищетѣ, не отвѣщай
имъ, но поручи себе Богови всѣмъ сердцемъ своимъ, и почиеши.	Молю
всякого человека, желающего принести покаяние Богу, хранить себя, <не
упиваться> вином, ибо оно пробуждает все похоти в человеке, изгоняет страх
Божий из души. Но всею силою проси у Бога, чтобы подал тебе страх свой, тогда
стремлением своим к Богу погубишь все похоти, одолевающие окаянную душу,
желающие отлучить ее от Бога, чтобы завладеть ею, и потому всею силою терзающие
человека. Внимай себе! Если помыслишь, что брат твой таит что-то на тебя, не
замедли, но скоро встав, подумай о причине. Если, подумав, поймешь, не заботься
о том, но принеси покаяние брату своему со умилением, пока не помиришься с ним.
Не будь жестокосердным к брату своему, но трудись с ним, тогда не погубишь доли
своей. Если шепчут тебе демоны о пище, и о вкушении, и о великой нищете, не
отвечай им, но поручи себя Богу всем сердцем своим, и успокоишься.
