ПЕРВЫЙ СТЕПЕНЬ И ГРАНЬ 1, В НЕЙЖЕ ГЛАВ 75 И ТРИ МИТРОПОЛИТЫ, МИХАИЛ, ЛЕОНТЪ И ИОАН	ПЕРВАЯ СТУПЕНЬ И ГРАНЬ 1-Я, В КОТОРОЙ 75 ГЛАВ И ТРИ МИТРОПОЛИТА, МИХАИЛ, ЛЕОНТ И ИОАНН
МѢСЯЦА ИЮЛИЯ В 15 ДЕНЬ. ПОВѢСТЬ ИЗВѢСТНА ВМАЛЕ ЯВЛЕНА О ВЕЛИЦЕЙ РУСТЕЙ ЗЕМЛИ И О НАЧАЛЕ ЦАРСТВУЮЩИХ В НЕЙ. И ЖИТИЕ И ПОХВАЛА БЛАЖЕННАГО И ДОСТОХВАЛНАГО И РАВНОАПОСТОЛЬНАГО ЦАРЯ И ВЕЛИКОГО КНЯЗЯ СВЯТАГО И ПРАВЕДНАГО ВЛАДИМИРА,[1] НАРЕЧЕННАГО ВО СВЯТОМ КРЕЩЕНИИ ВАСИЛИЯ, ВСЕА РУСКИЯ ЗЕМЛИ САМОДЕРЖЦА: КАКО ВЗЫСКА ПРАВОѢРНЫЯ ВѢРЫ и КАКО ВЗЕМ КОРСУНЬ ГРАД, В НЕМЖЕ И ПОЛУЧИ СВЯТОЕ КРЕЩЕНИЕ,[2] ИМЖЕ И ВСЮ РУСКУЮ ЗЕМЛЮ ПРОСВѢТИ, И КАКО ПРАВОВѢРНО ПОЖИВЕ, И ВСЮ ДЕРЖАВУ СВОЮ БЛАГОЧЕСТНО УПАСЕ, И ВѢРУ ПРАВОСЛАВНУЮ НЕПОКОЛЕБЛЕМО УТВЕРДИ, И О ПРОЧИХ ПРАВЕДНИЦЕХ СВЯТОГО СРОДСТВИЯ ЕГО	МЕСЯЦА ИЮЛЯ В 15-Й ДЕНЬ. ПОВЕСТВОВАНИЕ, ВКРАТЦЕ ИЗВЕСТВУЮЩЕЕ О ВЕЛИКОЙ РУССКОЙ ЗЕМЛЕ И О ТОМ, КТО ПЕРВОНАЧАЛЬНО В НЕЙ ЦАРСТВОВАЛ. И ЖИТИЕ С ПОХВАЛОЙ БЛАЖЕННОГО И ДОСТОХВАЛЬНОГО И РАВНОАПОСТОЛЬНОГО ЦАРЯ И ВЕЛИКОГО КНЯЗЯ СВЯТОГО И ПРАВЕДНОГО ВЛАДИМИРА, НАРЕЧЕННОГО ВО СВЯТОМ КРЕЩЕНИИ ВАСИЛИЕМ, ВСЕЙ РУССКОЙ ЗЕМЛИ САМОДЕРЖЦА: КАК ВЗЫСКАЛ ОН ПРАВОВЕРНУЮ ВЕРУ И КАК ВЗЯЛ ГРАД КОРСУНЬ, ГДЕ И ПОЛУЧИЛ СВЯТОЕ КРЕЩЕНИЕ, КОИМ И ВСЮ РУССКУЮ ЗЕМЛЮ ПРОСВЕТИЛ, И КАК ЖИЛ ОН ПРАВОВЕРНО, И ВСЮ ДЕРЖАВУ СВОЮ БЛАГОЧЕСТИВО УПРАВИЛ, И УТВЕРДИЛ ВЕРУ ПРАВОСЛАВНУЮ НЕПОКОЛЕБИМО, И О ДРУГИХ ПРАВЕДНИКАХ ИЗ СВЯТОЙ ЕГО РОДНИ
Благослови, отче!	Благослови, отче!
Глава 1. Всяко дѣло благо начинается и совершается о имени трисвятыя, единосущныя, вседержителныя и нераздѣлимыя Троицы, Отца и Сына и Святаго Духа, иже есть Богъ нашь, о немже живем, и движемся, и есмы. Егоже благоволением и сия повѣсть хощет предложитися яже о блаженнем и приснопамятнем и всея Руския земли самодержцы, о великом князе Владимире Свѣтославичи, иже всю землю превеликия своея державы просвѣти святым крещением. О немже преже сего обрѣтаеми суть многия повѣсти,[3] глаголемы и пишемы, и похвалами доволно украшены, — но обаче не в едином мѣсте, но на многи части, особь каяждо: ова в лѣтописаниих, иная же индѣ, прочая же вкратцѣ писана в житии его, многая же в похвалах его. И от всѣх сих яко от многоразличных цвѣтецъ хотящу собратися во едину словесную пленицу благословением и повелѣнием господина пресвященнаго Макария, митрополита всеа Русии, в царство боговѣнчаннаго царя и великаго князя Ивана Васильевича, государя и самодержца всеа Русии, иже бысть от сѣмени сего блаженнаго Владимира седмыйнадесят степень, от Рюрика же двадесятый степень.	Глава 1. Всякое благое дело начинается и совершается во имя трисвятой, единосущной, вседержительной и неразделимой Троицы, Отца и Сына и Святого Духа, Бога нашего, благодаря которому мы живем, и движемся, и существуем. По благословению кого и сей рассказ будет излагаться о блаженном и приснопамятном всей Русской земли самодержце, великом князе Владимире Святославиче, о том, кто всю землю огромной своей державы просветил святым крещением. О ком и прежде сего обреталось много сказаний, устных и письменных, украшенных вдоволь похвалами, — но только не в одном месте, а разными частями, каждая отдельно: одно в летописании, другое в другом месте, иное кратко писано в житии его, и многое — в похвалах его. И из всего этого, как из разнообразных цветов, захотели собрать один словесный венок по благословению и повелению господина <нашего> преосвященного Макария, митрополита всея Руси, в царствование боговенчанного царя и великого князя Ивана Васильевича, государя и самодержца всея Руси, что стал потомком сего блаженного Владимира в семнадцатой ступени, от Рюрика же — двадцатая ступень.
Егда же повелѣнно есть нам сия снискати, и тогда зазрѣх своему недостоинству, совѣстию обличаем от безмѣрных моих согрѣшений, паче же не имый учения нраву и обычаю и удобну слову, еже касатися сему великому дѣлу. Но обаче убояхся лениваго раба осуждения[4] и смерти от преслушания — и не собою уповающи, но ради богоподражателнаго послушания повелѣнное нам без рассуждения писати дерзнухом, уповающе на молитвы сего Божия избраннаго сосуда, святаго и равноапостольнаго царя и великаго князя Владимира, нареченнаго во святом крещении Василия, яко да испросит у Бога ослабу многим моим согрѣшением, и тако надежду имуще неотъемлемую благодать человѣколюбия Божия, поминающе реченное богоотца Давыда:[5] «Правду твою, и милость, и истинну не скрых в сердцы моем от сонма многа».[6] Такоже и церковный учитель и светило всего мира Павел апостолъ к Тимофею писаше, глаголя: «Еже слыша от мене многими послухи, сия предай вѣрным человѣком».[7] И блаженный апостолъ Лука, начиная святое Евангелие писати, к Феофилу глаголя: «Понеже мнози начаша чинити повѣсть о извѣстованных в нас вещех, якоже предаша нам иже исперва самовидцы и слуги бывши Словеси, изволися и мнѣ послѣдовавшу выше всѣх испытно по ряду писати».[8] Послѣди же той же Лука к тому же Феофилу писаше Дѣяния Апостолская; потомъ же и инии мнози просвѣщением Святаго Духа писаша многих святых Жития и Мучения. Тако и сего блаженнаго Владимира достойно и в лѣпоту яже о немъ многоразличная истинная повѣдания во едину повѣсть снискати во славу Христу Богу, творящему дивная и преславная, и еликоже слово разума подасть нашему недоумѣнию, той сам Господь Богъ нашь, о немже сие начинающе повѣдание, молим и спрызываем всѣх празднолюбныхъ собори, от всѣх требующе благоприятны молитвы на торжество предложения Слову.	Когда же было повелено нам сие собрать, тогда устыдился я своего недостоинства, обличаем совестью в безмерных своих прегрешениях, да к тому же не владеющий учеными навыками и приемами и подобающей речью, чтобы прикасаться к сему великому делу. Но, однако, убоялся я быть осужденным как ленивый раб и сподобиться смерти за ослушание — и дерзнул, не на себя уповая, а ради богоподражательного послушания, без рассуждения писать о том, что было повелено нам, уповая на молитвы сего Богом избранного сосуда, святого и равноапостольного царя и великого князя Владимира, нареченного в святом крещении Василием, на то, что испросит он у Бога ослабу многим моим прегрешениям, и надеясь на неизбывную благодать Божьего человеколюбия, вспоминая сказанное богоотцом Давыдом: «Правду твою, и милость, и истину не скрыл я в сердце своем от сонма людского». Так и учитель церкви и светило всего мира апостол Павел писал к Тимофею, говоря ему: «Что слышал ты от меня при многих свидетелях, передай это верным людям». И блаженный апостол Лука, начиная писать святое Евангелие, говорил Феофилу: «Поскольку многие начали чинить повествование об известных между нами событиях, как передали нам те, кто был с самого начала очевидцами и слугами Слова, то решил и я по тщательном исследовании всего написать все по порядку». Потом тот же Лука тому же Феофилу написал Деяния Апостольские; а потом и многие другие по просвещению Святого Духа написали многих святых Жития и Мучения. Так и о сем блаженном Владимире достойно и хорошо собрать в одно повествование множество разных и правдивых известий во славу Христу Богу, творящему дивное и преславное, тому, кто подаст <дар> разумного слова нашему неразумию, самому Господу Богу нашему, с чьей помощью начиная это повествование, молим мы и взываем ко всему любящему церковные празднества собору, прося у всех благоприятной молитвы для торжества предлагаемого Слова.
Приидѣте, отцы, возвѣстите нам и научите ны, и еже ко Христу предстателствомъ вашим помозите нам! Приидѣте, братия, и спотрудитеся, и совѣт благъ к разумѣнию предложите нам, и недостаточная наполняйте, слова вѣнецъ на ползу слышащим украшающе! Приидѣте, чада, и со вниманием послушайте и страху Господню научитеся! Приидѣте, вси единоземнии нам, и благовѣрием преспѣвающе сликоствуйте настоящему торжеству сего преславнаго в самодержцѣх великаго князя Владимира, общаго нашего отца и учителя, имже истиннаго Бога познахомъ и святым крещением просвѣтихомся! Приидѣте, вси окрестнии страны, и разумѣвайте дѣла Божия и, покаряющеся, просвѣтитеся, ревнующе благому произволению дивнаго сего самодержателя Владимира!	Приидите, отцы, возвестите нам и научите нас, и помогите вашим пред Христом ходатайством! Приидите, братья, и потрудитесь с нами, и благой совет нам на разумение дайте, и довершите недостающее, венец словесный для пользы слушающих украшая! Приидите, чада, и со вниманием послушайте и страху Господню научитесь! Приидите, все соотечественники наши, и, в благой вере преуспевая, вместе с нами ликуйте о настоящем торжестве сего преславного меж самодержцев великого князя Владимира, общего нашего отца и учителя, через кого мы истинного Бога познали и святым крещением просветились! Приидите, все окрестные земли, и познайте дела Божии, и, покорившись, просветитесь, ревнуя благому произволению дивного сего самодержца Владимира!
Почто же наречеся Владимиръ? Владыческое бо имя преименито есть всякому имяни, понеже единъ Богъ — владый миром, видимымъ и невидимымъ, и всею тварию. Дивно имя Владимиръ, Божияго звания тезоименитое наречение! Таковым дивным именованием преже сего Владимира не получи никтоже именоватися. Сей же самодержавный не туне Владимир именовася, иже никимже отъ человекъ не обладан бысть, но сам владый над всею Русиею и многимъ странам одолевая. И тако самовластно, душелюбителным изволением, наипаче же Святаго Духа осиянием, идолскую прелесть до конца возненавидѣ, истиннаго Бога, Творца вѣком и твари всея содѣтеля и господа, многожелателно взыска и люботрудно обрѣте, его же благодатию весь обогатися, и владычественымъ и царьственымъ именованиемъ преславно прославися.	Чего же ради наречен он был Владимиром? Владыческое ведь имя превыше есть всякого имени, ибо один Бог есть тот, кто владеет миром, видимым и невидимым, и всем творением. Дивно имя Владимир, тому, как называют Бога, тождественное слово! Таковым дивным именованием никто прежде сего Владимира не удостоился именоваться. Сей же самодержавный недаром стал именоваться Владимиром, тот, кем никто из людей не владел, но кто сам был владеющим всею Русью и побеждающим многие страны. И так, по собственной воле, по изволению и любви своей души, а всего больше — осиянием Святого Духа, возненавидел он вконец идольское прельщение и истинного Бога, творца вечности и создателя и господина всякой твари, с великим желанием взыскал, и с любовью в трудах обрел, и обогатился весь его благодатью, и владычным и царским именованием славно прославился.
Сий Владимир — добляя благочестия вѣтвь! Сий Владимир — апостольский ревнитель! Сий Владимир — церковное утвержение! Сий Владимиръ — идольский раздрушитель! Сий Владимир — благовѣрия проповѣдник! Сий Владимир — царская похвала! Вся того правовѣрная исправления дивна! Того вся благочестивая проповѣдания красна! По истинѣ рещи, аще и от нечестива родителя сицевым именемъ прозвася, всеже се Божия промысла дѣйству послѣдуя и въ лѣпоту Владимир наречеся, яко да владый миром и побежая супостаты, не токмо егда в нечестии пребывая, наипаче же послѣди, егда и во благочестии преспѣвая и владый миромъ и премирная наслѣдова, и не токмо видимыя враги побѣжаше, но и невидимыя, и самого диявола и всяко нечестие потреби и правовѣрие укрѣпи. И тако во святомъ крещении сугубо и тезоименитство царскаго звания приобрѣте: Василие наречен бысть. «Василие» же по греческому языку глаголется, по рускому же языку толкуется «царь». Василий бо царское священие, царское же се и Божественое именование.	Сей Владимир — благочестия ветвь добрая! Сей Владимир — апостолов ревнитель! Сей Владимир — церкви укрепление! Сей Владимир — идолов разрушитель! Сей Владимир — благоверия проповедник! Сей Владимир — царям хвала! Все его правоверные деяния дивны! Все его благочестивые наставления прекрасны! Сказать воистину, хоть и от нечестивого родителя таковым именем был он назван, а все же по Божьему промыслу и во благо был наречен Владимиром, — чтобы владеть миром и побеждать врагов, не только, когда пребывал в нечестии, но больше всего потом, когда, в благочестии подвизаясь, владел он миром и унаследовал надмирное, и не только видимых врагов побеждал, но и невидимых, и самого дьявола и всяческое нечестие истребил и укрепил правоверие. И так в святом крещении во второй раз получил он имя, тождественное царскому именованию: был наречен Василием. Ибо «Василий» на греческом языке говорится, на русском же языке толкуется «царь». Ибо Василий — это освящение царей, царское это и Божье именование.
Глава 2. Владимир бысть сродник Августу Кесарю.[9] Кто же и откуду и от коего сродствия бысть сий Божий избранный сосуд, сугубо царскоименитый самодержец, Владыческо и царско звание имѣя? Сий преименитый самодержавный царь и великий князь Владимиръ — сынъ пресловущаго во храбрости великого князя Свѣтослава, внук самодержавнаго Игоря и достохвалныя в премудрости блаженныя и великия княгини Ольги, правнук Рюриков, первовладычествующаго в великом Новѣграде и во всей Руской земли. Не худа же рода бяху и не незнаема, но паче — преименита и славна римскаго кесаря Августа, обладающаго всею вселенною и единоначальствующаго на земли во время перваго пришествия на землю Господа Бога и Спаса нашего Исуса Христа, иже егда нашего ради спасения изволи родитися от безневѣстныя и Пречистыя Приснодѣвы Мария. Сий кесар Август разреди вселенную братии своей и сродником. Прус. Емуже бяше присный брат именемъ Прус; и сему Прусу тогда поручено бысть властодержство в березех Вислы реки, град Мадборок, и Торун, и Хвойница, и пресловый Гданескъ, и ины многи грады по реку глаголемую Нѣмон, впадшую в море, иже и до нынѣ зовется Пруская земля.[10] От сего же Пруса сѣмени бяше вышереченный Рюрик и братия его; и егда еще живяху за моремъ, и тогда варяги именовахуся и из-за мория имаху дань на чюди, и на словенех, и на кривичех.[11]	Глава 2. Владимир был сродником Августа Кесаря. Кто же и откуда, и от какого рода был сей Богом избранный сосуд, дважды по-царски названный самодержец, царское и владыческое имя имевший? Сей знаменитый самодержавный царь и великий князь Владимир — сын знаменитого храбростью великого князя Святослава, внук самодержца Игоря и достохвальной в премудрости блаженной великой княгини Ольги, правнук Рюрика, первовластительствовавшего в Великом Новгороде и во всей Русской земле. И не из худого рода они были и не из безвестного, нет, более того — из <рода> знаменитого и славного римского кесаря Августа, владевшего всей вселенной и единовластвовавшего на земле во время первого пришествия на землю Господа Бога и Спаса нашего Исуса Христа, когда Он нашего ради спасения благоволил родиться от безневестной и Пречистой Приснодевы Марии. Сей кесарь Август разделил вселенную меж братии своей и сродников. Прус. Был у него родной брат по имени Прус; и сему Прусу было тогда поручено держать власть на берегах реки Вислы, над городами Мальборгом, Торунем, Хвойницей и знаменитым Гданьском, и над другими многими городами вплоть до реки, называемой Неманом, впадающей в море, — надо всем тем, что и доныне зовется Прусской землей. Из потомства этого Пруса были вышеназванный Рюрик и его братья; когда жили они еще за морем, тогда звались варягами и из-за моря брали дань с чуди, и со словен, и с кривичей.
Глава 3. Начало в Руси Рюрикова самодержства в Новѣграде. В лѣта греческаго царя Михаила, царствующаго во Царѣграде, и матери его Феодоры, сотворших правовѣрие о святых иконах,[12] еже и донынѣ церкви Божия празднует в первую недѣлю святаго и Великаго поста,[13] ходиша русь на Царьград воевати.[14] В та же лѣта новгородцы и меря[15] и кривичи изгнаша варяг за море и дани не начаша давати, и сами начаша владѣти собою. И бысть в них нестроение велие и межуусобное убийство. И паки, в лѣто 6370, послаша русь к варягом, зовуще их к себѣ, державьствовати Рускою землею.[16] И избрася вышереченный Рюрик, с ним же два брата его, Трувор и Синеус,[17] и приидоша из-за мория на Русь и с роды своими. И сѣде Рюрик в Новѣгороде, а Синеус на Белѣозере, а Трувор во Изборцѣ. И по двою лѣту Синеус умре, по том же и Трувор; и бысть Рюрик единодержец надо всею Рускою землею; державствова 17 лѣт. Новогородцы же, видѣвше Рюриково доброродство и мужественое его остроумие, и яко пророчествоваху, глаголюще к себѣ: «Разумѣйте, братие, яко непремѣнно имамы быти под единем игом державно обладаеми от сего Рюрика и от роду его; и не токмо упразднится ими самовластие наше, но и рабы им будем». Тогда бо Рюрик уби нѣкоего храбра новогородца именемъ Вадима и иных многих новогородец, совѣтников его.[18] Аще тогда и нечестиви бяху новогородцы, но обаче по проречению их, паче же благоволением Божиим, и донынѣ непремѣнно царствуют ими от Рюрикова сѣмени благородное изращение: якоже преже в нечестии повиновахуся им и до сего блаженнаго Владимира, наипаче же егда от святаго сего Владимира сподобишася познати сущаго Бога и просвѣщени быша святым крещением, и сияху благочестием, и неподвижно и неотступно вѣру Христову держаще, и непремѣнно обладаеми Владимировыми благодарными чады и внучаты и в роды и роды.	Глава 3. Начало на Руси Рюрикова самодержавного правления в Новгороде. В годы царствовавшего в Царьграде греческого царя Михаила и матери его Феодоры, сотворивших <провозглашение> правоверного <учения> о святых иконах, что и доныне церковь Божия празднует в первое воскресенье святого Великого поста, ходили русь на Царьград войной. В те же годы новгородцы, меря и кривичи прогнали варягов за море и не стали давать им дани, и сами стали у себя править. И сделались у них великие беспорядки и междоусобные убийства. И снова, в год 6370 (862), послали русь к варягам, зовя их к себе, владеть Русскою землею. И был выбран вышеназванный Рюрик, а с ним два его брата, Трувор и Синеус, и пришли они из-за моря на Русь с родичами своими. И сел Рюрик в Новгороде, а Синеус на Белоозере, а Трувор в Изборске. И по прошествии двух лет Синеус умер, а за ним — Трувор; и стал Рюрик единовластным правителем над всей Русской землею; властительствовал 17 лет. И новгородцы, видя Рюриково происхождение из доброго рода и храбрый и острый его ум, как напророчествовали, говоря сами себе: «Знайте, братья, что всегда нам быть под одним игом державной власти сего Рюрика и его рода; и не только упразднится из-за них наша собственная власть, но и рабами их будем». Ибо тогда Рюрик убил одного храброго новгородца по имени Вадим и других многих новгородцев, его советников. Хоть и нечестивыми были тогда новгородцы, но, однако, по предсказанию их, больше же — по благоизволению Божию, и доныне без перемен царствуют над ними благородные отпрыски Рюрикова потомства: как повиновались они им прежде в нечестии, до <времен> сего блаженного Владимира, так тем более и после того, как от сего святого Владимира сподобились познать истинного Бога и просвещены были святым крещением, и просияли благочестием, держа непоколебимо и без отступлений Христову веру, постоянно находятся под властью Владимировых благородных чад и внуков, из рода в род.
Глава 4. О Асколде и Дире, о князе Олеге, и о самодержстве Игоревѣ в Киевѣ, и о дани на Царѣграде. Вышереченный же Рюрик, Владимиров прадѣд, не токмо сам в Русстей земли преименит бѣ властию, но и мужие его, в нихже бѣста два: Асколдъ и Дир; и тии воеваста и Римлянскую страну, иже и Киев град населиста многими варяги и сами сѣдоста в нем.[19] Ихже уби Олег князь, снабдѣвая державу Русскую сроднику своему Игорю, сыну Рюрикову, егоже поручи ему Рюрик дѣтска суща.[20] Подобну же времяни достигшу, приведоша Игорю от Плескова на брак премудрую и блаженную Олгу, в лѣта 6411. Олегъ же многих окрестных одолѣ в лѣта 6415 и до самого Царяграда прииде по морю во дву тысящ кораблих, с ним же словени, чюдь, меря, поляне, сѣвера, древляне, радимичи, вятичи, хорвати, дулѣбы, тивирицы;[21] и поплениша всю землю и оступиша Царьград. Они же препяша чепъ через море; Олег же извлек корабли на колеса,[22] и возняша паруси, — и поидоша в кораблих ко граду по суху. Царие же, Лев Премудрый, Александръ[23] брат его, и вси грецы убояшася, сотвориша с ним мир и дань начаша давати. Олег же повѣси у них щит свой во вратѣх,[24] и возваху Олега вѣщим.[25]	Глава 4. Об Аскольде и Дире, и о князе Олеге, и о самодержавном правлении Игоря в Киеве, и о дани с Царьграда. Не только сам вышеназванный Рюрик, Владимиров прадед, был знаменит как властелин в Земле русской, но и его люди, среди которых было двое: Аскольд и Дир; они ходили воевать в Римскую землю, они и Киев-град населили множеством варягов и сами сели в нем править. Их убил князь Олег, приуготовляя Русскую державу сроднику своему Игорю, Рюрикову сыну, которого поручил ему Рюрик ребенком. Когда пришло подобающее время, привели Игорю на брак из Пскова премудрую и блаженную Ольгу, в 6411 (903) году. А Олег в 6415 (907) году победил многие окрестные народы и на двух тысячах кораблей дошел по морю до самого Царьграда, а с ним словене, чудь, меря, поляне, севера, древляне, радимичи, вятичи, хорваты, дулебы, тиверцы; и попленили они всю греческую землю и обступили Царьград. <Греки> же замкнули на цепь морскую <бухту>; а Олег поставил корабли на колеса, и подняли они паруса, — и пошли на кораблях к городу по суше. И испугались цари Лев Премудрый и брат его Александр и все греки, заключили с ним мир и стали давать дань. А Олег повесил у них свой щит на вратах, и прозвали Олега вещим.
