ВЪТОРЫЙ СТЕПЕНЬ И ГРАНЬ 2, В НЕМЖЕ ГЛАВ 8 И ДВА МИТРОПОЛИТЫ, ФЕОПЕНТЪ, ИЛАРИОНЪ	ВТОРАЯ СТУПЕНЬ И ГРАНЬ 2-Я, В КОТОРОЙ 8 ГЛАВ И ДВА МИТРОПОЛИТА, ФЕОПЕМТ И ИЛАРИОН
О БЛАГОВѢРНОМЪ И БОГОХРАНИМОМ ВЕЛИКОМ КНЯЗЕ ГЕОРГИИ-ЯРОСЛАВѢ ВЛАДИМЕРИЧИ	О БЛАГОВЕРНОМ И БОГОХРАНИМОМ ВЕЛИКОМ КНЯЗЕ ГЕОРГИИ-ЯРОСЛАВЕ ВЛАДИМИРОВИЧЕ
Глава 1. Иже Божием благоволением просвещеннаго благочестием святого корени многорасленная вѣтвь и доброплодная и Богу благопотребная сий благовѣрный и богохранимый великий князь Ярослав, нареченный во святом крещении Георгий, якоже толкуется сие имя — «Божие дѣло».[1] Во истини убо Божие дѣло есть сий богоподражателный сынъ же и наслѣдник равноапостолнаго царя и великого князя Владимера, от негоже вся Русская земля прият святое крещение, от негоже бысть сий Георгий вторый степен благочестию; четвертый же во братии своей, иже от Рогнѣды родися, от Рюрика же 5. О немже речено есть в Первой степени, во главѣ 69 и въ 73, како одолѣв окаяннаго братоубийцу Свѣтополка,[2] и тако благоволением Божиим бысть же един самодержствуя и добре правяй скипетро всего Рускаго царствия. Аще же и хромоног бяше, но благоразумным велемудрием преудобрен, во бранех же храбор и мужествен бѣ, наипаче же Божий страх имѣя, от благаго же произволения и отческимъ богомудроственым стопам правовѣрно послѣдуя, и вся православныя дохматы по Бозѣ трудолюбно утверждая, и вся християнския законы непревратно исправляя, и прочая благочестивыя уставы не умаляя, ни превращая, но паче сугубо наполняя и недокончанная навершая, якоже Соломон,[3] Давыдъ, на святость и на украшение Богом дарованныя им державы.	Глава 1. Сей благоверный и богохранимый князь великий Ярослав, нареченный во святом крещении именем Георгий, что толкуется как «Божье дело», — пышная, полная добрых плодов и благопотребная Богу ветвь от просвещенного по Божьей воле благочестивого святого корня. Воистину Божье дело — сей Богу подражавший сын и наследник равноапостольного царя и великого князя Владимира, от которого вся Русская земля приняла святое крещение, от которого сей Георгий стал второй ступенью благочестия; четвертый средь своих братьев, родился он от Рогнеды, от Рюрика же пятый. О нем же сказано в Первой ступени, в главах 69-й и в 73-й, как, победив окаянного братоубийцу Святополка, стал он по Божьей воле один самодержавно править и хорошо держал скипетр всего Русского царства. Был он хотя и хром, но преисполнен благого разума и великой мудрости, в сраженьях был храбр и мужествен, а самое главное — Божий страх имел и по доброй воле правоверно следовал по богомудрым отцовским стопам, и все православные догматы о Боге утверждал в трудах с любовью, и все христианские законы без искажения содержал, и все прочие благочестивые уставы не умалял и не изменял, но больше того — усугублял их полноту и до конца доводил неоконченное, как Соломон и Давыд, для святости и украшения Богом дарованной им державы.
Якоже древле возлюби Богъ и благослови и умножи сѣмя праведнаго Авраама,[4] тако и здѣ в новой благодати в Рустей земли возлюби Богъ и благослови и умножи новаго Израиля, сѣмя праведнаго Василия, рекомаго Владимера, иже и до нынѣ вси тщахуся угодная Богу сотворити. Якоже сий богомудрый Георгий-Ярослав сам тщашеся угодная Богу сотворити и вся благолѣпотныя чиновы християнскаго исполнения и церковнаго свѣтлоукрашения и святых апостолъ и святых отецъ предания удобрити и уяснити, такоже и во всей области царствия своего вся люди во благочестие управляя, и многи святыя церкви поставляя, и честныя монастыри устраяя.[5] И таковым подвигом его вѣра християнская в Руси сугубо распростирашеся и утвержашеся совершенным благочестием, и черноризцы умножахуся. Сам же вседушно любяще церковныя уставы и презвитеры по велику чтяше и Божественыя книги прилѣжно сам почиташе.	Как возлюбил древле Бог и благословил и умножил потомство праведного Авраама, так и здесь в новой благодати на Русской земле возлюбил Бог и благословил и умножил новый Израиль, потомство праведного Василия, звавшегося Владимиром, всех тех, кто <с тех пор> и до нынешних времен старался творить угодное Богу. И подобно тому как сам сей Богом умудренный Георгий-Ярослав старался творить угодное Богу и все благолепные чинопоследования христианские и светлые церковные украшения и святых апостолов и святых отцов предания украсить и уяснить, так же приводил он к благочестию и всех людей во всех пределах своего царства, и поставил много святых церквей, и честные монастыри устроил. И таковым его подвижничеством христианская вера на Руси распространялась и усугублялась и укреплялась в совершенном благочестии, и умножалось <число> чернецов. Сам же он всей душою любил церковные уставы и глубоко почитал пресвитеров и с прилежанием сам читал Божественные книги.
Глава 2. О снискании святых книгъ. И многи книгописатели собра, и прелагаше от греческих книг на руский язык, и многи книги сниска,[6] имиже поучахуся вѣрнии людие, наслажающеся Божественаго учения. Якоже нѣкто добръ земледѣлец землю взора и учреди, а другий насѣет ю, а инии пожинают и ядят пщу нескудну, татсо и сий благочестивый Руския земли скипетродержател, великий князь Ярослав, на воздѣланной нивѣ человѣчестей отца его святым крещением, он же насѣяв книжными словесы, еже мы, людие его, и до нынѣ пожинаем и пищи бесмертнаго живота насыщаемся от книжнаго учения. Велика бо есть полза от святых книг, имиже наказуеми и учими есть пути покаянию и удержанию от неподобных дѣл и словес, в нихже и мудрость к Богу обрѣтаем. Книжная бо словеса реки сут, напаяющи вселенную, книги об неисчетная премудрости глубина, и сии суть исходящем мости, сими бо в печали утѣшаеми есмы, сии сут уста воздержанию. И что болши тоя премудрости? Якоже и Соломонъ похваляя глаголаше, яко от лица Господня: «Азъ, премудрость, вселих совѣт и разум, и смыслъ аз призвах. Мой страх, мои совѣти, моя мудрость, мое утвержение, моя крѣпость. Мною царие царствуют, а сильнии пишут правду; мною велможи величаются и судия держат землю. Аз мене любящая люблю, и ищущии мене обрящутъ благодать».[7] Аще кто прилѣжно взыщет премудрости, той велику ползу души своей обрящет. Иже бо святыя книги почитает, той з Богом бесѣдует, а иже кто почитает пророческия бесѣды, и евангельския животныя глаголы, и апостольская проповѣдания, и отеческая учения, и жития святых, сей приемлет сугубо ползу души своей.	Глава 2. О собирании святых книг. И собрал <Ярослав> многих книгописцев, и перелагал с книг греческих на русский язык, и собрал много книг, коими верные люди поучались, наслаждаясь Божественным учением. Наподобие того как один хороший земледелец землю вспашет и подготовит, а второй ее засеет, другие же пожинают и едят обильную пищу, так и сей благочестивый Русской земли скипетродержатель, великий князь Ярослав, на возделанной святым крещением отца своего людской ниве засеял книжные словеса, и мы, люди его, и доныне это пожинаем и пищей бессмертной жизни от учения книжного насыщаемся. Ибо велика польза от святых книг, тех, что заставляют и учат нас <идти> путем покаяния и удерживаться от неподобающих дел и слов, — от книг, в коих мы Божескую мудрость обретаем. Ибо книжные словеса — суть реки, напояющие вселенную, книги — это неизмеримая глубина премудрости, они — мощеная дорога для отправляющихся в путь, ими мы утешаемся в печали, они — уста воздержанию. И что больше этой премудрости? Ибо и Соломон возносил <ей> хвалу, говоря, словно от лица Господня: «Я, премудрость, обитаю с советом и разумом и ищу рассудительного смысла. У меня страх <Божий>, у меня совет, у меня мудрость, у меня сила, у меня крепость. Мною цари царствуют и повелители узаконивают правду; мною вельможи величаются и судьи правят землею. Любящих меня я люблю, и ищущие меня найдут благодать». Кто со тщанием взыщет премудрости, тот великую пользу душе своей обрящет. Ибо тот, кто читает святые книги, с Богом беседует, а кто читает пророческие речи, и евангельские глаголы жизни, и апостольские провозвещения, и отеческие поучения, и жития святых, тот сугубую пользу душе своей приемлет.
Христолюбивый же Ярослав зелным тщанием многи книги написав, и положи в церькви Святѣй Софии, юже сам созда и украси[8] златом и сребром и сосуды церковными; и иныя церкви воздвизая по градом и по многимъ мѣстом, и почитая священники, и доволствуя их оброки от имѣния своего, и веля им учити и наставляти люди закону Божию, яко тѣмъ дати отвѣт о душах их. И тако священницы понужаху люди приходити ко святым церквам и учаху их благочестию. И благодатию Христовою умножахуся число священникъ, и людие безчислении Христову закону радостно послѣдоваху. Диявол же сѣтоваше, побежаем новопросвѣщенными людми.	Христолюбивый же Ярослав, с великим тщанием написав многие книги, положил их в церкви Святой Софии, которую сам построил и украсил золотом и серебром и церковными сосудами; и другие церкви воздвиг он по городам и по многим местам, и почитал священников, и обеспечивал их оброком от своих владений, и заставлял их наставлять и учить людей закону Божию, ибо предстоит тем давать ответ об их душах. И так священники понуждали людей приходить ко святым церквам и учили их благочестивой вере. И по благодати Христовой умножалось число священников, и бесчисленное число людей радостно следовало Христову закону. А дьявол сетовал, побеждаемый новопросвещенными людьми.
Глава 3. О побѣдах на сопротивныя и о поставлении града Юрьева Ливонского.[9] Сия же видѣв благовѣрный самодержецъ Ярослав радовашеся и велие благодарение воздаваше Богу. И елико же ему вѣра в сердцы цветяше, и отеческое благочестие во основание трудолюбно назидая и божественными добродѣтелми совершая, потолику преблагий Богъ сугубо тому и державу царствия умножи и многи окружныя страны поработи ему. Покаряющаяся ему мирно устраяше, а враждующих ему оружием к себѣ прикланяше. Печенѣги же устремившаяся бранию на отечество его, и сих Божиею помощию преславно победи.[10] И сам хождаше на супротивныя ему страны, и Ясы[11] взят, такоже и Бѣлзы,[12] взят, и литву одолѣ, и мазовшаны;[13] такоже Юрьевъ немецкой и чюдь победи, иже в предѣлех преславнаго града Пскова, и тамо же и град постави Юрьевъ по имени своему.	Глава 3. О победах над врагами и о построении града Юрьева Ливонского. Видя это, радовался благоверный самодержец Ярослав и возносил великое благодарение Богу. И, поскольку цвела в его сердце вера и полагал он с любовью и трудом в основание ее отцовское благочестие, довершая их божественными добродетелями, за это преблагой Бог умножил вдвое ему владения его царства и подчинил ему многие окрестные земли. Покорявшихся ему он обустраивал с миром, а враждовавших с ним склонял к себе оружием. Устремившихся с войной на отечество его печенегов он с Божьей помощью славно победил. И сам ходил на враждебные ему земли, и взял Ясов, и Белз тоже взял, и одолел литовцев и мазовшан; победил также и Юрьев немецкий и чудь, что в пределах преславного града Пскова, там же и город Юрьев поставил, <назвав его> по своему имени.
Глава 4. Книжное учение в Новѣгороде отрочатомъ.[14] Прииде же в Великий Новград и ту поручи господьствовати сыну своему Владимеру. И собра Ярослав от старѣйшин новоградских и от презвитеро дѣтей 300 и повелѣ их учити грамоте.	Глава 4. Ученье отроков книжной грамоте в Новгороде. И пришел он в Великий Новгород и поручил здесь править сыну своему Владимиру. И собрал Ярослав у старейшин новгородских и пресвитеров триста человек детей и приказал учить их грамоте.
Сынъ же его Владимер и ко Царюграду ходи ратию, отцем послан. В Великом же Новѣграде той же Владимер в лѣто 6555 воздвиже храм велик и пречестен Святыя София,[15] иже есть Божия Слова Премудрости. По сем же и преименитый град Киев совершен бысть, егоже сий великий князь Ярослав болший перваго заложы. Вкупѣ же и церковь Святая София и Златая Врата в лѣто 6545 совершишася.[16] По лѣте же едином и церковь Святыя Богородица, иже в Киевѣ, Феопентомъ митрополитом освящена бысть,[17] юже святый Владимер, отецъ Ярославль, велику созда.	А сын его Владимир и к Царьграду ходил с войском, посланный отцом. В Великом Новгороде этот же Владимир воздвиг в 6555 (1047) году великий и честной храм Святой Софии, что есть Слова Божьего Премудрость. Затем и знаменитая крепостная киевская стена была возведена, та, которую сей великий князь Ярослав больше первой заложил. Вместе с тем и церковь Святой Софии и Золотые Ворота в 6545 (1037) году были построены. А через один год и великая киевская церковь Святой Богородицы освящена была митрополитом Феопентом, та, которую воздвиг святой Владимир, отец Ярослава.
По Феопенъте же митрополите (4 митрополит) совѣтом самодержца Ярослава епископи рустии, сшедшеся и рассудивше по священным правилом божественых апостолъ и святых отецъ, поставиша на Рускую митрополию святителя мужа именем Илариона[18] (5 митрополит), иже ископа себе пещеру, в нейже последи его вселися преподобный Антоний Печерский, о немже доволно есть в Житии его, прочее же в Патерице Печерскомъ.[19]	После же митрополита Феопента (4-й митрополит) по совету самодержца Ярослава русские епископы, собравшись и рассудив по священным правилам божественных апостолов и святых отцов, поставили на Русскую митрополию святителем мужа именем Иларион (5-й митрополит), что выкопал себе пещеру, ту, в которой поселился после него преподобный Антоний Печерский, о котором довольно есть в Житии его, а остальное в Патерике Печерском.
Глава 5. Всякоя святыни исполнение.[20] И тако многотрудным их к Богу преспеянием идолский мрак от нас до конца отгнася, и заря благовѣрия просвети нас. Тма бѣсовскаго служения от нас истребися и погибе, и солнце евангельское землю нашу осия. Капища раздрушишася, и святыя церкви водрузишася. Идоли сокрушишася, и святым иконам поклонение утвержашеся. Бѣси отбѣгаху, и крестный образ грады и мѣста освящаше. Пастырие словесным Христовым овцам умножахуся; святителей чинове, архиепископи и епископи и презвитери и диякони бескровную жертву к Богу возношаху и святыя церкви и весь клирос, благолѣпием одевающе, украшаху. Апостолская труба и евангельский гром вся наша грады огласи, и повсюду благовонный фимиян, к Богу воспущаем, воздух освяти. И многи манастыреве по горам и по удолиям и на островех морских сташа, и повсюду вси людие, мужие и жены, малии и велицыи, исполняху святыя церкви и, воспрославляюще, глаголаху: «Един святъ, един Господь Исусъ Христос во славу Богу Отцу, аминь![21] Христос победи, Христос одолѣ, Христос воцарися и прославися со Отцем и со Святым Духом, иже вездѣ сый и вся исполняя[22] и от небытия в бытие вся приведый!»	Глава 5. Всяческой святости совершение. И так через многотрудное их тщание перед Богом мрак идолослужения был окончательно от нас изгнан, и просветила нас заря благой веры. Тьма бесовского идолослужения истреблена была у нас и исчезла, и евангельское солнце осветило нашу землю. Капища разрушились, а святые церкви воздвиглись. Идолы сокрушились, а поклонение святым иконам утвердилось. Бесы разбегались, и изображение креста освящало города и земли. Число пастырей словесных овец Христовых умножалось, святительские чины, архиепископы, епископы, пресвитеры и дьяконы бескровную жертву Богу возносили и украшали святые церкви и весь клир, одевая их в благолепие. Апостольская труба и евангельский гром огласили все наши города, и благовонный фимиам, воскуряемый повсюду Богу, освятил воздух. И много монастырей в долинах, и на горах, и на островах морских встало, и повсюду народ весь, мужи и жены, малые и великие, наполняли святые церкви и, вознося славу, говорили: «Един свят, един Господь Исус Христос, в славу Богу Отцу, аминь! Христос победил, Христос одолел, Христос воцарился и прославился со Отцом и Святым Духом, тем, который везде есть, и все наполняет, и из небытия в бытие все приводит!»
