ПЯТЫЙ СТЕПЕНЬ, И ДВА МИТРОПОЛИТЫ, КЛИМЕНТЪ, КОСТЯНТИН, И ГРАН 5 <...>	ПЯТАЯ СТУПЕНЬ, И ДВА МИТРОПОЛИТА, КЛИМЕНТ И КОНСТАНТИН, ГРАНЬ 5 <...>
ГЛАВА 11. МѢСЯЦА МАЯ 24. ЖИТИЕ И ПОДВИГЪ БЛАЖЕННЫЯ И ПРЕПОДОБНЫЯ ЕУФРОСИНИИ,[1] ИГУМЕНИИ ВСЕДЕРЖИТЕЛЯ СПАСА И ПРЕЧИСТЫЯ ЕГО МАТЕРЕ, ЕЖЕ ЕСТЬ ВЪ ПОЛОТСКѢ ГРАДѢ	ГЛАВА 11. МЕСЯЦА МАЯ 24. ЖИТИЕ И ПОДВИЖНИЧЕСТВО БЛАЖЕННОЙ И ПРЕПОДОБНОЙ ЕВФРОСИНИИ, ИГУМЕНИИ <МОНАСТЫРЯ> СПАСА-ВСЕДЕРЖИТЕЛЯ И ПРЕЧИСТОЙ ЕГО МАТЕРИ, ЧТО В ГРАДЕ ПОЛОЦКЕ
Благослови, отче!	Благослови, отче!
Благословенъ Господь Богъ Израилевъ, Богъ Авраамовъ, Богъ Исааковъ,[2] Богъ Яковль,[3] — нѣсть Богъ мертвых, но живых! Праведнии бо и по смерти живи суть, якоже Соломон в Притчах глаголет, «праведницы в вѣки живут»[4] и от Господа мзда им и строение ихъ от Вышняго. Сего ради приимут вѣнец из руки Господня, якоже бысть, еже напредпоидущее скажем. И о сих же сице скажем: «Снидетеся, сущии в пустынях и в горах житие анггельское имуще, старии немощь отложше, а унии, яко елени скачюще, вси снидѣтеся! И хощу бо вы представити трапезу от брашен сих, да ядяще возвеселитеся душами вашими. Се бо есть трапеза нетлѣющих брашен; ибо тлѣющее брашно гортань услажает и чрево насыщает, а си душа веселящи и ум укрѣпляющи на подвиги добрых дѣл. Се бо яди, братия, аще кто насытится, не вжадает паки, якоже речено есть в Писании: „Не заморит Господь гладомъ душа праведных"».[5]	Благословен Господь Бог Израилев, Бог Авраама, Бог Исаака, Бог Иакова — Бог не мертвых, а живых! Ибо живы и после смерти праведники, как Соломон в книге Притч глаголет, «вечно праведники живут», и мзда им от Господа и устроение от Всевышнего. Сего ради получат они венец из рук Господних, как это и было, что предстоит нам поведать. И о том вот как скажем: «Придите и соберитесь все живущие ангельским житием в пустынях и пещерах, <на время> забывшие немощь старцы и бегающие, как олени, юноши! Ибо хочу я вам предложить трапезу из этих яств, чтобы, вкушая, возрадовались вы душами вашими. Ибо вот трапеза из нетленных яств; тленные яства услаждают гортань и насыщают чрево, эти же <яства> радуют душу и укрепляют ум на свершение добрых дел. Кто этими яствами, братья, насытится, тот не возжаждет вновь, как сказано в Писании: «Господь не заморит гладом души праведных»«.
Мы же на предлежащая возвратимся, о немже писахом повѣсть сию. Вы же, блазии, послушайте, князи, и боляре, и церковницы. И вы, честнии собори святых, сущих в монастырех, и простии людие, снидетеся на ново се слышание, и послушайте прилѣжно, отверзше ушеса своя и умягчивше нивы сердецъ наших, и приимете многоспасенаго жития, и послушайте жены сея преподобныя святыя подвиги и труды и любовь, яже к Богу. Предпоидуще скажемъ, како ся роди, или от ких родителей, или како ся воспита, и како возрасте, в кою ли мѣру потече во слѣд жениха своего Христа. Но инде скажем о сих по ряду. Сице есть.	Вернемся ж к тому, что лежит пред нами, о чем написали мы эту повесть. Вы же, добрые люди, князья, и бояре, и церкви служители, слушайте. И вы, честное собрание святых, живущие в монастырях, и вы, простые люди, придите и соберитесь, чтобы послушать новую эту повесть, и слушайте прилежно, раскрыв свой слух и умягчив нивы сердец наших, и воспримите <повесть> о многоспасительном житии, и послушайте о святых подвигах и трудах, и о любви сей преподобной жены, что были совершены ради Бога. Предстоит нам сказать, как она родилась и от каких родителей, и как ее воспитали, и как она выросла, и с какой силой пошла во след жениху своему Христу. Но о том скажем в своем месте по порядку. Вот как.
Бысть князь в Полоцку именем Всеслав, сынъ Брячиславов, внук Изяславов, правнук блаженнаго и равноапостолнаго Владимера.[6] Той же Всеслав имяше сыны многи. И бѣяше у него сынъ менший именем Георгий,[7] от негоже родися сии блаженная отроковица.	Был в Полоцке князь по имени Всеслав, сын Брячислава, внук Изяслава, правнук блаженного и равноапостольного Владимира. Было у этого Всеслава много сыновей. И был у него младший сын по имени Георгий, от которого и родилась сия блаженная отроковица.
Родители же ея возрадовастася о рожествѣ ея со всѣм домомъ своим и во днех тѣх повелѣста крестити ю во имя Отца и Сына и Святаго Духа. И питома бѣяше доилицею матере своея, день от дне растяше отроковица. Тѣло млекомъ питѣемо растяше, а душа Святаго Духа наполняшеся. Случи же ся дѣвицы сей ученнѣ быти книжному писанию, еще не достигши ей въ совершенъ возрастъ телеснаго естества, иже молитвы плод. И толма бысть любящи учение, якоже чюдитися отцу ея о толицей любви учению ея. Вѣсти же разшедшися по всѣм градом о мудрости ея и о блазем учении ея и о телесней доброте ея, бяше бо лѣпа лицем.	Родители ее вместе со всем своим домом радовались рождению ее и распорядились в те дни ее крестить во имя Отца и Сына и Святого Духа. Вскормленная кормилицей своей матери, день ото дня росла отроковица. Тело росло, питаемое молоком, а душа наполнялась Святым Духом. Случилось этой девице, еще не достигнув совершеннолетия, быть наученной книжной грамоте, что было плодом молитвы. И настолько любила она ученье, что дивился ее отец столь сильной любви ее к ученью. И разошелся по всем городам слух о ее мудрости и о добром ее учении и о красоте, ибо хороша она была лицом.
Красота же ея многия и славныя князя на любов приведе ко отцу ея, якоже пояти ю невѣсту сыну своему, и всѣм часто присылающимся ко отцу ея. Отецъ же ея отвѣщаваше: «Воля Господня да будет». Един же преодолѣваше славным своим княжением и богатством, прислав ко отцу ея, и испроси дщерь его за сынъ свой. И пришедши ей возраст, и бысть 12 лѣт; и видѣ отецъ ея и нача глаголати княгини своей: «Нам уже лѣпо дати за Предслава[8] князя». Она же глагола ему: «Да како Богъ хощет и твоя воля, княже, тако и будет».	Красота ее привела к любезным отношениям многих славных князей с ее отцом, ибо все они хотели взять ее в невесты для сыновей своих и часто присылали <за этим> к ее отцу. Отец же ее отвечал: «Да будет воля Господня». И вот один, самый славный своим княжением и богатством, прислал к отцу ее и попросил его дочь за своего сына. А пришел ей возраст, исполнилось ей двенадцать лет; и отец ее, видя это, стал говорить своей княгине: «Пора нам отдать ее за князя Предслава». Она же ему отвечала: «Как Богу и воле твоей, князь, угодно, так и будет».
Тогда слышавши Предслава, — тако бо бяше ей нареченно имя родителема своима преже святаго крещения, — размышляя же в себѣ глаголющи; паче же, реку, от Святаго Духа наполняшеся мысли ея. И рече в себѣ: «Како се будет, еже отецъ мыслит причтати мя браку мужеви; но аще такова будет, то печали мира сего гонзнути никакоже лзѣ». Паки рече в себѣ: «Но что успѣша преже нас бывшеи родове наши? И женишася, и посагаша, и княжиша, но — не вѣчно. Житие их мимо тече, и слава их погибе, яко прах и хуждьше паучины. А иже прежнии жены, вземше мужскую крѣпость поидоша во слѣд жениха своего Христа, предаша телеса своя на раны и главы своя мечеви предаша, а другия паче желѣзу выя своя не преклониша, но духовным мечемъ отсѣкоша от себе плотския сласти, предаша телеса своя на постъ и на колѣнное поклоняние, то тии сут памятнии на земли и имена их написана на небесех, и тамо со аггелы беспрестани славят Бога. А сия слава есть прах и пепелъ и яко дым расходится».	Услышав это, Предслава, — ибо таково было ее имя, данное ей до святого крещенья ее родителями, — стала про себя рассуждать и говорить; больше же всего, скажу я, от Святого Духа наполнялись ее мысли. Сказала она себе: «Что это будет, ведь отец задумал соединить меня браком с мужчиной; но если такое случится, то печали мира сего нельзя будет никак избегнуть». Еще сказала она себе: «В чем же преуспели бывшие прежде нас наши предки? Они и женились, и посягали на супружество, и княжили, но — не вечно. Жизнь их прошла, и погибла слава, будто прах и хуже паутины. А вот те прежние жены, что, взявши мужскую крепость, пошли во след жениха своего Христа, отдали тела свои на раны и свои головы мечу предали, иные же больше — не пред железом преклонили свои выи, но отсекли от себя мечом духовным плотские сласти, предали тела свои посту и коленопреклонениям, тех и на земле помнят, и на небесах их имена написаны, там они с ангелами непрестанно славят Бога. А сия слава — прах и пепел и расходится будто дым».
И тако ей размышляющи в сердцы своем, и ум ся болма на Божию любов подвизашеся. И се едино положися в сердцы ея таково помышление, — рече в себѣ: «Не си ли бы луче сего жития сего было, да бых ея постригла в черницы и была бых повинующеся игумении и сестрам и учашеся, како страх Божий утвердити в сердцы своем и како течение свершити». Се на умѣ положше, и иде в монастырь, утаившися отца своего, и матере, и всѣх домочадец.	И когда так она в сердце своем размышляла, ум ее еще больше простирался к любви Божией. И вот в сердце ее сложилось такое единственное решение — сказала она себе: «Не лучше ли было б, если бы вместо такой жизни постриглась бы я в черницы и стала повиноваться игуменье и сестрам, и училась, как утвердить в сердце своем страх Божий, как свершить жизненное течение». Положив это себе на ум, пошла она в монастырь тайно от своего отца, и от матери, и от всех домочадцев.
В та же лѣта бѣяше княгиня Романова черница.[9] И прииде к ней, просящи прияти анггельскаго образа и причьтатися ту сущим черницам и быти под игом Христовым. И видѣвши она блаженная жена уность ея и возрастъ цвѣтущий оней, и не хотящи пострищи ю, и смятеся и наче тѣлом утерпати и сердцемъ ужасатися, и лице на землю преклонши, на долгъ час ничющи; восклоншися, и возрѣ на юность ея, и воздохнув, и прослезися, глагола ей: «Чадо мое, како се могу сотворити? Отецъ твой, увѣдѣв, со всяким гнѣвомъ возложит вред на главу мою. И еще же еси млада возрастом, не можеши тяготы понести мнишескаго жития. И како можеши оставити княжение и славу мира сего?»	В те годы была черницей княгиня князя Романа. И пришла к ней <Предслава>, прося <благословения> принять ангельский образ и приобщиться к бывшим там черницам и быть под игом Христовым. И блаженная та жена, видя ее молодость и цветущий возраст, не желая ее постричь, впала в смятенье и стала млеть телом и ужасаться сердцем, и надолго поникла головой, опустив лицо в землю; а потом, распрямившись, воззрилась на молодость ее, вздохнула, прослезилась и сказала ей: «Чадо мое, как могу я это сделать? Отец твой, когда узнает, с великим гневом возложит на мою голову кару. Ты еще молода, не сможешь снести тягот монашеской жизни. И как можешь ты пренебречь княженьем и славой мира сего?»
