СЕДМЫЙ СТЕПЕНЬ И ГРАНЬ СЕДМАЯ, В НЕМЖЕ ГЛАВ 16 И ДВА МИТРОПОЛИТА, КИРИЛ, ИОСИФ	СЕДЬМАЯ СТУПЕНЬ И ГРАНЬ СЕДЬМАЯ, В КОТОРОЙ 16 ГЛАВ И ДВА МИТРОПОЛИТА, КИРИЛЛ И ИОСИФ
О БЛАГОВѢРНОМЪ И БОГОХРАНИМОМ КОРЕНОПЛОДНОМЪ ВЕЛИКОМЪ КНЯЗЕ ЯРОСЛАВѢ ВСЕВОЛОДИЧИ (...)	О БЛАГОВЕРНОМ И БОГОХРАНИМОМ ПРЯМОМ НАСЛЕДНИКЕ ВЕЛИКОМ КНЯЗЕ ЯРОСЛАВЕ ВСЕВОЛОДОВИЧЕ <...>
Батыева рат. Тоя же зимы[1] за многая и великая наша согрѣшения и разность и несогласие и неисправление к Богу наведе на ны Богъ от востока безчеловѣчнаго Батыя, от негоже пленена бысть тогда Руская земля, и сугубу язву восприяхомъ и смирихомся зѣло; и насилие немало сотвориша погании християном: многия грады и мѣста разорени быша, и многия начала побѣжени быша, и владущий тогда во граде Владимери брат сего великаго князя Ярослава[2] Георгий Всеволодич[3] убиенъ бысть, и супружница его, и чада. И аще тако сурово попусти на ны Богъ злочестиваго Батыя, иже яко вепрь от луга и яко инок диви вселенную, яко траву, пояде,[4] но плода благовѣрия не сотре. И аще таковыми ранами наказа ны Господь, но милости своея не разори от нас и не попустил никомуже похитити престолъ царствия крестоносныя хоругви руских самодержателей, аще и вѣтви обламаны быша.	Война с Батыем. В ту же зиму за многие и великие наши прегрешения, за уклонение от Бога, <нежелание жить с ним> в согласии, за несвершение <его заповедей> привел Бог на нас с востока бесчеловечного Батыя, что пленил тогда Русскую землю, и прияли мы тяжкие раны и сильно смирились; и немалое насилие сотворили варвары над христианами: города многие и места разорены были, властители многие побеждены были, и убит был тогда правивший во граде Владимире брат сего великого князя Ярослава Георгий Всеволодович, и супруга его, и чада. Но хоть столь сурово и попустил Бог прийти на нас нечестивому Батыю, что как вепрь или дикий зверь-одинец пожрал, будто на лугу траву, вселенную, все же плодов благоверия он не уничтожил. И хоть столь сильными ранами наказал нас Господь, но своей милости не отнял от нас и не попустил никому похитить престол царствия крестоносной хоругви русских самодержцев, хотя ветви и обломаны были.
Ярослава Богъ защити яко корень благочестия, неврежен бысть и цѣл сохраненъ бысть сий истинный поборник православию, богохранимый великий князь Ярослав. Бѣ бо милостивъ всякому просящему у него, егоже кто требоваше, невозбранно подавая, егоже ради спасен бысть и прочии с ним от губителных рук. Никтоже бо возможет на милостивыя, якоже рече Господь: «Блажени милостивыи, яко ти помиловани будутъ».[5] «Вѣсть бо Господь, — по апостолу, — благочестивыя от напасти избавляти».[6] Якоже избави праведнаго Ноя, наслѣдника миру, от вселенскаго потопа и Лота от Содомскаго пожжения,[7] тако защити преблагий Богъ и сего наслѣдника русскаго, возлюбленнаго своего вѣрнаго правителя, державнаго Ярослава Всеволодича, емуже тогда в нашествие Батыево прешедшю ис Киева в Великий Новград, — с нимже бяху и боголюбивая его супружница и благородные чада и прочии ближнии ему, — и тамо Богом снабдѣваеми бяху от озлобления татарска.	Ярослава Бог защитил как корень благочестия, был не тронут и сохранен в целости сей истинный поборник православия, богохранимый великий князь Ярослав. Был он милостив ко всякому просившему у него; кто бы в чем ни нуждался, он беспрекословно подавал, чего ради и был спасен от рук губителей, а вместе с ним и другие. Ибо никто не может осилить милостивых, как сказал Господь: «Блаженны милостивые, ибо те помилованы будут». «Ибо Господь ведает, — по апостолу, — как благочестивых от напасти избавлять». Как избавил он унаследовавшего мир праведного Ноя от всемирного потопа, а Лота от сожжения в Содоме, так защитил преблагой Бог и сего унаследовавшего Русь возлюбленного им верного правителя, державного Ярослава Всеволодовича, он перешел тогда в Батыево нашествие из Киева в Великий Новгород, — а с ним были боголюбивая его супруга и благородные чада и прочие его близкие, — и там были оберегаемы они Богом от татарской беды.
Бракъ Александровъ.[8] В тогдашнее же время пресловущий в державных сынъ его, великий князь Александръ, законному браку сочтася, — поят себѣ супружницу дщерь полотскаго князя Брячислава, с неюже венчан бысть во градѣ Торопче, пришед же в Новград и ту брак торжествова свѣтло. Тогда же новоградцкими мужи и град в Шелони постави.	Брак Александра. И в тогдашнее время знаменитый среди властодержцев сын его, великий князь Александр, сочетался законным браком, — взял в супруги себе дочь полоцкого князя Брячислава, с которой обвенчался во граде Торопце, а пришедши в Новгород, торжественно праздновал там свадьбу. Тогда же он с новгородскими людьми и крепость в Шелони поставил.
Побѣда на литву.[9] Безбожная же литва тогда Смоленску пакость дѣяху, великий же князь Ярослав Всеволодичь шед оборони смолнян: Божиею помощию литву победи. По пленении же Батыевѣ всюду святыя церкви и грады обнавляя и люди разбѣгшаяся собирая.	Победа над литовцами. Безбожные же литовцы пакостили тогда Смоленску, а великий князь Ярослав Всеволодович пошел и защитил смолян: с Божьей помощью победил литовцев. После Батыева нашествия обновлял он повсюду святые церкви и города и собирал разбежавшийся народ.
Первое иде Ярославъ во Орду.[10] И тогда злоименитый Батый присла к нему посол свой, зовый его к себѣ во Орду. Ходившу же ему, и достойную честь прият от царя, и восприим старѣйшинство во всем рускомъ языцѣ. Прииде в землю свою честно и славно и многи пришелца утѣши и множество людий собра. Сами прихожаху к нему в Суждоскую землю от славныя рѣки Днѣпра и от всѣх стран Руския земли: галичане волынстии, кияне, черниговцы, переяславцы и славнии куряне, торопчане, мѣняне, мѣщижане, смолняне, полочане, муромцы, рязанцы; и вси подражаху храбрости его и обещевахуся ему живот свой полагати за избаву християнскую; и тако множахуся и всяким богатеством исполняхуся; и бысть по обычной скорби радость велия християном, и благодарствоваху Бога, преспевающе во благочестии.	Первый раз пошел Ярослав в Орду. И тогда печально известный Батый прислал к нему своего посла, зовя его к себе в Орду. И, придя <в Орду>, принял он достойные почести от царя и получил <право> старейшинства надо всем русским народом. Пришел он в землю свою с честью и славой и множество пришельцев утешил, и много народа собрал. <Люди> сами приходили к нему в Суздальскую землю со славной реки Днепр и со всех концов Русской земли: волынские галичане, киевляне, черниговцы, переяславцы и славные куряне, торопчане, минчане, мещеряне, смоляне, полочане, муромцы, рязанцы; и все подражали его храбрости и обещались ему положить жизнь свою за избавление христиан; и приумножался так <народ>, и преисполнялся всяческого богатства; и приходила после привычной скорби великая радость христианам, и благодарили они Бога, подвигаясь во благочестии.
Второе иде Ярослав во Орду и преставися во иноплеменницѣх.[11] — Ненавидяй же добра диявол, искони спону творя человѣческому роду, и паки лютѣйшую брань подвизаше на благочестие: наостри поганых татар творити християном великое насилие и безмѣрную тягость. И тако безбожнии содѣвающе; и паче того — злѣйшим коварствомъ тщахуся и вѣру християнскую в Рустей земли повредити, и святыя церкви разорити, и богомерския прелести персидския волшебное идолослужение надѣяхуся, безаконнии, в Руси предложити.	Второй раз пошел Ярослав в Орду и преставился на чужбине. Но ненавидящий добро дьявол, искони творящий препоны человеческому роду, еще более лютую напасть навел на благочестие: напустил поганых татар творить великое насилие христианам и непомерные тяготы. И так они, безбожные, и сотворяли; и больше того — с самым страшным коварством старались они и веру христианскую в Земле русской повредить, и разорить святые церкви, и колдовское идолослужение богомерзкой персидской обманной прелести надеялись, беззаконники, на Руси установить.
Михаил Черниговский. Им же тогда возрази таковое коварство великий князь Михаил Черниговский, с нимже единоревнителный его болярин Феодор:[12] от тѣх же поганых во Ордѣ за вѣру Христову мучением скончашася, якоже последи о сих доволно изявленно бысть.	Михаил Черниговский. Тогда им на таковое коварство ответил великий князь Михаил Черниговский, а с ним его единомышленник, боярин его Феодор: от рук тех поганых скончались мученически они в Орде за веру Христову, как о том будет впоследствии подробно сказано.
Самодержец Ярослав. Сий же великий князь Ярослав Всеволодич в то же время и лѣто паки бысть в той же великой Ордѣ, в пагубной земли татарстей, и вся безаконных неправедная на благочестие умышления разумѣ; и сердцем разгарашеся и ревности божественныя исполняшеся, не терпя зрѣти людей земли своея погибающих душею и тѣлом, за нихже умысли драгаго своего живота не пощадѣти истиннаго ради благочестия, паче же воспоминая началнѣйшее отческое благородие и Богом дарованное им скипетродержание, и како вси страны трепетаху именъ их, не токмо ближнии, но идалние земли, царства, и самии гречестие царие, и како повсюду бысть в Рустей земли православная вѣра християнская, идѣже бысть всякия божественыя благодати исполнение и всего земнаго доброплодия изобилование, в нихже не бяше тогда поганина, уду же присягаху и повиновахуся многия страны и дань даяху от моря и до моря: угрове,[13] и чахи, и ляхи, и ятвяги, и литва, и нѣмцы, и чюдь, и корѣла, и устюг, и обои болгары, и буртасы, и черкасы, и мордва, и черемиса; и самии половцы дань даяху и мосты мостяху, литва же тогда и из лесов бояхуся выницати; татари же тогда ни слухом не именовахуся.	Самодержец Ярослав. А сей великий князь Ярослав Всеволодович в то же самое время, в тот год, был в той же великой Орде, в погибельной земле татарской, и все их, беззаконников, неправедные замышления против благочестия понял; и разгорелся он сердцем и исполнился божественной ревности, не в силах зреть погибающими душой и телом людей земли своей, за кого решил не щадить своей драгоценной жизни ради истинного благочестия, а самое главное — помня об исконном благородии отцов своих и о дарованном им Богом скипетродержании, о том, как все земли трепетали перед их именами, не только ближние, но и дальние земли и царства, и сами греческие цари, как была повсюду на Русской земле православная вера христианская, <на земле>, исполненной всяческой божественной благодати и изобиловавшей всяческими земными богатствами, <на земле>, где не было язычников, <на земле>, которой присягали и повиновались многие страны и давали дань от моря и до моря: венгры, чехи, поляки, ятвяги, литовцы, немцы, чудь, корелы, устюжане, буртасы, черкасы, мордва, те и другие болгары, черемисы; и сами половцы дань платили и мосты мостили, а литовцы тогда и из лесов боялись показываться; имени же татар тогда и слышно не было.
Подвиг Ярославль.[14] Во дни же его Божиимъ гнѣвом грѣх ради наших от безбожных татар Рустей земли толико пленение бысть, не токмо телесное, но идушевное. Итого ради богоподражателный самодержец, храбный душею и тѣлом великий князь Ярослав, второе прииде во Орду к безаконному царю Батыю, с ним же и братия его и сыновцы. Пришедже, не устыдѣся царския его темныя власти, ни ужасеся безстудныя его ярости, добрѣ подвизаяся о истиннѣ глаголати за люди Божия Руския земли, обличая поганых безумное велѣние. Егоже ради Батый посла его х Кановичем.[15] И тамо инѣмъ образом, инѣми завистными винами оклеветан бысть от нѣкоего Феодора Яруновича,[16] тако именуема, и сице, егоже не начаяшеся — страдати, и сия доблественѣ со благодарением претерпѣ от безбожных татар; и многу истому восприят за всю братию свою и за множество христоименитаго достояния, иже в Рустей земли. И таковым своим страданием доблий подвижник сотвори многу и благу ползу и велику помощ и ослабу християнству от тягости и от злаго насилства татарска.	Подвиг Ярослава. В его же дни по Божьему гневу за наши грехи попала Русская земля в такой плен к безбожным татарам, не только в телесный, но и в душевный. И потому богоподражательный самодержец, храбрый душой и телом великий князь Ярослав, во второй раз пришел в Орду к безбожному царю Батыю, а с ним братья его и племянники. И, придя, не смутился перед темной его царской властью, не испугался его бесстыдной ярости, а стал славно подвизаться за правду, говоря в защиту людей Божьих Русской земли, обличая безумное повеление поганых. Из-за чего послал его Батый к великому хану в Монголию. И там каким-то образом, по зависти, оклеветан был он неким человеком по имени Федор Якунович, и таким образом, то, чего и не надеялся, — пострадать, доблестно с кротостью претерпел от безбожных татар; много принял он мук за всю братию свою и за множество христоименитого достояния, что было в Русской земле. И таковыми своими страданиями сотворил доблестный подвижник великую и благую пользу и большую помощь и послабление христианам от ига и злого насилия татарского.
