ДЕСЯТЫЙ СТЕПЕНЬ, И ДВА МИТРОПОЛИТА, ПЕТРЪ ЧЮДОТВОРЕЦ И ФЕОГНАСТЪ, И ГРАНЬ 10, В НЕМЖЕ ГЛАВ 7	ДЕСЯТАЯ СТУПЕНЬ, И ДВА МИТРОПОЛИТА, ПЕТР ЧУДОТВОРЕЦ И ФЕОГНОСТ, И ГРАНЬ 10, В КОТОРОЙ 7 ГЛАВ
О БОГОИЗБРАННОМ ВЕЛИКОМ КНЯЗЕ ИВАНЕ ДАНИЛОВИЧЕ,[1] И О КРАМОЛАХ, И ПОБѢДА НА НѢМЬЦЫ, И О НАЧАЛЕ ГРАДА ОРѢШКА, И О СМЕРТИ ДЕРЖАВНЫХ	О БОГОМ ИЗБРАННОМ ВЕЛИКОМ КНЯЗЕ ИВАНЕ ДАНИЛОВИЧЕ, И О СМУТЕ, И О ПОБЕДЕ НАД НЕМЦАМИ, И О ТОМ, КАК ВОЗНИК ГОРОД ОРЕШЕК, И О СМЕРТИ ПРАВИТЕЛЕЙ
Глава 1. Сий благородный, Богом избранный приемник и благословеный наслѣдникъ благочестивыя державы боголюбиваго царствия Руския земля великий князь Иван Данилович, рекомый Калита,[2] внук блаженнаго Александра — десятый степень от святаго и равноапостольнаго Владимера Перваго, от Рюрика же третийнадесят. Сий державный Иван от свята и праведна родителя произыде и, еще юноша сый, сподобися приемник быти от купѣли святаго крещения блаженному отрочати, иже от чрева матерня Богови освященному, — великому чюдотворцу, преосвященному Алексию,[3] митрополиту всеа Русии. Живый же благочестно и возрастом приспѣвая и во многих добродѣтелех послѣдствова стопам святаго си родителя, праведнодержавнаго Данила Александровича, и ревнуя о всем богоугодным его исправлениемъ, от негоже и совершенное благословение получи восприяти.	Глава 1. Сей потомок благого рода, Богом избранный и благословенный преемник и наследник благочестивой власти в боголюбивом царстве Земли русской, великий князь Иван Данилович, по прозванию Калита, внук блаженного Александра — десятая ступень от святого и равноапостольного Владимира Первого, а от Рюрика тринадцатая. Сей властитель Иван произошел от святого и праведного родителя и еще юношей сподобился быть восприемником у купели святого крещения блаженному дитяти, от материнского чрева посвященному Богу, — великому чудотворцу, преосвященному Алексию, митрополиту всея Руси. Жил он благочестиво и подрастал, и во многих добродетелях следовал по стопам святого своего родителя, праведного правителя Даниила Александровича, ревнуя по всем богоугодным его деяниям, от него и получил он полное благословение.
Егда же преставися к Богу христолюбивый отецъ его, великий князь Данил, сынъ же сего Данила великий князь Георгий[4] тогда в Переяславле державствуя, егоже переяславстии людие не пустиша погрести отца своего. Потом же, лѣту единому минувшу, престави же ся великий князь Андрей Александрович,[5] брат Даниловъ, и тогда съпрьстася о великомъ княжении два князя: Михаил Ярославич,[6] внук Ярославль Всеволодича Тверский, Георгий Данилович, брат сего великаго князя Ивана. И сего ради идоша оба во Орду в лѣто 6812. И тогда сий великий князь Иоаннъ Данилович прииде в Переяславль и сѣде на великом княжении, идѣже прииде на него со тверьскою ратию Акинфъ боляринъ.[7] Он же Акинфа уби. А дѣти его с прочими убегоша во Тверь в лѣто 6813.	Когда же преставился к Богу христолюбивый его отец, великий князь Данило, тогда правил в Переяславле сын этого Данилы великий князь Георгий, которого переяславские люди не пустили на погребение своего отца. А после этого, по прошествии одного года, преставился великий князь Андрей Александрович, брат Данилов, и тогда заспорили о великом княжении два князя: Михаил Ярославич Тверской, внук Ярослава Всеволодича, и Георгий Данилович, брат сего великого князя Ивана. И из-за этого пошли оба в Орду в 6812 (1304) году. И тогда сей великий князь Иоанн Данилович пришел в Переяславль и сел на великое княжение, куда и пришел на него войной с тверским войском Иакинф-боярин. И он Иакинфа убил. А дети его вместе с остальными убежали в Тверь в 6813 (1305) году.
По том же пресвященный Максим, митрополит Киевский всеа Русии, преставися декабря 16[8] и положен бысть во градѣ Владимери в соборной церкви, в придѣле святаго Пантелѣимона.	После этого преосвященный Максим, митрополит Киевский и всея Руси, преставился 16 декабря, и положили его в городе Владимире в соборной церкви, в приделе святого Пантелеймона.
В лѣто 6816 поставлен бысть во Цариградѣ великий чюдотворец Петръ на митрополию Киеву и всеа Русии, и прииде в Киев и оттуду во Владимер. На него же бысть ложное писание к патриарху от тверскаго епископа Андрѣя, иже бысть сынъ Ердена,[9] князя литовскаго. И бывшю собору во градѣ Переяславле, и посрамлен бысть епископъ Андрей и, покаявся, прият прощение от святаго Петра.	В 6816 (1308) году был поставлен в Царьграде на митрополию Киевскую и всея Руси великий чудотворец Петр, и пришел в Киев, а оттуда во Владимир. И было о нем лживое послание к патриарху от тверского епископа Андрея, что был сыном Ерденя, литовского князя. И был собор в городе Переяславле, и посрамлен был епископ Андрей и, покаявшись, получил прощение у святого Петра.
И тогда мног мятеж бысть во князех руских,[10] наипаче же в началствующих державных, овогда кождо собою межуусобную бран составляху. К сим же тогда великий князь Михаил Ярославичь Тверский и безбожных татар привождаше. Такоже и великий князь Юри Данилович тѣх же татар в помощ имѣя себѣ. И тако множеству християнскому, иже во отечествѣ их, велика пагуба и пленения быша. И в таковых межуусобных крамолах убиен бысть во Ордѣ великий князь Михаил Ярославичь,[11] о немже последи повѣсть явлена будет в степени сем, глава 6.	Была тогда большая смута среди князей русских, а более всего — среди главных правителей, время от времени каждый из них затевал междуусобицу. Да еще ж и великий князь Михаил Ярославич Тверской приводил <на Русь> безбожных татар. И великий князь Юрий Данилович также тех же самых татар имел себе помощниками. И вот так множество христиан из их отечеств терпели многие беды и оказывались в плену. И в таких междуусобных смутах был убит в Орде великий князь Михаил Ярославич, о котором дальше будет повествоваться в ступени сей, в главе шестой.
Великий же князь Юри Данилович прииде изо Орды в Ростов и оттоле в Великий Новград, отнюду же тогда и нѣмец свѣйских ратуя, и у града Выбора стояв, и пороки[12] стенобитными во градѣ многих нѣмец поби и на усть Невы реки на Орѣховом островѣ град постави. И паки поиде во Орду. С ним же вражду имѣя тверский князь Дмитрий Михаиловичь, и уби во Ордѣ великаго князя Юрья Даниловича.[13] И положен бысть великий князь Юри на Москвѣ в церкви святаго великомученика Дмитрия,[14] иже есть нынѣ придѣл великия соборныя церкви. За него же повелѣ царь убити и самого князя Дмитрия Михаиловича.	А великий князь Юрий Данилович пришел из Орды в Ростов, а оттуда в Великий Новгород, откуда тогда и ходил сражаться со шведами, и, осадив град Выборг, побил стенобитными орудиями во граде множество чужестранцев и поставил крепость на устье реки Невы на Ореховом острове. И пошел снова в Орду. А тверской князь Дмитрий Михайлович враждовал с ним, и убил он в Орде великого князя Юрия Даниловича. И был положен великий князь Юрий в Москве в церкви святого великомученика Димитрия, что ныне придел великой соборной церкви. А царь повелел убить за него и самого князя Дмитрия Михайловича.
Глава 2. О началѣ соборныя церкви на Москвѣ, и благословение и пророчество чюдотворца Петра великому князю, и о иных церквах, и о пострижении и о преставлении великаго князя Иоанна. Божий же человѣкъ, пресвященный митрополит, великий чюдотворець Петръ, прохожаше грады и веси, — якоже обычай имяше поучати Богом порученное ему стадо, — в преславном же градѣ Москвѣ начат пребывати болши инѣх градов,[15] видяше бо в нем благочестия держателя, сего боголюбиваго великаго князя Ивана Даниловича, православием сияюща и богоугодно живуща, и всякими добрыми дѣлы украшена, и милостива до нищих, и честь велию подавающа служителем святых Божиих церквей и тѣх учению внимающа; егоже зело от душа возлюби великий чюдотворец Петръ, с нимже часто бесѣдуя и мудрьствуя о всѣх благих и полезных, душевных же и телесных. Еще же, совѣт благопотребен предлагая ему и пророчествуя, глаголаше: «О, боголюбезнѣйший великий княже! Аще совѣта моего, сыну, послушаеши и во граде своем Москвѣ соборную церковь камену поставиши во имя Пречистыя Богоматери, и тебе самого имат Богъ благословити и прославити паче инѣх князей и распространити град сей паче инѣх градов, и имя Его святое сугубо прославится в нем, и не оскудѣют державнии от сѣмени твоего, обладая и царствуя мѣстом сим в роды и роды и во вѣки, и взыдут руки их на плещю враг их; еще же святители поживут в немъ, паче же и моя кости здѣ имут положени быти».	Глава 2. О начале <строительства> соборной церкви в Москве, и о благословении и пророчестве чудотворца Петра великому князю, и о других церквах, и о пострижении и преставлении великого князя Иоанна. Божий же человек, преосвященный митрополит, великий чудотворец Петр, путешествуя по городам и селам, — ибо обыкновение имел обращаться с поучением к порученному ему Богом стаду, — стал останавливаться в славном граде Москве больше, чем в других городах, ибо видел <находящегося> в нем хранителя благочестия, сего боголюбивого великого князя Ивана Даниловича, сияющего православием и богоугодную жизнь ведущего, и украшенного всяческими добрыми делами, и к нищим милостивого, и воздающего большую честь служителям Божиих церквей и внимающего их учению; и возлюбил его от всей души великий чудотворец Петр и часто с ним беседовал и делился замыслами о всем благом и полезном, душевном и телесном. Да еще, совет благой подавая, он говорил ему, пророчествуя: «О, боголюбезный великий княже! Если, мой сын, совета моего послушаешь и поставишь в городе своем Москве соборную каменную церковь во имя Пречистой Богоматери, то и самого тебя благословит и прославит Бог больше других князей и увеличит град сей больше других городов, и святое имя Его сугубо в нем прославится, и не иссякнет властителями твое потомство, вечно владея местом сим и царствуя в нем из рода в род, и одолеют они врагов своих; и станут жить в нем святители, да и мои кости будут здесь положены».
Сия убо словеса великий князь от учителя с радостию великою приимъ и честь велию воздавая отцу своему. И бяше всегда посреди обоих веселие духовное, и вся потребная ко церковному зданию готовляху.	И с великой радостью принял великий князь слова эти от учителя и воздал отцу своему большие почести. И всегда была между ними духовная радость, и приготовляли они все необходимое для создания церкви.
К сим же еще чюдно сказание мнози в повестех обносят, сице глаголюще: яко бысть нѣкогда сему христолюбивому великому князю Ивану Даниловичю, по нѣкоему прилучению яздящю ему на конех близ реки Неглинны, — идѣже нынѣ есть монастырь, именуемый Высокий, в немже и церковь во имя чюдотворца Петра,[16] — внезапу зрит великий князь на том мѣсте гору высоку и превелику, и верхъ горы тоя бяше велми снѣжен. Сие же видѣние зря и дивяся и сущим с ним вельможам своим рукою показуя: и вси недоумѣвахуся о необычной горѣ. И абие видяху: снѣг, иже верху горы, вскорѣ невидим бысть, потом же, надолзѣ сматряющем имъ, и гора высокая и превеликая невидима бысть. Вся же сия возвѣщена бысть от великаго князя Божия святителю Петру. Святый же, паки пророчествуя, глаголаше: «Разумно да будет ти, о чадо, яко гора высокая и превеликая, юже видѣл еси, подобие образует твоего благородия высочайших добродѣтелей исправление и Богом дарованнаго ти отеческаго скипетродержания крестоносныя хоругви, Рускаго царствия величества. Горы же оноя снѣжный верхъ близ являет моего жития скончание: якоже снѣг, иже на горѣ, скоро сокрыся от очию твоею, надолзѣ же сих сматрящу ти, и гора невидима бысть, таковым образованием мнѣ прежде тебе жития сего отити есть, потом же и ты, яко гора высокая превелика, богоугодно и доволно царствовав и, яко доброплодная маслина, благородная чада породив и в добрѣ наказании воспитав, и по том, егда услышиши старца к тебѣ пришедша, и тогда уразумѣеши и ты добраго ти жития совершение течения и к Богу отшествие». Великий же князь Иоаннъ Даниловичь внимаше умом словеса сия и сугубо умиление стяжа и всегда необычна старца пришествия ожидаше. Вся бо, яже глаголаше святый, Богъ же дѣломъ исполняя, и до нынѣ проречения его збывахуся по милосердию Божию предстателством Пречистыя Богородицы и молитвами и благословением великаго святителя и чюдотворца Петра.	К этому вдобавок рассказывают многие еще одно чудное сказание, так повествуя: будто некогда сей христолюбивый князь Иван Данилович ездил по какому-то случаю верхом близ реки Неглинной, — где находится ныне монастырь, именуемый Высокий, в котором церковь во имя чудотворца Петра, — внезапно видит великий князь на месте том высокую и огромную гору, и на вершине горы той было много снега. И видя сие видение и дивясь <ему>, указывал он <на него> рукою бывшим с ним вельможам: и все приходили в недоумение <от появления> необычной той горы. И внезапно видят: снег, что был на вершине горы, скоро стал невидим, а потом, после того как долго они смотрели, и высокая и огромная гора стала невидимой. Все это возвещено было великим князем Божьему святителю Петру. А святой, снова пророчествуя, сказал: «Да будет тебе известно, чадо, что высокая и огромная гора, которую ты видел, означает свершение высочайших добродеяний твоим благородием и крестоносные хоругви дарованного тебе Богом отеческого скипетродержания, величие Русского царства. А снежная вершина той горы показывает приближение моей кончины: как снег, что был на горе, быстро скрылся от твоих очей, а после того как долго ты смотрел на это, сделалась невидимой и гора, таким же образом и мне предстоит раньше тебя расстаться с сей жизнью, а потом и ты, как высокая огромная гора, богоугодно и долго процарствовав, и породив, будто доброплодная олива, благородных чад и воспитав их в благом учении, после этого, когда услышишь о пришедшем к тебе старце, тогда и ты узнаешь о завершении доброго твоего жития и об отшествии к Богу». И великий князь Иоанн Данилович проникнулся этими словами и особенно умилился <над ними> и всегда ожидал пришествия необычного старца. Ибо все, что говорил святой, Бог совершал на деле, и доныне сбываются его предсказания по Божьему милосердию предстательством Пречистой Богородицы и по молитвам и благословению великого святителя и чудотворца Петра.
