СТЕПЕНЬ 15, И ЧЕТЫРЕ МИТРОПОЛИТЫ ФИЛИПП, ГЕРОНТИЙ, ЗОСИМА, СИМОН, И ГРАНЬ 15, В НЕЙЖЕ ГЛАВ 33	СТУПЕНЬ 15, И ЧЕТЫРЕ МИТРОПОЛИТА, ФИЛИПП, ГЕРОНТИЙ, ЗОСИМА, СИМОН, ГРАНЬ 15, В КОТОРОЙ 33 ГЛАВЫ
О БЛАГОЧЕСТИВОМ И БОГОМ УТВЕРЖЕНОМ ОДОЛѢТИ СУПОСТАТОМ О ХРИСТОЛЮБИВОМ И ВЕЛИКОМ КНЯЗЕ ИВАНѢ ВАСИЛЕВИЧЕ,[1] И ГОСУДАРѢ И САМОДЕРЖЦѢ ВСЕА РУСИ, И ПРОРОЧЕСТВО МИХАИЛА КЛОПСКАГО[2]	О БЛАГОЧЕСТИВОМ И БОГОМ УТВЕРЖДЕННОМ НА ОДОЛЕНИЕ СУПОСТАТОВ ХРИСТОЛЮБИВОМ И ВЕЛИКОМ КНЯЗЕ ИВАНЕ ВАСИЛЬЕВИЧЕ, ГОСУДАРЕ И САМОДЕРЖЦЕ ВСЕЯ РОССИИ, И О ПРОРОЧЕСТВЕ МИХАИЛА КЛОПСКОГО
Глава 1. Пресвятая Троица, Отецъ и Сынъ и Святый Духъ, единый истинный Богъ нашь, иже есть сый царь царствующим и Господь господьствующим и всея твари содѣтелю, и вся, елика хощет, творит на небеси и на земли, и по своей ему воли дает власть, и царство, и славу емуже хощет, и скипетры царствия поручает, якоже пишет: «Аще кая земля управится пред Богом, то поставляет ей и держателя благочестива и правдива и благостройно управляюща и любяща суд и правду». Тако своим неизреченным милосердием постави бодреливаго стража и истинна пастыря, главу благоразумну и правдиву своему тезоименитому достоянию, превозлюбленнѣй его Рустѣй велицей земли, кореноплодному отчеству изряднаго наслѣдника и крѣпкаго поборника православию, мужествена исполина и врагом страшна, всюду супостаты одолѣвающа и вся враги побѣжающа и никимже побѣждаема, и всяко нечестие и прелесть разоряюща, и всяку ересь потребляюща, и всяку вражду пресѣкающа, и многоначалие и самовластие упражняющи, иже окрестъ державы его властодержателей под свою державу покаряюща, от далних же превысочайших самодержателей во братственую любов сочетатися желаема, и во вся концы земныя знаема, и славна, и пресловуща, мир же и тишину и правду утвержающа, сего настоящаго светлѣйшаго самодержца, благовѣрнаго, и христолюбиваго, и человѣколюбиваго великаго князя Ивана Василевича, всеа Русии государя и царя, именуема Тимофея, иже бысть от святаго и равноапостолнаго великаго князя Владимера Святославича пятыйнадесят степен, от Рюрика же осьмыйнадесят.	Глава 1. Пресвятая Троица, Отец и Сын и Святой Дух, единый истинный Бог наш, царь царствующих и Господь господствующих, и создатель всего творения, все, как ему угодно, творит на небесах и на земле, и по собственной своей воле дает власть, и царство, и славу кому пожелает, и вручает скипетры царские, как написано: «Если какая-нибудь земля угодит Богу, то поставляет он ей властителя благочестивого и правдивого, благоустроительно правящего и любящего правосудие и правду». Вот так по своему неизреченному милосердию поставил он бодрствующего стража и истинного пастыря, благоразумного и праведного главу своему тезоименному достоянию, возлюбленной им великой Земле русской, изрядного преемника укорененного и плодоносного отеческого наследия, поборника крепкого православия, страшного врагам мужественного исполина, одолевающего повсюду супостатов и всех врагов побеждающего, но никем не побежденного, всяческое нечестие и соблазны разоряющего, всяческую ересь истребляющего, всяческую вражду пресекающего и многовластие и самовластие упраздняющего, власти своей покоряющего правителей, <располагавшихся> поблизости от его державы, от дальних же высочайших самодержцев <принимавшего знаки> желания соединиться с ним в братской любви, во всех концах земли знаемого, прославленного и знаменитого, мир, тишину и правду утверждающего, сего настоящего светлейшего самодержца, благоверного, и христолюбивого, и человеколюбивого великого князя Ивана Васильевича, всея России государя и царя, именуемого Тимофеем, что был пятнадцатой ступенью от святого и равноапостольного великого князя Владимира Святославича, от Рюрика же восемнадцатой.
Сей убо православный в державных, благодатно имя Иван, родися в лѣто 6948, мѣсяца генваря 22. Во время же рожения его прорече о нем нѣкто инъ святъ от велможска роду, именем Михаил, живый в Великом Новѣграде в монастыри Клопском. И такова прозорлива дара сподобися от Бога, яко многажды прорицаше хотящая преди быти, и сия, яко настоящая, глаголаше. Такоже бысть егда родися сий великий князь Иван, — и тогда внезапу начат звонити в колоколы, и мнози людие снидошася. Он же яко уродствуя бяше и всѣм людем Великаго Новаграда и самому пастырю их, великому архиепископу Еффимию, явствено вопия и глаголаше сице: «Днесь во преславном градѣ Москвѣ у великаго князя Василия Василевича родися сынъ, князь великий Тимофей, сущее же имя ему Иван, и той будет всему Российскому царствию наслѣдник, и всѣм окрестным странам страшен будет, и сего вашего всего Великаго Новаграда обладает, и гордыню вашу упразднит, и во всю свою волю привлечет вас, и все ваше самовластие раздрушит, и самоволная ваша обычая изменит, и за ваше непокорство и супротивие многу побѣду и посѣчение и плѣн над вами сотворит, и богатество ваше и села ваша восприимет»,[3] еже и бысть по лѣтех четыридесятих, еже послѣди речется.	Сей православный властодержец, с благодатным именем Иван, родился в 6948 (1440) году, 22-го числа января месяца. И во время рождения его предрек о нем некий святой из вельможного рода по имени Михаил, что жил в Великом Новгороде в Клопском монастыре. Он сподобился такового дара предвидения от Бога, что многократно предрекал о том, чему предстояло быть, и говорил об этом, как о настоящем. Так было и когда родился сей великий князь Иван, — тогда внезапно начал он звонить в колокола, и собралось множество людей. Он же, будто юродствуя, явственно, с воплем говорил так всем людям Великого Новгорода и самому пастырю их, великому архиепископу Евфимию: «Нынче в преславном граде Москве у великого князя Василия Васильевича родился сын, великий князь Тимофей, подлинное же имя ему Иван, и будет он всему Российскому царству наследник и на все окрестные земли наведет страх, и всем вашим Великим этим Новгородом завладеет, и гордыню вашу уничтожит, и под полную свою волю приведет вас, и все ваше самовластие разрушит, и порядки ваши самовольные изменит, и за ваше непокорение и супротивство сотворит над вами великую победу и избиение и пленит вас, и завладеет вашим богатством и землями», что и случилось через сорок лет, о чем впоследствии будет сказано.
Тишина. В лѣта бо она отецъ его, великий князь Василий Василевич, по мнозѣх нестроениих и крамолах и по мнозех неудобственых бранех, не токмо со иноплеменными враги, но и со своими ближними ужиками, и по лишении очию, Божиею благодатию всѣм одолѣ[4] и велие благоденство и тишину получи, якоже выше явлено есть, в четвертойнадесят степени книги сея. Брак. Сему же преславному самодерцу Ивану юну сущу, яко лѣт двоюнадесяти, ему же отецъ его взят в супружство у великаго князя Бориса Александровича Тверскаго дщер, великую княжну Марию.[5] 1 сынъ. Ипо брацѣ в седмое лѣто родися ему от нея сынъ единоименен ему великий князь Иван, рекомый Младый.[6] Лѣта же того благочестнодержавный отецъ его, великий князь Василий Василевич, Бога помощника имѣя, помысли расточенное отческое державство взыскати и приединити непокоривых ко своему достоянию. Вятка. И посла на Вятку князя Ивана Ряполовскаго и потом посла князя Ивана Юревича; он же шед и взя грады их Орлов и Котелнича.[7] В Новград. По сих же сам великий князь Василий прииде в Великий Новград,[8] с ним же дѣти его, князь Юри и князь Андрей; и оттуду посла во Псков сына своего князя Юря;[9] сего же старѣйшаго сына своего, великаго князя Ивана, на Москвѣ остави.[10] Сам же мир дав Новуграду, из негоже прииде на Москву и, два лѣта пребыв, с миром почи о Господѣ.	Тишина. В те годы его отец, великий князь Василий Васильевич, после многих нестроений и смут и после многих тяжелых войн, не только с иноплеменными врагами, но и со своими ближними родственниками, и после потери очей, Божией благодатью всех одолел и великое благоденствие и тишину заполучил, как показано выше, в четырнадцатой ступени сей книги. Брак. Когда сей преславный самодержец Иван был юн, лет двенадцати, взял отец его в супруги ему дочь великого князя Бориса Александровича Тверского, великую княжну Марью. 1 сын. И спустя семь лет после женитьбы родился у него от нее сын, единоименный ему великий князь Иван, прозванный Молодым. В тот же год благочестиво правящий отец его, великий князь Василий Васильевич, имея Бога в помощниках, задумал собрать растерянные отеческие владения и присоединить непокорных к своему достоянию. Вятка. И послал на Вятку князя Ивана Ряполовского, а потом послал князя Ивана Юрьевича; и он, пойдя, взял их крепости Орлов и Котельнич. В Новгород. После того сам великий князь Василий пришел в Великий Новгород, а с ним и дети его, князь Юрий и князь Андрей; и послал оттуда во Псков сына своего князя Юрия; а сего старшего сына своего, великого князя Ивана, оставил в Москве. Сам же он, заключив мир с Новгородом, пришел оттуда в Москву, и, проживши два года, с миром почил во Господе.
Глава 2. Начало государства, и о чюдотворцехъ Ярославских, и о митрополите Иерусалимском. Его же державы наслѣдник бысть сий христолюбивый сынъ его, великий князь Иван. В первое же лѣто самодержавства его во градѣ Ярославли обрѣтены быша чюдотворныя мощи князя Феодора и чад его Давыда и Костянтина,[11] о нихже доволна есть повесть в десятой степени книги сея. По лѣте же едином Феодосий, митрополит всеа Русии, постави на Москвѣ Иосифа в Кесарию Филипову во Иерусалим на митрополию, пришедша оттуду.[12] И потом Феодосий остави митрополию, в него же мѣсто поставлен бысть добродѣтельный и блаженный Филип митрополит всеа Русии, в лѣто 6973.[13] И тогда безбожный царь Махамет поиде на Рускую землю со всею ордою. И бывшу ему на Дону, и ту прииде на него царь АзиТирѣй и побѣди его, и Орду его взя; и начаша воеватися межу собою.[14] И тако всесилный Богъ своим милосердием избави Рускую землю от поганых в лѣто 6976.	Глава 2. О начале государства, и о ярославских чудотворцах, и о Иерусалимском митрополите. А наследником его власти стал сей христолюбивый сын его, великий князь Иван. И в первое лето самодержавного его правления обретены были во граде Ярославле чудотворные мощи князя Феодора и чад его Давыда и Константина, о которых повествуется подробно в десятой степени сей книги. А спустя один год митрополит всея Руси Феодосий поставил в Москве в Иерусалим на митрополию Кесарии Филипповой пришедшего оттуда Иосифа. И затем оставил Феодосий митрополию, а на его место был поставлен митрополитом всея Руси добродетельный и блаженный Филипп, в год 6973 (1465). И тогда безбожный царь Магмет пошел на Русскую землю со всей ордой. И когда был он на Дону, тут пришел на него <войной> царь Ази-Гирей и победил его, и Орду его взял; и начали они воевать между собою. Так всесильный Бог избавил своим милосердием Русскую землю от язычников в 6976 (1467) году.
Глава 3. О рати на Казань.[15] И по сих великий князь посылал царевича Касыма, с ним же и воевод своих со многими людми, к Казани на царя Обреима. И не успѣша ничтоже. Тоя же зимы и на черемису послал князя Симиона Романовича[16] со многим воинством. И много черемисы в плѣн взяша, прочих же посекоша, и всю землю повоеваша и достал пожгоша; за един день до Казани не доходиша, и по Волзе обѣ страны повоеваша, и вси приидоша к великому князю здравы. На весну же и судовую рат посла на Каму.[17] В лѣте том июня 4 князь Иван Хрипун на Волзѣ многих татар двора царева побѣди,[18] плененых князей на Москву приведе. И паки посла многое воинство изо всѣх градов земля своея, такоже изо всѣх градов братии своея судовую рать. И вси снидошася в Новград Нижней. Многие же воеводы и дворяне по своей воли избраша себѣ воеводою Ивана Руна,[19] емуже хотяху вси в послушании быти. И приидоша к Казани маия 21, в недѣлю Пятдесятную, татар казанских многих посекоша, и полон русский и литовский вес отполониша, и посад пожгоша. И мнози татары, и з женами и з дѣтми, не хотяше в руки предатися надо имѣнием своим, згорѣша со всѣм имѣнием. И рать отступи от града. Тогда же царица Касымова, иже бяше мати Обреимова,[20] идый от великаго князя с Москвы, с честию отпущена, и пройде мимо воинство великаго князя, льстивыми словесы увѣщав их, да не ята будет от них.	Глава 3. О походе на Казань. И после этого посылал великий князь царевича Касима, а с ним и воевод своих со множеством людей, против царя Обреима к Казани. И ничего у них не вышло. В ту же зиму посылал он и на черемисов князя Симеона Романовича с большим войском. И взяли они в плен много черемисов, а других побили, и всю землю <их> войной взяли и пожгли вдоволь; на один день <пути> не дошли до Казани, а по Волге оба берега войной взяли, и вернулись к великому князю все живы-здоровы. А весною <великий князь> и судовую рать послал на Каму. В том году 4 июня князь Иван Хрипун победил на Волге многих татар, приближенных к <их> царскому двору, привел плененных князей в Москву. И послал снова <великий князь> много войска из всех городов своей земли, а также и судовую рать из всех городов братьев своих. И все сошлись в Нижнем Новгороде. И многие воеводы и дворяне по своей воле избрали себе в воеводы Ивана Руна, которого пожелали все слушаться. И пришли к Казани они мая 21-го, в воскресенье Пятидесятницы, многих татар казанских побили, и пленников русских и литовских всех освободили, и посад выжгли. И много татар, с женами и детьми, не желая предаться <им> в руки вместе со своим имуществом, сгорели со всем имуществом. И отступило войско от города. Тогда же Касимова царица, что была матерью Обреима, шествовавшая от великого князя из Москвы, отпущенная с честью, прошла мимо войска великого князя, уговорив их лживыми речами, чтобы не взяли они ее.
Но обаче бран непрестанна с казанцы русскому воинству бяше, дондеже великий княз послал берегом под Казань братию свою, князя Юря и князя Андрея, с нимиже совокупися и судовая рать. И септября 1 брани бывши весь день у Казани с царем Обреимом, и помощию Божиею победиша татар и воду у них отяша. Царь же Обреим, видя себе в велицей бедѣ, и посла ко князю Юрю, добиша челом на всей воли великаго князя.[21]	И все-таки непрестанные столкновения продолжали происходить у русского войска с казанцами, до тех пор, покуда не послал великий князь берегом под Казань своих братьев, князя Юрия и князя Андрея, с которыми соединилась и судовая рать. И 1 сентября был весь день бой под Казанью с царем Обреимом, и с Божьей помощью победили татар и воеводу у них отняли. Царь же Обреим, видя себя в великой беде, послал ко князю Юрию, и бил челом, полностью отдавая себя на волю великого князя.
Глава 4. О преставлении блаженнаго Ионы, архиепископа Новоградскаго, и о владыцѣ Феофиле, и о взятии Новаграда.[22] Всей же главѣ 1 1 титлъ.	Глава 4. О преставлении блаженного Ионы, архиепископа Новгородского, и о владыке Феофиле, и о взятии Новгорода. А в сей главе 11 разделов.
Титла 1. В лѣто же 6979-го, ноября 8 блаженный архиепископъ Великаго Новаграда чюдотворец Иона преставися к Богу, иже пророчествова с митрополитом Ионою чюдотворцем великому князю Василию Василевичю, яко сий благородный сынъ его, великий княз Иван, разорит вся самоволныя обычая людей новоградских и во всю свою волю приведет их, еже и збысться. По преставлении же сего прозорливаго и святѣйшаго архиепископа Ионы людие же новоградстии избраша по жребию нѣкоего священноинока, именем Феофила, и возведоша его на двор архиепископл по древнему обычаю, и послаша на Москву к митрополиту Филипу и к великой княгини Марии,[23] матери великаго князя Ивана Василевича, с молением бити челом и опаса просити, да бы пожаловал великий князь, моления их не презрил и повелѣл бы нареченному их Феофилу приити на Москву, и отцу бы своему митрополиту велѣл поставити его во архиепископы Великому Новуграду и Пскову. Великий же князь митрополича ради и матери своея печалованя моления их и прошения не презрѣ и всякого их прежняго бесчинства и неисправления не воспомяну, ничимже озлоби их, но паче — милосердуя их, и посланника их любочестно отпусти, и нареченнаго во святительство Феофила повелѣ прислати на Москву, да безо всякого прекословения отцу своему митрополиту велит поставити его во архиепископы. Посланнику же их пришедшу в Новград и возвѣстившу всѣм милостивное жалованье великаго князя, посадницы же и тысящские и прочии людие велми о сем возрадовашася.	Раздел 1. В 6979 (1470) году, ноября 8-го преставился к Богу блаженный архиепископ Великого Новгорода чудотворец Иона, тот, что пророчествовал вместе с митрополитом Ионою-чудотворцем великому князю Василию Васильевичу, что сей благородный сын его, великий князь Иван, разорит самовольные все порядки людей новгородских и приведет их полностью под свою власть, что и сбылось. По преставлении же сего прозорливого и святейшего архиепископа Ионы избрали новгородские люди по жребию некоего священноинока, именем Феофила, и ввели его по старинному обычаю на двор архиепископский, и послали в Москву к митрополиту Филиппу и к великой княгине Марии, матери великого князя Ивана Васильевича, бить с мольбою челом и просить, чтобы пожаловал великий князь, не пренебрег их молением и повелел бы нареченному их Феофилу прийти в Москву, и повелел бы отцу своему митрополиту поставить его в архиепископы Великому Новгороду и Пскову. И великий князь из-за митрополичьего и матери своей ходатайства молением и прошением их не пренебрег и не помянул всяческих их прошлых бесчинств и проступков, и не огорчил их ничем, но более того — умилосердившись, и посланца их с честью отпустил, и повелел прислать в Москву избранного ими на святительство Феофила, чтобы велеть отцу своему митрополиту без всякого прекословья поставить его в архиепископы. И когда пришел посланец их в Новгород и возвестил всем о милостивом пожаловании великого князя, возрадовались о сем сильно посадники и тысяцкие и другие люди.
О измѣне новоградцев. Нѣцыи же от них, посадничи дѣти Исака Борецкого с материю их Марфою[24] и со инѣми измѣнники, научены дияволом, ко своей им пагубѣ начаша нелѣпая и развращенная глаголати и, на вече приходящи, сице кричати: «Не хощем быти владомы великим князем Московским, ни именоватися отчеством его, понеже велики обиды и неправды содѣвает нам. Мы есмы волнии людие, Великий Новград! Хощем быти владоми кралем Казимером Полским!»[25] И тако возмятеся весь град ихъ, и восколебашася, яко пьяни. Овии по древнему хотяху владоми быти великим князем Московским, друзии же Литовскому кралю хотяху подовластни быти. Враждотворнии же измѣнницы наимствоваху худѣйших человѣкъ, иже суть готови на всякое неистовство, и ти, приходяще на вече и не престающе в колоколы звоняху и кричаще, глаголаху: «Краля хощем, да владѣет нами!» Инии же: «Великаго князя Московскаго, егоже хощем, есмы держава от древних лѣт и до нынѣ». Окаянных же измѣнников безумнии наемницы камение метаху на тѣх, иже не хотяху отступити от великаго князя. Мнози же от них, старии посадницы, и тысящские, и лучшии людие, и прочии гражане, увѣщеваху крамолующих, глаголюще к ним: «Не возможно, братие, сице тому быти, еже вдатися нам кралю и архиепископа поставити от его называющагося митрополита Григория, латынянина суща, иже есть ученикъ сущаго латынянина, суемысленаго Исидора.[26] Мы же изначалственая держава есмы от великаго князя Рюрика, егоже по своей воли взяла вся Русская земля наша из Варяг, егоже правнукъ, блаженный великий князь Владимер, истинное благочестие обрѣте и крестися и всю нашу Русскую землю во крещение приведе. И от того святаго Владимера даже и до сего господина нашего великаго князя Иванава Василевича за латынею не бывали есмы и архиепископа от них не ставливали себѣ, якоже вы нынѣ суетно умышляете». Развратницы же они, якоже прежнии еретицы, дьяволи ученицы, хотяше свое умышление улучити, на благочестие дерзнуша и великому князю и митрополиту Филипу покоритися во благочестие не хотяще, Бога не боящеся, и православию противляхуся.	Об измене новгородцев. Но некоторые из них, дети посадника Исака Борецкого с их матерью Марфой и с другими изменниками, наученные дьяволом, начали на свою погибель говорить недоброе и извращенное и кричать так, приходя на вече: «Не хотим быть во власти великого князя Московского и именоваться его отчиной, ибо творит нам великие обиды и несправедливости. Мы — вольный народ, Великий Новгород! Хотим быть под властью короля Казимира Польского!» И таким образом взметнулся весь их город, взволновалися они, будто пьяные. Одни по-старому хотели быть под властью великого князя Московского, а другие Литовскому королю хотели быть подвластными. Сотворявшие же вражду изменники нанимали худших людей, готовых на всякое неистовство, и те, приходя на вече, беспрестанно звонили в колокола и с криком говорили: «Короля хотим, пусть владеет нами!» А другие <говорили>: «Мы со старых времен и доныне — держава великого князя Московского, которого и желаем». А безумные наемники окаянных изменников метали камни в тех, кто не хотел отступать от великого князя. Многие же из них, старые посадники, и тысяцкие, и лучшие люди, и прочие горожане увещевали крамольников, говоря им: «Невозможно, братья, чтоб так это стало, чтобы предаться нам королю и поставить архиепископа от так называемого его митрополита Григория, латынянина, являющегося учеником подлинного латынянина, суемудрствующего Исидора. Мы ведь изначала — держава великого князя Рюрика, которого по своей воле взяла вся Русская земля наша из Земли варяжской, правнук которого, блаженный великий князь Владимир, обрел истинное благочестие и крестился и всю нашу Русскую землю привел ко крещению. И начиная с того святого Владимира вплоть до сего нашего господина великого князя Ивана Васильевича под латынянами мы не бывали и архиепископа от них себе не ставили, как ныне вы суетно замышляете». А отступники те, как прежние еретики, ученики дьявола, желая добиться того, что замыслили, дерзнули <выступить> против благочестия и не хотели во благочестии покориться великому князю и митрополиту Филиппу и, не боясь Бога, православию противились.
