ПОСЛЕСЛОВИЕ К ЛЬВОВСКОМУ АПОСТОЛУ 1574 ГОДА	ПОСЛЕСЛОВИЕ К ЛЬВОВСКОМУ АПОСТОЛУ 1574 ГОДА
СИЯ УБО ПОВѢСТЬ ИЗЪЯВЛЯЕТ, ОТКУДУ НАЧАСЯ И КАКО СЪВЕРШИСЯ ДРУКАРНЯ СИЯ	ЭТА ПОВЕСТЬ РАССКАЗЫВАЕТ, ОТКУДА ПОЯВИЛАСЬ И КАК БЫЛА УСТРОЕНА ТИПОГРАФИЯ ЭТА
Изволениемъ Отца, и споспѣшениемъ Сына, и съвершениемъ Святаго Духа, повелѣниемъ благочестиваго царя и великаго князя Ивана Васильевича всея Русии и благословениемъ преосвященнаго Макария, митрополита всея Руси, друкарня сия съставися въ царствующемъ градѣ Москвѣ въ лѣто 7070 первое, въ тридесятое лѣто государьства его. Сия же убо не туне начахъ повѣдати вамъ, но презѣлнаго ради озлобления, часто случающагося нам не от самого того государя, но от многихъ начальникъ, и священноначалникъ, и учитель, которые на насъ зависти ради многия ереси умышляли, хотячи благое въ зло превратити и Божие дѣло в конецъ погубити, яко же обычай есть злонравных, и ненаученых, и неискусных в разумѣ человекъ, ниже грамотическия хитрости навыкше, ниже духовнаго разума исполнени бывше, но туне и всуе слово зло принесоша. Такова бо есть зависть и ненависть, сама себѣ навѣтующи, не разумѣетъ, како ходитъ и о чемъ утвержается. Сия убо насъ от земля, и отечества, и от рода нашего изгна и въ ины страны незнаемы пресели.	По воле Отца, и с помощью Сына, и при поддержке Святого Духа, по повелению благочестивого царя и великого князя Ивана Васильевича всея Руси и с благословения преосвященного Макария, митрополита всея Руси, типография эта была устроена в столичном городе Москве в год 7071 (1536), в тридцатый год царствования Ивана Васильевича. Об этом же я не напрасно начал рассказывать вам, но вследствие великих бед, часто случавшихся с нами не из-за самого русского государя, но из-за многих начальников, и церковных начальников, и учителей, которые нас по причине зависти во многих ересях обвиняли, желая благо во зло превратить и Божие дело окончательно погубить, как это свойственно злонравным, и невежественным, и несведущим в науках людям, которые и в искусстве грамматики не умудрены, и духовного разума лишены, но втуне и всуе слова злые изрекают. Таково свойство зависти и ненависти, которая без нужды клевещет, не знает, как ходит и на чем утверждается. Эта ненависть нас и погнала с земли, и с родины, и от родичей наших и в другие страны неведомые переселила.
Егда же оттуду сѣмо преидохом, и по благодати богоначалнаго Исуса Христа, Господа нашего, хотящаго судити вселеннѣй въ правду, въсприяша насъ любезно благочестивый государь Жикгимонтъ Август,[1] кроль польский и великий князь литовъский, руский, пруский, жемотиский, мазовецкий и иных, съ всѣми паны рады[2] своея. Въ то же время съ тщаниемъ умоли государя волеможный панъ Григорей Александровичь Ходкевича, панъ виленьский, гетманъ наивышший Великого князьства литовъскаго, староста городеньский и могилевъский, прия насъ любезно къ своей благоутѣшнѣй любви, и упокоеваше насъ немало время, и всякими потребами телесными удовляше насъ. Еще же и сие не доволно ему бѣ — еже тако устроити насъ, но и весь немалу дарова ми на упокоение мое, нам же работающим по воли Господа нашего Исуса Христа и слово его по вселеннѣй разсѣвающе.	Когда же мы оттуда сюда пришли, по благодати богоначального Иисуса Христа, Господа нашего, хотящего судить вселенную по правде, принял нас милостиво благочестивый государь Сигизмунд Август, король польский и великий князь литовский, русский, прусский, жемайтийский, мазовецкий и других земель, со всеми панами рады своей. В это же время, настойчиво упросив государя, вельможный пан Григорий Александрович Ходкевич, пан виленский, гетман верховный Великого княжества литовского, староста гродненский и могилевский, принял нас милостиво к себе с великой любовью, и в покое содержал нас немалое время, и всем необходимым для жизни наделял нас. Однако и этого недостаточно ему было, — таким образом устроив нас, он и село немалое подарил мне для благополучия моего, в то время как мы работали по воле Господа нашего Иисуса Христа и слово его по вселенной сеяли.
Егда же приити ему въ глубоку старость, и начастѣ главѣ его болѣзнию одержимѣ бывати, повелѣ намъ работания сего престати, и художьство рукъ наших ни во что же положити, и въ веси земледѣланиемъ житие мира сего препровождати. Еже не удобно ми бѣ — раломъ ниже сѣменъ сѣяниемъ время живота своего съкращати; но имам убо въмѣсто рала — художьство, наручныхъ дѣлъ съсуды, въмѣсто же житныхъ сѣменъ — духовная сѣмена по вселеннѣй разсѣвати и всѣмъ по чину раздавати духовную сию пищу. Наипаче же убояхся истязания владыки моего Христа, непрестанно въпиюща къ мнѣ: «Лукавый рабе и лениве! Почто не вда сребра моего торжникомъ; и азъ, пришед, взялъ бых свое с лихвою».[3]	Когда же он достиг глубокой старости и часто головной болью страдал, он повелел нам работу эту прекратить, и искусством рук наших совершенно пренебречь, и в селе, занимаясь земледелием, проводить жизнь в этом мире. Но это не пристало мне — плугом или посевом семян жизнь свою коротать, ибо есть у меня вместо плуга — искусство, орудия для работы, а вместо хлебных семян я должен духовные семена по вселенной сеять и всем по порядку раздавать духовную эту пищу. Особенно же побоялся я суда владыки моего Христа, непрестанно взывающего ко мне: «Лукавый раб и ленивый! Почему ты не отдал серебра моего торгующим; и я, вернувшись, получил бы свое с прибылью».
И когда убо на уединении въ себе прихождах, и множицею слезами моими постелю мою омочах, вся сия размышляя въ сердцы своемъ, да бых не съкрылъ в земли таланта, от Бога дарованнаго ми. И тужащу ми духом, сия глаголах: «Егда въ вѣки отринетъ Господь и не приложитъ благоволити паки или до конца милость свою отсѣчетъ по притчи смоковничнаго неплодъствия,[4] яко всуе землю упражняющу». И сего ради понудихся ити оттуду. И въ путь шествующу ми, многи скорби и бѣды обрѣтоша мя не точию долготы ради путнаго шествия, но и презелному повѣтрею дышущу[5] и путь шествия моего стѣсняющу и, просто рещи, — вся злая и злых злѣе.	И в уединении, когда я к себе возвращался, много раз я слезами постель мою орошал, все это обдумывая в сердце своем, как бы не сокрыть в земле таланта, от Бога дарованного мне. И когда я сокрушался духом, я вот что говорил: «Неужели навеки отвергнет меня Господь и не вернет мне своего благоволения вновь и милости своей окончательно лишит согласно притче о смоковнице бесплодной, как напрасно землю отягощающего». Поэтому решился я уйти оттуда. В то время как я находился в пути, многие огорчения и беды преследовали меня не только из-за продолжительности путешествия, но и потому, что великий мор свирепствовал и путешествию моему препятствовал и, попросту сказать, — всякое зло, злейшее всех зол.
И тако промысломъ Божия человеколюбия до богоспасаемаго града, нарицаемого Лвова, приидох и вся, яже на пути случающая ми ся, ни во что же въмѣнях, да Христа моего приобрящу. Вся, яже здѣ, сну подобна, и сѣни преходятъ бо, яко же бо дым на воздусѣ — благая и злая расходятся. Яко апостолъ хвалится въ скорбех, «зане же скорбь терпѣние съдѣвает, терпѣние же упование, упование же не посрамит».[6] Почто? Зане же любовь Божия възгорѣся въ сердцы моемъ Духомъ Святымъ, данным ми. И разсудившу ми се, и когда вселшу ми ся въ преименитомъ градѣ Лвовѣ, яко по стопамъ ходяще, топтанымъ нѣкоего богоизбранна мужа, начахъ глаголати в себѣ молитву сию:	Таким образом по промыслу человеколюбивого Бога я достиг богоспасаемого города, называемого Львов, и все, что на пути случалось со мной, ни во что не ставил, чтобы к Христу, Богу моему, приблизиться. Все, что в этом мире сну подобно и, как тени, преходяще, как дым по воздуху, — так удачи и неудачи рассеиваются. Так апостол укрепляется в скорби, «ибо скорбь терпение порождает, терпение же надежду, а надежда не посрамит». Почему? Потому что любовь к Богу разгорелась в сердце моем по воле Духа Святого, данного мне. Поразмыслив об этом, когда я поселился в знаменитом городе Львове, как бы по следам шествуя, оставленным некиим богоизбранным мужем, начал я читать про себя молитву такую:
Молитва: «Господи, Вседержителю, Боже вѣчный и безначалный! Иже благости ради единыя приведый от небытия въ бытие всяческая словомъ своимъ вседѣтелнымъ, духомъ устъ своих срасленым; иже и промышляя присно и съдержа, износя по числу тварь свою и по имени възывая; иже въ послѣдняя лѣта неизреченныя ради милости твоея падшее наше естество възвелъ еси схожениемъ единороднаго Сына твоего, Господа нашего Исус Христа, иже и предасть ся за прегрѣшения наша и въскресе оправдания ради нашего, его же язвою исцѣлѣхом по благоволению хотѣния твоего и въ похвалу славы благодати твоея; пред же нарече насъ въ усынение Исус Христомъ въ тебѣ, въ еже быти намъ святомъ и непорочномъ пред тобою въ любви, повѣдая намъ тайну воля своея, еже быти намъ исперва нѣкое от създаний твоих. Укрѣпи, Боже, се, еже съдѣла в насъ неизвѣщенною глубиною судебъ твоих. Християномъ даталю истинныя премудрости, вразуми мя, и испытаю законъ твой. И не отими от устъ моих словесе истинна до зела ради братий моихъ и ближнихъ моих. „Услыши молитву мою, Господи, и моление мое внуши, слез моих не премолчи, яко преселникъ язъ от тебе и пришлець, яко же вси отцы мои".[7] Ослаби ми от страстей моихъ, да полещу дѣяниемъ и почию видѣниемъ и смирениемъ. Ты убо, о Владыко, и прежде множицею отпустилъ еси нечестие сердца моего молитвами святых твоих, от вѣка угодившихъ ти и нынѣ служащих ти преподобием и правдою, аминь».	Молитва: «Господи, Вседержитель, Бог вечный и безначальный! Ты, который единственно по причине доброты своей привел из небытия в бытие всё словом своим всесильным, дыханием уст твоих произнесенным; который заботится всегда и сохраняет, создает в должном количестве тварь свою и по имени ее называет; который в последние времена по невыразимой милости твоей погибший наш род обновил схождением на землю единородного Сына твоего, Господа нашего Иисуса Христа, который отдал себя за прегрешения наши и воскрес для оправдания нашего, и благодаря его ранам мы исцелились по милости желания твоего и для похвалы славной благодати твоей; а раньше ты назвал нас сыновьями твоими по Иисусу Христу, чтобы мы были святыми и непорочными перед тобой в любви, и ты сообщил нам тайну воли своей, то есть что мы были изначально одним из созданий твоих. Укрепи, Боже, то, что ты сделал для нас по несказанной глубине судеб твоих. Христианам дающий истинную премудрость, вразуми меня, и я узнаю закон твой. И не отними до конца от уст моих слова истинного ради братьев моих и ближних моих. «Услышь молитву мою, Господи, и молению моему внемли, не будь безмолвен к слезам моим, ибо странник я у тебя и пришелец, как и все отцы мои». Освободи меня от страстей моих, чтобы мне легче было в трудах и я успокоился в созерцании и смирении. Ибо ты, Владыка, и прежде многократно прощал мне нечестие сердца моего ради молитв святых твоих, издревле угодивших тебе и теперь служащих тебе преподобно и праведно, аминь».
И помолившу ми ся, начахъ богоизбранное сие дѣло къ устроению навершати, яко бы богодохновенныя догматы распространевати. И обтицахъ многащи богатыхъ и благородных въ мирѣ, помощи прося от нихъ и метание сътворяя, колѣномъ касаяся и припадая на лицы земном; сердечно каплющими слезами моими ноги ихъ омывах, и сие не единою, ни дващи, но и многащи сътворях, и въ церкви священнику всѣмъ въслухъ повѣдати повелѣхъ. Не испросих умиленными глаголы, ни умолих многослезнымъ рыданием, не исходатайствовахъ никоея же милости иерейскими чинми[8] и плакахся прегоркими слезами, еже не обрѣтохъ милующаго, ниже помагающаго, не точию же в рускомъ народѣ, но ниже въ грекахъ милости обрѣтох.[9] Но мали нѣцыи въ иерейскомъ чину, инии же неславнии въ мирѣ обрѣтошася, помощь подающе. Не мню бо от избытка им сия творити, но якоже оная убогая вдовица от лишения своего двѣ лѣптѣ въвергьшия.[10] Вѣмъ убо, яко в нынѣшнемъ мирѣ должная их к ним възвратится, в будущем же вѣцѣ от богатодавца Бога стократицею въздастся.	И, помолившись, я начал богоизбранное это дело к воплощению готовить, чтобы можно было боговдохновенные догматы распространять. Многократно обходил я богатых и благородных из числа мирян, помощи прося у них и поклоны творя, к коленям припадая и простираясь перед ними на земле; капающими из глубины сердца слезами моими ноги их я омывал, причем не единожды, не дважды, но многажды делал это, и в церкви об этом священнику всем вслух сообщить повелел. Не выпросил я ничего умильными словами, не умолил никого многослезным рыданием, не добился я никакой милости через священников и плакал горькими слезами, что не нашел милостивого человека, готового помочь, не только среди русского народа, но и среди греков милости не нашел. Помощь оказывали только незначительные священники да малоизвестные из мирян. Не думаю я, что от избытка они это делали, но как та убогая вдова, которая от нищеты своей две лепты положила в сокровищницу. Знаю я, что и в здешнем мире данное ими к ним возвратится, а в будущей жизни подателем богатств Богом стократ воздастся.
Молю убо васъ, не прогнѣвайтеся на мя грѣшнаго. Пишущу ми сия, не мните убо, яко от чрева глаголати ми или писати. Вѣсть бо всяк, от начала прочитаяй въкратцѣ списаную сию историю, како от его милости пана Григория Ходъковича всякими потребами телесными, пищею и одежею удоволенъ бѣхъ. Но вся сия ни во что же вмѣнях, не уповах на неправду и на восхыщение, не желая богатьства, аще и много стѣкалося, не прилагах тамо сердца. Но паче изволих всякия предреченныя скорби и бѣды претерпѣвати, да множае умножу слово Божие и свидѣтелство Исус Христово. Наше убо есть — еже съ смиреномудриемъ просити и начинати, Божие же — еже миловати и совершати. Того бо и царствию наслѣдникъ быти надѣюся, его же буди всѣмъ намъ получити благодатию и человеколюбиемъ Господа нашего Исус Христа, ему же подобаетъ слава, честь и покланяние съ Отцем и съ Святымъ Духомъ нынѣ и в бесконечныя вѣки, аминь.	Итак, молю вас, не прогневайтесь на меня, грешного. Когда я пишу это, не думайте, что из выгоды я говорю или пишу. Ибо знает всякий, с начала читающий кратко написанный этот рассказ, как по милости пана Григория Ходкевича всем необходимым для жизни, пищей и одеждой, я был обеспечен. Но все это я ни во что не ставил, не надеялся на неправду и на стяжание, не хотел богатства, хотя оно и в изобилии стекалось, не по сердцу оно мне было. Но предпочел всякие вышеназванные огорчения и беды претерпевать, чтобы более распространить слово Божье и свидетельство Иисуса Христа. Ибо наш удел — со смирением просить и пытаться, а Божий — миловать и совершать. Поэтому я и надеюсь стать наследником того царства, которое дай Бог всем нам получить по благодати и человеколюбию Господа нашего Иисуса Христа, который достоин славы, чести и поклонения вместе с Отцом и со Святым Духом теперь и на веки вечные, аминь.
А начася сия книга друковати, рекомый Апостолъ, въ богоспасаемомъ градѣ Лвовѣ, въ ней же дѣяния апостольская, и послания съборная, и послания святаго апостола Павла, по воплощении господа Бога и Спаса нашего Исус Христа въ лѣто 1573 февруария въ 25 день; и съвершися въ лѣто 74-е того же месяца въ 15 день. Молимъ же васъ любовию духа Господа нашего Исус Христа, давшего себе о гресѣхъ нашихъ, вси раби благословеннаго Бога нашего, да аще когда прилучится кому вникнути в сию душеполезную апостольскую книгу и разумѣти, что потребно и душеполезно, той преже всѣхъ виновнику всѣмъ благим и съдѣтелю жизни нашея Богу благодать да воздаетъ. А его милости пану Григорию Александровичу Ходкевича вѣчныя памяти и съ святыми равнопрестольными, от вѣка Богу угодившими, съселения и съжительства получити да проситъ. Потом же сыномъ его милости — пану Андрѣю Григорьевичу Ходкевича,[11] пану подстолему[12] Великаго князьства литовского, старосте могилевскому, и его милости пану Александру Григорьевичу Ходкевича,* старосте городеньскому, державцу[13] аиньскому, да проситъ душевного спасения и многолѣтнаго здравия, — поне же бо они виновни суть таковыя ползы.	А начала печататься эта книга, называемая Апостол, в богоспасаемом городе Львове, а в ней содержатся деяния апостолов, и послания соборные, и послания святого апостола Павла после воплощения Господа Бога и Спасителя нашего Иисуса Христа в год 1573 февраля в 25 день; а закончена была в год 74 того же месяца в 15 день. Умоляем вас ради любви Господа нашего Иисуса Христа, отдавшего себя на муки из-за грехов наших, всех рабов благословенного Бога нашего, чтобы, если когда-нибудь случится кому-то вдумываться в эту душеполезную апостольскую книгу и разбирать, что есть в ней нужного и душеполезного, пусть он прежде всего виновнику всех благ и создателю жизни нашей Богу благодарность принесет. А его милости пану Григорию Александровичу Ходкевичу пусть просит вечной памяти и чтобы он со святыми многочтимыми, издревле Богу угодившими, совместно поселился и жил. А потом сыновьям его милости — пану Андрею Григорьевичу Ходкевичу, пану подстолию Великого княжества литовского, старосте могилевскому, и его милости пану Александру Григорьевичу Ходкевичу, старосте гродненскому, державцу аиньскому, пусть просит душевного спасения и многолетнего здоровья, ибо это они виновники такой пользы.
