СКАЗАНИЕ, КАКО СОТВОРИ БОГЪ АДАМА	СКАЗАНИЕ, КАК СОТВОРИЛ БОГ АДАМА
(...) Создати въ земли Мадиамстей человѣка, вземъ земли горсть ото осьми частей: 1) отъ земли — тѣло, 2) отъ камени — кости, 3) отъ моря — кровъ, 4) отъ солнца — очи, 3) отъ облака — мысли, 6) отъ свѣта — свѣтъ, 7) отъ вѣтра — дыхание, 8) отъ огня — оттепла. И поиде Господь Богъ очи имати отъ солнца, и остави Адама единаго лежаща на земли; прииде же окаянный Сотона ко Адаму и измаза его каломъ и тиною и возгрями. И прииде Господь ко Адаму и восхотѣ очи вложити во Адама, и видѣ его мужа измазанна; и разгнѣвася Господь на диявола и нача глаголати: «Окаянне дияволе, проклятый, не достоить ли твоя погибель? Что ради человѣку сему сотворилъ еси пакость, измаза его? и проклять ты буди», — и дияволъ исчезе, аки молния, сквозь землю отъ лица Господня. Господь же, снемъ съ него пакости сотонины, и въ томъ сотвори Господь собаку, и смѣсивъ со Адамовыми слезами, и теслою очисти его аки зерцало отъ всѣхъ сквернъ, и постави собаку и повелѣ стрещи Адама, а самъ Господь отъиде въ горний Иерусалимъ по дыхание Адамлево. И прииде вторые Сотона и восхотѣ на Адама напустити злую скверну, и видѣ собаку при ногахъ Адамлевыхъ лежаща, и убоя си вельми Сотона. Собака начала зло лаяти на диавола, окаянный же Сотона, вземъ древо, и истыка всего человѣка Адама, и сотвори ему въ немъ 70 недугов. И прииде Исусъ изъ горнево Иерусалима, и видѣ Адама древомъ исколота, и милосердова о немъ и рече Сотонѣ: «Проклятый дияволе, что сотворилъ человѣку сему, почто вложилъ недуги сия?» Тогда отвѣща дияволъ, окаянный Сотона, Господу, глаголя: «Аще приидетъ кая болѣзнь человѣку сему, да не постигнетъ, до скончания всего тобя не помянетъ; аще ль поболитъ, кой недугъ въ немъ постраждетъ, тогда всегда тебя имать на помощь призывати въ недузехъ сихъ». И отгна Господь диявола и исчезе дияволъ, прогнанъ аки тма свѣтомъ, и обороти вся недуги въ него.	(...) Создать в Мадиамской земле человека, взяв земли горсть от восьми частей: 1) от земли — тело, 2) от камня — кости, 3) от моря — кровь, 4) от солнца — глаза, 5) от облака — мысли, 6) от света — свет, 7) от ветра — дыхание, 8) от огня — теплоту. И стал Господь Бог глаза ему доставать от солнца, оставив Адама лежать одного на земле; и пришел окаянный Сатана к Адаму и вымазал его калом, тиной и соплями. Вернулся к Адаму Господь и хотел вложить в Адама глаза, но увидел его всего вымазанного (в нечистотах); и разгневался Господь на дьявола, и стал говорить ему: «Окаянный дьявол, проклятый, разве ты не заслужил гибели? Зачем напакостил ты этому человеку, вымазав его? будь ты проклят», — и дьявол исчез сквозь землю, как молния, от лица Господнего. Господь же, сняв с Адама всю грязь Сатанинскую и смешав со Адамовыми слезами, сотворил собаку, и теслом очистил Адама, как зеркало, от всех скверн. И, поставив собаку, повелел ей стеречь Адама, а сам Господь пошел в горний Иерусалим за дыханием для Адама. И во второй раз явился Сатана, и хотел напустить на Адама злую скверну, но увидел собаку, лежащую у ног Адама, и очень испугался. Собака стала зло лаять на дьявола, а окаянный Сатана взял палку и истыкал всего человека Адама и впустил в него семьдесят недугов. Когда Иисус возвратился из горнего Иерусалима, он увидел Адама, истыканного палкой, и стало ему его жалко, и сказал он Сатане: «Проклятый дьявол, что ты сделал с человеком, зачем эти недуги впустил в него?» Тогда ответил дьявол, окаянный Сатана, Господу: «Если какая-нибудь болезнь подступит к этому человеку, но минует его, то он до конца тебя не вспомнит; а если заболеет, перестрадает каким-нибудь недугом, тогда всегда будет он в страданиях призывать тебя на помощь». И прогнал Господь дьявола, и дьявол исчез, как тьму прогоняет свет, а все недуги обернулись в него (самого).
И посла Господь ангела своего, повелѣ взяти «азъ» на востоцѣ, «добро» на западѣ, «мыслете» на сѣверѣ и на юзѣ. И бысть человѣкъ въ душу живу, нарече имя ему Адамъ. А костей сотвори Богъ во Адамѣ 345, и бысть Адамъ царь всѣмъ землямъ и птицамъ небеснымъ и звѣремъ земнымъ и рыбамъ морскимъ, и самовласть дасть ему Богъ. И рече Господь Адаму, глаголя: «Тебѣ работаетъ солнце и луна и звѣзды, и птицы небесныя и рыбы морския, и птицы и скоты и гади». И насади Господь Богъ Рай на востоцѣ, и велѣ Адаму пребыти, а жена Адаму еще не сотворена бысть. И вложи Господь Богъ сонъ во Адама, и успе Адамъ, и взятъ его ребро лѣвое, и въ томъ ребрѣ протяже руцѣ и нозѣ и главу, и созда ему жену въ шестый день, и показа ему Господь свою смерть и распятие, и воскресение, и провидѣ вознесение за полшесты тысящь лѣть. И видѣ Адамъ Господа распята, а Петра въ Римѣ ходяща, а Павла въ Дамасцѣ учаща народъ и проповѣдующе Твое воскресение, и вознесеся Господь...	И послал Господь своего ангела, повелев ему взять «аз» на востоке, «добро» на западе, «мыслете» на севере и на юге. И оживил душу в человеке, и дал ему имя Адам. А костей Бог создал в Адаме триста сорок пять, и стал Адам царем над всеми землями, и птицами небесными, и зверями земными, и рыбами морскими, и дал ему Бог власть надо всем. И сказал Бог Адаму: «Тебе служат солнце, луна и звезды, и птицы небесные, и рыбы морские, и птицы, и животные, и гады». Господь Бог на востоке насадил Рай и велел Адаму там жить, а жена Адаму еще не была создана. И наслал Бог на Адама сон, и Адам уснул, и Бог взял его левое ребро, а из ребра выпростал руки, и ноги, и голову, и создал жену в шестой день; и предсказал Господь Адаму свою смерть, и распятие, и воскресение, и предвидел Он вознесение за пять тысяч пятьсот лет. И увидел Адам Господа распятого, Петра в Риме, а Павла в Дамаске, обучающих народ и проповедующих его воскресение, и как вознесся Господь...
И воста Адамъ отъ сна своего и трепетень бысть во ужасѣ велицѣ о провидѣнии. И вожда Господь Адама въ рай ходящя и рече ему: «Адаме, Адаме, повѣждь ми». Адамъ же убояся велми, не смѣя Богу повѣдати того видѣния. И рече ему Господь Богъ: «Адаме, Адаме!» — Адамъ же рече ему: «Господи владыко, Тебе видѣхъ на крестѣ распята во Иерусалимѣ, а ученики Твоя видѣхъ ходяща — Петра въ Римѣ, а Павла въ Дамасцѣ, проповѣдующе Твое распятие и воскресение». И рече ему Господь: «Подобаетъ ми тебе ради снити на землю и распяту быти и въ третий день воскреснути; а ты же не повѣдай никомуже видѣния сего, дондеже увидиши мя въ Раю сѣдяща одесную Отца, и ты о томъ поскорби, Адаме».	Проснулся Адам в сильном волнении и страхе великом из-за вещего сна. И водил Господь Адама в Раю и сказал ему: «Адам, Адам, расскажи мне». Но Адам сильно испугался, не смея рассказать Богу свой сон. И сказал ему Господь Бог: «Адам, Адам!» Адам же ответил ему: «Господи владыко, я видел, что Тебя распяли на кресте в Иерусалиме и что ученики Твои — Петр в Риме и Павел в Дамаске — ходят и проповедуют Твое распятие и воскресение». И сказал ему Господь: «Мне следует ради тебя, Адам, сойти на землю, и быть распятым, и воскреснуть в третий день; а ты никому не рассказывай этот сон, покуда не увидишь меня, сидящего в Раю справа от Отца, — и ты о том поскорби, Адам».
И бысть Адамъ въ Раи 7 дний, прообразуя Господь Богъ житие человѣческое: десять лѣтъ исполнится рожение, 20 лѣтъ — юноша, 30 лѣтъ — свершение, 40 лѣтъ — средовѣчие, 50 лѣтъ — сѣдина, 60 лѣтъ — старость, 70 лѣтъ — скончание.	И был Адам в Раю семь дней, чем предсказывал Господь Бог человеческую жизнь: десять лет — это ребенок, двадцать лет — юноша, тридцать лет — зрелость, сорок лет — средовечие, пятьдесят лет — седина, шестьдесят лет — старость, семьдесят лет — смерть.
И сотвори Господь Богъ всю тварь, море и рѣки, и скоти своею хитростию, а та 7 дней противъ седми тысящь лѣтъ. И постави Господь Богъ двѣ свѣтилѣ велицѣ на тверди небеснѣй освѣтити землю, и разлучи между днемъ и нощию да будетъ во знамении дне и лѣта, а будетъ просвѣщение на тверди небеснѣй: свѣтила великая въ начатокъ дни, второе свѣтило — въ начатокъ нощи. И звѣзды постави Господь Богъ на тверди небеснѣй, яко свѣтити по земле и обладати днемъ и нощию, и разлучити между днемъ и нощию и свѣтомъ.	И создал Господь Бог своим умением всю тварь, море, и реки, и зверей, а те семь дней сообразны семи тысячам лет, и поставил Господь Бог два светильника больших на тверди небесной, чтобы освещали землю, и разделил день от ночи, в ознаменование дней и лет, и чтобы было просветление на тверди небесной — большой светильник, обозначающий начало дня, а другой — начало ночи. И звезды поместил Господь Бог на тверди небесной, чтобы им светить над землей, владеть днем и ночью, и разделять день от ночи и света.
И бысть вечеръ и бысть утро — день четвертый.	И был вечер, и было утро — день четвертый.
Постави Господь Богъ планиты и облацы зарьныя и дуги на облацѣхъ, еже пущати дожди, и громи, и молния человѣкомъ всея земли просвѣщати древа плодовитая. И рече Господь Богъ: «Изведу воды живыхъ во вѣки, птицъ перящеся по заводемъ, на тверди небеснѣй».	Устроил Господь Бог планеты, и зоревые облака, и радуги на облаках, которые пускают дожди, и громы, и молнии, чтобы людям всей земли озарить плодовитые деревья. И сказал Господь Бог: «Сотворю вовеки животворные воды, птиц, обитающих по заводям и в небесных пределах».
И бысть, яко сотвори Господь Богъ четыре киты великия, изведе отъ нихъ всяку птицу и всякъ гадъ на земли; и иныя благослови ясти, и глаголя: «раститеся и умножитеся и наполните землю и обладайте ею».	И как создал Господь Бог четырех громадных китов, пустил от них всяких птиц и гадов по земле, а некоторых благословил съедать, и сказал: «Растите, размножайтесь, наполняйте землю и владейте ею».
А в семъ бо дней обходитъ кругъ, а 7 лѣтъ за всю 7000 лѣтъ, и осмой тысящи нѣсть конца, еще есть безконечный.	А в семь дней совершается круг, а семь лет за все семь тысяч лет, и восьмой тысяче нет конца, так как свет бесконечен.
Въ недѣлю, день рекомый недѣля, въ той же день воскресе Христосъ от мертвых, и в той же день Господь на облацѣхъ судити всему миру, иже не имать конца свѣта, и воздастъ комуждо по дѣломъ его.	В воскресенье, в день, называемый неделя, в тот день воскрес Христос из мертвых, и в тот же день будет Господь на небесах судить весь мир, который не имеет конца, и воздаст каждому по делам его.
