О АДАМЕ	О АДАМЕ
Адам[1] же в Раю преж преступления[2] вся имяше в воли своей, вся в воли его ходяху. И егда изгна его Господь из Рая и сѣде во Едеме[3] пред дверьми райскими и видѣ сонъ, како хощет родити Каина[4] и Авеля,[5] и в кое лѣто хощет убити Каинъ Авеля. И запрети ему аггелъ не повѣдати Евзе.[6] И ту пребысть 70 и 9 лѣт[7] и в болѣзнь впаде чревную, и не вѣдяху, что есть болѣзнь его. И собрашася от мала и до велика и вси чюжахуся и глаголаху Евзе: «О мати наша, ты вѣси сокровенная его вся, яви нам, что се толико отецъ нашь болит?» И всѣх бяше людей над Адамомъ 6000 мужей.	Адам в Раю до грехопадения все имел во власти своей, все под властью его жили. И когда изгнал его Господь из Рая и сидел он в Эдеме пред дверьми райскими, то видел сон, что родятся Каин и Авель, и в какое время убьет Каин Авеля. И запретил ему ангел рассказывать это Еве. И прожил так он 70 и 9 лет и заболел нутром, и не ведал, что за болезнь у него. И собрались все от мала и до велика и удивлялись, и говорили Еве: «О мать наша, ты знаешь все тайны его, объяви нам, чем так отец наш болен?» И было всех людей возле Адама 6000 мужей.
 	(Исповедание Евы)
Евга то рече: «От преди возвѣщу вам, чада моя. Егда сотвори Богъ Рай на востоце и всю вселенную, и сотвори отца вашего и меня, и предастъ нам Рай и вся скоти, и гади, и вся птица пернатая. Адам же блюдяше восточную страну и сѣверную, аз блюдох западную страну и южную. И паки предасть нам Господь заповедь и паки рече: “Вам вся снѣсте, иже в Раю, а от единого древа не ясте”, и показа нам древа. И взыде на небеса Господь нашь. И мы оба иже обладахове в Раю, и без повелѣния Адамова и моего вси звѣрие и скоти, и гади и не смѣяху ни ходити, ни лячити, ясти что, дондеже повелим имъ.	Ева тогда сказала: «От начала поведаю вам, дети мои. Когда создал Бог Рай на востоке и всю вселенную, и создал отца вашего и меня, и препоручил нам Рай и всех зверей, и гадов, и всех птиц пернатых. Адам хранил восточную часть и северную, я хранила западную часть и южную. И потом дал нам Господь заповедь, сказав: “Вам можно всем питаться, что есть в Раю, только плод одного дерева не ешьте”, и показал нам дерево. И поднялся на небеса Господь наш. И мы оба владели всем в Раю, и без повеления Адама и моего все звери и скоты, и гады не смели ни ходить, ни лакать, ни есть что-нибудь, покуда не разрешим им.
И тогда прииде к нам Дьявол, свѣтелъ, яко аггелъ, и рече намъ: “Что вы рече Богъ ясти или не ясти в Раю?” Адам рече: “Вся намъ повелѣ ясти, толико единого древа заповѣда нам не ясти и повелѣ намъ блюсти ся от него”. Дьяволъ же рече: “Много жалую о васъ, понеже не разумѣете, аще бысте от него снѣли, и вы бы есте бози были”. И той рекъ и отиде от нас. И обрете змию и научи ю.[8] Змия же мнящи, яко аггелъ есть, и прииде ко мнѣ, и показа ми плод, иже от древа. И видѣх аз, яко змия есть любима Богу развѣе всѣх звѣрей,[9] и взях от нея и снедох. И сердце мое возмутися во мнѣ напрасно и в мою страну древеса повергоша листвие свое.	И тогда пришел к нам Дьявол, светел, словно ангел, и сказал нам: “Что вам позволил Бог есть и чего не велел есть в Раю?” Адам сказал: “Все нам разрешил есть, только плод одного дерева запретил нам есть и повелел нам остерегаться его”. Дьявол же сказал: “Очень жалко мне вас, ибо не знаете, что если бы плод от него съели, то вы были бы богами”. Так сказал он и покинул нас. И нашел змею и подучил ее. Змея же, думая, что он ангел, пришла ко мне и показала мне плод от того дерева. И видела я, что змею любит Бог больше всех зверей, и взяла от нее плод и съела. И сердце мое смутилось во мне вдруг, и в моей части Рая деревья сбросили листву свою.
Аз же внидох под древо то, от негоже снедох, и возвах Адама и рѣх: “Прииди здѣ, Адам, да видиши великое чюдо”. Аз же уста отверзох, и языкъ мой глаголаше во мнѣ сам, яко да снѣсть Адамъ. Такоже прият Адам, от негоже древеса снѣде. И отверзостася очи наю, и видѣхове очету[10] свою, и сердца наша восхотѣ на похоть. И бысть тако. И вся древеса листвия своя повергоша, и едина смокви листвия своего не поверже. Адам же восплакався велми и рече мнѣ: “О жено, что мы сотворихом!” Такоже сердце мое не отделися от Адама, и внидохом под древо то, иже не поверже листвия, и съшихом листвие смоковное, и сътворихом одеяние себѣ.[11]	Я же скрылась под дерево то, плод которого съела, и позвала Адама и сказала: “Приди сюда, Адам, и увидишь великое чудо”. Только открыла я уста, и язык мой говорил сам собой, чтобы съел и Адам. Адам также взял плод от этого дерева, что я съела. И открылись глаза наши, и увидели мы наготу свою, и сердца наши воспылали похотью. И свершилось. И все деревья листву свою сбросили, одна только смоковница листья свои не сбросила. Адам же разрыдался и сказал мне: “О жена, что мы с тобой наделали!” Но сердце мое не отвратилось от Адама, и скрылись мы под тем деревом, которое не сбросило листву, и сшили листья смоковные, и сделали одежду себе.
И тогда слышахом глас съ небесе глаголющь, архаггелъ призываетъ аггелы: “Приидѣте вси, глаголеть Господь, да снидета в Рай, понеже согрешилъ есть Адам”. И паки снидет Господь со всѣми аггелы своими. И ста престолъ посредѣ Раю, и возва Господь гласом великим: “Адаме, Адаме, гдѣ еси?” — отвеща гласъ много. Адам же скрыся. И пояша нас аггелы, и свирѣпо биюще насъ, и изгнаша нас из Рая. Адам же плакашеся и молящеся глаголя: “Послабите намъ, егда когда умилосердится Господь о нас!” И не помилова насъ Господь. Архаггелъ Михаилъ[12] непрестанно моляшеся о насъ ко престолу. И тако изгнаша нас из Рая и отпустиша нас.[13]	И тогда услышали глас, раздающийся с небес, архангел призывал ангелов: “Придите все, — велит Господь, и сойдите в Рай, ибо согрешил Адам”. И потом сошел Господь со всеми ангелами своими. И поставлен был престол посреди Рая, и воззвал Господь громким гласом: “Адам, Адам, где ты?” — вещал сильный голос. Адам же скрылся. И схватили нас ангелы, и яростно били нас, и изгнали нас из Рая. Адам же плакал и молился, говоря: “Пощадите нас, может, смилуется Господь над нами!” Но не помиловал нас Господь. Архангел Михаил непрестанно молил о нас перед престолом. И так изгнали нас из Рая и отвергли нас.
Мы же седохом Едема оттужени. Адам же паде на лицы своем и плакашеся. И сотворихом дней 15, и изнеможе душа моя во мнѣ гладом, и рѣх ко Адаму: “Господи, востани, да поищеве себѣ храмины, уже бо сердце мое одолѣ во мнѣ гладом и душа моя омале”. Адам же воскликнувъ рече: “О Евга, находит на сердце мое разорити икону твою, но не имамъ с кѣм быти и боюся Бога. А сердце мое не удаляется от тебе”. И воставше и обидохом всю землю, и не обретохом ничтоже снѣдно, но токмо волчецъ[14] и траву селную. И паки приидохове во Едем и плакахомся[15] со вздыханьем. И рече Адамъ: “Господи, припосли ми воню, да тя поминаю”. Тогда посла к нему Господь фимиян, и ливанъ, и ладан.[16] И взятъ Адам и сотвори молбу ко Господу. И тогда умилосердився Господь, и архаггелъ Ивоилъ[17] отлучи 7-ю часть Рая и подасть нам. И преже наядохомся от плода тернова[18] за 17 дний и потом взяхом пшеницу и мед, и масла[19] и ядохом и насытихомся. И изгна вся скоты и звѣрие из Рая и предасть Адаму. Адам же отлучи я́ и сотвори дивие и питомое, и нарече всѣмъ имъ имена, и всѣм вещем питающим ся. И рече Господь: “Терние и волчецъ в дѣланиих твоих да прозябнет”.[20]	Мы же сидели, лишенные Эдема. Адам упал ничком и рыдал. И прошло так дней 15, и изнемогла я от голода, и сказала Адаму: “Господин, встань и поищем себе убежище, уже сердце мое побеждено голодом и силы мои умалились”. Адам же, воскликнув, сказал: “О Ева, возникает в сердце моем желание отвернуться от лица твоего, но не с кем мне остаться и боюсь Бога. Да и сердце мое не отвергает тебя”. И встали мы, и обошли всю землю, и не нашли ничего съедобного, только волчец и траву полевую. И снова пришли к Раю и плакали, скорбя. И сказал Адам: “Господи, пошли мне благовония, чтобы тебе кадить”. Тогда послал ему Господь фимиам, и ливан, и ладан. И взял Адам и сотворил молитву Господу. И тогда умилосердился Господь, и архангел Иоиль отделил 7-ю часть Рая и отдал нам. И сначала питались плодами терновными 17 дней, а потом взяли пшеницу, и мед, и масло и ели и насытились. И изгнал Бог всех скотов и зверей из Рая и отдал Адаму. Адам же разделил их и сделал дикими и домашними, и дал всем им имена и всему, питающему их. И сказал Господь: “Терние и волчец от трудов твоих произрастет”.
И поясть Адам волы и взора землю. И прииде Дьявол и ста пред волы, иже не дадяше Адаму землю орати. “Понеже, — рече Дьявол, — моя есть земля, а Божия небеса и Рай. Да аще хощеши мой быти, то землю тяжи. Аще ли хощеши Божий быти, то иди в Рай”. И рече Адам: “Божия суть небеса и земля, и вселенная”. Дьявол же не дадяше ему орати и глаголаше: “Запиши ми рукописание свое, да еси мой, и ты землю работай”. Адамъ же рече: “Чия есть земля, того и аз и чада моя”. Вѣдаше бо Адам, яко снити хощет Господь на землю и родитися от девы. Дьявол же обрадовашеся велми и рече: “Запишися мнѣ”. И взят Адам плача[21] и записа рукописание, и рече: “Чия есть земля, того и аз и чада моя”. Дьявол же взят рукописание Адамова и держа у себя.[22]	И взял Адам волов и вспахал землю. И пришел Дьявол и встал перед волами, чтобы не давать Адаму землю пахать. “Потому что, — сказал Дьявол, — моя земля, а Божии небеса и Рай. И если хочешь моим быть, то землю паши. Если же хочешь Божиим быть, то иди в Рай”. И сказал Адам: “Божии небеса и земля со всем, что ее населяет”. Дьявол же не давал ему пахать и сказал: “Напиши мне своей рукой, что ты мой, и ты на земле будешь работать”. Адам же сказал: “Чья земля, того и я, и дети мои”. Но знал Адам, что должен сойти Господь на землю и родиться от девы. Дьявол же очень обрадовался и сказал: “Заложись за меня”. И взял Адам доску каменную и написал рукописание, и сказал: “Чья земля, того и я, и дети мои”. Дьявол же взял рукописание и скрыл у себя.
Аз рѣхъ ко Адаму: “Господи, покаемся, нежели избавит ны Господь от Дьявола”. Адам же рече: “Постимся 40 дней”. Азъ рѣх: “Ты, господине мой, постися 40 дней, а я да пощуся 40 и 4 дни”. И рече ко мнѣ: “Вниди ты в Тигръ[23] реку и положи камень на главѣ своей, а другий под ноги своя и стой до выя в водѣ, а не слышай никогоже, да не паки прѣльщена будеши”. И сотвори ми знамя сокровенно и рече ми: “Не изыди, дондеже аз прииду”. И воставъ Адам и поиде во Иерданъ[24] каятися, и ту снидошася вси звѣрие и птицы, и множество аггелъ и плакахуся Адама. Адам же погрузися весь во Иердани рецѣ и пребысть 40 дней.	Я сказала Адаму: “Господин, покаемся, авось избавит нас Господь от Дьявола”. Адам же сказал: “Постимся сорок дней”. Я сказала: “Ты, господин мой, постись сорок дней, а я буду поститься сорок и четыре дня”. И сказал он мне: “Войди ты в Тигр реку и положи камень на голову свою, а другой под ноги свои, и стой по шею в воде, но не слушайся никого, чтобы не прельстили тебя снова”. И показал мне тайный знак, и сказал мне: “Не выходи из реки, пока я не приду”. И поднялся Адам, и пошел в Иордан каяться, и сошлись туда все звери и птицы, и множество ангелов и оплакивали Адама. Адам же погрузился весь в Иордан реку и провел так 40 дней.
Дьявол же прииде къ Евзе, аки аггелъ свѣтел, слезы роняша по земли, и глагола ми: “Евга, услыша Господь молитву твою и насъ, аггелъ своих, молящих за тебе, посла мене Богъ, да изведеши из реки Адама”. Аз же не вѣровах, и паки въ 3 день прииде и сотворився во Адамовъ образ и много блазни меня. Аз же не изыдох, дондеже вижу знамя, иже ми рекъ Адам. И егда же соверши Адам 40 дний, грядяше от Иердана и обрете Дьявол слѣд приходящъ ко мнѣ, и убояся велми, и егда како прелщена буду. И егда видѣ мя въ водѣ и возрадовася велми. И егда прииде ко мнѣ, и аз не вѣровах, что есть господинъ мой. И показа ми знамя. Тогда вѣровах и изыдох из реки. Тогда свободи насъ Господь от Дьявола.	Дьявол же пришел к Еве, как ангел светел, слезы роняя по земле, и сказал мне: “Ева, услышал Господь молитву твою и нашу, ангелов своих, молящих за тебя, послал меня Бог, чтобы ты вывела из реки Адама”. Я же не поверила ему, и снова через 3 дня пришел, приняв образ Адама, и долго искушал меня. Я же не соглашалась выйти, пока не увижу знак, который показал мне Адам. И когда закончил Адам 40-дневное покаяние, пришел от Иордана и нашел след Дьявола, приходившего ко мне, и очень испугался, не была ли я прельщена снова. И когда увидел меня в воде, обрадовался очень. Но когда пришел он ко мне, то я не поверила, что это господин мой. И показал мне знак. Тогда поверила я и вышла из реки. Так освободил нас Господь от Дьявола.
