СЪКАЗАНИЕ И СТРАСТЬ И ПОХВАЛА СВЯТЮЮ МУЧЕНИКУ БОРИСА ИГЛѢБА	СКАЗАНИЕ И СТРАДАНИЕ И ПОХВАЛА МУЧЕНИКАМ СВЯТЫМ БОРИСУ ИГЛЕБУ
Господи,благослови, отьче!	Господи,благослови, отче!
«Родъправыихъ благословиться, — рече пророкъ, — и сѣмя ихъ въ благословлениибудеть».[1]	«Родправедных благословится, — говорил пророк, — и потомки их благословенны будут».
Сице убобысть малъмь преже сихъ. Сущю самодрьжьцю вьсей Русьскей земли Володимиру, сынуСвятославлю,[2]вънуку же Игореву, иже и святыимь крьщениемь вьсю просвѣти сию землю Русьску.Прочая же его добродѣтели инде съкажемъ, нынѣ же нѣсть время. А о сихъ по рядусице есть: сь убо Володимиръ имѣяше сыновъ 12 не отъ единоя жены, нъ отъ раснъматеръ ихъ. Въ нихъ же бяше старѣй Вышеславъ, а по немь Изяславъ, 3 —Святопълкъ, иже и убийство се зълое изъобрѣтъ. Сего мати преже бѣ чьрницею,гръкыни сущи, и поялъ ̀ю бѣ Яропълкъ,[3]братъ Володимирь, и ростригъ ̀ю красоты дѣля лица ея. И зача отъ нея сегоСвятоплъка оканьнааго, Володимиръ же поганъй еще, убивъ Яропълка и поятъ женуего непраздьну сущю. Отъ нея же родися сий оканьный Святопълкъ, и бысть отъдъвою отьцю и брату сущю. Тѣмьже и не любляаше его Володимиръ, акы неотъ себе ему сущю. А отъ Рогнѣди[4]4 сыны имѣяше: Изяслава, и Мьстислава, и Ярослава, и Всеволода, а отъ инояСвятослава и Мьстислава, а отъ българынѣ Бориса и Глѣба. И посажа вся пороснамъ землямъ въ княжении, иже инъде съкажемъ, сихъ же съповѣмы убо, о нихъжеи повѣсть си есть.	Так исвершилось незадолго до наших дней при самодержце всей Русской земли Владимире,сыне Святославовом, внуке Игоревом, просветившем святым крещением всю землюРусскую. О прочих его добродетелях в другом месте поведаем, ныне же не время. Отом же, что начали, будем рассказывать по порядку. Владимир имел 12 сыновей, ине от одной жены: матери у них были разные. Старший сын — Вышеслав, после него— Изяслав, третий — Святополк, который и замыслил это злое убийство. Мать егогречанка, прежде была монахиней. Брат Владимира Ярополк, прельщенный красотойее лица, расстриг ее, и взял в жены, и зачал от нее окаянного Святополка.Владимир же, в то время еще язычник, убив Ярополка, овладел его беременнойженою. Вот она-то и родила этого окаянного Святополка, сына двух отцов-братьев.Поэтому и не любил его Владимир, ибо не от него был он. А от Рогнеды Владимиримел четырех сыновей: Изяслава, и Мстислава, и Ярослава, и Всеволода. От другойжены были Святослав и Мстислав, а от жены-болгарки — Борис и Глеб. И посадил ихвсех Владимир по разным землям на княжение, о чем в другом месте скажем, здесьже расскажем про тех, о ком сия повесть.
Посади убосего оканьнааго Святопълка въ княжении Пиньскѣ, а Ярослава — Новѣгородѣ, аБориса — Ростовѣ, а Глѣба — Муромѣ. Нъ се остаану много глаголати, да немногописании въ забыть вълѣземъ, нъ о немьже начахъ, си съкажемъ убо сице.Многомъ же уже дьньмъ минувъшемъ, и яко съконьчашася дьние Володимиру, ужеминувъшемъ лѣтомъ 28 по святѣмь крьщении, въпаде въ недугь крѣпъкъ. Въ то жевремя бяше пришелъ Борисъ изд-Ростова, печенегомъ же о онуду пакы идущемъ ратиюна Русь, въ велицѣ печали бяаше Володимиръ, зане не можааше изити противу имъ,и много печаляашеся. Ипризъвавъ Бориса, емуже бѣ имя наречено въ святѣмь крьщении Романъ,[5] блаженааго и скоропослушьливааго,предавъ воѣ мъногы въ руцѣ его, посъла и́ противу безбожьнымъ печенѣгомъ. Онъже съ радостию въставъ иде рекъ: «Се готовъ есмь предъ очима твоима сътворити,елико велить воля сьрдьца твоего». О таковыихъ бо рече Притъчьникъ:[6] «Сынъ быхъ отьцю послушьливъ илюбиимъ предъ лицьмь матере своея».	ПосадилВладимир окаянного Святополка на княжение в Пинске, а Ярослава — в Новгороде, аБориса — в Ростове, а Глеба — в Муроме. Не стану, однако, много толковать,чтобы во многословии не забыть о главном, но, о ком начал, поведаем вот что.Протекло много времени, и, когда минуло 28 лет после святого крещения, подошлик концу дни Владимира — впал он в тяжкий недуг. В это же время пришел изРостова Борис, а печенеги вновь двинулись ратью на Русь, и великая скорбьохватила Владимира, так как не мог он выступить против них, и это сильно печалило его. Призвал тогда он к себеБориса, нареченного в святом крещении Романом, блаженного и скоропослушливого,и, дав ему под начало много воинов, послал его против безбожных печенегов.Борис же с радостью пошел, говоря: «Готов я пред очами твоими свершить, чтовелит воля сердца твоего». О таких Приточник говорил: «Был сын отцу послушный илюбимый матерью своею».
Ошедъшю жеему и не обрѣтъшю супостатъ своихъ, възвративъшюся въспять ему. И се придевѣстьникъ къ нему, повѣдая ему отьчю съмрьть, како преставися отьць егоВасилий, въ се бо имя бяше нареченъ въ святѣмь крьщении, и како Святопълкъпотаи сьмьрть отьца своего, и ночь проимавъ помостъ на Берестовѣмь и въ ковъръобьртѣвъше, съвѣсивъше ужи на землю, везъше на саньхъ,[7] поставиша и́ въ цьркви святыяБогородица. И яко услыша святый Борисъ, начатъ тѣлъмь утьрпывати и лице еговьсе сльзъ испълнися, и сльзами разливаяся и не могый глаголати. Въ сьрдьци синачатъ сицевая вѣщати: «Увы мнѣ, свѣте очию моею, сияние и заре лица моего,бъздро уности моеѣ, наказание недоразумѣния моего! Увы мнѣ, отьче и господинемой! Къ кому прибѣгну, къ кому възьрю? Къде ли насыщюся таковааго благаагоучения и казания разума твоего? Увы мнѣ, увы мнѣ! Како зайде свѣте мой,не сущу ми ту! Да быхъ понѣ самъ чьстьное твое тѣло своима рукама съпрятялъ игробу предалъ. Нъ то ни понесохъ красоты мужьства тѣла твоего, ни съподобленъбыхъ цѣловати добролѣпьныхъ твоихъ сѣдинъ. Нъ, о блажениче, помяни мя въ покоитвоемь! Сьрдьце ми горить, душа ми съмыслъ съмущаеть и не вѣмь къ комуобратитися и къ кому сию горькую печаль простерети? Къ брату ли, егоже быхъимѣлъ въ отьца мѣсто? Нъ тъ, мьню, о суетии мирьскыихъ поучаеться и о биении моемьпомышляеть. Да аще кръвь мою пролѣеть и на убийство мое потъщиться,мученикъ буду Господу моему. Азъ бо не противлюся, зане пишеться: «Господьгърдыимъ противиться, съмѣренымъ же даеть благодать».[8] Апостолъ же: «Иже рече — “Богалюблю”, а брата своего ненавидить — лъжь есть».[9]И пакы: «Боязни въ любъви нѣсть, съвьршеная любы вънъ измещеть страхъ».[10] Тѣмьже что реку или чьто сътворю? Седа иду къ брату моему и реку: «Ты ми буди отьць — ты ми братъ и старѣи. Чьто мивелиши, господи мой?»	КогдаБорис, выступив в поход и не встретив врага, возвращался обратно, прибыл к немувестник и поведал ему о смерти отца. Рассказал он, как преставился отец егоВасилий (этим именем назван был Владимир в святом крещении) и как Святополк,утаив смерть отца своего, ночью разобрал помост в Берестове и, завернув тело вковер, спустил его на веревках на землю, отвез на санях и поставил в церквисвятой Богородицы. И как услышал это святой Борис, стал телом слабеть и вселицо его намокло от слез, обливаясь слезами, не в силах был говорить. Лишь всердце своем так размышлял: «Увы мне, свет очей моих, сияние и заря лица моего,узда юности моей, наставник неопытности моей! Увы мне, отец и господин мой! Ккому прибегну, к кому обращу взор свой? Где еще найду такую мудрость и какобойдусь без наставлений разума твоего? Увы мне, увы мне! Как же ты зашло,солнце мое, а меня не было там! Был бы я там, то сам бы своими руками честноетело твое убрал и могиле предал. Но не нес я доблестное тело твое, несподобился целовать прекрасные твои седины. О, блаженный, помяни меня в местеуспокоения твоего! Сердце мое горит, душа мой разум смущает и не знаю, к комуобратиться, кому поведать эту горькую печаль? Брату, которого я почитал какотца? Но тот, чувствую я, о мирской суете печется и убийство мое замышляет.Если он кровь мою прольет и на убийство мое решится, буду мучеником передГосподом моим. Не воспротивлюсь я, ибо написано: «Бог гордым противится, асмиренным дает благодать». И в послании апостола сказано: «Кто говорит: “Ялюблю Бога”, а брата своего ненавидит, тот лжец». И еще: «В любви нет страха,совершенная любовь изгоняет страх». Поэтому, что я скажу, что сделаю? Вот пойдук брату моему и скажу: «Будь мне отцом — ведь ты брат мой старший. Что повелишьмне, господин мой?»
И си на умѣси помышляя, идяаше къ брату своему и глаголааше въ сьрдьци своемъ: «То понѣузьрю ли си лице братьца моего мьньшааго Глѣба, яко же Иосифъ Вениямина?»[11] И та вься полагая въ сьрдьци си:«Воля твоя да будеть, Господи мой». Помышляше же въ умѣ своемь: «Аще поиду въдомъ отьца своего, то языци мнози превратять сьрдьце мое, яко прогнати братамоего, якоже и отьць мой преже святаго крещения, славы ради и княжения мирасего, и иже все мимоходить и хуже паучины. То камо имамъ приити по ошьствиимоемь отсюду? Какъ ли убо обрящюся тъгда? Кый ли ми будеть отвѣтъ? Къде лисъкрыю мъножьство грѣха моего? Чьто бо приобрѣтоша преже братия отьца моего илиотьць мой? Къде бо ихъ жития и слава мира сего, и багряница[12] и брячины, сребро и золото, вина имедове, брашьна чьстьная, и быстрии кони, и домове красьнии и велиции, и имѣниямнога, и дани, и чьсти бещисльны, и гърдѣния, яже о болярѣхъ своихъ? Уже все сеимъ, акы не было николиже: вся съ нимь ищезоша, и нѣсть помощи ни отъ когожесихъ — ни отъ имѣния, ни отъ множьства рабъ, ни отъ славы мира сего.Тѣмь и Соломонъ, все прошьдъ, вься видѣвъ, вся сътяжавъ и съвъкупивъ, речерасмотривъ вьсе: “Суета и суетие, суетию буди”,[13] тъкмо помощь от добръ дѣлъ, и отъправовѣрия, и отъ нелицемѣрьныя любъве».	И, помышляятак в уме своем, пошел к брату своему и говорил в сердце своем: «Увижу ли яхотя бы братца моего младшего Глеба, как Иосиф Вениамина?» И решил в сердцесвоем: «Да будет воля твоя, Господи!» Про себя же думал: «Если пойду в дом отцасвоего, то многие люди станут уговаривать меня прогнать брата, как поступал,ради славы и княжения в мире этом, отец мой до святого крещения. А ведь все этопреходяще и непрочно, как паутина. Куда я приду по отшествии своем из мираэтого? Где окажусь тогда? Какой получу ответ? Где скрою множество грехов своих?Что приобрели братья отца моего или отец мой? Где их жизнь и слава мира сего, ибагряницы, и пиры, серебро и золото, вина и меды, яства обильные, и резвыекони, и хоромы изукрашенные и великие, и богатства многие, и дани и почестибесчисленные, и похвальба боярами своими? Всего этого будто и не было: все сним исчезло, и ни от чего нет подспорья — ни от богатства, ни от множестварабов, ни от славы мира сего. Так и Соломон, все испытав, все видев, всемовладев и все собрав, говорил обо всем: “Суета сует — все суета!” Спасениетолько в добрых делах, в истинной вере и в нелицемерной любви».
Идый жепутьмь, помышляаше о красотѣ и о доброте телесе своего, и сльзами разливаашесявьсь. И хотя удрьжатися и не можааше. И вси зьряще его тако, плакаашеся одоброродьнѣмь тѣлѣ и чьстьнѣмь разумѣ въздраста его. И къжьдо въ души своейстонааше горестию сьрдьчьною, и вси съмущаахуся о печали.	Идя жепутем своим, думал Борис о красоте и молодости своей и весь обливался слезами.И хотел сдержаться, но не мог. И все видевшие его тоже оплакивали юность его иего красоту телесную и духовную. И каждый в душе своей стенал от горестисердечной, и все были охвачены печалью.
Къто бо невъсплачеться съмрьти тоѣ пагубьноѣ, приводя предъ очи сьрдьца своего?	Кто же невосплачется, представив пред очами сердца своего эту пагубную смерть?
Образъ бо бяаше унылъй его, възоръ и скрушениесьрдьца его святаго, такъ бо бѣ блаженый тъ правьдивъ и щедръ, тихъ, крътъкъ,съмѣренъ, всѣхъ милуя и вься набъдя.	Весь обликего был уныл, и сердце его святое было сокрушено, ибо был блаженный правдив ищедр, тих, кроток, смиренен, всех он жалел и всем помогал.
Помышлятьже въ сьрдьци своемьбогоблаженый Борисъ и глаголааше: «Вѣдѣ, — брата моего зълуради чловѣципонудяти ̀и на убийство мое, и погубить мя. Да аще пролѣеть кръвь мою, томученикъ буду Господу моему, а духъ мой прииметь Владыка». Таче, забывъ скърбьсъмьртьную, тѣшааше сьрдьце свое о словеси Божии, «Иже погубити душюсвою мене ради и моихъ словесъ, обрящети ̀ю въ животѣ вѣчьнѣмь съхранить ̀ю».[14] И поиде радъстьнъмь сьрдьцьмь, «непрезьри мене, — рекыи, — Господи премилостиве, уповающааго на тя, нъ спаси душюмою».	Такпомышлял в сердце своем богоблаженный Борис и говорил: «Знал я, что брата злыелюди подстрекают на убийство мое, и погубит он меня. И когда прольет кровь мою,то буду я мучеником пред Господом моим, и примет душу мою Владыка». Затем,забыв смертную скорбь, стал утешать он сердце свое Божьим словом: «Тот, ктопожертвует душой своей ради меня и моего учения, обретет и сохранит ее в жизнивечной». И пошел с радостным сердцем, говоря: «Господи премилостивый, не отриньменя, на тебя уповающего, но спаси душу мою!»
