О НИРОВѢ ЖЕНѢ	О ЖЕНЕ НИРА
И жена Нирова Софонима неплоды сущи и не роди Нирови.	Была бесплодна жена Нира Софонима и не родила Ниру наследника.
И бысть Софонима во время старости и в день смерти, и приа во чревѣ своем, а Ниръ, ерѣй, не спа с нею от дни, имже постави Господь в лице людей. Устыдѣся Софонима и потаися вся дни, и никтоже не увѣда от люди.	И вот состарилась Софонима, и близился день ее смерти, когда почувствовала она дитя в чреве своем, — а Нир не входил к ней со дня, как поставил его Господь иереем перед людьми. Испугалась Софонима и таилась все дни, и никто из людей и не узнал этого.
И бысть въ день рожества и помяну жену свою Ниръ и възва ю к собѣ во храмину, да побѣседуетъ с нею. И иде Софонима к мужу ея, се таи во чревѣ имущи во время рожества. И видѣвъ ю Ниръ, и постыдѣся ею зѣло, и рече к ней: «Что се сотворила еси, жено, и посрамила мя еси пред лицемъ всих людей? И нынѣ отиди от мене, — иди, идѣже еси зачала срамоту чрева твоего, да не осквръню руку моею о тебѣ и согрѣшу в лице Господне».	И сталось же в день родов — вспомнил о жене своей Нир и призвал ее к себе в покои побеседовать с нею. И пошла Софонима к мужу, тая дитя в чреве, и тогда наступило время родин. И увидел ее Нир, и устыдился безмерно такого позора, и сказал ей: «Что же ты это сотворила, жена, и осрамила меня перед людьми? И теперь иди от меня, — иди туда, где зачала позор чрева твоего, да не оскверню рук моих о тебя и не согрешу перед Господом».
И отвѣща Софонима к мужу своему, глаголющи: «Се, господине мой, во время старости моеа, и не бысть во мнѣ унотьства, — ни вѣмъ, како зачатся безлобье чрѣва моего». Не вѣрова ей Ниръ, и глагола ей Ниръ второе: «Отиди от мене, егда како уражю тя и согрѣшу в лицѣ Господне».	И ответила Софонима мужу своему, говоря: «Я, господин мой, уже стара, и нет во мне молодой силы, — не знаю, как зачалось в смиренном чреве моем». Не поверил ей Нир, и сказал ей Нир снова: «Уйди от меня, а то не ровен час убью тебя и согрешу перед Господом».
И бысть егда Ниръ к жене своей глаголаше, и паде Софонима у ногу Нирову и умре. И оскорбѣ Ниръ зѣло, и рече в сердци своемъ: «Егда от Господа моего и бысть ей, — и нынѣ милостивъ и вѣченъ Господь, зане не бысть рука моя на ней». И явися Нирови архаггелъ Гаврилъ[1] и рече ему: «Не мни, яко жена твоя Софонима вины ради умре: сей же от нея родивыйся младенецъ — плод праведенъ есть, и егоже восприемлю на Рай,[2] да не будеши дару Божью отець».	И когда так говорил Нир жене своей, упала Софонима к ногам Нира и умерла. И опечалился Нир глубоко, но решил в сердце своем: «Коль от Господа моего уж так суждено ей, то и ныне милостив и вечен Господь, ибо не поднял руки моей на нее». И тогда явился Ниру архангел Гавриил и сказал ему: «Не мысли, что жена твоя Софонима в наказание умерла: младенец, что ею выношен, — плод праведный, и я приму его в Рай, да не быть тебе отцом Божьему дару».
И ускори Ниръ, и отвори двери храма своего, и иде ко брату своему Ною,[3] и повѣда ему все, елико бысть женѣ его. И ускори Ной ко клети брата своего и виде женѣ брата своего въ смерти, и утроба еа въ время рожества. И глагола Ной к Ниру: «Не буди печално тебѣ, Нире, брате мой, что покры Господь днесь срамоту нашу, имже не вѣсть никтоже от людей. И нынѣ подщимся погребемъ ю, и покрыетъ Господь бестудье наше». И положиша Софониму на одрѣ, облекоша в ризы чръны и затвориша двери. И изрыша гроб втайнѣ.	И не стал медлить Нир, и, отворив двери покоев своих, поспешил к брату своему Ною и рассказал ему все, как было с женой его Софонимой. И поспешил Ной в дом брата своего и увидел жену брата своего мертвой, но чрево ее пыталось еще разрешиться от бремени. И сказал Ной Ниру: «Не печалься, Нир, брат мой, ибо сокрыл Господь сегодня позор наш, и не знает о нем никто из людей. А теперь постараемся похоронить ее, и Господь укроет бесчестье наше». И положили Софониму на ложе, покрыли черным покровом и затворили двери. И вырыли тайно могилу.
Егда изыдоша ко гробу еа, и изыде отрокъ из мертвеный Софонимы и сѣдяше на одрѣ. И вниде Ной и Ниръ погребсти Софониму и увѣдиша отрокъ седящь у мрътвены, сущая одѣание на немъ. И ужасеся Ной и Ниръ, зѣло бяше бо отрокъ свѣршенъ тѣломъ, глаголаше усты своими и благословяше Господа.	Но когда готовили ей могилу, у мертвой Софонимы родился ребенок и оставался на одре покойной. И возвратились Ной и Нир похоронить Софониму и увидели младенца, сидящего около мертвой, прикрытого ее одеждой. И поразились Ной и Нир, ибо столь был прекрасен младенец и уже говорил и устами своими восхвалял Господа.
Смотряше его Ной и Ниръ зѣло, глаголаше: «Се от Господа есть, брате мой. И се печать святителства на пръсѣх его, и славенъ взоромъ». И рече Ной к Нирови: «Брате, се обновляет Господь кровь священиа по нас». И ускори Ниръ и Ной, и омысте отроча, и облекосте в ризы святительства, и дасть ему хлѣб благословеный ясть. И нарекосте имя ему: Мелхиседек.[4]	С изумлением смотрел на него Ной, с Ниром, и говорил: «Это от Господа, брат мой. Вот и знак святительства на груди его, и славен вид его». И сказал Ной Ниру: «Брат, это обновляет Господь кровь священнослужителей после нас». И больше не медлили Нир и Ной, и омыли младенца, и одели в ризы святительские, и дали ему откушать благословенного хлеба. И нарекли имя ему: Мелхиседек.
И прия Ной и Ниръ тѣло Софонимы, и совлекосте с нея ризы чръныя, омысте тѣло ея, и облекосте в ризы свѣтлыи и изрядны, и создаша ей гробъ. И иде Ной и Ниръ и Мелхиседекъ и погребоша ю честно явѣ.	И взяли Ной и Нир тело Софонимы, и совлекли с нее покров черный, омыли тело ее, и обрядили в покровы светлые и достойные, и приготовили ей гробницу. И пошли Ной и Нир с Мелхиседеком и погребли ее с почетом и принародно.
И глагола Ной къ брату своему: «Поблюди отрока до времени втайнѣ, зане про ны рѣша людие по всей земли и нѣкако уздрѣша, умертвятъ его». И иде Ной на мѣсто свое.	И сказал Ной брату своему: «Побереги младенца до поры втайне, потому что про нас уже ведут пересуды люди по всей земле и, как-либо высмотрев, умертвят его». И возвратился Ной в дом свой.
И се вся безакониа по всей земли во дни Нировы. И тужаше Ниръ зѣло, паче отрочати, глаголя: «Что сотворю ему?» Простеръ Ниръ руцѣ свои на небо и призва Господа, глаголя: «Увы мнѣ, Господи вѣчный! Вся безакониа умножишася на земли во дни моя, и разумѣю аз, яко близъ есть скончание наше. И нынѣ, Господи, что есть видѣние отрока сего? И что есть суд его, или что сътворю ему, да не предръгнется с нами в погибели сей?»	И вот поднялись во времена Нира все бесчинства по всей земле. И горько печалился Нир, но еще больше — о младенце, говоря: «Что же мне делать с ним?» Простер Нир руки свои к небу и призвал Господа, восклицая: «Увы мне, Господи вечный! Все беззакония умножились на земле во дни мои, и вижу я, как близок конец наш. Что же означает, Господи, появление ныне младенца этого? И что суждено ему, или что сделать мне для него, дабы не содрогаться ему с нами от ужаса в погибели этой?»
Услыша Господь Нира, явися ему въ видѣнии нощнѣмъ и глагола ему: «Се уже, Нире, велико гибение бысть на земли, к тому не тръплю ни поносу, се аз мышлю вскорѣ низъпустѣти погубление велико на землю.[5] А о отрочати не печалуй, Нирѣ, зане аз помалѣ пошлю архаггела своего Гаврила, и прииметъ отрока и посадитъ его в Раи едемъстѣм, и не погибнетъ с погыбущими. А азъ показах и́; и будет ми ерѣй ерѣемъ в вѣкы Мелхиседекъ и сущи. И преставлю и́ в люди великы, сущаа мя».	Услышал Господь Нира, явился ему в видении ночном и сказал ему: «Это, Нир, уже великая гибель пришла на землю: не потерплю я впредь ни поругания, и вот мыслю ниспослать скоро погибель великую на землю. А о младенце не тревожься, Нир, ибо прежде пошлю я архангела своего Гавриила, и возьмет он младенца и укроет его в саду Эдемском, и не погибнет тот с обреченными погибнуть. А теперь я указал его; и будет он у меня иерей иереям во веки и воистину — Мелхиседек. И поставлю его человеком великим в народе моем».
И вставъ Ниръ от сна своего и благослови Господа, явльшагося ему, глаголя: «Благословенъ Господь, богъ отець наших, иже не дасть похулениа святительству моему во святителствѣ отець моих, яко глаголъ твой созда иерѣа велика в ложеснѣх Софонимлих, жены моея, зане не бысть мнѣ племени. И буди отрокъ сый во племени моего мѣсто и станет сынъ мой. И причтеши с рабы своими, с Сифомъ,[6] и Енофомъ,[7] и Русиемъ, и Миламом, и Рерухом, и Арусамом, и Наилем,[8] и Енохом,[9] и Мефусаиломъ,[10] и робомъ твоим Ниромъ. И Мелхиседекъ будетъ глава иерѣемъ в род инъ, видѣ бо, яко род сей в мятеже скончает ся и погибнут яко вси. И Ной, брат мой, схранится в род инъ всаждений, и от племени его востанут люди мнози.[11] И Мелхиседек станет глава иерѣемъ людия, единовластиа служащаа ти, Господи».	И встал Нир от сна своего и восславил Господа, явившегося ему, говоря: «Благословен Господь, бог отцов наших, который не допустил поругания святительству моему во святительстве отцов моих, ибо слово твое создало иерея великого в ложеснах Софонимы, жены моей, потому что не было мне потомства. Пусть же будет отрок этот в потомстве преемником мне и станет сыном моим. И причислишь его к рабам своим — с Сифом, и Енофом, и Русием, и Миламом, и Рерухом, и Арусамом, и Наилем, и Енохом, и Мафусаилом, и рабом твоим Ниром. Но будет Мелхиседек глава иереям уже другого народа, потому что этот народ истребит себя в распрях и смутах и погибнут все до единого. Спасется лишь Ной, брат мой, и даст корень иному роду, и от потомства его вновь умножатся на земле люди. И Мелхиседек будет глава иереям у народов, послушных единовластию твоему и тебе, Господи».
И бысть, егда сконца 40 дни въ кровѣ Нировѣ, и глагола Господь архаггелу Гаврилу: «Сниди на землю к Ниру жерцу, и возми отрока Мелхиседека сущаго и положи в Рай едемли въ хранитву, уже бо приближися время, и аз пущу вся воды на землю, и погибнут вся сущаа на земли. И воставлю в род ин, и Мелхиседекъ будетъ глава ерѣемъ в родѣ том».	И было так: когда минуло отроку 40 дней под кровом Нира, то сказал Господь архангелу Гавриилу: «Сойди на землю к жрецу Ниру и возьми отрока Мелхиседека и укрой безопасности ради в саду Эдема, ибо уже приблизилось время, и я обрушу все воды на землю, и погибнет все сущее на земле. И поставлю новый народ, и Мелхиседек будет глава иереям в народе том».
И ускори Гаврилъ и слѣте нощию, и Ниръ бяше спя на одрѣ своемъ нощию. И явися ему Гаврил, глагола к нему: «Сице глаголеть Господь к Нирови: пусти отрока ко мнѣ, иже ти поручих». И не позна Ниръ глаголющаго къ нему, и мятешеся сердце его: «Егда, рече, увѣдающи людие отроча, возмуть и́ и убиют его, зане лукаво бысть сердце людско пред лицем Господнимъ». И отвѣща Гаврилу и рече: «Нѣсть у мене отрока, и не позна я глаголющаго ко мнѣ». И отвѣщав к нему Гаврилъ: «Не бойся, Нире, аз есми архаггелъ Гаврил, посла мя Господь. И се поимаю отрока твоего днесь, и иду с нимъ, и положу и́ в Раи едемьстем». И помяну Ниръ сонъ пръвый, вѣровавъ и отвѣщавъ Гаврилу: «Благословенъ Господь, пославый тя днесь ко мнѣ. И нынѣ благослови раба твоего Нира, и поими отрока, и сотвори ему, елико же глаголано к тобѣ». И взя Гаврил отрока Мелхиседека в нощь ту на крилѣ свои и положи в Раи едемъстѣм.	И поспешил Гавриил, и слетел ночью к Ниру, спящему на ложе своем. И явился ему Гавриил, и сказал ему: «Так говорит Господь Ниру: отпусти отрока ко мне, которого тебе я доверил». Но не узнал Нир говорящего ему, и пришло в смятение сердце его: «Если прознают люди об отроке, возьмут его и убьют его, ибо лукаво сердце людское перед лицом Господним». И, отвечая Гавриилу, сказал: «Нет у меня отрока, и не знаю я обращающегося ко мне». И ответил ему Гавриил: «Не бойся, Нир: это я, архангел Гавриил, и прислал меня Господь. И вот теперь беру я отрока твоего и ухожу с ним — и укрою его в саду Эдемском». И вспомнил Нир сон свой прежний, поверил и отвечал Гавриилу: «Благословен Господь, пославший тебя сегодня ко мне. Благослови же ныне раба твоего Нира, и прими отрока, и поступи с ним, как сказано тебе». И принял Гавриил отрока Мелхиседека в ту ночь на крылья свои и перенес его в сад Эдемский.
И вста Ниръ заутра, и иде в кровъ, и не обрѣте отрока. И бысть радость и скорбь Нирови зѣло, зане имяше отрока в сына мѣсто.	И пробудился Нир утром, и пошел в потаенный покой, и не нашел отрока. И радовался, и печалился глубоко Нир, потому что был ему отрок вместо сына.
Богу нашему слава всегда — и нынѣ, и присно и в вѣкы вѣкомъ. Аминь.	Богу нашему слава всегда — и ныне, и присно, и во веки веков. Аминь!
