ЖИТИЕ СВЯТАГО ПРОРОКА МОИСИЯ. СКАЗАНИЕ БЫТЬЯ ЕГО	ЖИТИЕ СВЯТОГО ПРОРОКА МОИСЕЯ. СКАЗАНИЕ БЫТИЯ ЕГО
Господи, благослови, отче.	Господи, благослови, отче.
Яковъ убо бывь лѣтъ 80 и 7, роди Левгия, Левгии бывъ лѣть 40 и 9, роди Армия, Гаидадъ, Хевронъ и Каята. Каять же бывъ лѣт 60, роди Амбрава. Амбравъ бывъ лѣт 100, роди Арона, и Мариамь, и Моисия в лѣт 101[1] къ пришествию Израильску въ Егуптѣ. Моисий же бы 7-й от Аврамля колѣна, мати же ему бысть Агавефь, дщи Левгина.	Когда Иакову было 87 лет, он родил Левия, Левию же было 49 лет, когда он родил Армия, Гаидада, Хеврона и Каяту. Каят же в 60 лет родил Амбрава. Амбрав был ста лет, когда родил Аарона, Мариам и Моисея в 101-й год пришествия израильтян в Египет. Моисей был седьмой по счету от колена Авраама, мать его была Агавефь, дочь Левия.
Въ единъ убо от дний цьсарь Фараонъ видѣ сонъ: сѣдящю ему на столѣ царства своего въ Егуптѣ и въздвигь очи свои, видѣ старца стояща противу ему, а в руку его скалвы. И въкладе въ едину скалву вся старца егупетьския и вся велможа его, а въ другую скалву въкладе вси агньци. И убудивъся и урани заутра, и созва вся рабы своя и повѣда имъ сонъ. И ужасошася людие страхомъ великымъ и рче волхвъ Валаомъ:[2] «Се въстанеть зло въ Егуптѣ в послѣдняя дни». И рече цьсарь: «Что будеть, скажи намъ». И рче Валаомъ к цьсарю: «Отроча родится во Израили и растворить все царство Егупетьско, вѣдая буди цьсарю, да напиши въ законѣхъ егупетьских, да истопять всяко отроча, иже родится в жидехъ, да убивають и».	Однажды царь Фараон увидел сон: вот сидит он на своем царском престоле в Египте и поднял глаза свои, и увидел старца, который стоял против него, а в руках его — чаши весов. И положил он на одну чашу всех египетских старейшин и всех вельмож его, а на другую чашу положил всех агнцев. Проснувшись рано наутро, (царь) созвал всех рабов своих и рассказал им сон. И люди испугались сильным страхом, и сказал волхв Валаом: «Востанет зло в Египте вскоре». И сказал царь: «Что будет, скажи нам». И сказал Валаом царю: «У израильтян родится младенец и расточит все царство Египетское, знай это, царь, напиши в законах египетских, чтобы топили в воде каждого младенца, который родится у евреев, пусть убивают его».
И призва бабы жидовьския и повелѣ имъ убивати младенца, и другыя метати в рѣку. Бабы же убояшася Бога, не створиша тако, якоже повелѣ имъ цьсарь егупетьский Фараон. (...)	И призвал Фараон повивальных бабок еврейских и приказал им убивать младенцев, а других бросать в реку. Но бабки боялись Бога и не делали так, как повелел им царь египетский Фараон. (...)
Жены же жидовьския изхошаху въ поле и ражаху. Ангели же Божии искупаху дѣти и повиваху, и вложаху въ обѣ руцѣ имъ два камени, да изъ единого ссаху масло, а из другаго медъ. И выихожахуть егуптяне на поле искатъ ихъ, и повеленьемъ Божиимъ отворяцися земля, приимашеть я. Они же идяху по плугы и по рала своя и не можаху обрѣсти, яко Богъ храняше тая. И възрастьше на поли, прихожахуть тмами в домы своя. И умножишася людие жидовьстии и расилнѣша въ Егуптѣ. Цьсрь же егупетьский Фараонъ не любляшеть, яко множится Издраиль.	Жены же еврейские уходили в поле и рожали там. Ангелы же Божий купали новорожденных и повивали их, и вкладывали в обе руки им два камня, чтобы из одного сосали масло, а из другого — мед. И выходили египтяне на поле искать их, но повелением Божиим отверзалась земля и принимала их. Те же шли за плугами и сохами своими и не могли отыскать их, так как Бог утаил их. И когда вырастали (дети) на поле, то приходили во множестве в свои дома. И умножился народ еврейский, и становился все сильнее в Египте. Царю же египетскому Фараону не нравилось, что умножаются израильтяне.
Мужь же бяше во Издраили именемъ Амбрамъ. И поя жену собѣ Агавефь, родыню свою. И роди дщерь и нарече имя ей Маримьянии. Во дни бо ты почаша сынове Хамови[3] озлобляти животь сыновъ Издраилевъ. Амбрамъ же зача и роди сынъ и нарче имя ему Аронъ. Во дни бо ты нача Фараонъ проливати кровь на землю отрочать, а другыхъ метати в рѣку. Тогда отлучишася мнози от женъ своихъ, и отлучи же ся и Амбрамъ от жены своея. И бысть в годину ту на конець 3 лѣтъ, бысть духъ Божий на Мариамии и, пророчьствовавъ, рече: «Се сынъ родиться у отца моего в годину сию, и ть спасеть Издраиля от руку Егупетьску».	Был среди израильтян муж по имени Амбрам. И взял он себе жену Агавефь, свою родственницу. И родила та дочь и назвали ее именем Мариам. А в те дни стали сыновья Хама творить зло сынам израилевым. Амбрам же зачал и родил сына и дал ему имя Арон. В те дни Фараон начал проливать кровь младенцев на землю, а других кидать в реку. Тогда многие расстались со своими женами, расстался и Амбрам со своей женой. И на исходе 3-его года осенил Дух Божий Мариам и, пророчествуя, она сказала: «Вот родится сын у моего отца в этот год, и тот спасет Израиль от власти Египетской».
Слышав же се Амбрамъ у Мариамии, възврати жену свою въспять к собѣ и поя ю въ 6 месяць и, заченши, роди сынъ и нарче имя ему Немелхия. И наполнися храмъ свѣтлости, и видѣ жена дѣтя, яко добро есть, и схрани е 3 месяци въ скровѣ.	Услышав это от Мариам, Амбрам возвратил к себе жену и познал ее в шестой месяц, и, зачав, она родила сына, и назвала его именем Мелхия. И наполнился дом света, и жена увидела, сколь прекрасно ее дитя, и держала его 3 месяца в укрытии.
Въ дни же ты заповѣдаша егуптянѣ носити дѣти своя младыя по хоромомъ жидовьскимъ, негли бы ся отмолвило дѣтя жидовьское к дѣтяти егупетьскому. Жена же та убоявшися того, створи ситянъ яскъ и умаза и́ глиною из дна, а из вону смолою, и вложи тамо дѣтя, и пусти е межю ситьникы надъ рѣкою. Сестра же его ста издалеца, его зрящи.	В те дни египтяне приказали носить своих маленьких детей в еврейские дома, не откликнется ли дитя еврейское дитяти египетскому. А жена та, опасаясь этого, сделала камышовую корзинку, вымазав дно ее изнутри глиной, а снаружи смолою, и положила туда ребенка, и пустила корзинку меж речных камышей. Сестра же его, став издали, смотрела на него.
И посла Богъ зной на землю егупетьскую, и взопрѣша чѣловеци. И сниде дщи Фараонова Ферьмуфь искупаться на рѣку съ дѣвицами и со многими женами. И узрѣ ситянъ яскъ плавающь на рѣцѣ и пославъши рабыня взятъ и́. И откры, и видѣ в немъ отроча плачющеся, и помилова его, и рче: «От дѣтий се еврѣйскъ есть». И нарече имя ему Моисий, глаголющи, яко от воды взяхъ его.[4] И приведоша жены егуптяныни доить его, и не хотѣ съсати, от Бога бо бяше, яко возвратити къ сесьцю матерьню. И рече Мариамь: «Хощеши ли, да ти приведу жену доилицю от жидовъ, и въздоить ти дѣтище се». И иде, и приведе матерь его, и рече ей дщи Фараоня: «Въздои ми дѣтище се, и вдамъ ти по двѣ сребреници на день». И взя у нея и въздои его.	И послал Бог зной на землю Египетскую, и люди мучились от жары. И спустилась дочь Фараона Ферьмуфь к реке искупаться с девицами и со многими женщинами. И увидела она камышовую корзинку, плавающую по реке, и послала рабыню, чтоб взяла ее. И когда открыла, то увидела в ней плачущего младенца, и пожалела его, и сказала: «Этот из еврейских детей». И дала ему имя Моисей, объяснив, что из воды взяла его. И привели женщин египетских, чтобы вскормили его, но он не хотел сосать, так как от Бога было (предначертано) ему возвратиться к материнской груди. И сказала Мариам: «Если хочешь, приведу тебе женщину-кормилицу из евреек, и она вскормит тебе этого ребенка». И отправилась, и привела его мать, и сказала ей дочь Фараона: «Вскорми мне это дитя, и я положу тебе по две серебряные монеты на день». И та взяла у нее (дитя) и вскормила его.
И бысть на конець дву лѣту и принесе и ко дщери Фараоновѣ, и бысть ей въ сынъ. И бысть въ третьее лѣто къ рождеству Моисиову, Фараонъ сѣдяше за столомъ, цьсарица же одесную его, Фермуфия же сѣдяше ошююю его. Дѣтя же сѣдяше в пазусѣ ея, и вельможа сѣдяху окрестъ его.	На исходе второго года принесли его к дочери Фараона, и был он ей вместо сына. И в третий год от рожденья Моисея Фараон сидел за столом, а царица справа от него. Фермуфь же сидела слева от него. Дитя же находилось у нее на руках, а вокруг него сидели вельможи.
