СЛОВО БЛАЖЕННАГО ЗОРОВАВЕЛЯ	СЛОВО БЛАЖЕННОГО ЗОРОВАВЕЛЯ
Изыде паки Зоровавель[1] из Ерусалима останка ради полона къ Дареви[2] цесарю и моли ся ему, дабы останок отпустилъ полона людий, дабы исполнил обѣты царя Кира[3] перскаго, и повелѣ ему дати.	Вышел же Зоровавель из Иерусалима ради остатка пленных к царю Дарию и просил его, дабы отпустил остаток пленных людей, дабы исполнил обещания Кира, персидского царя, и повелел тот отдать ему (пленных).
И бысть Зоровавель у Дария цесаря воинствуя и стрегий цесаря со инѣма двема другома. И единою сопрѣша ся и рѣша другъ къ другу: «Загадывая загадками, кождо по мудрости своей; написаша же загадки своя въ грамоте и положим у цесаря въ головахъ, доньдеже убудится и узрит загадки на грамоте, и уразумѣетъ. Да будет мужь, иже будет написал лучше другу своею, той будетъ вторый под цесари; сосуди же стола его злати и сребрени, и утварь на кони его дана будет ему, часть же вторую возьмет по цесари, а вопрошение его и рѣчь дасть ему, и друг цесарю зовется». И ркоша вси: «Тако да будетъ».	И был Зоровавель воином у царя Дария и охранял царя с двумя другими слугами. И однажды завели они спор и сказали друг другу: «Давайте загадаем загадки, каждый сообразно мудрости своей; написав же свои загадки на грамоте, положим у царя в изголовье, чтобы, проснувшись, увидел загадки на грамоте и оценил их. И тот, кто напишет лучше двух других, будет вторым после царя; сосуды стола его будут золотыми и серебряными, и сбруя для коней его будет дана ему, вторую же часть будет иметь после царя, и любую просьбу его исполнят, и друг царю назовется». И сказали все: «Да будет так».
И уставиша законы мидски и перски, ихже не изменити. И вергоша жребия межи собою; и паде жребий единому, и написано есть: «Ничтоже, яко цесарь, крѣпок на земли». Другий же написа: «Вино есть всего крепчие на земли». Третий же, Зоровавель, написа: «Нѣсть креплее жены на земли».	И договорились об этом согласно мидийским и персидским правилам, которые неизменяемы. И бросили между собой жребий; и выпал жребий первому, и было написано (им): «Ничто так не сильно на земле, как царь». Другой же написал: «Вино сильнее всего на земле». Третий же, Зоровавель, написал: «Нет ничего сильнее женщины на земле».
Написаша же загадки своя, положиша у цесаря в головах. Цесарь же, спав, убуди ся и уразумѣ шепот отрок сих, и простер руку и взятъ грамоту и, прочет же, положи. И егда собраша ся велможи его, цесарь же призвавъ отроки и рече имъ: «Протолкуйте гадки своя, егоже будет мудрейши, тому исполню, что есть писано въ грамоте той».	Написали они загадки свои и положили у царя в изголовье. Царь же, проснувшись, услышал шепот этих слуг, протянул руку и взял грамоту, и, прочитав, отложил. Когда же собрались вельможи его, царь призвал слуг и сказал им: «Объясните загадки свои, и чья окажется мудрейшей, для того исполню то, что написано в грамоте этой».
И рече первый: «Послушай, цесарю и велможи, да вы скажу! Вѣдайте, мужи цесареви храбрии, силу цесареву и крѣпость, и власть его надо всею землею, и над морем, и над островы, и надо всѣми языки. И уморит, и оживит; да аще повелит ити на войну, поидутъ; да аще повелит цесарь разорити град, то разорят. И все, повелѣное цесаремъ, творят: и злато копают и сребро, и снасть ратную устраяют, орют же и сѣют, и винограды копают и садятъ, и часть цесареву дѣлаютъ, и сами не вкусивше обилия своего. Боятся грозы его, яко храбрие есть цесарь всехъ. И не преступятъ во всемъ словесе его. И того ради имите вѣру мнѣ, яко нѣту противу цесаря на земли». И удивиша ся ту стоящи рѣчи его.	И сказал первый: «Послушайте, царь и вельможи, и скажу вам! Знайте, мужи царя храбрые, силу царя и крепость, и власть его над всей землей, и над морем, и над странами, и над всеми народами. И умертвит, и оживит; если велит идти на войну — пойдут; если велит царь разорить город — разорят. И всё, что прикажет царь, делают: и золото добывают и серебро, и воинское снаряжение готовят, пашут и сеют, обрабатывают землю и сажают сады, и платят дань царю, еще не вкусив от своего урожая. Боятся гнева его, ибо храбрее всех царь. И не нарушают слова его ни в чем. И потому верьте мне, что нет ничего равного царю на земле». И удивились стоящие тут речи его.
И отвѣщав другий, рече: «Послушай, цесарю и мужи мудрии истинною, якоже вы вѣдаете крѣпость цесареву, яко всѣми обладает на земли, якоже слышасте. Вино же есть крепчее цесаря: вся бо храбрость его права суть, егдаже упьется, то изыначится и сердце, и рѣчь его. Инии воспоют, а инии скачют, а инии пляшют, а инии бьются. И уморит милыя, а нечестивыя почтит, и не зазрится отца и матере своея. Вѣдаете всѣ, яко вино крепчее есть. Аже ся его напьет, той грамоты забудетъ, а пѣсни помянет, и мужа, шепчюша злое, приимет. Скверны рѣчи открыются, а гнѣвливыя возвеселит, а инье на друга своего обнажат мечь. Мужа же смирныя посрамит, и ноги человѣком искривит, и очи его возмятет, без студа уста его измолвятъ. Трезви же всего того не помнят и запираются. Вѣдаите, яко вино есть всего крепчае. Аще бы святыи пили, то и тем смятет вино».[4] И похвалиша же вси сего рѣчь.	И ответил другой, говоря: «Послушайте, царь и мужи истинно мудрые, знаете вы силу царя, потому что всем владеет он на земле, как вы слышали. Вино же сильнее царя: храбрость его несомненна, но когда станет пьян, то изменится и сердце, и речь его. Иные станут петь, а иные — скакать, а иные — плясать, а иные — драться. (Пьяный) погубит достойных жалости, а нечестивых почтит, и не будет иметь стыда перед отцом и матерью своими. Знайте все, что вино сильнее. Кто его напьется, тот грамоту забудет, а песни вспомнит, и человека, шепчущего злое, приблизит. Дурные речи начнутся, а гневливых вино возбудит, иные и на друга своего обнажат меч. Стыдливого же человека (вино) предаст сраму, и ноги людей сделает кривыми, и глаза его замутит, и уста его будут говорить без стыда. Трезвые же всего этого не помнят и отпираются. Знайте, что вино есть сильнее всего. Если бы святые пили, то и тех вино привело бы в беспорядок». И похвалили все его речь.
Возва же цесарь Зоровавеля, третьего, и рече: «Скажи и ты загадку свою, яже друзи твои сказаша». Он же рече: «Послушай, цесарю, и разумѣйте, вси велможи! Силние же есть всего цесарь, его хощет сокрушает, якоже то суть рѣчи молвленыя и крѣпости цесареве и о крѣпости винней. Жена крепчее цесаря и вина, и всякия рѣчи. Сего ради жена есть силнейша цесаря, имже родила есть цесаря и воздоила его, и возпитала его, и одевала, и скверну его омывала, казавши и владѣвши им, и гроза ея на нем. Он же боится гласа ея и далече ее, уроняет его словом своимъ. Иногда побѣгнет пред нею. И будет уношою той, тогда грозы ея не забудет и слова ея не изменит. И потом же, видѣвъ жену красну, и возлюбит красоту ея, и не изменит любости ея на всемъ добытце. Даже отца и матерь оставит любости дела женьские. Мънози же заблудиша ся про ню, мнози бо оболщени быша любости деля женьския. Мнози же убиици ею суть, мнози же во адъ снидоша про ню. Мнози же мудрии пополъзнуша ся в сѣти ея. И ратьбы бывают роду и другом тоя ради. То не разумѣете ли или не вѣдаете, аще станет жена красна на пути, то аще бы хотя неслъ в руках, но очи его зрита на ню, и вся мысль его на ню, а не на что в руках носитъ. То аще бы что отвѣщала ему, то все бы пометалъ, а молвил бы с нею.	Призвал же царь Зоровавеля, третьего, и сказал: «Скажи и ты загадку свою, как и друзья твои сказали». Зоровавель же отвечал: «Послушай, царь, и узнайте, все вельможи! Сильнее всего царь, что хочет, сокрушает, о чем были речи, сказанные о силе царя и силе вина. Женщина сильнее царя и вина, и всего. Потому женщина сильнее царя, что родила царя, вскормила его, воспитала, одевала его и скверну его омывала, наставляла его и владела им, и держала его в строгости. Он боится голоса ее и вдалеке от нее, может сокрушить его словом своим. Иногда же обратится в бегство (от страха) перед нею. И когда он станет юношей, и тогда страха кары ее не забудет и не нарушит слова ее. И потом, увидев красивую женщину, полюбит красоту ее, и не изменит любви к ней ни за какое богатство. Даже отца и мать оставит ради любви к женщине. Многие совершили ошибки из-за нее, многие были обмануты из-за любви к женщине. Многие убийцами стали из-за нее, многие в ад сошли из-за нее. Многие мудрые попались в сети ее. И вражда бывает между родными и друзьями из-за нее. Разве не понимаете или не знаете, что, если станет красивая женщина на пути, то, если бы (мужчина) и нес что-то в руках, но глаза его смотрят на нее, и вся мысль его — о ней, а не о том, что в руках несет. И если бы она что-нибудь отвечала ему, то все бы бросил и говорил с нею.
Аще ли не имете моимъ словомъ вѣры, да повѣжте ми, кому стражете, не женам ли? Да сим же купите всяки потребы, и кузни златыя и сребреныя, и зелья добровонная. И вино, и масло кому купите, не женам ли? А инии розбивающе, а инии крадуще и рѣзящи, не женам ли несутъ?	Если не верите моим словам, то скажите мне, для кого вы трудитесь, не для женщин ли? Ведь им вы покупаете всякие вещи, и изделия золотые и серебряные, и благовония. И вино, и масло кому покупаете, не женщинам ли? Иные грабят, иные крадут и убивают, — не женщинам ли приносят?
Се же и аз видех тебе, цесарю, седяща на престоле своем, и вѣнець бяше на главе твоей. А помяни, яже дщи Лвиошева македонского,[5] меньшица твоя, седя у тебя досягши рукою своею и снят венець з главы твоея и возложи на главу свою, а ты, цесарю, смеешися, зря на ню, а тако цесарю неподобно бяше зрѣти.[6] А иногда розгнѣвала ся бяшет на тя, цесарю, ты же обымаше ю и лобзаше ю, дабы не гнѣвала ся. Слышите вси, яко жена есть силние всего. Та бо и силу Самсонову победи, и Давида обольсти, и Соломона прельсти. Паки же Адам всему миру отець Богомъ сотворен бысть, не жена ли его из рая изведе и смерти предасть, и праведнаго прельсти? Слышите, яко жена есть силние всего.	Так и я видел тебя, царь, сидящего на престоле своем, и венец был на голове твоей. А вспомни, как дочь Авиоша македонского, наложница твоя, сидевшая около тебя, дотянулась рукой своей и сняла венец с головы твоей, и возложила на главу свою, а ты, царь, смеешься, глядя на нее, а так царю не следовало бы смотреть. А когда она разгневалась на тебя, царь, ты обнимал и целовал ее, дабы не гневалась. Услышьте все, что женщина сильнее всего. Она и силу Самсонову победила, и Давида обольстила, и Соломона прельстила. Так и Адам: Богом был сотворен отцом всему миру, и не женщина ли его из Рая извела и смерти предала, и обманула праведного? Услышьте же, что женщина — сильнее всего.
Се же вѣдая, цесарю, буди, и вельможи твои, яко безлѣпица есть цесарь, иже землями владеетъ, безлепица есть вино и жена, но кривда владеетъ всѣми трема на земли, и на мори, и в полку. Идеже будет вѣра, туто не обрящется неправда.[7] Господь бо рече: “Аще вѣру имате правую, то возможете и горами ворочати”».[8] Тогда же вси вельможи подивиша ся разуму его и рекоша: «Воистинну, уноше, истець еси слову, и все правду извѣщал еси».	Но знай, царь и вельможи твои, что тщета есть царь, который землями владеет, тщета есть вино и женщина, ибо кривда владеет всеми тремя на земле, и на море, и в народе. Но где будет вера, там не обретется неправда. Ибо Господь сказал: “Если веру имеете правую, то сможете и горы переставлять”». Тогда все вельможи удивились разуму его и сказали: «Воистину, юноша, истинно слово твое, и все правду сказал ты».
