 	ЖИТИЕ ДАВИДА
СЛОВО О ДАВИДѢ, ЦАРИ И ПРОРОЦѢ ГОСПОДНИ, КАКО РОДИСЯ И КАКО ВЪЦАРИСЯ	СЛОВО О ДАВИДЕ, ЦАРЕ И ПРОРОКЕ ГОСПОДНЕМ, КАК РОДИЛСЯ И КАК ВОЦАРИЛСЯ
Бѣше Иесей[1] мужъ силенъ и крѣпокъ зѣло, въ сердци своемъ Бога дръжаше и Богу служааше зѣло. И съ женоя своея Езавелю[2] имѣху 8 сыновъ[3] своих. И съвѣтоваста между собою, еже отрещися и не смѣситися похотия плътскоя. И Езавела възятъ отрока, егоже имѣше Иесей въ милости, имя ему Андрей, и глагола ему: «Аще съхраниши господина своего добрѣ, дамъ тебѣ имѣниа многа, и аще възтрѣбуетъ жену, възвѣсти мнѣ, никакоже не съкрый от мене». Андрей рече съ обѣщанием: «Буди по глаголу твоему».	Был Иесей человеком на редкость сильным и мужественным, в сердце своем предан Богу и служил Богу усердно. И с женою своей Иезавелью родил он 8 сыновей. И положили они совет между собою, чтобы отступиться им друг от друга и больше не сочетаться в плотском союзе. И Иезавель призвала слугу, которого держал Иесей в милости, по имени Андрей, и сказала ему: «Если будешь хранить господина своего усердно, дам тебе богатые подарки, а если он потребует женщину, извести меня, не скрой этого от меня ни в коем случае». Андрей обещал: «Да будет по слову твоему».
И тако съблюдоста ся Иесей и Завела 12 лѣт. Въ един же день рече Иесей къ рабу своему Андреу: «Обрящи жену, хощетъ бо сердце мое жену». Рече Андрей: «Господине, знаю жену добру далече»; не бѣ бо въ дому своем Иесей, ну на селѣ далече от дома своего. И рече ему: «Шед, приведи ми ю». И дасть ему злато. Он же иде къ Езавелѣ, госпожи своей, и повѣда ей. Она же прииде нощия, и примѣсися Иесей къ ней, и не позна то есть жена его.	И так держали свой обет Иесей и Иезавель 12 лет. Но в один из дней сказал Иесей рабу своему Андрею: «Найди мне женщину, ибо хочет сердце мое женщину». Ответил Андрей: «Господин, знаю я красивую женщину, но она далеко отсюда»; не был Иесей в это время в доме своем, а на селе, далеко от дома. И сказал ему: «Иди, приведи мне ее». И дал ему золото. Он же пошел к Иезавели, госпоже своей, и поведал ей все. Она же пришла ночью, и совокупился с ней Иесей, не узнав жены своей.
И ту зачят отрочя, и роди, и нарече имя ему Давидъ, еврейскы — украденъ.[4] И не увѣдѣ Иесей о томъ, и въ тайнѣ въсхрани его. Егда бысть въ шестое лѣто, проводи его къ овцам и прѣдасть его пастыремъ овчиимъ. О немъ не вѣдѣше никто. И възрасте кротокъ и смѣренъ и от ума своего изьучи въсѣку свирня, и тюмбаны, и органы, и въся пъсни. И егда хотѣше свирити, овця и волове, и въси скоти играаху.[5]	И тогда зачала она младенца, и родила, и дала имя ему Давид, по-еврейски — украден. И не узнал Иесей об этом, и в тайне воспитала его. Когда минуло Давиду шесть лет, отвела его к овцам и передала овечьим пастухам. А кто он родом, не ведал никто. И вырос он кротким и смиренным и разумом своим постиг игру на всяких инструментах — на тимпанах, на органах, и научился всем песням. И когда принимался он играть, овцы и волы, и все животные скакали.
И посла Господь пророка своего, да възлиаетъ елей на главу его, яко въцарится сѣмя Авраамле.[6] Пророкъ Дафанъ[7] прииде в дом Иесеовь и рече ему: «Приведи сыны своя, да имъ дамъ сврагиду». Иесей приведе 8 сыновъ своих. Пророкъ Дафанъ рече: «Нѣсть зде сынъ твой, егоже трѣбуетъ Господь». Иесей рече: «Господи, не имамъ иных чяд, тъкмо толико». Пророк велико глаголааше, Иесей скръбѣше зѣло. Жена же его Езевела пришед, повѣда мужу своему Иесею и рече: «Тъй есть сынъ наш, ну не смѣх повѣдати ти, да не приложиши рѣчи лукавныя». И посла Иесей привести Давида. Егда видѣ пророкъ Давида, възрадовася зѣло. И възлиа елей на главу его, и дасть ему сврагиду. И рече ему: «Благословит тя Господь и благословено будет имя твое, и не погыбнеши въ вѣкы. От плода твоего прѣстолъ херувимом сътворится и дщи твоа честнѣйшиа херувимъ будетъ».[8] Иесей же чюждаашеся слышущи и глаголааше: «Где того добро обрящет? Онъ пастырству училъ ся есть». И тако отиде пророкъ.	И послал Господь пророка своего, чтобы возлил елей на главу Давида в знак того, что воцарится род Авраама. Пророк Дафан пришел в дом Иесея и сказал ему: «Приведи сыновей своих, и я отмечу их печатью». Иесей привел 8 сыновей своих. Пророк Дафан сказал: «Нет здесь сына твоего, которого требует Господь». Иесей взмолился: «Господин, нет у меня других детей, только эти». Пророк стоял на своем, Иесей был в отчаянии. Жена же его, Иезавель, придя, открыла мужу своему Иесею правду и сказала: «Он сын наш, но не смела поведать тебе, боясь, что ты примешь слова мои за обман». И приказал Иесей привести Давида. Когда увидел пророк Давида, возликовал. И вылил елей на главу его, и дал ему печать. И сказал ему: «Благословит тебя Господь и благословенно будет имя твое, и не погибнешь во веки. Племя твое воздвигнет престол херувимам, а дочь твоя будет выше херувимов». Иесей же удивился, услышав, и сказал: «Откуда он возьмет это величие? Он научен только пасти овец». С тем и удалился пророк.
Саул[9] же царь царствовааше въ сея землея и обладааше въся тварь. И въниде духъ нечистый въ Саулѣ, и пакости творѣше ему, и не давааше ему спати, ниже имѣше покоа въсегда. И нѣкый человѣкъ повѣда Саулу и рече: «Есть человѣкъ в Мадиамской земли[10] именемъ Иесей и имат въ овцах пастъвника, и великы свирня, и пищали прѣчюдны творитъ, и скоты и въся вещи играят, егда начнет свирити. Егда како и тебѣ что на ползу будет». Тогда Саулъ посла и призва Давида. Егда удари въ свирня, дух нечистый утихну в Саули за три днии. Егда отидѣше Давидъ, пакы диавол творѣше пакости ему. И съвѣща Саулъ, да дасть дъщерь свою Давиду жену,[11] яко да въсегда свирить и покоить Саула от духа нечистаго.	Саул же царь царствовал в этой земле и властвовал над всеми живущими. Но проник дух бесовский в Саула и мучил его, и не давал ему спать, и не было у него ни минуты покоя. И один человек поведал Саулу и рассказал: «Есть житель в Мадиамской земле по имени Иесей и имеет он овечьего пастуха — великого музыканта, дивно играющего на свирели; и скоты, и вся природа танцует, когда начнет он играть. Может и тебе это на пользу будет». Тогда Саул послал и призвал Давида. Когда заиграл Давид, дух нечистый угомонился в Сауле на три дня. Когда же ушел Давид, снова дьявол стал мучить его. И замыслил Саул дать дочь свою Давиду в жены, чтобы тот всегда играл и избавлял Саула от духа бесовского.
И тогда отвръжеся Голиафъ[12] от отца своего Саула царѣ и възятъ халдеяны[13] и прѣят въся земля Саулову, понеже бѣ мати Голиафова халдеанка. И прииде на отца своего Саула въ Иерусалимъ.[14] И рече Саулъ Давиду: «Почто не ръпщетъ сердце твое о семъ? Видиши ли како отвръжеся сынъ мой от мене тебе ради, и прѣят въся земля моя, и нинѣ хощет Иерусалимъ прѣяти. Ты, Давиде, что не спѣеши?»	В то время отступился Голиаф от отца своего Саула царя и, соединившись с халдеянами, захватил всю земля Саулову, ибо мать Голиафа была халдеянкой. И пришел на отца своего Саула к Иерусалиму. И сказал Саул Давиду: «Почему не скорбит сердце твое об этом? Ты же видишь, что отвергся сын мой от меня из-за тебя, и захватил всю землю мою, а ныне хочет Иерусалим взять. Ты же, Давид, что не спешишь?»
Наутрѣе прииде Голиафъ прѣд Иерусалимъ. Давидъ облѣче трое оружие на себе и подпръся двѣма копиама, и скочи 30 лакти.[15] И видѣвше людие дивишася. И изыде же на Голиафова. Саулови же не любѣщу Голиафа и повѣдашя ему Давида, яко да погубит его. Егда видѣ Давыда Голиафъ, напусти конь свой сверѣпо. Давидъ же молитву творѣше сице: «Боже праведный, и свѣтлый, и хвалный». Голиафу конь прѣвръжеся и оружие его въниде въ сердце его. Давидъ же извлѣче мечь его и отсѣче ему главу. И възвратися къ Саулу царю.	Наутро осадил Голиаф Иерусалим. Давид облачился в три доспеха, и подперся двумя копьями, и прыгнул на 30 локтей. И люди, видевшие это, изумились. И вышел Давид против Голиафова войска. Саул же не любил Голиафа, и указали ему на Давида как на того, кто погубит его. Когда увидел Давида Голиаф, с яростью пустил на него своего коня. Давид же творил молитву: «Боже праведный и светлый, и достойный». Конь Голиафа споткнулся, и меч Голиафа вонзился в сердце его. Давид же извлек этот меч и отсек Голиафу голову. И возвратился к царю Саулу.
И тако отиде духъ нечистый от Саулѣ, и умысли погубити Давида, и приведе единого вельмужа от земля халдейскуя, имя ему Вастрала,[16] яко да погубит Давида, и да дадят ему жену Давидову. И прииде Вастрала прѣукрашенъ наутриа, хотѣху усѣкнути его и жену его дати Вастралѣ.	И тогда покинул дух нечистый Саула, и замыслил он погубить Давида, и призвал одного богатыря из земли халдейской по имени Вастрала, чтобы тот убил Давида, а за это дадут за него жену Давида. И пришел Вастрала наутро в богатых нарядах (к Саулу), готовый обезглавить Давида и получить жену Давидову.
И на ложи жена его скръбѣше. Давидъ рече: «Почто тако скръбна еси, яко никогдаже?» Она же рече: «О, аще бы вѣдѣлъ, каковъ злъй съвѣтъ о тебѣ есть!» Давидъ рече: «Почто не извѣсти мнѣ?» Она же повѣда ему. И рече къ ней: «Может ли быти вѣра твоа права къ мнѣ?» Она рече: «Тако ми сътворшаго небо и земля, не познаю иного мужа».[17]	А на ложе горевала жена Давида. Давид спросил: «Почему ты так печальна, как никогда?» Она же отвечала: «О, если бы ты ведал, какой злой заговор составлен против тебя!» Давид сказал: «Почему не предупредила меня?» И она рассказала ему все. И сказал ей: «Правда ли то, в чем ты уверяешь меня?» Она сказала: «Свидетель мне сотворивший небо и землю, не приму я иного мужа».
