 	О ДВУХ БЛУДНИЦАХ
(...) И в то врѣмя створи Соломон пиръ велик отроком своим. Тогда предстаста двѣ женѣ блудницѣ пред царемь, и рече жена едина: «Въ мнѣ есть бѣда, господине мой. Аз и си подруга моа, и живевѣ в дому, понеже и породилися есвѣ в дому. И родих сынъ. И бысть по третиемь дни рожьдши ми, и роди и си жена сынъ. И бѣ токмо сами межи собою, и не бѣ никогоже с нама от инѣх в дому наю. И умре сынъ жены сея в нощь сию, якоже лежа на нем. И въставши полунощи, взят отрочя мое от руку моею, и успи е на лонѣ своем, а отроча свое умръшее положила бѣяше у мене. И въстах заутра да подою отрочяте, и обрѣтох е мертво. И се азъ проразумѣх, яко нѣсть ее сынъ мой, егоже азъ есмь родила». И рече жена другаа: «Ни, но се есть сынъ мой живый сий, а се есть твой умръший». И прястася пред царемъ.	(...) И в то время устроил Соломон большой пир своим людям. Тогда предстали пред царем две женщины-блудницы, и сказала одна женщина: «Я в беде, господин мой. Я и эта подруга моя — мы живем в одном доме, в котором обе и родились. У меня родился сын. А на третий день после того, как я родила, и эта женщина родила сына. Живем же мы только вдвоем, и никого нет с нами в нашем доме. Этой ночью сын этой женщины умер, потому что она заспала его. И вот, встав среди ночи, она взяла с моей руки моего мальчика и положила его спать на свое ложе, а своего умершего мальчика положила ко мне. Я встала утром покормить младенца и нашла его мертвым. Тут я и разобралась, что это не мой сын, которого я родила». А другая женщина сказала: «Нет, мой сын живой, а это твой умер». И спорили они перед царем.
И рече има царь: «Ты глаголеши тако: “Се есть сынъ мой живый съй, а оноя есть мертвый”, — а си глаголеты “Ни, но живый есть сынъ мой, а твой умерший”». И рече царь слугам: «Присечете отрочя се сущее живое на полы и дадите пол сей, а пол оной. И мертвое такоже, пресѣкше, вдадите пол сей, а пол оной».	И сказал им царь: «Значит, ты говоришь так: “Это мой сын живой, а ее мертвый”, — а она говорит: “Нет, мой сын живой, а твой умер”». И сказал царь слугам: «Разрубите этого живого мальчика пополам и отдайте половину его этой, а половину той. И мертвого тоже, разрубив, дайте половину его этой, а половину той».
И отвѣща жена, еяже бѣ сынъ живый, понеже убо смятеся утроба еа о сыну ея, и рече: «Въ мнѣ да будеть бѣда, господине мой. То дадите ей отроча се, а не смертию уморите его». И рече другаа жена: «Да не будет ни мнѣ, ни сей! Но пресѣчете и надвое». И отвѣщавь царь рече: «Дадите дѣтищь живый женѣ, рекшей “Дадите сей, а не смертию уморите его”. Да той дадите и, то бо есть мати его».	И ответила женщина, сын которой был жив, ибо в смятение пришла душа ее из-за сына ее, и сказала: «Пусть я буду в беде, господин мой. Отдайте ей этого мальчика, не умерщвляйте его». А другая женщина сказала: «Пусть не будет ни мне, ни ей! Разрубите его надвое». Царь в ответ сказал: «Отдайте ребенка живым женщине, сказавшей: “Отдайте ей, а не умерщвляйте его”. Отдайте его ей, ибо она — его мать».
Слышав же весь Израиль суд сей, имъже суди царь, и убояшася от лица царева, разумѣша бо, яко смыслъ Божий бѣ в немь творити суд и оправданиа.[1]	Услышал Израиль об этом суде, которым судил царь, и убоялись все лица царева, ибо поняли, что ему дан смысл Божий творить суд и правду.
 	О ПОМОЩИ ФАРАОНА
Соломонъ же бѣ поялъ дщерь фараонову, егда здааше Святаа Святых.[2] Посла посол свой к нему, глаголя: «Тести мой! Присли ми помощь». Он же избра 600 муж по остроноумии, яко умрети имъ том лѣтѣ, — хотѣ искусити Соломоню мудрость. Егда же приведени быша пред Соломона, видѣв же я издалеча, повелѣ и шити саваны всѣм имъ. Пристави же к нимь посолъ свой к фараону и рече: «Тестю мой! Аще ти нѣ в чемь своих мертвых погребати, о се ти имъ порты. У себе же я погреби».	Соломон взял в жены дочь фараона, когда строил Святая Святых. И отправил он посла своего к нему со словами: «Тесть мой! Пришли мне помощь». А тот выбрал шестьсот человек, узнав чрез астрологию, что им предстоит умереть в том году, — хотел проверить мудрость Соломона. Когда же их привели к Соломону, тот увидел их издали и повелел сшить всем им саваны. Приставил он к ним посла своего и отправил к фараону, сказав: «Тесть мой! Если тебе не в чем погребать своих мертвецов, так вот тебе одеяния. У себя же их погреби».
СКАЗАНИЕ О ТОМЪ, КАКО ЯТЪ БЫСТЬ КИТОВРАСЪ СОЛОМОНОМ	СКАЗАНИЕ О ТОМ, КАК БЫЛ ВЗЯТ КИТОВРАС СОЛОМОНОМ
Егда же здаше Соломонъ Святая Святых, тогда же бысть потреба Соломону вопросити Китовраса. Осочиша, где живеть, рекоша — в пустыни далней. Тогда мудростию своею замысли Соломонъ сковати у́же желѣзно и гривну желѣзну, написа же на ней во имя Божие заречение, и посла же болярина лучшего съ отроки, и веляше вести вино и медъ, и руна овчяя с собою взяша. Приидоша к мѣсту его, ко трем кладязем его, а его туто нѣт. По указанию Соломоню и волияша в кладязи тѣ вино и медъ, и заткаша устия кладязем руны овчьми. Влияша же два кладяза вина, а третий меду. А сами съхранишася таино, и зряху ис таи, оже приити ему воды пити ко кладязем. И прииде абие, и приникъ к водѣ, нача пити, и рече: «Всякъ, пия вино, не умудряеть». Якоже перехотѣ воды, и рече: «Ты еси вино, веселящее сердце человѣком»,[3] — и выпи всѣ 3 кладязи. И хотѣ поспати мало, и разня его вино, и уснувъ твердо. Болярин же, пришед, искова его твердо по шии, по рукам и по ногам. И, шчютився, хотя крянутися. И рече ему боляринъ: «Господине, Соломонъ имя Господне со запрѣщением написа на веригах, нынѣ на тебѣ». Онъ видѣ на себѣ, и поиде кротокъ во Иерусалимъ ко царю.	Когда Соломон строил Святая Святых, то понадобилось ему задать вопрос Китоврасу. Донесли ему, где тот живет, сказали — в пустыне дальней. Тогда мудрый Соломон задумал сковать железную цепь и железный обруч, а на нем написал заклятие именем Божиим, и послал первого из своих бояр со слугами, и велел везти вино и мед, и взяли с собой овечьи шкуры. Пришли к жилью Китовраса, к трем колодцам его, но не было его там. И по указанию Соломона влили в те колодцы вино и мед, а сверху накрыли колодцы овечьими шкурами. В два колодца налили вино, а в третий мед. Сами же, спрятавшись, смотрели из тайника, когда придет он пить воду к колодцам. И скоро пришел он, приник к воде, начал пить и сказал: «Всякий, пьющий вино, мудрее не делается». Но расхотелось ему пить воду, и он сказал: «Ты — вино, веселящее людям сердце», — и выпил все три колодца. И захотел поспать немного, и разобрало его вино, и он уснул крепко. Боярин же, подойдя, крепко сковал его по шее, по рукам и по ногам. И, проснувшись, хотел он рвануться. А боярин ему сказал: «Господин, Соломон имя Господне с заклятием написал на веригах, которые теперь на тебе». Он же, увидев их на себе, кротко пошел в Иерусалим к царю.
Нрав же его бяше таковъ. Не ходяшеть путемъ кривым, но правым. И, во Иерусалимъ пришед, требляхут путь пред нимъ и полаты рушаху, не ходя бо криво. И приидоша ко вдовицѣнѣ храминѣ. И вытекши вдовица, и взопи, глаголя, молящися Китоврасу: «Господине, вдовица есмь убога. Не оскорби мя!». Он же огнуся около угла, не соступяся с пути, и изломи си ребро. И рече: «Языкъ мякокъ кость ломить».[4] Ведом же сквозѣ торгъ, и слыша мужа, рекуща: «Не ли черви на 7 лѣт?» — и рассмѣяся Китоврасъ. И видѣ другаго мужа ворожаща, и посмѣяся. И видѣ свадбу играющу, и восплакася. И видяще мужа, на пути блудяща кромѣ пути, и наведе и на путь. И приведоша его въ дворъ царевъ.	Нрав же его был такой. Не ходил он путем кривым, но — только прямым. И когда пришли в Иерусалим, расчищали перед ним путь и дома рушили, ибо не ходил он в обход. И подошли к дому вдовы. И, выбежав, вдова закричала, умоляя Китовраса: «Господин, я вдова убогая. Не обижай меня!» Он же изогнулся около угла, не соступясь с пути, и сломал себе ребро. И сказал: «Мягкий язык кость ломает». Когда же вели его через торг, то, слыша, как один человек говорил: «Нет ли башмаков на семь лет?» — Китоврас рассмеялся. И, увидев другого человека, ворожащего, засмеялся. А увидев свадьбу справляемую, заплакал. Увидев же на пути человека, блуждающего без дороги, он направил его на дорогу. И привели его до двор царев.
В первом же дни не ведоша его к Соломону. И рече Китоврасъ: «Чему мя не зоветь к себѣ царь?» Рѣша ему: «Перепилъ есть вечеръ». Взя же Китоврась камень и положи на камени. И повѣдаша Соломону творение Китоврасово. И рече царь: «Велит ми пити питие на питье». Во другий же день не зва его к себѣ царь. И рече: «Чему не ведете мя ко царю и почто не вижю лица его?» И рѣша: «Немогаеть царь, имже вчера много ѣлъ». Сня же Китоврасъ камень с камени.	В первый день не повели его к Соломону. И сказал Китоврас: «Почему меня не зовет к себе царь?» Сказали ему: «Перепил он вчера». Китоврас же взял камень и положил на другой камень. Соломону рассказали, как поступил Китоврас. И сказал царь: «Велит мне пить питье на питье». И на другой день не позвал его к себе царь. И Китоврас спросил: «Почему не ведете меня к царю и почему я не вижу лица его?» И сказали: «Недомогает царь, оттого что вчера много ел». Тогда снял Китоврас камень с камня.
