ОТ ПОТАЕННЫХ КЬНИГЪ О ВСХИЩЕНИИ ЕНОХОВѢ ПРАВЕДНАГО	ИЗ СОКРОВЕННЫХ КНИГ О ВОЗНЕСЕНИИ ПРАВЕДНОГО ЕНОХА
О Господи, благослови, Владыко!	Господи, благослови, Владыка!
Мужа мудраго, книжника великаго, егоже приа Господь видите любите вышняго житиа, и прѣмудраго и великаго непремѣннаго и Вседръжителева цесарства Божиа, — превеликаго, многоочитаго и неподвижимаго прѣстола Господня, пресвѣтлаго стоаниа слуго Господень и степень дръжавенъ, огнь роденъ, вои небесными нескажема сложениа, многа множества стихий и различна видѣниа, и неповѣдаемаа пѣниа херувимских вой, свѣта безмѣрна видѣцъ быти.	Мужа мудрого, великого книжника, которого взял Господь, дабы он увидел и возлюбил высшее житие, непреходящее царство премудрого и великого Бога Вседержителя, дабы стал (он) свидетелем превеликого, многоочитого и неколебимого престола Господнего, пресветлого предстояния слуг Господа и степеней их господства, геенны огненной, неисчислимого состава войска небесного, многого множества стихий и различных видений, несказанного пения херувимского воинства, и света безграничного.
И во время оно рече Енохъ: «Егда наполни ми ся 365, въ мѣсяць пръвыи, в нарочитыи день мѣсяца 1-го,[1] бѣх в дому моемъ единъ, плача ся и скорбя ся очима моима. Егда почивах на одрѣ моемъ, спах, явиста ми ся два мужа велика зѣло, якоже их не видѣх николиже на земли: лице их яко солнце светя ся, очи их яко свѣщи горяста, изо устъ ею яко огнь исходя, и одѣаниа ею пѣнию раздаанию,[2] и руцѣ ею яко крилѣ златѣ,[3] — у главы одра моего и възваста именемъ моимъ.	И во время оно сказал Енох: «Когда исполнилось мне 365 (лет), в первый месяц, в известный день первого месяца, я был в доме своем один, скорбя и плача очами своими. И когда лежал на ложе своем и спал, явились мне два мужа столь великих, каких не видел никогда на земле: лица их сияли подобно солнцу, а очи их были словно свечи горящие, из уст их словно огонь исходил, и одеяния их были как струящаяся пена, и руки их — словно крылья золотые, — (явились) у изголовья моего и позвали меня по имени.
Аз же ускорих и встах, и прклоних ся има, и блеща ся привидѣниемъ лице мое от страха.[4] И ркоста ко мнѣ мужа: “Дръзай, Еноше, не бой ся,[5] Господь вѣчный посла ны к тобѣ, и се ты днесь въсходиши с нами на небо. И ты глаголи сыномъ своим все, елико створят на земли и о дому твоемъ, да никтоже тебе да не ищетъ, дондеже възвратит тя Господь к нимъ”.	Я встал спешно и поклонился им, и вспыхнуло лицо мое от страха перед увиденным. И сказали мне мужи: „Ободрись, Енох, не бойся, Господь вечный послал нас к тебе, в день сей восходишь ты с нами на небо. Скажи же сынам своим все, что нужно им сделать на земле для дома твоего, и пусть никто не ищет тебя до тех пор, пока не возвратит тебя к ним Господь".
И послушавъ их, и идох, и позвах сыны своа Мефусалома и Ригима,[6] и повѣдах има, елико ркоста ми мужа: “И се вѣмъ, чадѣ, не вѣдѣ камо гряду или что срящет мя. И нынѣ, чада мои, не отступайте от Бога, и пред лицемъ Господнимъ ходите,[7] и судьбы его схраните,[8] и не отвратите жрътвы спасениа вашего — и не отвратитъ Господь труда рукъ ваших; не лишайте даровъ Господа — не лишит Господь снискании своих и во хранилницах ваших.[9] Благословите Господа пръвенци стадными нуты вашими — и будете благословени Господеви въ вѣки. Не отступайте от Господа, ни поклоните ся богомъ пустошным, иже не сотвориша ни небеси, ни земли.[10] Увѣри Господь сердца ваша въ страх свои![11] И нынѣ, чада моя, никтоже мене не взыскай, донележе мя Господь обратитъ к вамъ”.	И послушался я их, и пошел позвал сыновей своих Мефусалома и Ригима, и поведал им то, что сказали мне мужи: „И вот я понимаю, чада, что я не знаю, куда иду и что ждет меня. Вы же, дети мои, не отступайте от Бога, и пред лицом Господним ходите, и соблюдайте заповеди его, не прекращайте жертв ради спасения вашего — и не отвергнет Господь труд рук ваших; не лишайте даров Господа — и не лишит (вас) Господь благодеяний своих в хранилищах ваших! Благословляйте Господа первенцами от стад скота вашего — и будете благословенны перед Господом во веки. Не отступайте от Господа и не поклоняйтесь богам суетным, не сотворившим ни небес, ни земли. Да утвердит Господь сердца ваши в страхе своем! Теперь же, чада мои, пусть никто не ищет меня до тех пор, пока Господь не возвратит меня к вам".
И быхъ, егда глаголах сыномъ своимъ, възваста мя мужа и взяста мя на крилѣ свои.	И когда говорил это сыновьям своим, позвали меня мужи и взяли на крылья свои.
1 небо	Первое небо
И вознесоста мя на небо 1-е, и постависта мя тамо. И приведоста пред лице мое старѣйшину владыки звѣздных чиновъ, и показаша ми шествие их и прехожениа их от года до года. И показаша ми двѣсти аггелъ, иже владѣютъ звѣздами, сложении небомъ. И показаша ми ту море превелико паче моря земнаго. И аггелы летяху крилы своими. И показаша ми сокровища снѣжнаа и голотнаа[12] аггелы грозны, храняща сокровища. (...) И показаша ми ту хранилница облакъ, отнюдуже входятъ и исходятъ. И показаша ми съкровища росы, яко масть масличную, аггели, храняща сокровища их, и видѣни ихъ — яко всѣ цвѣтии земнии.	И вознесли меня на первое небо, и поставили меня там. И привели перед лицо мое старейшину владык звездных чинов, и показали мне путь (звезд) и движение их от года до года. И показали мне двести ангелов, которые управляют звездами и {всем) составляющим небеса. И показали мне там море огромное, много больше моря земного. И ангелы летают на крыльях своих. И показали мне хранилища снега и льда и грозных ангелов, охраняющих кладовые. (...) И показали мне там и хранилища облаков, откуда они выходят и куда входят. И показали мне сокровищницу влаги, подобной оливковому маслу, и ангелов, хранящих сокровища эти, и вид их — что весь цвет земной.
2 небо	Второе небо
И пояста мя на второе небо мужа тыи, и постависта мя на вторемъ небеси, и показаста ми ужники, блюдома судома безмѣрныи. И ту видѣх аггелы осуждена, плачющи,[13] и глаголах мужема, иже со мною: “Что ради мучена суть?” Отвѣщаста ко мнѣ мужа: “Злоступницы Господни суть, не послушающа гласа Господня, но своею волею съвѣщавше”. И пожалих си о них. Поклониша ми ся аггели, рѣша: “Мужю Божьи, да ся помолил о нас ко Господу”. И отвѣщах к нимъ, и ркох: “Кто есмь азъ — человѣкъ мертвен, да ся помолю о аггелѣх; кто же вѣсть, камо поиду или кто усрящет мя, или кто помолит ся о мнѣ?”	И взяли меня на второе небо мужи те, и поставили меня на втором небе, и показали мне узников, подвергаемых безмерному наказанию. И там увидел я ангелов осужденных, плачущих, и спросил я у мужей, которые были со мною: „За что они мучимы?" И отвечали мне мужи: „Это отступники от Господа, не послушавшиеся повеления Господня и своею волею решавшие". И опечалился я о них. Ангелы же поклонились мне и сказали: „Муж Божий, да помолился бы о нас Господу". Я же отвечал им, говоря: „Кто я есть — человек смертный, чтобы молиться об ангелах; кто знает, куда иду или кто встретит меня, или кто помолится обо мне".
3 небо	Третье небо
И пояста мя оттуда мужа, възведоста на третье небо, и постависта мя посреди породы.[14] И мѣсто то невидимо добротою видѣниа:[15] все древо благоцвѣтно, весь плод зрѣлъ, все брашно присно кипя, все дыхание благовонно. И четыре реки мимо текущи тихимъ шествиемъ.[16] Всяк град добръ ражающи на пищю.[17] И древо жизненое на мѣстѣ томъ,[18] на немже почиваетъ Господь, егда ходитъ Господь в рай, и древо то нескажемо добротою благовоньства. И другое древо въскрай — маслинно, тучя масло выину. И все древо благо плода, нѣсть ту древа бесплодна. И все мѣсто благовонно. И аггели, хранящи породу, свѣтлѣ зѣло, непрестаннымъ гласомъ благымъ пѣниемъ служат Богу по вся дни. И ркох: “Коль благо мѣсто се зѣло!” Отвѣщаста ко мнѣ мужа: “Мѣсто се праведникомъ, Еноху, уготовано есть, иже претръпя напасть в житии семъ, и озлобятъ душа их, и отвратят очи свои от неправды и сотворятъ суд праведенъ: дати хлѣб алчющимъ и нагиа покрыти ризою, а въздвигнути падшаго и помощи обидимымъ;[19] иже пред лицем Господнимъ ходитъ и тому единому служитъ, — тѣмъ есть уготовано се в наслѣдие вѣчно”.	И взяли меня оттуда мужи, и подняли на третье небо, и поставили меня посреди рая. Место то несказанно прекрасно видом: всякое дерево благоцветно, и всякий плод зрел, и всевозможные яства изобилуют, всякое дуновение благовонно. И четыре реки протекают там покойным течением. И все, что рождается в пищу, прекрасно. И древо жизни на месте том, и на нем почивает Господь, когда приходит в рай, и древо это невыразимо прекрасно благоуханием. И рядом другое дерево — масличное, источающее постоянно масло. И всякое дерево благоплодно, и нет там дерева бесплодного. И все место благовонно. Ангелы, охраняющие рай, прекрасные весьма, благим пением своим служат Богу непрестанно все дни. И сказал я: „Сколь чудесно это место!" Отвечали мне мужи: „Место это, Енох, уготовано праведникам, которые претерпят напасти в этой жизни, и душам которых причинят зло, и которые отвратят очи свои от неправды и сотворят суд праведный: дать хлеб алчущим, покрыть нагого одеждой, поднять падшего, помочь обиженным; которые пред лицом Господа ходят и ему одному служат, — тем уготовано это (место) в наследие вечное".
