СКАЗАНИЕ АФРОДИТИАНА О БЫВШИМЬ ЧЮДЕСИ В ПЕРЬСЬТѢИ ЗЕМЛИ	СКАЗАНИЕ АФРОДИТИАНА О ЧУДЕ, БЫВШЕМ В ПЕРСИДСКОЙ ЗЕМЛЕ
Господи, благослови, отче.	Господи, благослови, отче.
От персъ увѣдѣнъ бысть Христосъ исперва, не утаяеть бо ся ничсоже сущихъ в нихъ книгчии, о всемь любезнѣ тружающимся имъ, якоже есть въ златахъ дъскахъ ваяно и лежить въ святилѣхъ царьскых. Се же глаголю убо нѣчьто, еже слышахъ от сущихъ в нихъ жерцихъ, кумирьница есть мѣнимыя Иры,[1] си же есть об ону страну царьскых домовъ, юже Кюръ[2] царь, свѣдитель всего богочестья бѣ створилъ и поставилъ в неи богы своя образы златы и сребрены, утворивъ я камениемь многоцѣнномь.	От персов впервые узнали о Христе: ничто не остается скрытым от тамошних книжников, которые прилежно занимаются всем, что вырезано на золотых досках и лежит в царских святилищах. Здесь же скажу нечто, слышанное от тамошних жрецов: есть кумирница, посвященная Ире, она находится за царскими домами. Царь Кир, знаток всякого благочестия, устроил ее и поставил в ней золотые и серебряные статуи своих богов, украсив их драгоценными камнями.
Но да не сповѣдая утвари продолжю слово. В ты дни написаныя дъскы сказають, влѣзшю царю в кумирьницю ту раздрѣшение съномъ прияти, рече жрець Прупи: «Порадуюся с тобою, владыко, яко Ира зачала есть в утробѣ!» Царь же, осклабивъся, рече ему: «Умеръшия ли в утробѣ имать?» Он же рече ему: «Еи, и умершия ожила есть, и жизнь ражаеть». Царь же рече: «Что се есть, скажи ми!» Жрець рече: «Истиною, владыко, годъ приспѣлъ есть. Сде въсю бо нощь пребыша образи ликъточаще, и мужескъ образъ, и женескъ, глаголюще сами к себѣ: “Ходите, да ся радуемъ съ Ирою!” И рекоша ми: “Пророче, иди, радуися с Ирою, яко възлюблена бысть!” Аз же отрекохъ: “Кто имать възлюбити не сущюю?” Они же глаголаху: “Ожила есть и потомъ не наречется Ира, но Урания,[3] великое бо Солнце възлюбило ю есть”».	Но, чтобы не говорить об утвари, продолжу свою речь. В те дни, как значится в записях на досках, когда царь вошел в кумирницу, чтобы узнать разгадку сна, жрец Пруп сказал: «Порадуюсь вместе с тобою, владыка: Ира зачала во чреве». Царь же, улыбнувшись, сказал ему: «Умершая ли имеет во чреве?» Он же ответил ему: «Да, и умершая ожила, и жизнь рождает». Царь же сказал: «Что это значит, скажи мне!» Жрец сказал: «Поистине, владыка, настало время. Здесь всю ночь пребывали в ликовании статуи мужей и жен, говоря друг другу: “Идите, порадуемся вместе с Ирой!” И сказали мне: “Пророк, иди, радуйся вместе с Ирою тому, что она возлюблена”. Я же ответил: “Кто может возлюбить ту, которая не существует?” Они же сказали: “Ожила она и теперь называется не Ира, а Урания, ибо великое Солнце возлюбило ее”».
Женьстии же образи к мужьскым глаголаху, акы похваляюще дѣание, яко Источникъ[4] есть възлюбленъ: «Несть бо Ира за древодѣлю[5] обѣщалася».[6] И глаголаху мужьстии, яко: «Источник въправду нареченъ бысть приемьлемъ, но имя еи Мария[7] есть, яже в ложеснѣх, акы в мори многа добра полнъ корабль носить. Аще ли Источникъ та есть, да ся сице разумѣваеть: источникъ бо воды источникъ духа присно истачаеть, едину рыбу имущи, божиею удою емлему, имьже весь миръ, яко в мори живущь, своею плотью кормить. Добрѣ рече, яко древодѣлю имать та инъ, не от мужа егоже ражаеть древодѣлю. Тъ бо ражаяися древодѣля, старѣишины древодѣльска отрокъ, трегубьнѣ съставленъ, небесныи кровъ сдѣла премудрыми хитростьми на трое вселеныя всея,[8] стропъ словесемь съставивъ».	Статуи же жен говорили мужам, словно одобряя сделанное, что возлюбенная — Источник: «Ира ведь не помолвлена за плотника». И сказали мужские статуи: «Действительно, Источником назвали ее верно, но имя ей Мария, которая в своем чреве, как корабль в море, несет много добра. А если она и есть Источник, пусть это так понимается: источник воды вечно рождает источник духа, в нем одна рыба, уловляемая божественною удою, весь мир, раз он в море живет, своей плотью кормит. Верно сказано, что плотника имеет она иного: не от мужа рождает того плотника. Этот рождаемый ею плотник, сын старейшины плотников, трикратно составленный, создал премудрым искусством небесный покров на три части всей вселенной, стропило укрепив словом».
Премудиша же образи пьрящеся о Ирѣ, ти о Источницѣ, единогласнѣ же рекоша: «Скончавающюся дни, вси вся увѣмъ». И рече жрецъ: «Нынѣ убо, владыко, пребуди прочее днесь. Будеть бо конечныи разумъ дѣянию, явивъшееся нѣсть простое тако». Пребывшю же и царю ту и видящю образы кумирьныя, и начаша будущее[9] густи в гусли и пѣснивиця[10] пѣти, и елико же бяше внутрь четвероножныхъ и птицъ сребренъ и златъ, кыиждо свершаше свои глъсъ. Царю же грозну бывъшю и всему наполнившюся страха, и хотящу отъити, не терпяше бо самозрачнаго мятежа. Рече ему жрець: «Проповѣжь, царю, приспѣло бо есть конечное явление, еже бо Богъ изволилъ есть явити намъ».	Пребывали же статуи в споре об Ире и Источнике, и единогласно сказали: «Когда кончится день, все всё узнаем». И сказал жрец: «Теперь, владыка, пробудь здесь остаток дня. Будет окончательное разъяснение совершившегося, не просто так случилось явленное». Царь же остался здесь и увидел, что статуи богов стали предсказывать будущее игрой на гуслях, а певцы стали петь, и все, сколько их там было внутри, четвероногие и птицы, серебряные и золотые, начали петь каждый на свой лад. Царь же был объят ужасом и исполнился страха, и хотел уйти, ибо не мог вынести происходившего у него на глазах беспорядка. Жрец же ему сказал: «Возвести, царь, приспело уже конечное откровение, которое Бог соблаговолил нам явить».
Сему же тако събесѣдовану, открыся стропъ и вниде звѣзда свѣтла, и ста надъ кумиромь Источника, и глас бысть такъ слышати: «Источниче, Господи, Великое Солнце пустило мя есть к тебѣ повѣдати ти, купно и служити. Бескверненое писание, служу ть, мати старѣишаго всѣхъ чиновъ, бывающи невѣста триименному и едино божество суще. Прозывает же ся невъписаныи младенець Зачало и Конець, зачало спасению, конець же пагубѣ».	Пока они так беседовали, раскрылась крыша, и сошла вниз светлая звезда, и стала над статуей Источника, и был слышан такой голос: «Источник, Господи, Великое Солнце послало меня к тебе возвестить и вместе с тем служить тебе. Непорочное писание, служу тебе, о мать первого из всех чинов, являющаяся невестой триименному и единому божеству. Зовется же неописуемый младенец Начало и Конец, начало спасения, конец же погибели».
Сему бо гласу въздану, вси кумири падоша ници, единому Источнику стоящю, на немже обрѣтеся потъченъ царскыи вѣнець, имы на себѣ отъ камыка наричемаго анфраксъ, ти от змарагда и къ каменема сима прилѣплену звѣзду.[11] Верху же Источьника стояше звѣзда.	Лишь только раздался этот голос, все статуи пали ниц, только Источник остался стоять, на нем же оказался водружен царский венец, с камнями, называемыми рубин и изумруд, и этими камнями украшенная звезда. Над Источником стояла звезда.
Повелѣ же царь събрати вся премудрыя, раздрѣшающая знамения, еликоже ихъ бяше подъ царствомь его, звателемь же трубами потщавающемъ. Придоша в кумирницю вси, и яко узьрѣша звѣзду надъ Источникомь и вѣнець звѣздьныи с камениемъ, и кумиры на тляхъ лежаща, рекоша царю: «Корень Божескыи и царскыи въсклонилъся есть, небеснаго и земнаго царя образ принося. Источник бо Кариинъ — вифлеомьскы земля есть дщи, вѣнець же — образ царескъ, звѣзда же — небесное есть проповѣдание на земли чюду твориму. Изъ Июды бо въстало есть царство, еже жидовьску память отвержеть. А еже падоша бози на тляхъ — скончание чьсти ихъ приспѣло есть. Пришедыи бо постарѣиши чьсти достоинъ сы; како оставить нову, сущая в неи не отвергъ? Ныня убо, о царю, пусти в Иерусалимъ и обрящеши сына Вседержителя тѣломь, держима телеснама рукама женьскама».	Царь же приказал привести всех, сколько их было в царской земле, мудрецов, занимающихся разгадыванием знамений, глашатаи же созвали их трубами. Пришли все в кумирницу, и когда увидели звезду над Источником и звездный венец с драгоценными камнями, и статуи, лежащие на полу, то сказали царю: «Род божеский и царский склонился, являя образ небесного и земного царя. Карийский же источник — есть дочь земли Вифлеемской, венец — знак царя, звезда — небесное знамение чуда, совершающегося на земле. В Иудее возникло то царство, которое отвергает память об иудеях. А то, что боги повержены ниц, означает, что пришел конец их почитания. Явившийся достоин больших почестей; как прийти новому, не отвергнув существующего? Итак, теперь, царь, отправь послов в Иерусалим и найдешь воплотившегося сына Вседержителя, которого держат телесные женские руки».
Пребысть же звѣзда та надъ Источникомь, наричемымь Небесныи, дондеже поидоша волсви ти, тогда с тѣми поиде.	Звезда же та оставалась над Источником, нареченным Небесный, до тех пор, пока не пошли волхвы, тогда отправилась вместе с ними.
Вечеръ же зѣло поздѣ явися имъ в тои же кумирници Дионисъ[12] съ хоруговию,[13] глаголя кумиромъ: «Источникъ уже не единъ по семь от васъ, нъ над вами есть, иже понавляеть человечску вещь божия случения суща. Жрече Прупе, что сѣдиши сде дѣя? Дѣяние въ писание доспѣло есть на ны, и есть намъ от сановита лица обличеномъ быти, еже лжюще мечтахомъ — мечтахомъ и еже владохомъ — владохомъ. К сему не даемъ пророчества, отята есть от насъ честь, безъ славы и безъ чести быхомъ, единъ точью взялъ есть свою честь».	Когда наступил вечер, в эту же кумирницу явился Дионис со своим войском и сказал кумирам: «Источник уже не один из вас, но над вами стоит, поновляя человеческую сущность божественным зачатием. Жрец Пруп, что ты делаешь сидя здесь? Достигло нас описанное деяние, и мы будем от лица, облеченного властью, уличены в том, что лживо мечтали — мечтали и владели — владели. Поэтому и не даем предсказаний, от нас отнята честь, бесславными и лишенными почести стали мы; один только есть, взявший свою почесть».
