ЖИТИЕ ПРЕПОДОБНААГО ОТЬЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРЬСКАГО	ЖИТИЕ ПРЕПОДОБНОГО ОТЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРСКОГО
Господи, благослови, отьче!	Господи, благослови, отче!
Благодарю тя, владыко мой, Господи Исусе Христе, яко съподобилъ мя еси недостойнааго съповѣдателя быти святыимъ твоимъ въгодьникомъ, се бо испьрва писавъшю ми о житие и о погублении и о чюдесьхъ святою и блаженою страстотрьпьцю Бориса и Глѣба,[1] понудихъ ся и на другое исповѣдание приити, еже выше моея силы, ему же и не бѣхъ достоинъ — грубъ сы и неразумичьнъ, къ симъ же яко и не бѣхъ ученъ никоеиждо хытрости, нъ въспомянухъ, Господи, слово твое, рекъшее: «Аще имате вѣру яко и зьрно горущьно и речете горѣ сей: преиди и въврьзися въ море, и абие послушаеть васъ».[2] Сина умѣ азъ грѣшьный Нестерь приимъ и оградивъся вѣрою и упованиемь, яко вься възможьна отъ тебе суть, начатъкъ слову списания положихъ, еже о житии преподобнааго отьца нашего Феодосия, бывъша игумена манастыря сего святыя владычицѣ нашея Богородицѣ, его же и день усъпение нынѣ праздьнующе память творимъ. Се же якоже, о братие, въспоминающю ми житие преподобнааго, не сущю же съписану ни отъ кого же, печалию по вься дни съдрьжимъ бѣхъ и моляхъся Богу, да съподобить мя по ряду съписати о житии богоносьнааго отьца нашего Феодосия. Да и по насъ сущеи чьрноризьци, приимьше писание и почитающе и́, тако видяще мужа доблесть, въсхвалять Бога, и въгодника его прославляюще, на прочия подвигы укрѣпляються, наипаче же яко и въ странѣ сей такъ сий мужь явися и угодьникъ Божий. О семь бо и самъ Господь прорече: «Яко мнози приидуть отъ въстокъ и западъ и възлягуть съ Авраамъмь и съ Исакъмь и Ияковъмь въ царствии небесьнѣмь»[3] и пакы: «Мнози будуть послѣдьнии пръвии»,[4] ибо сии послѣдьнии вящии прьвыхъ отьць явися, житиемь бо подражая святааго и пьрвааго начальника чьрьньчьскууму образу, великааго мѣню Антония[5] чьрньчьскууму образу. И се же чюдьнѣе, якоже пишеть въ отьчьскыихъ кънигахъ: «Слабу быти послѣдьнюму роду»; сегоже Христось въ послѣдьниимь родѣ семь такого себе съдѣльника показа и пастуха инокыимъ, бѣ бо измолода житиемь чистъмь украшенъ, добрыими дѣлесы, вѣрою же и съмыслъмь паче. Его же нынѣ отьсюду уже начьну съповѣдати еже отъ уны вьрсты житие блаженааго Феодосия.	Благодарю тебя, владыко мой, Господи Иисусе Христе, что сподобил меня, недостойного, поведать о твоих святых подвижниках; сначала написал я о житии и о погублении и чудесах святых и блаженных мучеников твоих Бориса и Глеба; побудил я себя взяться и за другое повествование, которое превыше сил моих и не достоин я его, ибо невежда я и недалек умом, не обучен к тому же я никакому искусству, но вспомнил я, Господи, слово твое, вещающее; «Если имеете веру с горчичное зерно и скажете горе: сойди с места и низвергнись в море, тотчас же повинуется вам». Вспомнил я об этом, грешный Нестор, и, укрепив себя верой и надеясь, что все возможно, если есть на то Божья воля, приступил к повествованию о житии преподобного Феодосия, бывшего игумена этого монастыря святой владычицы нашей Богородицы, которого ныне чтим и поминаем в день преставления его. Я же, братья, вспоминая о жизни преподобного, никем не описанной, всякий день предавался печали и молил Бога, чтобы сподобил меня описать по порядку всю жизнь богоносного отца нашего Феодосия. Пусть же и будущие черноризцы, взяв писание мое и прочитав его, также узнают о доблести этого мужа, восхвалят Бога и, угодника его прославляя, укрепляют души свои для новых подвигов; ведь именно в нашей земле такой муж явился и угодник Божий. Об этом и сам Господь возвещал: «Многие придут с востока и с запада и почиют с Авраамом, и с Исааком и Иаковом в царствии небесном», и еще: «Многие из последних да станут первыми», ибо сей Феодосии в наши дни превзошел древних праведников, в жизни своей последуя тому, кто положил начало монашескому бытию — говорю я о великом Антонии. И вот что дивно: ведь как пишется в книгах святых отцов: «Ничтожен будет последний род»; а сего Христос и в последнем роде сделал своим сподвижником и пастырем иноков, ибо с юных лет отличался он безупречной жизнью, добрыми делами, но особенно — верою и разумом. О нем же и начну теперь повествовать — с самых юных лет поведаю жизнь блаженного Феодосия.
Нъ послушайте, братие, съ вьсяцѣмь прилежаниемь, испълнь бо есть пользы слово се вьсѣмъ послушающиимъ. Молю же вы, о възлюблении: да не зазьрите пакы грубости моей, съдрьжимъ бо сый любъвию еже къ преподобьнууму, сего ради окусихъся съписати вься си яже о святѣмь, къ симъ же и блюдый, да не къ мнѣ речено будеть: «Зълый рабе лѣнивый, подобаше ти дати сребро мое тържьникомъ, и азъ пришед быхъ съ лихвою истязалъ е».[6] Тѣмьже якоже и нѣсть лѣпо, братие, таити чюдесъ Божиих, наипаче Богу рекъшюуму ученикомъ своимъ яко: «Еже глаголю вамъ въ тьмѣ, повѣдите на свѣтѣ и еже въ уши слышасте, проповѣдите въ домъхъ».[7] Си на успѣхъ и на устроение бесѣдующимъ съписати хощю, и о сихъ Бога славяще, мьзды отдание приимете. Хотящю же ми исповѣдати начати, преже молюся Господеви, глаголя сице: «Владыко мой, Господи вьседрьжителю, благымъ подателю, отьче Господа нашего Исус Христа, прииди на помощь мнѣ и просвѣти сьрьдце мое на разумѣние заповѣдий твоихъ и отвьрзи устьнѣ мои на исповѣдание чюдесъ твоихъ и на похваление святааго въгодника твоего; да прославиться имя твое, яко ты еси помощьникъ всѣмъ уповающимъ на тя въ вѣкы. Амин».	Но послушайте, братья, со всяческим вниманием, ибо слово это исполнено пользы для всех слушающих. И молю вас, возлюбленные: не осудите невежества моего, ибо исполнен я любви к преподобному и только потому решился написать все это о святом, к тому же хочу, чтобы не сказали обо мне: «Дурной раб ленивый, подобало тебе отдать серебро мое в рост, и я бы, вернувшись, получил его с прибытком». Поэтому и не следует, братья, скрывать чудеса Божьи, — вспомните, как он обратился к ученикам своим: «Все, что говорю вам во тьме, поведайте другим при свете, и все, что войдет в уши ваши — разглашайте по всем домам». Для успеха и блага тех, кто продолжит беседу мою, хочу писать, и, славя за это Бога, вы удостоитесь награды. Прежде чем начать повествование, обращаюсь к Богу со словами: «Владыка мой, Господь вседержитель, щедрый к благочестивым, отец Господа нашего Иисуса Христа, приди на помощь мне и просвети сердце мое, чтобы понял я смысл заповедей твоих, и дай мне силу поведать о чудесах твоих и похвалить святого угодника твоего; да прославится имя твое, ибо ты помощник всем, кто во всякий день надеется на тебя. Аминь».
Градъ есть отстоя отъ Кыева, града стольнааго, 50 попьрищь, именемь Васильевъ[8]. Въ томь бѣста родителя святаго въ вѣрѣ крьстияньстѣй живуща и всячьскыимь благочьстиюмь украшена. Родиста же блаженаго дѣтища сего, таче въ осмый дьнь принесоста и́ къ святителю Божию, якоже обычай есть крьстияномъ, да имя дѣтищю нарекуть. Прозвутеръ же, видѣвъ дѣтища и сьрьдьчьныма очима прозьря, еже о немь, яко хощеть измлада Богу датися, Феодосиемь того нарицаеть.[9] Таче же, яко и минуша 40 дьний дѣтищю, крьщениемь того освятиша. Отроча же ростяше, кърмимъ родителема своима, и благодать Божия съ нимь, и Духъ Святый измлада въселися въ нь.	В пятидесяти поприщах от стольного города Киева есть город по названию Васильев. В нем и жили родители святого, исповедуя веру христианскую и славясь всяческим благочестием. Родили они блаженное чадо свое и затем, на восьмой день, принесли его к священнику, как это подобает христианам, чтобы дать ребенку имя. Священник же, взглянув на отрока, провидел сердечными очами, что смолоду тот посвятит себя Богу, и назвал его Феодосией. Потом же, когда исполнилось чаду 40 дней, окрестили его. Рос отрок, окружен родительским попечением, и благодать божественная пребывала на нем, и Дух Святой от рождения вселился в него.
Къто исповѣсть милосьрьдие Божие! Се бо не избьра отъ премудрыхъ философъ, ни отъ властелинъ градъ пастуха и учителя инокыимъ, нъ — да о семь прославиться имя Господне — яко грубъ сы и невѣжа премудрѣй философъ явися! О утаения тайно! Яко отнюдуже не бѣ начаятися, оттудуже въсия намъ деньница пресвѣтла, якоже отъ всѣхъ странъ видѣвъше свьтѣние ея, тещи к ней, вся презрѣвъше, тоя единоя свѣта насытитися. О благости Божия! Еже бо испьрва мѣсто назиаменавъ и благословивъ, пажить створи, на немь же хотяше паствитися стадо богословесьныхъ овьць, донъдеже пастуха избьра.[10]	Кто постигнет милосердие Божье! Вот ведь не избрал он пастуха и учителя инокам среди мудрых философов или вельмож городских, но — да прославится за это имя Господне — неискушенный в премудрости оказался мудрее философов! О тайна тайн! Откуда не ожидали — оттуда и воссияла нам утренняя звезда пресветлая, так что всем странам видно сияние ее, и собрались к ней, все презрев, лишь бы только светом ее насладиться. О милосердие Божие! Сперва место указав и благословив, создал Бог поле, на котором будет пастись стадо богословесных овец, пока он им пастуха не избрал.
Бысть же родителема блаженаго преселитися въ инъ градъ Курьскъ нарицаемый, князю тако повелѣвъшю, паче же реку — Богу сице изволивъшю, да и тамо добляаго отрока житие просияеть, намъ же, якоже есть лѣпо, от въстока дьньница възидеть, събирающи окрьстъ себе ины многы звѣзды, ожидающи солнца правьдьнааго, Христа Бога, и глаголюща: «Се азъ, Владыко, и дѣти яже въспитахъ духовьнымь твоимь брашьнъмь; и се, Господи, ученици мои, се бо сия ти приведохъ, иже научихъ вся житийская презрѣти и тебе, единого Бога и Господа, възлюбити. Се, о Владыко, стадо богословесьныхъ твоихъ овьць, и имъже мя бѣ пастуха створилъ и еже упасохъ на бъжьствьнѣй твоей пажити, и сия ти приведохъ, съблюдъ чисты и непорочьны». Таче Господь къ нему: «Рабе благый, верьне умноживый преданый талантъ,[11] тѣмьже приими уготованый тебе вѣньць и въниди въ радость Господа своего». И къ ученикомъ его речеть: «Придѣте, благое стадо, добляаго пастуха богословесьная овьчата, иже мене ради алкавъше и трудивъшеся приимѣте уготованое вамъ царствие от съложения миру».[12]	Случилось же родителям блаженного переселиться в другой город, именуемый Курском, по повелению князя, но я бы сказал — Бог так повелел, чтобы и там просияла жизнь доблестного отрока, а нам, как и должно быть, с востока взошла бы утренняя звезда, собирая вокруг себя и другие многие звезды, ожидая восхода солнца праведного — Христа — и глаголя: «Вот я, Владыка, и дети, которых воспитал я духовной твоею пищей; и вот они, Господи, ученики мои, привел я их к тебе, научив презреть все мирское и возлюбить одного тебя, Бога и Господина. Вот, о Владыко, стадо богословесных твоих овец, к которому ты приставил меня пастухом, и я взрастил их на божественном твоем поле и к тебе привел, сохранив их чистыми и непорочными». И так ответил Господь ему: «Раб достойный, как должно умноживший данный тебе талант, за это прими уготованный тебе венец и приди к радости Господа своего». И ученикам его сказал: «Придите, благое стадо, доблестного пастуха богословесные овцы, ради меня терпевшие голод и трудившиеся, примите уготованное вам от сотворения мира царство».
Тѣмьже и мы, братие, потьщимъся рьвьнителе быти и подражателе житию преподобьнааго Феодосия и ученикомъ его, ихъ же тъгда предъ собою къ Господу посла, да тако сподобимъся слышати, гласъ он, еже отъ Владыкы и вседрьжителя речеться: «Придѣте убо, благословлении Отьца моего, приимѣте уготованое вамъ царствие».[13]	Так и мы, братья, станем следовать и подражать жизни преподобнаго Феодосия и учеников его, которых он пред собой послал к Господу, и да сподобимся услышать слово Владыки и вседержителя, вещающее: «Придите, благословенные Отцом моим, и примите уготованное вам царство».
Мы же пакы поидемъ на прьвое исповѣдание святааго сего отрока. Растый убо тѣлъмь и душею влекомъ на любъвь Божию, и хожаше по вся дьни въ цьркъвь Божию, послушая божьствьныхъ книгъ съ всѣмь въниманиемь. Еще же и къ дѣтьмъ играющимъ не приближашеся, якоже обычай есть унымъ, нъ и гнушашеся играмъ ихъ. Одежа же его бѣ худа и сплатана. О семь же многашьды родителема его нудящема и́ облещися въ одежю чисту и на игры съ дѣтьми изити. Онъ же о семь не послушааше ею, нъ паче изволи быти яко единъ от убогыхъ. Къ симъ же и датися веля на учение божьствьныхъ книгь единому от учитель; якоже и створи. И въскорѣ извыче вся граматикия, и якоже всѣмъ чюдитися о премудрости и разумѣ дѣтища и о скорѣмь его учении. Покорение же его и повиновение къто исповѣсть, еже сътяжа въ учении своемь не тъкмо же къ учителю своему, нъ и къ всѣмъ учащимъся с ним?	Мы же снова обратимся к рассказу о святом этом отроке. Рос он телом, а душой тянулся к любви Божьей, и ходил каждый день в церковь Божью, со всем вниманием слушая чтение божественных книг. Не приближался он к играющим детям, как это в обычае у малолетних, но избегал их игр. Одежду носил старую и залатанную. И не раз уговаривали его родители одеться почище и пойти поиграть с детьми. Но он не слушал этих уговоров и по-прежнему ходил словно нищий. К тому же попросил он отдать его учителю поучиться божественным книгам, что и сделали. Скоро постиг он всю грамоту, так что поражались все уму его и способностям и тому, как быстро он всему научился. А кто расскажет о покорности и послушании, какими отличался он в учении не только перед учителем своим, но и перед учащимися с ним?
Въ то же время отьць его житию коньць приятъ. Сущю же тъгда божьствьному Феодосию 13 лѣт. Оттолѣ же начатъ на труды паче подвижьнѣй бывати, якоже исходити ему съ рабы на село и дѣлати съ всякыимь съмѣрениемь. Мати же его оставляше и́, не велящи ему тако творити, моляше и́ пакы облачитися въ одежю свѣтьлу и тако исходити ему съ съвьрьстьникы своими на игры. Глаголаше бо ему, яко «тако ходя, укоризну себе и роду своему твориши». Оному о томь не послушающю ея, и якоже многашьды ей отъ великыя ярости разгнѣватися на нь и бити и́, бѣ бо и тѣлъмь крѣпъка и сильна, якоже и мужь. Аще бо кто и не видѣвъ ея, ти слышааше ю бесѣдующю, то начьняше мьнѣти мужа ю суща.	В это время истекли дни жизни отца его. А было тогда божественному Феодосию 13 лет. И с тех пор стал он еще усерднее трудиться и вместе со смердами выходил в поле и работал там с великим смирением. Мать же удерживала его и, не разрешая работать, снова упрашивала его одеться почище и пойти поиграть со сверстниками. И говорила ему, что своим видом он и себя срамит, и семью свою. Но тот не слушал ее, и не раз, придя в ярость и гнев, избивала она сына, ибо была телом крепка и сильна, как мужчина. Бывало, что кто-либо, не видя ее, услышит, как она говорит, и подумает, что это мужчина.
Къ симъ же пакы божьствьный уноша мысляаше, како и кымь образъмь спасеться. Таче слыша пакы о святыхъ мѣстѣхъ,[14] идеже Господь нашь Исусъ Христосъ плътию походи, и жадаше тамо походити и поклонитися имъ. И моляшеся Богу, глаголя: «Господи Иисусъ Христе мой! Услыши молитву мою и съподоби мя съходити въ святая твоя мѣста и съ радостию поклонитися имъ!» И тако многашьды молящюся ему, и се приидоша страньници въ градъ тъ, иже и видѣвъ я божьствьный уноша и радъ бывъ, текъ, поклонися имъ, и любьзно цѣлова я, и въпроси я, отъкуду суть и камо идуть. Онѣмъ же рекъшемъ, яко отъ святыхъ мѣстъ есмъ, и, аще Богу велящю, хощемъ въспять уже ити. Святый же моляше я, да и́ поимуть въ слѣдъ себе и съпутьника и́ створять съ собою. Они же обѣщашася пояти и́ съ собою и допровадити и́ до святыхъ мѣстъ. Таче се слышавъ блаженый Феодосий, еже обѣщашася ему, радъ бывъ, иде въ домъ свой. И егда хотяху страньнии отъити, възвѣстиша уноши свой отходъ. Онъ же, въставъ нощию и не вѣдущю никомуже, тай изиде из дому своего, не имый у себе ничсоже, развѣ одежа, въ нейже хожаше, и та же худа. И тако изиде въслѣдъ страньныхъ. Благый же Богъ не попусти ему отъити отъ страны сея, егоже и-щрева матерьня и пастуха быти въ странѣ сей богогласьныихъ овьць назнамена, да не пастуху убо отшьдъшю, да опустѣеть пажить, юже Богъ благослови, и тьрние и вълчьць въздрастеть на ней, и стадо разидеться.	А тем временем божественный юноша все размышлял, как и каким образом спасет он свою душу. Услышал он как-то о святых местах, где провел свою земную жизнь Господь наш Иисус Христос, и сам захотел посетить те места и поклониться им. И молился Богу, взывая: «Господи Иисусе Христе! Услышь молитву мою и удостой меня посетить святые места твои и с радостью поклониться им!» И много раз молился он так, и вот пришли в его город странники, и, увидев их, обрадовался божественный юноша, подойдя к ним, поклонился, поприветствовал их сердечно и спросил, откуда они и куда идут. Они же отвечали, что идут из святых мест и снова, по божественному повелению, хотят туда возвратиться. Святой же стал упрашивать их, чтобы разрешили ему пойти вместе с ними, приняли бы его себе в попутчики. Они пообещали взять его с собой и проводить до святых мест. Услышав обещание их, блаженный Феодосии радостный вернулся домой. Когда же собрались странники в путь, то сообщили юноше о своем уходе. Он же, встав ночью, тайно от всех вышел из своего дома, не взяв с собой ничего, кроме одежды, что была на нем, да и та ветха. И так отправился вслед за странниками. Но милостивый Бог не допустил, чтобы он покинул свою страну, ибо еще от рождения предначертал ему быть в этой стране пастырем разумных овец, а не то уйдет пастырь, и опустеет пажить, благословенная Богом, и зарастет тернием и бурьяном, и разбредется стадо.
