О выведении из ада	О выведении из ада
Слыши, небо, внуши, земля,[1] яко Господь глаголет: «Сыны породихъ и вознесох, ти менѣ отвѣргостѣся. Людие мои менѣ не познаша, а волъ позна лежащего мя, а осѣлъ — ясли господина своего. Но иному азъ милости своея не дам, но пущю слово свое на зѣмлю, спасу люди ото льсти Сотонины».	Услышь, небо, внемли, земля, что говорит Господь: «Я породил и возвысил сыновей, а они от меня отвернулись. Народ мой не узнал меня, а вол узнал меня, лежащего, а осел — ясли господина своего. Но другому я милости своей не дам, но пошлю слово свое на землю, спасу людей от лжи сатанинской».
[2]Тогда рече вѣликий царь пророкъ Давидъ, сѣдя в прѣисподнем адѣ, накладая многоочитая[3] перъсты на златыя и живыя струны. И рече: «Споем собѣ, братия, пѣсни весѣлы тихи, и утѣшимся со Христомъ царемъ Славы». Уже бо услыша врѣмя благоприятно, слыша топот волхвов перьских конь, яко нѣсут ему дары, небесному цьсарю, родившемуся на земли, егоже мати, чистая девица, припадает к нѣму любовью, повивает его пеленами, глаголеть к нѣму: «О вышный, страшный Цьсарю небесный, почто еси восхотѣл к нам нищим на землю снити? Пещеры ли сѣ еси восхотѣл, или во яслех скотьяхъ восхотѣл еси лежати? А ты сам, Господи, небеса облаки повиваеши. Тебе, Господи, небо престол, а земля подножие»[4] Егоже Ирод безумный скрежьташа зубы своими, Господи, хотя тя убити. Но приидете, пророци, приидете, праведници... Исаия, Иеремия, ругающеся Аду, отвещаста глаголющи: «О немощный Дьяволѣ»...	Тогда воскликнул великий царь, пророк Давид, сидя в преисподней аду, накладывая многоочитые персты на золотые и живые струны. И сказал: «Споем мы, братья, песни веселые тихие, и утешимся с Христом, царем Славы». Ибо уже услышал он, что время благоприятное, услышал топот коней персидских волхвов, которые несут ему дары, небесному царю, родившемуся на земле, мать которого, пречистая девица, припадает к нему с любовью, повивает его пеленами, говорит ему: «О всевышний, страшный Царь небесный, зачем ты захотел сойти к нам, бедным, на землю? Захотел ли ты пещеры этой, или захотел в яслях для скота полежать? А ты сам, Господи, небеса повиваешь облаками. Тебе, Господи, небо — престол, а земля — подножие». На него Ирод безумный скрежетал зубами своими, Господи, желая тебя убить. Но придите, пророки, придите, праведники... Исайя, Иеремия, насмехаясь над адом, говорили ему в ответ: «О немощный Дьявол»...
И рече Адъ ко Дияволу: «Дияволѣ, слыши, а ты, Давид, глаголи». И рече Давидъ: «Не мочно Давиду глаголати — о, твердо Давидъ заключен: се бо есть врата железна, верия медяны, столпъ камененъ,[5] в нѣмъже Давидъ заключен».	И сказал Ад Дьяволу: «Дьявол, слушай, а ты, Давид, говори». И сказал Давид: «Невозможно Давиду говорить — о, крепко Давид заключен: ворота железные, столбы медные, столп каменный, в котором Давид заключен».
И рекут 70 пророкъ: «Давиде, глаголи нам, кто от нас изнесѣт вѣсть на живый свѣт къ Владыцѣ?» Тогда рече Давидъ яснымъ гласом: «Исаия, Иеремея, Аввакум, Арон, Изекель, Соломон, Адам, Аврааме, Исаче, Иякове, Самоиле, Данилъ и вся 70 пророкъ, послушайте моего гласа во аду семъ. Се хощет изити от нас на жывый свѣтъ ко Владыцѣ Лазарь, друг Господень».	И говорят 70 пророков: «Давид, скажи нам, кто из нас отнесет весть на живой свет к Владыке?» Тогда Давид сказал ясным голосом: «Исайя, Иеремия, Аввакум, Аарон, Иезекииль, Соломон, Адам, Авраам, Исаак, Иаков, Самуил, Даниил и все 70 пророков, послушайте голос мой в аду этом! Вот хочет выйти от нас на живой свет к Владыке Лазарь, друг Господень».
И тогда Адам, первозданный человѣкъ, въскочи, ако от сна, и зби ся руками своими о лицѣ свое. И рече Адам: «Лазарь, друг Господень, изнесѣ о мнѣ весть на живый свѣт ко Владыцѣ и рци ему: “На се ли мя еси, Господи, создалъ? Сего ли дѣля, Господи, азъ землю человѣки наплодихъ? Но себѣ ми, Господи, жаль и не жаль, что я в лѣтѣх своих пред тобою согрѣшил, но того ми, Господи, единого жаль, что твоею тварью Адъ поругаеться. Аще ти, Господи, азъ, Адам согрѣших, что твои изволници, а мои правнуци, Авраам-патриархъ съ сыном Исаком и съ внукомъ Яковом — те, тебѣ, Господи, что сотвориша? Тѣх ради, Господи, и нас изведи изъ ада.	И тогда Адам, первозданный человек, вскочил, словно ото сна, и ударил себя руками по лицу. И сказал Адам: «Лазарь, друг Господень, отнеси обо мне весть на живой свет к Владыке и скажи ему: “Для того ли ты меня, Господи, создал? Для того ли, Господи, расплодил я людей на земле? Не себя мне, Господи, жаль, и не жаль, что я в свое время пред тобой согрешил, но того одного мне, Господи, жаль, что над твоим созданием Ад надругается. Но если, Господи, пред тобою я, Адам, согрешил, то что твои любимцы, а мои правнуки, Авраам-патриарх с сыном Исааком и с внуком Иаковом — те-то тебе, Господи, что сотворили? Ради них, Господи, и нас выведи из ада.
Аще ти, Господи, и тѣ что согрѣшиша, а се ти, Господи, Моисѣи пророк сын Амбриев, провѣдый Израиля сквозѣ Чермное морѣ и глаголавый ти с тобою лицем к лицю на Синайстѣй горѣ в купинѣ, а тот, Господи, с нами же въ прѣисподнемъ адѣ. Того ради, Господи, и нас извѣди из ада.	Если, Господи, и те пред тобой в чем согрешили, то вот, Господи, Моисей-пророк, сын Амбрия, проведший израильтян через Красное море, говоривший с тобой лицом к лицу на Синайской горе в купине, — а ведь он, Господи, с нами же, в преисподней аду. Ради него, Господи, и нас выведи из ада.
Аще ти, Господи, что согрѣшил Моисей пророкъ, а се ти, Господи, Исусъ сынъ Навгин, сестричич Моисѣов, приступи ко граду Ерихону,[6] в нѣмже бяше 7 царевъ царствующе. Град же бяше каменен, а заборолы желѣзны, тесом побиты сребряным, да узлачен. Цари же положиша руцѣ на заборолы и рѣша: “Нѣ наш ли сей град, нѣ наша ли его рука создала?” А Бога не призваша. Исусъ же помолися Вышнѣму, и Господь повѣлѣ архангелу Михаилу въ трубу под-трубити. Заборола желѣзныя до основания земли распадошася, Исусъ же наехав внутри град и изби 300 и 7000 рати. Тот, Господи, с нами же сѣдит во прѣисподнѣм адѣ. Того дѣля, Господи, и нас извѣди изъ ада.	Если пред тобой, Господи, в чем согрешил Моисей-пророк, то вот тебе, Господи, Иисус сын Навина, племянник Моисея, подошел к городу Иерихону, в котором было 7 царей царствующих. Город же был каменный, стены его — железные, обиты серебряным тесом и позолочены. Цари же возложили руки на стены и сказали: “Не наш ли это город, не наши ли руки его создали?” А Бога не призвали. Иисус же помолился Вышнему, и Господь повелел архангелу Михаилу затрубить в трубу. Стены железные распались до основания земли, Иисус же въехал внутрь города и перебил 300 и 7000 войска. Тот, Господи, с нами же сидит в преисподней аду. Ради него, Господи, и нас выведи из ада.
Аще ти, Господи, и съ согрѣшил, а сѣ ти, Господи, Гедѣонъ-пророкъ, сынъ Асасов. Искусиша руном Бога, положи руно на гумнѣ: “А та тобѣ загоню загадку”. И рече: “Аще будет на руне суша, а по всѣи земли роса, то будѣтъ у нас Богъ на земли”. И бысть тако. И он положи второе руно на гумнѣ: “А та тобѣ загону загадку: аще будеть на рунѣ роса, а по всѣи земли суша, то у нас будет в нас Богъ на земли”. И бысть тако. И зожме руно, и вынмѣ 12 пудов воды.[7] Тот, Господи, с нами же въ прѣисподнѣмъ адѣ. Того дѣля и нас, Господи, извѣди из ада.	Если, Господи, и этот пред тобою согрешил, то вот тебе, Господи, Гедеон-пророк, сын Иоаса. Испытал он руном Бога, положил руно на гумне: “А вот загадаю тебе загадку!” И сказал: “Если будет на руне сухо, а на всей земле роса, то будет с нами Бог на земле”. И было так. И во второй раз положил он руно на гумне: “А вот загадаю тебе загадку: если будет на руне роса, а на всей земле сухо, то будет с нами и в нас Бог на земле”. И было так. И выжал руно, и вылилось 12 пудов воды. Тот, Господи, с нами же, в преисподней аду. Того ради и нас, Господи, выведи из ада.
Аще ти, Господи, Гедѣон согрѣши, а се ти, Господи, царь Соломон, сынъ великого царя Давида, создавый тобѣ хвалу, церковь Святая Святыхъ хрустальна въ градѣ Иерусалимѣ, и сковавы тобѣ два орла златы, подобна херувиму и серафими. И загонув загадку, и рече: “Аще будѣт у нас Бог на земли, то внидет в них Духъ Святый”. И начастася орли носити по церкви и вознѣсостася на небеса. Той, Господи, с нами же въ преисподнѣм адѣ. Того дѣля и нас извѣди из ада».	Если пред тобою, Господи, Гедеон в чем согрешил, то вот тебе, Господи, царь Соломон, сын великого царя Давида, создавший в хвалу тебе храм Святая Святых хрустальный, в городе Иерусалиме, и выковавший тебе двух золотых орлов, подобных херувиму и серафимам. И загадал загадку, и сказал: “Если будет у нас Бог на земле, то войдет в них Святой Дух”. И начали орлы летать по храму и вознеслись к небесам. Тот, Господи, с нами же, в преисподней аду. Того ради и нас выведи из ада».
Во оно врѣмя во едину от субот слыша Господь ропот пророческий, въпиют семьдесят пророкъ: «Изведи, Господи, нас из ада преисподняго». Внидѣ Исус в Вифанию къ сестрѣ Лазаревѣ Марфѣ и Марьи. И слышав Марфа и Марья тѣкоста скоро, и падоста на ногу Исусу и рече: «Аще бы ты был здѣ, не умерлъ брат наш». И рече Христос: «Воскрѣснеть брат вашь Лазарь!»[8] И тогда воскрѣсе Лазарь и рече Лазарь: «Вопиет ти, Господи, Адам первозданный человѣкъ: изведи, Господи, из ада. Вопиет ти, Господи, Авраамъ патриархъ съ сыном Исаком и со внуком Ияковом, извѣди, Господи, из ада. Вопиет ти, Господи, царь Давидъ о сыну своем Соломонѣ, извѣди, Господи, изъ ада».	В то время, в одну из суббот, услышал Господь ропот пророческий, вопиют семьдесят пророков: «Выведи, Господи, нас из ада преисподнего». Пришел Иисус в Вифанию к сестрам Лазаря Марфе и Марии. И услышали Марфа и Мария, и поспешили быстро, и упали к ногам Иисуса и сказали: «Если бы ты был здесь, то не умер бы брат наш». И ответил Христос: «Воскреснет брат ваш Лазарь!» И тогда воскрес Лазарь, и сказал Лазарь: «Взывает к тебе, Господи, Адам, первозданный человек: выведи, Господи, из ада. Взывает к тебе, Господи, патриарх Авраам с сыном Исааком и с внуком Иаковом, выведи, Господи, из ада. Взывает к тебе, Господи, царь Давид о сыне своем Соломоне, выведи Господи, из ада».
