СВЯТАГО ОТЦА НАШЕГО ЕВЬСЕВИЯ, ЕПИСКОПА АЛЕКСАНДРЬСКАГО, СЛОВО О ВЪШЬСТВИИ ИОАННА ПРЕДТЕЧА[1] ВЪ АДЪ	СВЯТОГО ОТЦА НАШЕГО ЕВСЕВИЯ, ЕПИСКОПА АЛЕКСАНДРИЙСКОГО, СЛОВО О ПРИХОДЕ ИОАННА ПРЕДТЕЧИ В АД
Господи,благослови, отче!	Господи,благослови, отче!
Взълюблении, добро есть рещи, каково есть благовѣщение Предтеча въ адъ, и како въпросиша и́ сущии въ адѣ, бѣ бо пущалъ къ Господу ученикы своя, глаголя: «Ты ли еси грядый, или иного чаемъ?»[2] Не не вѣдый его, пусти, како бо его не вѣдяаше, а пьръстъмь кажа и глаголаше: «Се агньць Божий, въземляи грѣхы вьсего мира»,[3] и пакы: «Азъ крьщаю вы водою, посрѣдѣ же васъ стоить, егоже вы не вѣсте, тъ вы крьстить Духъмь Святыимь и огньмь».[4] Не тъгда бо увѣдѣ его, да не будеть. Нъ слыши страшьнѣйшу тайну, понеже сьде Предътеча бѣ Господень. Тѣмьже хотяаше въ адъ прѣдътечи ему, ибо и въ адѣ сущии хотяахуть и́ въпросити о Господи, яко идеть ли известъ насъ или ни. И не вѣдый, чьто хотяше отвѣщати имъ, сего ради пусти ученикы своя къ Господу испытатъ, яко «ты ли еси грядый»,[5] и, шьдъше, отвѣтъ принесоша ему.	Возлюбленные, следует поведать вам, каково было благовещение Предтечи в аду и как вопрошали его находившиеся в аду, ибо посылал он к Господу учеников своих, говоря: «Ты ли это пришел, или иного нам ожидать?» Не не ведая его, посылал, как бы о нем не зная, но перстом указывал на него и возвещал: «Вот агнец Божий, взявший (на себя) грехи всего мира», и еще: «Я крещу вас водой, а среди вас стоит, которого вы не ведаете, тот будет крестить вас Духом Святым и огнем». И не будет так, что лишь тогда ты узнаешь о нем. Так услышь же страшнейшую тайну, ибо здесь Предтеча был Господень. Потому и должен он был в ад прежде Христа вступить, так как находившиеся в аду хотели его вопросить о Господе: придет ли он вывести нас отсюда или нет. И не зная, что следовало бы ответить им, он и отправил учеников своих к Господу узнать: «Ты ли это пришедший?», и, пойдя, они ответ ему принесли.
И тъгда Иродъ, пущь въ тьмьницу, усѣкну Иоана.[6] Съконьча же течение Предтеча Господень и съниде въ адъ. И познаша и́ сущии въ адѣ. Ту бо бѣша Аврамъ, и Исакъ, и Яковъ, Исайя и Давидъ[7] и прочее множьство святыихъ пророкъ. И въпрашаху Иоана о Господи, глаголюще убо: «Идеть ли свободитъ насъ от скьрбий сихъ или ни? И съконьчаеть пророчьствованая о немь?» Они же глаголаху: «Еда како не хощеть съмьрти прияти насъ ради?» Пророци же укрѣпляхуся, глаголюще, яко «Съмьрьть ему есть прияти, разумѣхомъ бо мы хотящая ему быти и тако прорицяхомъ вьсему миру». Отъвѣща Иоанъ и рече: «Придѣте, молю вы, повѣдите ми, чьто прорицясте, да и слышавъше и подъвижьни будемъ». Отвѣща же пьрьвый пророкъ и великый Давидъ и рече: «Азъ разумѣхъ, яко безмълъвый тихо съходить съ небесе, и рѣхъ: “Сънидеть, яко дъждъ на руно”».[8] Исайя рече: «Азъ разумѣхъ, яко от дѣвы хотяше ся родити, и рѣхъ: “Се дѣва въ чрѣвѣ прииметъ и родить сынъ и нарекуть имя ему Еммануилъ”».[9] И другый, отвѣщавъ, рече: «Азъ разумѣхъ, яко въ дъвою на десяте мѣсто патриарху 12 ученика хотяста служити ему,[10] и рѣхъ: “Въ отець твоихъ мѣсто быша сынове твои”».[11] И другый отвѣща: «Азъ дѣла и чюдеса, яже хотяше творити, разумѣхъ и рѣхъ: “Отвьрьзуться очеса слѣпыихъ и ушеса глухыихъ услышать”».[12] И другый, отвѣщавъ, рече: «Азъ разумѣхъ, яко ученикъ хотяшеть и́ прѣдати, и рѣхъ: “Ъдый хлѣбъ мой, възвеличилъ есть на мя клевету”».[13] И другый рече: «Азъ разумѣхъ, яко на трьхъдесятьхъ сребрьницѣхъ хотяашеть и́ прѣдати, и рѣхъ: “Поставиша цѣну мою 30 сребрьникъ”».[14] Исайя же пакы рече: «Азъ разумѣхъ, яко на судище хощеть веденъ быти, и рѣхъ: “Самъ Господь на суд приидеть съ старьци людьскыми”». Отвѣща Иеремия, глаголя: «Азъ разумѣхъ, яко на дрѣвѣ хотяхуть и́ распяти и рѣхъ: “Придѣте, въложимъ дрѣво въ хлѣбъ его и гонозимъ живота его”».[15] И другый отвѣща и рече: «Азъ разумѣхъ, яко въ гробѣ хотяхуть и́ положити, и рѣхъ: „Положиша мя въ ровѣ прѣисподьнимь въ тьмьныихъ и въ сѣни съмьртьнѣй”».[16]	И тогда Ирод, послав в темницу, обезглавил Иоанна. Окончил свой путь Предтеча Господень и сошел в ад. И узнали его находящиеся в аду. Были тут Авраам, и Исаак, и Иаков, Исайя и Давид и еще множество других святых пророков. И спросили Иоанна о Господе, так говоря: «Придет ли освободить нас от мук наших или нет? И совершится ли пророчествованное о нем?» Другие же говорили: «А что если не захочет смерть принять ради нас?» Пророки же крепились духом, говоря: «Суждено ему смерть принять; мы же ведали о том, что будет с ним, и пророчествовали о том всему миру». Отвечая, сказал Иоанн: «Придите, прошу вас, поведайте мне о том, о чем прорицали, и мы, услышав это, воспрянем духом». Отвечая, сказал первый и великий пророк Давид: «Я предвидел, что, никому не возвестив, тихо сойдет он с неба, и сказал: “Сойдет, как дождь, орошающий руно”». Исайя сказал: «Я предвидел, что от девы он будет рожден, и сказал: “Вот дева примет в чреве и родит сына, и нарекут имя ему Еммануил”». И другой, отвечая, сказал: «Я предвидел, что вместо двенадцати патриархов 12 учеников будут служить ему, и возвестил: “На место отцов твоих стали сыновья твои”». И иной отвечал: «Я предвидел деяния и чудеса, которые будет он творить, и возвестил: “Откроются глаза у слепых, и уши глухих услышат”». И другой в свою очередь сказал: «Я предвидел, что ученик захочет его предать, и возвестил: “Кто ест хлеб мой, возвел на меня клевету”». И другой сказал: «Я предвидел, что за тридцать Серебреников захочет его предать, и возвестил: “Оценили меня в 30 серебреников”». И еще Исайя сказал: «Я предвидел, что будет приведен он на судилище, и возвестил: “Сам Господь на суд предстанет перед старейшинами земли”». Отвечая, Иеремия сказал: «Я предвидел, что захотят распять его на древе, и возвестил: “Приходите, вложим древо в хлеб его и лишим его жизни”». И другой, отвечая, сказал: «Я предвидел, что в гроб его положат, и возвестил: “Положили меня в глубокой могиле, во тьме и в обители смерти”».
Си же пророкомъ глаголющемъ и веселящемъся о благовѣщении Предтечевѣ. Слышавъ же Адъ глаголы ихъ, рече къ дияволу: «О комь си глаголють, высокомысльний? Къто же ли есть радость творя имъ? О комь же ли благовѣствують имъ, не вѣдѣ, тъкъмо въ нихъ вижю велию радость». Отвѣща дияволъ и глагола ему: «Ничьсоже не ужасайся, вьсьма не бойся глаголъ ихъ: не брези веселитися имъ, се бо нынѣ пришьдый и радость сътвори имъ Иоанъ Креститель и великоглагольникъ есть. Ибо егда бѣ на земли, велия съвѣдѣтельствова о человѣцѣ томь и глагола вьсему миру, яко сь есть хотя избавити вьселеную. И вънидохъ азъ въ Иродиаду, съвѣтьницю мою и сънаслѣдьницю, и тою прогнѣвахъ цесаря, и сего на обѣдѣ усѣкну и главу дахъ отроковици, и яко яблъкъмь поигра. И его же сь глаголаше, яко сь есть хотя избавити вьселеную, нъ ни себе самого избави». Отвѣща Адъ къ дияволу: «Блюди, брате, обьходи испытьно, еда обльщена будевѣ. Блюди, откуду есть и чий сынъ есть. Сии бо вельми радуються, слышавъше о немь. Блюди испытьно, да не, егда хотѣховѣ единого приобрѣсти, вьсего мира лишена будевѣ, и еже не толико ми буди лишение, нъ и смѣху и поругана будевѣ». Си слышавъ дияволъ, иде къ июдѣомъ и въоружи я́ на Господа; прѣбываше же и не отхожаше от нихъ, нъ наущаше я́ на распятие Господне. И не вѣдяше оканьный дияволъ, яко Господня съмьрть вьсему миру въскрѣшение будеть. Абие же на пути несытьства обрѣтъши сотона Иуду,[17] нача тѣмь готовити прѣдание, и начатъ и́ творити любителя срѣбру. Тѣмъ же и къ июдѣомъ глаголаше: «Чьто хощете ми дати, и азъ вамъ прѣдамь его».[18]	Так говорили пророки и радовались, получив весть благую от Предтечи. Услышал же Ад речи их и обратился к дьяволу: «О ком так говорят они, о высокомысленный? Кто это такой, принесший им радость? О ком им благую весть принесли, я не знаю, но вижу их в немалой радости». Отвечая, дьявол сказал ему: «Ничего не бойся и совсем не страшись слов их, не мешай им веселиться: этот — ныне пришедший и радость им принесший — Иоанн Креститель многоглаголивый. Когда был он еще на земле, то много возвещал о том человеке и говорил всему миру, что тот избавит вселенную. И вошел я в Иродиаду, единомысленницу мою и последовательницу, и с ее помощью разгневал цесаря, и того (Иоанна) во время пира казнили, и дали голову его отроковице, а она с ней как с яблоком поиграла. И тот, про кого он говорил, что придет он спасти вселенную, сам себя не спас». Отвечал Ад дьяволу: «Берегись, брат мой, ходи, оглядываясь, как бы мы с тобой не были обмануты. Разузнай, откуда он и чей он сын. Эти (пророки) очень уж радуются, слыша о нем. Остерегайся и выпытывай, а не то, пока одного собираемся уловить, всего мира лишимся, и это мне будет не только потеря, но осмеяны мы будем и поруганы». Услышав это, дьявол отправился к иудеям и настроил их против Господа; находился он среди них и не оставлял их, подговаривал распять Господа. И не знал окаянный дьявол, что Господня смерть станет воскрешением всего мира. И вскоре на путях, избранных ненасытными, встретил сатана Иуду и начал готовить с ним предательство и вскармливать в нем сребролюбца. Потому-то тот и сказал иудеям: «Что мне дадите, и я вам предам его?»
И къто не просльзиться о глаголѣ семь, възлюблении! Трепещють ми състави удовъ, ужасаеть ми ся помыслъ о глаголѣ семь! И пакы: «Чьто хощете ми дати, и азъ прѣдамь и́ вамъ». Како не искрѣпѣ языкъ его, како не довъльны быша устьны его? Како не съвязашася уста его? Како не усъхоша челюсти его и не съкрушишася? Како не увяде вьсь съставъ тѣлесе его? Како не прилпе язык гортани его, таковы глаголы извѣщавъшю: «Чьто хощете ми дати?» Ты чьто хощи възяти? Они достойна ничьсоже на имуть дати. Нъ приди, въпрошю тя, Иудо: «Чьсо ради продаеши? Еда чьсо лиши тя другыихъ ученикъ? Еда чьто лише онѣмъ подасть? Не той же ли благодати обьщьника тя сътвори? То почто предаеши творца небу и земли? И пакы: егда прѣпоясася леоньтиемь и умы нозѣ ученикомъ,[19] такоже и твои, яко и онѣхъ. Не лиши тебе ни единоя благодати. И ты на прѣдание въоружися! Тольми же не въсхотѣ тебе отлучити ученикъ, а вѣдый льсть твою прѣдательную, вечеряти тя сътвори съ собою. Еда мьниши, яко не вѣдяше твоего съблажнения? Тѣмьже и на той же тряпезѣ рече: “Омочивый съ мъною руку въ солило, тъ мя прѣдасть”.[20] И не рече ти: “Въстани от тряпезы моея, прѣдателю, яко нѣси достоинъ ясти съ мъною”. На тряпезѣ бѣ, и рука твоя хлѣбѣ причащашеся, и ядяше, а душа твоя цѣну съвѣщаваше.	И кто не возрыдает, услышав слова эти, о возлюбленные! Дрожат у меня руки и ноги, сам разум мутится от слов этих! Повторю снова: «Что хотите мне дать, и я вам предам его». Как не окостенел язык его, как не распухли губы его? как не замкнулись уста его? Как не иссохли челюсти его и не рассыпались? Как не обмякло все тело его? Как не прилип язык его к гортани, когда он произнес такие слова: «Что хотите мне дать?» Что ты хочешь взять? Они же ничего стоящего не могут дать. Но приди, и спрошу тебя, Иуда: «За что предаешь? Или он тебя обделил чем среди других учеников? Или чего-либо больше другим даровал? Не он ли сделал тебя сопричастным своей благодати? Так за что же предаешь творца неба и земли? И повторю: когда опоясался он леонтием и омыл ноги своим ученикам, то и твои ноги так же, как и других. Не обошел тебя ни единой благодатью. И ты решился на предательство! Он же не захотел тебя отринуть из среды учеников, а, зная об обмане твоем и предательстве, пригласил на вечерю с собой. Уж не думаешь ли ты, что не знал он о том, что соблазнили тебя? Потому-то он на той трапезе и сказал: “Обмакнувший вместе со мной пальцы в блюдо и предаст меня”. И не сказал тебе: “Уйди с трапезы моей, предатель, ибо не достоин ты вкушать со мною”. За трапезой сидишь, и рука твоя к хлебу прикасается, и ешь, а душа твоя о цене раздумывает.
О, горе тебѣ, Июдо, чьто се сътвори — срѣбро прия, а Господа прѣда, срѣбра ради съвѣтъ сътвори. Тѣмьже епископьство твое прѣиметь инъ,[21] и въ кровѣхъ твоихъ не будеть живущааго: тѣхъ ради сребрьникъ многа блага лишися и многа зъла достоинъ бысть. Тѣхъ ради сребрьникъ грѣхъ отець твоихъ не отиметься и безаконие матери твоея не оставиться.[22] Тѣхъ ради сребрьникъ тьмы тьмами ангелъ и тысящю тысящи архангелъ бысть врагъ, и единому дияволу любъ. Тѣхъ ради срѣбрьникъ лика апостольска отлучися и бѣсѣхъ причьтеся, прѣстола цесарьска отступи и славы ся съвлѣче, и уже удавлению на ся наложи. “Чьто хощете ми дати, и азъ прѣдамь и́ вамь”. И поставиша ему 30 сребрьникъ. О горе тебѣ, Июдо! Чьто се сътвори? На 30-тѣхъ ли продаеши сребрьниць небу и земли творьця, рабъ владыку убо продаеши. То понѣ блюди: кого продаеши! Аще бо бы раба имѣлъ хытра, не бы его убо продалъ хытрости ради на 30 сребрьникъ. Продаеши, оканьне, вьсю тварь, юже видиши, тъ есть сътворилъ. И ты рече: “Чьто ми хощете дати, и азъ вамъ прѣдамь и́”. И поставиша ему 30 сребрьникъ».	О, горе тебе, Иуда, совершившему такое: серебро взял, а Господа предал, ради серебра сговорился. Потому и сан твой апостольский получит другой, и дом твой останется заброшенным: из-за тех серебреников многих благ ты лишился и навлек на себя многие беды. Из-за этих серебреников не простится грех отцов твоих и не простится беззаконие матери твоей. Из-за тех серебреников мириады ангелов и тысячи тысяч архангелов стали тебе врагами, и мил ты одному лишь дьяволу. Из-за тех серебреников исторгнут ты из сонма апостолов и пристал к бесам, от престола царского отступил и славу с себя совлек и петлю удавленника на себя наложил. “Что хотите мне дать, и я вам предам его?” И выставили ему 30 серебреников. О горе тебе, Иуда! Что ты совершил? За эти 30 серебреников продаешь творца неба и земли; будучи рабом продаешь своего владыку. Задумайся: кого ты продаешь! Если бы имел раба искусного, ты и его, ценя мастерство его, не продал бы за 30 серебреников. А ты продаешь, окаянный, того, кто сотворил все, что ты видишь вокруг. И ты говоришь: “Что мне хотите дать, и я вам предам его?” И выставили ему 30 серебреников».
По отшьствии же его и отлучении апостольска лика, начатъ Исусъ скьрьбѣти и тужити: «Прискьрбьна есть душа моя до съмьрти».[23] О милосердие владычьне! О прѣдатели скьрьбяше, съмьрьти же не бояшеся, бесъмьрьтьный. Слышавъ же дияволъ Господа, рекъша: «Прискьрьбна есть душа моя до съмьрьти», мьняше, яко съмьрти ся боить, и начатъ подвижьнѣй бывати, и текъ Адови, рече: «Готовъ буди и уготови мѣсто твьрьдо, да затворивѣ Иисуса: се бо устроихъ на нь съмьрть и уготовихъ гвоздия, наострихъ копие и налияхъ оцьта.[24] Июдѣя поострихъ на нь, яко оружие, и се по дъвою днию прѣдъставлю ти и́, брате мой Аде! Многу ми пакость сътвори на земли и много прогнѣва мя. Мъногы ми съсуды истъщи невидимо: яже азъ завистию творяхъ, тъ же онъ словъмь исцѣляше, и ихъ же азъ раздрушахъ уды, то ты онъ укрѣпляя: одры на раму носити повелѣваше.[25] И другаго ослѣпихъ и затворихъ очи его и веселяхъся о немь, егда о стѣну ударяшеся, ли въ воду въпадаше, онъ же, пришьдъ, не вѣдѣ откуду, и противьная ми творя, словъмь дасть ему прозьрѣти. И другуму, сущю въ чрѣвѣ матерьни, ослѣпихъ очи, яко не знати ему видѣти свѣта, онъ же обрѣтъ и́ и сътвори бьрьние и помаза очи его, и повелѣ въ купѣли Силуамли умытися ему, и прозьрѣ.[26] Азъ же не обрѣтъ, камо ити, пояхъ съ собою шесть бесъ и вьсе служьбьныя духы и отидохъ далече от него, и обрѣтохъ уношю добра, и въшьдъ въ нь, живяхъ въ немь. И како разумѣ, не вѣдѣ, и пришьдъ тамо, запрѣти ми и повелѣ ми изити из него. И ишьдъ азъ, не обрѣтохъ мѣста, камо иду: молихъ и́, да понѣ на свинияхъ прииму власть.[27] Еще же пакы жена от мене въ недугъ въпадъши до дъвою-на-десяте лѣту, и течения кръвьная от плъти ея истѣкаху. И не вѣдѣ, откуду приде тамо, и видѣвъши и́, текъши, прикоснуся, емь въскриль ризѣ его, и абие ста течение кръве ея.[28] И гнѣваяся на нь, не съмяхъ побѣдитися съ нимъ, и пакы отидохъ оттуду и придохъ въ прѣдѣлы сурьскы и прѣдѣлы хананѣйскы и обрѣтохъ ту отроковицю добру и, въшьдъ въ ню, живяхъ въ ней и творяхъ зъло ей: ово ли въ огнь ю въмѣтахъ, другоици же съ стрьмины ю съмѣтахъ и веселяхъся ею. Паче же мати ея начьняше, тужащи, битися ея ради. И не вѣмь, откуду приде тамо и живяше ту. И абие слышавъши мати отроковиця, текъши, повѣдѣ, яже о дъщери своей, глаголющи: “Помилуй мя Иисусе, Сыне Божий, яко дъщи моя зълѣ бѣситься”. И абие же поманувъ женѣ, рече: “О жено, велия ти вѣра. Буди ти якоже хощеши!” Тоже не и самъ приде изгънатъ мене, нъ женѣ въда область изгънати мя.[29]	После ухода Иуды и исторжения его из среды апостолов стал Иисус скорбеть и тужить: «Скорбит душа моя перед смертью». О милосердие владыки! О предателе скорбил, смерти же не боялся, бессмертный. Услышав же дьявол, что сказал Господь: «Скорбит душа моя перед смертью», решил, что он смерти страшится, и начал усердствовать, и поспешил к Аду и сказал: «Готов будь и отыщи место надежное, и мы затворим там Иисуса: вот я подстроил, что он умрет, и приготовил гвозди, заострил копье и налил уксус. Иудеев наострил на него, точно оружие, и через два дня представлю его тебе, брат мой Ад! Много мне препон чинил на земле и много раз прогневал меня. Многие сосуды мои незаметно опустошил: что я по зависти своей творил, то он словом исправлял, если я кому-либо разрушал суставы, то он их укреплял: повелевал нести одр на плечах. Другого я ослепил и затворил глаза ему и радовался, когда он на стену натыкался или в воду падал, он же, придя неведомо откуда, вопреки мне творил словом своим дал ему прозреть. А другому, когда он был еще в чреве матери, ослепил я глаза, чтобы не узнал он и самого вида света; он же, встретив его, замесил глину, помазал ею глаза ему и велел омыться ему в купели Силуамской, и тот прозрел. Я же, не зная, куда идти, взял с собой шестерых бесов и всех служащих мне духов и ушел подальше от него, и встретил юношу красивого, и вошел в него, и жил в нем. И не знаю, как он проведал про это, и пришел туда же, заклял меня и повелел мне выйти из юноши. И вышел я, и не находил места, куда идти, и просил я его, чтобы хотя бы над свиньями иметь мне власть. И в другой раз по воле моей женщина занедужила на двенадцать лет: кровь истекала из тела ее. И не знаю, откуда он пришел на то место, и увидела его женщина и поспешила к нему, и прикоснулась к полам хитона его, и тут же прекратилось у нее кровотечение. И гневался я на него, не смея сразиться с ним, и снова ушел оттуда и пришел в края сирийские и края хананейские, и встретил тут прекрасную отроковицу, и вошел в нее, и жил в ней, и зло причинял ей: то в огонь ее толкал, то со стремнины сбрасывал и веселился этим. Мать же ее начала биться в печали из-за нее. И не знаю, откуда он пришел туда же и поселился там. И когда услышала об этом мать отроковицы, поспешила к нему и поведала о дочери своей, говоря: “Помилуй меня, Иисус, Сын Божий, ибо дочь моя совсем бесноватая”. Он же тогда, подозвав женщину, сказал ей: “О женщина, велика твоя вера. Так будет же, как ты хочешь!” На этот раз не сам пришел изгнать меня, но даровал женщине силу прогнать меня.
Другоици же, въѣхавъшу ему въ море и усънувъшю, вънезапу подвигохъ вѣтры многы и възмутихъ море, и съражахуся вълны, и велику бурю въздвигнухъ, хотя погрузити корабль, въ немьже бяше съ ученикы своими. И се хотящю кораблю съкрушитися, абие ученици его възбудиша и́, и, въставъ, запрѣти морю, и послуша его море и вьси вѣтри, и бысть тишина велия.[30] Видѣвъ же азъ, яко и ту прѣбываеть, идохъ въ Вифанию, и, хотя оскьрьбити и́, въсхватихъ друга его Лазоря и приведохъ ти и́, брате мой Аде. И бес печали быхъ, мьня, яко уже къ тому не можеть ис тебе исхытити его. И по четырьхъ дньхъ пришьдъ, не вѣдѣ отъкуда, не вѣдѣ, съпящю ли тебѣ или ины хранящю, исхыти и́ отъ тебе».	В другой раз, когда плыл он через море и уснул, я неожиданно поднял ветры сильные и взволновал море, и стали биться волны, и поднял я сильную бурю, собираясь утопить корабль, в котором был он с учениками своими. И когда корабль уже готов был развалиться, ученики разбудили его, он же, встав, заклял море, и послушало его море и все ветры, и настала полная тишина. Увидел я, что и здесь он находится, отправился в Вифанию и, полагая, что огорчу его, похитил друга его Лазаря и привел того к тебе, брат мой Ад. И был беспечален, думая, что уже теперь не сможет его у тебя похитить. Но четыре дня спустя пришел он, не знаю откуда, когда ты — не ведаю я — то ли спал, то ли других стерег, и вывел от тебя Лазаря».
И, отвѣщавъ, Адъ глагола дияволу: «Тъ же ли есть и нынѣ, иже и тъгда Лазоря изведе? Аще тъ есть, помилуй мя и не води его сѣмо. Того бо тъкъмо глас ужаси мя и раздруши ми силу: гласа его не могу сътьрпѣти. Того ли ми възвѣщаеши затворити? Онъ, аще придеть сѣмо, и яже имамъ сьде, извѣсти имать. Азъ же тъгда съгнонхъ тѣло Лазорево зѣло, якоже начатъ воняти, и нача раступатися съставъ тѣлесе его, и егда же възгласи его: “Лазоре, лѣзи вонъ!”, и абие въскочи вънъ из гроба, яко львъ из вьрьтьпа на ловъ иды, яко орьлъ летяаше, вьсю немощь отложь въ мьгновении оку.[31] Азъ того сьде затворити не възмогу». Отвѣщавъ же дияволъ, глагола ему: «Сила твоя и моя, ненасытьная утроба твоя, да приимѣвѣ и́, а не бляди многа». Отвѣща Адъ и рече: «Клятъ мя силами, кыими силами? Ибо, аще бы имѣлъ силу, побѣдилъ ся бы съ нимъ, нъ мною ли и июдеи хощеши оправьданъ быти?» Глагола ему дияволъ: «Страшиве немужю и худодушьне! Мнѣ толика зъла сътвори, и не прѣстахъ побѣдяся съ нимь. И ты едино зъло приимъ от него, толику боязнь прия. Азъ же, егда видѣхъ, яко и вънѣшняя болѣзни тѣлесьныя исцѣляше, начахъ душа человѣчьскы невидимо мучити. Егда бо видѣхъ, яко и ту прѣбываше, пакы обрѣтох ту уношю добра, именьмь Матфею, и възложихъ на сердце ему помыслъ имѣнию и поставихъ и́ на мытьници. И тольми послуша мене уноша, якоже бияше вься, и радовахъся о немь. Онъ же отъкуду приде — не вѣдѣ, и мимоида рече уноши: “Иди по мнѣ”. И абие от словеси того Матфей, оставль мытницю, и послѣдова ему и бысть оному ученикъ, а мънѣ врагъ.[32] Азъ же оскьрьбѣхъ зѣло и мьнѣхъ, яко въздрастъ уношѣ възлюбль, въхыти и́ от мене. Идохъ азъ въ страны Ерихоньскы и обрѣтохъ ту человѣка мала въздрастъмь, именьмь Закьхей, и вънидохъ въ нь и поставихъ и́ на мытьници. Сь утѣши мя о печали, яже о Матьфеи, и мьнѣхъ, яко понѣ сего въздраста не имать възлюбити. И пришьдъ онъ, не вѣмь откуду, мимоидый съ народъмь. Закхей же не могый видѣти, къто есть мимоходяй, и възлѣзъ на ягодичину, и, възьрѣвъ, Иисусъ видѣ и́ и глагола ему: “Закъхее! Потъщавъся сълѣзи: дьнесь бо въ дому твоемь подобаеть ми быти”. Абие же приять и́, радуяся, в домь свой и, шед, възврати седмирицею, иже бѣ лихо ималъ, и отъ своего имѣния подасть маломощьмъ.[33] И иде въ слѣдь его и бысть оному ученикъ, а мнѣ врагъ. Егда же не обрѣтох мѣста, камо ити, идохъ къ братии моей — июдѣомъ и въоружихъ я на нь».	И Ад в ответ сказал дьяволу: «Так это тот самый, который тогда Лазаря вывел? Если это он и есть, то пощади меня и не приводи его сюда. Один только голос его привел меня в ужас и сокрушил мою силу: не могу я вынести голоса его. Этого ли ты призываешь меня заключить? Да он, если придет сюда, и тех, кого я держу здесь, выведет. Я тогда крепко сгноил тело Лазаря, так что оно смердеть начало и стали распадаться суставы его, но когда воззвал он: “Лазарь, выйди вон!”, тот тотчас выскочил из гроба, как лев из логова идущий на охоту, как летящий орел; всю немощь преодолел во мгновение ока. Я того здесь заточить не смогу». Дьявол же сказал, отвечая ему: «Сила твоя и моя, ненасытная утроба твоя — сможем принять его, не пустословь лишнее!». Ад же сказал в ответ: «Заклинаешь меня силами, но какими силами? Если бы ты обладал силой, то сразился бы с ним, но, видно, хочешь оправдаться мною и иудеями?» Сказал ему дьявол: «Трус ты немужественный и слабодушный! Мне он столько зла причинил, а я, не переставая, боролся с ним. А ты единожды был им одолен и в такой страх пришел. Я же, когда увидел, что он наружные недуги телесные исцеляет, начал невидимо души человеческие мучить. Когда узнал я, что он и здесь пребывает, нашел я достойного юношу по имени Матфей и внушил ему жажду богатства и поставил его собирать налоги. И послушался меня юноша настолько, что даже стал других избивать, и радовался я (глядя на него). Он же, не знаю откуда, пришел и сказал, проходя, юноше: “Иди за мной!” И тотчас же по слову его оставил Матфей сбор налогов, и последовал за ним, и стал его учеником, а мне — врагом. Я же, немало опечаленный, подумал, что молодость юноши его привлекла, и он увел его от меня. Тогда пошел я в область Иерихонскую и нашел здесь человека, малого ростом, по имени Закхей, и вошел в него, и поставил его собирать налоги. И утешил он меня от печали по Матфею, и надеялся я, что этого низкорослого не сможет он полюбить. И пришел он, не ведаю откуда, проходя мимо с народом. Закхей же не мог видеть, кто это мимо идет, и влез на смоковницу, и, подняв взор, Иисус увидел его и сказал ему: “Закхей! Поскорее слезай: нужно сегодня побывать мне в доме твоем”. И принял его с радостью в своем доме и потом пошел и возвратил в семикратном размере все, что взимал не по закону, и от своих богатств одарил нищих. И последовал за ним и стал его учеником, а моим врагом. Когда же я не нашел места, куда идти, отправился я к братьям своим — иудеям и напустил их на него».
Отвѣщавъ же Адъ, глагола къ дияволу: «Останися его, ничьтоже имаши съ нимь». И глагола ему дияволъ: «Азъ вѣдѣ, яко человѣкъ есть бояся съмьрти. Се бо разумѣхъ, яко прѣдаеться и, скьрьбя, глаголеть: “Прискьрьбьна есть душа моя до съмьрти”». Глагола ему Адъ: «Иди, якоже хощеши — твори, понѣ искуси брань на нь. И аще побѣдиши, и затворивѣ и́ сьде, и цесарьствуеши тъ съ июдеи. Аще ли ти одолѣеть и, пришьдъ сѣмо, изведеть, яже имамъ затвореныя сьде, и съвяжеть тя и слугы твоя и июдѣя, и прѣдасть я мнѣ, о горе вамъ будеть, оканьнии». Си слышавъ, дияволъ иде къ июдѣомъ и въоружи я на Господа. И събьравъшеся, съвѣтъ сътвориша на Господа, да и́ погубять.	Ад же в ответ сказал дьяволу: «Оставь его, ничего не сделаешь с ним». И сказал ему дьявол: «Я знаю, боится человек смерти. Об этом проведал я, увидев, как предается он скорби и говорит: “Скорбит душа моя перед смертью”». Сказал ему Ад: «Иди и поступай, как хочешь, ибо ты уже опытен в борьбе с ним. И если победишь и мы заключим его здесь, то будешь царствовать с иудеями. Если же он тебя одолеет и, придя сюда, изведет тех, кто у меня заточен здесь, и свяжет тебя и слуг твоих и иудеев и предаст их мне, то горе вам будет, окаянные!» Услышал это дьявол и пошел к иудеям, и поднял их против Господа. И собравшись, посовещались они, как его погубить.
