СЛОВО СВЯТОГО ГРИГОРИЯ БОГОСЛОВА О ЧЕСТНѢМ КРЕСТѢ	СЛОВО СВЯТОГО ГРИГОРИЯ БОГОСЛОВА О ЧЕСТНОМ КРЕСТЕ
Егдаже погребоша Адама[1] с венцом, иже свит и возложи на главу его от древа, от негоже изгнан бысть, иже принесе ему Сифь,[2] сынъ его, иже дасть ему аггелъ из рая, и возрасте древо из венца из главы Адамовы. И бысть велико, и велико и пречюдно возрастом на трое растуще. И въ едино старѣющеся и пребысть седмерицею высочайши всѣх древъ.	Когда погребли Адама с венцом, который свил и возложил он на главу свою из ветвей того древа, из-за которого изгнан был из Рая и которые принес ему Сиф, сын его, а тому дал их ангел, вынеся из Рая, то выросло древо из венца, что был на главе Адама. И было оно велико — велико и удивительно (выросшим), разделяясь стволами на-трое. И возрастали стволы вместе и были в семь раз выше всех других дерев.
О друзем древе, на немже распятся разбойник вѣрный	О другом древе, на котором распят был разбойник верный
От того же древа изнесе Тигръ[3] река из Рая и стояше на песцѣ. Тако егда хотяше помянути Сиф отца своего Адама, и показа ему аггелъ древа, и сотвори огнь на рецѣ, рекомой Яилѣ,[4] и память сотвори отцу своему. И то огнь будет неугасая и до веку всегда горит непрестанно. И лютыя звѣри стрегут того огня.	Часть от того древа вынесла река Тигр из Рая, и осталась она на песке. И когда захотел Сиф помянуть отца своего Адама, показал ему ангел это древо, и возжег Сиф огонь на реке, именуемой Нил, и тем память сотворил отцу своему. И тот огонь будет неугасимым, и гореть ему до скончания мира непрестанно. И лютые звери стерегли тот огонь.
Да егда согрѣшит Лотъ[5] и прииде ко Аврааму[6] на покаяние, егда слыша Авраам и ужасеся велми, и пусти Лота, да погибнет, и рече ему: «Прииди и принеси огня, иже во Ниле рецѣ». И шед Лот, и обрете вси звѣрие спяща, и възять три главня, и принесе къ Аврааму. И видѣ Авраамь, и позна, и удивися. И заповѣда ему посадити их на горници мѣстѣ и поливати водою. И рече: «Егда прорастят главня, тогда еси прость от грѣха того». Бѣше бо вода далече, 3-щ на день доносѣше въ устѣх своих и поливаше главня, и тако прорастошя. И възыде дрѣво прѣчюдно и прѣкрасно зѣло.	Но когда согрешил Лот и пришел к Аврааму на покаяние, и когда услышал Авраам, то так ужаснулся, что послал Лота на погибель, и сказал ему: «Пойди и принеси огня, что горит на Ниле реке». И пошел Лот, и увидел, что все звери спят, и взял три головни, и принес Аврааму. И увидел Авраам, и узнал все, и удивился. И повелел ему посадить их на высоком месте и поливать водою. И сказал: «Когда дадут побеги головни, тогда простится тебе грех тот». Хотя была вода далеко, 3-жды в день приносил Лот в устах своих и поливал головни, и так проросли они. И вознеслось древо удивительное и прекрасное.
О третиемь дрѣвѣ, на немже распятся разбойник невѣрный	О третьем древе, на котором распят был разбойник неверный
От того жде дрѣва изнесе вода потопнаа. И егда исяче вода, дрѣво оста при рѣцѣ Мерстѣй.[7] Да егда изведе Моиси израильтѣны,[8] не имѣшя что пити, понеже бѣ вода горка. Моиси ходѣше скръбно, воду искый. И сътвори молитву къ Богу, и показа ему аггель дрѣво, и то дрѣво лежаше връху и цъвтѣше. И въземь Моиси от дрѣва, и крестаобразно посади въ рѣцѣ, и усладися вода от дрѣва.[9] И израсте дрѣво прѣвеликое зѣло и чюдно, и прѣукрашенно.	Часть от того древа принесла вода во время потопа. И когда спала вода, древо осталось при реке Мерре. Когда же вывел Моисей израильтян, не было у них питья, поскольку была вода горька. Моисей ходил в заботе, воду ища. И тогда сотворил молитву Богу, и показал ему ангел древо, и то древо лежало вверху (у реки) и цвело. И взял Моисей ветви от древа и крестообразно посадил их в реке, и стала вода пресной. И выросло древо превеликое, удивительное и прекрасное.
Въпрос. Како зачяхуся та дрѣва или како растѣху тако?	Вопрос. Как зародились эти деревья и как выросли такими?
Ответ. Егда насади Господь Рай, не бѣ ту тогда ни аггела, никого, тъкмо Господь и Сатанаиль.[10] И что велѣвааше Господь садити, Сатанаиль крадѣше от въсѣкого сада тай от Господа и просыпа насрѣдѣ Рая. Господь рече: «Ту будет тѣло мое и азъ самь ту буду, и будет тебѣ на прогнание». И изшед вънь. И рече Сатанаиль: «Господи, благослови, елика насадиховѣ». Господь рече: «Ту есмъ азь посрѣдѣ Рая». И егда изыде Сатанаиль, да видит дрѣво свое, Дрѣво его изгна изь Рая. И почрънѣ Сатанаиль и бысть диаволь.	Ответ. Когда насаждал Господь Рай, не было с ним тогда ни одного ангела, только Господь и Сатанаил. И что велел Господь сажать, Сатанаил крал от всех растений тайно от Господа и рассыпал посреди Рая. Господь сказал: «Тут будет тело мое, и я сам тут буду, и послужит это твоему изгнанию». И удалился. И сказал Сатанаил: «Господи, благослови то, что мы насадили». Господь сказал: «Здесь я посреди Рая». И когда подошел Сатанаил, то увидел древо свое. Древом этим был изгнан он из Рая. И почернел Сатанаил и стал дьяволом.
Дрѣво же израсте на 3 стлъпы: единь стлъпь Адамь, 2 стлъпь Евва, 3 стлъп посрѣде самь Господь. Да егда съгрѣши Адам и Евва,[11] тогда паде Адамова чясть въ рѣку Тигрь и изнесе его. Да егда бысть потопь, на водѣ потопнѣ изыде, да егда исяче вода, дрѣво же израсте при Мерстѣй рѣцѣ. А Еввина чясть паде въ Раи.	Древо же выросло в три ствола: один ствол — Адам, 2-й ствол — Ева, 3-й ствол, средний, — сам Господь. И когда согрешили Адам и Ева, тогда упала часть Адамова в реку Тигр и вынесла река ее из Рая. А когда наступил потоп, то понесла ее вода, а когда иссякла вода, то древо выросло при реке Мерре. А Евина часть упала в Раю.
Въпрос. Како пакы съвъкупишася та дрѣва въ Иерусалимѣ?	Вопрос. Как снова соединились эти древа в Иерусалиме?
