СЛОВО ИОАННА БОГОСЛОВА О ПОКОИ СВЯТЫА ВЛАДЫЧИЦА НАША БОГОРОДИЦА И ПРИСНОДѢВЫА МАРИА	СЛОВО ИОАННА БОГОСЛОВА ОБ УПОКОЕ СВЯТОЙ ВЛАДЫЧИЦЫ НАШЕЙ БОГОРОДИЦЫ И ВЕЧНОДЕВЫ МАРИИ
Благослови, отче.	Благослови, отче.
Святей и преславнѣй Богородици и приснодѣвѣй Марии по обычаю на святый гробь Господа нашего восходящи кадить и покланяющи святѣи колѣни, моляще рождешагося из нея Христа Бога нашего дабы к нему шла. Видящи же ю иудеи ходящу на святый гробь, припадоша къ архиерѣом, глаголюще, яко на всякь день Мариа ходить на гробище. Призвавше же архиерѣи стража, еже бѣху учинили, да быша не дали никомуже молитися на святѣмь гробѣ, вопрашаху о нѣй, аще воистину си тако есть? Стражие же отвѣщавше, рекоша, яко ничесоже такова видѣхомь, Богу не оставльшу ихь честнаго прихожения ея видѣти. Во единъ же от дней, пятку сущу, прииде на гробь по обычаю святаа Мариа Богородица, и молитву ей творящи, архангелъ Гавриилъ, съшедь к ней, рече: «Радуйся, рожшиа Христа Бога нашего! Молитва твоа, вшедши на небо, приата бысть. Ты нынѣ по прошению твоему оставльши миръ сей, на небеса къ твоему сыну на животъ истинный непремѣняемый отходиши».	Когда святая и преславная Богородица и вечнодева Мария по обыкновению приходила к гробу Господа нашего кадить, то, приклонив святые колени, молила родившегося из нее Христа, Бога нашего, чтобы дано ей было прийти к нему. Иудеи же, видя ее приходящую к святому гробу, обратились к архиереям, говоря, что Мария всякий день приходит на кладбище. Архиереи же, призвав стражников, которых приставили, чтобы никому не разрешали молиться у святого гроба, стали спрашивать их о ней: правда ли все это? Стражники же в ответ говорили, что ничего подобного не замечали, ибо Бог не давал им увидеть честные ее посещения. В один же из дней, в пятницу, пришла как обычно к гробу святая Мария Богородица, и во время ее молитвы сошел к ней архангел Гавриил и возгласил: «Радуйся, родившая Христа, Бога нашего! Молитва твоя дошла до неба и принята. Ты вскоре по желанию своему, оставив мир сей, отойдешь на небо к сыну своему для жизни истинной и вечной».
Слышавши же си от архангела, возвратися въспять въ Вифлеом,[1] имущи съ собою вкупѣ три дѣвы, яже ей служаху, рече къ дѣвамь: «Принесѣте ми кадилницу, да ся помолю». И принесоша по заповѣданному им, и помолися, рекши: «Господи мой, Иисус Христе, изволивый из мене родитися великиа ради благости твоеа! Услыши глась мой и посли мнѣ апостола Иоанна, да видѣвши его, начну веселитися. И посли же мнѣ святыя апостолы твоа, и иже суть к тебѣ уже отошли и яже суть нынѣ на семь свѣтѣ, на нейже есть кождо странѣ святымь твоимь повелѣнием, да сиа видѣвши, благословлю многое и хвалное имя твое. Надѣю бо ся, яко послушати мене имаши, рабы твоеа, о коемждо прошении».	Услышав все это от архангела, Мария возвратилась обратно в Вифлеем вместе с тремя девами, что прислуживали ей, и сказала она девам: «Принесите мне кадильницу, да помолюсь». И принесли ей, как она повелела, и стала молиться, говоря: «Господь мой, Иисус Христос, изволивший по великой своей благости из меня родиться! Услышь голос мой и пошли ко мне Иоанна апостола, и, увидев его, порадуюсь. И пришли ко мне святых апостолов твоих, и тех, которые уже к тебе отошли, и тех, кто еще на этом свете в разных странах по твоему повелению, чтобы, увидев их, благословила я великое и славное имя твое. Надеюсь, что услышишь эту просьбу мою, рабы твоей».
И молящися ей, приидох азъ Иоаннъ, Духу Святому восхыщшу мя на облацѣ от Ефеса[2] и поставльшу мя на мѣстѣ, идеже лежаше мати Господня. Внидох же к ней и прославль рожьшагося из неа, рѣх: «Радуйся, мати Господня, рождьшиа Христа Бога нашего, веселися, яко с великою славою отходиши житиа сего». И прослави святаа Мариа Бога, зане приидохь азъ, Иоан, к ней, помянувь глас Господень, рекший: «Се мати твоа, и се сынъ твой».[3] И три дѣвы приидоша и поклониша ми ся. И глагола ми Богородица: «Сътвори молитву и възложи кадило». И помолися, тако рекь: «Господи Иисус Христе, сътворивый чюдеса, и нынѣ створи чудеса прѣд рожешею тя. И изыдеть мати твоа от житиа сего, и устрашатся распеншии тя и не вѣровавше в тя». И яко створих молитву, глагола ми святаа Богородица: «Принеси ми кадилницу». И, приемши кадило, рече: «Господи, съврьши о мнѣ, елико ми же ся обѣщалъ преже, даже не взыде на небеса, и яко, егда отхожу от мира сего, приидеши ты и множество ангелъ твоихь съ славою многою къ мнѣ». И глаголахь кь ней азъ, Иоаннъ: «Грядет Господь нашь Иисус Христос Богъ нашь, и узриши и́, якоже ти ся есть обѣщалъ». И отвѣщавши, святаа Мариа рече ми: «Иудеи суть кляли, да егда умру, съжгуть тѣло мое». И, отвѣщавь, рѣхь ей: «Не имать видѣти истлѣниа преподобное и честное тѣло твое». И, отвѣщавши, святаа Мариа рече ко мнѣ: «Принеси кадилницу и вложи кадило, и створи молитву». И бысть глас съ небеси, глаголя: «Аминь». И слышах азъ, Иоаннъ, глас, и рече ми Святый Духъ: «Иоанне, слышиши ли глас, реченьный на небеси?» И егда окончахь молитву, отвѣщавь, рѣхь: «Ей, Господи, слышах и́». И рече ми: «Глас сей, иже слыша, сказает пришествие братиа твоеа апостолъ будущее и святыхь Силъ, яко днесь приидуть к вамь».	Когда так молилась она, пришел я, Иоанн, ибо Дух Святой вознес меня на облаке из Эфеса и поставил меня на том месте, где возлежала мать Господа. Вошел я к ней и, прославив родившегося от нее, сказал: «Радуйся, мать Господня, родившая Христа, Бога нашего, веселись, ибо в великой славе отходишь от жизни этой». И прославила святая Мария Бога за то, что пришел я, Иоанн, к ней, вспомнив о словах Господа, возвестившего: «Вот мать твоя, и вот сын твой». И пришли три девы и поклонились мне. И сказала мне Богородица: «Сотвори молитву и возложи кадило». И помолился я, так говоря: «Господи Иисусе Христе, творящий чудеса, и ныне сотвори чудеса перед родившей тебя. Отойдет мать твоя от жизни этой, и устрашатся распявшие тебя и не верящие в тебя». И когда вознес я молитву, сказала мне святая Богородица: «Принеси мне кадильницу». И, взяв кадило, сказала: «Господи, сделай для меня так, как обещал мне прежде, чем взошел на небеса: когда стану я покидать этот мир, придешь ты и множество ангелов твоих в славе великой ко мне». И сказал ей я, Иоанн: «Придет Господь наш, Иисус Христос, Бог наш, и увидишь его, как он обещал тебе». И сказала мне в ответ святая Мария: «Иудеи поклялись, что когда я умру, то сожгут тело мое». И сказал я ей в ответ: «Не узнает истления преподобное и честное тело твое». И в ответ святая Мария сказала мне: «Принеси мне кадильницу и вложи благовония и сотвори молитву». И был глас с неба, возвестивший: «Аминь!». Услышал я, Иоанн, глас, и возвестил мне Святой Дух: «Иоанн! Слышал ли глас с неба?». И когда кончил я молитву, то ответил: «Да, Господи, слышал его». И сказал мне: «Глас этот, который ты слышал, возвещает скорый приход братии твоей, апостолов, и святых Сил, ибо сегодня придут они к вам».
Азъ же, Иоаннъ, о семь моляхся. И святый Духъ рече къ апостоломь: «Вси вкупѣ, на облакы всѣдше, от конець вселенныа съберитеся въ святѣмь Вифлеемѣ. Ты Симоне-Петре из Рима, Павелъ от Тивериана, Фома от Индия внутрьнѣйшаа, Иаковь от Иерусалима».[4] Андрѣа, братъ Петровь, Филиппъ, Лука и Симонъ Кананей, почившеи, въсташа изъ гробь Святымь Духъмь, к нимже и рече: «Уже не мните, яко въскрешение есть нынѣ, но сего ради въстасте из гробь, да идете на цѣлование и честь и чюдо матере Господня и Бога Спаса нашего, яко приближися день въсхождениа еа на небеса». Марко же сый и еще такожде, и той из Александриа прииде с прочими апостолы, якоже рѣхом — от коаждо страны кождо. Петръ же взятъ бысть на облацѣ и ста межу небом и землею, Святымь Духомь подпираемъ и подобно святымь апостолом. И тѣмь, восхыщеномь на облацѣхь, обрѣтохомся с Петром. И тако, Святымь Духомь съвокуплени, вси приидохомь къ матери Бога нашего и, поклоншеся, рѣхом: «Не бойся, ни скорби! Господь Богъ, рождеися ис тебе, изводить тя из мира сего съ славою». И возрадовавшися о Бозѣ, Спасѣ нашемь, возведься и сѣде на одрѣ и глагола к нам: «Нынѣ вѣру яхъ, яко приидеть Господь нашь с небеси, и вижду и́, и такося изрѣшу от житиа сего, якоже видѣхь вы пришедша. И хощу, да ми повѣсте, како разумевше отрѣшение мое от телесе сего, приидосте ко мнѣ и от коих странь и колицѣмь приидосте сѣмо, зане тако ускористе на мое посѣщение, — не утаи бо мене Господь нашь Иисус Христос и Богъ всѣхь».	И я, Иоанн, помолился об этом. И возвестил Святой Дух апостолам: «Вы все вместе, взойдя на облака, со всех концов вселенной соберитесь в святом Вифлееме. Ты, Симон-Петр, — из Рима, Павел — из Тивериана, Фома — из Индии Внутренней, Иаков — из Иерусалима». Андрей, Петров брат, Филипп, Лука, Симеон Канаит, уже почившие, встали из гробов по воле Святого Духа, сказавшего им: «Не думайте же, что настало время воскресения (мертвых), но сего ради востали вы из гробов, чтобы смогли прийти приветствовать и почтить и увидеть чудеса матери Господа Бога и Спаса нашего, ибо близок день восшествия ее на небеса». Марк же был также, и тот из Александрии пришел с другими апостолами, как сказали мы — из каждой страны каждый. Петр же был вознесен на облаке и пребывал между небом и землей, поддерживаемый Святым Духом, так же, как и все святые апостолы. И те, вознесенные на облаках, оказались вместе с Петром. И так, Святым Духом собранные, все явились к матери Бога нашего и, поклонившись ей, сказали: «Не бойся и не скорби! Господь Бог, родившийся из тебя, изводит тебя из мира этого со славой». И радуясь о Боге, Спасителе нашем, поднялась она и села на одре своем и сказала нам: «Ныне поверила я в то, что придет Господь наш с небес, и увижу его, и освобожусь от жизни, так как вижу вас, ко мне пришедших. И хочу, чтобы вы мне поведали, как вы узнали об отрешении моем от тела и пришли ко мне, и каким образом и из каких стран прибыли вы сюда, а особенно — как успели вы посетить меня, и как не скрыл меня от вас Господь наш, Иисус Христос, Бог всех».
Отвѣщавь же, Петръ рече къ апостоломь: «Кождо, к немуже Святый Духь возвѣсти и заповѣда намь, извѣстите матери Господа нашего». Отвѣщавь же азъ, Иоаннъ, и рѣх: «Азь, егда вхождахь въ святый олтарь службу сътворити въ Ефесѣ, Духъ Святый глагола ми, яко приближися время преставлениа матери Господа Бога твоего. “Ходи в Вифлеомь на цѣлование ея”. И облакь свѣтелъ восхити мя и въ дверех, идеже лежиши, постави мя». Петръ рече: «Азъ в Римѣ живый, къ утреници слышахь глась Святымь Духомь глаголющь къ мнѣ: “Мати Господа твоего, оставляющи миръ сь, на небеса преставлением течение творить. Ходи в Вифлеомь на цѣлование еа”. И се облакь свѣтелъ восхыти мя. И видѣхь и прочая апостолы на облацѣх грядущая ко мнѣ. И глас глаголя къ мьнѣ: “Вси идѣте в Вифлеомь”». Отвѣщавь, Павелъ рече: «И азь въ градѣ, отстоящимь от Рима немалѣмь растояниемь, живы, въ странѣ, нарицаемѣ Тиверианъ, слышахь Святый Духъ, гласомь глаголющь ко мнѣ: “Мати Господа твоего, оставляющи миръ сей, на небеса преставлениемь течение творить. Поиди въ Вифлеом на цѣлование еа”. И се облакь свѣтель восхыти мя и постави мя, идѣже и вы». Отвѣщав же и Фома и рече: «И азь Индийскую страну прошедь, проповѣдаа Христовою благодатию и утвержаа сына сестры царѣ, именем Давдань, мною хотяше знаменатися в полатѣ.[5] И внезапу Духь Святый глагола ко мнѣ: “И ты, Фома, иди въ Вифлеем на цѣлование матери Господа твоего, яко преставление на небеса творить”. И облакь свѣтелъ восхыти мя и постави мя при вас». Отвѣщавь же и Марко, рече: «И азь по закону третиаа годины во Александрѣйстемь градѣ молитву творяхь, егда мя Святый Духь возхыти и приведе мя к вамъ». Отвѣщав же, Иаковь рече: «Мнѣ въ Иерусалимѣ сущу, Святый Духь повелѣ ми, глаголя: “Буди въ Вифлеемѣ, яко мати Господа твоего творить преставление”. И се облакь восхыти мя и постави мя прѣд вами». Отвѣщав же и Матфей рече: «Азъ прославих и прославлю Бога, яко сущу ми в мори влающуся и възмущьшимъся влънам, и внезапу облакь свѣтел осѣни и волнение мутное на тихость преврати, мене же, восхыщь, постави прѣд вами».	Сказал в ответ Петр, обратившись к апостолам: «Каждый из вас, кому возвестил Святой Дух и заповедал, поведайте матери Господа нашего». Отвечал я, Иоанн, и сказал: «Когда вошел я в святой алтарь службу отправлять в Эфесе, то возвестил мне Дух Святой, что приблизилось время преставления матери Господа моего. “Иди в Вифлеем на прощание с ней”. И облако светлое вознесло меня и поставило в дверях дома, где лежишь ты». Петр сказал: «Я, живя в Риме, на заутрене услышал глас, возвещающий мне Духом Святым: “Мать Господа твоего оставляет мир и, умирая, на небо восходит. Иди на прощание с ней в Вифлеем”. И тогда облако светлое вознесло меня. И увидел я и других апостолов, приближающихся ко мне на облаках. И возвестил мне глас, глаголющий: “Все идите в Вифлеем”». И сказал в ответ Павел: «Я, находясь в городе, далеко отстоящем от Рима, в области, называемой Тиверия, услышал глас Святого Духа, обращенный ко мне: “Мать Господа твоего, оставляя этот мир, возносится на небеса. Иди в Вифлеем на прощание с ней”. И тут же облако светлое вознесло меня и поставило там же, где и вы стоите». И Фома сказал в ответ: «Я пришел в Индийскую страну, проповедуя благодать Христову; и укреплял (дух) сына сестры царицыной по имени Давдан, который жаждал принять от меня знамение в палате. И внезапно Дух Святой возгласил мне: “И ты, Фома, иди в Вифлеем попрощаться с матерью Господа твоего, ибо восходит она на небеса”. И облако светлое вознесло меня и поставило меня возле вас». Марк же сказал в ответ: «И я служил, как подобает, в Александрии канон третьего часа, когда Святой Дух вознес меня и принес меня к вам». Отвечая, сказал Иаков: «Я был в Иерусалиме, и повелел мне Святой Дух: “Будь в Вифлееме, ибо умирает мать Господа твоего”. И тотчас облако вознесло меня и поставило перед вами». Отвечая, сказал Матфей: «Я славил и славлю Бога, ибо был я на море волнующемся, среди вздымающихся волн, и внезапно облако светлое осенило меня, и мутные волны смирило, меня же оно, вознеся, поставило перед вами».
И отвѣщавьше же такожде и отшедше и преже повѣдаша, како приидоша. И Варфоломий рече: «Азъ въ Фиваидѣ[6] бѣхь, проповѣдаа слово. И се Святый Духь глагола къ мнѣ: “Мати Господа вашего преставление творить, иди убо на цѣлование въ Вифлеемь”. И се облакь свѣтелъ восхыти мя и приведе мя здѣ к вамь».	И отвечали все так (...), и прежде всего поведали, как они пришли. И Варфоломей сказал: «Я в Фиваиде находился, проповедуя (божественное) слово. И вот Святой Дух воззвал ко мне: “Мать Господа вашего преставляется. Иди же на прощание с ней в Вифлеем”. И тотчас облако светлое вознесло меня и доставило меня сюда к вам».
Си все повѣдаша святии апостоли, како приидоша къ Богородици и которою силою. И, воздѣвши руцѣ на небо, помолися, глаголющи: «Кланяюся и хвалю и славлю многохвалное имя твое, Господи, яко призрѣлъ еси на смѣрение рабы твоеа и сътворилъ ми еси великоты, силне, и се блажать мя вси роди».[7] И по молитвѣ рече апостоломъ: «Вложите кадило и створите молитву». И молшимся имь, громь бысть съ небесе, и прииде глас страшенъ, яко колесниц многих, и се множество вой ангельскыхъ. И глась, яко сына человѣча, слышанъ бысть, и серафимы окрестъ храмины стоаху, идеже возлежаше святаа и пренепорочнаа Божиа мати, приснодѣваа, яко вси сущии въ Вифлеемѣ видящи вся чюдеса, вшедше въ Иерусалимъ, возвѣстиша бывшаа. Бысть же, грому бывшу, вънезаапу явися солнце и луна окрестъ дому, и съборъ прьвѣнець святых бысть. И сташа в честь и славу святыя. Видѣша вси знамениа многаа бываема: слѣпыа прозирающа, глухыа слышати, прокаженыа очищающася и бѣсныя исцѣлевающа, и всякь, иже бѣше в недузи и язи, прикасающися внѣюду стѣнахь храмины, с вѣрою въпиаху: «Святаа Марие, рождшия Христа Бога нашего, помилуй ны!». И абие исцѣлеваху. Многь жь народ от Иерусалима и от когождо отечьствиа молитвы ради пришедше и слышавше бываемаа въ Вифлеемѣ материю Господнею знамениа, приидоша на мѣсто, различьными недугы одрьжимы, просяще исцѣлениа и улучаху. Бысть же радость велика и неизглаголанна в той день от множества исцѣлѣвших и прозрѣвшихь и славящихь Бога нашего и матерь его. Весь же Иерусалимь от Вифлеема хвалами и пѣснми духовными веселящеся, и пришедше возвращахуся.	Все это поведали святые апостолы, как пришли они к Богородице и с помощью каких сил. И, воздев руки к небу, помолилась она, говоря: «Господи! Кланяюсь я тебе, и хвалю и славлю многохвальное имя твое, что снизошел к смиренной рабе твоей, и сотворил мне величие, сильный, и вот теперь прославляют меня все народы». И, помолившись, сказала апостолам: «Вложите благовоние и сотворите молитву». И когда помолились они, раздался гром небесный, и донесся устрашающий шум, словно бы грохот многих колесниц, и явилось множество воинства ангельского. И голос — словно голос сына человеческого, был слышен, и серафимы стали вокруг дома, в котором возлежала святая и пренепорочная матерь Божия, вечнодева, так что все, бывшие в Вифлееме, увидев чудеса те, поспешили в Иерусалим и рассказали о случившемся. И когда прогремел гром, внезапно явились солнце и луна по обоим сторонам дома, и собрался сонм первейших из святых. И предстали они на славу и в честь святой. Видели же все множество знамений: прозревали слепые, начинали слышать глухие, очищались прокаженные, выздоравливали бесноватые, и все, кто был болен или изранен, прикасались к наружным стенам дома, взывая с верою: «Святая Мария, родившая Христа, Бога нашего! Помилуй нас!». И тут же выздоравливали. И из Иерусалима и из других мест пришло много народа, чтобы помолиться, и, услышав, что в Вифлееме творит чудеса мать Господа, приходили туда одержимые различными недугами, и просили исцеления, и получали его. Была же радость великая и несказанная в тот день, ибо многие исцелились и прозрели, и славили они Бога и мать его. Все иерусалимляне, возвращаясь из Вифлеема, славили Бога песнопениями и радовались.
Иереи же иудейстѣи, вкупѣ съ людми своими, удивишася о бываемых и завистию тяжкою низъпадше, и пакы суетною мыслью съвѣтъ сътворше, мышляху послати на святую Богородицю и на святыа апостолы въ Вифлеемь воины. И множество иудей, събравшеся, устремление творяху на Вифлеомь и яко от поприща единого узрѣша видѣние страшное, и от страха съпеншимся ногамь ихь, въспять возвратишася к роду своему. И все страшное видѣние повѣдаша архиерѣем. Они же, паче раждьгшися яростию, идоша къ игемону, вопиюще и глаголюще: «Погыбе языкь иудейский от жены сеа! Отжени ю от Вифлеема и от епархиа Иерусалимьскыа!» Игѣмонъ же ужасъся, яко слыша чюдеса, рече к нимь: «Азь ни от Вифлеема изгоню еа, ни от иного мѣста». Иудеи же, паче вопиюще, и спасением кесаря Тивериа[8] заклинаху и, дабы апостолы изьгналъ от Вифлеема: «Аще ли сего не сътвориши, навадимь на тя кесарю Тиверию». Принуждень же, посла тысущника во Вифлеемь на апостолы. Святый же Духь къ апостоломь и къ матери Господни рече: «Се игѣмонъ послалъ есть тысущника на тя, иудеемь въставшимь на вы. Ишедши убо изъ Вифлеема, не убоитеся, се бо на облацѣ провожу вы въ Иерусалимь, сила бо Отца и Сына съ мною и с вами есть». Воставши же, апостоли изыдоша из дому, носяще одръ Владычицы Богородицы, и устремление сътвориша во Иерусалимь. И абие, яко рече Святый Духъ, на облацѣ восхищени, обрѣтохомся во Иерусалимѣ, в дому Госпожинѣ. И, ставше, пять дней молитву творихомъ, не почивающе.	Иереи же иудейские вместе с людьми своими удивлялись случившемуся и, исполнившись черной завистью, снова — по скудоумию своему — совет собрали и задумали послать воинов в Вифлеем на святую Богородицу и на святых апостолов. И собралось множество иудеев, и пошли они к Вифлеему, и когда уже приблизились к городу, то увидели знамение грозное, так что от страха стали заплетаться у них ноги, и вернулись они назад к родичам своим. И об этом страшном видении поведали архиереям. Те же, еще более распалившись яростью, отправились к наместнику, с воплями возвещая ему: «Погиб народ иудейский от этой женщины! Изгони ее из Вифлеема и из области Иерусалимской!» Наместник же, услышав о чудесах, ужаснулся и сказал им: «Я не стану изгонять ее ни из Вифлеема, ни из какого другого места». Иудеи же снова стали кричать, заклиная наместника именем императора Тиберия, чтобы изгнал он апостолов из Вифлеема: «Если не сделаешь так, то донесем на тебя императору Тиберию». И вынужден был наместник послать тысячника в Вифлеем на апостолов. Святой же Дух возвестил апостолам и матери Божьей: «Вот наместник послал тысячника на тебя, ибо поднялись против вас иудеи. Покиньте же Вифлеем и не бойтесь, ибо на облаке вас препровожу до Иерусалима — сила Отца и Сына со мною и с вами». Собрались апостолы и вышли из дома, неся одр владычицы Богородицы, и направились к Иерусалиму. И тогда, как возвестил Святой Дух, были вознесены мы на облаке и оказались в Иерусалиме, в доме Богородицы. И остановившись там, пять дней не переставая творили молитву.
Егдаже доиде тысущникь в Вифлеемь и не обрѣте ту матери Господни, ни апостолы, дрьжаша вифлеемляны, глаголя к нимь: «Не вы ли внидосте къ игемону, глаголюще къ нерѣемь бывшаа знамениа и чудеса, яко пришли суть апостоли от всѣх стран? То где суть? Приидѣте, внидѣте къ игѣмону во Иерусалимь». Не вѣдяше бо тысущникы, яко апостоли и мати Господня шли суть во Иерусалимь. Поимь же убо тысущьникь вифлеемляны, вниде ко игемону, глаголя, яко: «Ни единого не обрѣтохомь». По пяти же дний увѣдѣвь же игемонъ и вси граждани и иереи, яко въ своемь дому есть во Иерусалимѣ мати Господня и со апостолы. Быша же пакы ту знамениа и чюдеса, множество женъ и мужей возопиша: «Святаа дѣво, рожешиа Христа Бога нашего, не забуди рода человѣчьскаго!» Сим же бывающим, наипаче движущеся людие иудейстии со иереи и, вземши дрова и огнь, наидоша, пожещи хотяще домъ, идеже бѣ мати Господня со апостолы. Игемонъ же стояше, зря, издалеча позоры дѣа. Егда доидоша дверий дому святыя Богородица мужие иудейстии, и се внезаапу сила огняна, изшедши изъвнутрь ангеломь, попали множество много людей иудейскыхъ. И бысть во всемь гради страхь великь. Вси, иже вѣроваху, славляху Христа Бога, рождьшагося от неа. Егда же видѣ игемонъ бывшее, възопи пред всѣми людми, глаголя: «Воистину сынъ Божий есть, рожеися от дѣвы, егоже вы прогнати мнѣсте, знамениа бо сии истиннаго Бога суть». Бысть же раздѣление между иудеи, и мнози во имя Бога нашего Иисуса Христа вѣроваша и бывшихь знаменихь.	Когда же пришел тысячник в Вифлеем, то не застал там ни матери Господней, ни апостолов и, похватав вифлеемлян, стал допрашивать их: «Не вы ли пришли к наместнику, рассказывая иереям о случившихся знамениях и чудесах и о том, будто бы пришли апостолы со всех стран? Так где же они? Пойдемте, и предстаньте перед наместником в Иерусалиме». Ибо не знал тысячник, что апостолы и мать Господня ушли в Иерусалим. Взял с собою тысячник вифлеемлян и привел их к наместнику, говоря: «Никого я не нашел». Через пять дней узнал и наместник, иереи и все горожане, что мать Господа с апостолами пребывает в своем доме в Иерусалиме. Снова свершались тут знамения и чудеса, множество жен и мужей взывали: «Святая дева, родившая Христа, Бога нашего, не забудь о роде человеческом!». В это же время снова возбудились люди иудейские с иереями; взяв факелы и хворост, отправились поджечь дом, где находилась мать Господня с апостолами. Наместник же стоял, издали наблюдая за происходящим. Когда же подошли мужи иудейские к дверям дома святой Богородицы, внезапно по велению ангела явилось изнутри дома сильное пламя и опалило множество людей иудейских. И весь город содрогнулся от ужаса. Благоверные же прославили родившегося у Богородицы Христа Бога. Когда увидел наместник, что произошло, то возгласил громогласно перед всеми людьми: «Воистину тот Сын Божий, кто родился от девы, тот, кого вы вздумали изгнать, ибо знамения эти ниспосланы истинным Богом». И разделились иудеи: многие уверовали в Бога нашего Иисуса Христа, видя явившиеся знамения.
