ХОЖДЕНИЕ БОГОРОДИЦЫ ПО МУКАМЪ	ХОЖДЕНИЕ БОГОРОДИЦЫ ПО МУКАМ
Хотѣ святая Богородица помолитися къ Господу Богу нашему на горѣ Елионстей: во имя Отца и Сына и Святаго Духа, да снидетъ архангелъ Михаилъ, да повѣсть о муцѣ небеснѣй и о земнѣй. Слово возвѣщавши, сниде архангелъ Михаилъ и 400 ангелъ съ нимъ: 100 отъ востока, 100 отъ запада, 100 отъ полудни, 100 отъ полунощь. И цѣлова Благодатную Михаилъ со ангелы и рече: «Радуйся, Отче исполнение; радуйся, Сыновне пребывание; радуйся, Святаго Духа похвало; радуйся Христови... и утвержение; радуйся, Давидово проречение; радуйся, святое поклонение; радуйся, пророчьска проповѣдания; радуйся, превышняя всѣхъ у престола Божия».	Святая Богородица хотела помолиться Господу Богу нашему на горе Елеонской, чтобы во имя Отца и Сына и Святого Духа сошел архангел Михаил и поведал о муке, небесной и земной. И когда известили о слове этом, архангел Михаил сошел с небес, и четыреста ангелов с ним: сто с восточной стороны, сто — с западной, сто — с южной, сто — с северной. И приветствовали Благодатную Михаил и ангелы, и сказал архангел: «Радуйся, завершение Отца; радуйся, обитель Сына; радуйся, похвала Святого Духа; радуйся, Христово... и утверждение; радуйся, Давидово пророчество; радуйся, святое поклонение; радуйся, пророками провозглашенная; радуйся, стоящая всех выше у престола Божьего».
Рече же Благодатная ко архангелу Михаилу: «Радуйся ты, архистратиже, первый воинъ, невидимаго Отца служителю и свѣтильниче; радуйся, Михаиле, первый воинъства, Святаго Духа повелѣние; радуйся архистратиже, шестокрылству похвало; радуйся, Михаиле архистратиже, мучителемъ попрание, а престолу Владыкы достоино стоиши; радуйся, Михаиле, просвѣщения никакогоже угасая; радуйся, архистратиже, первыи воине, хотя вострубити и убидити отъ вѣка умершая; радуйся, Михаиле, первыи всѣмъ небеснымъ силамъ, первыи же и до престола Божия вся ангели прославльшаго».	Ответила Благодатная архангелу Михаилу: «Радуйся ты, архистратиг, первый воин, служитель невидимого Отца и светильник; радуйся, Михаил, первый в воинстве, повеление Святого Духа; радуйся, архистратиг, похвала серафимам; радуйся, Михаил-архистратиг, побеждающий мучителей, а пред престолом Владыки достойно стоящий; радуйся, Михаил, свет непрестанный; радуйся, архистратиг, первый воин, хотевший вострубить и разбудить мертвых от века; радуйся, Михаил, главный над всеми небесными силами, первый, кого прославили до престола Божьего все ангелы».
Богородица, хотящи, дабы видѣла, како ся душа мучать, и рече Михаилу архистратигу: «Исповѣмся, исповѣждь ми, яже суть на земли всяческая». И рече к ней Михаилъ: «Яко же (...) речеши, Благодатная, азъ всяческая тебѣ исповѣмъ». И рече къ нему Святая Богородица: «Колко есть мукъ, идѣже мучится родъ христьянскии?» И рече къ ней архистратигъ: «Неизрекомыи суть мукы». Рече же къ нему Благодатная: «Исповѣжь ми на небеси и на земли».	Богородица хотела увидеть, как мучаются души человеческие, и сказала архистратигу Михаилу: «Поведай мне обо всем, на земле сущем». И ответил ей Михаил: «Что (...) просишь, Благодатная, я все тебе расскажу». И спросила его Святая Богородица: «Сколько мук, какими мучится род христианский?» И ответил ей архистратиг: «Не назвать всех мук». Попросила его Благодатная: «Расскажи мне, какие они на небесах и на земле?»
Тогда повелѣ архистратигъ явитися ангеломъ отъ полудне, и отверзеся Адъ, и видѣ во Адѣ мучащаяся, и бяше ту множество мужъ и женъ, и вопль много бяше. И воспроси Благодатная архистратига: «Кто си суть?» И рече архистратигъ: «Сии суть, иже не вѣроваша во Отца и Сына и Святаго Духа, но забыша Бога и вѣроваша юже ны бѣ тварь Богъ на работу сотворилъ, того они все боги прозваша: солнце и мѣсяць, землю и воду, и звѣри и гади, то святѣи человѣкы, камени ту устроя, Трояна, Хърса, Велеса, Перуна, но быша обратиша бѣсомъ злымъ и вѣроваша, и доселѣ мракомъ злымъ содержими суть, того ради здѣ тако мучатся...».	Тогда архистратиг велел явиться ангелам с юга, и разверзся Ад, и увидела Богородица мучающихся в аду, и было тут множество мужей и жен, и вопили они. И спросила Благодатная архистратига: «Кто это такие?» И ответил архистратиг: «Это те, кто не веровали в Отца и Сына, и Святого Духа, забыли Бога и веровали в то, что сотворил нам Бог для трудов наших, прозвав это богами: солнце и месяц, землю и воду, и зверей и гадов; все это те люди сделали из камней, — Траяна, Хорса, Белеса, Перуна в богов превратили, и были одержимы злым бесом, и веровали, и до сих пор во мраке злом находятся, потому здесь так мучаются...»
И видѣ на друзѣмъ мѣстѣ тму велику, и рече Святая Богородица: «Что сии есть тма сии, и кто суть пребывающи въ ней?» И рече архистратигъ: «Многи душа пребываютъ въ мѣстѣ семъ». И рече Святая Богородица: «Да отымется тма сии, да быхъ видѣла и ту муку». И отвѣщаша ангели, стрегущии муку: «Пореченно есть, да не видять свѣта, дондеже явится Сынъ твои благыи, паче 7 солнцъ свѣтлийши». — И прискорбна бысть Святая Богородица, и ко ангеломъ возведе очи свои, и возрѣвъ на невидимыи престолъ Отца Своего, и рече: «Во имя Отца и Сына и Святаго Духа, да отимется тма сии, и да быхъ видѣла сию муку». И отъятся тма си и 7 небесъ явися, и ту пребываше множство народу, мужъ и женъ, вопль многии бысть и гласъ велик (...) исхожаше. И видѣвши я Пресвятая Богородица, и рече къ нимъ, плачющися со слезами: «Что сотворили есте, бѣдницы окаянии, недостойнии, како вы сѣмо приидосте?» И не бысть гласа отъ нихъ, ни отвѣта, и рекоша ангели стрегуще: «Почто не глаголите?» Рекоша мучащиися: «О Благодатная, отъ вѣка нѣсмь свѣта видѣли, да не можемъ зрѣти горѣ». И возрѣвши на ня Святая Богородица, и восплакася велми. И видѣвши ю мучащиися, и рекоша къ ней: «Како ны еси присѣтила, Святая Богородица, но Сынъ твой благодатныи на землю приходитъ, и не воспроси насъ, то ни Авраамъ прадѣдъ, ни Моисѣи пророкъ, ни Иоаннъ креститель, то ни апостолъ Павелъ, возлюбленникъ Божии, но ты, Пресвятая Богородице, заступнице, — ты еси роду христьянскому стѣна, ты молишь Бога, како еси насъ присѣтила бѣдныхъ?» Тогда рече Святая богородица ко архистратигу Михаилу: «Что есть согрѣшение техъ?» И рече Михаилъ: «Сии суть, иже не вѣроваша во Отца и Сына и Святаго Духа, то ни въ тя, Святая Богородица, не хотяща проповѣдати имени твоего, якоже родися отъ тебе нашъ Исус Христос, плоть приимъ, освяти землю крещениемъ, — да того дѣля въ томъ мѣстѣ мучатся». И паки прослезися Святая Богородица и рече къ нимъ: «Почто ся соблазнисте, не вѣсте ли вы, якожъ мое имя чте все создание?»	В другом месте она увидела тьму великую, и спросила Святая Богородица: «Что это за тьма такая и кто находится там?» И ответил архистратиг: «Много душ пребывает в том месте». И сказала Святая Богородица: «Пусть разойдется тьма, чтобы видела я и те мучения». Ангелы, стерегущие их, отвечали: «Сказано, что не увидят они света, пока не явится твой благостный Сын, светлее, чем семь солнц». Огорчилась Святая Богородица, подняла на ангела свои глаза и, взглянув на невидимый престол Своего Отца, сказала: «Во имя Отца и Сына и Святого Духа пусть рассеется тьма сия, чтобы я видела это мучение». И распалась тьма, и показалось семь небес, и было тут множество народу, мужей и жен, (...) и доносился вопль сильный и плач. Увидев их, Пресвятая Богородица воскликнула со слезами: «Что вы сделали, несчастные, окаянные, как попали вы сюда, недостойные?» Но ни голоса, ни ответа не слышно было, и сказали ангелы, стерегущие их: «Почему не отвечаете?» Тогда мученики сказали: «О Благодатная, мы никогда света не видели, не можем смотреть наверх». Святая Богородица взглянула на них и горько заплакала. И увидели мученики ее, и сказали Ей: «Почему ты пришла к нам, Святая Богородица? твой Сын благодатный приходил на землю и не спросил нас ни о чем, ни прадед Авраам, ни пророк Моисей, ни Иоанн Креститель, ни апостол Павел, божий любимец, но ты, Пресвятая Богородица, заступница, ты, стена роду христианскому, молишь Бога, как же ты пришла к нам, бедным?» Тогда спросила Святая Богородица у архистратига Михаила: «В чем их грех?» И ответил Михаил: «Это те, кто не верил в Отца и Сына и Святого Духа, и в тебя, Святая Богородица; они не хотели проповедовать имени твоего и что родился от тебя наш Иисус Христос, воплотился и освятил землю крещением — вот из-за этого и мучаются они там». И вновь заплакала Святая Богородица, и спросила их: «Почему вы впали в соблазны, разве не знаете, что вся тварь чтит мое имя?»
То рекше Святая Богородица, и паки тма нападе на нихъ. Рече къ ней архистратигъ: «Куды хощешь, Благодатная, да изидемъ на полудне, или на полунощь?» И рече Благодатная: «Изыдемъ на полудни». Тогда обратишася херувимы и серафимы и 400 ангелъ, изведоша Богородицу на полудьнь, идѣжь рѣка огненая жжаше, и ту бяше множство мужъ и женъ, бяху погружении ту, овии до пояса, овии до пазуху, овии до шия, а друзии до верха.	Прорекла это Святая Богородица, и снова застлала их тьма. Архистратиг спросил ее: «Куда хочешь теперь, Благодатная, на юг или на север?» И ответила благодатная: «Пойдем к югу». Тогда повернулись херувимы и серафимы и четыреста ангелов, привели Богородицу на южную сторону, где протекала огненная река, там было множество мужей и жен, все погружены в реку — одни до пояса, другие до подмышек, третьи по шею, а иные с головой.
И видѣвше Святая Богородица, возопи гласомъ великимъ, и воспроси архистратига: «Который суть си, иже до пояса во огни погружении?» И рече къ ней архитратигъ: «Се суть, иже отецъ и матерей своихъ клятву прияша, да за то здѣ мучатся, яко прокляти суть». И паки рече Богородица: «Иже суть подъ пазусѣ въ огни, котории суть?» И рече къ ней архистратигъ: «Сия суть присныя куми были, карящеся, и другия блудъ творяху, да за то ти здѣ мучатся». И рече Пресвятая Богородица: «А иже суть до шия во пламени огню, котории суть?» И рече къ ней архангелъ: «Сии суть, иже мяса ядшая человѣча, да за то ти здѣ мучатся тако». Рече Святая Богородица: «А сии до верха суть ввержении во пламени огню, которыи суть сии?» И рече архистратигъ: «Си суть, Госпоже, иже крестъ честныи держаще, кленутся лжами, — таковыми силы честнаго креста, егоже ангели зряще трепещутъ и со страхомъ поклоняются ему. Того жъ человѣцы держаще, кленутся имъ, не вѣдуще, какова мука ожидаетъ ихъ: того ради тако мучатся».	Увидев их, Святая Богородица заплакала громким голосом и спросила архистратига: «Кто это, по пояс в огонь погруженные?» И сказал ей архистратиг: «Это те, кого прокляли отцы и матери, за это здесь, проклятые, мучаются». Снова спросила Богородица: «А кто те, что до подмышек в огне?» И ответил ей архистратиг: «Это были близкие кумовья, а меж собой враждовали, а другие блуд творили, за это здесь и мучаются». И спросила Пресвятая Богородица: «А кто те, что по шею в огненном пламени?» И сказал ей архангел: «Это те, кто ел человеческое мясо, за то здесь и мучаются так». И спросила Святая Богородица: «А кто те, что с головой ввержены в огонь?» И ответил ей архистратиг: «Это те, Госпожа, которые, крест честной держа, ложно клялись силами честного креста, а даже ангелы при взгляде на него трепещут и со страхом поклоняются ему. Эти же люди, держа крест, клянутся на нем, не зная, какая мука их ожидает, потому-то так и мучаются».
И увидѣ Святая Богородица мужа, висяща за нози, и червии ядяху его, и воспроси ангела: «Кто сей есть? что ли грѣхъ сотворилъ есть?» И рече къ ней архитратигъ: «Сии есть, иже приклады имаше на злато свое и на сребро, да за то на вѣки мучится».	И увидела Святая Богородица мужа, висящего за ноги, поедаемого червями, и спросила ангела: «Кто это? какой грех он совершил?» И сказал ей архистратиг: «Это человек, который получал прибыль за свое золото и серебро, за то он навеки мучается».
И видѣ жену, висящу за зубъ, и различныя змия исхожаху изо устъ ея и ядяху ея. И видѣвши Пресвятая, и воспроси ангела: «Что есть жена сии, что ли грѣхъ ея?» И отвѣща архистратигъ и рече: «Та есть, Госпоже, еже хожаше по ближная своя и по сусѣдомъ, послушающи, что глаголютъ, и слагающи словеса неприязнена, сважающии на сварѣ, да того ради сице мучится». И рече святая Богородица: «Добро было человѣку тому, да ся бы не ражалъ». И рече къ ней Михаилъ: «И еще, Святая Богородица, нѣсть видѣла великихъ мукъ». И рече Святая ко архистратигу: «Изыдемъ да походимъ, да видимъ вся муки». И рече Михаилъ: «Куды хощеши, Благодатная?» И рече Святая: «На полунощь». И обратишася херувими и серафими и 400 ангелъ, изведоша Благодатную на полунощъ. И бысть облакъ огненъ распростертъ, посреди его одрове, яко пламеныи огнь, и на нихъ лежаше множство мужъ и женъ. И видѣвши Святая, и воздохнувъ, и рече ко архистратигу: «Кто си суть, что суть согрѣшили?» И рече архистратигъ: «Сии суть, Госпоже, иже во Святую недѣлю на заутреню не воставають, но лѣнящеся лежатъ, яко мертви, да за то тѣ мучатся». И рече Святая Богородица: «Да аще кто не можетъ стати, да что сотворили?» И рече Михаилъ: «Послушаи, Святая, аще кому загорится храмина на четверо, и обыдеть и огнь и згоритъ не мога востати, таковъ не имать грѣха».	И увидела Богородица жену, подвешенную за зубы, разные змеи выползали из ее рта и поедали ее. Видя это, Пресвятая спросила ангела: «Что это за женщина, и в чем грех ее?» И отвечая, архистратиг сказал ей: «Эта женщина, Госпожа, ходила к своим близким и к соседям, слушала, что про них говорят, и ссорилась с ними, распуская сплетни; из-за этого и мучается». И сказала Святая Богородица: «Лучше бы такому человеку не родиться». Михаил сказал ей: «Еще не видела ты, Святая Богородица, великих мук». Святая сказала архистратигу: «Пойдем и увидим все муки». И сказал Михаил: «Куда ты хочешь идти, Благодатная?» Святая ответила: «На север». И, повернувшись, херувимы и серафимы и четыреста ангелов вывели Благодатную на север. Там расстилалось огненное облако, а посреди него стояли раскаленные скамьи, и на них лежало множество мужей и жен. Увидев это, Святая вздохнула и сказала архистратигу: «Кто это такие, в чем согрешили?» Архистратиг сказал: «Это те, кто в Святое воскресение не встают на заутреню, ленятся и лежат, как мертвые, за это они мучаются». И сказала Святая Богородица: «Но если кто не может встать, то какой грех сотворили они?» И ответил Михаил: «Послушай, Святая, если у кого загорится дом с четырех сторон, и обойдет его огонь кругом, и сгорит этот человек, так как встать не сможет, то он не грешен».
И видѣ на друзѣмъ мѣстѣ столы огнены и на нихъ множство народу мужъ и женъ, згараху на нихъ, и воспроси архистратига Святая (...) «иже поповъ не чтуть, то ни встають имъ и егда приходять оть церкви Божии, да того ради мучатся».	В другом месте Богородица увидела огненные столы и горящих на них многих мужей и жен, и Святая спросила архистратига: (...) «те, кто попов не почитает, не встает им навстречу, когда они идут из церкви Божией, — из-за этого и мучаются».
