СЛОВО О ТРЕХ МНИСѢХ, КАКО НАХОДИЛИ СВЯТОГО МОКАРЬЯ	СЛОВО О ТРЕХ МОНАХАХ, КАК ПРИШЛИ ОНИ К СВЯТОМУ МАКАРИЮ
Господи, благослови, отче!	Господи, благослови, отче!
Умилимся убо и мы убозии и недостойнии иноци Сергий, Теофиль, Югин. Вы же, отци и братья, слышите отрекшихся житья сего прелестного. Внидохомъ въ монастырь отца нашего Асклипия в Сепотамѣ Сурьстѣй межю двѣма рѣкама, единой имя Ефрантъ, а другой Тигръ. И отпѣвшимъ нам годину 9-ю, и сѣдохомъ 3-е на мѣсте поливнѣ.[1] И начахомъ другъ друга воспрашати о пьстѣ и о воздержаньи о мнишьстѣмъ. И вниде единому въ сердце умъ Божий, и рече Феофилъ братома своима къ Сергѣю и ко Угинови: «Хотѣлъ быхъ ходити живота своего и страньствовати по земли, да вижю гдѣ прилежит небо к земли». И рекоста оба брата Феофиле: «Тобе имавѣ во отца мѣсто и не останевѣ тобе». И тоя нощи изидохом из монастыря отаи. Идохомъ въ Ерусалимъ дни 16 и поклонихомъся Божию гробу и честному кресту. Идохом въ святый Вифлеомъ и поклонихомъся святѣй пещерѣ, идѣже родися Христосъ, и видѣхомъ звѣзду и кладязь водный. Идохомъ дале 2 поприща, обрѣтохом мѣсто, идѣже ангели пояху «Слава в вышнихъ Богу». И возвратихомъся, и взидохомъ на гору Елеоньскую, идѣже Христосъ взиде, и придохом въ Ерусалимъ, и створихом ту днии 12, ходяще по монастырем и молящеся Богу. И не надѣяхомъся возратити в мир ось. И обратихомъся на въсток солнца, идохом дни 8, и преидохом рѣку Тигръ, и внидѣхом в землю Персию на поля чиста, имянемъ Асия, идѣже убий святый Меркурей Ульяна Парвата.[2] И внидохом въ градъ, имянем Котисфонъ,[3] да в томъ граде лежать 3 отроци — Онанья, Озарья, Мисаилъ.[4] И поклонихомъся 3-мъ отроком, и славихомъ Бога, проведшему землю Персию. И внидохомъ в землю Индию 4-рми денми, обрѣтохъ кровъ единъ индѣескъ празденъ, не имуще человѣка. И, влѣзъше, прилежахомъ ту. И не бяше в мѣсте томъ град, но коиждо свой кровъ да имат. И быхомъ в кровѣ томъ 2 дни.	Умилимся же и мы, убогие и недостойные иноки — Сергий, Феофил и Угин. Вы же, отцы и братья, послушайте нас, отрекшихся от жизни этой, исполненной соблазнов. Вошли мы в монастырь отца нашего Асклепия в Месопотамии Сирийской между двумя реками, одна по имени Ефрат, а другая — Тигр. И когда отпели службу девятого часа, сели все трое на низменном берегу. И стали друг друга расспрашивать о посте и о воздержании монашеском. И пала одному из нас на сердце мысль божественная, и сказал Феофил братьям своим Сергию и Угину: «Хотел бы всю жизнь ходить и странствовать по земле, чтобы увидеть, где сходится небо с землею». И сказали оба брата Феофилу: «Мы тебя почитаем вместо отца и не оставим тебя». И в ту же ночь тайно вышли из монастыря. Шли до Иерусалима шестнадцать дней и поклонились гробу Господню и честному кресту. Пошли в святой Вифлеем и поклонились святой пещере, в которой родился Христос, и видели звезду и источник водный. Отойдя далее на два поприща, нашли место, где ангелы пели: «Слава Богу в вышних». И возвратились, и взошли на гору Елеонскую, на которую взошел Христос, и вернулись в Иерусалим, и провели здесь двенадцать дней, ходя по монастырям и молясь Богу. И не надеялись возвратиться в этот мир. И направились на восход солнца, шли восемь дней, и перешли реку Тигр, и вступили в землю Персидскую, на равнину, именуемую Азией, где убил святой Макарий Юлиана Преступника. И вошли в город, называемый Ктесифон, а в том городе лежат три отрока — Анания, Азария и Мисаил. И поклонились трем отрокам и прославили Бога, проведшего нас сквозь землю Персидскую. И вступили в землю Индийскую, и через четыре дня набрели на пустое жилище индийское, в котором не было людей. И войдя в него, заночевали здесь. И не было там поселения, но каждый должен был иметь свое жилище. И пробыли мы в том жилище два дня.
И се придоста 2 малжана, вѣнца носяща на главах дивны. И видѣвше ны, убояшася зѣло и мнѣста, яко исходатаи есмы земли той. И шедше, собраша на ны люде. И бяше ихъ 2000 мужь, и пришедше и обрѣтоша ны кланяющас Богу, и взяша огнь, хотяше ны зажечь. Мы же убоявшеся, избѣжахом, и стахом посреди ихъ, не бы камо бѣжати. Они же глаголаху, а мы не разумѣхом речи ихъ, а они намъ не разумѣют. И приимше, и ведоша ны, и затвориша ны в мѣсте тѣснѣ, и не даша намъ ясти, ни воды пити. Мы же, грѣшнии, моляхомъся Богу и благословихом Бога, 10 дни затворени быхом. И собрашася на ны людие, и видѣша ны молящаяся Богу, а они мняхуть ны гладомъ умориша. Изведоша ны вонъ ис крова того и погнаша ны из земля тоя, бьюще ны прутьемъ.	И вот пришли двое супругов, с диковинными венцами на головах. И увидев нас, очень испугались и подумали, что мы выходцы из земли (иной). И, пойдя, собрали на нас людей. И было их две тысячи человек, и пришли они, и застали нас молящимися Богу, и, принеся огонь, хотели нас сжечь. Мы же, испугавшись, выскочили и стали посреди них, ибо некуда было бежать. Они нам говорили, а мы не понимали языка их, а они нас не понимали. И, схватив, повели нас, и заперли в месте тесном, и не давали нам ни есть, ни пить. Мы же, грешные, молились Богу и благословляли Бога, десять дней проведя в заточении. И собрались на нас люди, и увидели нас, молящихся Богу, а они думали, что уморили нас голодом. Вывели нас вон из жилища того и погнали нас из земли той, избивая палками.
А уже имяхом мног днии не вкушавше пища никакояже. И помолихомъся Богу, идохомъ днии 40 и обрѣтохомъ древа красна взору и плодовита зѣло, родившия плод благъ. И прославихомъ Бога и насытихомъся от плода того благаго. И преидохомъ в землю ину, пьсья главы, и зряхуть на ны, и не творяхуть намъ зла. По вся мѣста собѣ живуть, межи каменья гнѣзда сносивше, живуть с чады своими. Идохомъ сквозѣ зѣмлю ихъ 100 дний, перси на въстокъ солнца и внидохомъ в землю трепястокъ. Да они, видѣвше ны, бѣжахуть от нас, да мы прославихъмъ Бога, избавляющаго ны от них. И взидохомъ на гору высоку, идѣже ни солнце сияеть, ни древа есть, ни трава ростеть, развѣе гадъ и змиямъ свистающим. И съкрегующи зубы аспиды, ехидны и ували, и василискы.[5] И видѣхом иныя змия, многиимъ же имяни не вѣдѣхомъ. И прославихом Бога, избавляющаго ны от нихъ. Идохомъ 4 дни, слышащи глас змиевъ, уши свои залѣпивше воскомъ, не могуще терпѣти змеева свистанья. Перешедшимъ намъ гору ту и придохомъ в землю пусту и велику, и не бяше в земли той ничтоже, ни пришелъ бяше человѣкъ туду николиже.	А уже много дней не вкушали мы никакой пищи. И, помолившись Богу, шли сорок дней, и набрели на деревья, красивые на вид и очень плодоносные, рождавшие добрые плоды. И прославили Бога и насытились теми плодами прекрасными. И перешли в другую землю — псоглавцев, — и смотрели они на нас, и не причиняли нам зла. Повсюду живут они в гнездах, устроенных между камней, живут с детьми своими. Шли через землю их сто дней, двигаясь на восход солнца, и вступили в землю обезьян. Они же, увидев нас, убежали, а мы прославили Бога, избавившего нас от них. И взошли на гору высокую, где ни солнце не светит, ни деревьев нет, ни трава не растет, только гады и змеи свистящие. И скрежетали зубами аспиды, ехидны и увалы, и василиски. Видели и других змей, но многим названия не знали. И прославили Бога, избавляющего нас от них. Шли четыре дня, слыша глас змеиный, уши свои залепив воском, так как не могли переносить змеиного свиста. Когда перешли мы через ту гору, то вступили в землю пустынную и бескрайную, и не было в той земле ничего, не приходил сюда человек никогда.
Идохомъ днии 60, разумляюще, что створихом, и помолимъся Господеви, иже ны упасет от лютыхъ молвъ. И приде к намъ елень, и поиде пред нами. Идохомъ по олени, и проведе ны сквозѣ тму и пропасть велику. Идохомъ со страхом и трепетомъ и прешедше, и обрѣтохом мѣсто равно и чреду олени пасуще. И преидохом всю землю ту беспутьемъ, и стуживше собѣ. И помолихомъся Богу, наставляющаго ны на путь благъ. И оттуду идохом дни 70, и придохомъ в мѣста равна и добра, и видѣхом древа многа на месте том, но толко мегла темна. Да ту, убозии, сѣдъ, поплакахомъся, зане путь ны ся заглади, да не вѣдяхом, камо путьшествовати. Плачющимъ же ся намъ на мѣсте том до 7-го дни, и прилѣтѣ голубь с высоты и нача лѣтати пред нами. Мы же, убозии, ради быхом и весели, и славихомъ Бога. Идохомъ по голуби томъ и обрѣтохомъ столпъ и комару. И бяше написано окрстъ ея: «Си столпъ поставилъ есть Александро царь макидоньский, ида от Халкидона и побѣдивъ персы. Воевалъ есть до сего мѣста, се ся нарече Тма, да аще хощет кто минути се мѣсто, то налѣво идет, вся бо воды мира сего от лѣвое страны приходят, да иже ся тѣхъ водъ надержит, то идет на свѣтъ. А на десную страну суть горы великия и езеро полно змий». То бяшет написано на столпѣ Александровѣ. Да мы то прочтеше, утѣшихомъся и спѣх ны бысть и славихом Бога, спасающего ны.	Шли мы дней шестьдесят, размышляя, что нам делать, и решили помолиться Богу, чтобы защитил он нас от лютых напастей. И подошел к нам олень и пошел перед нами. Пошли мы вслед за оленем, и повел он нас сквозь темноту и через огромную пропасть. Шли со страхом и трепетом и, пройдя, вышли на ровное место, где паслось стадо оленей. И прошли всю ту землю бездорожьем, и впали в уныние. И помолились Богу, указывающему нам верный путь. И оттуда шли семьдесят дней и пришли на равнину благодатную, и увидели множество деревьев на месте том, но стояла темнота. И тут, несчастные, сев, заплакали, ибо дорога сделалась невидимой и не знали мы, куда путь держать. Плакали мы на месте том семь дней, и прилетел к нам с вышины голубь и стал летать перед нами. Мы же, несчастные, обрадовались и возвеселились, и прославили Бога. Пошли вслед за голубем тем и набрели на столп со сводом. И было написано по ободу его: «Этот столп поставил Александр, царь македонский, идя от Халкидона и победив персов. Дошел, воюя, до этого места, которое именуется “Мрак”, и если кто хочет миновать место это, то пусть налево идет, ибо все воды мира с левой стороны текут, и если держаться по течению вод этих, то выйдет на свет. А по правую сторону — горы высокие и озеро, полное змей». Так было написано на столпе Александровом. Мы же, прочитав это, утешились, — пришла нам удача, и прославили Бога, спасающего нас.
И поидохом на лѣвую страну, идохом днии 40 и не можахомъ терпѣти смрада по вся дни. И благословихом Бога, подающего намъ терпѣнье духовное, идохом в печали велицѣй, и прихожаше ны глас, яко и кони ржуще. И приближихомъ на глас тъ. И видѣхом езеро полно змий, якоже бяше не видѣти воды под ним, и слышахомъ плачь и стенание люто. И бяше езеро то полно человѣкъ, и преде инъ глас с небесѣ, глаголя: «Си суть людие осужении, ти бо ся людие Бога отвергоша». Да мы со страхом и трепетомъ минухом озеро то осуженое и пошед мало дни и узрѣхом горѣ 2 высоцѣ, да ту видѣхом мужа велика, в высоту 100 локотъ, и бяше привязанъ веригами мѣдяными по всему тѣлу и пламянь паляшет все тѣло его, и вопияше гласомъ великим.[6] Исхожаше глас мужа того до 30 поприщь. И увидѣвши ны муже тъ, нача плакатися, прикланяяся к земли, и бяше опалено все тѣло его. Мы же от страха покрывше лицо свое, минухом гору ту, идохом днии 5, слышаще глас его. И припрохомъ ся стремнѣ мѣсте и глубоцѣ, и видѣхом ту жену стояшю простовласу на краи глубины, и змий бяше великъ обилъся около ея от ногу и до главы. И хотѣ рещи слово едино, и не даша ей, и заимаше ей уста хоботом, и бьяшеть ю по устомъ хоботом, да не глаголеть ничтоже. Инии же гласи исхожаху ис пропасти глубоки, народа многа изъ глубины вопиюще: «Помилуй ны, Господи, помилуй ны, Сыне Бога вышняго». Мы же от страха того идохом, рекохом: «Господи, опрости животъ нашь, яко видѣста очи наши чюдеса сия и труд на земли сей». И паки поидохом от мѣста того, плачюще, и обрѣтохом мѣсто другое и древа бяху смоковнымъ образом на мѣсте томъ, и на древехъ техъ множество народа птиць, тмы тмами бяше. И рѣчь ихъ бяше, яко человѣча и вси единимъ гласомъ вопияхут, глаголюще: «Остави ны, Владыко, и помилуй ны, Господи, мы бо согрешихом паче всея твари». Мы же, убозии, та чюдеса слышавше и видѣвше и поклонихомъ Господеви, глаголюще: «Господи, яви нам чюдеса сия, яже есмы видѣли и слышали». И молящимъся намъ Богу, и раступися земля пред нами, изиди гласа глаголя: «Ни есть вы дано видѣти дѣлъ тѣхъ, но идѣте путем своим».	И пошли мы на левую сторону, и шли сорок дней, и все эти дни страдали от зловония. И,благословив Бога, дающего нам терпение духовное, шли в печали великой, и донесся до нас звук, подобный ржанию коней. И подошли к месту, откуда шел звук этот. И увидели озеро, полное змей, так что не было видно воды под ними, и услышали плач и горькие стенания. И было то озеро полно людей, и донесся до нас другой голос с неба, вещающий: «Это люди осужденные, ибо те люди Бога отвергли». Тогда мы со страхом и трепетом миновали озеро то осужденное и, пройдя несколько дней, увидели две высокие горы, и там увидели мужа огромного роста, высотой в сто локтей, и был он привязан опутавшими все его тело цепями медными, и огонь опалял все тело его, и вопил он голосом громким. Разносился вопль мужа того на тридцать поприщ. И, увидев нас, муж тот заплакал, склоняясь к земле, и было опалено все тело его. Мы же от страха прикрыли лица свои и, миновав ту гору, шли пять дней, все еще слыша голос его. И дошли до обрыва над глубокой пропастью, и увидели простоволосую женщину, стоящую на краю пропасти, и змей огромный обвил тело ее от ног и до головы. И хотела она сказать что-то, и не давал ей змей, и затыкал ей рот хвостом и бил им ее по губам, чтобы ничего не говорила. И другие голоса доносились из пропасти глубокой — многих людей, вопивших из глубины: «Помилуй нас, Господи, помилуй нас, Сын Бога вышнего!» Мы же от страха того шли, говоря: «Господи, пощади жизнь нашу, ибо увидели очи наши чудеса эти и страдания на этой земле». И снова пошли от места того, плача, и набрели на место другое, а на месте том — деревья, подобные смоковницам, и на деревьях тех множество птичьих стай, тьмы тьмущие. И речь их была подобна речи человеческой, и все в один голос вопили, говоря: «Оставь нас, Владыка, и помилуй нас, Господи, ибо мы согрешили больше всех сотворенных». Мы же, несчастные, те чудеса видевшие и слышавшие, поклонились Господу, говоря: «Господи, объясни нам чудеса эти, которые мы видели и слышали». И когда мы молились Богу, расступилась земля перед нами, и раздался голос, произнесший: «Не дано вам видеть дел тех, но идите своей дорогой».
Мы же минухомъ со страхом и придехомъ на мѣсто иное страшно. И ту видѣхом мужи 4-ре, образа же ихъ нѣсть сказати, и бяше же пред святыми тѣми мужи оружье остро и стрегуще твердо. Змиеве со ехиднам объстояхуть около, а се 4 мужи вѣнца носяща на главах красны и в рукахъ своихъ имуща палица злата. Да мы, убозии, падохомъ на земли ниць и воспихомъ: «Помилуйте, мужи небеснии, да быша не прикоснулися нас оружья та». И отвѣща намъ, глаголяще: «Въсташа, идѣте путемъ своимъ, аможе вы ведете, не бойтеся ничтоже, не владѣеть бо вас озлобити оружье се, мы бо и блюдем до дни Суднаго». Да мы то слышавше, прекрестившеся, и поклонихомъся, и прославихомъ Бога, и минухом, яко душа не имуще.	Мы же миновали то место со страхом и пришли к другому страшному месту. И там увидели четырех мужей, вид которых нельзя описать словами, и было перед святыми теми мужами оружие острое, строго охраняемое. Змеи с ехиднами окружали их, у этих четырех мужей на головах были красивые венцы, а в руках у них были золотые палицы. Тогда мы, несчастные, упали ниц на землю и возопили: «Помилуйте, мужи небесные, да не коснется нас оружие это». И отвечали нам, говоря: «Встав, идите своей дорогой, туда, куда знаете, не бойтесь ничего, не может причинить вам зла оружие это, мы стережем его до дня Судного». И мы, то услышав, перекрестились, и поклонились, и прославили Бога, и прошли мимо, едва живы.
Идохомъ днии 40 и в напраснѣ и глас слышахом народа многа зѣло, и насытихомъся благоуханья многа, и от глас поющих благоуханно многа. Сонъ ны обумори, да мы успохом и въстахом, оли слипатися устомъ нашим, от благости паче меду и ста. И въставше, и видѣхомъ церковь, и бяше я ледяна[7] и велика, посреде же церкви тоя олтарь знамянованъ. Посреди же олтаря того источник знамянань водный бѣлъ, яко млеко. И видѣхом ту мужи страшны зѣло, окрестъ воды стояща. И пояхуть аггельския песни. И видѣвше то, мы трепещюще, яко мертви, да единъ от них красенъ зѣло, да тот ны рече, приступив: «Се есть источник бесмертенъ, ожидая праведных насладитися». Мы же то слышахом, и прославихомъ Бога, и минухом мѣсто то со страхом, и в радости велицѣй быхом яко Богъ вѣсть. Но бяху устнѣ наша ослажени от воды тоя, до 3-го дни слипахуся устнѣ наша, яко от меду. И доидохомъ реки великия зѣло и насытихомъся воды ея, и насытихомъся благости и прославихомъ Бога. И к 9-тому часу сущю и сѣдохом на брезѣ у рѣки тоя, размышляюще, что створим рецѣ сей. И бяше по рецѣ той свѣтъ седмирицею сего свѣта свѣтлѣе. И помолихомъся на 4 страны земля и бяху вѣтри в земли той инаци тварью: западный вѣтръ зеленъ тварью, а от въстока солнцю от рая рыжь вѣтръ, яко и желтъ, а от полунощи вѣтръ яко кровь чиста, а от полуденныя страны вѣтръ бѣлъ, яко снѣгъ. Солнце теплѣе сего 7-мижды и древа болши сихъ и краше и частѣйши и плодовито, а другое неимуще плод. И горы выше сихъ, и земля 2 лицѣ имущи — червьлена и бѣла, и птици всѣми лици.	Шли мы сорок дней и неожиданно услышали звуки голосов множества людей и насладились благоуханьем — от голосов поющих исходило благоухание. Сон нас сморил, и мы уснули, и встали, когда начали слипаться губы наши от сладости, превосходящей сладость меда и медовых сот. И, встав, увидели церковь, и была она изо льда и огромна, посреди же церкви той — алтарь. Посреди же алтаря того — источник водный, — бел, словно молоко. И увидели тут мужей страшных с виду, вокруг воды стоящих. И пели они ангельские песни. И мы, видя то, затрепетали и помертвели, и тогда один из них, прекрасный видом, сказал, подойдя к нам: «Это источник бессмертия, ожидает, чтобы праведники насладились». Мы же, услышав это, прославили Бога и отошли от места того со страхом и в радости великой были, чему свидетель Бог. Но были уста наши ослаждены той водой, и три дня слипались губы наши как от меда. И дошли до большой реки, и напились воды из нее, и насладились благостью, и прославили Бога. И, когда настал девятый час, сели на берегу реки той, размышляя, что дальше будем делать. И разлился по реке той свет, в семь раз светлее дневного света. И помолились мы на четыре стороны этой земли, и были ветры в земле той различные по виду: западный ветер зеленого цвета, а от восхода солнца, от рая — рыжий ветер и желтый, а с севера ветер — словно свежая кровь, а с южной стороны ветер белый, как снег. Солнце теплее нашего в семь раз и деревья выше, и краше, и гуще, и плодовитее, а другие — не имеют плодов. И горы выше наших, и земля два облика имела — красная и белая, и птицы различны видом.
Имяхом бо уже 100 дни не вкушавше пища, развѣе воды тоя, яко Богъ вѣсть. Идущимъ же намъ, и се в напраснѣ придоша на ны множество мужий, и женъ, и дѣтий, не вѣ, откуду. Инии же от них грозяхуся на побѣду на ны, друзии же дивляхуся, но бяху низци зѣло. Мы же я видѣвше, устрашихомъся, глаголюще, егда изъядят ны. Начахомъ глаголати к собѣ, что створимъ, братья. И рече Сергий ко братьи: «Рострясемъ власы главы своея, вперимъся на ня. Ащи ли бо побѣжимъ, то изъядят ны». И створиша так, да они побѣгоша, чад своя восхищающа и скрегчюще зубы своими.	Прошло уже сто дней, как не вкушали мы пищи, кроме воды той, чему свидетель Бог. И когда мы шли так, неожиданно напало на нас множество мужчин и женщин и детей, не знаем откуда. Одни из них угрожали, что одолеют нас, другие же дивились на нас, те, что были невысоки ростом. Мы же, увидев их, испугались, говоря между собой, что съедят они нас. И начали советоваться: «Что будем делать, братья?» И сказал Сергий к братии: «Распустим волосы на своих головах и уставимся на них. Если же мы побежим, то съедят нас». И сделали так, и они побежали, хватая детей своих и скрежеща зубами своими.
Идохом по земли той много днии и обрѣтохом лядину невелику ростомъ, ни с локоть от земля в высоту. Да того грызуще проидохомъ землю ту, и бяше лядина та бѣла, но паче меду и ста, да ту лядину грызуще измѣнихомъ си лица своя и повеселихомъся. И славихомъ Бога, идохом по земли той днии 50, не вѣдуще путь. Божиимъ повелѣниемъ обрѣтохом стезю и печеру, человѣкомъ украшену. Да то мы видѣвше, ради быхом. И влѣзше внутрь пещеры, и не обрѣтохом ничтоже. И ту благоуханье прихожаше в ноздри наша, и рекохомъ: «Братье, пребудем здѣ до вечера и не придеть ли сѣмо никтоже». И легше поспахом, и въставше от сна, излѣзохом вонъ при вечерѣ. И зрящимъ же намъ ко въстоку, ци хто приде на мѣсто се, и увидѣхомъ мужа страшна зѣло, и бяше на немъ одежа никакояже, но развѣе власи бѣли и покрываху все тѣло его от главы и до ногу. И грядяше в печеру ту, и обоня душа наша издалеча, и паде ниць на земли, и рече: «Заклинаю вы Богомъ, аще есте от Бога, то явите ми ся, аще ли есте от Дьявола, то идите от мене, проклятии». Тогда мы воспихом ему, глаголюще: «Отче благий, мы грѣшници есмы, Божии рабы наречемъся, от Дьявола отрекохомъся». Тогда приступивъ к намъ, и воздвиже руцѣ свои на небо, и помолися Богу, и благослови ны, и разложи власы от лица своего и усъ свои распрятавъ. И бяху власи его бѣли яко снѣгъ, и бяше благоуханье от него. И слышахом глас от старца того, и лице ему видѣхом: очи же ему бяху впали от старости, и брови ему бяху висли, а ногти его бяху велици ручнии и ножнии, тѣло бяше старьцю тому расѣдалося все. И впрошени быхом от него, и повѣдахомъ ему всю истинну, якоже пошли есмы, да быхомъ видѣли, кдѣ прилежить небо к земли. И рече святый Мокарей: «Чада моя милая! Не можеть человѣкъ плотянъ, от женьска грѣха родився, того мѣста видѣти, ни тѣхъ чюдесъ, ни силъ Господа Бога нашего Исуса Христа. Аз бо, грѣшный, много окушахся и плакахся къ Богу, да бых видѣлъ чюда тѣ. И рече ми ангелъ: “Не прогнѣвай Господа Бога своего, создавшего тя. Нихтоже можеть того мѣста доити”. Да и азъ рекох: “Почто, господи мой?” И рече ми: “От сего мѣста есть поприщь 20, идѣже еста 2 града — единъ желѣзен, а другий мѣдянъ. Да за тѣма градома Рай Божий, идѣже былъ 1-е Адамъ съ Евгою. На въстокъ солнца за Раемъ да ту небо прилежит. И внѣ Рая поставилъ есть Богъ хиравими и сирафими, оружье пламянно в руках имущи, стрещи Рая и древа животна. Сут же та хиравими от ногу до пупа — человѣци, а перси лвовы, а глава иною тварью, а руцѣ, яко ледяни и оружье пламянно в руках ихъ внѣ стѣнъ градных. Да не можетъ ту внити никтоже, суть бо ту Силы страшныя мнози зѣло и ликове англьстии ту пребывают, и пояси небеснии ту суть, идеже почиваеть небо”». Да то мы слышавше от человѣка Божия Мокарья, глаголавше ему ангелъ, и убояхомъся со страхом великимъ, славихомъ Бога и святого Мокарья. И возвеселихомъся, яко сказа нам дивная чюдеса Божия.	Шли по земле той много дней и нашли траву невысокую, в локоть от земли высотой. И,грызя ее, прошли землю ту, и была трава та бела, но слаще меда и медовых сот, и, ту траву грызя, изменились мы в лице и повеселели. И славили Бога, идя по земле той дней пятьдесят, не зная дороги. Божьим повелением нашли мы дорогу и пещеру, человеком обустроенную. Увидев это, обрадовались мы. И, войдя внутрь пещеры, ничего в ней не нашли. Но тут благоухание коснулось ноздрей наших, и сказали мы: «Братья, останемся здесь до вечера, не придет ли кто-нибудь сюда». И легли поспать, и поднявшись от сна, вылезли вон из пещеры под вечер. И, глядя на восток, ожидая, не придет ли кто на это место, увидели мужа страшного обликом, и не было на нем никакой одежды, но только волосы, и покрывали они все его тело от головы до ног. И направляясь к той пещере, он почувствовал издалека наше присутствие, и пал ниц на землю, и произнес: «Заклинаю вас Богом: если явились ко мне от Бога, то предстаньте передо мной, если же — от Дьявола, то идите, проклятые, прочь от меня!» Тогда мы воскликнули, говоря ему: «Отец благой, мы — грешники, рабами Божьими называемся, от Дьявола отрекаемся». Тогда, подойдя к нам и возведя руки свои к небу, помолился он Богу и благословил нас, и отвел волосы от лица своего, и усы свои расправил. И были волосы его белы как снег, и исходило благоухание от него. И услышали голос старца того, и лицо его увидели: глаза его впали от старости, и брови его свисали, а ногти его были длинны на руках и на ногах, тело же у старца того было совсем дряхлое, и будучи спрошены им, поведали ему всю правду, как пошли мы, чтобы увидеть, где небо сходится с землею. И сказал святой Макарий: «Чада мои милые! Не может человек во плоти, рожденный от женского греха, ни места того видеть, ни тех чудес, ни силы Господа Бога нашего Иисуса Христа. Я ведь, грешный, много раз пытался и Бога молил дать мне увидеть чудеса те. И сказал мне ангел: “Не гневи Господа Бога своего, создавшего тебя. Никто не может до того места дойти”. И я спросил: “Почему же, господин мой?” И ответил он мне: “От этого места в двадцати поприщах находятся два города — один железный, а другой медный. И за теми городами — Рай Божий, где были прежде Адам и Ева. К востоку за Раем небо сходится с землей. А вне Рая поставил Бог херувимов и серафимов с оружием огненным в руках, чтобы охраняли они Рай и древо жизни. А херувимы те от ног до пупа — люди, а грудь у них львиная, а голова иного обличья, а руки их словно ледяные, и оружие огненное в руках их снаружи стен городских. И не может никто туда войти, ибо тут Силы грозные и многочисленные и сонмы ангелов тут пребывают, и поясы небесные тут, где покоится небо”». И услышав от человека Божьего Макария, что сказал ему ангел, испугались мы, охваченные страхом великим; прославили Бога мы и святого Макария. И обрадовались, что поведал он нам о дивных чудесах Божьих.
