Вопросы и отвѣти от Божественных писаний	Вопросы и ответы от Божественных писаний
В. Что есть: цариць 60 и 80 наложниць и унотъ нѣсть числа?	Вопрос. Что значит: шестьдесят цариц и восемьдесят наложниц и девиц без числа?
О. Едину царицю въ 60 распространяему сирѣчь душу. 80 ради наложниць осмое таинство являет, еже есть будущий вѣкъ.	Ответ. Единая царица в шестидесяти царицах — это душа, а восемьдесят наложниц открывают восьмое таинство, то есть будущий век.
В. Что есть: домъ вдовици у нея жилиа обита и горсть мукы и масло и вода и двѣ поленѣи? Воскресшему сыну кака имя?	Вопрос. Что значит: дом вдовы — жилье обитаемое, и в нем горсть муки, и масло, и вода, и два поленца? Как имя воскресшего сына?
О. Вдовици имя Сарепфа, сыну же еа Иона, а домъ еа преобразуется церкви, а горсть муки комкание, а масло и вода крещение, а двѣ поленѣ крѣстъ.[1]	Ответ. Имя вдовы — Сарепта, сына ее — Иона, а дом ее прообразует церковь, горсть муки — святое причастие, масло и вода — крещение, а два поленца — крест.
В. Что есть: иже приде богатъи к нищему, много всего имѣяше и вда нищий богатому много?	Вопрос. Что это: пришел богатый, имеющий большое богатство, к нищему, и отдал нищий богатому многое?
О. Богатый Христосъ, а нищий Иаоан, приде Христосъ к Иаоану, всяческыми обладая благами земными, и взят от Иаоана крещение, егоже не имѣаше.	Ответ. Богатый — это Христос, а нищий — Иоанн, пришел Христос к Иоанну, владея всеми благами земными, и принял от Иоанна крещение, которого не имел.
В. Кто принесе Господу глубоку воду и убрус неткан и испроси себѣ, егоже нѣсть у него?	Вопрос. Кто принес Господу чистую воду и плат нетканый и попросил для себя то, чего нет у него?
О. Егда блудница припаде к ногам Господу[2] и слезами мочаше и власы главы своеа отирааше, испроси себѣ оставление грѣхом.	Ответ. Когда блудница припала к ногам Господа, омочила их слезами, отерла их волосами своими, то попросила себе прощение грехов.
В. Что есть Исаиа рече: «Ему же власть бысть на рамѣ его»?[3]	Вопрос. Что значит: Исайя сказал: «Власть его на плече его»?
О. На рамѣ его крѣстъ, носяше бо, на распятие ида.	Ответ. На плече Он нес крест, ибо шел на распятие.
В. Что есть еже Ермѣа рече: «Горлица, ластовици, щуръ силнии птици[4] разумеша лѣту приходъ»?	Вопрос. Что значит, если Иеремия сказал: «Горлица, ласточки, сильный щур — птицы, они знали приход лета»?
От. Горлица глаголеть церковь, а ластовица Иаоан Крестителя, а щур блаженаго учителя премудраго Павла, и лѣтъ Христос да якоже тыи птица проповѣдают лѣта приходящее, тако и сии проповѣдають пришествиа Христово.	Ответ. Горлица называется церковь, а ласточка — Иоанн Креститель, а щур — блаженный учитель, премудрый Павел, а лето — Христос, и как эти птицы предвещают приход лета, так и те проповедают пришествие Христово.
В. Кая то жена, еже от народа, рече: «Блаженое чрево ношшее тя и сосца, яже еси съсал»?	Вопрос. Какая женщина из народа сказала: «Блаженно чрево, носившее тебя, и сосцы, которые ты сосал»?
От. Фотиниа самаряныня рекла, еиже явися Господь на кладязи Ияковли.[5]	Ответ. Это сказала Фотиния самаритянка, которой явился Господь у колодца Иакова.
В. Что еже Господь рече: «Аще оставите человѣком согрѣшениа, оставит вам Отець ваш небесный»?[6]	Вопрос. Что значит, что Господь сказал: «Если простите людям их грехи, то и вам простит Отец ваш небесный»?
О. Се глаголеть къ всѣм вѣрным, велить оставити гнѣвъ и всяку вражду другом своим и братьи.[7]	Ответ. Так говорит Он всем верующим, велит простить гнев и всякую вражду своим друзьям и братьям.
